# _root_ `` Because Tokyo did n't collapse , let 's pick up a little stock , '' Mr. Smith said .
#goldHeads=19,8,4,2,4,4,8,19,8,8,10,14,14,10,19,19,18,19,0,19,
#predictedHeads=19,8,4,2,4,19,6,6,8,8,10,14,14,10,19,19,18,19,0,19,
(1,18),-4.7606 # DEPENDENCYPART_ARC
(1,19),-4.45762 # DEPENDENCYPART_ARC
(1,20),-3.90912 # DEPENDENCYPART_ARC
(2,1),0.82661 # DEPENDENCYPART_ARC
(2,3),1.88238 # DEPENDENCYPART_ARC
(2,4),4.08385 # DEPENDENCYPART_ARC
(2,5),-0.274826 # DEPENDENCYPART_ARC
(2,6),0.347338 # DEPENDENCYPART_ARC
(2,7),0.633789 # DEPENDENCYPART_ARC
(2,8),-0.28221 # DEPENDENCYPART_ARC
(2,9),-1.46308 # DEPENDENCYPART_ARC
(2,10),-0.647668 # DEPENDENCYPART_ARC
(2,11),-1.5052 # DEPENDENCYPART_ARC
(2,12),-2.85677 # DEPENDENCYPART_ARC
(2,13),-2.06542 # DEPENDENCYPART_ARC
(2,14),-2.94152 # DEPENDENCYPART_ARC
(2,15),0.246078 # DEPENDENCYPART_ARC
(2,16),-0.589273 # DEPENDENCYPART_ARC
(2,17),-5.62571 # DEPENDENCYPART_ARC
(2,18),-5.24797 # DEPENDENCYPART_ARC
(2,19),-0.990398 # DEPENDENCYPART_ARC
(2,20),1.89689 # DEPENDENCYPART_ARC
(3,1),0.390253 # DEPENDENCYPART_ARC
(3,2),0.653625 # DEPENDENCYPART_ARC
(3,4),-1.79775 # DEPENDENCYPART_ARC
(3,5),-2.60232 # DEPENDENCYPART_ARC
(3,6),-2.99516 # DEPENDENCYPART_ARC
(3,7),-2.51838 # DEPENDENCYPART_ARC
(3,8),-3.4825 # DEPENDENCYPART_ARC
(3,9),-2.055 # DEPENDENCYPART_ARC
(3,10),-3.72939 # DEPENDENCYPART_ARC
(3,11),-3.71058 # DEPENDENCYPART_ARC
(3,12),-3.47449 # DEPENDENCYPART_ARC
(3,13),-3.34204 # DEPENDENCYPART_ARC
(3,14),-3.85282 # DEPENDENCYPART_ARC
(3,15),-3.21533 # DEPENDENCYPART_ARC
(3,16),-2.96992 # DEPENDENCYPART_ARC
(3,17),-5.01793 # DEPENDENCYPART_ARC
(3,18),-4.50126 # DEPENDENCYPART_ARC
(3,19),-4.61676 # DEPENDENCYPART_ARC
(3,20),-3.8393 # DEPENDENCYPART_ARC
(4,1),2.72207 # DEPENDENCYPART_ARC
(4,2),0.891599 # DEPENDENCYPART_ARC
(4,3),2.4867 # DEPENDENCYPART_ARC
(4,5),3.6711 # DEPENDENCYPART_ARC
(4,6),2.65403 # DEPENDENCYPART_ARC
(4,7),1.34804 # DEPENDENCYPART_ARC
(4,8),1.49377 # DEPENDENCYPART_ARC
(4,9),-0.028455 # DEPENDENCYPART_ARC
(4,10),0.588979 # DEPENDENCYPART_ARC
(4,11),-0.219782 # DEPENDENCYPART_ARC
(4,12),-0.974443 # DEPENDENCYPART_ARC
(4,13),-1.52844 # DEPENDENCYPART_ARC
(4,14),-1.01274 # DEPENDENCYPART_ARC
(4,15),1.14267 # DEPENDENCYPART_ARC
(4,16),0.789678 # DEPENDENCYPART_ARC
(4,17),-2.03015 # DEPENDENCYPART_ARC
(4,18),-2.05008 # DEPENDENCYPART_ARC
(4,19),-1.26248 # DEPENDENCYPART_ARC
(4,20),3.32897 # DEPENDENCYPART_ARC
(5,1),-1.00629 # DEPENDENCYPART_ARC
(5,2),-0.437469 # DEPENDENCYPART_ARC
(5,3),-0.659688 # DEPENDENCYPART_ARC
(5,4),-0.112137 # DEPENDENCYPART_ARC
(5,6),0.129112 # DEPENDENCYPART_ARC
(5,7),-0.462732 # DEPENDENCYPART_ARC
(5,8),-0.997579 # DEPENDENCYPART_ARC
(5,9),-1.45144 # DEPENDENCYPART_ARC
(5,10),-1.326 # DEPENDENCYPART_ARC
(5,11),-1.42523 # DEPENDENCYPART_ARC
(5,12),-1.41825 # DEPENDENCYPART_ARC
(5,13),-2.04989 # DEPENDENCYPART_ARC
(5,14),-2.13969 # DEPENDENCYPART_ARC
(5,15),-0.989546 # DEPENDENCYPART_ARC
(5,16),-1.19877 # DEPENDENCYPART_ARC
(5,17),-2.88334 # DEPENDENCYPART_ARC
(5,18),-2.90808 # DEPENDENCYPART_ARC
(5,19),-1.94573 # DEPENDENCYPART_ARC
(5,20),-1.17527 # DEPENDENCYPART_ARC
(6,1),0.609282 # DEPENDENCYPART_ARC
(6,2),0.874576 # DEPENDENCYPART_ARC
(6,3),0.879993 # DEPENDENCYPART_ARC
(6,4),0.305508 # DEPENDENCYPART_ARC
(6,5),1.31699 # DEPENDENCYPART_ARC
(6,7),3.33007 # DEPENDENCYPART_ARC
(6,8),2.77008 # DEPENDENCYPART_ARC
(6,9),0.923058 # DEPENDENCYPART_ARC
(6,10),1.72067 # DEPENDENCYPART_ARC
(6,11),1.47837 # DEPENDENCYPART_ARC
(6,12),-0.446616 # DEPENDENCYPART_ARC
(6,13),-0.684906 # DEPENDENCYPART_ARC
(6,14),1.02076 # DEPENDENCYPART_ARC
(6,15),1.01452 # DEPENDENCYPART_ARC
(6,16),0.958354 # DEPENDENCYPART_ARC
(6,17),-0.787893 # DEPENDENCYPART_ARC
(6,18),-0.69218 # DEPENDENCYPART_ARC
(6,19),-0.788899 # DEPENDENCYPART_ARC
(6,20),1.0775 # DEPENDENCYPART_ARC
(7,1),-1.53209 # DEPENDENCYPART_ARC
(7,2),-1.76762 # DEPENDENCYPART_ARC
(7,3),-1.90146 # DEPENDENCYPART_ARC
(7,4),-1.28414 # DEPENDENCYPART_ARC
(7,5),-1.47288 # DEPENDENCYPART_ARC
(7,6),-0.634705 # DEPENDENCYPART_ARC
(7,8),0.259991 # DEPENDENCYPART_ARC
(7,9),-0.583372 # DEPENDENCYPART_ARC
(7,10),-0.87438 # DEPENDENCYPART_ARC
(7,11),-1.4381 # DEPENDENCYPART_ARC
(7,12),-1.91782 # DEPENDENCYPART_ARC
(7,13),-1.97801 # DEPENDENCYPART_ARC
(7,14),-2.38055 # DEPENDENCYPART_ARC
(7,15),0.217652 # DEPENDENCYPART_ARC
(7,16),-1.47338 # DEPENDENCYPART_ARC
(7,17),-2.3546 # DEPENDENCYPART_ARC
(7,18),-2.50045 # DEPENDENCYPART_ARC
(7,19),-2.04984 # DEPENDENCYPART_ARC
(7,20),-1.79094 # DEPENDENCYPART_ARC
(8,1),0.339194 # DEPENDENCYPART_ARC
(8,2),1.12802 # DEPENDENCYPART_ARC
(8,3),0.472827 # DEPENDENCYPART_ARC
(8,4),0.115313 # DEPENDENCYPART_ARC
(8,5),1.08693 # DEPENDENCYPART_ARC
(8,6),1.07107 # DEPENDENCYPART_ARC
(8,7),2.0418 # DEPENDENCYPART_ARC
(8,9),2.2725 # DEPENDENCYPART_ARC
(8,10),2.33986 # DEPENDENCYPART_ARC
(8,11),1.3955 # DEPENDENCYPART_ARC
(8,12),-0.671345 # DEPENDENCYPART_ARC
(8,13),-0.286941 # DEPENDENCYPART_ARC
(8,14),1.00729 # DEPENDENCYPART_ARC
(8,15),1.08448 # DEPENDENCYPART_ARC
(8,16),0.950058 # DEPENDENCYPART_ARC
(8,17),-0.582657 # DEPENDENCYPART_ARC
(8,18),-0.369448 # DEPENDENCYPART_ARC
(8,19),-0.52888 # DEPENDENCYPART_ARC
(8,20),1.81701 # DEPENDENCYPART_ARC
(9,1),-1.00955 # DEPENDENCYPART_ARC
(9,2),-0.372012 # DEPENDENCYPART_ARC
(9,3),-0.168367 # DEPENDENCYPART_ARC
(9,4),-0.439324 # DEPENDENCYPART_ARC
(9,5),-0.296123 # DEPENDENCYPART_ARC
(9,6),0.423141 # DEPENDENCYPART_ARC
(9,7),0.867249 # DEPENDENCYPART_ARC
(9,8),1.29806 # DEPENDENCYPART_ARC
(9,10),0.217239 # DEPENDENCYPART_ARC
(9,11),-0.533588 # DEPENDENCYPART_ARC
(9,12),-1.43346 # DEPENDENCYPART_ARC
(9,13),-1.38679 # DEPENDENCYPART_ARC
(9,14),-1.65916 # DEPENDENCYPART_ARC
(9,15),-0.901047 # DEPENDENCYPART_ARC
(9,16),-1.43605 # DEPENDENCYPART_ARC
(9,17),-2.4673 # DEPENDENCYPART_ARC
(9,18),-2.5211 # DEPENDENCYPART_ARC
(9,19),-1.80943 # DEPENDENCYPART_ARC
(9,20),-1.49726 # DEPENDENCYPART_ARC
(10,1),0.661592 # DEPENDENCYPART_ARC
(10,2),0.947247 # DEPENDENCYPART_ARC
(10,3),0.57499 # DEPENDENCYPART_ARC
(10,4),0.462304 # DEPENDENCYPART_ARC
(10,5),1.03912 # DEPENDENCYPART_ARC
(10,6),1.08147 # DEPENDENCYPART_ARC
(10,7),1.61032 # DEPENDENCYPART_ARC
(10,8),1.45399 # DEPENDENCYPART_ARC
(10,9),1.97087 # DEPENDENCYPART_ARC
(10,11),3.46823 # DEPENDENCYPART_ARC
(10,12),0.835753 # DEPENDENCYPART_ARC
(10,13),0.978647 # DEPENDENCYPART_ARC
(10,14),2.57886 # DEPENDENCYPART_ARC
(10,15),1.09887 # DEPENDENCYPART_ARC
(10,16),1.7386 # DEPENDENCYPART_ARC
(10,17),0.35915 # DEPENDENCYPART_ARC
(10,18),0.476635 # DEPENDENCYPART_ARC
(10,19),0.22582 # DEPENDENCYPART_ARC
(10,20),1.7135 # DEPENDENCYPART_ARC
(11,1),-1.24571 # DEPENDENCYPART_ARC
(11,2),-0.581249 # DEPENDENCYPART_ARC
(11,3),-1.11068 # DEPENDENCYPART_ARC
(11,4),-1.19236 # DEPENDENCYPART_ARC
(11,5),-1.10814 # DEPENDENCYPART_ARC
(11,6),-0.943263 # DEPENDENCYPART_ARC
(11,7),-0.402193 # DEPENDENCYPART_ARC
(11,8),-0.367844 # DEPENDENCYPART_ARC
(11,9),-0.176549 # DEPENDENCYPART_ARC
(11,10),0.530137 # DEPENDENCYPART_ARC
(11,12),0.0951172 # DEPENDENCYPART_ARC
(11,13),0.0775127 # DEPENDENCYPART_ARC
(11,14),0.49298 # DEPENDENCYPART_ARC
(11,15),-0.325557 # DEPENDENCYPART_ARC
(11,16),-0.142918 # DEPENDENCYPART_ARC
(11,17),-0.841819 # DEPENDENCYPART_ARC
(11,18),-0.885985 # DEPENDENCYPART_ARC
(11,19),-0.765556 # DEPENDENCYPART_ARC
(11,20),-0.45568 # DEPENDENCYPART_ARC
(12,1),-2.57535 # DEPENDENCYPART_ARC
(12,2),-1.61321 # DEPENDENCYPART_ARC
(12,3),-2.27861 # DEPENDENCYPART_ARC
(12,4),-2.07282 # DEPENDENCYPART_ARC
(12,5),-2.00039 # DEPENDENCYPART_ARC
(12,6),-1.53276 # DEPENDENCYPART_ARC
(12,7),-1.51962 # DEPENDENCYPART_ARC
(12,8),-1.15409 # DEPENDENCYPART_ARC
(12,9),-1.05562 # DEPENDENCYPART_ARC
(12,10),-0.546548 # DEPENDENCYPART_ARC
(12,11),-0.0229994 # DEPENDENCYPART_ARC
(12,13),0.461164 # DEPENDENCYPART_ARC
(12,14),0.0498811 # DEPENDENCYPART_ARC
(12,15),-0.293417 # DEPENDENCYPART_ARC
(12,16),-0.566619 # DEPENDENCYPART_ARC
(12,17),-0.666686 # DEPENDENCYPART_ARC
(12,18),-0.905257 # DEPENDENCYPART_ARC
(12,19),-0.60568 # DEPENDENCYPART_ARC
(12,20),-1.2478 # DEPENDENCYPART_ARC
(13,1),-1.85881 # DEPENDENCYPART_ARC
(13,2),-1.4984 # DEPENDENCYPART_ARC
(13,3),-1.76524 # DEPENDENCYPART_ARC
(13,4),-2.27098 # DEPENDENCYPART_ARC
(13,5),-2.12037 # DEPENDENCYPART_ARC
(13,6),-1.50699 # DEPENDENCYPART_ARC
(13,7),-1.27523 # DEPENDENCYPART_ARC
(13,8),-0.849182 # DEPENDENCYPART_ARC
(13,9),-0.909538 # DEPENDENCYPART_ARC
(13,10),-0.522976 # DEPENDENCYPART_ARC
(13,11),0.114083 # DEPENDENCYPART_ARC
(13,12),2.24317 # DEPENDENCYPART_ARC
(13,14),1.11544 # DEPENDENCYPART_ARC
(13,15),0.137702 # DEPENDENCYPART_ARC
(13,16),0.359846 # DEPENDENCYPART_ARC
(13,17),-0.273804 # DEPENDENCYPART_ARC
(13,18),-0.458403 # DEPENDENCYPART_ARC
(13,19),-0.404674 # DEPENDENCYPART_ARC
(13,20),-0.520332 # DEPENDENCYPART_ARC
(14,1),-1.29991 # DEPENDENCYPART_ARC
(14,2),-0.660913 # DEPENDENCYPART_ARC
(14,3),-2.4622 # DEPENDENCYPART_ARC
(14,4),-0.174871 # DEPENDENCYPART_ARC
(14,5),-1.70779 # DEPENDENCYPART_ARC
(14,6),-0.517717 # DEPENDENCYPART_ARC
(14,7),-0.182435 # DEPENDENCYPART_ARC
(14,8),-0.137677 # DEPENDENCYPART_ARC
(14,9),0.661467 # DEPENDENCYPART_ARC
(14,10),0.525891 # DEPENDENCYPART_ARC
(14,11),0.724647 # DEPENDENCYPART_ARC
(14,12),4.80901 # DEPENDENCYPART_ARC
(14,13),5.16016 # DEPENDENCYPART_ARC
(14,15),1.24711 # DEPENDENCYPART_ARC
(14,16),1.46539 # DEPENDENCYPART_ARC
(14,17),0.93633 # DEPENDENCYPART_ARC
(14,18),0.30778 # DEPENDENCYPART_ARC
(14,19),0.159155 # DEPENDENCYPART_ARC
(14,20),0.184909 # DEPENDENCYPART_ARC
(15,1),-1.97833 # DEPENDENCYPART_ARC
(15,2),-2.00342 # DEPENDENCYPART_ARC
(15,3),-2.44017 # DEPENDENCYPART_ARC
(15,4),-1.56498 # DEPENDENCYPART_ARC
(15,5),-2.38695 # DEPENDENCYPART_ARC
(15,6),-1.7814 # DEPENDENCYPART_ARC
(15,7),-0.273044 # DEPENDENCYPART_ARC
(15,8),-1.53407 # DEPENDENCYPART_ARC
(15,9),-1.43282 # DEPENDENCYPART_ARC
(15,10),-1.52131 # DEPENDENCYPART_ARC
(15,11),-1.24472 # DEPENDENCYPART_ARC
(15,12),-0.403123 # DEPENDENCYPART_ARC
(15,13),-1.03137 # DEPENDENCYPART_ARC
(15,14),-0.861709 # DEPENDENCYPART_ARC
(15,16),0.207093 # DEPENDENCYPART_ARC
(15,17),-0.552125 # DEPENDENCYPART_ARC
(15,18),-0.807116 # DEPENDENCYPART_ARC
(15,19),-0.898038 # DEPENDENCYPART_ARC
(15,20),-1.20051 # DEPENDENCYPART_ARC
(16,1),-0.524472 # DEPENDENCYPART_ARC
(16,2),-2.43414 # DEPENDENCYPART_ARC
(16,3),-2.70567 # DEPENDENCYPART_ARC
(16,4),-2.357 # DEPENDENCYPART_ARC
(16,5),-2.68385 # DEPENDENCYPART_ARC
(16,6),-2.15956 # DEPENDENCYPART_ARC
(16,7),-1.69665 # DEPENDENCYPART_ARC
(16,8),-1.98352 # DEPENDENCYPART_ARC
(16,9),-1.92625 # DEPENDENCYPART_ARC
(16,10),-1.69755 # DEPENDENCYPART_ARC
(16,11),-1.63301 # DEPENDENCYPART_ARC
(16,12),-0.635747 # DEPENDENCYPART_ARC
(16,13),-1.18025 # DEPENDENCYPART_ARC
(16,14),-1.479 # DEPENDENCYPART_ARC
(16,15),0.247046 # DEPENDENCYPART_ARC
(16,17),-0.146912 # DEPENDENCYPART_ARC
(16,18),-0.699577 # DEPENDENCYPART_ARC
(16,19),-0.703654 # DEPENDENCYPART_ARC
(16,20),-0.960914 # DEPENDENCYPART_ARC
(17,1),-2.35781 # DEPENDENCYPART_ARC
(17,2),-3.32407 # DEPENDENCYPART_ARC
(17,3),-5.83077 # DEPENDENCYPART_ARC
(17,4),-3.39596 # DEPENDENCYPART_ARC
(17,5),-3.14676 # DEPENDENCYPART_ARC
(17,6),-2.84536 # DEPENDENCYPART_ARC
(17,7),-2.16409 # DEPENDENCYPART_ARC
(17,8),-2.23191 # DEPENDENCYPART_ARC
(17,9),-2.39221 # DEPENDENCYPART_ARC
(17,10),-1.96053 # DEPENDENCYPART_ARC
(17,11),-1.83409 # DEPENDENCYPART_ARC
(17,12),-0.0688608 # DEPENDENCYPART_ARC
(17,13),0.05909 # DEPENDENCYPART_ARC
(17,14),-1.10664 # DEPENDENCYPART_ARC
(17,15),-0.371802 # DEPENDENCYPART_ARC
(17,16),0.0961235 # DEPENDENCYPART_ARC
(17,18),1.18241 # DEPENDENCYPART_ARC
(17,19),-1.25668 # DEPENDENCYPART_ARC
(17,20),-1.50658 # DEPENDENCYPART_ARC
(18,1),-1.76088 # DEPENDENCYPART_ARC
(18,2),-2.59403 # DEPENDENCYPART_ARC
(18,3),-4.47686 # DEPENDENCYPART_ARC
(18,4),-2.67151 # DEPENDENCYPART_ARC
(18,5),-2.41363 # DEPENDENCYPART_ARC
(18,6),-2.09144 # DEPENDENCYPART_ARC
(18,7),-1.44284 # DEPENDENCYPART_ARC
(18,8),-1.51161 # DEPENDENCYPART_ARC
(18,9),-1.52757 # DEPENDENCYPART_ARC
(18,10),-1.23999 # DEPENDENCYPART_ARC
(18,11),-1.09903 # DEPENDENCYPART_ARC
(18,12),0.393036 # DEPENDENCYPART_ARC
(18,13),1.2437 # DEPENDENCYPART_ARC
(18,14),-0.992908 # DEPENDENCYPART_ARC
(18,15),0.219616 # DEPENDENCYPART_ARC
(18,16),0.591991 # DEPENDENCYPART_ARC
(18,17),5.62847 # DEPENDENCYPART_ARC
(18,19),0.750466 # DEPENDENCYPART_ARC
(18,20),0.158724 # DEPENDENCYPART_ARC
(19,1),2.97662 # DEPENDENCYPART_ARC
(19,2),-1.78843 # DEPENDENCYPART_ARC
(19,3),-0.88432 # DEPENDENCYPART_ARC
(19,4),0.671168 # DEPENDENCYPART_ARC
(19,5),-1.41643 # DEPENDENCYPART_ARC
(19,6),0.142606 # DEPENDENCYPART_ARC
(19,7),1.42851 # DEPENDENCYPART_ARC
(19,8),0.200229 # DEPENDENCYPART_ARC
(19,9),-0.789335 # DEPENDENCYPART_ARC
(19,10),-0.0614157 # DEPENDENCYPART_ARC
(19,11),-0.91553 # DEPENDENCYPART_ARC
(19,12),-0.756028 # DEPENDENCYPART_ARC
(19,13),-0.373124 # DEPENDENCYPART_ARC
(19,14),-0.550869 # DEPENDENCYPART_ARC
(19,15),3.63356 # DEPENDENCYPART_ARC
(19,16),3.64905 # DEPENDENCYPART_ARC
(19,17),1.13613 # DEPENDENCYPART_ARC
(19,18),2.63753 # DEPENDENCYPART_ARC
(19,20),8.17786 # DEPENDENCYPART_ARC
(20,1),-2.61676 # DEPENDENCYPART_ARC
(20,2),-2.7116 # DEPENDENCYPART_ARC
(20,3),-2.74234 # DEPENDENCYPART_ARC
(20,4),-2.06544 # DEPENDENCYPART_ARC
(20,5),-2.40868 # DEPENDENCYPART_ARC
(20,6),-2.46693 # DEPENDENCYPART_ARC
(20,7),-1.3738 # DEPENDENCYPART_ARC
(20,8),-2.23764 # DEPENDENCYPART_ARC
(20,9),-2.18162 # DEPENDENCYPART_ARC
(20,10),-2.06456 # DEPENDENCYPART_ARC
(20,11),-1.90003 # DEPENDENCYPART_ARC
(20,12),-1.57562 # DEPENDENCYPART_ARC
(20,13),-1.90813 # DEPENDENCYPART_ARC
(20,14),-1.72764 # DEPENDENCYPART_ARC
(20,15),-1.07069 # DEPENDENCYPART_ARC
(20,16),-1.46874 # DEPENDENCYPART_ARC
(20,17),-1.24491 # DEPENDENCYPART_ARC
(20,18),-1.83932 # DEPENDENCYPART_ARC
(20,19),-0.970935 # DEPENDENCYPART_ARC
