# _root_ Two years ago , Tokyo 's biggest fall came the day after New York 's 22.6 % Black Monday plunge , when the Nikkei average fell 14.9 % .
#goldHeads=2,3,9,9,8,5,8,9,0,11,9,11,14,20,14,17,20,20,20,12,11,26,25,25,26,11,28,26,9,
#predictedHeads=2,3,26,9,8,5,8,9,0,11,9,9,14,20,14,17,20,20,20,12,20,26,25,25,26,9,28,26,9,
(2,29),-0.986795 # DEPENDENCYPART_ARC
(3,1),1.34913 # DEPENDENCYPART_ARC
(3,2),4.33732 # DEPENDENCYPART_ARC
(3,4),0.74426 # DEPENDENCYPART_ARC
(3,5),-0.331826 # DEPENDENCYPART_ARC
(3,6),-0.713123 # DEPENDENCYPART_ARC
(3,7),-1.1471 # DEPENDENCYPART_ARC
(3,8),-0.735075 # DEPENDENCYPART_ARC
(3,9),-0.0870368 # DEPENDENCYPART_ARC
(3,10),-1.39182 # DEPENDENCYPART_ARC
(3,11),-1.91974 # DEPENDENCYPART_ARC
(3,12),-2.03012 # DEPENDENCYPART_ARC
(3,13),-2.10052 # DEPENDENCYPART_ARC
(3,14),-1.75672 # DEPENDENCYPART_ARC
(3,15),-2.10454 # DEPENDENCYPART_ARC
(3,16),-2.66901 # DEPENDENCYPART_ARC
(3,17),-2.27759 # DEPENDENCYPART_ARC
(3,18),-2.41155 # DEPENDENCYPART_ARC
(3,19),-2.60409 # DEPENDENCYPART_ARC
(3,20),-2.59053 # DEPENDENCYPART_ARC
(3,21),-0.373441 # DEPENDENCYPART_ARC
(3,22),-2.76245 # DEPENDENCYPART_ARC
(3,23),-2.93974 # DEPENDENCYPART_ARC
(3,24),-3.12039 # DEPENDENCYPART_ARC
(3,25),-4.18154 # DEPENDENCYPART_ARC
(3,26),0.694237 # DEPENDENCYPART_ARC
(3,27),-5.25832 # DEPENDENCYPART_ARC
(3,28),-3.95476 # DEPENDENCYPART_ARC
(3,29),-1.19749 # DEPENDENCYPART_ARC
(4,1),-1.76079 # DEPENDENCYPART_ARC
(4,2),-2.16035 # DEPENDENCYPART_ARC
(4,3),-1.47609 # DEPENDENCYPART_ARC
(4,5),-0.165692 # DEPENDENCYPART_ARC
(4,6),-0.559391 # DEPENDENCYPART_ARC
(4,7),-1.52324 # DEPENDENCYPART_ARC
(4,8),-1.69243 # DEPENDENCYPART_ARC
(4,9),-1.27907 # DEPENDENCYPART_ARC
(4,10),-1.89132 # DEPENDENCYPART_ARC
(4,11),-2.43215 # DEPENDENCYPART_ARC
(4,12),-1.58483 # DEPENDENCYPART_ARC
(4,13),-2.2343 # DEPENDENCYPART_ARC
(4,14),-2.35777 # DEPENDENCYPART_ARC
(4,15),-2.36826 # DEPENDENCYPART_ARC
(4,16),-2.89694 # DEPENDENCYPART_ARC
(4,17),-2.89679 # DEPENDENCYPART_ARC
(4,18),-2.81757 # DEPENDENCYPART_ARC
(4,19),-2.9105 # DEPENDENCYPART_ARC
(4,20),-3.191 # DEPENDENCYPART_ARC
(4,21),-2.38196 # DEPENDENCYPART_ARC
(4,22),-3.17286 # DEPENDENCYPART_ARC
(4,23),-3.32119 # DEPENDENCYPART_ARC
(4,24),-3.42863 # DEPENDENCYPART_ARC
(4,25),-3.70631 # DEPENDENCYPART_ARC
(4,26),-2.97929 # DEPENDENCYPART_ARC
(4,27),-3.94932 # DEPENDENCYPART_ARC
(4,28),-4.10314 # DEPENDENCYPART_ARC
(4,29),-3.05547 # DEPENDENCYPART_ARC
(5,1),-0.479271 # DEPENDENCYPART_ARC
(5,2),-1.06162 # DEPENDENCYPART_ARC
(5,3),-0.908495 # DEPENDENCYPART_ARC
(5,4),-0.0375632 # DEPENDENCYPART_ARC
(5,6),4.55617 # DEPENDENCYPART_ARC
(5,7),0.942237 # DEPENDENCYPART_ARC
(5,8),0.436518 # DEPENDENCYPART_ARC
(5,9),0.0806242 # DEPENDENCYPART_ARC
(5,10),-0.228242 # DEPENDENCYPART_ARC
(5,11),-1.20894 # DEPENDENCYPART_ARC
(5,12),-0.353343 # DEPENDENCYPART_ARC
(5,13),-1.31243 # DEPENDENCYPART_ARC
(5,14),-1.00539 # DEPENDENCYPART_ARC
(5,15),0.856231 # DEPENDENCYPART_ARC
(5,16),-1.26532 # DEPENDENCYPART_ARC
(5,17),-2.3283 # DEPENDENCYPART_ARC
(5,18),-1.72525 # DEPENDENCYPART_ARC
(5,19),-1.50214 # DEPENDENCYPART_ARC
(5,20),-2.62943 # DEPENDENCYPART_ARC
(5,21),0.380946 # DEPENDENCYPART_ARC
(5,22),-2.01402 # DEPENDENCYPART_ARC
(5,23),-1.21535 # DEPENDENCYPART_ARC
(5,24),-2.63548 # DEPENDENCYPART_ARC
(5,25),-3.89834 # DEPENDENCYPART_ARC
(5,26),-1.72144 # DEPENDENCYPART_ARC
(5,27),-3.09535 # DEPENDENCYPART_ARC
(5,28),-5.6557 # DEPENDENCYPART_ARC
(5,29),-0.996942 # DEPENDENCYPART_ARC
(6,1),-0.866047 # DEPENDENCYPART_ARC
(6,2),-0.693296 # DEPENDENCYPART_ARC
(6,3),-0.858346 # DEPENDENCYPART_ARC
(6,4),-0.056937 # DEPENDENCYPART_ARC
(6,5),0.914007 # DEPENDENCYPART_ARC
(6,7),-0.68554 # DEPENDENCYPART_ARC
(6,8),-0.902234 # DEPENDENCYPART_ARC
(6,9),-0.746235 # DEPENDENCYPART_ARC
(6,10),-1.71628 # DEPENDENCYPART_ARC
(6,11),-1.58775 # DEPENDENCYPART_ARC
(6,12),-1.62801 # DEPENDENCYPART_ARC
(6,13),-2.41793 # DEPENDENCYPART_ARC
(6,14),-2.51477 # DEPENDENCYPART_ARC
(6,15),-2.08079 # DEPENDENCYPART_ARC
(6,16),-2.78278 # DEPENDENCYPART_ARC
(6,17),-2.47147 # DEPENDENCYPART_ARC
(6,18),-2.96609 # DEPENDENCYPART_ARC
(6,19),-3.01577 # DEPENDENCYPART_ARC
(6,20),-2.91314 # DEPENDENCYPART_ARC
(6,21),-3.49966 # DEPENDENCYPART_ARC
(6,22),-3.07429 # DEPENDENCYPART_ARC
(6,23),-2.69142 # DEPENDENCYPART_ARC
(6,24),-3.60576 # DEPENDENCYPART_ARC
(6,25),-3.35436 # DEPENDENCYPART_ARC
(6,26),-2.18007 # DEPENDENCYPART_ARC
(6,27),-3.76737 # DEPENDENCYPART_ARC
(6,28),-3.69961 # DEPENDENCYPART_ARC
(6,29),-4.17929 # DEPENDENCYPART_ARC
(7,1),-1.04964 # DEPENDENCYPART_ARC
(7,2),-0.902574 # DEPENDENCYPART_ARC
(7,3),0.145214 # DEPENDENCYPART_ARC
(7,4),-0.0974242 # DEPENDENCYPART_ARC
(7,5),0.050879 # DEPENDENCYPART_ARC
(7,6),0.761829 # DEPENDENCYPART_ARC
(7,8),1.07011 # DEPENDENCYPART_ARC
(7,9),1.00548 # DEPENDENCYPART_ARC
(7,10),-0.576973 # DEPENDENCYPART_ARC
(7,11),-0.189484 # DEPENDENCYPART_ARC
(7,12),-0.477601 # DEPENDENCYPART_ARC
(7,13),-0.918504 # DEPENDENCYPART_ARC
(7,14),-1.03997 # DEPENDENCYPART_ARC
(7,15),-1.15315 # DEPENDENCYPART_ARC
(7,16),-1.56854 # DEPENDENCYPART_ARC
(7,17),-0.772981 # DEPENDENCYPART_ARC
(7,18),-1.49292 # DEPENDENCYPART_ARC
(7,19),-1.64067 # DEPENDENCYPART_ARC
(7,20),-1.11786 # DEPENDENCYPART_ARC
(7,21),-1.03106 # DEPENDENCYPART_ARC
(7,22),-1.85391 # DEPENDENCYPART_ARC
(7,23),-2.10473 # DEPENDENCYPART_ARC
(7,24),-2.11631 # DEPENDENCYPART_ARC
(7,25),-1.65993 # DEPENDENCYPART_ARC
(7,26),-1.2908 # DEPENDENCYPART_ARC
(7,27),-2.66185 # DEPENDENCYPART_ARC
(7,28),-1.69075 # DEPENDENCYPART_ARC
(7,29),-1.58162 # DEPENDENCYPART_ARC
(8,1),0.424893 # DEPENDENCYPART_ARC
(8,2),0.230795 # DEPENDENCYPART_ARC
(8,3),-1.05063 # DEPENDENCYPART_ARC
(8,4),0.573149 # DEPENDENCYPART_ARC
(8,5),4.04175 # DEPENDENCYPART_ARC
(8,6),1.47801 # DEPENDENCYPART_ARC
(8,7),3.58156 # DEPENDENCYPART_ARC
(8,9),0.988143 # DEPENDENCYPART_ARC
(8,10),-0.358738 # DEPENDENCYPART_ARC
(8,11),0.0918843 # DEPENDENCYPART_ARC
(8,12),0.501163 # DEPENDENCYPART_ARC
(8,13),-0.393175 # DEPENDENCYPART_ARC
(8,14),-0.585956 # DEPENDENCYPART_ARC
(8,15),-0.372149 # DEPENDENCYPART_ARC
(8,16),-0.606998 # DEPENDENCYPART_ARC
(8,17),-1.17343 # DEPENDENCYPART_ARC
(8,18),-0.850806 # DEPENDENCYPART_ARC
(8,19),0.388655 # DEPENDENCYPART_ARC
(8,20),-0.723172 # DEPENDENCYPART_ARC
(8,21),-0.120006 # DEPENDENCYPART_ARC
(8,22),-2.33298 # DEPENDENCYPART_ARC
(8,23),-1.87335 # DEPENDENCYPART_ARC
(8,24),-1.10642 # DEPENDENCYPART_ARC
(8,25),-1.58548 # DEPENDENCYPART_ARC
(8,26),-3.28194 # DEPENDENCYPART_ARC
(8,27),-2.05333 # DEPENDENCYPART_ARC
(8,28),-3.09956 # DEPENDENCYPART_ARC
(8,29),-0.523891 # DEPENDENCYPART_ARC
(9,1),0.850734 # DEPENDENCYPART_ARC
(9,2),0.726496 # DEPENDENCYPART_ARC
(9,3),1.19959 # DEPENDENCYPART_ARC
(9,4),3.17095 # DEPENDENCYPART_ARC
(9,5),1.33848 # DEPENDENCYPART_ARC
(9,6),0.502257 # DEPENDENCYPART_ARC
(9,7),1.43983 # DEPENDENCYPART_ARC
(9,8),2.28438 # DEPENDENCYPART_ARC
(9,10),0.769058 # DEPENDENCYPART_ARC
(9,11),2.23938 # DEPENDENCYPART_ARC
(9,12),3.19638 # DEPENDENCYPART_ARC
(9,13),0.545682 # DEPENDENCYPART_ARC
(9,14),1.0452 # DEPENDENCYPART_ARC
(9,15),0.116695 # DEPENDENCYPART_ARC
(9,16),-0.30401 # DEPENDENCYPART_ARC
(9,17),0.574219 # DEPENDENCYPART_ARC
(9,18),0.747221 # DEPENDENCYPART_ARC
(9,19),2.3357 # DEPENDENCYPART_ARC
(9,20),0.505671 # DEPENDENCYPART_ARC
(9,21),1.30808 # DEPENDENCYPART_ARC
(9,22),-0.496183 # DEPENDENCYPART_ARC
(9,23),-1.42621 # DEPENDENCYPART_ARC
(9,24),-0.236654 # DEPENDENCYPART_ARC
(9,25),-1.35447 # DEPENDENCYPART_ARC
(9,26),1.65453 # DEPENDENCYPART_ARC
(9,27),-1.08172 # DEPENDENCYPART_ARC
(9,28),-1.40083 # DEPENDENCYPART_ARC
(9,29),6.37185 # DEPENDENCYPART_ARC
(10,1),-2.44244 # DEPENDENCYPART_ARC
(10,2),-2.66223 # DEPENDENCYPART_ARC
(10,3),-2.51166 # DEPENDENCYPART_ARC
(10,4),-2.16126 # DEPENDENCYPART_ARC
(10,5),-2.1298 # DEPENDENCYPART_ARC
(10,6),-1.78907 # DEPENDENCYPART_ARC
(10,7),-0.925605 # DEPENDENCYPART_ARC
(10,8),-1.71707 # DEPENDENCYPART_ARC
(10,9),-0.804773 # DEPENDENCYPART_ARC
(10,11),-0.444212 # DEPENDENCYPART_ARC
(10,12),-1.41172 # DEPENDENCYPART_ARC
(10,13),-1.58014 # DEPENDENCYPART_ARC
(10,14),-1.78103 # DEPENDENCYPART_ARC
(10,15),-2.24554 # DEPENDENCYPART_ARC
(10,16),-1.82489 # DEPENDENCYPART_ARC
(10,17),-2.09282 # DEPENDENCYPART_ARC
(10,18),-2.56291 # DEPENDENCYPART_ARC
(10,19),-2.57926 # DEPENDENCYPART_ARC
(10,20),-2.35875 # DEPENDENCYPART_ARC
(10,21),-1.84748 # DEPENDENCYPART_ARC
(10,22),-2.99838 # DEPENDENCYPART_ARC
(10,23),-3.50712 # DEPENDENCYPART_ARC
(10,24),-3.35432 # DEPENDENCYPART_ARC
(10,25),-2.91283 # DEPENDENCYPART_ARC
(10,26),-2.82681 # DEPENDENCYPART_ARC
(10,27),-3.35092 # DEPENDENCYPART_ARC
(10,28),-3.44551 # DEPENDENCYPART_ARC
(10,29),-3.58698 # DEPENDENCYPART_ARC
(11,1),-1.10049 # DEPENDENCYPART_ARC
(11,2),-0.951964 # DEPENDENCYPART_ARC
(11,3),-3.12494 # DEPENDENCYPART_ARC
(11,4),-1.34381 # DEPENDENCYPART_ARC
(11,5),0.214234 # DEPENDENCYPART_ARC
(11,6),-0.264599 # DEPENDENCYPART_ARC
(11,7),1.3124 # DEPENDENCYPART_ARC
(11,8),-0.314642 # DEPENDENCYPART_ARC
(11,9),0.10037 # DEPENDENCYPART_ARC
(11,10),4.65069 # DEPENDENCYPART_ARC
(11,12),1.65021 # DEPENDENCYPART_ARC
(11,13),-0.0774141 # DEPENDENCYPART_ARC
(11,14),0.0297157 # DEPENDENCYPART_ARC
(11,15),0.569638 # DEPENDENCYPART_ARC
(11,16),-0.103944 # DEPENDENCYPART_ARC
(11,17),-0.876295 # DEPENDENCYPART_ARC
(11,18),-0.604453 # DEPENDENCYPART_ARC
(11,19),0.615589 # DEPENDENCYPART_ARC
(11,20),-0.143964 # DEPENDENCYPART_ARC
(11,21),1.3108 # DEPENDENCYPART_ARC
(11,22),-2.0344 # DEPENDENCYPART_ARC
(11,23),-1.75472 # DEPENDENCYPART_ARC
(11,24),-0.951216 # DEPENDENCYPART_ARC
(11,25),-0.961621 # DEPENDENCYPART_ARC
(11,26),-1.06026 # DEPENDENCYPART_ARC
(11,27),-1.75964 # DEPENDENCYPART_ARC
(11,28),-3.25197 # DEPENDENCYPART_ARC
(11,29),-0.0894508 # DEPENDENCYPART_ARC
(12,1),-1.61091 # DEPENDENCYPART_ARC
(12,2),0.231536 # DEPENDENCYPART_ARC
(12,3),-1.23393 # DEPENDENCYPART_ARC
(12,4),-1.37669 # DEPENDENCYPART_ARC
(12,5),-1.10005 # DEPENDENCYPART_ARC
(12,6),-0.464024 # DEPENDENCYPART_ARC
(12,7),-0.752361 # DEPENDENCYPART_ARC
(12,8),-0.445344 # DEPENDENCYPART_ARC
(12,9),-0.493001 # DEPENDENCYPART_ARC
(12,10),0.471104 # DEPENDENCYPART_ARC
(12,11),1.62619 # DEPENDENCYPART_ARC
(12,13),0.592598 # DEPENDENCYPART_ARC
(12,14),0.0838945 # DEPENDENCYPART_ARC
(12,15),-0.26345 # DEPENDENCYPART_ARC
(12,16),-1.11498 # DEPENDENCYPART_ARC
(12,17),0.135525 # DEPENDENCYPART_ARC
(12,18),-0.75454 # DEPENDENCYPART_ARC
(12,19),-2.06172 # DEPENDENCYPART_ARC
(12,20),1.71166 # DEPENDENCYPART_ARC
(12,21),0.804396 # DEPENDENCYPART_ARC
(12,22),-1.44532 # DEPENDENCYPART_ARC
(12,23),-2.71874 # DEPENDENCYPART_ARC
(12,24),-4.25691 # DEPENDENCYPART_ARC
(12,25),-0.674537 # DEPENDENCYPART_ARC
(12,26),1.30381 # DEPENDENCYPART_ARC
(12,27),-4.34534 # DEPENDENCYPART_ARC
(12,28),-6.04281 # DEPENDENCYPART_ARC
(12,29),-0.825213 # DEPENDENCYPART_ARC
(13,1),-5.26749 # DEPENDENCYPART_ARC
(13,2),-5.68524 # DEPENDENCYPART_ARC
(13,3),-5.94156 # DEPENDENCYPART_ARC
(13,4),-5.63081 # DEPENDENCYPART_ARC
(13,5),-5.05516 # DEPENDENCYPART_ARC
(13,6),-4.94788 # DEPENDENCYPART_ARC
(13,7),-4.64634 # DEPENDENCYPART_ARC
(13,8),-4.21708 # DEPENDENCYPART_ARC
(13,9),-4.19298 # DEPENDENCYPART_ARC
(13,10),-1.94723 # DEPENDENCYPART_ARC
(13,11),-3.70313 # DEPENDENCYPART_ARC
(13,12),-2.39721 # DEPENDENCYPART_ARC
(13,14),-0.0800031 # DEPENDENCYPART_ARC
(13,15),0.491328 # DEPENDENCYPART_ARC
(13,16),-1.13671 # DEPENDENCYPART_ARC
(13,17),-1.27688 # DEPENDENCYPART_ARC
(13,18),-1.71915 # DEPENDENCYPART_ARC
(13,19),-1.96322 # DEPENDENCYPART_ARC
(13,20),-0.844452 # DEPENDENCYPART_ARC
(13,21),0.0756699 # DEPENDENCYPART_ARC
(13,22),-3.08943 # DEPENDENCYPART_ARC
(13,23),-2.13518 # DEPENDENCYPART_ARC
(13,24),-3.34575 # DEPENDENCYPART_ARC
(13,25),-2.87272 # DEPENDENCYPART_ARC
(13,26),-1.87874 # DEPENDENCYPART_ARC
(13,27),-3.69406 # DEPENDENCYPART_ARC
(13,28),-4.72553 # DEPENDENCYPART_ARC
(13,29),-3.10366 # DEPENDENCYPART_ARC
(14,1),-2.56673 # DEPENDENCYPART_ARC
(14,2),-2.63305 # DEPENDENCYPART_ARC
(14,3),-3.95295 # DEPENDENCYPART_ARC
(14,4),-2.90362 # DEPENDENCYPART_ARC
(14,5),-0.993029 # DEPENDENCYPART_ARC
(14,6),-1.94993 # DEPENDENCYPART_ARC
(14,7),-1.81625 # DEPENDENCYPART_ARC
(14,8),-2.14724 # DEPENDENCYPART_ARC
(14,9),-1.45945 # DEPENDENCYPART_ARC
(14,10),0.96163 # DEPENDENCYPART_ARC
(14,11),-1.34909 # DEPENDENCYPART_ARC
(14,12),-0.341559 # DEPENDENCYPART_ARC
(14,13),7.21249 # DEPENDENCYPART_ARC
(14,15),3.59795 # DEPENDENCYPART_ARC
(14,16),0.229003 # DEPENDENCYPART_ARC
(14,17),-0.532781 # DEPENDENCYPART_ARC
(14,18),-0.657957 # DEPENDENCYPART_ARC
(14,19),-0.544686 # DEPENDENCYPART_ARC
(14,20),-0.637265 # DEPENDENCYPART_ARC
(14,21),0.19698 # DEPENDENCYPART_ARC
(14,22),-1.90047 # DEPENDENCYPART_ARC
(14,23),-1.11631 # DEPENDENCYPART_ARC
(14,24),-2.19979 # DEPENDENCYPART_ARC
(14,25),-2.72103 # DEPENDENCYPART_ARC
(14,26),-0.662836 # DEPENDENCYPART_ARC
(14,27),-2.57624 # DEPENDENCYPART_ARC
(14,28),-4.61989 # DEPENDENCYPART_ARC
(14,29),-0.903529 # DEPENDENCYPART_ARC
(15,1),-2.17795 # DEPENDENCYPART_ARC
(15,2),-1.94368 # DEPENDENCYPART_ARC
(15,3),-2.68901 # DEPENDENCYPART_ARC
(15,4),-2.13896 # DEPENDENCYPART_ARC
(15,5),-0.975658 # DEPENDENCYPART_ARC
(15,6),-1.30441 # DEPENDENCYPART_ARC
(15,7),-0.998806 # DEPENDENCYPART_ARC
(15,8),-1.85717 # DEPENDENCYPART_ARC
(15,9),-1.13 # DEPENDENCYPART_ARC
(15,10),0.051881 # DEPENDENCYPART_ARC
(15,11),-1.18741 # DEPENDENCYPART_ARC
(15,12),-0.474628 # DEPENDENCYPART_ARC
(15,13),0.636367 # DEPENDENCYPART_ARC
(15,14),1.14364 # DEPENDENCYPART_ARC
(15,16),-0.0451768 # DEPENDENCYPART_ARC
(15,17),-0.647211 # DEPENDENCYPART_ARC
(15,18),-1.04691 # DEPENDENCYPART_ARC
(15,19),-1.29206 # DEPENDENCYPART_ARC
(15,20),-1.65886 # DEPENDENCYPART_ARC
(15,21),-1.56353 # DEPENDENCYPART_ARC
(15,22),-1.99657 # DEPENDENCYPART_ARC
(15,23),-1.75432 # DEPENDENCYPART_ARC
(15,24),-2.28312 # DEPENDENCYPART_ARC
(15,25),-2.28885 # DEPENDENCYPART_ARC
(15,26),-1.3088 # DEPENDENCYPART_ARC
(15,27),-2.69741 # DEPENDENCYPART_ARC
(15,28),-2.65329 # DEPENDENCYPART_ARC
(15,29),-2.80194 # DEPENDENCYPART_ARC
(16,1),-1.55014 # DEPENDENCYPART_ARC
(16,2),-2.00579 # DEPENDENCYPART_ARC
(16,3),-1.82191 # DEPENDENCYPART_ARC
(16,4),-2.18339 # DEPENDENCYPART_ARC
(16,5),-1.33863 # DEPENDENCYPART_ARC
(16,6),-1.66244 # DEPENDENCYPART_ARC
(16,7),-0.524156 # DEPENDENCYPART_ARC
(16,8),-1.57442 # DEPENDENCYPART_ARC
(16,9),-1.19993 # DEPENDENCYPART_ARC
(16,10),-0.218866 # DEPENDENCYPART_ARC
(16,11),-0.781839 # DEPENDENCYPART_ARC
(16,12),-0.00570098 # DEPENDENCYPART_ARC
(16,13),0.464077 # DEPENDENCYPART_ARC
(16,14),0.78445 # DEPENDENCYPART_ARC
(16,15),0.89313 # DEPENDENCYPART_ARC
(16,17),1.19709 # DEPENDENCYPART_ARC
(16,18),-0.17393 # DEPENDENCYPART_ARC
(16,19),-0.396708 # DEPENDENCYPART_ARC
(16,20),-0.712735 # DEPENDENCYPART_ARC
(16,21),-0.111142 # DEPENDENCYPART_ARC
(16,22),-1.38682 # DEPENDENCYPART_ARC
(16,23),-1.32918 # DEPENDENCYPART_ARC
(16,24),-1.17333 # DEPENDENCYPART_ARC
(16,25),-1.36599 # DEPENDENCYPART_ARC
(16,26),-0.502203 # DEPENDENCYPART_ARC
(16,27),-1.5281 # DEPENDENCYPART_ARC
(16,28),-1.90505 # DEPENDENCYPART_ARC
(16,29),-1.34403 # DEPENDENCYPART_ARC
(17,1),-2.44158 # DEPENDENCYPART_ARC
(17,2),-2.8888 # DEPENDENCYPART_ARC
(17,3),-4.61408 # DEPENDENCYPART_ARC
(17,4),-3.0829 # DEPENDENCYPART_ARC
(17,5),-3.58251 # DEPENDENCYPART_ARC
(17,6),-2.37016 # DEPENDENCYPART_ARC
(17,7),-0.84237 # DEPENDENCYPART_ARC
(17,8),-4.14481 # DEPENDENCYPART_ARC
(17,9),-2.51133 # DEPENDENCYPART_ARC
(17,10),-1.65833 # DEPENDENCYPART_ARC
(17,11),-2.2862 # DEPENDENCYPART_ARC
(17,12),-1.30577 # DEPENDENCYPART_ARC
(17,13),0.380632 # DEPENDENCYPART_ARC
(17,14),0.482021 # DEPENDENCYPART_ARC
(17,15),0.267473 # DEPENDENCYPART_ARC
(17,16),3.1088 # DEPENDENCYPART_ARC
(17,18),0.769984 # DEPENDENCYPART_ARC
(17,19),1.184 # DEPENDENCYPART_ARC
(17,20),0.740357 # DEPENDENCYPART_ARC
(17,21),1.14471 # DEPENDENCYPART_ARC
(17,22),-1.23819 # DEPENDENCYPART_ARC
(17,23),-0.594897 # DEPENDENCYPART_ARC
(17,24),-0.307029 # DEPENDENCYPART_ARC
(17,25),-0.404118 # DEPENDENCYPART_ARC
(17,26),-0.714303 # DEPENDENCYPART_ARC
(17,27),-0.801622 # DEPENDENCYPART_ARC
(17,28),-1.84406 # DEPENDENCYPART_ARC
(17,29),1.16696 # DEPENDENCYPART_ARC
(18,1),-3.44195 # DEPENDENCYPART_ARC
(18,2),-3.59562 # DEPENDENCYPART_ARC
