# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,10,0,12,10,10,16,16,10,10,10,18,21,23,21,18,10,
(1,12),-2.4839 # DEPENDENCYPART_ARC
(1,13),-1.50949 # DEPENDENCYPART_ARC
(1,14),-3.14678 # DEPENDENCYPART_ARC
(1,15),-2.80224 # DEPENDENCYPART_ARC
(1,16),-2.83836 # DEPENDENCYPART_ARC
(1,17),-1.95989 # DEPENDENCYPART_ARC
(1,18),-2.66406 # DEPENDENCYPART_ARC
(1,19),-2.99125 # DEPENDENCYPART_ARC
(1,20),-3.78425 # DEPENDENCYPART_ARC
(1,21),-3.28303 # DEPENDENCYPART_ARC
(1,22),-3.82015 # DEPENDENCYPART_ARC
(1,23),-3.4908 # DEPENDENCYPART_ARC
(1,24),-2.21798 # DEPENDENCYPART_ARC
(2,1),1.87653 # DEPENDENCYPART_ARC
(2,3),1.14266 # DEPENDENCYPART_ARC
(2,4),0.81704 # DEPENDENCYPART_ARC
(2,5),-0.387684 # DEPENDENCYPART_ARC
(2,6),-0.485135 # DEPENDENCYPART_ARC
(2,7),-0.493157 # DEPENDENCYPART_ARC
(2,8),-0.817181 # DEPENDENCYPART_ARC
(2,9),-0.925762 # DEPENDENCYPART_ARC
(2,10),-0.830708 # DEPENDENCYPART_ARC
(2,11),-1.99431 # DEPENDENCYPART_ARC
(2,12),-1.58501 # DEPENDENCYPART_ARC
(2,13),-0.11083 # DEPENDENCYPART_ARC
(2,14),-1.77244 # DEPENDENCYPART_ARC
(2,15),-1.50593 # DEPENDENCYPART_ARC
(2,16),-2.66119 # DEPENDENCYPART_ARC
(2,17),-1.65935 # DEPENDENCYPART_ARC
(2,18),-2.28861 # DEPENDENCYPART_ARC
(2,19),-2.72633 # DEPENDENCYPART_ARC
(2,20),-2.47544 # DEPENDENCYPART_ARC
(2,21),-4.1622 # DEPENDENCYPART_ARC
(2,22),-2.69223 # DEPENDENCYPART_ARC
(2,23),-2.67113 # DEPENDENCYPART_ARC
(2,24),-0.864204 # DEPENDENCYPART_ARC
(3,1),4.19747 # DEPENDENCYPART_ARC
(3,2),4.85411 # DEPENDENCYPART_ARC
(3,4),1.85705 # DEPENDENCYPART_ARC
(3,5),0.749207 # DEPENDENCYPART_ARC
(3,6),0.632955 # DEPENDENCYPART_ARC
(3,7),0.603312 # DEPENDENCYPART_ARC
(3,8),0.415458 # DEPENDENCYPART_ARC
(3,9),0.041042 # DEPENDENCYPART_ARC
(3,10),0.397005 # DEPENDENCYPART_ARC
(3,11),-1.20316 # DEPENDENCYPART_ARC
(3,12),-0.0731146 # DEPENDENCYPART_ARC
(3,13),1.40513 # DEPENDENCYPART_ARC
(3,14),-1.24929 # DEPENDENCYPART_ARC
(3,15),-0.895056 # DEPENDENCYPART_ARC
(3,16),-1.06159 # DEPENDENCYPART_ARC
(3,17),-0.00514226 # DEPENDENCYPART_ARC
(3,18),-1.19952 # DEPENDENCYPART_ARC
(3,19),-1.51959 # DEPENDENCYPART_ARC
(3,20),-1.76814 # DEPENDENCYPART_ARC
(3,21),-2.86777 # DEPENDENCYPART_ARC
(3,22),-1.36769 # DEPENDENCYPART_ARC
(3,23),-1.6856 # DEPENDENCYPART_ARC
(3,24),-0.32437 # DEPENDENCYPART_ARC
(4,1),-0.271773 # DEPENDENCYPART_ARC
(4,2),-0.0346044 # DEPENDENCYPART_ARC
(4,3),0.0972301 # DEPENDENCYPART_ARC
(4,5),1.6691 # DEPENDENCYPART_ARC
(4,6),1.07442 # DEPENDENCYPART_ARC
(4,7),0.581436 # DEPENDENCYPART_ARC
(4,8),0.461537 # DEPENDENCYPART_ARC
(4,9),1.83436 # DEPENDENCYPART_ARC
(4,10),-0.448612 # DEPENDENCYPART_ARC
(4,11),-0.556056 # DEPENDENCYPART_ARC
(4,12),-0.50512 # DEPENDENCYPART_ARC
(4,13),-0.0713459 # DEPENDENCYPART_ARC
(4,14),-2.77478 # DEPENDENCYPART_ARC
(4,15),-1.51597 # DEPENDENCYPART_ARC
(4,16),-2.09043 # DEPENDENCYPART_ARC
(4,17),-0.993717 # DEPENDENCYPART_ARC
(4,18),-1.82668 # DEPENDENCYPART_ARC
(4,19),-0.607964 # DEPENDENCYPART_ARC
(4,20),-4.20688 # DEPENDENCYPART_ARC
(4,21),-7.1733 # DEPENDENCYPART_ARC
(4,22),-2.34559 # DEPENDENCYPART_ARC
(4,23),-6.45998 # DEPENDENCYPART_ARC
(4,24),-0.316568 # DEPENDENCYPART_ARC
(5,1),-0.24187 # DEPENDENCYPART_ARC
(5,2),-0.634893 # DEPENDENCYPART_ARC
(5,3),-0.173343 # DEPENDENCYPART_ARC
(5,4),1.27129 # DEPENDENCYPART_ARC
(5,6),1.34042 # DEPENDENCYPART_ARC
(5,7),0.672535 # DEPENDENCYPART_ARC
(5,8),0.254736 # DEPENDENCYPART_ARC
(5,9),-0.192965 # DEPENDENCYPART_ARC
(5,10),0.361113 # DEPENDENCYPART_ARC
(5,11),-0.786252 # DEPENDENCYPART_ARC
(5,12),0.0556986 # DEPENDENCYPART_ARC
(5,13),-0.187607 # DEPENDENCYPART_ARC
(5,14),-0.962096 # DEPENDENCYPART_ARC
(5,15),-0.553929 # DEPENDENCYPART_ARC
(5,16),-0.084056 # DEPENDENCYPART_ARC
(5,17),-0.327498 # DEPENDENCYPART_ARC
(5,18),-0.79858 # DEPENDENCYPART_ARC
(5,19),-1.28144 # DEPENDENCYPART_ARC
(5,20),-1.69743 # DEPENDENCYPART_ARC
(5,21),-0.895385 # DEPENDENCYPART_ARC
(5,22),-0.960332 # DEPENDENCYPART_ARC
(5,23),-1.63154 # DEPENDENCYPART_ARC
(5,24),-1.38931 # DEPENDENCYPART_ARC
(6,1),0.623647 # DEPENDENCYPART_ARC
(6,2),0.737914 # DEPENDENCYPART_ARC
(6,3),0.0674575 # DEPENDENCYPART_ARC
(6,4),0.537019 # DEPENDENCYPART_ARC
(6,5),1.42317 # DEPENDENCYPART_ARC
(6,7),1.10645 # DEPENDENCYPART_ARC
(6,8),0.473464 # DEPENDENCYPART_ARC
(6,9),0.512551 # DEPENDENCYPART_ARC
(6,10),-0.0304464 # DEPENDENCYPART_ARC
(6,11),-0.413868 # DEPENDENCYPART_ARC
(6,12),-0.487969 # DEPENDENCYPART_ARC
(6,13),-0.619877 # DEPENDENCYPART_ARC
(6,14),-1.32181 # DEPENDENCYPART_ARC
(6,15),-0.947314 # DEPENDENCYPART_ARC
(6,16),-0.844735 # DEPENDENCYPART_ARC
(6,17),-1.03217 # DEPENDENCYPART_ARC
(6,18),-1.04778 # DEPENDENCYPART_ARC
(6,19),-1.09667 # DEPENDENCYPART_ARC
(6,20),-2.13403 # DEPENDENCYPART_ARC
(6,21),-1.95591 # DEPENDENCYPART_ARC
(6,22),-1.37268 # DEPENDENCYPART_ARC
(6,23),-1.20346 # DEPENDENCYPART_ARC
(6,24),-0.787635 # DEPENDENCYPART_ARC
(7,1),0.517041 # DEPENDENCYPART_ARC
(7,2),0.95865 # DEPENDENCYPART_ARC
(7,3),0.11483 # DEPENDENCYPART_ARC
(7,4),0.612868 # DEPENDENCYPART_ARC
(7,5),1.15372 # DEPENDENCYPART_ARC
(7,6),3.89638 # DEPENDENCYPART_ARC
(7,8),1.46755 # DEPENDENCYPART_ARC
(7,9),1.07956 # DEPENDENCYPART_ARC
(7,10),0.391627 # DEPENDENCYPART_ARC
(7,11),-0.0871923 # DEPENDENCYPART_ARC
(7,12),-0.143992 # DEPENDENCYPART_ARC
(7,13),-0.353271 # DEPENDENCYPART_ARC
(7,14),-1.02207 # DEPENDENCYPART_ARC
(7,15),-0.564064 # DEPENDENCYPART_ARC
(7,16),-0.724123 # DEPENDENCYPART_ARC
(7,17),-0.715446 # DEPENDENCYPART_ARC
(7,18),-0.742596 # DEPENDENCYPART_ARC
(7,19),-0.898456 # DEPENDENCYPART_ARC
(7,20),-1.83974 # DEPENDENCYPART_ARC
(7,21),-1.7992 # DEPENDENCYPART_ARC
(7,22),-1.10482 # DEPENDENCYPART_ARC
(7,23),-1.16489 # DEPENDENCYPART_ARC
(7,24),-0.932981 # DEPENDENCYPART_ARC
(8,1),-0.168596 # DEPENDENCYPART_ARC
(8,2),-0.2248 # DEPENDENCYPART_ARC
(8,3),-0.894093 # DEPENDENCYPART_ARC
(8,4),-0.454431 # DEPENDENCYPART_ARC
(8,5),0.213795 # DEPENDENCYPART_ARC
(8,6),1.74661 # DEPENDENCYPART_ARC
(8,7),2.36848 # DEPENDENCYPART_ARC
(8,9),0.796172 # DEPENDENCYPART_ARC
(8,10),0.0504686 # DEPENDENCYPART_ARC
(8,11),-0.572686 # DEPENDENCYPART_ARC
(8,12),-0.752241 # DEPENDENCYPART_ARC
(8,13),-0.933597 # DEPENDENCYPART_ARC
(8,14),-1.66287 # DEPENDENCYPART_ARC
(8,15),-1.1714 # DEPENDENCYPART_ARC
(8,16),-1.49838 # DEPENDENCYPART_ARC
(8,17),-1.0219 # DEPENDENCYPART_ARC
(8,18),-1.46568 # DEPENDENCYPART_ARC
(8,19),-1.53068 # DEPENDENCYPART_ARC
(8,20),-2.50854 # DEPENDENCYPART_ARC
(8,21),-2.51328 # DEPENDENCYPART_ARC
(8,22),-1.79713 # DEPENDENCYPART_ARC
(8,23),-1.92408 # DEPENDENCYPART_ARC
(8,24),-0.941005 # DEPENDENCYPART_ARC
(9,1),1.32093 # DEPENDENCYPART_ARC
(9,2),1.47934 # DEPENDENCYPART_ARC
(9,3),0.300397 # DEPENDENCYPART_ARC
(9,4),0.00583978 # DEPENDENCYPART_ARC
(9,5),3.15139 # DEPENDENCYPART_ARC
(9,6),2.75309 # DEPENDENCYPART_ARC
(9,7),3.92965 # DEPENDENCYPART_ARC
(9,8),4.4451 # DEPENDENCYPART_ARC
(9,10),0.646134 # DEPENDENCYPART_ARC
(9,11),0.106388 # DEPENDENCYPART_ARC
(9,12),0.0954938 # DEPENDENCYPART_ARC
(9,13),-0.118213 # DEPENDENCYPART_ARC
(9,14),-0.402486 # DEPENDENCYPART_ARC
(9,15),-0.740659 # DEPENDENCYPART_ARC
(9,16),-0.502178 # DEPENDENCYPART_ARC
(9,17),0.0897688 # DEPENDENCYPART_ARC
(9,18),-0.754559 # DEPENDENCYPART_ARC
(9,19),-1.21813 # DEPENDENCYPART_ARC
(9,20),-1.07253 # DEPENDENCYPART_ARC
(9,21),-1.75819 # DEPENDENCYPART_ARC
(9,22),-1.16967 # DEPENDENCYPART_ARC
(9,23),-2.15221 # DEPENDENCYPART_ARC
(9,24),-0.224149 # DEPENDENCYPART_ARC
(10,1),-0.452894 # DEPENDENCYPART_ARC
(10,2),0.883954 # DEPENDENCYPART_ARC
(10,3),1.92159 # DEPENDENCYPART_ARC
(10,4),0.0994252 # DEPENDENCYPART_ARC
(10,5),0.381183 # DEPENDENCYPART_ARC
(10,6),1.24086 # DEPENDENCYPART_ARC
(10,7),1.2558 # DEPENDENCYPART_ARC
(10,8),1.08156 # DEPENDENCYPART_ARC
(10,9),2.45537 # DEPENDENCYPART_ARC
(10,11),1.73204 # DEPENDENCYPART_ARC
(10,12),3.30784 # DEPENDENCYPART_ARC
(10,13),2.38639 # DEPENDENCYPART_ARC
(10,14),0.682507 # DEPENDENCYPART_ARC
(10,15),0.797452 # DEPENDENCYPART_ARC
(10,16),1.6116 # DEPENDENCYPART_ARC
(10,17),3.39048 # DEPENDENCYPART_ARC
(10,18),3.04038 # DEPENDENCYPART_ARC
(10,19),1.03406 # DEPENDENCYPART_ARC
(10,20),0.195838 # DEPENDENCYPART_ARC
(10,21),0.3313 # DEPENDENCYPART_ARC
(10,22),0.0423654 # DEPENDENCYPART_ARC
(10,23),0.590306 # DEPENDENCYPART_ARC
(10,24),4.01082 # DEPENDENCYPART_ARC
(11,1),-0.485354 # DEPENDENCYPART_ARC
(11,2),-1.5252 # DEPENDENCYPART_ARC
(11,3),-1.51162 # DEPENDENCYPART_ARC
(11,4),-0.793136 # DEPENDENCYPART_ARC
(11,5),-0.590694 # DEPENDENCYPART_ARC
(11,6),-0.406818 # DEPENDENCYPART_ARC
(11,7),-0.184817 # DEPENDENCYPART_ARC
(11,8),0.10189 # DEPENDENCYPART_ARC
(11,9),-0.0649368 # DEPENDENCYPART_ARC
(11,10),0.543522 # DEPENDENCYPART_ARC
(11,12),1.31455 # DEPENDENCYPART_ARC
(11,13),0.465658 # DEPENDENCYPART_ARC
(11,14),-0.607162 # DEPENDENCYPART_ARC
(11,15),-0.294107 # DEPENDENCYPART_ARC
(11,16),-0.451485 # DEPENDENCYPART_ARC
(11,17),0.654063 # DEPENDENCYPART_ARC
(11,18),-0.44694 # DEPENDENCYPART_ARC
(11,19),-0.920302 # DEPENDENCYPART_ARC
(11,20),-1.25406 # DEPENDENCYPART_ARC
(11,21),-0.95567 # DEPENDENCYPART_ARC
(11,22),-0.657342 # DEPENDENCYPART_ARC
(11,23),-1.49137 # DEPENDENCYPART_ARC
(11,24),-0.651921 # DEPENDENCYPART_ARC
(12,1),-1.32845 # DEPENDENCYPART_ARC
(12,2),-1.83829 # DEPENDENCYPART_ARC
(12,3),-3.00879 # DEPENDENCYPART_ARC
(12,4),-1.00626 # DEPENDENCYPART_ARC
(12,5),-0.0382505 # DEPENDENCYPART_ARC
(12,6),0.0938385 # DEPENDENCYPART_ARC
(12,7),0.936628 # DEPENDENCYPART_ARC
(12,8),0.935388 # DEPENDENCYPART_ARC
(12,9),0.00414533 # DEPENDENCYPART_ARC
(12,10),0.293376 # DEPENDENCYPART_ARC
(12,11),4.30093 # DEPENDENCYPART_ARC
(12,13),1.65904 # DEPENDENCYPART_ARC
(12,14),0.165169 # DEPENDENCYPART_ARC
(12,15),0.426213 # DEPENDENCYPART_ARC
(12,16),1.4357 # DEPENDENCYPART_ARC
(12,17),0.538842 # DEPENDENCYPART_ARC
(12,18),-0.578874 # DEPENDENCYPART_ARC
(12,19),-0.247256 # DEPENDENCYPART_ARC
(12,20),-0.758511 # DEPENDENCYPART_ARC
(12,21),0.544624 # DEPENDENCYPART_ARC
(12,22),-0.767848 # DEPENDENCYPART_ARC
(12,23),-0.43749 # DEPENDENCYPART_ARC
(12,24),0.305701 # DEPENDENCYPART_ARC
(13,1),-2.62208 # DEPENDENCYPART_ARC
(13,2),-3.08422 # DEPENDENCYPART_ARC
(13,3),-2.88643 # DEPENDENCYPART_ARC
(13,4),-2.42786 # DEPENDENCYPART_ARC
(13,5),-2.51007 # DEPENDENCYPART_ARC
(13,6),-2.33811 # DEPENDENCYPART_ARC
(13,7),-2.19683 # DEPENDENCYPART_ARC
(13,8),-2.20613 # DEPENDENCYPART_ARC
(13,9),-2.27516 # DEPENDENCYPART_ARC
(13,10),-1.77785 # DEPENDENCYPART_ARC
(13,11),-1.71408 # DEPENDENCYPART_ARC
(13,12),-1.30664 # DEPENDENCYPART_ARC
(13,14),-0.150929 # DEPENDENCYPART_ARC
(13,15),-0.636993 # DEPENDENCYPART_ARC
(13,16),-1.33881 # DEPENDENCYPART_ARC
(13,17),0.360359 # DEPENDENCYPART_ARC
(13,18),-1.38333 # DEPENDENCYPART_ARC
(13,19),-1.58508 # DEPENDENCYPART_ARC
(13,20),-1.72838 # DEPENDENCYPART_ARC
(13,21),-2.33252 # DEPENDENCYPART_ARC
(13,22),-1.96631 # DEPENDENCYPART_ARC
(13,23),-2.35003 # DEPENDENCYPART_ARC
(13,24),-1.43534 # DEPENDENCYPART_ARC
(14,1),-1.70005 # DEPENDENCYPART_ARC
(14,2),-2.63716 # DEPENDENCYPART_ARC
(14,3),-2.62429 # DEPENDENCYPART_ARC
(14,4),-1.71618 # DEPENDENCYPART_ARC
(14,5),-1.99991 # DEPENDENCYPART_ARC
(14,6),-2.05955 # DEPENDENCYPART_ARC
(14,7),-1.91485 # DEPENDENCYPART_ARC
(14,8),-1.77358 # DEPENDENCYPART_ARC
(14,9),-1.80407 # DEPENDENCYPART_ARC
(14,10),-1.56977 # DEPENDENCYPART_ARC
(14,11),-0.805821 # DEPENDENCYPART_ARC
(14,12),-1.30134 # DEPENDENCYPART_ARC
(14,13),-0.179372 # DEPENDENCYPART_ARC
(14,15),0.388542 # DEPENDENCYPART_ARC
(14,16),0.0124946 # DEPENDENCYPART_ARC
(14,17),-0.283426 # DEPENDENCYPART_ARC
(14,18),-0.566339 # DEPENDENCYPART_ARC
(14,19),-0.625842 # DEPENDENCYPART_ARC
(14,20),-1.53162 # DEPENDENCYPART_ARC
(14,21),-1.04116 # DEPENDENCYPART_ARC
(14,22),-1.6699 # DEPENDENCYPART_ARC
(14,23),-1.39181 # DEPENDENCYPART_ARC
(14,24),-0.999169 # DEPENDENCYPART_ARC
(15,1),-2.03674 # DEPENDENCYPART_ARC
(15,2),-1.69752 # DEPENDENCYPART_ARC
(15,3),-3.08694 # DEPENDENCYPART_ARC
(15,4),-2.16142 # DEPENDENCYPART_ARC
(15,5),-1.72414 # DEPENDENCYPART_ARC
(15,6),-0.756486 # DEPENDENCYPART_ARC
(15,7),-1.20454 # DEPENDENCYPART_ARC
(15,8),-1.03358 # DEPENDENCYPART_ARC
(15,9),-1.775 # DEPENDENCYPART_ARC
(15,10),-1.93513 # DEPENDENCYPART_ARC
(15,11),-0.439048 # DEPENDENCYPART_ARC
(15,12),-0.38968 # DEPENDENCYPART_ARC
(15,13),-0.415963 # DEPENDENCYPART_ARC
(15,14),1.38446 # DEPENDENCYPART_ARC
(15,16),1.04763 # DEPENDENCYPART_ARC
(15,17),0.0264033 # DEPENDENCYPART_ARC
(15,18),-0.28332 # DEPENDENCYPART_ARC
(15,19),-0.283512 # DEPENDENCYPART_ARC
(15,20),-1.22329 # DEPENDENCYPART_ARC
(15,21),-1.21941 # DEPENDENCYPART_ARC
(15,22),-0.608554 # DEPENDENCYPART_ARC
(15,23),-0.95575 # DEPENDENCYPART_ARC
(15,24),-0.855241 # DEPENDENCYPART_ARC
(16,1),-1.06973 # DEPENDENCYPART_ARC
(16,2),-2.29706 # DEPENDENCYPART_ARC
(16,3),-3.08399 # DEPENDENCYPART_ARC
(16,4),-1.4577 # DEPENDENCYPART_ARC
(16,5),-1.15224 # DEPENDENCYPART_ARC
(16,6),-0.263867 # DEPENDENCYPART_ARC
(16,7),0.209126 # DEPENDENCYPART_ARC
(16,8),-0.151089 # DEPENDENCYPART_ARC
(16,9),-0.706671 # DEPENDENCYPART_ARC
(16,10),-0.607087 # DEPENDENCYPART_ARC
(16,11),0.71858 # DEPENDENCYPART_ARC
(16,12),0.177247 # DEPENDENCYPART_ARC
(16,13),0.64325 # DEPENDENCYPART_ARC
(16,14),4.03972 # DEPENDENCYPART_ARC
(16,15),4.5427 # DEPENDENCYPART_ARC
(16,17),1.77016 # DEPENDENCYPART_ARC
(16,18),0.874699 # DEPENDENCYPART_ARC
(16,19),0.99653 # DEPENDENCYPART_ARC
(16,20),-0.0199445 # DEPENDENCYPART_ARC
(16,21),0.66144 # DEPENDENCYPART_ARC
(16,22),0.992767 # DEPENDENCYPART_ARC
(16,23),0.289679 # DEPENDENCYPART_ARC
(16,24),-0.199225 # DEPENDENCYPART_ARC
(17,1),-2.59084 # DEPENDENCYPART_ARC
(17,2),-3.05654 # DEPENDENCYPART_ARC
(17,3),-2.98782 # DEPENDENCYPART_ARC
(17,4),-2.38961 # DEPENDENCYPART_ARC
(17,5),-2.48914 # DEPENDENCYPART_ARC
(17,6),-2.39408 # DEPENDENCYPART_ARC
(17,7),-2.21608 # DEPENDENCYPART_ARC
(17,8),-2.12943 # DEPENDENCYPART_ARC
(17,9),-1.95631 # DEPENDENCYPART_ARC
(17,10),-1.73254 # DEPENDENCYPART_ARC
(17,11),-1.77733 # DEPENDENCYPART_ARC
(17,12),-1.28404 # DEPENDENCYPART_ARC
(17,13),-0.0194834 # DEPENDENCYPART_ARC
(17,14),-0.719579 # DEPENDENCYPART_ARC
(17,15),-1.33988 # DEPENDENCYPART_ARC
(17,16),-1.0705 # DEPENDENCYPART_ARC
(17,18),-0.371222 # DEPENDENCYPART_ARC
(17,19),-0.860315 # DEPENDENCYPART_ARC
(17,20),-1.56101 # DEPENDENCYPART_ARC
(17,21),-1.82079 # DEPENDENCYPART_ARC
(17,22),-1.84783 # DEPENDENCYPART_ARC
(17,23),-2.21987 # DEPENDENCYPART_ARC
(17,24),-1.5159 # DEPENDENCYPART_ARC
(18,1),-1.60402 # DEPENDENCYPART_ARC
(18,2),-1.52569 # DEPENDENCYPART_ARC
(18,3),-1.73735 # DEPENDENCYPART_ARC
(18,4),-2.02242 # DEPENDENCYPART_ARC
(18,5),-1.44371 # DEPENDENCYPART_ARC
(18,6),-1.57178 # DEPENDENCYPART_ARC
(18,7),-1.52674 # DEPENDENCYPART_ARC
(18,8),-1.29192 # DEPENDENCYPART_ARC
(18,9),-0.737668 # DEPENDENCYPART_ARC
(18,10),-0.818685 # DEPENDENCYPART_ARC
(18,11),-0.772076 # DEPENDENCYPART_ARC
(18,12),-1.29807 # DEPENDENCYPART_ARC
(18,13),-0.274099 # DEPENDENCYPART_ARC
(18,14),0.100231 # DEPENDENCYPART_ARC
(18,15),-0.0565409 # DEPENDENCYPART_ARC
(18,16),-0.444175 # DEPENDENCYPART_ARC
(18,17),0.764951 # DEPENDENCYPART_ARC
(18,19),3.50682 # DEPENDENCYPART_ARC
(18,20),1.08354 # DEPENDENCYPART_ARC
(18,21),2.20488 # DEPENDENCYPART_ARC
(18,22),0.683172 # DEPENDENCYPART_ARC
(18,23),2.54153 # DEPENDENCYPART_ARC
(18,24),1.08287 # DEPENDENCYPART_ARC
(19,1),-1.00425 # DEPENDENCYPART_ARC
(19,2),-1.94104 # DEPENDENCYPART_ARC
(19,3),-1.84724 # DEPENDENCYPART_ARC
(19,4),-1.19344 # DEPENDENCYPART_ARC
(19,5),-1.62414 # DEPENDENCYPART_ARC
(19,6),-1.12895 # DEPENDENCYPART_ARC
(19,7),-1.05813 # DEPENDENCYPART_ARC
(19,8),-0.954655 # DEPENDENCYPART_ARC
(19,9),-1.27005 # DEPENDENCYPART_ARC
(19,10),-1.13938 # DEPENDENCYPART_ARC
(19,11),-0.906808 # DEPENDENCYPART_ARC
(19,12),-0.990773 # DEPENDENCYPART_ARC
(19,13),-0.531174 # DEPENDENCYPART_ARC
(19,14),0.486595 # DEPENDENCYPART_ARC
(19,15),0.17274 # DEPENDENCYPART_ARC
(19,16),-0.0490852 # DEPENDENCYPART_ARC
(19,17),0.314948 # DEPENDENCYPART_ARC
(19,18),1.20746 # DEPENDENCYPART_ARC
(19,20),0.321529 # DEPENDENCYPART_ARC
(19,21),0.634996 # DEPENDENCYPART_ARC
(19,22),-0.038826 # DEPENDENCYPART_ARC
(19,23),0.244102 # DEPENDENCYPART_ARC
(19,24),0.0411362 # DEPENDENCYPART_ARC
(20,1),-3.40287 # DEPENDENCYPART_ARC
(20,2),-3.70481 # DEPENDENCYPART_ARC
(20,3),-3.64602 # DEPENDENCYPART_ARC
(20,4),-3.0639 # DEPENDENCYPART_ARC
(20,5),-3.11527 # DEPENDENCYPART_ARC
(20,6),-3.22482 # DEPENDENCYPART_ARC
(20,7),-3.06636 # DEPENDENCYPART_ARC
(20,8),-2.99553 # DEPENDENCYPART_ARC
(20,9),-3.07101 # DEPENDENCYPART_ARC
(20,10),-2.6706 # DEPENDENCYPART_ARC
(20,11),-2.46131 # DEPENDENCYPART_ARC
(20,12),-2.89509 # DEPENDENCYPART_ARC
(20,13),-2.34566 # DEPENDENCYPART_ARC
(20,14),-1.65905 # DEPENDENCYPART_ARC
(20,15),-1.96381 # DEPENDENCYPART_ARC
(20,16),-2.10639 # DEPENDENCYPART_ARC
(20,17),-1.35287 # DEPENDENCYPART_ARC
(20,18),-1.24635 # DEPENDENCYPART_ARC
(20,19),-0.440415 # DEPENDENCYPART_ARC
(20,21),-0.106005 # DEPENDENCYPART_ARC
(20,22),-0.984062 # DEPENDENCYPART_ARC
(20,23),-1.35572 # DEPENDENCYPART_ARC
(20,24),-1.61789 # DEPENDENCYPART_ARC
(21,1),-3.76638 # DEPENDENCYPART_ARC
(21,2),-5.11615 # DEPENDENCYPART_ARC
(21,3),-5.98177 # DEPENDENCYPART_ARC
(21,4),-2.74248 # DEPENDENCYPART_ARC
(21,5),-3.73501 # DEPENDENCYPART_ARC
(21,6),-2.90182 # DEPENDENCYPART_ARC
(21,7),-2.50424 # DEPENDENCYPART_ARC
(21,8),-2.54194 # DEPENDENCYPART_ARC
(21,9),-2.66643 # DEPENDENCYPART_ARC
(21,10),-2.15308 # DEPENDENCYPART_ARC
(21,11),-1.91394 # DEPENDENCYPART_ARC
(21,12),-3.13065 # DEPENDENCYPART_ARC
(21,13),-1.25456 # DEPENDENCYPART_ARC
(21,14),0.404823 # DEPENDENCYPART_ARC
(21,15),0.136516 # DEPENDENCYPART_ARC
(21,16),-1.06566 # DEPENDENCYPART_ARC
(21,17),-0.78597 # DEPENDENCYPART_ARC
(21,18),-0.35554 # DEPENDENCYPART_ARC
(21,19),0.388277 # DEPENDENCYPART_ARC
(21,20),4.67036 # DEPENDENCYPART_ARC
(21,22),3.94351 # DEPENDENCYPART_ARC
(21,23),0.261563 # DEPENDENCYPART_ARC
(21,24),-0.327459 # DEPENDENCYPART_ARC
(22,1),-2.76596 # DEPENDENCYPART_ARC
(22,2),-3.07464 # DEPENDENCYPART_ARC
(22,3),-2.92188 # DEPENDENCYPART_ARC
