# _root_ At its low , shortly before Wall Street opened , it was off more than 130 points .
#goldHeads=12,3,1,12,6,12,8,9,6,12,12,0,12,16,16,17,13,12,
#predictedHeads=12,3,1,3,6,12,8,9,6,12,12,0,12,16,16,17,13,12,
(4,6),-0.726378 # DEPENDENCYPART_ARC
(4,7),-0.864654 # DEPENDENCYPART_ARC
(4,8),-1.14716 # DEPENDENCYPART_ARC
(4,9),-1.12084 # DEPENDENCYPART_ARC
(4,10),0.160949 # DEPENDENCYPART_ARC
(4,11),-1.75616 # DEPENDENCYPART_ARC
(4,12),-1.49254 # DEPENDENCYPART_ARC
(4,13),-2.12981 # DEPENDENCYPART_ARC
(4,14),-1.94695 # DEPENDENCYPART_ARC
(4,15),-1.61833 # DEPENDENCYPART_ARC
(4,16),-2.72811 # DEPENDENCYPART_ARC
(4,17),-2.66241 # DEPENDENCYPART_ARC
(4,18),-1.64104 # DEPENDENCYPART_ARC
(5,1),0.0327883 # DEPENDENCYPART_ARC
(5,2),-0.252558 # DEPENDENCYPART_ARC
(5,3),-0.0360563 # DEPENDENCYPART_ARC
(5,4),0.385369 # DEPENDENCYPART_ARC
(5,6),1.02411 # DEPENDENCYPART_ARC
(5,7),0.243905 # DEPENDENCYPART_ARC
(5,8),0.211597 # DEPENDENCYPART_ARC
(5,9),0.563679 # DEPENDENCYPART_ARC
(5,10),0.567031 # DEPENDENCYPART_ARC
(5,11),-0.529815 # DEPENDENCYPART_ARC
(5,12),-0.212383 # DEPENDENCYPART_ARC
(5,13),-0.714415 # DEPENDENCYPART_ARC
(5,14),-0.777475 # DEPENDENCYPART_ARC
(5,15),0.567231 # DEPENDENCYPART_ARC
(5,16),-0.920316 # DEPENDENCYPART_ARC
(5,17),-0.528056 # DEPENDENCYPART_ARC
(5,18),-0.28317 # DEPENDENCYPART_ARC
(6,1),0.251888 # DEPENDENCYPART_ARC
(6,2),0.828744 # DEPENDENCYPART_ARC
(6,3),0.731684 # DEPENDENCYPART_ARC
(6,4),0.889922 # DEPENDENCYPART_ARC
(6,5),3.19654 # DEPENDENCYPART_ARC
(6,7),1.97119 # DEPENDENCYPART_ARC
(6,8),2.4078 # DEPENDENCYPART_ARC
(6,9),4.39503 # DEPENDENCYPART_ARC
(6,10),1.03905 # DEPENDENCYPART_ARC
(6,11),-0.484845 # DEPENDENCYPART_ARC
(6,12),0.932615 # DEPENDENCYPART_ARC
(6,13),-0.526882 # DEPENDENCYPART_ARC
(6,14),-0.630719 # DEPENDENCYPART_ARC
(6,15),-0.411141 # DEPENDENCYPART_ARC
(6,16),-1.31212 # DEPENDENCYPART_ARC
(6,17),-2.79062 # DEPENDENCYPART_ARC
(6,18),1.57754 # DEPENDENCYPART_ARC
(7,1),-3.09723 # DEPENDENCYPART_ARC
(7,2),-0.850404 # DEPENDENCYPART_ARC
(7,3),-1.66786 # DEPENDENCYPART_ARC
(7,4),-1.35205 # DEPENDENCYPART_ARC
(7,5),-0.694061 # DEPENDENCYPART_ARC
(7,6),-0.532505 # DEPENDENCYPART_ARC
(7,8),2.05702 # DEPENDENCYPART_ARC
(7,9),-0.997595 # DEPENDENCYPART_ARC
(7,10),-0.924593 # DEPENDENCYPART_ARC
(7,11),-1.71767 # DEPENDENCYPART_ARC
(7,12),-1.65502 # DEPENDENCYPART_ARC
(7,13),-1.84284 # DEPENDENCYPART_ARC
(7,14),-2.40434 # DEPENDENCYPART_ARC
(7,15),-2.7778 # DEPENDENCYPART_ARC
(7,16),-2.84791 # DEPENDENCYPART_ARC
(7,17),-3.00181 # DEPENDENCYPART_ARC
(7,18),-1.09704 # DEPENDENCYPART_ARC
(8,1),-1.92464 # DEPENDENCYPART_ARC
(8,2),0.539227 # DEPENDENCYPART_ARC
(8,3),-0.474059 # DEPENDENCYPART_ARC
(8,4),0.394834 # DEPENDENCYPART_ARC
(8,5),-0.125676 # DEPENDENCYPART_ARC
(8,6),0.268878 # DEPENDENCYPART_ARC
(8,7),5.2812 # DEPENDENCYPART_ARC
(8,9),1.06743 # DEPENDENCYPART_ARC
(8,10),0.540063 # DEPENDENCYPART_ARC
(8,11),-0.546099 # DEPENDENCYPART_ARC
(8,12),-1.0387 # DEPENDENCYPART_ARC
(8,13),-1.00481 # DEPENDENCYPART_ARC
(8,14),-1.64389 # DEPENDENCYPART_ARC
(8,15),-1.72315 # DEPENDENCYPART_ARC
(8,16),-2.27801 # DEPENDENCYPART_ARC
(8,17),-2.28315 # DEPENDENCYPART_ARC
(8,18),-0.169583 # DEPENDENCYPART_ARC
(9,1),0.648288 # DEPENDENCYPART_ARC
(9,2),-0.193019 # DEPENDENCYPART_ARC
(9,3),-0.0474983 # DEPENDENCYPART_ARC
(9,4),1.07226 # DEPENDENCYPART_ARC
(9,5),-0.178269 # DEPENDENCYPART_ARC
(9,6),0.513669 # DEPENDENCYPART_ARC
(9,7),1.49843 # DEPENDENCYPART_ARC
(9,8),2.9671 # DEPENDENCYPART_ARC
(9,10),2.56694 # DEPENDENCYPART_ARC
(9,11),0.384988 # DEPENDENCYPART_ARC
(9,12),1.14599 # DEPENDENCYPART_ARC
(9,13),0.112659 # DEPENDENCYPART_ARC
(9,14),-0.424566 # DEPENDENCYPART_ARC
(9,15),-1.00264 # DEPENDENCYPART_ARC
(9,16),-1.21661 # DEPENDENCYPART_ARC
(9,17),-0.942334 # DEPENDENCYPART_ARC
(9,18),1.76257 # DEPENDENCYPART_ARC
(10,1),-1.84971 # DEPENDENCYPART_ARC
(10,2),-1.37447 # DEPENDENCYPART_ARC
(10,3),-1.83988 # DEPENDENCYPART_ARC
(10,4),-0.547953 # DEPENDENCYPART_ARC
(10,5),-2.06958 # DEPENDENCYPART_ARC
(10,6),-1.37422 # DEPENDENCYPART_ARC
(10,7),-1.39442 # DEPENDENCYPART_ARC
(10,8),-1.51972 # DEPENDENCYPART_ARC
(10,9),-0.586836 # DEPENDENCYPART_ARC
(10,11),-0.116005 # DEPENDENCYPART_ARC
(10,12),-0.117288 # DEPENDENCYPART_ARC
(10,13),-0.947457 # DEPENDENCYPART_ARC
(10,14),-0.926691 # DEPENDENCYPART_ARC
(10,15),-1.11725 # DEPENDENCYPART_ARC
(10,16),-1.90049 # DEPENDENCYPART_ARC
(10,17),-1.85051 # DEPENDENCYPART_ARC
(10,18),-1.08875 # DEPENDENCYPART_ARC
(11,1),-1.6846 # DEPENDENCYPART_ARC
(11,2),-1.42699 # DEPENDENCYPART_ARC
(11,3),-1.76579 # DEPENDENCYPART_ARC
(11,4),-0.812757 # DEPENDENCYPART_ARC
(11,5),-2.02703 # DEPENDENCYPART_ARC
(11,6),-1.10432 # DEPENDENCYPART_ARC
(11,7),-1.28836 # DEPENDENCYPART_ARC
(11,8),-1.00732 # DEPENDENCYPART_ARC
(11,9),-0.486675 # DEPENDENCYPART_ARC
(11,10),1.30807 # DEPENDENCYPART_ARC
(11,12),0.748115 # DEPENDENCYPART_ARC
(11,13),-0.809069 # DEPENDENCYPART_ARC
(11,14),-0.96382 # DEPENDENCYPART_ARC
(11,15),-0.529515 # DEPENDENCYPART_ARC
(11,16),-1.50532 # DEPENDENCYPART_ARC
(11,17),-1.49083 # DEPENDENCYPART_ARC
(11,18),-0.881427 # DEPENDENCYPART_ARC
(12,1),1.42673 # DEPENDENCYPART_ARC
(12,2),0.13571 # DEPENDENCYPART_ARC
(12,3),0.63261 # DEPENDENCYPART_ARC
(12,4),1.05672 # DEPENDENCYPART_ARC
(12,5),0.559984 # DEPENDENCYPART_ARC
(12,6),2.36054 # DEPENDENCYPART_ARC
(12,7),0.374528 # DEPENDENCYPART_ARC
(12,8),0.871421 # DEPENDENCYPART_ARC
(12,9),1.81889 # DEPENDENCYPART_ARC
(12,10),2.87909 # DEPENDENCYPART_ARC
(12,11),4.12848 # DEPENDENCYPART_ARC
(12,13),3.66994 # DEPENDENCYPART_ARC
(12,14),1.10695 # DEPENDENCYPART_ARC
(12,15),1.28988 # DEPENDENCYPART_ARC
(12,16),0.744018 # DEPENDENCYPART_ARC
(12,17),0.472415 # DEPENDENCYPART_ARC
(12,18),4.57142 # DEPENDENCYPART_ARC
(13,1),-1.43793 # DEPENDENCYPART_ARC
(13,2),-0.429798 # DEPENDENCYPART_ARC
(13,3),-0.599245 # DEPENDENCYPART_ARC
(13,4),-0.534674 # DEPENDENCYPART_ARC
(13,5),-1.44354 # DEPENDENCYPART_ARC
(13,6),-0.786834 # DEPENDENCYPART_ARC
(13,7),-0.272411 # DEPENDENCYPART_ARC
(13,8),-0.739349 # DEPENDENCYPART_ARC
(13,9),-1.15394 # DEPENDENCYPART_ARC
(13,10),0.040328 # DEPENDENCYPART_ARC
(13,11),0.20567 # DEPENDENCYPART_ARC
(13,12),0.13133 # DEPENDENCYPART_ARC
(13,14),1.22015 # DEPENDENCYPART_ARC
(13,15),2.21096 # DEPENDENCYPART_ARC
(13,16),1.09506 # DEPENDENCYPART_ARC
(13,17),1.228 # DEPENDENCYPART_ARC
(13,18),0.813568 # DEPENDENCYPART_ARC
(14,1),-2.26676 # DEPENDENCYPART_ARC
(14,2),-1.46649 # DEPENDENCYPART_ARC
(14,3),-1.57827 # DEPENDENCYPART_ARC
(14,4),-1.83729 # DEPENDENCYPART_ARC
(14,5),-1.76086 # DEPENDENCYPART_ARC
(14,6),-1.59979 # DEPENDENCYPART_ARC
(14,7),-1.52826 # DEPENDENCYPART_ARC
(14,8),-1.42096 # DEPENDENCYPART_ARC
(14,9),-1.27664 # DEPENDENCYPART_ARC
(14,10),-0.84881 # DEPENDENCYPART_ARC
(14,11),-0.711102 # DEPENDENCYPART_ARC
(14,12),-0.504932 # DEPENDENCYPART_ARC
(14,13),0.79319 # DEPENDENCYPART_ARC
(14,15),2.13815 # DEPENDENCYPART_ARC
(14,16),0.920175 # DEPENDENCYPART_ARC
(14,17),0.488185 # DEPENDENCYPART_ARC
(14,18),0.505812 # DEPENDENCYPART_ARC
(15,1),-1.49346 # DEPENDENCYPART_ARC
(15,2),-1.35729 # DEPENDENCYPART_ARC
(15,3),-1.7374 # DEPENDENCYPART_ARC
(15,4),-1.21221 # DEPENDENCYPART_ARC
(15,5),-1.0895 # DEPENDENCYPART_ARC
(15,6),-0.695082 # DEPENDENCYPART_ARC
(15,7),-1.19496 # DEPENDENCYPART_ARC
(15,8),-1.28954 # DEPENDENCYPART_ARC
(15,9),-0.892628 # DEPENDENCYPART_ARC
(15,10),-0.423235 # DEPENDENCYPART_ARC
(15,11),-0.710964 # DEPENDENCYPART_ARC
(15,12),-0.396347 # DEPENDENCYPART_ARC
(15,13),-0.305516 # DEPENDENCYPART_ARC
(15,14),0.90361 # DEPENDENCYPART_ARC
(15,16),0.94115 # DEPENDENCYPART_ARC
(15,17),1.56655 # DEPENDENCYPART_ARC
(15,18),-0.168911 # DEPENDENCYPART_ARC
(16,1),-1.78052 # DEPENDENCYPART_ARC
(16,2),-0.714716 # DEPENDENCYPART_ARC
(16,3),-0.921724 # DEPENDENCYPART_ARC
(16,4),-1.55198 # DEPENDENCYPART_ARC
(16,5),-1.02897 # DEPENDENCYPART_ARC
(16,6),-0.675218 # DEPENDENCYPART_ARC
(16,7),-0.466692 # DEPENDENCYPART_ARC
(16,8),-0.620527 # DEPENDENCYPART_ARC
(16,9),-0.460696 # DEPENDENCYPART_ARC
(16,10),-0.462128 # DEPENDENCYPART_ARC
(16,11),-0.299078 # DEPENDENCYPART_ARC
(16,12),0.0513603 # DEPENDENCYPART_ARC
(16,13),0.87542 # DEPENDENCYPART_ARC
(16,14),3.41426 # DEPENDENCYPART_ARC
(16,15),4.24643 # DEPENDENCYPART_ARC
(16,17),0.521841 # DEPENDENCYPART_ARC
(16,18),-0.627183 # DEPENDENCYPART_ARC
(17,1),-0.790621 # DEPENDENCYPART_ARC
(17,2),-0.258192 # DEPENDENCYPART_ARC
(17,3),-0.606252 # DEPENDENCYPART_ARC
(17,4),-0.0853659 # DEPENDENCYPART_ARC
(17,5),-2.6215 # DEPENDENCYPART_ARC
(17,6),-0.482191 # DEPENDENCYPART_ARC
(17,7),-1.08257 # DEPENDENCYPART_ARC
(17,8),-2.55147 # DEPENDENCYPART_ARC
(17,9),-0.181916 # DEPENDENCYPART_ARC
(17,10),-0.205866 # DEPENDENCYPART_ARC
(17,11),-0.196156 # DEPENDENCYPART_ARC
(17,12),0.142892 # DEPENDENCYPART_ARC
(17,13),1.27977 # DEPENDENCYPART_ARC
(17,14),1.33046 # DEPENDENCYPART_ARC
(17,15),2.05693 # DEPENDENCYPART_ARC
(17,16),4.40377 # DEPENDENCYPART_ARC
(17,18),0.32632 # DEPENDENCYPART_ARC
(18,1),-2.17592 # DEPENDENCYPART_ARC
(18,2),-1.54884 # DEPENDENCYPART_ARC
(18,3),-2.20875 # DEPENDENCYPART_ARC
(18,4),-0.960255 # DEPENDENCYPART_ARC
(18,5),-1.63078 # DEPENDENCYPART_ARC
(18,6),-1.49291 # DEPENDENCYPART_ARC
(18,7),-1.67679 # DEPENDENCYPART_ARC
(18,8),-1.65074 # DEPENDENCYPART_ARC
(18,9),-1.06852 # DEPENDENCYPART_ARC
(18,10),-0.225946 # DEPENDENCYPART_ARC
(18,11),-0.876921 # DEPENDENCYPART_ARC
(18,12),-0.747158 # DEPENDENCYPART_ARC
(18,13),-1.40824 # DEPENDENCYPART_ARC
(18,14),-1.14116 # DEPENDENCYPART_ARC
(18,15),-0.668651 # DEPENDENCYPART_ARC
(18,16),-1.3392 # DEPENDENCYPART_ARC
(18,17),-1.32235 # DEPENDENCYPART_ARC
