# _root_ Institutional investors and bankers , many of whom spent the night before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .
#goldHeads=2,21,2,3,2,9,6,7,2,11,9,11,9,15,13,9,19,19,16,2,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
#predictedHeads=2,21,2,3,2,9,6,7,2,11,9,9,9,15,13,9,19,19,16,21,0,23,21,21,29,29,28,29,24,29,33,33,30,21,
(2,22),-0.795352 # DEPENDENCYPART_ARC
(2,23),-0.150837 # DEPENDENCYPART_ARC
(2,24),-2.77031 # DEPENDENCYPART_ARC
(2,25),-1.83743 # DEPENDENCYPART_ARC
(2,26),-0.785548 # DEPENDENCYPART_ARC
(2,27),-2.27977 # DEPENDENCYPART_ARC
(2,28),-1.58692 # DEPENDENCYPART_ARC
(2,29),-2.88107 # DEPENDENCYPART_ARC
(2,30),-3.16401 # DEPENDENCYPART_ARC
(2,31),-2.01643 # DEPENDENCYPART_ARC
(2,32),-2.69287 # DEPENDENCYPART_ARC
(2,33),-3.90616 # DEPENDENCYPART_ARC
(2,34),-0.178723 # DEPENDENCYPART_ARC
(3,1),-0.766158 # DEPENDENCYPART_ARC
(3,2),-0.0103678 # DEPENDENCYPART_ARC
(3,4),4.00321 # DEPENDENCYPART_ARC
(3,5),1.08534 # DEPENDENCYPART_ARC
(3,6),-0.692492 # DEPENDENCYPART_ARC
(3,7),-0.608246 # DEPENDENCYPART_ARC
(3,8),-1.34886 # DEPENDENCYPART_ARC
(3,9),0.558422 # DEPENDENCYPART_ARC
(3,10),-1.64801 # DEPENDENCYPART_ARC
(3,11),-2.47472 # DEPENDENCYPART_ARC
(3,12),-1.2323 # DEPENDENCYPART_ARC
(3,13),-0.81323 # DEPENDENCYPART_ARC
(3,14),-2.07674 # DEPENDENCYPART_ARC
(3,15),-4.28225 # DEPENDENCYPART_ARC
(3,16),-0.919749 # DEPENDENCYPART_ARC
(3,17),-2.52259 # DEPENDENCYPART_ARC
(3,18),-2.51162 # DEPENDENCYPART_ARC
(3,19),-3.86502 # DEPENDENCYPART_ARC
(3,20),-1.20072 # DEPENDENCYPART_ARC
(3,21),-0.118468 # DEPENDENCYPART_ARC
(3,22),-1.69186 # DEPENDENCYPART_ARC
(3,23),-2.83379 # DEPENDENCYPART_ARC
(3,24),-2.7012 # DEPENDENCYPART_ARC
(3,25),-3.70931 # DEPENDENCYPART_ARC
(3,26),-3.97825 # DEPENDENCYPART_ARC
(3,27),-3.20122 # DEPENDENCYPART_ARC
(3,28),-7.11221 # DEPENDENCYPART_ARC
(3,29),-6.18091 # DEPENDENCYPART_ARC
(3,30),-2.28373 # DEPENDENCYPART_ARC
(3,31),-9.0613 # DEPENDENCYPART_ARC
(3,32),-7.00185 # DEPENDENCYPART_ARC
(3,33),-7.71942 # DEPENDENCYPART_ARC
(3,34),-1.79388 # DEPENDENCYPART_ARC
(4,1),0.0826299 # DEPENDENCYPART_ARC
(4,2),-0.607885 # DEPENDENCYPART_ARC
(4,3),-0.160186 # DEPENDENCYPART_ARC
(4,5),1.27525 # DEPENDENCYPART_ARC
(4,6),-0.0911056 # DEPENDENCYPART_ARC
(4,7),-0.168086 # DEPENDENCYPART_ARC
(4,8),-1.24004 # DEPENDENCYPART_ARC
(4,9),1.46745 # DEPENDENCYPART_ARC
(4,10),-0.584428 # DEPENDENCYPART_ARC
(4,11),-0.734834 # DEPENDENCYPART_ARC
(4,12),-0.65691 # DEPENDENCYPART_ARC
(4,13),-1.78452 # DEPENDENCYPART_ARC
(4,14),-1.38392 # DEPENDENCYPART_ARC
(4,15),-0.857932 # DEPENDENCYPART_ARC
(4,16),-0.708329 # DEPENDENCYPART_ARC
(4,17),-1.15182 # DEPENDENCYPART_ARC
(4,18),-1.23614 # DEPENDENCYPART_ARC
(4,19),-0.502675 # DEPENDENCYPART_ARC
(4,20),0.932724 # DEPENDENCYPART_ARC
(4,21),-1.41887 # DEPENDENCYPART_ARC
(4,22),-1.29237 # DEPENDENCYPART_ARC
(4,23),-1.27175 # DEPENDENCYPART_ARC
(4,24),-3.25069 # DEPENDENCYPART_ARC
(4,25),-2.19666 # DEPENDENCYPART_ARC
(4,26),-1.68572 # DEPENDENCYPART_ARC
(4,27),-2.75725 # DEPENDENCYPART_ARC
(4,28),-2.59636 # DEPENDENCYPART_ARC
(4,29),-3.18222 # DEPENDENCYPART_ARC
(4,30),-4.36356 # DEPENDENCYPART_ARC
(4,31),-2.48166 # DEPENDENCYPART_ARC
(4,32),-3.42601 # DEPENDENCYPART_ARC
(4,33),-3.80731 # DEPENDENCYPART_ARC
(4,34),-0.39117 # DEPENDENCYPART_ARC
(5,1),-1.53983 # DEPENDENCYPART_ARC
(5,2),-1.71513 # DEPENDENCYPART_ARC
(5,3),-1.24832 # DEPENDENCYPART_ARC
(5,4),-1.19676 # DEPENDENCYPART_ARC
(5,6),-0.158276 # DEPENDENCYPART_ARC
(5,7),-0.681195 # DEPENDENCYPART_ARC
(5,8),-1.56458 # DEPENDENCYPART_ARC
(5,9),-0.767955 # DEPENDENCYPART_ARC
(5,10),-1.56393 # DEPENDENCYPART_ARC
(5,11),-1.97589 # DEPENDENCYPART_ARC
(5,12),-1.55288 # DEPENDENCYPART_ARC
(5,13),-1.33945 # DEPENDENCYPART_ARC
(5,14),-2.14308 # DEPENDENCYPART_ARC
(5,15),-2.23983 # DEPENDENCYPART_ARC
(5,16),-1.69164 # DEPENDENCYPART_ARC
(5,17),-2.36645 # DEPENDENCYPART_ARC
(5,18),-2.43759 # DEPENDENCYPART_ARC
(5,19),-2.79009 # DEPENDENCYPART_ARC
(5,20),-0.914329 # DEPENDENCYPART_ARC
(5,21),-2.05974 # DEPENDENCYPART_ARC
(5,22),-2.59277 # DEPENDENCYPART_ARC
(5,23),-2.97407 # DEPENDENCYPART_ARC
(5,24),-2.17767 # DEPENDENCYPART_ARC
(5,25),-3.04012 # DEPENDENCYPART_ARC
(5,26),-3.1791 # DEPENDENCYPART_ARC
(5,27),-3.50627 # DEPENDENCYPART_ARC
(5,28),-3.94638 # DEPENDENCYPART_ARC
(5,29),-4.15469 # DEPENDENCYPART_ARC
(5,30),-2.79018 # DEPENDENCYPART_ARC
(5,31),-3.76753 # DEPENDENCYPART_ARC
(5,32),-4.41669 # DEPENDENCYPART_ARC
(5,33),-4.2081 # DEPENDENCYPART_ARC
(5,34),-3.14282 # DEPENDENCYPART_ARC
(6,1),-1.02399 # DEPENDENCYPART_ARC
(6,2),-1.09711 # DEPENDENCYPART_ARC
(6,3),-1.1082 # DEPENDENCYPART_ARC
(6,4),-0.634179 # DEPENDENCYPART_ARC
(6,5),0.21599 # DEPENDENCYPART_ARC
(6,7),2.60736 # DEPENDENCYPART_ARC
(6,8),0.080229 # DEPENDENCYPART_ARC
(6,9),1.49613 # DEPENDENCYPART_ARC
(6,10),-0.286221 # DEPENDENCYPART_ARC
(6,11),0.272652 # DEPENDENCYPART_ARC
(6,12),0.1589 # DEPENDENCYPART_ARC
(6,13),0.0214163 # DEPENDENCYPART_ARC
(6,14),-0.574596 # DEPENDENCYPART_ARC
(6,15),0.036598 # DEPENDENCYPART_ARC
(6,16),0.514755 # DEPENDENCYPART_ARC
(6,17),-0.809813 # DEPENDENCYPART_ARC
(6,18),-0.952502 # DEPENDENCYPART_ARC
(6,19),-0.383364 # DEPENDENCYPART_ARC
(6,20),0.216855 # DEPENDENCYPART_ARC
(6,21),-1.23423 # DEPENDENCYPART_ARC
(6,22),-0.963838 # DEPENDENCYPART_ARC
(6,23),-1.22194 # DEPENDENCYPART_ARC
(6,24),-2.70761 # DEPENDENCYPART_ARC
(6,25),-2.04906 # DEPENDENCYPART_ARC
(6,26),-1.79782 # DEPENDENCYPART_ARC
(6,27),-0.437484 # DEPENDENCYPART_ARC
(6,28),-2.16248 # DEPENDENCYPART_ARC
(6,29),-2.1337 # DEPENDENCYPART_ARC
(6,30),-4.48167 # DEPENDENCYPART_ARC
(6,31),-2.22275 # DEPENDENCYPART_ARC
(6,32),-2.54522 # DEPENDENCYPART_ARC
(6,33),-1.76261 # DEPENDENCYPART_ARC
(6,34),-0.252319 # DEPENDENCYPART_ARC
(7,1),-0.56773 # DEPENDENCYPART_ARC
(7,2),-0.668974 # DEPENDENCYPART_ARC
(7,3),-0.860375 # DEPENDENCYPART_ARC
(7,4),-0.477907 # DEPENDENCYPART_ARC
(7,5),-0.130967 # DEPENDENCYPART_ARC
(7,6),1.24054 # DEPENDENCYPART_ARC
(7,8),4.98577 # DEPENDENCYPART_ARC
(7,9),2.20774 # DEPENDENCYPART_ARC
(7,10),-0.266829 # DEPENDENCYPART_ARC
(7,11),-0.0374686 # DEPENDENCYPART_ARC
(7,12),0.371498 # DEPENDENCYPART_ARC
(7,13),0.381318 # DEPENDENCYPART_ARC
(7,14),-0.278238 # DEPENDENCYPART_ARC
(7,15),-1.54197 # DEPENDENCYPART_ARC
(7,16),0.677748 # DEPENDENCYPART_ARC
(7,17),-0.873087 # DEPENDENCYPART_ARC
(7,18),-1.06768 # DEPENDENCYPART_ARC
(7,19),-3.0823 # DEPENDENCYPART_ARC
(7,20),0.0913683 # DEPENDENCYPART_ARC
(7,21),-1.76368 # DEPENDENCYPART_ARC
(7,22),-0.624887 # DEPENDENCYPART_ARC
(7,23),-2.06735 # DEPENDENCYPART_ARC
(7,24),-0.845984 # DEPENDENCYPART_ARC
(7,25),-3.43904 # DEPENDENCYPART_ARC
(7,26),-2.5366 # DEPENDENCYPART_ARC
(7,27),-1.57935 # DEPENDENCYPART_ARC
(7,28),-9.97551 # DEPENDENCYPART_ARC
(7,29),-8.33371 # DEPENDENCYPART_ARC
(7,30),-2.87925 # DEPENDENCYPART_ARC
(7,31),-9.11845 # DEPENDENCYPART_ARC
(7,32),-9.64912 # DEPENDENCYPART_ARC
(7,33),-11.8641 # DEPENDENCYPART_ARC
(7,34),1.57403 # DEPENDENCYPART_ARC
(8,1),-1.76356 # DEPENDENCYPART_ARC
(8,2),-1.8581 # DEPENDENCYPART_ARC
(8,3),-2.1501 # DEPENDENCYPART_ARC
(8,4),-1.48739 # DEPENDENCYPART_ARC
(8,5),-0.755898 # DEPENDENCYPART_ARC
(8,6),-0.374242 # DEPENDENCYPART_ARC
(8,7),-0.0244632 # DEPENDENCYPART_ARC
(8,9),0.390648 # DEPENDENCYPART_ARC
(8,10),-0.745133 # DEPENDENCYPART_ARC
(8,11),-0.491339 # DEPENDENCYPART_ARC
(8,12),-0.803561 # DEPENDENCYPART_ARC
(8,13),-0.349113 # DEPENDENCYPART_ARC
(8,14),-1.58425 # DEPENDENCYPART_ARC
(8,15),-1.36174 # DEPENDENCYPART_ARC
(8,16),-0.725232 # DEPENDENCYPART_ARC
(8,17),-1.6077 # DEPENDENCYPART_ARC
(8,18),-1.70515 # DEPENDENCYPART_ARC
(8,19),-1.8069 # DEPENDENCYPART_ARC
(8,20),-1.17658 # DEPENDENCYPART_ARC
(8,21),-1.745 # DEPENDENCYPART_ARC
(8,22),-1.81095 # DEPENDENCYPART_ARC
(8,23),-2.27878 # DEPENDENCYPART_ARC
(8,24),-1.44596 # DEPENDENCYPART_ARC
(8,25),-2.60575 # DEPENDENCYPART_ARC
(8,26),-2.62472 # DEPENDENCYPART_ARC
(8,27),-2.83253 # DEPENDENCYPART_ARC
(8,28),-2.43479 # DEPENDENCYPART_ARC
(8,29),-2.45022 # DEPENDENCYPART_ARC
(8,30),-2.29805 # DEPENDENCYPART_ARC
(8,31),-3.12691 # DEPENDENCYPART_ARC
(8,32),-2.75096 # DEPENDENCYPART_ARC
(8,33),-3.19544 # DEPENDENCYPART_ARC
(8,34),-1.55339 # DEPENDENCYPART_ARC
(9,1),0.520318 # DEPENDENCYPART_ARC
(9,2),0.907986 # DEPENDENCYPART_ARC
(9,3),-0.282906 # DEPENDENCYPART_ARC
(9,4),0.262585 # DEPENDENCYPART_ARC
(9,5),1.23692 # DEPENDENCYPART_ARC
(9,6),1.75035 # DEPENDENCYPART_ARC
(9,7),0.88417 # DEPENDENCYPART_ARC
(9,8),3.54217 # DEPENDENCYPART_ARC
(9,10),1.45634 # DEPENDENCYPART_ARC
(9,11),3.83481 # DEPENDENCYPART_ARC
(9,12),2.31677 # DEPENDENCYPART_ARC
(9,13),2.47455 # DEPENDENCYPART_ARC
(9,14),0.0121676 # DEPENDENCYPART_ARC
(9,15),1.13702 # DEPENDENCYPART_ARC
(9,16),2.19789 # DEPENDENCYPART_ARC
(9,17),0.218782 # DEPENDENCYPART_ARC
(9,18),-0.1544 # DEPENDENCYPART_ARC
(9,19),0.668169 # DEPENDENCYPART_ARC
(9,20),1.14032 # DEPENDENCYPART_ARC
(9,21),1.0383 # DEPENDENCYPART_ARC
(9,22),0.11905 # DEPENDENCYPART_ARC
(9,23),-0.153029 # DEPENDENCYPART_ARC
(9,24),0.0664128 # DEPENDENCYPART_ARC
(9,25),-1.44185 # DEPENDENCYPART_ARC
(9,26),-1.6208 # DEPENDENCYPART_ARC
(9,27),-0.4733 # DEPENDENCYPART_ARC
(9,28),-0.569673 # DEPENDENCYPART_ARC
(9,29),1.39305 # DEPENDENCYPART_ARC
(9,30),-0.82052 # DEPENDENCYPART_ARC
(9,31),-2.07112 # DEPENDENCYPART_ARC
(9,32),-0.706626 # DEPENDENCYPART_ARC
(9,33),-2.91468 # DEPENDENCYPART_ARC
(9,34),2.73631 # DEPENDENCYPART_ARC
(10,1),-2.82201 # DEPENDENCYPART_ARC
(10,2),-2.927 # DEPENDENCYPART_ARC
(10,3),-3.05994 # DEPENDENCYPART_ARC
(10,4),-2.64162 # DEPENDENCYPART_ARC
(10,5),-2.18307 # DEPENDENCYPART_ARC
(10,6),-1.44087 # DEPENDENCYPART_ARC
(10,7),-1.32569 # DEPENDENCYPART_ARC
(10,8),-0.588332 # DEPENDENCYPART_ARC
(10,9),-1.05801 # DEPENDENCYPART_ARC
(10,11),-0.116384 # DEPENDENCYPART_ARC
(10,12),-1.23692 # DEPENDENCYPART_ARC
(10,13),-1.31838 # DEPENDENCYPART_ARC
(10,14),-2.04971 # DEPENDENCYPART_ARC
(10,15),-1.45828 # DEPENDENCYPART_ARC
(10,16),-1.43204 # DEPENDENCYPART_ARC
(10,17),-2.06096 # DEPENDENCYPART_ARC
(10,18),-2.20568 # DEPENDENCYPART_ARC
(10,19),-1.95499 # DEPENDENCYPART_ARC
(10,20),-1.52823 # DEPENDENCYPART_ARC
(10,21),-2.21547 # DEPENDENCYPART_ARC
(10,22),-2.55477 # DEPENDENCYPART_ARC
(10,23),-2.90036 # DEPENDENCYPART_ARC
(10,24),-3.37314 # DEPENDENCYPART_ARC
(10,25),-3.5205 # DEPENDENCYPART_ARC
(10,26),-3.26158 # DEPENDENCYPART_ARC
(10,27),-3.2537 # DEPENDENCYPART_ARC
(10,28),-3.40491 # DEPENDENCYPART_ARC
(10,29),-3.44317 # DEPENDENCYPART_ARC
(10,30),-4.40333 # DEPENDENCYPART_ARC
(10,31),-3.76911 # DEPENDENCYPART_ARC
(10,32),-3.63237 # DEPENDENCYPART_ARC
(10,33),-3.52257 # DEPENDENCYPART_ARC
(10,34),-2.31378 # DEPENDENCYPART_ARC
(11,1),-3.38022 # DEPENDENCYPART_ARC
(11,2),-2.85731 # DEPENDENCYPART_ARC
(11,3),-1.20921 # DEPENDENCYPART_ARC
(11,4),-2.25067 # DEPENDENCYPART_ARC
(11,5),-1.61148 # DEPENDENCYPART_ARC
(11,6),-1.90111 # DEPENDENCYPART_ARC
(11,7),-0.140855 # DEPENDENCYPART_ARC
(11,8),0.415925 # DEPENDENCYPART_ARC
(11,9),-0.450801 # DEPENDENCYPART_ARC
(11,10),3.85768 # DEPENDENCYPART_ARC
(11,12),1.18785 # DEPENDENCYPART_ARC
(11,13),0.583476 # DEPENDENCYPART_ARC
(11,14),-0.670979 # DEPENDENCYPART_ARC
(11,15),0.0130968 # DEPENDENCYPART_ARC
(11,16),0.549733 # DEPENDENCYPART_ARC
(11,17),-0.151871 # DEPENDENCYPART_ARC
(11,18),-0.392307 # DEPENDENCYPART_ARC
(11,19),0.0117924 # DEPENDENCYPART_ARC
(11,20),0.227215 # DEPENDENCYPART_ARC
(11,21),-0.484801 # DEPENDENCYPART_ARC
(11,22),-0.558331 # DEPENDENCYPART_ARC
(11,23),-0.771171 # DEPENDENCYPART_ARC
(11,24),-1.37766 # DEPENDENCYPART_ARC
(11,25),-1.68381 # DEPENDENCYPART_ARC
(11,26),-1.73476 # DEPENDENCYPART_ARC
(11,27),-1.37481 # DEPENDENCYPART_ARC
(11,28),-2.63669 # DEPENDENCYPART_ARC
(11,29),-1.64246 # DEPENDENCYPART_ARC
(11,30),-2.58199 # DEPENDENCYPART_ARC
(11,31),-2.22051 # DEPENDENCYPART_ARC
(11,32),-3.10914 # DEPENDENCYPART_ARC
(11,33),-2.05801 # DEPENDENCYPART_ARC
(11,34),0.332478 # DEPENDENCYPART_ARC
(12,1),-0.70815 # DEPENDENCYPART_ARC
(12,2),-0.842982 # DEPENDENCYPART_ARC
(12,3),-1.44929 # DEPENDENCYPART_ARC
(12,4),-0.841801 # DEPENDENCYPART_ARC
(12,5),-0.606 # DEPENDENCYPART_ARC
(12,6),0.142845 # DEPENDENCYPART_ARC
(12,7),-0.363651 # DEPENDENCYPART_ARC
(12,8),0.845034 # DEPENDENCYPART_ARC
(12,9),-0.292202 # DEPENDENCYPART_ARC
(12,10),1.11916 # DEPENDENCYPART_ARC
(12,11),1.26508 # DEPENDENCYPART_ARC
(12,13),2.00319 # DEPENDENCYPART_ARC
(12,14),0.890966 # DEPENDENCYPART_ARC
(12,15),0.82455 # DEPENDENCYPART_ARC
(12,16),1.28722 # DEPENDENCYPART_ARC
(12,17),1.21313 # DEPENDENCYPART_ARC
(12,18),0.661489 # DEPENDENCYPART_ARC
(12,19),-0.259103 # DEPENDENCYPART_ARC
(12,20),1.10883 # DEPENDENCYPART_ARC
(12,21),1.63965 # DEPENDENCYPART_ARC
(12,22),-0.386282 # DEPENDENCYPART_ARC
(12,23),-0.429293 # DEPENDENCYPART_ARC
(12,24),-0.283173 # DEPENDENCYPART_ARC
(12,25),-0.594573 # DEPENDENCYPART_ARC
(12,26),-0.559373 # DEPENDENCYPART_ARC
(12,27),-1.24544 # DEPENDENCYPART_ARC
(12,28),-1.69868 # DEPENDENCYPART_ARC
(12,29),-1.69886 # DEPENDENCYPART_ARC
(12,30),-0.811419 # DEPENDENCYPART_ARC
(12,31),-1.34496 # DEPENDENCYPART_ARC
(12,32),-2.15733 # DEPENDENCYPART_ARC
(12,33),-2.47218 # DEPENDENCYPART_ARC
(12,34),-0.153807 # DEPENDENCYPART_ARC
(13,1),-1.531 # DEPENDENCYPART_ARC
(13,2),-0.867834 # DEPENDENCYPART_ARC
(13,3),-1.23773 # DEPENDENCYPART_ARC
(13,4),-1.10292 # DEPENDENCYPART_ARC
(13,5),-0.802107 # DEPENDENCYPART_ARC
(13,6),-0.359272 # DEPENDENCYPART_ARC
(13,7),-0.377101 # DEPENDENCYPART_ARC
(13,8),0.78564 # DEPENDENCYPART_ARC
(13,9),-0.482749 # DEPENDENCYPART_ARC
(13,10),0.406512 # DEPENDENCYPART_ARC
(13,11),-0.176494 # DEPENDENCYPART_ARC
(13,12),1.39464 # DEPENDENCYPART_ARC
(13,14),1.32192 # DEPENDENCYPART_ARC
(13,15),3.26627 # DEPENDENCYPART_ARC
(13,16),1.52113 # DEPENDENCYPART_ARC
(13,17),0.34124 # DEPENDENCYPART_ARC
(13,18),0.328114 # DEPENDENCYPART_ARC
(13,19),2.04624 # DEPENDENCYPART_ARC
(13,20),1.22687 # DEPENDENCYPART_ARC
(13,21),-0.428621 # DEPENDENCYPART_ARC
(13,22),-0.0803247 # DEPENDENCYPART_ARC
(13,23),-0.659299 # DEPENDENCYPART_ARC
(13,24),-0.437638 # DEPENDENCYPART_ARC
(13,25),-2.72096 # DEPENDENCYPART_ARC
(13,26),-1.2715 # DEPENDENCYPART_ARC
(13,27),-1.38424 # DEPENDENCYPART_ARC
(13,28),-6.63651 # DEPENDENCYPART_ARC
(13,29),-4.12003 # DEPENDENCYPART_ARC
(13,30),-1.44216 # DEPENDENCYPART_ARC
(13,31),-5.42952 # DEPENDENCYPART_ARC
(13,32),-7.13057 # DEPENDENCYPART_ARC
(13,33),-6.63079 # DEPENDENCYPART_ARC
(13,34),0.360181 # DEPENDENCYPART_ARC
(14,1),-3.42665 # DEPENDENCYPART_ARC
(14,2),-3.44676 # DEPENDENCYPART_ARC
(14,3),-3.5924 # DEPENDENCYPART_ARC
(14,4),-3.13459 # DEPENDENCYPART_ARC
(14,5),-2.89627 # DEPENDENCYPART_ARC
(14,6),-2.55083 # DEPENDENCYPART_ARC
(14,7),-2.6941 # DEPENDENCYPART_ARC
(14,8),-2.00901 # DEPENDENCYPART_ARC
(14,9),-2.77709 # DEPENDENCYPART_ARC
(14,10),-1.81482 # DEPENDENCYPART_ARC
(14,11),-1.98382 # DEPENDENCYPART_ARC
(14,12),-1.72448 # DEPENDENCYPART_ARC
(14,13),-1.09509 # DEPENDENCYPART_ARC
(14,15),0.815835 # DEPENDENCYPART_ARC
(14,16),-0.164332 # DEPENDENCYPART_ARC
(14,17),-0.712049 # DEPENDENCYPART_ARC
(14,18),-0.917773 # DEPENDENCYPART_ARC
(14,19),-0.481954 # DEPENDENCYPART_ARC
(14,20),-0.630699 # DEPENDENCYPART_ARC
(14,21),-1.05966 # DEPENDENCYPART_ARC
(14,22),-1.50497 # DEPENDENCYPART_ARC
(14,23),-1.76354 # DEPENDENCYPART_ARC
(14,24),-1.5318 # DEPENDENCYPART_ARC
(14,25),-2.15791 # DEPENDENCYPART_ARC
(14,26),-2.15161 # DEPENDENCYPART_ARC
(14,27),-2.42525 # DEPENDENCYPART_ARC
(14,28),-2.41989 # DEPENDENCYPART_ARC
(14,29),-2.49434 # DEPENDENCYPART_ARC
(14,30),-2.17942 # DEPENDENCYPART_ARC
(14,31),-2.76124 # DEPENDENCYPART_ARC
(14,32),-2.83274 # DEPENDENCYPART_ARC
(14,33),-2.02401 # DEPENDENCYPART_ARC
(14,34),-2.12724 # DEPENDENCYPART_ARC
(15,1),-3.89749 # DEPENDENCYPART_ARC
(15,2),-3.65333 # DEPENDENCYPART_ARC
(15,3),-1.58868 # DEPENDENCYPART_ARC
(15,4),-2.75176 # DEPENDENCYPART_ARC
(15,5),-1.57119 # DEPENDENCYPART_ARC
(15,6),-2.53509 # DEPENDENCYPART_ARC
(15,7),-0.575845 # DEPENDENCYPART_ARC
(15,8),-0.448709 # DEPENDENCYPART_ARC
(15,9),-1.16732 # DEPENDENCYPART_ARC
