# _root_ The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .
#goldHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,9,18,21,18,21,9,7,
#predictedHeads=3,3,7,3,6,4,0,9,7,9,12,9,12,15,13,15,18,21,18,21,12,7,
(12,1),-0.795018 # DEPENDENCYPART_ARC
(12,2),-0.373638 # DEPENDENCYPART_ARC
(12,3),-1.08447 # DEPENDENCYPART_ARC
(12,4),-1.32158 # DEPENDENCYPART_ARC
(12,5),1.31412 # DEPENDENCYPART_ARC
(12,6),-1.05876 # DEPENDENCYPART_ARC
(12,7),-0.222103 # DEPENDENCYPART_ARC
(12,8),2.19086 # DEPENDENCYPART_ARC
(12,9),0.57041 # DEPENDENCYPART_ARC
(12,10),1.72524 # DEPENDENCYPART_ARC
(12,11),4.6177 # DEPENDENCYPART_ARC
(12,13),4.61061 # DEPENDENCYPART_ARC
(12,14),0.955261 # DEPENDENCYPART_ARC
(12,15),1.82641 # DEPENDENCYPART_ARC
(12,16),3.07571 # DEPENDENCYPART_ARC
(12,17),0.927547 # DEPENDENCYPART_ARC
(12,18),-0.30037 # DEPENDENCYPART_ARC
(12,19),0.563151 # DEPENDENCYPART_ARC
(12,20),0.0311418 # DEPENDENCYPART_ARC
(12,21),0.863253 # DEPENDENCYPART_ARC
(12,22),0.920264 # DEPENDENCYPART_ARC
(13,1),-1.57447 # DEPENDENCYPART_ARC
(13,2),-1.67102 # DEPENDENCYPART_ARC
(13,3),-1.26246 # DEPENDENCYPART_ARC
(13,4),-1.24107 # DEPENDENCYPART_ARC
(13,5),-0.941776 # DEPENDENCYPART_ARC
(13,6),-0.999913 # DEPENDENCYPART_ARC
(13,7),-0.65753 # DEPENDENCYPART_ARC
(13,8),0.231962 # DEPENDENCYPART_ARC
(13,9),0.259447 # DEPENDENCYPART_ARC
(13,10),-0.496413 # DEPENDENCYPART_ARC
(13,11),0.725957 # DEPENDENCYPART_ARC
(13,12),0.875152 # DEPENDENCYPART_ARC
(13,14),3.22999 # DEPENDENCYPART_ARC
(13,15),3.47308 # DEPENDENCYPART_ARC
(13,16),1.23481 # DEPENDENCYPART_ARC
(13,17),-0.476539 # DEPENDENCYPART_ARC
(13,18),1.97914 # DEPENDENCYPART_ARC
(13,19),-0.41889 # DEPENDENCYPART_ARC
(13,20),-0.518884 # DEPENDENCYPART_ARC
(13,21),-0.163376 # DEPENDENCYPART_ARC
(13,22),0.0301376 # DEPENDENCYPART_ARC
(14,1),-4.31861 # DEPENDENCYPART_ARC
(14,2),-4.07265 # DEPENDENCYPART_ARC
(14,3),-4.59729 # DEPENDENCYPART_ARC
(14,4),-4.31406 # DEPENDENCYPART_ARC
(14,5),-2.18337 # DEPENDENCYPART_ARC
(14,6),-3.90487 # DEPENDENCYPART_ARC
(14,7),-3.31042 # DEPENDENCYPART_ARC
(14,8),-3.15083 # DEPENDENCYPART_ARC
(14,9),-3.1568 # DEPENDENCYPART_ARC
(14,10),-2.27631 # DEPENDENCYPART_ARC
(14,11),-1.18574 # DEPENDENCYPART_ARC
(14,12),-1.53359 # DEPENDENCYPART_ARC
(14,13),-1.34909 # DEPENDENCYPART_ARC
(14,15),2.08182 # DEPENDENCYPART_ARC
(14,16),0.981902 # DEPENDENCYPART_ARC
(14,17),-0.695203 # DEPENDENCYPART_ARC
(14,18),-1.22704 # DEPENDENCYPART_ARC
(14,19),-0.884115 # DEPENDENCYPART_ARC
(14,20),-1.40065 # DEPENDENCYPART_ARC
(14,21),-1.25311 # DEPENDENCYPART_ARC
(14,22),-0.52844 # DEPENDENCYPART_ARC
(15,1),-1.35424 # DEPENDENCYPART_ARC
(15,2),-1.23075 # DEPENDENCYPART_ARC
(15,3),-2.24156 # DEPENDENCYPART_ARC
(15,4),-2.43972 # DEPENDENCYPART_ARC
(15,5),0.666078 # DEPENDENCYPART_ARC
(15,6),-1.94536 # DEPENDENCYPART_ARC
(15,7),-1.0692 # DEPENDENCYPART_ARC
(15,8),0.644373 # DEPENDENCYPART_ARC
(15,9),-0.989616 # DEPENDENCYPART_ARC
(15,10),0.282837 # DEPENDENCYPART_ARC
(15,11),2.30095 # DEPENDENCYPART_ARC
(15,12),1.07734 # DEPENDENCYPART_ARC
(15,13),0.426141 # DEPENDENCYPART_ARC
(15,14),4.68568 # DEPENDENCYPART_ARC
(15,16),3.19849 # DEPENDENCYPART_ARC
(15,17),0.700195 # DEPENDENCYPART_ARC
(15,18),0.662897 # DEPENDENCYPART_ARC
(15,19),0.996702 # DEPENDENCYPART_ARC
(15,20),0.154775 # DEPENDENCYPART_ARC
(15,21),0.165826 # DEPENDENCYPART_ARC
(15,22),0.587665 # DEPENDENCYPART_ARC
(16,1),-2.50613 # DEPENDENCYPART_ARC
(16,2),-2.74205 # DEPENDENCYPART_ARC
(16,3),-2.6837 # DEPENDENCYPART_ARC
(16,4),-2.36253 # DEPENDENCYPART_ARC
(16,5),-2.09992 # DEPENDENCYPART_ARC
(16,6),-2.35317 # DEPENDENCYPART_ARC
(16,7),-1.94769 # DEPENDENCYPART_ARC
(16,8),-2.32026 # DEPENDENCYPART_ARC
(16,9),-2.32585 # DEPENDENCYPART_ARC
(16,10),-0.792589 # DEPENDENCYPART_ARC
(16,11),-2.12669 # DEPENDENCYPART_ARC
(16,12),-1.93292 # DEPENDENCYPART_ARC
(16,13),-1.57427 # DEPENDENCYPART_ARC
(16,14),-1.66279 # DEPENDENCYPART_ARC
(16,15),-1.10441 # DEPENDENCYPART_ARC
(16,17),-0.281544 # DEPENDENCYPART_ARC
(16,18),-0.559054 # DEPENDENCYPART_ARC
(16,19),-1.04666 # DEPENDENCYPART_ARC
(16,20),-1.45533 # DEPENDENCYPART_ARC
(16,21),-1.54574 # DEPENDENCYPART_ARC
(16,22),-1.00453 # DEPENDENCYPART_ARC
(17,1),-3.23685 # DEPENDENCYPART_ARC
(17,2),-3.5344 # DEPENDENCYPART_ARC
(17,3),-3.63851 # DEPENDENCYPART_ARC
(17,4),-3.40809 # DEPENDENCYPART_ARC
(17,5),-2.71551 # DEPENDENCYPART_ARC
(17,6),-3.54841 # DEPENDENCYPART_ARC
(17,7),-2.89542 # DEPENDENCYPART_ARC
(17,8),-2.87772 # DEPENDENCYPART_ARC
(17,9),-2.79571 # DEPENDENCYPART_ARC
(17,10),-2.54879 # DEPENDENCYPART_ARC
(17,11),-2.51104 # DEPENDENCYPART_ARC
(17,12),-2.35455 # DEPENDENCYPART_ARC
(17,13),-2.52816 # DEPENDENCYPART_ARC
(17,14),-1.77809 # DEPENDENCYPART_ARC
(17,15),-1.64498 # DEPENDENCYPART_ARC
(17,16),-0.766056 # DEPENDENCYPART_ARC
(17,18),-0.105808 # DEPENDENCYPART_ARC
(17,19),-0.153035 # DEPENDENCYPART_ARC
(17,20),-0.127343 # DEPENDENCYPART_ARC
(17,21),-0.881094 # DEPENDENCYPART_ARC
(17,22),-1.15336 # DEPENDENCYPART_ARC
(18,1),-3.06236 # DEPENDENCYPART_ARC
(18,2),-2.79624 # DEPENDENCYPART_ARC
(18,3),-3.27791 # DEPENDENCYPART_ARC
(18,4),-3.0786 # DEPENDENCYPART_ARC
(18,5),-1.22592 # DEPENDENCYPART_ARC
(18,6),-3.38427 # DEPENDENCYPART_ARC
(18,7),-2.16965 # DEPENDENCYPART_ARC
(18,8),-0.828791 # DEPENDENCYPART_ARC
(18,9),-2.97265 # DEPENDENCYPART_ARC
(18,10),-1.95393 # DEPENDENCYPART_ARC
(18,11),0.215578 # DEPENDENCYPART_ARC
(18,12),-1.57301 # DEPENDENCYPART_ARC
(18,13),-1.55676 # DEPENDENCYPART_ARC
(18,14),2.59699 # DEPENDENCYPART_ARC
(18,15),0.611112 # DEPENDENCYPART_ARC
(18,16),0.792674 # DEPENDENCYPART_ARC
(18,17),4.56338 # DEPENDENCYPART_ARC
(18,19),3.71999 # DEPENDENCYPART_ARC
(18,20),0.776579 # DEPENDENCYPART_ARC
(18,21),-0.0990315 # DEPENDENCYPART_ARC
(18,22),-0.0301191 # DEPENDENCYPART_ARC
(19,1),-2.05215 # DEPENDENCYPART_ARC
(19,2),-2.04858 # DEPENDENCYPART_ARC
(19,3),-1.90447 # DEPENDENCYPART_ARC
(19,4),-2.87697 # DEPENDENCYPART_ARC
(19,5),-1.56074 # DEPENDENCYPART_ARC
(19,6),-1.95789 # DEPENDENCYPART_ARC
(19,7),-1.53521 # DEPENDENCYPART_ARC
(19,8),-0.925675 # DEPENDENCYPART_ARC
(19,9),-0.582919 # DEPENDENCYPART_ARC
(19,10),-1.23821 # DEPENDENCYPART_ARC
(19,11),-0.481832 # DEPENDENCYPART_ARC
(19,12),-0.258505 # DEPENDENCYPART_ARC
(19,13),-1.41591 # DEPENDENCYPART_ARC
(19,14),0.0345928 # DEPENDENCYPART_ARC
(19,15),0.308751 # DEPENDENCYPART_ARC
(19,16),0.141468 # DEPENDENCYPART_ARC
(19,17),0.926164 # DEPENDENCYPART_ARC
(19,18),1.42455 # DEPENDENCYPART_ARC
(19,20),0.459128 # DEPENDENCYPART_ARC
(19,21),0.103787 # DEPENDENCYPART_ARC
(19,22),-0.237086 # DEPENDENCYPART_ARC
(20,1),-2.20862 # DEPENDENCYPART_ARC
(20,2),-1.90566 # DEPENDENCYPART_ARC
(20,3),-2.22063 # DEPENDENCYPART_ARC
(20,4),-2.6176 # DEPENDENCYPART_ARC
(20,5),-1.9477 # DEPENDENCYPART_ARC
(20,6),-2.4965 # DEPENDENCYPART_ARC
(20,7),-1.79881 # DEPENDENCYPART_ARC
(20,8),-1.68506 # DEPENDENCYPART_ARC
(20,9),-1.70514 # DEPENDENCYPART_ARC
(20,10),-1.46512 # DEPENDENCYPART_ARC
(20,11),-1.08633 # DEPENDENCYPART_ARC
(20,12),-1.05271 # DEPENDENCYPART_ARC
(20,13),-1.63605 # DEPENDENCYPART_ARC
(20,14),-0.657401 # DEPENDENCYPART_ARC
(20,15),-0.488669 # DEPENDENCYPART_ARC
(20,16),-0.148443 # DEPENDENCYPART_ARC
(20,17),1.15768 # DEPENDENCYPART_ARC
(20,18),0.924848 # DEPENDENCYPART_ARC
(20,19),1.04091 # DEPENDENCYPART_ARC
(20,21),0.345732 # DEPENDENCYPART_ARC
(20,22),-0.783216 # DEPENDENCYPART_ARC
(21,1),-2.13384 # DEPENDENCYPART_ARC
(21,2),-1.27664 # DEPENDENCYPART_ARC
(21,3),-2.37951 # DEPENDENCYPART_ARC
(21,4),-0.37607 # DEPENDENCYPART_ARC
(21,5),-0.0782494 # DEPENDENCYPART_ARC
(21,6),-1.26744 # DEPENDENCYPART_ARC
(21,7),-0.978175 # DEPENDENCYPART_ARC
(21,8),-0.431259 # DEPENDENCYPART_ARC
(21,9),-1.65848 # DEPENDENCYPART_ARC
(21,10),-0.231913 # DEPENDENCYPART_ARC
(21,11),0.39307 # DEPENDENCYPART_ARC
(21,12),-0.690235 # DEPENDENCYPART_ARC
(21,13),-0.169029 # DEPENDENCYPART_ARC
(21,14),1.22982 # DEPENDENCYPART_ARC
(21,15),0.00572397 # DEPENDENCYPART_ARC
(21,16),0.588875 # DEPENDENCYPART_ARC
(21,17),2.45186 # DEPENDENCYPART_ARC
(21,18),3.40314 # DEPENDENCYPART_ARC
(21,19),1.40291 # DEPENDENCYPART_ARC
(21,20),3.67407 # DEPENDENCYPART_ARC
(21,22),0.469217 # DEPENDENCYPART_ARC
(22,1),-2.7424 # DEPENDENCYPART_ARC
(22,2),-3.10606 # DEPENDENCYPART_ARC
(22,3),-2.92596 # DEPENDENCYPART_ARC
(22,4),-2.59871 # DEPENDENCYPART_ARC
(22,5),-2.29221 # DEPENDENCYPART_ARC
(22,6),-2.80878 # DEPENDENCYPART_ARC
(22,7),-2.46288 # DEPENDENCYPART_ARC
(22,8),-2.03196 # DEPENDENCYPART_ARC
(22,9),-2.08473 # DEPENDENCYPART_ARC
(22,10),-1.50429 # DEPENDENCYPART_ARC
(22,11),-1.91022 # DEPENDENCYPART_ARC
(22,12),-1.83556 # DEPENDENCYPART_ARC
(22,13),-1.6681 # DEPENDENCYPART_ARC
(22,14),-1.54719 # DEPENDENCYPART_ARC
(22,15),-1.62669 # DEPENDENCYPART_ARC
(22,16),-0.127539 # DEPENDENCYPART_ARC
(22,17),-1.12028 # DEPENDENCYPART_ARC
(22,18),-1.50876 # DEPENDENCYPART_ARC
(22,19),-0.942691 # DEPENDENCYPART_ARC
(22,20),-1.64131 # DEPENDENCYPART_ARC
(22,21),-1.64162 # DEPENDENCYPART_ARC
