# _root_ The builders like the subsidies , but at the same time they tend to be fiscal conservatives in terms of major issues , such as the balanced-budget amendment . ''
#goldHeads=2,3,0,5,3,3,3,13,11,11,8,13,7,13,14,17,15,15,18,19,22,20,22,25,22,28,28,25,3,3,
#predictedHeads=2,3,0,5,3,3,3,3,11,11,8,13,11,13,14,17,15,17,18,19,22,20,22,25,22,28,28,25,3,3,
(2,18),-0.541784 # DEPENDENCYPART_ARC
(2,19),-2.12935 # DEPENDENCYPART_ARC
(2,20),-3.11893 # DEPENDENCYPART_ARC
(2,21),-1.67225 # DEPENDENCYPART_ARC
(2,22),-2.15334 # DEPENDENCYPART_ARC
(2,23),-1.44539 # DEPENDENCYPART_ARC
(2,24),-2.0358 # DEPENDENCYPART_ARC
(2,25),-1.43577 # DEPENDENCYPART_ARC
(2,26),-2.27803 # DEPENDENCYPART_ARC
(2,27),-2.30309 # DEPENDENCYPART_ARC
(2,28),-3.18713 # DEPENDENCYPART_ARC
(2,29),-0.011433 # DEPENDENCYPART_ARC
(2,30),-0.802622 # DEPENDENCYPART_ARC
(3,1),1.6125 # DEPENDENCYPART_ARC
(3,2),3.58506 # DEPENDENCYPART_ARC
(3,4),2.06423 # DEPENDENCYPART_ARC
(3,5),3.00904 # DEPENDENCYPART_ARC
(3,6),3.40195 # DEPENDENCYPART_ARC
(3,7),2.30383 # DEPENDENCYPART_ARC
(3,8),1.47508 # DEPENDENCYPART_ARC
(3,9),-0.180569 # DEPENDENCYPART_ARC
(3,10),0.584798 # DEPENDENCYPART_ARC
(3,11),1.44868 # DEPENDENCYPART_ARC
(3,12),0.142847 # DEPENDENCYPART_ARC
(3,13),0.361052 # DEPENDENCYPART_ARC
(3,14),1.25688 # DEPENDENCYPART_ARC
(3,15),0.732514 # DEPENDENCYPART_ARC
(3,16),-0.438055 # DEPENDENCYPART_ARC
(3,17),0.427474 # DEPENDENCYPART_ARC
(3,18),0.49207 # DEPENDENCYPART_ARC
(3,19),-0.891126 # DEPENDENCYPART_ARC
(3,20),-0.381019 # DEPENDENCYPART_ARC
(3,21),-1.18056 # DEPENDENCYPART_ARC
(3,22),-0.979057 # DEPENDENCYPART_ARC
(3,23),0.307407 # DEPENDENCYPART_ARC
(3,24),-1.1645 # DEPENDENCYPART_ARC
(3,25),0.10395 # DEPENDENCYPART_ARC
(3,26),-2.56837 # DEPENDENCYPART_ARC
(3,27),-1.75957 # DEPENDENCYPART_ARC
(3,28),-1.61881 # DEPENDENCYPART_ARC
(3,29),5.13724 # DEPENDENCYPART_ARC
(3,30),2.21664 # DEPENDENCYPART_ARC
(4,1),-1.05008 # DEPENDENCYPART_ARC
(4,2),-1.81984 # DEPENDENCYPART_ARC
(4,3),-1.24944 # DEPENDENCYPART_ARC
(4,5),-0.244286 # DEPENDENCYPART_ARC
(4,6),-0.896537 # DEPENDENCYPART_ARC
(4,7),-0.462769 # DEPENDENCYPART_ARC
(4,8),-1.46205 # DEPENDENCYPART_ARC
(4,9),-2.34744 # DEPENDENCYPART_ARC
(4,10),-1.76561 # DEPENDENCYPART_ARC
(4,11),-1.89798 # DEPENDENCYPART_ARC
(4,12),-1.92443 # DEPENDENCYPART_ARC
(4,13),-1.38682 # DEPENDENCYPART_ARC
(4,14),-2.16304 # DEPENDENCYPART_ARC
(4,15),-2.45946 # DEPENDENCYPART_ARC
(4,16),-2.72767 # DEPENDENCYPART_ARC
(4,17),-2.60538 # DEPENDENCYPART_ARC
(4,18),-3.11717 # DEPENDENCYPART_ARC
(4,19),-2.65836 # DEPENDENCYPART_ARC
(4,20),-3.22874 # DEPENDENCYPART_ARC
(4,21),-3.1848 # DEPENDENCYPART_ARC
(4,22),-3.1359 # DEPENDENCYPART_ARC
(4,23),-1.85118 # DEPENDENCYPART_ARC
(4,24),-3.34672 # DEPENDENCYPART_ARC
(4,25),-3.14475 # DEPENDENCYPART_ARC
(4,26),-4.27189 # DEPENDENCYPART_ARC
(4,27),-3.85222 # DEPENDENCYPART_ARC
(4,28),-3.80668 # DEPENDENCYPART_ARC
(4,29),-1.51462 # DEPENDENCYPART_ARC
(4,30),-2.35388 # DEPENDENCYPART_ARC
(5,1),0.655319 # DEPENDENCYPART_ARC
(5,2),-0.0267439 # DEPENDENCYPART_ARC
(5,3),-0.107675 # DEPENDENCYPART_ARC
(5,4),4.03382 # DEPENDENCYPART_ARC
(5,6),1.77685 # DEPENDENCYPART_ARC
(5,7),0.76351 # DEPENDENCYPART_ARC
(5,8),0.36599 # DEPENDENCYPART_ARC
(5,9),-0.111175 # DEPENDENCYPART_ARC
(5,10),0.103697 # DEPENDENCYPART_ARC
(5,11),-0.0508842 # DEPENDENCYPART_ARC
(5,12),-0.25167 # DEPENDENCYPART_ARC
(5,13),1.07095 # DEPENDENCYPART_ARC
(5,14),0.593834 # DEPENDENCYPART_ARC
(5,15),-0.0383488 # DEPENDENCYPART_ARC
(5,16),-0.858041 # DEPENDENCYPART_ARC
(5,17),-0.590412 # DEPENDENCYPART_ARC
(5,18),-0.299267 # DEPENDENCYPART_ARC
(5,19),-1.47826 # DEPENDENCYPART_ARC
(5,20),-2.06055 # DEPENDENCYPART_ARC
(5,21),-0.966411 # DEPENDENCYPART_ARC
(5,22),-0.55518 # DEPENDENCYPART_ARC
(5,23),0.489338 # DEPENDENCYPART_ARC
(5,24),-1.43808 # DEPENDENCYPART_ARC
(5,25),-0.665813 # DEPENDENCYPART_ARC
(5,26),-1.63793 # DEPENDENCYPART_ARC
(5,27),-1.5979 # DEPENDENCYPART_ARC
(5,28),-1.97429 # DEPENDENCYPART_ARC
(5,29),0.794785 # DEPENDENCYPART_ARC
(5,30),0.0362061 # DEPENDENCYPART_ARC
(6,1),-1.02917 # DEPENDENCYPART_ARC
(6,2),-1.63296 # DEPENDENCYPART_ARC
(6,3),-1.36448 # DEPENDENCYPART_ARC
(6,4),-0.471552 # DEPENDENCYPART_ARC
(6,5),-0.914213 # DEPENDENCYPART_ARC
(6,7),-0.0876014 # DEPENDENCYPART_ARC
(6,8),-0.973693 # DEPENDENCYPART_ARC
(6,9),-1.40143 # DEPENDENCYPART_ARC
(6,10),-1.48684 # DEPENDENCYPART_ARC
(6,11),-1.91294 # DEPENDENCYPART_ARC
(6,12),-1.70836 # DEPENDENCYPART_ARC
(6,13),-1.65002 # DEPENDENCYPART_ARC
(6,14),-1.84168 # DEPENDENCYPART_ARC
(6,15),-1.77126 # DEPENDENCYPART_ARC
(6,16),-2.31861 # DEPENDENCYPART_ARC
(6,17),-2.65695 # DEPENDENCYPART_ARC
(6,18),-2.12107 # DEPENDENCYPART_ARC
(6,19),-2.84899 # DEPENDENCYPART_ARC
(6,20),-2.16207 # DEPENDENCYPART_ARC
(6,21),-2.89582 # DEPENDENCYPART_ARC
(6,22),-3.18446 # DEPENDENCYPART_ARC
(6,23),-1.30263 # DEPENDENCYPART_ARC
(6,24),-3.27634 # DEPENDENCYPART_ARC
(6,25),-2.56076 # DEPENDENCYPART_ARC
(6,26),-3.31882 # DEPENDENCYPART_ARC
(6,27),-3.4511 # DEPENDENCYPART_ARC
(6,28),-4.0685 # DEPENDENCYPART_ARC
(6,29),-2.65766 # DEPENDENCYPART_ARC
(6,30),-2.52377 # DEPENDENCYPART_ARC
(7,1),-0.992588 # DEPENDENCYPART_ARC
(7,2),-1.07976 # DEPENDENCYPART_ARC
(7,3),-1.23226 # DEPENDENCYPART_ARC
(7,4),-0.303505 # DEPENDENCYPART_ARC
(7,5),-0.645059 # DEPENDENCYPART_ARC
(7,6),-0.489573 # DEPENDENCYPART_ARC
(7,8),1.29655 # DEPENDENCYPART_ARC
(7,9),-0.0730083 # DEPENDENCYPART_ARC
(7,10),0.534893 # DEPENDENCYPART_ARC
(7,11),-0.317277 # DEPENDENCYPART_ARC
(7,12),-0.491184 # DEPENDENCYPART_ARC
(7,13),2.42 # DEPENDENCYPART_ARC
(7,14),-0.0403657 # DEPENDENCYPART_ARC
(7,15),0.294496 # DEPENDENCYPART_ARC
(7,16),-0.864038 # DEPENDENCYPART_ARC
(7,17),-2.8921 # DEPENDENCYPART_ARC
(7,18),0.284908 # DEPENDENCYPART_ARC
(7,19),-3.64754 # DEPENDENCYPART_ARC
(7,20),-0.468042 # DEPENDENCYPART_ARC
(7,21),-2.34515 # DEPENDENCYPART_ARC
(7,22),-4.07091 # DEPENDENCYPART_ARC
(7,23),-0.117247 # DEPENDENCYPART_ARC
(7,24),-2.24099 # DEPENDENCYPART_ARC
(7,25),-0.184457 # DEPENDENCYPART_ARC
(7,26),-3.00046 # DEPENDENCYPART_ARC
(7,27),-3.18377 # DEPENDENCYPART_ARC
(7,28),-3.73958 # DEPENDENCYPART_ARC
(7,29),0.737094 # DEPENDENCYPART_ARC
(7,30),-0.291892 # DEPENDENCYPART_ARC
(8,1),-1.45843 # DEPENDENCYPART_ARC
(8,2),-1.56181 # DEPENDENCYPART_ARC
(8,3),-1.85579 # DEPENDENCYPART_ARC
(8,4),-0.961608 # DEPENDENCYPART_ARC
(8,5),-1.28203 # DEPENDENCYPART_ARC
(8,6),0.0454788 # DEPENDENCYPART_ARC
(8,7),0.839938 # DEPENDENCYPART_ARC
(8,9),0.931376 # DEPENDENCYPART_ARC
(8,10),1.92597 # DEPENDENCYPART_ARC
(8,11),4.45496 # DEPENDENCYPART_ARC
(8,12),-0.0287631 # DEPENDENCYPART_ARC
(8,13),1.22468 # DEPENDENCYPART_ARC
(8,14),0.17026 # DEPENDENCYPART_ARC
(8,15),0.103169 # DEPENDENCYPART_ARC
(8,16),0.143357 # DEPENDENCYPART_ARC
(8,17),0.234039 # DEPENDENCYPART_ARC
(8,18),0.209608 # DEPENDENCYPART_ARC
(8,19),-1.7355 # DEPENDENCYPART_ARC
(8,20),0.157399 # DEPENDENCYPART_ARC
(8,21),-0.423026 # DEPENDENCYPART_ARC
(8,22),-2.61816 # DEPENDENCYPART_ARC
(8,23),0.272385 # DEPENDENCYPART_ARC
(8,24),-0.987471 # DEPENDENCYPART_ARC
(8,25),-0.975094 # DEPENDENCYPART_ARC
(8,26),-3.34193 # DEPENDENCYPART_ARC
(8,27),-1.10659 # DEPENDENCYPART_ARC
(8,28),-4.93563 # DEPENDENCYPART_ARC
(8,29),-0.079081 # DEPENDENCYPART_ARC
(8,30),-0.918246 # DEPENDENCYPART_ARC
(9,1),-2.56843 # DEPENDENCYPART_ARC
(9,2),-3.14187 # DEPENDENCYPART_ARC
(9,3),-3.01896 # DEPENDENCYPART_ARC
(9,4),-2.01076 # DEPENDENCYPART_ARC
(9,5),-2.62096 # DEPENDENCYPART_ARC
(9,6),-1.9482 # DEPENDENCYPART_ARC
(9,7),-2.12159 # DEPENDENCYPART_ARC
(9,8),-1.2225 # DEPENDENCYPART_ARC
(9,10),-0.225239 # DEPENDENCYPART_ARC
(9,11),-0.894984 # DEPENDENCYPART_ARC
(9,12),-1.50889 # DEPENDENCYPART_ARC
(9,13),-0.975367 # DEPENDENCYPART_ARC
(9,14),-1.94858 # DEPENDENCYPART_ARC
(9,15),-1.79832 # DEPENDENCYPART_ARC
(9,16),-2.16816 # DEPENDENCYPART_ARC
(9,17),-2.28401 # DEPENDENCYPART_ARC
(9,18),-2.63331 # DEPENDENCYPART_ARC
(9,19),-2.33383 # DEPENDENCYPART_ARC
(9,20),-2.91115 # DEPENDENCYPART_ARC
(9,21),-2.96421 # DEPENDENCYPART_ARC
(9,22),-2.90748 # DEPENDENCYPART_ARC
(9,23),-2.11638 # DEPENDENCYPART_ARC
(9,24),-2.94031 # DEPENDENCYPART_ARC
(9,25),-2.8972 # DEPENDENCYPART_ARC
(9,26),-3.94758 # DEPENDENCYPART_ARC
(9,27),-3.47687 # DEPENDENCYPART_ARC
(9,28),-3.4528 # DEPENDENCYPART_ARC
(9,29),-2.01345 # DEPENDENCYPART_ARC
(9,30),-2.03296 # DEPENDENCYPART_ARC
(10,1),-1.07731 # DEPENDENCYPART_ARC
(10,2),-1.84145 # DEPENDENCYPART_ARC
(10,3),-2.07844 # DEPENDENCYPART_ARC
(10,4),-0.681587 # DEPENDENCYPART_ARC
(10,5),-1.43427 # DEPENDENCYPART_ARC
(10,6),-0.673351 # DEPENDENCYPART_ARC
(10,7),-1.26056 # DEPENDENCYPART_ARC
(10,8),0.610199 # DEPENDENCYPART_ARC
(10,9),1.92906 # DEPENDENCYPART_ARC
(10,11),1.10789 # DEPENDENCYPART_ARC
(10,12),-0.146678 # DEPENDENCYPART_ARC
(10,13),0.376607 # DEPENDENCYPART_ARC
(10,14),-0.448832 # DEPENDENCYPART_ARC
(10,15),-0.996208 # DEPENDENCYPART_ARC
(10,16),-0.930002 # DEPENDENCYPART_ARC
(10,17),-1.05574 # DEPENDENCYPART_ARC
(10,18),-1.07008 # DEPENDENCYPART_ARC
(10,19),-1.24756 # DEPENDENCYPART_ARC
(10,20),-1.30851 # DEPENDENCYPART_ARC
(10,21),-1.78308 # DEPENDENCYPART_ARC
(10,22),-1.6337 # DEPENDENCYPART_ARC
(10,23),-0.35098 # DEPENDENCYPART_ARC
(10,24),-2.07315 # DEPENDENCYPART_ARC
(10,25),-0.953242 # DEPENDENCYPART_ARC
(10,26),-3.07153 # DEPENDENCYPART_ARC
(10,27),-2.56995 # DEPENDENCYPART_ARC
(10,28),-1.94931 # DEPENDENCYPART_ARC
(10,29),-0.422831 # DEPENDENCYPART_ARC
(10,30),-1.64252 # DEPENDENCYPART_ARC
(11,1),-1.60308 # DEPENDENCYPART_ARC
(11,2),-0.87723 # DEPENDENCYPART_ARC
(11,3),-0.765429 # DEPENDENCYPART_ARC
(11,4),0.623133 # DEPENDENCYPART_ARC
(11,5),-0.630407 # DEPENDENCYPART_ARC
(11,6),-0.140705 # DEPENDENCYPART_ARC
(11,7),-0.054482 # DEPENDENCYPART_ARC
(11,8),1.22855 # DEPENDENCYPART_ARC
(11,9),5.942 # DEPENDENCYPART_ARC
(11,10),4.71386 # DEPENDENCYPART_ARC
(11,12),1.6645 # DEPENDENCYPART_ARC
(11,13),2.79975 # DEPENDENCYPART_ARC
(11,14),2.33126 # DEPENDENCYPART_ARC
(11,15),1.02418 # DEPENDENCYPART_ARC
(11,16),0.648524 # DEPENDENCYPART_ARC
(11,17),0.846532 # DEPENDENCYPART_ARC
(11,18),1.35166 # DEPENDENCYPART_ARC
(11,19),0.581693 # DEPENDENCYPART_ARC
(11,20),-0.272215 # DEPENDENCYPART_ARC
(11,21),-0.305235 # DEPENDENCYPART_ARC
(11,22),0.571723 # DEPENDENCYPART_ARC
(11,23),-0.0779898 # DEPENDENCYPART_ARC
(11,24),-0.745182 # DEPENDENCYPART_ARC
(11,25),0.359432 # DEPENDENCYPART_ARC
(11,26),-0.816093 # DEPENDENCYPART_ARC
(11,27),-1.33366 # DEPENDENCYPART_ARC
(11,28),-0.629676 # DEPENDENCYPART_ARC
(11,29),2.11424 # DEPENDENCYPART_ARC
(11,30),-0.296933 # DEPENDENCYPART_ARC
(12,1),-2.04744 # DEPENDENCYPART_ARC
(12,2),-2.71715 # DEPENDENCYPART_ARC
(12,3),-2.46484 # DEPENDENCYPART_ARC
(12,4),-1.49065 # DEPENDENCYPART_ARC
(12,5),-2.41543 # DEPENDENCYPART_ARC
(12,6),-1.31813 # DEPENDENCYPART_ARC
(12,7),-2.10282 # DEPENDENCYPART_ARC
(12,8),-1.43713 # DEPENDENCYPART_ARC
(12,9),-0.360304 # DEPENDENCYPART_ARC
(12,10),-0.973121 # DEPENDENCYPART_ARC
(12,11),-0.943553 # DEPENDENCYPART_ARC
(12,13),0.719568 # DEPENDENCYPART_ARC
(12,14),0.0649336 # DEPENDENCYPART_ARC
(12,15),-0.958655 # DEPENDENCYPART_ARC
(12,16),-1.0215 # DEPENDENCYPART_ARC
(12,17),-0.602735 # DEPENDENCYPART_ARC
(12,18),-0.237316 # DEPENDENCYPART_ARC
(12,19),-1.01863 # DEPENDENCYPART_ARC
(12,20),-0.502352 # DEPENDENCYPART_ARC
(12,21),-1.65869 # DEPENDENCYPART_ARC
(12,22),-1.25652 # DEPENDENCYPART_ARC
(12,23),0.496346 # DEPENDENCYPART_ARC
(12,24),-2.18396 # DEPENDENCYPART_ARC
(12,25),-0.368245 # DEPENDENCYPART_ARC
(12,26),-1.73154 # DEPENDENCYPART_ARC
(12,27),-2.45534 # DEPENDENCYPART_ARC
(12,28),-1.43619 # DEPENDENCYPART_ARC
(12,29),-1.35413 # DEPENDENCYPART_ARC
(12,30),-1.59065 # DEPENDENCYPART_ARC
(13,1),-1.03995 # DEPENDENCYPART_ARC
(13,2),-0.106955 # DEPENDENCYPART_ARC
(13,3),-0.085399 # DEPENDENCYPART_ARC
(13,4),-0.543204 # DEPENDENCYPART_ARC
(13,5),0.066983 # DEPENDENCYPART_ARC
(13,6),0.0352181 # DEPENDENCYPART_ARC
(13,7),0.0751566 # DEPENDENCYPART_ARC
(13,8),1.66864 # DEPENDENCYPART_ARC
(13,9),0.424272 # DEPENDENCYPART_ARC
(13,10),0.61618 # DEPENDENCYPART_ARC
(13,11),0.583408 # DEPENDENCYPART_ARC
(13,12),4.04403 # DEPENDENCYPART_ARC
(13,14),3.56499 # DEPENDENCYPART_ARC
(13,15),1.01802 # DEPENDENCYPART_ARC
(13,16),-0.248823 # DEPENDENCYPART_ARC
(13,17),0.656131 # DEPENDENCYPART_ARC
(13,18),0.772692 # DEPENDENCYPART_ARC
(13,19),-0.963961 # DEPENDENCYPART_ARC
(13,20),-0.291715 # DEPENDENCYPART_ARC
(13,21),-1.5002 # DEPENDENCYPART_ARC
(13,22),-1.20748 # DEPENDENCYPART_ARC
(13,23),0.148872 # DEPENDENCYPART_ARC
(13,24),-1.63303 # DEPENDENCYPART_ARC
(13,25),-0.720683 # DEPENDENCYPART_ARC
(13,26),-2.7577 # DEPENDENCYPART_ARC
(13,27),-2.12579 # DEPENDENCYPART_ARC
(13,28),-2.6699 # DEPENDENCYPART_ARC
(13,29),3.91481 # DEPENDENCYPART_ARC
(13,30),1.7021 # DEPENDENCYPART_ARC
(14,1),-1.04309 # DEPENDENCYPART_ARC
(14,2),-0.79958 # DEPENDENCYPART_ARC
(14,3),-1.21063 # DEPENDENCYPART_ARC
(14,4),-0.516812 # DEPENDENCYPART_ARC
(14,5),-0.493398 # DEPENDENCYPART_ARC
(14,6),-0.600784 # DEPENDENCYPART_ARC
(14,7),-0.774063 # DEPENDENCYPART_ARC
(14,8),-0.120142 # DEPENDENCYPART_ARC
(14,9),0.0957611 # DEPENDENCYPART_ARC
(14,10),-0.168961 # DEPENDENCYPART_ARC
(14,11),0.245366 # DEPENDENCYPART_ARC
(14,12),0.617193 # DEPENDENCYPART_ARC
(14,13),0.736586 # DEPENDENCYPART_ARC
(14,15),3.70713 # DEPENDENCYPART_ARC
(14,16),0.735327 # DEPENDENCYPART_ARC
(14,17),1.23136 # DEPENDENCYPART_ARC
(14,18),0.779572 # DEPENDENCYPART_ARC
(14,19),-0.458787 # DEPENDENCYPART_ARC
(14,20),0.0213173 # DEPENDENCYPART_ARC
(14,21),-1.07019 # DEPENDENCYPART_ARC
(14,22),-2.37855 # DEPENDENCYPART_ARC
(14,23),0.727185 # DEPENDENCYPART_ARC
(14,24),-1.58786 # DEPENDENCYPART_ARC
(14,25),0.0223686 # DEPENDENCYPART_ARC
(14,26),-2.37777 # DEPENDENCYPART_ARC
(14,27),-2.06014 # DEPENDENCYPART_ARC
(14,28),-4.28471 # DEPENDENCYPART_ARC
(14,29),-0.178988 # DEPENDENCYPART_ARC
(14,30),-0.627349 # DEPENDENCYPART_ARC
(15,1),-1.32574 # DEPENDENCYPART_ARC
(15,2),-0.76777 # DEPENDENCYPART_ARC
(15,3),-1.27359 # DEPENDENCYPART_ARC
(15,4),-1.01704 # DEPENDENCYPART_ARC
(15,5),-0.309293 # DEPENDENCYPART_ARC
(15,6),-1.34428 # DEPENDENCYPART_ARC
(15,7),-1.2747 # DEPENDENCYPART_ARC
(15,8),0.531413 # DEPENDENCYPART_ARC
(15,9),-0.184179 # DEPENDENCYPART_ARC
(15,10),0.00736653 # DEPENDENCYPART_ARC
(15,11),0.384814 # DEPENDENCYPART_ARC
(15,12),0.607421 # DEPENDENCYPART_ARC
(15,13),0.0319099 # DEPENDENCYPART_ARC
(15,14),1.00333 # DEPENDENCYPART_ARC
(15,16),2.06502 # DEPENDENCYPART_ARC
(15,17),2.88813 # DEPENDENCYPART_ARC
(15,18),1.94509 # DEPENDENCYPART_ARC
(15,19),0.215571 # DEPENDENCYPART_ARC
(15,20),0.768269 # DEPENDENCYPART_ARC
(15,21),-0.571187 # DEPENDENCYPART_ARC
(15,22),-0.673642 # DEPENDENCYPART_ARC
(15,23),0.896361 # DEPENDENCYPART_ARC
(15,24),-0.801678 # DEPENDENCYPART_ARC
(15,25),-0.0710538 # DEPENDENCYPART_ARC
(15,26),-2.2003 # DEPENDENCYPART_ARC
(15,27),-2.80396 # DEPENDENCYPART_ARC
(15,28),-1.8441 # DEPENDENCYPART_ARC
(15,29),0.293863 # DEPENDENCYPART_ARC
(15,30),-0.500401 # DEPENDENCYPART_ARC
(16,1),-2.41444 # DEPENDENCYPART_ARC
(16,2),-2.69787 # DEPENDENCYPART_ARC
(16,3),-2.84485 # DEPENDENCYPART_ARC
(16,4),-2.06161 # DEPENDENCYPART_ARC
(16,5),-2.52042 # DEPENDENCYPART_ARC
(16,6),-1.95965 # DEPENDENCYPART_ARC
(16,7),-2.59782 # DEPENDENCYPART_ARC
(16,8),-1.16459 # DEPENDENCYPART_ARC
(16,9),-0.624686 # DEPENDENCYPART_ARC
(16,10),-0.79675 # DEPENDENCYPART_ARC
(16,11),-1.29517 # DEPENDENCYPART_ARC
(16,12),-1.39628 # DEPENDENCYPART_ARC
(16,13),-1.3195 # DEPENDENCYPART_ARC
(16,14),-0.217415 # DEPENDENCYPART_ARC
(16,15),0.476965 # DEPENDENCYPART_ARC
(16,17),0.755067 # DEPENDENCYPART_ARC
(16,18),-0.28729 # DEPENDENCYPART_ARC
(16,19),-0.25985 # DEPENDENCYPART_ARC
(16,20),-0.755226 # DEPENDENCYPART_ARC
(16,21),-1.03119 # DEPENDENCYPART_ARC
(16,22),-0.954096 # DEPENDENCYPART_ARC
(16,23),-0.042565 # DEPENDENCYPART_ARC
(16,24),-1.52251 # DEPENDENCYPART_ARC
(16,25),-0.632201 # DEPENDENCYPART_ARC
(16,26),-2.54911 # DEPENDENCYPART_ARC
(16,27),-2.01848 # DEPENDENCYPART_ARC
(16,28),-1.70051 # DEPENDENCYPART_ARC
(16,29),-0.381365 # DEPENDENCYPART_ARC
(16,30),-1.34733 # DEPENDENCYPART_ARC
(17,1),-4.4275 # DEPENDENCYPART_ARC
(17,2),-2.61364 # DEPENDENCYPART_ARC
(17,3),-1.80593 # DEPENDENCYPART_ARC
(17,4),-2.32449 # DEPENDENCYPART_ARC
(17,5),-2.32626 # DEPENDENCYPART_ARC
(17,6),-1.8455 # DEPENDENCYPART_ARC
(17,7),-1.48864 # DEPENDENCYPART_ARC
(17,8),-0.33394 # DEPENDENCYPART_ARC
(17,9),1.01575 # DEPENDENCYPART_ARC
(17,10),0.387253 # DEPENDENCYPART_ARC
(17,11),-0.950891 # DEPENDENCYPART_ARC
(17,12),0.0633473 # DEPENDENCYPART_ARC
(17,13),-0.279921 # DEPENDENCYPART_ARC
