# _root_ In national over-the-counter trading , LIN closed at $ 104.75 , down $ 2.75 .
#goldHeads=7,4,4,1,7,7,0,7,8,9,7,7,12,13,7,
#predictedHeads=7,4,4,1,7,7,0,7,8,9,7,7,12,13,7,
(3,7),-1.08205 # DEPENDENCYPART_ARC
(3,8),-1.82771 # DEPENDENCYPART_ARC
(3,9),-2.18874 # DEPENDENCYPART_ARC
(3,10),-2.5715 # DEPENDENCYPART_ARC
(3,11),-1.23721 # DEPENDENCYPART_ARC
(3,12),-1.87655 # DEPENDENCYPART_ARC
(3,13),-2.54695 # DEPENDENCYPART_ARC
(3,14),-3.04102 # DEPENDENCYPART_ARC
(3,15),-0.912162 # DEPENDENCYPART_ARC
(4,1),0.520018 # DEPENDENCYPART_ARC
(4,2),4.57183 # DEPENDENCYPART_ARC
(4,3),4.59306 # DEPENDENCYPART_ARC
(4,5),2.13402 # DEPENDENCYPART_ARC
(4,6),0.654374 # DEPENDENCYPART_ARC
(4,7),1.01926 # DEPENDENCYPART_ARC
(4,8),-0.0757295 # DEPENDENCYPART_ARC
(4,9),-0.299164 # DEPENDENCYPART_ARC
(4,10),0.634816 # DEPENDENCYPART_ARC
(4,11),1.57275 # DEPENDENCYPART_ARC
(4,12),0.686316 # DEPENDENCYPART_ARC
(4,13),-0.514247 # DEPENDENCYPART_ARC
(4,14),0.352598 # DEPENDENCYPART_ARC
(4,15),0.493725 # DEPENDENCYPART_ARC
(5,1),-1.3936 # DEPENDENCYPART_ARC
(5,2),-0.971084 # DEPENDENCYPART_ARC
(5,3),-1.12302 # DEPENDENCYPART_ARC
(5,4),-0.703437 # DEPENDENCYPART_ARC
(5,6),0.0162411 # DEPENDENCYPART_ARC
(5,7),-0.367145 # DEPENDENCYPART_ARC
(5,8),-0.988086 # DEPENDENCYPART_ARC
(5,9),-1.61714 # DEPENDENCYPART_ARC
(5,10),-1.78646 # DEPENDENCYPART_ARC
(5,11),0.0192902 # DEPENDENCYPART_ARC
(5,12),-1.83562 # DEPENDENCYPART_ARC
(5,13),-2.40447 # DEPENDENCYPART_ARC
(5,14),-2.49783 # DEPENDENCYPART_ARC
(5,15),-1.53871 # DEPENDENCYPART_ARC
(6,1),-1.7194 # DEPENDENCYPART_ARC
(6,2),0.321819 # DEPENDENCYPART_ARC
(6,3),0.413535 # DEPENDENCYPART_ARC
(6,4),-1.26092 # DEPENDENCYPART_ARC
(6,5),1.37757 # DEPENDENCYPART_ARC
(6,7),0.667068 # DEPENDENCYPART_ARC
(6,8),0.251204 # DEPENDENCYPART_ARC
(6,9),-0.623443 # DEPENDENCYPART_ARC
(6,10),0.280234 # DEPENDENCYPART_ARC
(6,11),-0.0893125 # DEPENDENCYPART_ARC
(6,12),-0.666965 # DEPENDENCYPART_ARC
(6,13),-1.8591 # DEPENDENCYPART_ARC
(6,14),-0.79813 # DEPENDENCYPART_ARC
(6,15),0.0955611 # DEPENDENCYPART_ARC
(7,1),3.15864 # DEPENDENCYPART_ARC
(7,2),0.737127 # DEPENDENCYPART_ARC
(7,3),0.42175 # DEPENDENCYPART_ARC
(7,4),1.02958 # DEPENDENCYPART_ARC
(7,5),4.18275 # DEPENDENCYPART_ARC
(7,6),3.61233 # DEPENDENCYPART_ARC
(7,8),4.23227 # DEPENDENCYPART_ARC
(7,9),0.943267 # DEPENDENCYPART_ARC
(7,10),0.525427 # DEPENDENCYPART_ARC
(7,11),2.82718 # DEPENDENCYPART_ARC
(7,12),2.58411 # DEPENDENCYPART_ARC
(7,13),-1.00598 # DEPENDENCYPART_ARC
(7,14),-0.681178 # DEPENDENCYPART_ARC
(7,15),4.6583 # DEPENDENCYPART_ARC
(8,1),-0.824063 # DEPENDENCYPART_ARC
(8,2),-1.07407 # DEPENDENCYPART_ARC
(8,3),-1.02648 # DEPENDENCYPART_ARC
(8,4),-1.66433 # DEPENDENCYPART_ARC
(8,5),-0.181384 # DEPENDENCYPART_ARC
(8,6),-0.740876 # DEPENDENCYPART_ARC
(8,7),-0.148552 # DEPENDENCYPART_ARC
(8,9),3.56926 # DEPENDENCYPART_ARC
(8,10),2.0961 # DEPENDENCYPART_ARC
(8,11),1.29952 # DEPENDENCYPART_ARC
(8,12),0.247781 # DEPENDENCYPART_ARC
(8,13),0.109411 # DEPENDENCYPART_ARC
(8,14),-0.0501343 # DEPENDENCYPART_ARC
(8,15),-0.0327586 # DEPENDENCYPART_ARC
(9,1),-2.1686 # DEPENDENCYPART_ARC
(9,2),-1.21884 # DEPENDENCYPART_ARC
(9,3),-1.11449 # DEPENDENCYPART_ARC
(9,4),-0.949814 # DEPENDENCYPART_ARC
(9,5),-0.896158 # DEPENDENCYPART_ARC
(9,6),-0.715921 # DEPENDENCYPART_ARC
(9,7),-0.126669 # DEPENDENCYPART_ARC
(9,8),2.02588 # DEPENDENCYPART_ARC
(9,10),4.1506 # DEPENDENCYPART_ARC
(9,11),1.51292 # DEPENDENCYPART_ARC
(9,12),1.24232 # DEPENDENCYPART_ARC
(9,13),0.0491708 # DEPENDENCYPART_ARC
(9,14),1.45585 # DEPENDENCYPART_ARC
(9,15),-0.450342 # DEPENDENCYPART_ARC
(10,1),-2.41866 # DEPENDENCYPART_ARC
(10,2),-0.636652 # DEPENDENCYPART_ARC
(10,3),-0.732521 # DEPENDENCYPART_ARC
(10,4),-1.7068 # DEPENDENCYPART_ARC
(10,5),-0.912407 # DEPENDENCYPART_ARC
(10,6),-0.474766 # DEPENDENCYPART_ARC
(10,7),-0.509391 # DEPENDENCYPART_ARC
(10,8),0.80685 # DEPENDENCYPART_ARC
(10,9),0.781567 # DEPENDENCYPART_ARC
(10,11),0.434009 # DEPENDENCYPART_ARC
(10,12),0.0638014 # DEPENDENCYPART_ARC
(10,13),-0.370346 # DEPENDENCYPART_ARC
(10,14),-0.227982 # DEPENDENCYPART_ARC
(10,15),-0.535834 # DEPENDENCYPART_ARC
(11,1),-2.01377 # DEPENDENCYPART_ARC
(11,2),-2.00408 # DEPENDENCYPART_ARC
(11,3),-1.9147 # DEPENDENCYPART_ARC
(11,4),-1.69662 # DEPENDENCYPART_ARC
(11,5),-0.437631 # DEPENDENCYPART_ARC
(11,6),-1.92986 # DEPENDENCYPART_ARC
(11,7),-1.36716 # DEPENDENCYPART_ARC
(11,8),-0.972824 # DEPENDENCYPART_ARC
(11,9),-0.795135 # DEPENDENCYPART_ARC
(11,10),-0.495141 # DEPENDENCYPART_ARC
(11,12),-0.11284 # DEPENDENCYPART_ARC
(11,13),-0.697095 # DEPENDENCYPART_ARC
(11,14),-1.02776 # DEPENDENCYPART_ARC
(11,15),-0.831026 # DEPENDENCYPART_ARC
(12,1),-1.94044 # DEPENDENCYPART_ARC
(12,2),-1.04496 # DEPENDENCYPART_ARC
(12,3),-1.07317 # DEPENDENCYPART_ARC
(12,4),-1.59719 # DEPENDENCYPART_ARC
(12,5),-1.40023 # DEPENDENCYPART_ARC
(12,6),-1.39291 # DEPENDENCYPART_ARC
(12,7),-1.46687 # DEPENDENCYPART_ARC
(12,8),-0.115717 # DEPENDENCYPART_ARC
(12,9),-0.152353 # DEPENDENCYPART_ARC
(12,10),-0.370394 # DEPENDENCYPART_ARC
(12,11),0.243227 # DEPENDENCYPART_ARC
(12,13),2.96372 # DEPENDENCYPART_ARC
(12,14),0.856432 # DEPENDENCYPART_ARC
(12,15),-0.00327028 # DEPENDENCYPART_ARC
(13,1),-2.37034 # DEPENDENCYPART_ARC
(13,2),-1.65315 # DEPENDENCYPART_ARC
(13,3),-1.36634 # DEPENDENCYPART_ARC
(13,4),-1.76425 # DEPENDENCYPART_ARC
(13,5),-1.53728 # DEPENDENCYPART_ARC
(13,6),-1.61384 # DEPENDENCYPART_ARC
(13,7),-1.12309 # DEPENDENCYPART_ARC
(13,8),0.244628 # DEPENDENCYPART_ARC
(13,9),0.318732 # DEPENDENCYPART_ARC
(13,10),0.0172352 # DEPENDENCYPART_ARC
(13,11),0.428674 # DEPENDENCYPART_ARC
(13,12),1.8745 # DEPENDENCYPART_ARC
(13,14),3.85535 # DEPENDENCYPART_ARC
(13,15),-0.118904 # DEPENDENCYPART_ARC
(14,1),-3.24925 # DEPENDENCYPART_ARC
(14,2),-1.4363 # DEPENDENCYPART_ARC
(14,3),-1.56379 # DEPENDENCYPART_ARC
(14,4),-2.46786 # DEPENDENCYPART_ARC
(14,5),-1.63956 # DEPENDENCYPART_ARC
(14,6),-1.72684 # DEPENDENCYPART_ARC
(14,7),-1.59993 # DEPENDENCYPART_ARC
(14,8),-1.11362 # DEPENDENCYPART_ARC
(14,9),-1.23008 # DEPENDENCYPART_ARC
(14,10),-0.522646 # DEPENDENCYPART_ARC
(14,11),0.094962 # DEPENDENCYPART_ARC
(14,12),0.210556 # DEPENDENCYPART_ARC
(14,13),0.571394 # DEPENDENCYPART_ARC
(14,15),-0.426915 # DEPENDENCYPART_ARC
(15,1),-2.21126 # DEPENDENCYPART_ARC
(15,2),-2.08507 # DEPENDENCYPART_ARC
(15,3),-2.01314 # DEPENDENCYPART_ARC
(15,4),-2.00153 # DEPENDENCYPART_ARC
(15,5),-0.998176 # DEPENDENCYPART_ARC
(15,6),-1.74091 # DEPENDENCYPART_ARC
(15,7),-1.16896 # DEPENDENCYPART_ARC
(15,8),-1.24664 # DEPENDENCYPART_ARC
(15,9),-1.49447 # DEPENDENCYPART_ARC
(15,10),-1.66493 # DEPENDENCYPART_ARC
(15,11),-0.375635 # DEPENDENCYPART_ARC
(15,12),-0.940172 # DEPENDENCYPART_ARC
(15,13),-1.16553 # DEPENDENCYPART_ARC
(15,14),-0.908919 # DEPENDENCYPART_ARC
