# _root_ NCNB Texas National , formed from the remnants of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .
#goldHeads=3,3,19,3,3,5,8,6,8,8,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,19,31,31,28,19,
#predictedHeads=3,3,19,3,3,5,8,6,8,9,14,14,14,10,14,14,16,3,0,19,20,20,19,27,24,27,23,27,31,31,28,19,
(1,10),-2.75272 # DEPENDENCYPART_ARC
(1,11),-1.47445 # DEPENDENCYPART_ARC
(1,12),-1.58004 # DEPENDENCYPART_ARC
(1,13),-2.74584 # DEPENDENCYPART_ARC
(1,14),-2.53975 # DEPENDENCYPART_ARC
(1,15),-2.64773 # DEPENDENCYPART_ARC
(1,16),-2.53337 # DEPENDENCYPART_ARC
(1,17),-2.85014 # DEPENDENCYPART_ARC
(1,18),0.672416 # DEPENDENCYPART_ARC
(1,19),-1.28191 # DEPENDENCYPART_ARC
(1,20),-2.8762 # DEPENDENCYPART_ARC
(1,21),-3.70768 # DEPENDENCYPART_ARC
(1,22),-4.32373 # DEPENDENCYPART_ARC
(1,23),-3.73272 # DEPENDENCYPART_ARC
(1,24),-4.7701 # DEPENDENCYPART_ARC
(1,25),-3.75341 # DEPENDENCYPART_ARC
(1,26),-3.11259 # DEPENDENCYPART_ARC
(1,27),-4.21759 # DEPENDENCYPART_ARC
(1,28),-4.58172 # DEPENDENCYPART_ARC
(1,29),-3.09169 # DEPENDENCYPART_ARC
(1,30),-3.34038 # DEPENDENCYPART_ARC
(1,31),-5.31564 # DEPENDENCYPART_ARC
(1,32),-0.582557 # DEPENDENCYPART_ARC
(2,1),2.86125 # DEPENDENCYPART_ARC
(2,3),2.04459 # DEPENDENCYPART_ARC
(2,4),1.35843 # DEPENDENCYPART_ARC
(2,5),0.308461 # DEPENDENCYPART_ARC
(2,6),-1.42 # DEPENDENCYPART_ARC
(2,7),-0.535539 # DEPENDENCYPART_ARC
(2,8),-0.653054 # DEPENDENCYPART_ARC
(2,9),-1.46541 # DEPENDENCYPART_ARC
(2,10),-2.22962 # DEPENDENCYPART_ARC
(2,11),-0.981534 # DEPENDENCYPART_ARC
(2,12),-0.912475 # DEPENDENCYPART_ARC
(2,13),-1.88274 # DEPENDENCYPART_ARC
(2,14),-1.33094 # DEPENDENCYPART_ARC
(2,15),-1.05243 # DEPENDENCYPART_ARC
(2,16),-1.8682 # DEPENDENCYPART_ARC
(2,17),-2.13292 # DEPENDENCYPART_ARC
(2,18),0.653711 # DEPENDENCYPART_ARC
(2,19),-0.733572 # DEPENDENCYPART_ARC
(2,20),-2.4672 # DEPENDENCYPART_ARC
(2,21),-3.0543 # DEPENDENCYPART_ARC
(2,22),-3.70523 # DEPENDENCYPART_ARC
(2,23),-2.92214 # DEPENDENCYPART_ARC
(2,24),-3.96342 # DEPENDENCYPART_ARC
(2,25),-2.60941 # DEPENDENCYPART_ARC
(2,26),-2.5667 # DEPENDENCYPART_ARC
(2,27),-3.70279 # DEPENDENCYPART_ARC
(2,28),-4.03502 # DEPENDENCYPART_ARC
(2,29),-2.66367 # DEPENDENCYPART_ARC
(2,30),-2.93702 # DEPENDENCYPART_ARC
(2,31),-4.97263 # DEPENDENCYPART_ARC
(2,32),-0.772433 # DEPENDENCYPART_ARC
(3,1),3.92491 # DEPENDENCYPART_ARC
(3,2),4.31337 # DEPENDENCYPART_ARC
(3,4),2.53048 # DEPENDENCYPART_ARC
(3,5),1.6169 # DEPENDENCYPART_ARC
(3,6),-0.0555687 # DEPENDENCYPART_ARC
(3,7),0.0457658 # DEPENDENCYPART_ARC
(3,8),0.128616 # DEPENDENCYPART_ARC
(3,9),-0.453623 # DEPENDENCYPART_ARC
(3,10),-1.0915 # DEPENDENCYPART_ARC
(3,11),-0.483586 # DEPENDENCYPART_ARC
(3,12),-0.227457 # DEPENDENCYPART_ARC
(3,13),-1.75313 # DEPENDENCYPART_ARC
(3,14),-1.32994 # DEPENDENCYPART_ARC
(3,15),-0.960702 # DEPENDENCYPART_ARC
(3,16),-2.0304 # DEPENDENCYPART_ARC
(3,17),-1.51932 # DEPENDENCYPART_ARC
(3,18),2.45127 # DEPENDENCYPART_ARC
(3,19),-0.117963 # DEPENDENCYPART_ARC
(3,20),-1.85424 # DEPENDENCYPART_ARC
(3,21),-2.61841 # DEPENDENCYPART_ARC
(3,22),-3.33596 # DEPENDENCYPART_ARC
(3,23),-2.11344 # DEPENDENCYPART_ARC
(3,24),-3.10393 # DEPENDENCYPART_ARC
(3,25),-1.55143 # DEPENDENCYPART_ARC
(3,26),-1.89759 # DEPENDENCYPART_ARC
(3,27),-1.87207 # DEPENDENCYPART_ARC
(3,28),-2.78749 # DEPENDENCYPART_ARC
(3,29),-2.17429 # DEPENDENCYPART_ARC
(3,30),-2.39698 # DEPENDENCYPART_ARC
(3,31),-3.2424 # DEPENDENCYPART_ARC
(3,32),0.398438 # DEPENDENCYPART_ARC
(4,1),-1.55529 # DEPENDENCYPART_ARC
(4,2),-1.68833 # DEPENDENCYPART_ARC
(4,3),-1.10472 # DEPENDENCYPART_ARC
(4,5),-0.709199 # DEPENDENCYPART_ARC
(4,6),-1.51386 # DEPENDENCYPART_ARC
(4,7),-1.88856 # DEPENDENCYPART_ARC
(4,8),-2.03276 # DEPENDENCYPART_ARC
(4,9),-1.90443 # DEPENDENCYPART_ARC
(4,10),-1.89682 # DEPENDENCYPART_ARC
(4,11),-2.43058 # DEPENDENCYPART_ARC
(4,12),-2.40481 # DEPENDENCYPART_ARC
(4,13),-2.64628 # DEPENDENCYPART_ARC
(4,14),-2.75991 # DEPENDENCYPART_ARC
(4,15),-2.90712 # DEPENDENCYPART_ARC
(4,16),-2.55384 # DEPENDENCYPART_ARC
(4,17),-3.13786 # DEPENDENCYPART_ARC
(4,18),-1.6469 # DEPENDENCYPART_ARC
(4,19),-2.73491 # DEPENDENCYPART_ARC
(4,20),-3.63653 # DEPENDENCYPART_ARC
(4,21),-3.79142 # DEPENDENCYPART_ARC
(4,22),-3.91911 # DEPENDENCYPART_ARC
(4,23),-3.49578 # DEPENDENCYPART_ARC
(4,24),-3.84032 # DEPENDENCYPART_ARC
(4,25),-3.72203 # DEPENDENCYPART_ARC
(4,26),-4.09535 # DEPENDENCYPART_ARC
(4,27),-4.51559 # DEPENDENCYPART_ARC
(4,28),-3.77275 # DEPENDENCYPART_ARC
(4,29),-4.265 # DEPENDENCYPART_ARC
(4,30),-4.5761 # DEPENDENCYPART_ARC
(4,31),-5.08801 # DEPENDENCYPART_ARC
(4,32),-3.7119 # DEPENDENCYPART_ARC
(5,1),0.744495 # DEPENDENCYPART_ARC
(5,2),0.80525 # DEPENDENCYPART_ARC
(5,3),0.656678 # DEPENDENCYPART_ARC
(5,4),0.971748 # DEPENDENCYPART_ARC
(5,6),3.79923 # DEPENDENCYPART_ARC
(5,7),0.315425 # DEPENDENCYPART_ARC
(5,8),1.24411 # DEPENDENCYPART_ARC
(5,9),0.53756 # DEPENDENCYPART_ARC
(5,10),-0.304505 # DEPENDENCYPART_ARC
(5,11),-0.503853 # DEPENDENCYPART_ARC
(5,12),0.145534 # DEPENDENCYPART_ARC
(5,13),-0.55972 # DEPENDENCYPART_ARC
(5,14),-0.93103 # DEPENDENCYPART_ARC
(5,15),-0.641949 # DEPENDENCYPART_ARC
(5,16),-0.822769 # DEPENDENCYPART_ARC
(5,17),-1.47443 # DEPENDENCYPART_ARC
(5,18),0.55283 # DEPENDENCYPART_ARC
(5,19),-0.0556939 # DEPENDENCYPART_ARC
(5,20),-0.559493 # DEPENDENCYPART_ARC
(5,21),-0.850837 # DEPENDENCYPART_ARC
(5,22),-1.02492 # DEPENDENCYPART_ARC
(5,23),1.03581 # DEPENDENCYPART_ARC
(5,24),-2.86475 # DEPENDENCYPART_ARC
(5,25),-1.45002 # DEPENDENCYPART_ARC
(5,26),-1.83523 # DEPENDENCYPART_ARC
(5,27),-1.58745 # DEPENDENCYPART_ARC
(5,28),-2.01827 # DEPENDENCYPART_ARC
(5,29),-2.64454 # DEPENDENCYPART_ARC
(5,30),-2.8897 # DEPENDENCYPART_ARC
(5,31),-2.39598 # DEPENDENCYPART_ARC
(5,32),2.9332 # DEPENDENCYPART_ARC
(6,1),-0.936454 # DEPENDENCYPART_ARC
(6,2),-0.788941 # DEPENDENCYPART_ARC
(6,3),-0.600868 # DEPENDENCYPART_ARC
(6,4),-0.0688128 # DEPENDENCYPART_ARC
(6,5),0.177936 # DEPENDENCYPART_ARC
(6,7),0.468695 # DEPENDENCYPART_ARC
(6,8),3.80153 # DEPENDENCYPART_ARC
(6,9),1.29538 # DEPENDENCYPART_ARC
(6,10),1.15898 # DEPENDENCYPART_ARC
(6,11),-1.28746 # DEPENDENCYPART_ARC
(6,12),0.0145949 # DEPENDENCYPART_ARC
(6,13),-1.34245 # DEPENDENCYPART_ARC
(6,14),-1.09969 # DEPENDENCYPART_ARC
(6,15),-1.43844 # DEPENDENCYPART_ARC
(6,16),-1.64176 # DEPENDENCYPART_ARC
(6,17),-1.49427 # DEPENDENCYPART_ARC
(6,18),-0.423422 # DEPENDENCYPART_ARC
(6,19),-1.11937 # DEPENDENCYPART_ARC
(6,20),-1.81814 # DEPENDENCYPART_ARC
(6,21),-2.74339 # DEPENDENCYPART_ARC
(6,22),-1.84972 # DEPENDENCYPART_ARC
(6,23),-1.52571 # DEPENDENCYPART_ARC
(6,24),-5.04206 # DEPENDENCYPART_ARC
(6,25),-2.42548 # DEPENDENCYPART_ARC
(6,26),-2.32928 # DEPENDENCYPART_ARC
(6,27),-3.45428 # DEPENDENCYPART_ARC
(6,28),-3.57539 # DEPENDENCYPART_ARC
(6,29),-4.76174 # DEPENDENCYPART_ARC
(6,30),-2.65532 # DEPENDENCYPART_ARC
(6,31),-6.4212 # DEPENDENCYPART_ARC
(6,32),-1.77682 # DEPENDENCYPART_ARC
(7,1),-3.17798 # DEPENDENCYPART_ARC
(7,2),-3.01038 # DEPENDENCYPART_ARC
(7,3),-2.77886 # DEPENDENCYPART_ARC
(7,4),-2.21652 # DEPENDENCYPART_ARC
(7,5),-2.20872 # DEPENDENCYPART_ARC
(7,6),-1.28151 # DEPENDENCYPART_ARC
(7,8),-0.652483 # DEPENDENCYPART_ARC
(7,9),-1.35429 # DEPENDENCYPART_ARC
(7,10),-1.29413 # DEPENDENCYPART_ARC
(7,11),-2.7318 # DEPENDENCYPART_ARC
(7,12),-1.7853 # DEPENDENCYPART_ARC
(7,13),-2.76551 # DEPENDENCYPART_ARC
(7,14),-2.79033 # DEPENDENCYPART_ARC
(7,15),-2.91355 # DEPENDENCYPART_ARC
(7,16),-2.57884 # DEPENDENCYPART_ARC
(7,17),-3.02203 # DEPENDENCYPART_ARC
(7,18),-1.64349 # DEPENDENCYPART_ARC
(7,19),-3.71961 # DEPENDENCYPART_ARC
(7,20),-4.21309 # DEPENDENCYPART_ARC
(7,21),-3.26705 # DEPENDENCYPART_ARC
(7,22),-3.19762 # DEPENDENCYPART_ARC
(7,23),-2.82116 # DEPENDENCYPART_ARC
(7,24),-3.89353 # DEPENDENCYPART_ARC
(7,25),-4.18391 # DEPENDENCYPART_ARC
(7,26),-3.74593 # DEPENDENCYPART_ARC
(7,27),-3.84667 # DEPENDENCYPART_ARC
(7,28),-4.9417 # DEPENDENCYPART_ARC
(7,29),-4.8197 # DEPENDENCYPART_ARC
(7,30),-4.17138 # DEPENDENCYPART_ARC
(7,31),-4.28737 # DEPENDENCYPART_ARC
(7,32),-3.56601 # DEPENDENCYPART_ARC
(8,1),-1.16247 # DEPENDENCYPART_ARC
(8,2),-1.16345 # DEPENDENCYPART_ARC
(8,3),-1.50963 # DEPENDENCYPART_ARC
(8,4),-0.354201 # DEPENDENCYPART_ARC
(8,5),-0.389876 # DEPENDENCYPART_ARC
(8,6),0.523073 # DEPENDENCYPART_ARC
(8,7),4.56113 # DEPENDENCYPART_ARC
(8,9),2.57471 # DEPENDENCYPART_ARC
(8,10),1.41526 # DEPENDENCYPART_ARC
(8,11),-0.0714037 # DEPENDENCYPART_ARC
(8,12),0.425534 # DEPENDENCYPART_ARC
(8,13),-0.0933428 # DEPENDENCYPART_ARC
(8,14),-0.049735 # DEPENDENCYPART_ARC
(8,15),0.384789 # DEPENDENCYPART_ARC
(8,16),-0.139507 # DEPENDENCYPART_ARC
(8,17),-0.539417 # DEPENDENCYPART_ARC
(8,18),1.73209 # DEPENDENCYPART_ARC
(8,19),0.338305 # DEPENDENCYPART_ARC
(8,20),-2.09615 # DEPENDENCYPART_ARC
(8,21),-0.168472 # DEPENDENCYPART_ARC
(8,22),-0.514993 # DEPENDENCYPART_ARC
(8,23),-0.940139 # DEPENDENCYPART_ARC
(8,24),-1.23572 # DEPENDENCYPART_ARC
(8,25),-1.49696 # DEPENDENCYPART_ARC
(8,26),-1.02188 # DEPENDENCYPART_ARC
(8,27),-1.04777 # DEPENDENCYPART_ARC
(8,28),-1.5479 # DEPENDENCYPART_ARC
(8,29),-2.18162 # DEPENDENCYPART_ARC
(8,30),-1.58056 # DEPENDENCYPART_ARC
(8,31),-1.61713 # DEPENDENCYPART_ARC
(8,32),0.0119781 # DEPENDENCYPART_ARC
(9,1),-1.19997 # DEPENDENCYPART_ARC
(9,2),-1.17815 # DEPENDENCYPART_ARC
(9,3),-1.19208 # DEPENDENCYPART_ARC
(9,4),-1.1474 # DEPENDENCYPART_ARC
(9,5),-0.567413 # DEPENDENCYPART_ARC
(9,6),-0.0133184 # DEPENDENCYPART_ARC
(9,7),-0.311383 # DEPENDENCYPART_ARC
(9,8),-0.0977966 # DEPENDENCYPART_ARC
(9,10),2.95312 # DEPENDENCYPART_ARC
(9,11),0.815177 # DEPENDENCYPART_ARC
(9,12),1.06096 # DEPENDENCYPART_ARC
(9,13),1.22299 # DEPENDENCYPART_ARC
(9,14),1.25796 # DEPENDENCYPART_ARC
(9,15),0.20871 # DEPENDENCYPART_ARC
(9,16),0.00178035 # DEPENDENCYPART_ARC
(9,17),0.0224859 # DEPENDENCYPART_ARC
(9,18),0.996604 # DEPENDENCYPART_ARC
(9,19),0.334918 # DEPENDENCYPART_ARC
(9,20),-0.465562 # DEPENDENCYPART_ARC
(9,21),-1.62747 # DEPENDENCYPART_ARC
(9,22),-0.823791 # DEPENDENCYPART_ARC
(9,23),-3.20502 # DEPENDENCYPART_ARC
(9,24),-4.04903 # DEPENDENCYPART_ARC
(9,25),-1.71621 # DEPENDENCYPART_ARC
(9,26),-1.65536 # DEPENDENCYPART_ARC
(9,27),-0.736722 # DEPENDENCYPART_ARC
(9,28),-1.96301 # DEPENDENCYPART_ARC
(9,29),-3.26613 # DEPENDENCYPART_ARC
(9,30),-2.27909 # DEPENDENCYPART_ARC
(9,31),-3.51837 # DEPENDENCYPART_ARC
(9,32),-1.77551 # DEPENDENCYPART_ARC
(10,1),-1.58687 # DEPENDENCYPART_ARC
(10,2),-1.59307 # DEPENDENCYPART_ARC
(10,3),-1.61643 # DEPENDENCYPART_ARC
(10,4),-1.43585 # DEPENDENCYPART_ARC
(10,5),-1.44502 # DEPENDENCYPART_ARC
(10,6),-0.859586 # DEPENDENCYPART_ARC
(10,7),-0.828704 # DEPENDENCYPART_ARC
(10,8),-1.20338 # DEPENDENCYPART_ARC
(10,9),0.107967 # DEPENDENCYPART_ARC
(10,11),0.854033 # DEPENDENCYPART_ARC
(10,12),0.661376 # DEPENDENCYPART_ARC
(10,13),1.40474 # DEPENDENCYPART_ARC
(10,14),1.41395 # DEPENDENCYPART_ARC
(10,15),1.08255 # DEPENDENCYPART_ARC
(10,16),-0.542901 # DEPENDENCYPART_ARC
(10,17),0.450112 # DEPENDENCYPART_ARC
(10,18),0.46508 # DEPENDENCYPART_ARC
(10,19),-0.20958 # DEPENDENCYPART_ARC
(10,20),-1.65091 # DEPENDENCYPART_ARC
(10,21),-2.0369 # DEPENDENCYPART_ARC
(10,22),-1.47664 # DEPENDENCYPART_ARC
(10,23),-4.15272 # DEPENDENCYPART_ARC
(10,24),-3.80033 # DEPENDENCYPART_ARC
(10,25),-2.29204 # DEPENDENCYPART_ARC
(10,26),-2.24354 # DEPENDENCYPART_ARC
(10,27),-0.843696 # DEPENDENCYPART_ARC
(10,28),-2.39711 # DEPENDENCYPART_ARC
(10,29),-3.99476 # DEPENDENCYPART_ARC
(10,30),-2.66925 # DEPENDENCYPART_ARC
(10,31),-3.26981 # DEPENDENCYPART_ARC
(10,32),-1.91732 # DEPENDENCYPART_ARC
(11,1),-2.86635 # DEPENDENCYPART_ARC
(11,2),-2.76729 # DEPENDENCYPART_ARC
(11,3),-2.6779 # DEPENDENCYPART_ARC
(11,4),-2.41097 # DEPENDENCYPART_ARC
(11,5),-2.3665 # DEPENDENCYPART_ARC
(11,6),-1.87795 # DEPENDENCYPART_ARC
(11,7),-1.22088 # DEPENDENCYPART_ARC
(11,8),-1.75378 # DEPENDENCYPART_ARC
(11,9),-1.06622 # DEPENDENCYPART_ARC
(11,10),-0.406919 # DEPENDENCYPART_ARC
(11,12),-0.284429 # DEPENDENCYPART_ARC
(11,13),-1.63169 # DEPENDENCYPART_ARC
(11,14),-1.71218 # DEPENDENCYPART_ARC
(11,15),-1.96214 # DEPENDENCYPART_ARC
(11,16),-1.61133 # DEPENDENCYPART_ARC
(11,17),-2.45926 # DEPENDENCYPART_ARC
(11,18),-1.19588 # DEPENDENCYPART_ARC
(11,19),-2.45741 # DEPENDENCYPART_ARC
(11,20),-3.53618 # DEPENDENCYPART_ARC
(11,21),-2.46012 # DEPENDENCYPART_ARC
(11,22),-2.57394 # DEPENDENCYPART_ARC
(11,23),-2.25227 # DEPENDENCYPART_ARC
(11,24),-3.35307 # DEPENDENCYPART_ARC
(11,25),-3.62911 # DEPENDENCYPART_ARC
(11,26),-3.18073 # DEPENDENCYPART_ARC
(11,27),-3.33147 # DEPENDENCYPART_ARC
(11,28),-3.99925 # DEPENDENCYPART_ARC
(11,29),-4.2378 # DEPENDENCYPART_ARC
(11,30),-3.60841 # DEPENDENCYPART_ARC
(11,31),-3.71031 # DEPENDENCYPART_ARC
(11,32),-3.44441 # DEPENDENCYPART_ARC
(12,1),-0.653818 # DEPENDENCYPART_ARC
(12,2),-0.660355 # DEPENDENCYPART_ARC
(12,3),-0.706648 # DEPENDENCYPART_ARC
(12,4),-0.130993 # DEPENDENCYPART_ARC
(12,5),-0.96297 # DEPENDENCYPART_ARC
(12,6),-0.601031 # DEPENDENCYPART_ARC
(12,7),0.0184477 # DEPENDENCYPART_ARC
(12,8),0.695688 # DEPENDENCYPART_ARC
(12,9),0.155597 # DEPENDENCYPART_ARC
(12,10),-0.317982 # DEPENDENCYPART_ARC
(12,11),1.21201 # DEPENDENCYPART_ARC
(12,13),1.29475 # DEPENDENCYPART_ARC
(12,14),1.05792 # DEPENDENCYPART_ARC
(12,15),1.1762 # DEPENDENCYPART_ARC
(12,16),0.522502 # DEPENDENCYPART_ARC
(12,17),0.524028 # DEPENDENCYPART_ARC
(12,18),0.988901 # DEPENDENCYPART_ARC
(12,19),0.124762 # DEPENDENCYPART_ARC
(12,20),-0.921841 # DEPENDENCYPART_ARC
(12,21),-1.03262 # DEPENDENCYPART_ARC
(12,22),-1.18097 # DEPENDENCYPART_ARC
(12,23),0.0898814 # DEPENDENCYPART_ARC
(12,24),-1.38559 # DEPENDENCYPART_ARC
(12,25),-1.53957 # DEPENDENCYPART_ARC
(12,26),-1.29241 # DEPENDENCYPART_ARC
(12,27),-1.04661 # DEPENDENCYPART_ARC
(12,28),-1.20445 # DEPENDENCYPART_ARC
(12,29),-2.60954 # DEPENDENCYPART_ARC
(12,30),-2.23019 # DEPENDENCYPART_ARC
(12,31),-1.9607 # DEPENDENCYPART_ARC
(12,32),1.18848 # DEPENDENCYPART_ARC
(13,1),-6.55136 # DEPENDENCYPART_ARC
(13,2),-6.37689 # DEPENDENCYPART_ARC
(13,3),-6.04083 # DEPENDENCYPART_ARC
(13,4),-3.6279 # DEPENDENCYPART_ARC
(13,5),-3.81679 # DEPENDENCYPART_ARC
(13,6),-2.82813 # DEPENDENCYPART_ARC
(13,7),-2.31993 # DEPENDENCYPART_ARC
(13,8),-2.37713 # DEPENDENCYPART_ARC
(13,9),-1.80494 # DEPENDENCYPART_ARC
(13,10),-1.27471 # DEPENDENCYPART_ARC
(13,11),1.40438 # DEPENDENCYPART_ARC
(13,12),0.465933 # DEPENDENCYPART_ARC
(13,14),0.71735 # DEPENDENCYPART_ARC
(13,15),1.52546 # DEPENDENCYPART_ARC
(13,16),0.607066 # DEPENDENCYPART_ARC
(13,17),-0.900359 # DEPENDENCYPART_ARC
(13,18),0.173539 # DEPENDENCYPART_ARC
(13,19),-1.12139 # DEPENDENCYPART_ARC
(13,20),-2.02337 # DEPENDENCYPART_ARC
(13,21),-1.95413 # DEPENDENCYPART_ARC
(13,22),-2.44902 # DEPENDENCYPART_ARC
(13,23),-2.40304 # DEPENDENCYPART_ARC
(13,24),-2.98451 # DEPENDENCYPART_ARC
(13,25),-1.9844 # DEPENDENCYPART_ARC
(13,26),-2.14831 # DEPENDENCYPART_ARC
(13,27),-2.45029 # DEPENDENCYPART_ARC
(13,28),-2.36273 # DEPENDENCYPART_ARC
(13,29),-2.18373 # DEPENDENCYPART_ARC
(13,30),-2.44459 # DEPENDENCYPART_ARC
(13,31),-3.5554 # DEPENDENCYPART_ARC
(13,32),-1.74628 # DEPENDENCYPART_ARC
(14,1),-3.96544 # DEPENDENCYPART_ARC
(14,2),-3.943 # DEPENDENCYPART_ARC
(14,3),-4.36102 # DEPENDENCYPART_ARC
(14,4),-1.48015 # DEPENDENCYPART_ARC
(14,5),-1.58122 # DEPENDENCYPART_ARC
(14,6),-1.0531 # DEPENDENCYPART_ARC
(14,7),-0.214281 # DEPENDENCYPART_ARC
(14,8),-0.727929 # DEPENDENCYPART_ARC
(14,9),-0.084142 # DEPENDENCYPART_ARC
(14,10),0.371748 # DEPENDENCYPART_ARC
(14,11),3.0882 # DEPENDENCYPART_ARC
(14,12),2.41415 # DEPENDENCYPART_ARC
(14,13),4.45037 # DEPENDENCYPART_ARC
(14,15),4.67693 # DEPENDENCYPART_ARC
(14,16),3.23672 # DEPENDENCYPART_ARC
(14,17),1.31041 # DEPENDENCYPART_ARC
(14,18),2.28075 # DEPENDENCYPART_ARC
(14,19),0.629526 # DEPENDENCYPART_ARC
(14,20),-0.193551 # DEPENDENCYPART_ARC
(14,21),-0.121916 # DEPENDENCYPART_ARC
(14,22),-0.776545 # DEPENDENCYPART_ARC
(14,23),-0.482411 # DEPENDENCYPART_ARC
(14,24),-0.984904 # DEPENDENCYPART_ARC
(14,25),0.243511 # DEPENDENCYPART_ARC
(14,26),-0.311915 # DEPENDENCYPART_ARC
(14,27),-0.609394 # DEPENDENCYPART_ARC
(14,28),-1.02449 # DEPENDENCYPART_ARC
(14,29),-0.600751 # DEPENDENCYPART_ARC
(14,30),-0.772677 # DEPENDENCYPART_ARC
(14,31),-1.72184 # DEPENDENCYPART_ARC
(14,32),0.620914 # DEPENDENCYPART_ARC
(15,1),-4.49759 # DEPENDENCYPART_ARC
(15,2),-4.04584 # DEPENDENCYPART_ARC
(15,3),-5.40876 # DEPENDENCYPART_ARC
(15,4),-2.91975 # DEPENDENCYPART_ARC
(15,5),-2.59734 # DEPENDENCYPART_ARC
(15,6),-2.24624 # DEPENDENCYPART_ARC
(15,7),-1.29503 # DEPENDENCYPART_ARC
(15,8),-1.53544 # DEPENDENCYPART_ARC
(15,9),-1.58025 # DEPENDENCYPART_ARC
(15,10),-0.871341 # DEPENDENCYPART_ARC
(15,11),1.83309 # DEPENDENCYPART_ARC
(15,12),0.860015 # DEPENDENCYPART_ARC
(15,13),2.66942 # DEPENDENCYPART_ARC
(15,14),2.12474 # DEPENDENCYPART_ARC
(15,16),1.96623 # DEPENDENCYPART_ARC
(15,17),0.630346 # DEPENDENCYPART_ARC
(15,18),0.88753 # DEPENDENCYPART_ARC
(15,19),-0.207496 # DEPENDENCYPART_ARC
(15,20),-0.805875 # DEPENDENCYPART_ARC
(15,21),-0.852909 # DEPENDENCYPART_ARC
(15,22),-1.46865 # DEPENDENCYPART_ARC
(15,23),-1.17111 # DEPENDENCYPART_ARC
(15,24),-1.93065 # DEPENDENCYPART_ARC
(15,25),1.13052 # DEPENDENCYPART_ARC
(15,26),-0.917088 # DEPENDENCYPART_ARC
(15,27),-1.19922 # DEPENDENCYPART_ARC
(15,28),-1.32381 # DEPENDENCYPART_ARC
(15,29),-1.47448 # DEPENDENCYPART_ARC
(15,30),-1.4377 # DEPENDENCYPART_ARC
(15,31),-1.95958 # DEPENDENCYPART_ARC
(15,32),-0.613938 # DEPENDENCYPART_ARC
(16,1),-1.90893 # DEPENDENCYPART_ARC
(16,2),-2.04713 # DEPENDENCYPART_ARC
(16,3),-2.06231 # DEPENDENCYPART_ARC
(16,4),-1.79695 # DEPENDENCYPART_ARC
(16,5),-1.50325 # DEPENDENCYPART_ARC
(16,6),-1.34201 # DEPENDENCYPART_ARC
(16,7),-1.51025 # DEPENDENCYPART_ARC
(16,8),-1.51647 # DEPENDENCYPART_ARC
