# _root_ `` The beginning was chaotic , '' said Nigel Longley , a broker for Commerzbank AG .
#goldHeads=8,3,4,8,4,8,8,0,10,8,10,13,10,13,16,14,8,
#predictedHeads=8,3,4,8,4,8,8,0,10,8,10,13,10,13,16,14,8,
(10,14),0.844876 # DEPENDENCYPART_ARC
(10,15),0.131742 # DEPENDENCYPART_ARC
(10,16),0.64694 # DEPENDENCYPART_ARC
(10,17),1.04728 # DEPENDENCYPART_ARC
(11,1),-2.04927 # DEPENDENCYPART_ARC
(11,2),-1.80358 # DEPENDENCYPART_ARC
(11,3),-2.15876 # DEPENDENCYPART_ARC
(11,4),-1.82958 # DEPENDENCYPART_ARC
(11,5),-1.9169 # DEPENDENCYPART_ARC
(11,6),-0.890407 # DEPENDENCYPART_ARC
(11,7),-1.66275 # DEPENDENCYPART_ARC
(11,8),-1.40163 # DEPENDENCYPART_ARC
(11,9),-1.77544 # DEPENDENCYPART_ARC
(11,10),-1.22214 # DEPENDENCYPART_ARC
(11,12),-0.413738 # DEPENDENCYPART_ARC
(11,13),-1.19164 # DEPENDENCYPART_ARC
(11,14),-0.911908 # DEPENDENCYPART_ARC
(11,15),-1.22378 # DEPENDENCYPART_ARC
(11,16),-1.42872 # DEPENDENCYPART_ARC
(11,17),-1.19693 # DEPENDENCYPART_ARC
(12,1),-2.62332 # DEPENDENCYPART_ARC
(12,2),-1.14815 # DEPENDENCYPART_ARC
(12,3),-2.51196 # DEPENDENCYPART_ARC
(12,4),-2.05736 # DEPENDENCYPART_ARC
(12,5),-1.86721 # DEPENDENCYPART_ARC
(12,6),-1.75687 # DEPENDENCYPART_ARC
(12,7),-1.77996 # DEPENDENCYPART_ARC
(12,8),-1.53059 # DEPENDENCYPART_ARC
(12,9),-1.05542 # DEPENDENCYPART_ARC
(12,10),-1.03456 # DEPENDENCYPART_ARC
(12,11),-0.124774 # DEPENDENCYPART_ARC
(12,13),0.583665 # DEPENDENCYPART_ARC
(12,14),-0.31069 # DEPENDENCYPART_ARC
(12,15),-0.440243 # DEPENDENCYPART_ARC
(12,16),-0.572639 # DEPENDENCYPART_ARC
(12,17),-1.25389 # DEPENDENCYPART_ARC
(13,1),-0.630649 # DEPENDENCYPART_ARC
(13,2),-0.664003 # DEPENDENCYPART_ARC
(13,3),-2.65208 # DEPENDENCYPART_ARC
(13,4),-1.14846 # DEPENDENCYPART_ARC
(13,5),-0.676423 # DEPENDENCYPART_ARC
(13,6),0.0346705 # DEPENDENCYPART_ARC
(13,7),-0.492713 # DEPENDENCYPART_ARC
(13,8),-0.693931 # DEPENDENCYPART_ARC
(13,9),0.294623 # DEPENDENCYPART_ARC
(13,10),-0.607436 # DEPENDENCYPART_ARC
(13,11),0.588488 # DEPENDENCYPART_ARC
(13,12),4.15727 # DEPENDENCYPART_ARC
(13,14),3.17353 # DEPENDENCYPART_ARC
(13,15),0.767215 # DEPENDENCYPART_ARC
(13,16),0.923689 # DEPENDENCYPART_ARC
(13,17),0.74779 # DEPENDENCYPART_ARC
(14,1),-1.257 # DEPENDENCYPART_ARC
(14,2),-1.6127 # DEPENDENCYPART_ARC
(14,3),-2.82604 # DEPENDENCYPART_ARC
(14,4),-1.75057 # DEPENDENCYPART_ARC
(14,5),-1.46292 # DEPENDENCYPART_ARC
(14,6),-1.14469 # DEPENDENCYPART_ARC
(14,7),-1.60089 # DEPENDENCYPART_ARC
(14,8),-1.283 # DEPENDENCYPART_ARC
(14,9),-1.30509 # DEPENDENCYPART_ARC
(14,10),-1.31938 # DEPENDENCYPART_ARC
(14,11),-0.251937 # DEPENDENCYPART_ARC
(14,12),0.241747 # DEPENDENCYPART_ARC
(14,13),0.219001 # DEPENDENCYPART_ARC
(14,15),2.37322 # DEPENDENCYPART_ARC
(14,16),2.86133 # DEPENDENCYPART_ARC
(14,17),-0.235511 # DEPENDENCYPART_ARC
(15,1),-3.21574 # DEPENDENCYPART_ARC
(15,2),-4.56353 # DEPENDENCYPART_ARC
(15,3),-5.95617 # DEPENDENCYPART_ARC
(15,4),-4.47048 # DEPENDENCYPART_ARC
(15,5),-4.07692 # DEPENDENCYPART_ARC
(15,6),-4.07528 # DEPENDENCYPART_ARC
(15,7),-3.7948 # DEPENDENCYPART_ARC
(15,8),-3.69211 # DEPENDENCYPART_ARC
(15,9),-2.77819 # DEPENDENCYPART_ARC
(15,10),-2.99979 # DEPENDENCYPART_ARC
(15,11),-2.33428 # DEPENDENCYPART_ARC
(15,12),-1.24916 # DEPENDENCYPART_ARC
(15,13),-2.05697 # DEPENDENCYPART_ARC
(15,14),-0.817733 # DEPENDENCYPART_ARC
(15,16),1.81514 # DEPENDENCYPART_ARC
(15,17),-0.8653 # DEPENDENCYPART_ARC
(16,1),-0.881586 # DEPENDENCYPART_ARC
(16,2),-1.32618 # DEPENDENCYPART_ARC
(16,3),-2.94337 # DEPENDENCYPART_ARC
(16,4),-1.983 # DEPENDENCYPART_ARC
(16,5),-2.10821 # DEPENDENCYPART_ARC
(16,6),-1.59306 # DEPENDENCYPART_ARC
(16,7),-1.30434 # DEPENDENCYPART_ARC
(16,8),-1.33497 # DEPENDENCYPART_ARC
(16,9),0.632075 # DEPENDENCYPART_ARC
(16,10),-0.725718 # DEPENDENCYPART_ARC
(16,11),0.260444 # DEPENDENCYPART_ARC
(16,12),1.58964 # DEPENDENCYPART_ARC
(16,13),0.473339 # DEPENDENCYPART_ARC
(16,14),1.25775 # DEPENDENCYPART_ARC
(16,15),5.11182 # DEPENDENCYPART_ARC
(16,17),0.955797 # DEPENDENCYPART_ARC
(17,1),-1.82367 # DEPENDENCYPART_ARC
(17,2),-1.81515 # DEPENDENCYPART_ARC
(17,3),-2.25239 # DEPENDENCYPART_ARC
(17,4),-1.84081 # DEPENDENCYPART_ARC
(17,5),-1.95302 # DEPENDENCYPART_ARC
(17,6),-0.813511 # DEPENDENCYPART_ARC
(17,7),-1.53956 # DEPENDENCYPART_ARC
(17,8),-1.35609 # DEPENDENCYPART_ARC
(17,9),-1.18226 # DEPENDENCYPART_ARC
(17,10),-1.37382 # DEPENDENCYPART_ARC
(17,11),-0.0685738 # DEPENDENCYPART_ARC
(17,12),-0.968553 # DEPENDENCYPART_ARC
(17,13),-1.30777 # DEPENDENCYPART_ARC
(17,14),-0.76322 # DEPENDENCYPART_ARC
(17,15),-1.22379 # DEPENDENCYPART_ARC
(17,16),-1.1397 # DEPENDENCYPART_ARC
