# _root_ RJR Nabisco pays up to $ 30,000 of losses , including improvements .
#goldHeads=2,3,0,6,6,3,6,6,8,9,9,11,3,
#predictedHeads=2,3,0,6,6,3,6,6,8,3,9,11,3,
(4,1),-0.180999 # DEPENDENCYPART_ARC
(4,2),-0.343145 # DEPENDENCYPART_ARC
(4,3),0.513349 # DEPENDENCYPART_ARC
(4,5),2.56656 # DEPENDENCYPART_ARC
(4,6),0.608211 # DEPENDENCYPART_ARC
(4,7),0.344896 # DEPENDENCYPART_ARC
(4,8),0.230333 # DEPENDENCYPART_ARC
(4,9),-0.335915 # DEPENDENCYPART_ARC
(4,10),-0.20645 # DEPENDENCYPART_ARC
(4,11),-1.65915 # DEPENDENCYPART_ARC
(4,12),-2.75496 # DEPENDENCYPART_ARC
(4,13),-0.818981 # DEPENDENCYPART_ARC
(5,1),-0.646052 # DEPENDENCYPART_ARC
(5,2),-0.497399 # DEPENDENCYPART_ARC
(5,3),-0.510877 # DEPENDENCYPART_ARC
(5,4),0.579837 # DEPENDENCYPART_ARC
(5,6),1.85463 # DEPENDENCYPART_ARC
(5,7),0.852517 # DEPENDENCYPART_ARC
(5,8),0.259035 # DEPENDENCYPART_ARC
(5,9),0.758654 # DEPENDENCYPART_ARC
(5,10),0.112118 # DEPENDENCYPART_ARC
(5,11),-0.104361 # DEPENDENCYPART_ARC
(5,12),-1.47002 # DEPENDENCYPART_ARC
(5,13),-1.00383 # DEPENDENCYPART_ARC
(6,1),-0.458487 # DEPENDENCYPART_ARC
(6,2),-0.188083 # DEPENDENCYPART_ARC
(6,3),0.208249 # DEPENDENCYPART_ARC
(6,4),3.59642 # DEPENDENCYPART_ARC
(6,5),3.65042 # DEPENDENCYPART_ARC
(6,7),4.27303 # DEPENDENCYPART_ARC
(6,8),3.16249 # DEPENDENCYPART_ARC
(6,9),0.921938 # DEPENDENCYPART_ARC
(6,10),1.562 # DEPENDENCYPART_ARC
(6,11),1.60929 # DEPENDENCYPART_ARC
(6,12),0.066438 # DEPENDENCYPART_ARC
(6,13),0.737764 # DEPENDENCYPART_ARC
(7,1),-1.15942 # DEPENDENCYPART_ARC
(7,2),-0.868437 # DEPENDENCYPART_ARC
(7,3),-0.936917 # DEPENDENCYPART_ARC
(7,4),1.27179 # DEPENDENCYPART_ARC
(7,5),1.02066 # DEPENDENCYPART_ARC
(7,6),0.748267 # DEPENDENCYPART_ARC
(7,8),1.09475 # DEPENDENCYPART_ARC
(7,9),0.327137 # DEPENDENCYPART_ARC
(7,10),0.774843 # DEPENDENCYPART_ARC
(7,11),0.108718 # DEPENDENCYPART_ARC
(7,12),-0.498777 # DEPENDENCYPART_ARC
(7,13),-0.0607214 # DEPENDENCYPART_ARC
(8,1),-1.19831 # DEPENDENCYPART_ARC
(8,2),-1.20825 # DEPENDENCYPART_ARC
(8,3),-1.23209 # DEPENDENCYPART_ARC
(8,4),-0.359172 # DEPENDENCYPART_ARC
(8,5),-0.607523 # DEPENDENCYPART_ARC
(8,6),-0.0815908 # DEPENDENCYPART_ARC
(8,7),-0.119739 # DEPENDENCYPART_ARC
(8,9),4.57074 # DEPENDENCYPART_ARC
(8,10),0.511131 # DEPENDENCYPART_ARC
(8,11),-0.450483 # DEPENDENCYPART_ARC
(8,12),0.752108 # DEPENDENCYPART_ARC
(8,13),-0.611916 # DEPENDENCYPART_ARC
(9,1),-2.48023 # DEPENDENCYPART_ARC
(9,2),-3.13125 # DEPENDENCYPART_ARC
(9,3),-1.54844 # DEPENDENCYPART_ARC
(9,4),-0.678161 # DEPENDENCYPART_ARC
(9,5),-0.908623 # DEPENDENCYPART_ARC
(9,6),0.28938 # DEPENDENCYPART_ARC
(9,7),0.329911 # DEPENDENCYPART_ARC
(9,8),0.856011 # DEPENDENCYPART_ARC
(9,10),1.29056 # DEPENDENCYPART_ARC
(9,11),2.29711 # DEPENDENCYPART_ARC
(9,12),0.680097 # DEPENDENCYPART_ARC
(9,13),-0.0368374 # DEPENDENCYPART_ARC
(10,1),-2.45198 # DEPENDENCYPART_ARC
(10,2),-2.37775 # DEPENDENCYPART_ARC
(10,3),-1.96515 # DEPENDENCYPART_ARC
(10,4),-1.64123 # DEPENDENCYPART_ARC
(10,5),-1.6399 # DEPENDENCYPART_ARC
(10,6),-1.33313 # DEPENDENCYPART_ARC
(10,7),-1.27069 # DEPENDENCYPART_ARC
(10,8),-1.30116 # DEPENDENCYPART_ARC
(10,9),-1.29459 # DEPENDENCYPART_ARC
(10,11),-0.367099 # DEPENDENCYPART_ARC
(10,12),-1.02168 # DEPENDENCYPART_ARC
(10,13),-1.06256 # DEPENDENCYPART_ARC
(11,1),-1.47324 # DEPENDENCYPART_ARC
(11,2),-1.4215 # DEPENDENCYPART_ARC
(11,3),-1.50651 # DEPENDENCYPART_ARC
(11,4),-1.03465 # DEPENDENCYPART_ARC
(11,5),-1.06433 # DEPENDENCYPART_ARC
(11,6),-0.18229 # DEPENDENCYPART_ARC
(11,7),-0.478323 # DEPENDENCYPART_ARC
(11,8),-0.280109 # DEPENDENCYPART_ARC
(11,9),0.181954 # DEPENDENCYPART_ARC
(11,10),0.40466 # DEPENDENCYPART_ARC
(11,12),3.08998 # DEPENDENCYPART_ARC
(11,13),0.257474 # DEPENDENCYPART_ARC
(12,1),-3.42374 # DEPENDENCYPART_ARC
(12,2),-3.60658 # DEPENDENCYPART_ARC
(12,3),-1.66827 # DEPENDENCYPART_ARC
(12,4),-0.979736 # DEPENDENCYPART_ARC
(12,5),-1.29228 # DEPENDENCYPART_ARC
(12,6),-1.20865 # DEPENDENCYPART_ARC
(12,7),-0.572018 # DEPENDENCYPART_ARC
(12,8),-0.182188 # DEPENDENCYPART_ARC
(12,9),-0.0564906 # DEPENDENCYPART_ARC
(12,10),0.0397217 # DEPENDENCYPART_ARC
(12,11),1.39358 # DEPENDENCYPART_ARC
(12,13),0.921084 # DEPENDENCYPART_ARC
(13,1),-1.94988 # DEPENDENCYPART_ARC
(13,2),-2.12391 # DEPENDENCYPART_ARC
(13,3),-1.5878 # DEPENDENCYPART_ARC
(13,4),-1.57383 # DEPENDENCYPART_ARC
(13,5),-1.557 # DEPENDENCYPART_ARC
(13,6),-1.58805 # DEPENDENCYPART_ARC
(13,7),-1.61453 # DEPENDENCYPART_ARC
(13,8),-1.52701 # DEPENDENCYPART_ARC
(13,9),-1.63103 # DEPENDENCYPART_ARC
(13,10),0.128598 # DEPENDENCYPART_ARC
(13,11),-1.09196 # DEPENDENCYPART_ARC
(13,12),-1.51782 # DEPENDENCYPART_ARC
