# _root_ `` There was a volatility in the market that I have never seen before , '' said Michel Vigier , a partner in brokerage firm Cholet Dupont .
#goldHeads=17,3,17,5,3,5,8,6,13,11,5,11,11,13,17,17,0,19,17,19,22,19,22,27,27,27,23,17,
#predictedHeads=17,3,17,5,3,5,8,6,5,11,9,11,11,13,17,17,0,19,17,19,22,19,22,27,27,27,23,17,
(3,21),-1.97715 # DEPENDENCYPART_ARC
(3,22),-1.42458 # DEPENDENCYPART_ARC
(3,23),-1.29023 # DEPENDENCYPART_ARC
(3,24),-2.85183 # DEPENDENCYPART_ARC
(3,25),-2.40394 # DEPENDENCYPART_ARC
(3,26),-3.78583 # DEPENDENCYPART_ARC
(3,27),-3.93818 # DEPENDENCYPART_ARC
(3,28),3.40591 # DEPENDENCYPART_ARC
(4,1),-1.19983 # DEPENDENCYPART_ARC
(4,2),-0.310526 # DEPENDENCYPART_ARC
(4,3),-0.399489 # DEPENDENCYPART_ARC
(4,5),0.590113 # DEPENDENCYPART_ARC
(4,6),-0.378718 # DEPENDENCYPART_ARC
(4,7),-1.15017 # DEPENDENCYPART_ARC
(4,8),-0.616639 # DEPENDENCYPART_ARC
(4,9),-1.40163 # DEPENDENCYPART_ARC
(4,10),-0.991027 # DEPENDENCYPART_ARC
(4,11),-0.890714 # DEPENDENCYPART_ARC
(4,12),-1.19776 # DEPENDENCYPART_ARC
(4,13),-1.08397 # DEPENDENCYPART_ARC
(4,14),-1.34741 # DEPENDENCYPART_ARC
(4,15),-1.08036 # DEPENDENCYPART_ARC
(4,16),-0.580983 # DEPENDENCYPART_ARC
(4,17),-2.25472 # DEPENDENCYPART_ARC
(4,18),-2.19545 # DEPENDENCYPART_ARC
(4,19),-2.08592 # DEPENDENCYPART_ARC
(4,20),-1.06654 # DEPENDENCYPART_ARC
(4,21),-2.9425 # DEPENDENCYPART_ARC
(4,22),-2.41356 # DEPENDENCYPART_ARC
(4,23),-3.15202 # DEPENDENCYPART_ARC
(4,24),-2.53015 # DEPENDENCYPART_ARC
(4,25),-2.50377 # DEPENDENCYPART_ARC
(4,26),-2.80224 # DEPENDENCYPART_ARC
(4,27),-2.77883 # DEPENDENCYPART_ARC
(4,28),-1.83644 # DEPENDENCYPART_ARC
(5,1),-0.282172 # DEPENDENCYPART_ARC
(5,2),0.881248 # DEPENDENCYPART_ARC
(5,3),0.177241 # DEPENDENCYPART_ARC
(5,4),4.33299 # DEPENDENCYPART_ARC
(5,6),3.25668 # DEPENDENCYPART_ARC
(5,7),0.623349 # DEPENDENCYPART_ARC
(5,8),1.17789 # DEPENDENCYPART_ARC
(5,9),1.51638 # DEPENDENCYPART_ARC
(5,10),0.119343 # DEPENDENCYPART_ARC
(5,11),1.61901 # DEPENDENCYPART_ARC
(5,12),-0.00675538 # DEPENDENCYPART_ARC
(5,13),0.723718 # DEPENDENCYPART_ARC
(5,14),0.0819406 # DEPENDENCYPART_ARC
(5,15),0.281171 # DEPENDENCYPART_ARC
(5,16),1.34272 # DEPENDENCYPART_ARC
(5,17),0.209672 # DEPENDENCYPART_ARC
(5,18),-1.41521 # DEPENDENCYPART_ARC
(5,19),-0.653426 # DEPENDENCYPART_ARC
(5,20),-0.311092 # DEPENDENCYPART_ARC
(5,21),-0.930918 # DEPENDENCYPART_ARC
(5,22),-0.859538 # DEPENDENCYPART_ARC
(5,23),-0.932573 # DEPENDENCYPART_ARC
(5,24),-1.61339 # DEPENDENCYPART_ARC
(5,25),-1.89197 # DEPENDENCYPART_ARC
(5,26),-2.05163 # DEPENDENCYPART_ARC
(5,27),-2.09406 # DEPENDENCYPART_ARC
(5,28),1.15086 # DEPENDENCYPART_ARC
(6,1),-0.267139 # DEPENDENCYPART_ARC
(6,2),-0.393124 # DEPENDENCYPART_ARC
(6,3),-0.549793 # DEPENDENCYPART_ARC
(6,4),0.113028 # DEPENDENCYPART_ARC
(6,5),0.36003 # DEPENDENCYPART_ARC
(6,7),0.647277 # DEPENDENCYPART_ARC
(6,8),4.53693 # DEPENDENCYPART_ARC
(6,9),0.32726 # DEPENDENCYPART_ARC
(6,10),0.124097 # DEPENDENCYPART_ARC
(6,11),-0.323771 # DEPENDENCYPART_ARC
(6,12),-0.349397 # DEPENDENCYPART_ARC
(6,13),-0.473586 # DEPENDENCYPART_ARC
(6,14),-0.176383 # DEPENDENCYPART_ARC
(6,15),0.0949837 # DEPENDENCYPART_ARC
(6,16),0.524718 # DEPENDENCYPART_ARC
(6,17),-1.13862 # DEPENDENCYPART_ARC
(6,18),-3.41239 # DEPENDENCYPART_ARC
(6,19),-2.06981 # DEPENDENCYPART_ARC
(6,20),-0.516627 # DEPENDENCYPART_ARC
(6,21),-3.10883 # DEPENDENCYPART_ARC
(6,22),-4.54237 # DEPENDENCYPART_ARC
(6,23),-1.94749 # DEPENDENCYPART_ARC
(6,24),-7.54357 # DEPENDENCYPART_ARC
(6,25),-6.14462 # DEPENDENCYPART_ARC
(6,26),-7.80293 # DEPENDENCYPART_ARC
(6,27),-7.27296 # DEPENDENCYPART_ARC
(6,28),-0.198577 # DEPENDENCYPART_ARC
(7,1),-3.38153 # DEPENDENCYPART_ARC
(7,2),-2.50075 # DEPENDENCYPART_ARC
(7,3),-2.8674 # DEPENDENCYPART_ARC
(7,4),-1.7517 # DEPENDENCYPART_ARC
(7,5),-2.65329 # DEPENDENCYPART_ARC
(7,6),-1.374 # DEPENDENCYPART_ARC
(7,8),-0.195138 # DEPENDENCYPART_ARC
(7,9),-1.83943 # DEPENDENCYPART_ARC
(7,10),-1.90761 # DEPENDENCYPART_ARC
(7,11),-1.58987 # DEPENDENCYPART_ARC
(7,12),-2.22236 # DEPENDENCYPART_ARC
(7,13),-1.91363 # DEPENDENCYPART_ARC
(7,14),-2.30106 # DEPENDENCYPART_ARC
(7,15),-2.20276 # DEPENDENCYPART_ARC
(7,16),-1.59997 # DEPENDENCYPART_ARC
(7,17),-2.94659 # DEPENDENCYPART_ARC
(7,18),-3.35923 # DEPENDENCYPART_ARC
(7,19),-3.38799 # DEPENDENCYPART_ARC
(7,20),-2.67386 # DEPENDENCYPART_ARC
(7,21),-3.96684 # DEPENDENCYPART_ARC
(7,22),-3.1139 # DEPENDENCYPART_ARC
(7,23),-4.04665 # DEPENDENCYPART_ARC
(7,24),-3.44457 # DEPENDENCYPART_ARC
(7,25),-3.37553 # DEPENDENCYPART_ARC
(7,26),-4.09633 # DEPENDENCYPART_ARC
(7,27),-4.08176 # DEPENDENCYPART_ARC
(7,28),-3.23645 # DEPENDENCYPART_ARC
(8,1),-1.8622 # DEPENDENCYPART_ARC
(8,2),-0.579945 # DEPENDENCYPART_ARC
(8,3),-0.926748 # DEPENDENCYPART_ARC
(8,4),1.26899 # DEPENDENCYPART_ARC
(8,5),-0.588512 # DEPENDENCYPART_ARC
(8,6),0.577939 # DEPENDENCYPART_ARC
(8,7),5.23136 # DEPENDENCYPART_ARC
(8,9),0.614284 # DEPENDENCYPART_ARC
(8,10),0.188556 # DEPENDENCYPART_ARC
(8,11),1.5929 # DEPENDENCYPART_ARC
(8,12),-0.403016 # DEPENDENCYPART_ARC
(8,13),0.270298 # DEPENDENCYPART_ARC
(8,14),-0.218927 # DEPENDENCYPART_ARC
(8,15),0.432565 # DEPENDENCYPART_ARC
(8,16),0.686428 # DEPENDENCYPART_ARC
(8,17),-0.105793 # DEPENDENCYPART_ARC
(8,18),-1.76894 # DEPENDENCYPART_ARC
(8,19),-1.11314 # DEPENDENCYPART_ARC
(8,20),-0.292978 # DEPENDENCYPART_ARC
(8,21),-1.52696 # DEPENDENCYPART_ARC
(8,22),-1.17645 # DEPENDENCYPART_ARC
(8,23),-1.35528 # DEPENDENCYPART_ARC
(8,24),-1.7789 # DEPENDENCYPART_ARC
(8,25),-1.9851 # DEPENDENCYPART_ARC
(8,26),-2.36538 # DEPENDENCYPART_ARC
(8,27),-2.34818 # DEPENDENCYPART_ARC
(8,28),0.45126 # DEPENDENCYPART_ARC
(9,1),-0.227162 # DEPENDENCYPART_ARC
(9,2),-1.11184 # DEPENDENCYPART_ARC
(9,3),-1.33918 # DEPENDENCYPART_ARC
(9,4),-0.966916 # DEPENDENCYPART_ARC
(9,5),-0.874089 # DEPENDENCYPART_ARC
(9,6),0.0489141 # DEPENDENCYPART_ARC
(9,7),-0.230625 # DEPENDENCYPART_ARC
(9,8),0.0851523 # DEPENDENCYPART_ARC
(9,10),0.377286 # DEPENDENCYPART_ARC
(9,11),3.13071 # DEPENDENCYPART_ARC
(9,12),-1.23739 # DEPENDENCYPART_ARC
(9,13),-0.336726 # DEPENDENCYPART_ARC
(9,14),-1.15828 # DEPENDENCYPART_ARC
(9,15),0.803467 # DEPENDENCYPART_ARC
(9,16),0.781062 # DEPENDENCYPART_ARC
(9,17),-0.479525 # DEPENDENCYPART_ARC
(9,18),-4.93824 # DEPENDENCYPART_ARC
(9,19),-4.3609 # DEPENDENCYPART_ARC
(9,20),0.640336 # DEPENDENCYPART_ARC
(9,21),-4.51731 # DEPENDENCYPART_ARC
(9,22),-6.18481 # DEPENDENCYPART_ARC
(9,23),-2.15246 # DEPENDENCYPART_ARC
(9,24),-7.97439 # DEPENDENCYPART_ARC
(9,25),-7.12356 # DEPENDENCYPART_ARC
(9,26),-8.53951 # DEPENDENCYPART_ARC
(9,27),-8.40095 # DEPENDENCYPART_ARC
(9,28),-0.0451778 # DEPENDENCYPART_ARC
(10,1),-2.20972 # DEPENDENCYPART_ARC
(10,2),-1.71821 # DEPENDENCYPART_ARC
(10,3),-1.59844 # DEPENDENCYPART_ARC
(10,4),-0.948493 # DEPENDENCYPART_ARC
(10,5),-1.80811 # DEPENDENCYPART_ARC
(10,6),-1.107 # DEPENDENCYPART_ARC
(10,7),-0.215347 # DEPENDENCYPART_ARC
(10,8),-1.20591 # DEPENDENCYPART_ARC
(10,9),0.147463 # DEPENDENCYPART_ARC
(10,11),1.11674 # DEPENDENCYPART_ARC
(10,12),0.205931 # DEPENDENCYPART_ARC
(10,13),-0.358568 # DEPENDENCYPART_ARC
(10,14),-0.231013 # DEPENDENCYPART_ARC
(10,15),0.249618 # DEPENDENCYPART_ARC
(10,16),-0.0235087 # DEPENDENCYPART_ARC
(10,17),-0.175574 # DEPENDENCYPART_ARC
(10,18),-0.856328 # DEPENDENCYPART_ARC
(10,19),-0.884831 # DEPENDENCYPART_ARC
(10,20),0.0202914 # DEPENDENCYPART_ARC
(10,21),-1.01395 # DEPENDENCYPART_ARC
(10,22),-1.30594 # DEPENDENCYPART_ARC
(10,23),-0.984058 # DEPENDENCYPART_ARC
(10,24),-1.3283 # DEPENDENCYPART_ARC
(10,25),-1.31781 # DEPENDENCYPART_ARC
(10,26),-1.65677 # DEPENDENCYPART_ARC
(10,27),-1.77593 # DEPENDENCYPART_ARC
(10,28),-1.06348 # DEPENDENCYPART_ARC
(11,1),0.60344 # DEPENDENCYPART_ARC
(11,2),0.126715 # DEPENDENCYPART_ARC
(11,3),-0.709536 # DEPENDENCYPART_ARC
(11,4),0.567582 # DEPENDENCYPART_ARC
(11,5),0.226841 # DEPENDENCYPART_ARC
(11,6),0.0948365 # DEPENDENCYPART_ARC
(11,7),0.246647 # DEPENDENCYPART_ARC
(11,8),0.876734 # DEPENDENCYPART_ARC
(11,9),1.48618 # DEPENDENCYPART_ARC
(11,10),3.15178 # DEPENDENCYPART_ARC
(11,12),3.09392 # DEPENDENCYPART_ARC
(11,13),3.70004 # DEPENDENCYPART_ARC
(11,14),1.07198 # DEPENDENCYPART_ARC
(11,15),1.51277 # DEPENDENCYPART_ARC
(11,16),0.319098 # DEPENDENCYPART_ARC
(11,17),0.725781 # DEPENDENCYPART_ARC
(11,18),-0.365962 # DEPENDENCYPART_ARC
(11,19),0.0204936 # DEPENDENCYPART_ARC
(11,20),-0.060826 # DEPENDENCYPART_ARC
(11,21),-1.41315 # DEPENDENCYPART_ARC
(11,22),-0.813158 # DEPENDENCYPART_ARC
(11,23),-1.06511 # DEPENDENCYPART_ARC
(11,24),-1.68672 # DEPENDENCYPART_ARC
(11,25),-1.85498 # DEPENDENCYPART_ARC
(11,26),-1.4394 # DEPENDENCYPART_ARC
(11,27),-1.26527 # DEPENDENCYPART_ARC
(11,28),1.82244 # DEPENDENCYPART_ARC
(12,1),-2.00243 # DEPENDENCYPART_ARC
(12,2),-1.82878 # DEPENDENCYPART_ARC
(12,3),-1.83825 # DEPENDENCYPART_ARC
(12,4),-0.413583 # DEPENDENCYPART_ARC
(12,5),-1.77279 # DEPENDENCYPART_ARC
(12,6),-1.14934 # DEPENDENCYPART_ARC
(12,7),-0.410534 # DEPENDENCYPART_ARC
(12,8),-1.29173 # DEPENDENCYPART_ARC
(12,9),-0.735413 # DEPENDENCYPART_ARC
(12,10),-0.304701 # DEPENDENCYPART_ARC
(12,11),-0.280668 # DEPENDENCYPART_ARC
(12,13),0.581948 # DEPENDENCYPART_ARC
(12,14),0.0612508 # DEPENDENCYPART_ARC
(12,15),0.0376583 # DEPENDENCYPART_ARC
(12,16),0.00850808 # DEPENDENCYPART_ARC
(12,17),-0.554038 # DEPENDENCYPART_ARC
(12,18),-1.58019 # DEPENDENCYPART_ARC
(12,19),-1.57148 # DEPENDENCYPART_ARC
(12,20),-0.35579 # DEPENDENCYPART_ARC
(12,21),-1.16552 # DEPENDENCYPART_ARC
(12,22),-2.64409 # DEPENDENCYPART_ARC
(12,23),-1.59708 # DEPENDENCYPART_ARC
(12,24),-2.61092 # DEPENDENCYPART_ARC
(12,25),-2.73819 # DEPENDENCYPART_ARC
(12,26),-2.33597 # DEPENDENCYPART_ARC
(12,27),-2.4781 # DEPENDENCYPART_ARC
(12,28),-1.1844 # DEPENDENCYPART_ARC
(13,1),-0.320555 # DEPENDENCYPART_ARC
(13,2),-0.431344 # DEPENDENCYPART_ARC
(13,3),-0.837685 # DEPENDENCYPART_ARC
(13,4),-0.347494 # DEPENDENCYPART_ARC
(13,5),-0.351047 # DEPENDENCYPART_ARC
(13,6),0.182284 # DEPENDENCYPART_ARC
(13,7),0.0741531 # DEPENDENCYPART_ARC
(13,8),0.217012 # DEPENDENCYPART_ARC
(13,9),1.60652 # DEPENDENCYPART_ARC
(13,10),0.964546 # DEPENDENCYPART_ARC
(13,11),0.356081 # DEPENDENCYPART_ARC
(13,12),2.0207 # DEPENDENCYPART_ARC
(13,14),3.23197 # DEPENDENCYPART_ARC
(13,15),1.61874 # DEPENDENCYPART_ARC
(13,16),1.44514 # DEPENDENCYPART_ARC
(13,17),0.610805 # DEPENDENCYPART_ARC
(13,18),0.160484 # DEPENDENCYPART_ARC
(13,19),0.0628315 # DEPENDENCYPART_ARC
(13,20),0.489766 # DEPENDENCYPART_ARC
(13,21),-0.431084 # DEPENDENCYPART_ARC
(13,22),-0.1393 # DEPENDENCYPART_ARC
(13,23),-0.594628 # DEPENDENCYPART_ARC
(13,24),-1.2581 # DEPENDENCYPART_ARC
(13,25),-0.862052 # DEPENDENCYPART_ARC
(13,26),-1.18711 # DEPENDENCYPART_ARC
(13,27),-0.984528 # DEPENDENCYPART_ARC
(13,28),0.731342 # DEPENDENCYPART_ARC
(14,1),-1.6831 # DEPENDENCYPART_ARC
(14,2),-1.59979 # DEPENDENCYPART_ARC
(14,3),-1.56658 # DEPENDENCYPART_ARC
(14,4),-0.161674 # DEPENDENCYPART_ARC
(14,5),-1.28742 # DEPENDENCYPART_ARC
(14,6),-0.942687 # DEPENDENCYPART_ARC
(14,7),-0.204994 # DEPENDENCYPART_ARC
(14,8),-0.95275 # DEPENDENCYPART_ARC
(14,9),-0.800484 # DEPENDENCYPART_ARC
(14,10),-0.836708 # DEPENDENCYPART_ARC
(14,11),-0.758454 # DEPENDENCYPART_ARC
(14,12),0.52139 # DEPENDENCYPART_ARC
(14,13),0.809788 # DEPENDENCYPART_ARC
(14,15),1.12985 # DEPENDENCYPART_ARC
(14,16),1.11831 # DEPENDENCYPART_ARC
(14,17),0.965809 # DEPENDENCYPART_ARC
(14,18),-0.133804 # DEPENDENCYPART_ARC
(14,19),-0.0701032 # DEPENDENCYPART_ARC
(14,20),0.529432 # DEPENDENCYPART_ARC
(14,21),-0.029446 # DEPENDENCYPART_ARC
(14,22),-1.74184 # DEPENDENCYPART_ARC
(14,23),-1.08946 # DEPENDENCYPART_ARC
(14,24),-1.65298 # DEPENDENCYPART_ARC
(14,25),-1.67574 # DEPENDENCYPART_ARC
(14,26),-0.832042 # DEPENDENCYPART_ARC
(14,27),-0.847656 # DEPENDENCYPART_ARC
(14,28),-0.151842 # DEPENDENCYPART_ARC
(15,1),-2.36611 # DEPENDENCYPART_ARC
(15,2),-2.25711 # DEPENDENCYPART_ARC
(15,3),-2.20463 # DEPENDENCYPART_ARC
(15,4),-2.14716 # DEPENDENCYPART_ARC
(15,5),-2.18892 # DEPENDENCYPART_ARC
(15,6),-2.03942 # DEPENDENCYPART_ARC
(15,7),-1.6703 # DEPENDENCYPART_ARC
(15,8),-2.09891 # DEPENDENCYPART_ARC
(15,9),-1.57714 # DEPENDENCYPART_ARC
(15,10),-1.94123 # DEPENDENCYPART_ARC
(15,11),-2.02698 # DEPENDENCYPART_ARC
(15,12),-1.71644 # DEPENDENCYPART_ARC
(15,13),-1.17461 # DEPENDENCYPART_ARC
(15,14),-0.968032 # DEPENDENCYPART_ARC
(15,16),0.325533 # DEPENDENCYPART_ARC
(15,17),-0.0855517 # DEPENDENCYPART_ARC
(15,18),-0.693146 # DEPENDENCYPART_ARC
(15,19),-1.00479 # DEPENDENCYPART_ARC
(15,20),0.332743 # DEPENDENCYPART_ARC
(15,21),-1.52479 # DEPENDENCYPART_ARC
(15,22),-2.08023 # DEPENDENCYPART_ARC
(15,23),-1.30135 # DEPENDENCYPART_ARC
(15,24),-2.18278 # DEPENDENCYPART_ARC
(15,25),-2.28023 # DEPENDENCYPART_ARC
(15,26),-2.1425 # DEPENDENCYPART_ARC
(15,27),-2.31785 # DEPENDENCYPART_ARC
(15,28),-1.49703 # DEPENDENCYPART_ARC
(16,1),-0.302628 # DEPENDENCYPART_ARC
(16,2),-2.0548 # DEPENDENCYPART_ARC
(16,3),-2.10797 # DEPENDENCYPART_ARC
(16,4),-1.69225 # DEPENDENCYPART_ARC
(16,5),-2.47414 # DEPENDENCYPART_ARC
(16,6),-1.65577 # DEPENDENCYPART_ARC
(16,7),-0.825078 # DEPENDENCYPART_ARC
(16,8),-2.04414 # DEPENDENCYPART_ARC
(16,9),-1.29796 # DEPENDENCYPART_ARC
(16,10),-1.52504 # DEPENDENCYPART_ARC
(16,11),-1.54997 # DEPENDENCYPART_ARC
(16,12),-1.27661 # DEPENDENCYPART_ARC
(16,13),-0.856852 # DEPENDENCYPART_ARC
(16,14),-0.616024 # DEPENDENCYPART_ARC
(16,15),0.480312 # DEPENDENCYPART_ARC
(16,17),0.0904915 # DEPENDENCYPART_ARC
(16,18),-0.949462 # DEPENDENCYPART_ARC
(16,19),-1.31474 # DEPENDENCYPART_ARC
(16,20),-1.08438 # DEPENDENCYPART_ARC
(16,21),-2.09689 # DEPENDENCYPART_ARC
(16,22),-1.90613 # DEPENDENCYPART_ARC
(16,23),-1.51549 # DEPENDENCYPART_ARC
(16,24),-2.14268 # DEPENDENCYPART_ARC
(16,25),-2.21793 # DEPENDENCYPART_ARC
(16,26),-2.60444 # DEPENDENCYPART_ARC
(16,27),-2.75532 # DEPENDENCYPART_ARC
(16,28),-1.61253 # DEPENDENCYPART_ARC
(17,1),4.1555 # DEPENDENCYPART_ARC
(17,2),-0.461564 # DEPENDENCYPART_ARC
(17,3),1.29399 # DEPENDENCYPART_ARC
(17,4),-1.23114 # DEPENDENCYPART_ARC
(17,5),-0.928121 # DEPENDENCYPART_ARC
(17,6),-1.51059 # DEPENDENCYPART_ARC
(17,7),-0.964601 # DEPENDENCYPART_ARC
(17,8),-0.439001 # DEPENDENCYPART_ARC
(17,9),-0.763158 # DEPENDENCYPART_ARC
(17,10),0.146017 # DEPENDENCYPART_ARC
(17,11),1.12497 # DEPENDENCYPART_ARC
(17,12),0.0743449 # DEPENDENCYPART_ARC
(17,13),0.332394 # DEPENDENCYPART_ARC
(17,14),0.322259 # DEPENDENCYPART_ARC
(17,15),3.67912 # DEPENDENCYPART_ARC
(17,16),3.86366 # DEPENDENCYPART_ARC
(17,18),1.24689 # DEPENDENCYPART_ARC
(17,19),2.62284 # DEPENDENCYPART_ARC
(17,20),1.30882 # DEPENDENCYPART_ARC
(17,21),-0.762305 # DEPENDENCYPART_ARC
(17,22),-0.114185 # DEPENDENCYPART_ARC
(17,23),0.616473 # DEPENDENCYPART_ARC
(17,24),-1.11815 # DEPENDENCYPART_ARC
(17,25),-0.800435 # DEPENDENCYPART_ARC
(17,26),-0.896696 # DEPENDENCYPART_ARC
(17,27),-0.15401 # DEPENDENCYPART_ARC
(17,28),7.41041 # DEPENDENCYPART_ARC
(18,1),-3.17582 # DEPENDENCYPART_ARC
(18,2),-3.3965 # DEPENDENCYPART_ARC
(18,3),-4.20058 # DEPENDENCYPART_ARC
(18,4),-4.01651 # DEPENDENCYPART_ARC
(18,5),-5.85465 # DEPENDENCYPART_ARC
(18,6),-3.23029 # DEPENDENCYPART_ARC
(18,7),-3.21549 # DEPENDENCYPART_ARC
(18,8),-4.49492 # DEPENDENCYPART_ARC
(18,9),-3.00177 # DEPENDENCYPART_ARC
(18,10),-2.46605 # DEPENDENCYPART_ARC
(18,11),-2.87256 # DEPENDENCYPART_ARC
(18,12),-2.44999 # DEPENDENCYPART_ARC
(18,13),-1.52266 # DEPENDENCYPART_ARC
(18,14),-1.66408 # DEPENDENCYPART_ARC
(18,15),-1.33113 # DEPENDENCYPART_ARC
(18,16),-0.717275 # DEPENDENCYPART_ARC
(18,17),-0.380422 # DEPENDENCYPART_ARC
(18,19),1.95572 # DEPENDENCYPART_ARC
(18,20),1.41031 # DEPENDENCYPART_ARC
(18,21),-0.256694 # DEPENDENCYPART_ARC
(18,22),0.901364 # DEPENDENCYPART_ARC
