# _root_ In composite trading on the New York Stock Exchange , Telerate shares closed yesterday at $ 18.875 , down 75 cents a share .
#goldHeads=13,3,1,3,9,9,9,9,4,13,12,13,0,13,13,15,16,13,13,21,19,23,21,13,
#predictedHeads=13,3,1,13,9,9,9,9,4,13,12,13,0,13,13,15,16,13,13,21,19,23,21,13,
(2,11),-1.34666 # DEPENDENCYPART_ARC
(2,12),-0.457943 # DEPENDENCYPART_ARC
(2,13),-1.25139 # DEPENDENCYPART_ARC
(2,14),-1.92589 # DEPENDENCYPART_ARC
(2,15),-1.46291 # DEPENDENCYPART_ARC
(2,16),-2.77519 # DEPENDENCYPART_ARC
(2,17),-3.80592 # DEPENDENCYPART_ARC
(2,18),-1.31519 # DEPENDENCYPART_ARC
(2,19),-1.97332 # DEPENDENCYPART_ARC
(2,20),-3.6855 # DEPENDENCYPART_ARC
(2,21),-1.96025 # DEPENDENCYPART_ARC
(2,22),-3.32553 # DEPENDENCYPART_ARC
(2,23),-2.71325 # DEPENDENCYPART_ARC
(2,24),-0.745724 # DEPENDENCYPART_ARC
(3,1),0.46823 # DEPENDENCYPART_ARC
(3,2),4.38107 # DEPENDENCYPART_ARC
(3,4),2.68273 # DEPENDENCYPART_ARC
(3,5),-0.38132 # DEPENDENCYPART_ARC
(3,6),-0.362697 # DEPENDENCYPART_ARC
(3,7),-0.112575 # DEPENDENCYPART_ARC
(3,8),0.0746654 # DEPENDENCYPART_ARC
(3,9),0.523103 # DEPENDENCYPART_ARC
(3,10),0.0667139 # DEPENDENCYPART_ARC
(3,11),-0.37694 # DEPENDENCYPART_ARC
(3,12),-1.0518 # DEPENDENCYPART_ARC
(3,13),-0.714825 # DEPENDENCYPART_ARC
(3,14),0.286833 # DEPENDENCYPART_ARC
(3,15),-0.841843 # DEPENDENCYPART_ARC
(3,16),-2.62498 # DEPENDENCYPART_ARC
(3,17),-1.02423 # DEPENDENCYPART_ARC
(3,18),-0.5782 # DEPENDENCYPART_ARC
(3,19),-0.569132 # DEPENDENCYPART_ARC
(3,20),-1.50059 # DEPENDENCYPART_ARC
(3,21),-1.77604 # DEPENDENCYPART_ARC
(3,22),-2.09063 # DEPENDENCYPART_ARC
(3,23),-0.770892 # DEPENDENCYPART_ARC
(3,24),-0.502882 # DEPENDENCYPART_ARC
(4,1),0.17831 # DEPENDENCYPART_ARC
(4,2),0.165663 # DEPENDENCYPART_ARC
(4,3),0.0126107 # DEPENDENCYPART_ARC
(4,5),0.23652 # DEPENDENCYPART_ARC
(4,6),1.48185 # DEPENDENCYPART_ARC
(4,7),1.8363 # DEPENDENCYPART_ARC
(4,8),1.41966 # DEPENDENCYPART_ARC
(4,9),4.16316 # DEPENDENCYPART_ARC
(4,10),-0.00111382 # DEPENDENCYPART_ARC
(4,11),-0.452883 # DEPENDENCYPART_ARC
(4,12),0.761144 # DEPENDENCYPART_ARC
(4,13),-0.556535 # DEPENDENCYPART_ARC
(4,14),-3.46502 # DEPENDENCYPART_ARC
(4,15),-1.58099 # DEPENDENCYPART_ARC
(4,16),-2.45601 # DEPENDENCYPART_ARC
(4,17),-0.994608 # DEPENDENCYPART_ARC
(4,18),-0.368629 # DEPENDENCYPART_ARC
(4,19),-1.07228 # DEPENDENCYPART_ARC
(4,20),-2.10779 # DEPENDENCYPART_ARC
(4,21),-5.5711 # DEPENDENCYPART_ARC
(4,22),-4.12419 # DEPENDENCYPART_ARC
(4,23),-6.1014 # DEPENDENCYPART_ARC
(4,24),-1.61355 # DEPENDENCYPART_ARC
(5,1),-2.50223 # DEPENDENCYPART_ARC
(5,2),-2.06074 # DEPENDENCYPART_ARC
(5,3),-2.43917 # DEPENDENCYPART_ARC
(5,4),-1.21238 # DEPENDENCYPART_ARC
(5,6),-0.515445 # DEPENDENCYPART_ARC
(5,7),-0.872392 # DEPENDENCYPART_ARC
(5,8),-1.02592 # DEPENDENCYPART_ARC
(5,9),-1.17134 # DEPENDENCYPART_ARC
(5,10),-1.11296 # DEPENDENCYPART_ARC
(5,11),-1.6459 # DEPENDENCYPART_ARC
(5,12),-1.76089 # DEPENDENCYPART_ARC
(5,13),-1.61869 # DEPENDENCYPART_ARC
(5,14),-1.58343 # DEPENDENCYPART_ARC
(5,15),-2.52914 # DEPENDENCYPART_ARC
(5,16),-3.19938 # DEPENDENCYPART_ARC
(5,17),-2.44393 # DEPENDENCYPART_ARC
(5,18),-1.13293 # DEPENDENCYPART_ARC
(5,19),-2.29512 # DEPENDENCYPART_ARC
(5,20),-2.51097 # DEPENDENCYPART_ARC
(5,21),-2.60135 # DEPENDENCYPART_ARC
(5,22),-3.46475 # DEPENDENCYPART_ARC
(5,23),-2.59286 # DEPENDENCYPART_ARC
(5,24),-2.49091 # DEPENDENCYPART_ARC
(6,1),-3.21923 # DEPENDENCYPART_ARC
(6,2),-1.27077 # DEPENDENCYPART_ARC
(6,3),-2.99126 # DEPENDENCYPART_ARC
(6,4),-1.80881 # DEPENDENCYPART_ARC
(6,5),1.45117 # DEPENDENCYPART_ARC
(6,7),0.471157 # DEPENDENCYPART_ARC
(6,8),0.160953 # DEPENDENCYPART_ARC
(6,9),-0.172004 # DEPENDENCYPART_ARC
(6,10),-0.0853254 # DEPENDENCYPART_ARC
(6,11),-1.22293 # DEPENDENCYPART_ARC
(6,12),-1.40929 # DEPENDENCYPART_ARC
(6,13),-1.23833 # DEPENDENCYPART_ARC
(6,14),-1.84595 # DEPENDENCYPART_ARC
(6,15),-2.48599 # DEPENDENCYPART_ARC
(6,16),-2.43104 # DEPENDENCYPART_ARC
(6,17),-2.35389 # DEPENDENCYPART_ARC
(6,18),-1.63288 # DEPENDENCYPART_ARC
(6,19),-2.40528 # DEPENDENCYPART_ARC
(6,20),-3.39168 # DEPENDENCYPART_ARC
(6,21),-2.93391 # DEPENDENCYPART_ARC
(6,22),-2.79579 # DEPENDENCYPART_ARC
(6,23),-4.10823 # DEPENDENCYPART_ARC
(6,24),-1.91856 # DEPENDENCYPART_ARC
(7,1),-3.46505 # DEPENDENCYPART_ARC
(7,2),-0.770705 # DEPENDENCYPART_ARC
(7,3),-3.1006 # DEPENDENCYPART_ARC
(7,4),-1.99432 # DEPENDENCYPART_ARC
(7,5),1.576 # DEPENDENCYPART_ARC
(7,6),1.85329 # DEPENDENCYPART_ARC
(7,8),0.0767234 # DEPENDENCYPART_ARC
(7,9),0.593854 # DEPENDENCYPART_ARC
(7,10),0.0750928 # DEPENDENCYPART_ARC
(7,11),-1.38356 # DEPENDENCYPART_ARC
(7,12),-1.76346 # DEPENDENCYPART_ARC
(7,13),-1.56288 # DEPENDENCYPART_ARC
(7,14),-2.64569 # DEPENDENCYPART_ARC
(7,15),-3.46243 # DEPENDENCYPART_ARC
(7,16),-2.9831 # DEPENDENCYPART_ARC
(7,17),-2.62187 # DEPENDENCYPART_ARC
(7,18),-1.71302 # DEPENDENCYPART_ARC
(7,19),-2.26476 # DEPENDENCYPART_ARC
(7,20),-3.78569 # DEPENDENCYPART_ARC
(7,21),-3.49363 # DEPENDENCYPART_ARC
(7,22),-3.52412 # DEPENDENCYPART_ARC
(7,23),-5.20296 # DEPENDENCYPART_ARC
(7,24),-1.33018 # DEPENDENCYPART_ARC
(8,1),-2.90039 # DEPENDENCYPART_ARC
(8,2),-0.317036 # DEPENDENCYPART_ARC
(8,3),-2.44966 # DEPENDENCYPART_ARC
(8,4),-1.65549 # DEPENDENCYPART_ARC
(8,5),1.87124 # DEPENDENCYPART_ARC
(8,6),2.27347 # DEPENDENCYPART_ARC
(8,7),2.28701 # DEPENDENCYPART_ARC
(8,9),1.55026 # DEPENDENCYPART_ARC
(8,10),1.05502 # DEPENDENCYPART_ARC
(8,11),0.0265253 # DEPENDENCYPART_ARC
(8,12),-0.660921 # DEPENDENCYPART_ARC
(8,13),-0.37434 # DEPENDENCYPART_ARC
(8,14),-1.12297 # DEPENDENCYPART_ARC
(8,15),-2.38282 # DEPENDENCYPART_ARC
(8,16),-1.99153 # DEPENDENCYPART_ARC
(8,17),-1.42018 # DEPENDENCYPART_ARC
(8,18),-0.473346 # DEPENDENCYPART_ARC
(8,19),-1.53486 # DEPENDENCYPART_ARC
(8,20),-2.61504 # DEPENDENCYPART_ARC
(8,21),-2.39189 # DEPENDENCYPART_ARC
(8,22),-2.46333 # DEPENDENCYPART_ARC
(8,23),-3.58445 # DEPENDENCYPART_ARC
(8,24),-0.189374 # DEPENDENCYPART_ARC
(9,1),-1.74693 # DEPENDENCYPART_ARC
(9,2),0.750842 # DEPENDENCYPART_ARC
(9,3),-1.90556 # DEPENDENCYPART_ARC
(9,4),-0.510328 # DEPENDENCYPART_ARC
(9,5),3.8702 # DEPENDENCYPART_ARC
(9,6),4.42523 # DEPENDENCYPART_ARC
(9,7),4.26105 # DEPENDENCYPART_ARC
(9,8),4.32863 # DEPENDENCYPART_ARC
(9,10),2.35926 # DEPENDENCYPART_ARC
(9,11),1.43274 # DEPENDENCYPART_ARC
(9,12),0.312942 # DEPENDENCYPART_ARC
(9,13),0.825498 # DEPENDENCYPART_ARC
(9,14),-0.1497 # DEPENDENCYPART_ARC
(9,15),-1.09602 # DEPENDENCYPART_ARC
(9,16),-1.12227 # DEPENDENCYPART_ARC
(9,17),-0.597781 # DEPENDENCYPART_ARC
(9,18),0.589004 # DEPENDENCYPART_ARC
(9,19),0.0484147 # DEPENDENCYPART_ARC
(9,20),-1.80609 # DEPENDENCYPART_ARC
(9,21),-1.61461 # DEPENDENCYPART_ARC
(9,22),-1.53305 # DEPENDENCYPART_ARC
(9,23),-2.26719 # DEPENDENCYPART_ARC
(9,24),0.49803 # DEPENDENCYPART_ARC
(10,1),-2.16308 # DEPENDENCYPART_ARC
(10,2),-2.12645 # DEPENDENCYPART_ARC
(10,3),-1.87372 # DEPENDENCYPART_ARC
(10,4),-1.64887 # DEPENDENCYPART_ARC
(10,5),-1.39026 # DEPENDENCYPART_ARC
(10,6),-1.98129 # DEPENDENCYPART_ARC
(10,7),-1.66897 # DEPENDENCYPART_ARC
(10,8),-1.7754 # DEPENDENCYPART_ARC
(10,9),-1.2019 # DEPENDENCYPART_ARC
(10,11),-0.579634 # DEPENDENCYPART_ARC
(10,12),-1.30991 # DEPENDENCYPART_ARC
(10,13),-1.25573 # DEPENDENCYPART_ARC
(10,14),-2.14715 # DEPENDENCYPART_ARC
(10,15),-1.83744 # DEPENDENCYPART_ARC
(10,16),-2.6305 # DEPENDENCYPART_ARC
(10,17),-2.76415 # DEPENDENCYPART_ARC
(10,18),-1.05863 # DEPENDENCYPART_ARC
(10,19),-2.54418 # DEPENDENCYPART_ARC
(10,20),-3.07672 # DEPENDENCYPART_ARC
(10,21),-2.99826 # DEPENDENCYPART_ARC
(10,22),-3.02078 # DEPENDENCYPART_ARC
(10,23),-3.33454 # DEPENDENCYPART_ARC
(10,24),-2.34895 # DEPENDENCYPART_ARC
(11,1),-3.84138 # DEPENDENCYPART_ARC
(11,2),-2.00001 # DEPENDENCYPART_ARC
(11,3),-4.08315 # DEPENDENCYPART_ARC
(11,4),-3.293 # DEPENDENCYPART_ARC
(11,5),-0.533626 # DEPENDENCYPART_ARC
(11,6),0.33134 # DEPENDENCYPART_ARC
(11,7),-0.734305 # DEPENDENCYPART_ARC
(11,8),-0.637087 # DEPENDENCYPART_ARC
(11,9),-0.544364 # DEPENDENCYPART_ARC
(11,10),0.701076 # DEPENDENCYPART_ARC
(11,12),-0.165513 # DEPENDENCYPART_ARC
(11,13),-0.526218 # DEPENDENCYPART_ARC
(11,14),-1.6866 # DEPENDENCYPART_ARC
(11,15),-1.30126 # DEPENDENCYPART_ARC
(11,16),-1.87279 # DEPENDENCYPART_ARC
(11,17),-1.21719 # DEPENDENCYPART_ARC
(11,18),-1.03103 # DEPENDENCYPART_ARC
(11,19),-1.65289 # DEPENDENCYPART_ARC
(11,20),-2.23664 # DEPENDENCYPART_ARC
(11,21),-2.5578 # DEPENDENCYPART_ARC
(11,22),-2.37903 # DEPENDENCYPART_ARC
(11,23),-3.95757 # DEPENDENCYPART_ARC
(11,24),-0.542692 # DEPENDENCYPART_ARC
(12,1),-1.06218 # DEPENDENCYPART_ARC
(12,2),-0.020595 # DEPENDENCYPART_ARC
(12,3),-2.20664 # DEPENDENCYPART_ARC
(12,4),-0.35953 # DEPENDENCYPART_ARC
(12,5),2.08207 # DEPENDENCYPART_ARC
(12,6),2.35248 # DEPENDENCYPART_ARC
(12,7),2.48799 # DEPENDENCYPART_ARC
(12,8),2.2837 # DEPENDENCYPART_ARC
(12,9),1.12388 # DEPENDENCYPART_ARC
(12,10),1.18094 # DEPENDENCYPART_ARC
(12,11),4.09724 # DEPENDENCYPART_ARC
(12,13),1.58565 # DEPENDENCYPART_ARC
(12,14),0.760478 # DEPENDENCYPART_ARC
(12,15),0.49996 # DEPENDENCYPART_ARC
(12,16),-0.391518 # DEPENDENCYPART_ARC
(12,17),0.152083 # DEPENDENCYPART_ARC
(12,18),0.819887 # DEPENDENCYPART_ARC
(12,19),0.334011 # DEPENDENCYPART_ARC
(12,20),-0.415286 # DEPENDENCYPART_ARC
(12,21),-0.523902 # DEPENDENCYPART_ARC
(12,22),-0.194523 # DEPENDENCYPART_ARC
(12,23),-0.696629 # DEPENDENCYPART_ARC
(12,24),0.393528 # DEPENDENCYPART_ARC
(13,1),3.27294 # DEPENDENCYPART_ARC
(13,2),1.06802 # DEPENDENCYPART_ARC
(13,3),1.55454 # DEPENDENCYPART_ARC
(13,4),3.3022 # DEPENDENCYPART_ARC
(13,5),-0.203911 # DEPENDENCYPART_ARC
(13,6),1.6901 # DEPENDENCYPART_ARC
(13,7),1.73598 # DEPENDENCYPART_ARC
(13,8),1.95757 # DEPENDENCYPART_ARC
(13,9),1.45227 # DEPENDENCYPART_ARC
(13,10),4.75566 # DEPENDENCYPART_ARC
(13,11),2.31261 # DEPENDENCYPART_ARC
(13,12),3.25028 # DEPENDENCYPART_ARC
(13,14),4.37337 # DEPENDENCYPART_ARC
(13,15),3.49074 # DEPENDENCYPART_ARC
(13,16),0.867987 # DEPENDENCYPART_ARC
(13,17),0.539436 # DEPENDENCYPART_ARC
(13,18),3.20591 # DEPENDENCYPART_ARC
(13,19),2.90956 # DEPENDENCYPART_ARC
(13,20),-0.654094 # DEPENDENCYPART_ARC
(13,21),-0.984344 # DEPENDENCYPART_ARC
(13,22),-0.231666 # DEPENDENCYPART_ARC
(13,23),-0.169444 # DEPENDENCYPART_ARC
(13,24),4.50093 # DEPENDENCYPART_ARC
(14,1),-3.20083 # DEPENDENCYPART_ARC
(14,2),-3.06104 # DEPENDENCYPART_ARC
(14,3),-7.40257 # DEPENDENCYPART_ARC
(14,4),-2.89876 # DEPENDENCYPART_ARC
(14,5),-1.3737 # DEPENDENCYPART_ARC
(14,6),-2.46237 # DEPENDENCYPART_ARC
(14,7),-3.19838 # DEPENDENCYPART_ARC
(14,8),-3.0932 # DEPENDENCYPART_ARC
(14,9),-3.62529 # DEPENDENCYPART_ARC
(14,10),-2.43846 # DEPENDENCYPART_ARC
(14,11),-1.36037 # DEPENDENCYPART_ARC
(14,12),-1.38895 # DEPENDENCYPART_ARC
(14,13),-0.899526 # DEPENDENCYPART_ARC
(14,15),0.939184 # DEPENDENCYPART_ARC
(14,16),0.0758857 # DEPENDENCYPART_ARC
(14,17),0.978775 # DEPENDENCYPART_ARC
(14,18),0.271206 # DEPENDENCYPART_ARC
(14,19),0.286622 # DEPENDENCYPART_ARC
(14,20),0.158529 # DEPENDENCYPART_ARC
(14,21),0.0175405 # DEPENDENCYPART_ARC
(14,22),-0.324524 # DEPENDENCYPART_ARC
(14,23),-0.0832213 # DEPENDENCYPART_ARC
(14,24),0.620465 # DEPENDENCYPART_ARC
(15,1),-2.25212 # DEPENDENCYPART_ARC
(15,2),-2.18192 # DEPENDENCYPART_ARC
(15,3),-2.83737 # DEPENDENCYPART_ARC
(15,4),-1.63119 # DEPENDENCYPART_ARC
(15,5),-1.38297 # DEPENDENCYPART_ARC
(15,6),-1.48415 # DEPENDENCYPART_ARC
(15,7),-1.59909 # DEPENDENCYPART_ARC
(15,8),-1.53555 # DEPENDENCYPART_ARC
(15,9),-1.48556 # DEPENDENCYPART_ARC
(15,10),-0.811264 # DEPENDENCYPART_ARC
(15,11),-1.08751 # DEPENDENCYPART_ARC
(15,12),-1.00339 # DEPENDENCYPART_ARC
(15,13),-0.821115 # DEPENDENCYPART_ARC
(15,14),0.343532 # DEPENDENCYPART_ARC
(15,16),3.82234 # DEPENDENCYPART_ARC
(15,17),2.20189 # DEPENDENCYPART_ARC
(15,18),1.01662 # DEPENDENCYPART_ARC
(15,19),-0.0620721 # DEPENDENCYPART_ARC
(15,20),0.0876998 # DEPENDENCYPART_ARC
(15,21),0.0991535 # DEPENDENCYPART_ARC
(15,22),-1.42482 # DEPENDENCYPART_ARC
(15,23),-1.98371 # DEPENDENCYPART_ARC
(15,24),-1.1804 # DEPENDENCYPART_ARC
(16,1),-4.34637 # DEPENDENCYPART_ARC
(16,2),-2.39322 # DEPENDENCYPART_ARC
(16,3),-2.05542 # DEPENDENCYPART_ARC
(16,4),-3.39876 # DEPENDENCYPART_ARC
(16,5),-0.969873 # DEPENDENCYPART_ARC
(16,6),-2.23475 # DEPENDENCYPART_ARC
(16,7),-2.14603 # DEPENDENCYPART_ARC
(16,8),-2.04309 # DEPENDENCYPART_ARC
(16,9),-1.89172 # DEPENDENCYPART_ARC
(16,10),-1.41648 # DEPENDENCYPART_ARC
(16,11),-1.26079 # DEPENDENCYPART_ARC
(16,12),-0.804232 # DEPENDENCYPART_ARC
(16,13),-0.583159 # DEPENDENCYPART_ARC
(16,14),0.329008 # DEPENDENCYPART_ARC
(16,15),1.41764 # DEPENDENCYPART_ARC
(16,17),4.27998 # DEPENDENCYPART_ARC
(16,18),1.6423 # DEPENDENCYPART_ARC
(16,19),1.38262 # DEPENDENCYPART_ARC
(16,20),0.9554 # DEPENDENCYPART_ARC
(16,21),-0.409124 # DEPENDENCYPART_ARC
(16,22),0.207037 # DEPENDENCYPART_ARC
(16,23),0.898166 # DEPENDENCYPART_ARC
(16,24),-0.539052 # DEPENDENCYPART_ARC
(17,1),-3.58308 # DEPENDENCYPART_ARC
(17,2),-1.68154 # DEPENDENCYPART_ARC
(17,3),-2.80961 # DEPENDENCYPART_ARC
(17,4),-2.88131 # DEPENDENCYPART_ARC
(17,5),-1.51302 # DEPENDENCYPART_ARC
(17,6),-1.92849 # DEPENDENCYPART_ARC
(17,7),-1.66515 # DEPENDENCYPART_ARC
(17,8),-1.55918 # DEPENDENCYPART_ARC
(17,9),-1.51968 # DEPENDENCYPART_ARC
(17,10),-1.48643 # DEPENDENCYPART_ARC
(17,11),-1.00282 # DEPENDENCYPART_ARC
(17,12),-0.937541 # DEPENDENCYPART_ARC
(17,13),-0.840441 # DEPENDENCYPART_ARC
(17,14),-0.513388 # DEPENDENCYPART_ARC
(17,15),0.307806 # DEPENDENCYPART_ARC
(17,16),0.781567 # DEPENDENCYPART_ARC
(17,18),0.434009 # DEPENDENCYPART_ARC
(17,19),0.166297 # DEPENDENCYPART_ARC
(17,20),0.186934 # DEPENDENCYPART_ARC
(17,21),-0.79907 # DEPENDENCYPART_ARC
(17,22),-1.10715 # DEPENDENCYPART_ARC
(17,23),-0.964141 # DEPENDENCYPART_ARC
(17,24),-0.28792 # DEPENDENCYPART_ARC
(18,1),-2.81902 # DEPENDENCYPART_ARC
(18,2),-2.78373 # DEPENDENCYPART_ARC
(18,3),-2.4899 # DEPENDENCYPART_ARC
(18,4),-2.38985 # DEPENDENCYPART_ARC
(18,5),-2.13365 # DEPENDENCYPART_ARC
(18,6),-2.61958 # DEPENDENCYPART_ARC
(18,7),-2.52971 # DEPENDENCYPART_ARC
(18,8),-2.31832 # DEPENDENCYPART_ARC
(18,9),-2.28795 # DEPENDENCYPART_ARC
(18,10),-0.669255 # DEPENDENCYPART_ARC
(18,11),-1.97872 # DEPENDENCYPART_ARC
(18,12),-1.75025 # DEPENDENCYPART_ARC
(18,13),-1.71213 # DEPENDENCYPART_ARC
(18,14),-1.03794 # DEPENDENCYPART_ARC
(18,15),-0.972824 # DEPENDENCYPART_ARC
(18,16),-0.795135 # DEPENDENCYPART_ARC
(18,17),-0.495141 # DEPENDENCYPART_ARC
(18,19),-0.139169 # DEPENDENCYPART_ARC
(18,20),-0.518607 # DEPENDENCYPART_ARC
(18,21),-0.893306 # DEPENDENCYPART_ARC
(18,22),-1.33439 # DEPENDENCYPART_ARC
(18,23),-1.55652 # DEPENDENCYPART_ARC
(18,24),-0.875461 # DEPENDENCYPART_ARC
(19,1),-2.46143 # DEPENDENCYPART_ARC
(19,2),-1.45669 # DEPENDENCYPART_ARC
(19,3),-2.00334 # DEPENDENCYPART_ARC
(19,4),-1.8896 # DEPENDENCYPART_ARC
(19,5),-0.802587 # DEPENDENCYPART_ARC
(19,6),-1.96059 # DEPENDENCYPART_ARC
(19,7),-1.91621 # DEPENDENCYPART_ARC
(19,8),-1.81829 # DEPENDENCYPART_ARC
(19,9),-1.40639 # DEPENDENCYPART_ARC
(19,10),-1.34306 # DEPENDENCYPART_ARC
(19,11),-1.29403 # DEPENDENCYPART_ARC
(19,12),-1.4143 # DEPENDENCYPART_ARC
(19,13),-0.901396 # DEPENDENCYPART_ARC
(19,14),-0.597796 # DEPENDENCYPART_ARC
(19,15),0.0786581 # DEPENDENCYPART_ARC
(19,16),0.238731 # DEPENDENCYPART_ARC
(19,17),0.0680677 # DEPENDENCYPART_ARC
(19,18),0.479461 # DEPENDENCYPART_ARC
(19,20),2.15653 # DEPENDENCYPART_ARC
(19,21),2.66205 # DEPENDENCYPART_ARC
(19,22),0.860882 # DEPENDENCYPART_ARC
(19,23),1.23133 # DEPENDENCYPART_ARC
(19,24),-0.699816 # DEPENDENCYPART_ARC
(20,1),-4.2115 # DEPENDENCYPART_ARC
(20,2),-2.67839 # DEPENDENCYPART_ARC
(20,3),-3.7442 # DEPENDENCYPART_ARC
(20,4),-3.59719 # DEPENDENCYPART_ARC
(20,5),-2.78018 # DEPENDENCYPART_ARC
(20,6),-2.88283 # DEPENDENCYPART_ARC
(20,7),-2.7876 # DEPENDENCYPART_ARC
(20,8),-2.69746 # DEPENDENCYPART_ARC
(20,9),-2.64455 # DEPENDENCYPART_ARC
(20,10),-2.19 # DEPENDENCYPART_ARC
(20,11),-2.02608 # DEPENDENCYPART_ARC
(20,12),-2.04656 # DEPENDENCYPART_ARC
(20,13),-1.83158 # DEPENDENCYPART_ARC
(20,14),-2.13296 # DEPENDENCYPART_ARC
(20,15),-1.24663 # DEPENDENCYPART_ARC
(20,16),-1.17093 # DEPENDENCYPART_ARC
(20,17),-0.0984446 # DEPENDENCYPART_ARC
(20,18),-0.203021 # DEPENDENCYPART_ARC
(20,19),0.180242 # DEPENDENCYPART_ARC
(20,21),0.392511 # DEPENDENCYPART_ARC
(20,22),-0.560681 # DEPENDENCYPART_ARC
(20,23),-0.403296 # DEPENDENCYPART_ARC
(20,24),-0.969275 # DEPENDENCYPART_ARC
(21,1),-1.90248 # DEPENDENCYPART_ARC
(21,2),-2.48168 # DEPENDENCYPART_ARC
(21,3),-4.78196 # DEPENDENCYPART_ARC
(21,4),-1.26963 # DEPENDENCYPART_ARC
(21,5),-1.44018 # DEPENDENCYPART_ARC
(21,6),-2.21167 # DEPENDENCYPART_ARC
(21,7),-2.7932 # DEPENDENCYPART_ARC
(21,8),-3.04538 # DEPENDENCYPART_ARC
(21,9),-3.85341 # DEPENDENCYPART_ARC
(21,10),-1.09422 # DEPENDENCYPART_ARC
(21,11),-1.94324 # DEPENDENCYPART_ARC
(21,12),-1.31362 # DEPENDENCYPART_ARC
(21,13),-1.08242 # DEPENDENCYPART_ARC
(21,14),-1.14142 # DEPENDENCYPART_ARC
(21,15),-0.146581 # DEPENDENCYPART_ARC
(21,16),0.749426 # DEPENDENCYPART_ARC
(21,17),1.28456 # DEPENDENCYPART_ARC
(21,18),0.509235 # DEPENDENCYPART_ARC
(21,19),1.0676 # DEPENDENCYPART_ARC
(21,20),4.45558 # DEPENDENCYPART_ARC
(21,22),1.63188 # DEPENDENCYPART_ARC
(21,23),3.448 # DEPENDENCYPART_ARC
(21,24),1.16495 # DEPENDENCYPART_ARC
(22,1),-3.65359 # DEPENDENCYPART_ARC
(22,2),-3.67881 # DEPENDENCYPART_ARC
(22,3),-3.96657 # DEPENDENCYPART_ARC
