# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,17,11,25,25,22,25,28,26,8,
(1,29),0.619049 # DEPENDENCYPART_ARC
(2,1),-0.399813 # DEPENDENCYPART_ARC
(2,3),0.651486 # DEPENDENCYPART_ARC
(2,4),0.0543046 # DEPENDENCYPART_ARC
(2,5),-0.491395 # DEPENDENCYPART_ARC
(2,6),-0.631287 # DEPENDENCYPART_ARC
(2,7),-0.68878 # DEPENDENCYPART_ARC
(2,8),-1.19978 # DEPENDENCYPART_ARC
(2,9),-1.47917 # DEPENDENCYPART_ARC
(2,10),-1.14078 # DEPENDENCYPART_ARC
(2,11),-1.55266 # DEPENDENCYPART_ARC
(2,12),-2.08311 # DEPENDENCYPART_ARC
(2,13),-1.87009 # DEPENDENCYPART_ARC
(2,14),-2.0873 # DEPENDENCYPART_ARC
(2,15),-2.43198 # DEPENDENCYPART_ARC
(2,16),-1.23709 # DEPENDENCYPART_ARC
(2,17),-2.15112 # DEPENDENCYPART_ARC
(2,18),-1.3974 # DEPENDENCYPART_ARC
(2,19),-2.14313 # DEPENDENCYPART_ARC
(2,20),-2.47194 # DEPENDENCYPART_ARC
(2,21),-1.98549 # DEPENDENCYPART_ARC
(2,22),-2.32027 # DEPENDENCYPART_ARC
(2,23),-3.46705 # DEPENDENCYPART_ARC
(2,24),-2.74273 # DEPENDENCYPART_ARC
(2,25),-2.882 # DEPENDENCYPART_ARC
(2,26),-4.09887 # DEPENDENCYPART_ARC
(2,27),-3.09709 # DEPENDENCYPART_ARC
(2,28),-3.34848 # DEPENDENCYPART_ARC
(2,29),-1.12165 # DEPENDENCYPART_ARC
(3,1),0.161239 # DEPENDENCYPART_ARC
(3,2),1.96851 # DEPENDENCYPART_ARC
(3,4),0.72664 # DEPENDENCYPART_ARC
(3,5),-0.12158 # DEPENDENCYPART_ARC
(3,6),-0.232869 # DEPENDENCYPART_ARC
(3,7),-0.606951 # DEPENDENCYPART_ARC
(3,8),-1.17685 # DEPENDENCYPART_ARC
(3,9),-1.52171 # DEPENDENCYPART_ARC
(3,10),-1.28656 # DEPENDENCYPART_ARC
(3,11),-1.82697 # DEPENDENCYPART_ARC
(3,12),-2.01877 # DEPENDENCYPART_ARC
(3,13),-1.52296 # DEPENDENCYPART_ARC
(3,14),-1.12116 # DEPENDENCYPART_ARC
(3,15),-1.09791 # DEPENDENCYPART_ARC
(3,16),-1.43159 # DEPENDENCYPART_ARC
(3,17),-2.16567 # DEPENDENCYPART_ARC
(3,18),-1.40304 # DEPENDENCYPART_ARC
(3,19),-3.14956 # DEPENDENCYPART_ARC
(3,20),-1.91201 # DEPENDENCYPART_ARC
(3,21),-1.50265 # DEPENDENCYPART_ARC
(3,22),-2.45954 # DEPENDENCYPART_ARC
(3,23),-3.24973 # DEPENDENCYPART_ARC
(3,24),-2.73904 # DEPENDENCYPART_ARC
(3,25),-2.75665 # DEPENDENCYPART_ARC
(3,26),-3.02476 # DEPENDENCYPART_ARC
(3,27),-2.4707 # DEPENDENCYPART_ARC
(3,28),-3.10642 # DEPENDENCYPART_ARC
(3,29),-0.850298 # DEPENDENCYPART_ARC
(4,1),0.143619 # DEPENDENCYPART_ARC
(4,2),4.91219 # DEPENDENCYPART_ARC
(4,3),4.84231 # DEPENDENCYPART_ARC
(4,5),2.76009 # DEPENDENCYPART_ARC
(4,6),1.72713 # DEPENDENCYPART_ARC
(4,7),1.58346 # DEPENDENCYPART_ARC
(4,8),1.16195 # DEPENDENCYPART_ARC
(4,9),0.740905 # DEPENDENCYPART_ARC
(4,10),1.02171 # DEPENDENCYPART_ARC
(4,11),0.372766 # DEPENDENCYPART_ARC
(4,12),-0.401195 # DEPENDENCYPART_ARC
(4,13),0.144548 # DEPENDENCYPART_ARC
(4,14),0.98841 # DEPENDENCYPART_ARC
(4,15),-0.906127 # DEPENDENCYPART_ARC
(4,16),-0.245318 # DEPENDENCYPART_ARC
(4,17),-1.0971 # DEPENDENCYPART_ARC
(4,18),-0.977731 # DEPENDENCYPART_ARC
(4,19),-0.852529 # DEPENDENCYPART_ARC
(4,20),0.397154 # DEPENDENCYPART_ARC
(4,21),0.731962 # DEPENDENCYPART_ARC
(4,22),-0.623374 # DEPENDENCYPART_ARC
(4,23),-1.3781 # DEPENDENCYPART_ARC
(4,24),-0.857808 # DEPENDENCYPART_ARC
(4,25),-1.10805 # DEPENDENCYPART_ARC
(4,26),-3.48319 # DEPENDENCYPART_ARC
(4,27),-1.76434 # DEPENDENCYPART_ARC
(4,28),-1.01409 # DEPENDENCYPART_ARC
(4,29),0.332761 # DEPENDENCYPART_ARC
(5,1),-1.59527 # DEPENDENCYPART_ARC
(5,2),-0.79975 # DEPENDENCYPART_ARC
(5,3),-1.41118 # DEPENDENCYPART_ARC
(5,4),-0.991605 # DEPENDENCYPART_ARC
(5,6),-0.00534434 # DEPENDENCYPART_ARC
(5,7),-0.714889 # DEPENDENCYPART_ARC
(5,8),-0.97782 # DEPENDENCYPART_ARC
(5,9),-1.08965 # DEPENDENCYPART_ARC
(5,10),-1.5774 # DEPENDENCYPART_ARC
(5,11),-1.46485 # DEPENDENCYPART_ARC
(5,12),-1.91605 # DEPENDENCYPART_ARC
(5,13),-2.14762 # DEPENDENCYPART_ARC
(5,14),-2.57399 # DEPENDENCYPART_ARC
(5,15),-1.78578 # DEPENDENCYPART_ARC
(5,16),-2.25771 # DEPENDENCYPART_ARC
(5,17),-2.64445 # DEPENDENCYPART_ARC
(5,18),-2.03721 # DEPENDENCYPART_ARC
(5,19),-3.03253 # DEPENDENCYPART_ARC
(5,20),-3.01979 # DEPENDENCYPART_ARC
(5,21),-0.957504 # DEPENDENCYPART_ARC
(5,22),-2.61059 # DEPENDENCYPART_ARC
(5,23),-3.11631 # DEPENDENCYPART_ARC
(5,24),-2.80917 # DEPENDENCYPART_ARC
(5,25),-3.73907 # DEPENDENCYPART_ARC
(5,26),-2.75003 # DEPENDENCYPART_ARC
(5,27),-3.39037 # DEPENDENCYPART_ARC
(5,28),-3.86168 # DEPENDENCYPART_ARC
(5,29),-2.78085 # DEPENDENCYPART_ARC
(6,1),-2.70777 # DEPENDENCYPART_ARC
(6,2),-0.723408 # DEPENDENCYPART_ARC
(6,3),-0.666407 # DEPENDENCYPART_ARC
(6,4),-1.95646 # DEPENDENCYPART_ARC
(6,5),-0.936423 # DEPENDENCYPART_ARC
(6,7),1.95581 # DEPENDENCYPART_ARC
(6,8),-0.855206 # DEPENDENCYPART_ARC
(6,9),-1.31033 # DEPENDENCYPART_ARC
(6,10),-1.23121 # DEPENDENCYPART_ARC
(6,11),-1.69434 # DEPENDENCYPART_ARC
(6,12),-0.956751 # DEPENDENCYPART_ARC
(6,13),-1.351 # DEPENDENCYPART_ARC
(6,14),-1.32829 # DEPENDENCYPART_ARC
(6,15),-2.39292 # DEPENDENCYPART_ARC
(6,16),-1.99308 # DEPENDENCYPART_ARC
(6,17),-2.15432 # DEPENDENCYPART_ARC
(6,18),-2.45464 # DEPENDENCYPART_ARC
(6,19),-2.65942 # DEPENDENCYPART_ARC
(6,20),-2.35337 # DEPENDENCYPART_ARC
(6,21),-2.1823 # DEPENDENCYPART_ARC
(6,22),-2.53074 # DEPENDENCYPART_ARC
(6,23),-2.87731 # DEPENDENCYPART_ARC
(6,24),-2.69706 # DEPENDENCYPART_ARC
(6,25),-3.79075 # DEPENDENCYPART_ARC
(6,26),-3.53077 # DEPENDENCYPART_ARC
(6,27),-3.24436 # DEPENDENCYPART_ARC
(6,28),-3.98991 # DEPENDENCYPART_ARC
(6,29),-0.664939 # DEPENDENCYPART_ARC
(7,1),-1.72724 # DEPENDENCYPART_ARC
(7,2),1.23641 # DEPENDENCYPART_ARC
(7,3),1.11142 # DEPENDENCYPART_ARC
(7,4),-0.743013 # DEPENDENCYPART_ARC
(7,5),0.548959 # DEPENDENCYPART_ARC
(7,6),4.27655 # DEPENDENCYPART_ARC
(7,8),0.343294 # DEPENDENCYPART_ARC
(7,9),-0.229626 # DEPENDENCYPART_ARC
(7,10),-0.419394 # DEPENDENCYPART_ARC
(7,11),-0.95202 # DEPENDENCYPART_ARC
(7,12),-0.6486 # DEPENDENCYPART_ARC
(7,13),-0.834943 # DEPENDENCYPART_ARC
(7,14),-0.29113 # DEPENDENCYPART_ARC
(7,15),-1.50035 # DEPENDENCYPART_ARC
(7,16),-1.10453 # DEPENDENCYPART_ARC
(7,17),-1.51387 # DEPENDENCYPART_ARC
(7,18),-1.45474 # DEPENDENCYPART_ARC
(7,19),-2.17131 # DEPENDENCYPART_ARC
(7,20),-1.65427 # DEPENDENCYPART_ARC
(7,21),-1.49361 # DEPENDENCYPART_ARC
(7,22),-1.68057 # DEPENDENCYPART_ARC
(7,23),-2.35304 # DEPENDENCYPART_ARC
(7,24),-1.87951 # DEPENDENCYPART_ARC
(7,25),-2.68854 # DEPENDENCYPART_ARC
(7,26),-2.75127 # DEPENDENCYPART_ARC
(7,27),-2.19128 # DEPENDENCYPART_ARC
(7,28),-3.18098 # DEPENDENCYPART_ARC
(7,29),-0.0760421 # DEPENDENCYPART_ARC
(8,1),2.17439 # DEPENDENCYPART_ARC
(8,2),0.469042 # DEPENDENCYPART_ARC
(8,3),0.538014 # DEPENDENCYPART_ARC
(8,4),1.02244 # DEPENDENCYPART_ARC
(8,5),3.68667 # DEPENDENCYPART_ARC
(8,6),2.26114 # DEPENDENCYPART_ARC
(8,7),2.95579 # DEPENDENCYPART_ARC
(8,9),4.65761 # DEPENDENCYPART_ARC
(8,10),1.48967 # DEPENDENCYPART_ARC
(8,11),1.55378 # DEPENDENCYPART_ARC
(8,12),-0.0913944 # DEPENDENCYPART_ARC
(8,13),-0.000734598 # DEPENDENCYPART_ARC
(8,14),0.0945009 # DEPENDENCYPART_ARC
(8,15),0.425578 # DEPENDENCYPART_ARC
(8,16),-0.505332 # DEPENDENCYPART_ARC
(8,17),-0.438675 # DEPENDENCYPART_ARC
(8,18),-0.296566 # DEPENDENCYPART_ARC
(8,19),-0.998163 # DEPENDENCYPART_ARC
(8,20),-0.607773 # DEPENDENCYPART_ARC
(8,21),1.25316 # DEPENDENCYPART_ARC
(8,22),0.075614 # DEPENDENCYPART_ARC
(8,23),-0.601995 # DEPENDENCYPART_ARC
(8,24),-0.134909 # DEPENDENCYPART_ARC
(8,25),-0.673881 # DEPENDENCYPART_ARC
(8,26),-0.258855 # DEPENDENCYPART_ARC
(8,27),-0.536469 # DEPENDENCYPART_ARC
(8,28),-1.32821 # DEPENDENCYPART_ARC
(8,29),5.46988 # DEPENDENCYPART_ARC
(9,1),-0.353551 # DEPENDENCYPART_ARC
(9,2),0.333298 # DEPENDENCYPART_ARC
(9,3),0.244077 # DEPENDENCYPART_ARC
(9,4),-0.00013884 # DEPENDENCYPART_ARC
(9,5),0.266442 # DEPENDENCYPART_ARC
(9,6),0.519364 # DEPENDENCYPART_ARC
(9,7),0.0739929 # DEPENDENCYPART_ARC
(9,8),0.694231 # DEPENDENCYPART_ARC
(9,10),3.74741 # DEPENDENCYPART_ARC
(9,11),1.51868 # DEPENDENCYPART_ARC
(9,12),-0.81466 # DEPENDENCYPART_ARC
(9,13),-0.426921 # DEPENDENCYPART_ARC
(9,14),1.06619 # DEPENDENCYPART_ARC
(9,15),1.31752 # DEPENDENCYPART_ARC
(9,16),0.174629 # DEPENDENCYPART_ARC
(9,17),-1.25315 # DEPENDENCYPART_ARC
(9,18),0.563973 # DEPENDENCYPART_ARC
(9,19),-0.691077 # DEPENDENCYPART_ARC
(9,20),-1.34496 # DEPENDENCYPART_ARC
(9,21),1.86403 # DEPENDENCYPART_ARC
(9,22),1.38235 # DEPENDENCYPART_ARC
(9,23),-2.16079 # DEPENDENCYPART_ARC
(9,24),-0.139528 # DEPENDENCYPART_ARC
(9,25),-1.68007 # DEPENDENCYPART_ARC
(9,26),-1.08029 # DEPENDENCYPART_ARC
(9,27),-0.302739 # DEPENDENCYPART_ARC
(9,28),-5.60393 # DEPENDENCYPART_ARC
(9,29),1.10643 # DEPENDENCYPART_ARC
(10,1),-0.732975 # DEPENDENCYPART_ARC
(10,2),-0.306096 # DEPENDENCYPART_ARC
(10,3),-0.768254 # DEPENDENCYPART_ARC
(10,4),-0.648893 # DEPENDENCYPART_ARC
(10,5),-0.743232 # DEPENDENCYPART_ARC
(10,6),-0.146169 # DEPENDENCYPART_ARC
(10,7),0.322123 # DEPENDENCYPART_ARC
(10,8),-0.0464263 # DEPENDENCYPART_ARC
(10,9),1.03701 # DEPENDENCYPART_ARC
(10,11),4.37201 # DEPENDENCYPART_ARC
(10,12),0.121952 # DEPENDENCYPART_ARC
(10,13),0.298581 # DEPENDENCYPART_ARC
(10,14),0.364161 # DEPENDENCYPART_ARC
(10,15),0.884437 # DEPENDENCYPART_ARC
(10,16),0.640302 # DEPENDENCYPART_ARC
(10,17),-0.553553 # DEPENDENCYPART_ARC
(10,18),0.61488 # DEPENDENCYPART_ARC
(10,19),-0.70619 # DEPENDENCYPART_ARC
(10,20),-2.14391 # DEPENDENCYPART_ARC
(10,21),1.0031 # DEPENDENCYPART_ARC
(10,22),-0.292454 # DEPENDENCYPART_ARC
(10,23),-1.20652 # DEPENDENCYPART_ARC
(10,24),-0.709508 # DEPENDENCYPART_ARC
(10,25),-4.65617 # DEPENDENCYPART_ARC
(10,26),-1.18773 # DEPENDENCYPART_ARC
(10,27),-1.24185 # DEPENDENCYPART_ARC
(10,28),-5.29288 # DEPENDENCYPART_ARC
(10,29),0.30989 # DEPENDENCYPART_ARC
(11,1),-0.50142 # DEPENDENCYPART_ARC
(11,2),-0.331378 # DEPENDENCYPART_ARC
(11,3),-0.330921 # DEPENDENCYPART_ARC
(11,4),-0.811117 # DEPENDENCYPART_ARC
(11,5),-0.45564 # DEPENDENCYPART_ARC
(11,6),-0.186617 # DEPENDENCYPART_ARC
(11,7),-0.189324 # DEPENDENCYPART_ARC
(11,8),-0.0793032 # DEPENDENCYPART_ARC
(11,9),0.584676 # DEPENDENCYPART_ARC
(11,10),1.17245 # DEPENDENCYPART_ARC
(11,12),1.13444 # DEPENDENCYPART_ARC
(11,13),1.48408 # DEPENDENCYPART_ARC
(11,14),3.21275 # DEPENDENCYPART_ARC
(11,15),2.21172 # DEPENDENCYPART_ARC
(11,16),1.03347 # DEPENDENCYPART_ARC
(11,17),0.475675 # DEPENDENCYPART_ARC
(11,18),1.69562 # DEPENDENCYPART_ARC
(11,19),-0.178111 # DEPENDENCYPART_ARC
(11,20),0.336595 # DEPENDENCYPART_ARC
(11,21),1.79717 # DEPENDENCYPART_ARC
(11,22),1.42927 # DEPENDENCYPART_ARC
(11,23),-0.961666 # DEPENDENCYPART_ARC
(11,24),0.0521999 # DEPENDENCYPART_ARC
(11,25),-0.807091 # DEPENDENCYPART_ARC
(11,26),0.604761 # DEPENDENCYPART_ARC
(11,27),-0.546652 # DEPENDENCYPART_ARC
(11,28),-2.50198 # DEPENDENCYPART_ARC
(11,29),0.449504 # DEPENDENCYPART_ARC
(12,1),-3.24254 # DEPENDENCYPART_ARC
(12,2),-2.14544 # DEPENDENCYPART_ARC
(12,3),-2.60571 # DEPENDENCYPART_ARC
(12,4),-2.89877 # DEPENDENCYPART_ARC
(12,5),-2.33803 # DEPENDENCYPART_ARC
(12,6),-2.31113 # DEPENDENCYPART_ARC
(12,7),-2.15464 # DEPENDENCYPART_ARC
(12,8),-2.10623 # DEPENDENCYPART_ARC
(12,9),-1.20549 # DEPENDENCYPART_ARC
(12,10),-1.32248 # DEPENDENCYPART_ARC
(12,11),0.0149338 # DEPENDENCYPART_ARC
(12,13),-0.0261202 # DEPENDENCYPART_ARC
(12,14),-0.476794 # DEPENDENCYPART_ARC
(12,15),-1.08425 # DEPENDENCYPART_ARC
(12,16),-0.859875 # DEPENDENCYPART_ARC
(12,17),-1.24906 # DEPENDENCYPART_ARC
(12,18),-0.892985 # DEPENDENCYPART_ARC
(12,19),-1.20633 # DEPENDENCYPART_ARC
(12,20),-1.59067 # DEPENDENCYPART_ARC
(12,21),-1.19548 # DEPENDENCYPART_ARC
(12,22),-1.57782 # DEPENDENCYPART_ARC
(12,23),-2.78401 # DEPENDENCYPART_ARC
(12,24),-1.9899 # DEPENDENCYPART_ARC
(12,25),-2.41524 # DEPENDENCYPART_ARC
(12,26),-3.0216 # DEPENDENCYPART_ARC
(12,27),-2.24451 # DEPENDENCYPART_ARC
(12,28),-2.4795 # DEPENDENCYPART_ARC
(12,29),-1.33293 # DEPENDENCYPART_ARC
(13,1),-1.99385 # DEPENDENCYPART_ARC
(13,2),-0.404447 # DEPENDENCYPART_ARC
(13,3),-0.893578 # DEPENDENCYPART_ARC
(13,4),-1.90473 # DEPENDENCYPART_ARC
(13,5),-1.10048 # DEPENDENCYPART_ARC
(13,6),-0.754736 # DEPENDENCYPART_ARC
(13,7),-1.30368 # DEPENDENCYPART_ARC
(13,8),-1.43962 # DEPENDENCYPART_ARC
(13,9),-0.718235 # DEPENDENCYPART_ARC
(13,10),0.0529137 # DEPENDENCYPART_ARC
(13,11),0.117543 # DEPENDENCYPART_ARC
(13,12),2.05692 # DEPENDENCYPART_ARC
(13,14),1.23481 # DEPENDENCYPART_ARC
(13,15),0.405173 # DEPENDENCYPART_ARC
(13,16),-0.141015 # DEPENDENCYPART_ARC
(13,17),-0.677446 # DEPENDENCYPART_ARC
(13,18),-0.169819 # DEPENDENCYPART_ARC
(13,19),-1.4337 # DEPENDENCYPART_ARC
(13,20),-0.81722 # DEPENDENCYPART_ARC
(13,21),-0.814684 # DEPENDENCYPART_ARC
(13,22),-1.28945 # DEPENDENCYPART_ARC
(13,23),-1.93952 # DEPENDENCYPART_ARC
(13,24),-1.49173 # DEPENDENCYPART_ARC
(13,25),-1.76801 # DEPENDENCYPART_ARC
(13,26),-1.66691 # DEPENDENCYPART_ARC
(13,27),-1.14342 # DEPENDENCYPART_ARC
(13,28),-2.11685 # DEPENDENCYPART_ARC
(13,29),0.599912 # DEPENDENCYPART_ARC
(14,1),-1.42737 # DEPENDENCYPART_ARC
(14,2),0.25591 # DEPENDENCYPART_ARC
(14,3),-0.493554 # DEPENDENCYPART_ARC
(14,4),-2.9357 # DEPENDENCYPART_ARC
(14,5),-2.11687 # DEPENDENCYPART_ARC
(14,6),-1.64042 # DEPENDENCYPART_ARC
(14,7),-2.64472 # DEPENDENCYPART_ARC
(14,8),-1.03997 # DEPENDENCYPART_ARC
(14,9),-0.478543 # DEPENDENCYPART_ARC
(14,10),-0.73793 # DEPENDENCYPART_ARC
(14,11),0.134261 # DEPENDENCYPART_ARC
(14,12),4.1608 # DEPENDENCYPART_ARC
(14,13),4.20707 # DEPENDENCYPART_ARC
(14,15),1.36842 # DEPENDENCYPART_ARC
(14,16),0.487447 # DEPENDENCYPART_ARC
(14,17),-0.160059 # DEPENDENCYPART_ARC
(14,18),0.0930446 # DEPENDENCYPART_ARC
(14,19),-0.14238 # DEPENDENCYPART_ARC
(14,20),0.26074 # DEPENDENCYPART_ARC
(14,21),0.462028 # DEPENDENCYPART_ARC
(14,22),0.391682 # DEPENDENCYPART_ARC
(14,23),-0.783093 # DEPENDENCYPART_ARC
(14,24),-0.0424515 # DEPENDENCYPART_ARC
(14,25),-0.726632 # DEPENDENCYPART_ARC
(14,26),-0.809182 # DEPENDENCYPART_ARC
(14,27),-1.20026 # DEPENDENCYPART_ARC
(14,28),-0.893061 # DEPENDENCYPART_ARC
(14,29),0.60151 # DEPENDENCYPART_ARC
(15,1),-1.68339 # DEPENDENCYPART_ARC
(15,2),-1.21475 # DEPENDENCYPART_ARC
(15,3),-1.44574 # DEPENDENCYPART_ARC
(15,4),-2.59118 # DEPENDENCYPART_ARC
(15,5),-1.17726 # DEPENDENCYPART_ARC
(15,6),-0.96188 # DEPENDENCYPART_ARC
(15,7),-1.06169 # DEPENDENCYPART_ARC
(15,8),-1.32154 # DEPENDENCYPART_ARC
(15,9),-0.501015 # DEPENDENCYPART_ARC
(15,10),-0.507179 # DEPENDENCYPART_ARC
(15,11),-0.255874 # DEPENDENCYPART_ARC
(15,12),0.775407 # DEPENDENCYPART_ARC
(15,13),0.019989 # DEPENDENCYPART_ARC
(15,14),0.387143 # DEPENDENCYPART_ARC
(15,16),1.29134 # DEPENDENCYPART_ARC
(15,17),1.50639 # DEPENDENCYPART_ARC
(15,18),0.417109 # DEPENDENCYPART_ARC
(15,19),0.411792 # DEPENDENCYPART_ARC
(15,20),3.4464 # DEPENDENCYPART_ARC
(15,21),0.507145 # DEPENDENCYPART_ARC
(15,22),0.0487441 # DEPENDENCYPART_ARC
(15,23),-1.73556 # DEPENDENCYPART_ARC
(15,24),-1.05066 # DEPENDENCYPART_ARC
(15,25),-1.01531 # DEPENDENCYPART_ARC
(15,26),-0.183224 # DEPENDENCYPART_ARC
(15,27),-0.2365 # DEPENDENCYPART_ARC
(15,28),-2.51263 # DEPENDENCYPART_ARC
(15,29),0.0393877 # DEPENDENCYPART_ARC
(16,1),-1.91577 # DEPENDENCYPART_ARC
(16,2),-0.770364 # DEPENDENCYPART_ARC
(16,3),-0.957437 # DEPENDENCYPART_ARC
(16,4),-2.20804 # DEPENDENCYPART_ARC
(16,5),-0.943867 # DEPENDENCYPART_ARC
(16,6),-1.32215 # DEPENDENCYPART_ARC
(16,7),-1.31617 # DEPENDENCYPART_ARC
(16,8),-1.29502 # DEPENDENCYPART_ARC
(16,9),-1.02223 # DEPENDENCYPART_ARC
(16,10),-0.686818 # DEPENDENCYPART_ARC
(16,11),-0.918556 # DEPENDENCYPART_ARC
(16,12),0.322529 # DEPENDENCYPART_ARC
(16,13),0.371073 # DEPENDENCYPART_ARC
(16,14),-0.348853 # DEPENDENCYPART_ARC
(16,15),1.35385 # DEPENDENCYPART_ARC
(16,17),1.25663 # DEPENDENCYPART_ARC
(16,18),2.10284 # DEPENDENCYPART_ARC
(16,19),1.64044 # DEPENDENCYPART_ARC
(16,20),0.438859 # DEPENDENCYPART_ARC
(16,21),0.0922006 # DEPENDENCYPART_ARC
(16,22),-0.181461 # DEPENDENCYPART_ARC
(16,23),0.0307573 # DEPENDENCYPART_ARC
(16,24),-0.503007 # DEPENDENCYPART_ARC
(16,25),-0.992979 # DEPENDENCYPART_ARC
(16,26),-0.845622 # DEPENDENCYPART_ARC
(16,27),0.152672 # DEPENDENCYPART_ARC
(16,28),-1.50102 # DEPENDENCYPART_ARC
(16,29),-1.06529 # DEPENDENCYPART_ARC
(17,1),-1.2934 # DEPENDENCYPART_ARC
(17,2),0.884608 # DEPENDENCYPART_ARC
(17,3),-0.861249 # DEPENDENCYPART_ARC
(17,4),-1.81403 # DEPENDENCYPART_ARC
(17,5),-1.04737 # DEPENDENCYPART_ARC
(17,6),-1.30125 # DEPENDENCYPART_ARC
(17,7),-1.48923 # DEPENDENCYPART_ARC
(17,8),-1.43418 # DEPENDENCYPART_ARC
(17,9),-0.819717 # DEPENDENCYPART_ARC
(17,10),-0.27462 # DEPENDENCYPART_ARC
(17,11),-0.446235 # DEPENDENCYPART_ARC
(17,12),1.51354 # DEPENDENCYPART_ARC
(17,13),1.30051 # DEPENDENCYPART_ARC
(17,14),0.336749 # DEPENDENCYPART_ARC
(17,15),1.54629 # DEPENDENCYPART_ARC
(17,16),3.99717 # DEPENDENCYPART_ARC
(17,18),4.26107 # DEPENDENCYPART_ARC
(17,19),4.7469 # DEPENDENCYPART_ARC
(17,20),1.15796 # DEPENDENCYPART_ARC
(17,21),2.01331 # DEPENDENCYPART_ARC
(17,22),0.900121 # DEPENDENCYPART_ARC
(17,23),0.0108754 # DEPENDENCYPART_ARC
(17,24),0.626425 # DEPENDENCYPART_ARC
(17,25),-0.291343 # DEPENDENCYPART_ARC
(17,26),0.398719 # DEPENDENCYPART_ARC
(17,27),0.578988 # DEPENDENCYPART_ARC
(17,28),-0.5118 # DEPENDENCYPART_ARC
(17,29),1.54689 # DEPENDENCYPART_ARC
(18,1),-2.44435 # DEPENDENCYPART_ARC
(18,2),-2.22908 # DEPENDENCYPART_ARC
(18,3),-1.8599 # DEPENDENCYPART_ARC
(18,4),-3.24841 # DEPENDENCYPART_ARC
