# _root_ Mr. Fromstein disclosed the planned steps , expected within a few months , as Blue Arrow posted a 2.5 % drop in its third-quarter pretax earnings .
#goldHeads=2,3,0,6,6,3,6,6,8,12,12,9,6,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
#predictedHeads=2,3,0,6,6,3,6,6,8,12,12,9,17,3,16,17,14,21,20,21,17,21,26,26,26,22,3,
(1,7),-0.858638 # DEPENDENCYPART_ARC
(1,8),-1.79512 # DEPENDENCYPART_ARC
(1,9),-3.21826 # DEPENDENCYPART_ARC
(1,10),-2.17807 # DEPENDENCYPART_ARC
(1,11),-2.35816 # DEPENDENCYPART_ARC
(1,12),-2.19946 # DEPENDENCYPART_ARC
(1,13),-1.45922 # DEPENDENCYPART_ARC
(1,14),-3.03016 # DEPENDENCYPART_ARC
(1,15),-4.30834 # DEPENDENCYPART_ARC
(1,16),-3.06091 # DEPENDENCYPART_ARC
(1,17),-2.6364 # DEPENDENCYPART_ARC
(1,18),-3.31981 # DEPENDENCYPART_ARC
(1,19),-4.26354 # DEPENDENCYPART_ARC
(1,20),-4.58903 # DEPENDENCYPART_ARC
(1,21),-5.06003 # DEPENDENCYPART_ARC
(1,22),-4.98827 # DEPENDENCYPART_ARC
(1,23),-4.10809 # DEPENDENCYPART_ARC
(1,24),-4.02905 # DEPENDENCYPART_ARC
(1,25),-3.97787 # DEPENDENCYPART_ARC
(1,26),-4.21856 # DEPENDENCYPART_ARC
(1,27),-2.29666 # DEPENDENCYPART_ARC
(2,1),4.9637 # DEPENDENCYPART_ARC
(2,3),0.300959 # DEPENDENCYPART_ARC
(2,4),-0.14306 # DEPENDENCYPART_ARC
(2,5),-0.435931 # DEPENDENCYPART_ARC
(2,6),-0.459759 # DEPENDENCYPART_ARC
(2,7),0.309541 # DEPENDENCYPART_ARC
(2,8),-0.546475 # DEPENDENCYPART_ARC
(2,9),-1.72531 # DEPENDENCYPART_ARC
(2,10),-1.33781 # DEPENDENCYPART_ARC
(2,11),-1.42587 # DEPENDENCYPART_ARC
(2,12),-1.2572 # DEPENDENCYPART_ARC
(2,13),-0.176872 # DEPENDENCYPART_ARC
(2,14),-1.86871 # DEPENDENCYPART_ARC
(2,15),-3.3581 # DEPENDENCYPART_ARC
(2,16),-2.53955 # DEPENDENCYPART_ARC
(2,17),-2.10644 # DEPENDENCYPART_ARC
(2,18),-2.36842 # DEPENDENCYPART_ARC
(2,19),-3.28239 # DEPENDENCYPART_ARC
(2,20),-3.79657 # DEPENDENCYPART_ARC
(2,21),-4.13448 # DEPENDENCYPART_ARC
(2,22),-3.86927 # DEPENDENCYPART_ARC
(2,23),-3.06725 # DEPENDENCYPART_ARC
(2,24),-3.01835 # DEPENDENCYPART_ARC
(2,25),-2.89575 # DEPENDENCYPART_ARC
(2,26),-3.41565 # DEPENDENCYPART_ARC
(2,27),-0.46417 # DEPENDENCYPART_ARC
(3,1),2.03839 # DEPENDENCYPART_ARC
(3,2),3.04824 # DEPENDENCYPART_ARC
(3,4),1.52991 # DEPENDENCYPART_ARC
(3,5),1.91735 # DEPENDENCYPART_ARC
(3,6),2.22333 # DEPENDENCYPART_ARC
(3,7),2.26565 # DEPENDENCYPART_ARC
(3,8),0.732192 # DEPENDENCYPART_ARC
(3,9),1.3626 # DEPENDENCYPART_ARC
(3,10),-0.166976 # DEPENDENCYPART_ARC
(3,11),-0.786218 # DEPENDENCYPART_ARC
(3,12),-0.0164285 # DEPENDENCYPART_ARC
(3,13),1.66236 # DEPENDENCYPART_ARC
(3,14),1.64727 # DEPENDENCYPART_ARC
(3,15),-1.76261 # DEPENDENCYPART_ARC
(3,16),-1.37466 # DEPENDENCYPART_ARC
(3,17),1.27456 # DEPENDENCYPART_ARC
(3,18),-1.44775 # DEPENDENCYPART_ARC
(3,19),-0.596963 # DEPENDENCYPART_ARC
(3,20),-1.87313 # DEPENDENCYPART_ARC
(3,21),0.051735 # DEPENDENCYPART_ARC
(3,22),-0.618434 # DEPENDENCYPART_ARC
(3,23),-1.92047 # DEPENDENCYPART_ARC
(3,24),-1.57763 # DEPENDENCYPART_ARC
(3,25),-2.0555 # DEPENDENCYPART_ARC
(3,26),-2.6163 # DEPENDENCYPART_ARC
(3,27),5.60692 # DEPENDENCYPART_ARC
(4,1),-1.22497 # DEPENDENCYPART_ARC
(4,2),-1.07841 # DEPENDENCYPART_ARC
(4,3),-0.471865 # DEPENDENCYPART_ARC
(4,5),0.426774 # DEPENDENCYPART_ARC
(4,6),-0.248661 # DEPENDENCYPART_ARC
(4,7),-0.0216466 # DEPENDENCYPART_ARC
(4,8),-0.591454 # DEPENDENCYPART_ARC
(4,9),-0.997487 # DEPENDENCYPART_ARC
(4,10),-1.79488 # DEPENDENCYPART_ARC
(4,11),-1.6197 # DEPENDENCYPART_ARC
(4,12),-1.41039 # DEPENDENCYPART_ARC
(4,13),-0.182449 # DEPENDENCYPART_ARC
(4,14),-1.43677 # DEPENDENCYPART_ARC
(4,15),-2.25703 # DEPENDENCYPART_ARC
(4,16),-2.33652 # DEPENDENCYPART_ARC
(4,17),-2.30819 # DEPENDENCYPART_ARC
(4,18),-2.886 # DEPENDENCYPART_ARC
(4,19),-2.29046 # DEPENDENCYPART_ARC
(4,20),-2.45988 # DEPENDENCYPART_ARC
(4,21),-2.46676 # DEPENDENCYPART_ARC
(4,22),-3.47218 # DEPENDENCYPART_ARC
(4,23),-3.21466 # DEPENDENCYPART_ARC
(4,24),-3.13995 # DEPENDENCYPART_ARC
(4,25),-3.26881 # DEPENDENCYPART_ARC
(4,26),-2.97849 # DEPENDENCYPART_ARC
(4,27),-1.15954 # DEPENDENCYPART_ARC
(5,1),-0.111349 # DEPENDENCYPART_ARC
(5,2),0.0474393 # DEPENDENCYPART_ARC
(5,3),-0.51221 # DEPENDENCYPART_ARC
(5,4),1.0794 # DEPENDENCYPART_ARC
(5,6),1.46445 # DEPENDENCYPART_ARC
(5,7),0.165261 # DEPENDENCYPART_ARC
(5,8),0.253951 # DEPENDENCYPART_ARC
(5,9),-0.0674748 # DEPENDENCYPART_ARC
(5,10),-1.6349 # DEPENDENCYPART_ARC
(5,11),-1.5321 # DEPENDENCYPART_ARC
(5,12),-1.39424 # DEPENDENCYPART_ARC
(5,13),-0.126928 # DEPENDENCYPART_ARC
(5,14),-1.00068 # DEPENDENCYPART_ARC
(5,15),-2.59318 # DEPENDENCYPART_ARC
(5,16),-2.32396 # DEPENDENCYPART_ARC
(5,17),-1.24834 # DEPENDENCYPART_ARC
(5,18),-2.32319 # DEPENDENCYPART_ARC
(5,19),-2.17653 # DEPENDENCYPART_ARC
(5,20),-3.56037 # DEPENDENCYPART_ARC
(5,21),-3.2382 # DEPENDENCYPART_ARC
(5,22),-3.61806 # DEPENDENCYPART_ARC
(5,23),-3.15984 # DEPENDENCYPART_ARC
(5,24),-2.63422 # DEPENDENCYPART_ARC
(5,25),-2.83723 # DEPENDENCYPART_ARC
(5,26),-4.904 # DEPENDENCYPART_ARC
(5,27),1.02318 # DEPENDENCYPART_ARC
(6,1),0.362324 # DEPENDENCYPART_ARC
(6,2),0.280218 # DEPENDENCYPART_ARC
(6,3),0.423938 # DEPENDENCYPART_ARC
(6,4),3.61305 # DEPENDENCYPART_ARC
(6,5),3.70596 # DEPENDENCYPART_ARC
(6,7),2.34607 # DEPENDENCYPART_ARC
(6,8),1.98838 # DEPENDENCYPART_ARC
(6,9),1.48081 # DEPENDENCYPART_ARC
(6,10),0.441668 # DEPENDENCYPART_ARC
(6,11),0.772201 # DEPENDENCYPART_ARC
(6,12),1.87453 # DEPENDENCYPART_ARC
(6,13),1.68477 # DEPENDENCYPART_ARC
(6,14),1.05183 # DEPENDENCYPART_ARC
(6,15),-0.101837 # DEPENDENCYPART_ARC
(6,16),-0.0516304 # DEPENDENCYPART_ARC
(6,17),0.629667 # DEPENDENCYPART_ARC
(6,18),-0.201401 # DEPENDENCYPART_ARC
(6,19),-0.360729 # DEPENDENCYPART_ARC
(6,20),-0.0533066 # DEPENDENCYPART_ARC
(6,21),-0.60444 # DEPENDENCYPART_ARC
(6,22),-1.77759 # DEPENDENCYPART_ARC
(6,23),-1.16904 # DEPENDENCYPART_ARC
(6,24),-0.506592 # DEPENDENCYPART_ARC
(6,25),-0.68365 # DEPENDENCYPART_ARC
(6,26),-0.378382 # DEPENDENCYPART_ARC
(6,27),-0.741064 # DEPENDENCYPART_ARC
(7,1),-1.84124 # DEPENDENCYPART_ARC
(7,2),-1.9451 # DEPENDENCYPART_ARC
(7,3),-1.27815 # DEPENDENCYPART_ARC
(7,4),-0.586899 # DEPENDENCYPART_ARC
(7,5),-0.965963 # DEPENDENCYPART_ARC
(7,6),-1.02721 # DEPENDENCYPART_ARC
(7,8),-0.348868 # DEPENDENCYPART_ARC
(7,9),-1.14185 # DEPENDENCYPART_ARC
(7,10),-1.55753 # DEPENDENCYPART_ARC
(7,11),-1.64925 # DEPENDENCYPART_ARC
(7,12),-1.93 # DEPENDENCYPART_ARC
(7,13),0.0766703 # DEPENDENCYPART_ARC
(7,14),-1.62362 # DEPENDENCYPART_ARC
(7,15),-2.25581 # DEPENDENCYPART_ARC
(7,16),-2.34697 # DEPENDENCYPART_ARC
(7,17),-1.91964 # DEPENDENCYPART_ARC
(7,18),-2.56756 # DEPENDENCYPART_ARC
(7,19),-2.99156 # DEPENDENCYPART_ARC
(7,20),-3.08605 # DEPENDENCYPART_ARC
(7,21),-3.26571 # DEPENDENCYPART_ARC
(7,22),-2.36123 # DEPENDENCYPART_ARC
(7,23),-3.22356 # DEPENDENCYPART_ARC
(7,24),-3.2765 # DEPENDENCYPART_ARC
(7,25),-3.40418 # DEPENDENCYPART_ARC
(7,26),-3.71187 # DEPENDENCYPART_ARC
(7,27),-2.64696 # DEPENDENCYPART_ARC
(8,1),-0.0899742 # DEPENDENCYPART_ARC
(8,2),-0.134081 # DEPENDENCYPART_ARC
(8,3),-0.672841 # DEPENDENCYPART_ARC
(8,4),0.2888 # DEPENDENCYPART_ARC
(8,5),-0.0218367 # DEPENDENCYPART_ARC
(8,6),-0.156146 # DEPENDENCYPART_ARC
(8,7),0.602073 # DEPENDENCYPART_ARC
(8,9),3.6174 # DEPENDENCYPART_ARC
(8,10),0.397954 # DEPENDENCYPART_ARC
(8,11),0.275136 # DEPENDENCYPART_ARC
(8,12),0.905291 # DEPENDENCYPART_ARC
(8,13),1.48524 # DEPENDENCYPART_ARC
(8,14),1.51367 # DEPENDENCYPART_ARC
(8,15),-0.724609 # DEPENDENCYPART_ARC
(8,16),-0.252627 # DEPENDENCYPART_ARC
(8,17),0.3027 # DEPENDENCYPART_ARC
(8,18),-0.70822 # DEPENDENCYPART_ARC
(8,19),-0.665383 # DEPENDENCYPART_ARC
(8,20),-1.06812 # DEPENDENCYPART_ARC
(8,21),-0.534162 # DEPENDENCYPART_ARC
(8,22),-1.13484 # DEPENDENCYPART_ARC
(8,23),-1.52636 # DEPENDENCYPART_ARC
(8,24),-1.17536 # DEPENDENCYPART_ARC
(8,25),-1.43769 # DEPENDENCYPART_ARC
(8,26),-2.9973 # DEPENDENCYPART_ARC
(8,27),0.93921 # DEPENDENCYPART_ARC
(9,1),-1.19448 # DEPENDENCYPART_ARC
(9,2),-1.20084 # DEPENDENCYPART_ARC
(9,3),-0.836125 # DEPENDENCYPART_ARC
(9,4),-0.53249 # DEPENDENCYPART_ARC
(9,5),-0.681151 # DEPENDENCYPART_ARC
(9,6),-0.475092 # DEPENDENCYPART_ARC
(9,7),-0.244362 # DEPENDENCYPART_ARC
(9,8),0.231424 # DEPENDENCYPART_ARC
(9,10),0.904757 # DEPENDENCYPART_ARC
(9,11),1.90731 # DEPENDENCYPART_ARC
(9,12),3.78774 # DEPENDENCYPART_ARC
(9,13),1.12408 # DEPENDENCYPART_ARC
(9,14),0.577541 # DEPENDENCYPART_ARC
(9,15),-1.19791 # DEPENDENCYPART_ARC
(9,16),0.26448 # DEPENDENCYPART_ARC
(9,17),0.786644 # DEPENDENCYPART_ARC
(9,18),-1.878 # DEPENDENCYPART_ARC
(9,19),-1.86123 # DEPENDENCYPART_ARC
(9,20),-4.13957 # DEPENDENCYPART_ARC
(9,21),-0.516722 # DEPENDENCYPART_ARC
(9,22),-1.0515 # DEPENDENCYPART_ARC
(9,23),-1.29058 # DEPENDENCYPART_ARC
(9,24),-1.85407 # DEPENDENCYPART_ARC
(9,25),-1.23654 # DEPENDENCYPART_ARC
(9,26),-3.74201 # DEPENDENCYPART_ARC
(9,27),0.151141 # DEPENDENCYPART_ARC
(10,1),-2.47344 # DEPENDENCYPART_ARC
(10,2),-2.47185 # DEPENDENCYPART_ARC
(10,3),-2.19908 # DEPENDENCYPART_ARC
(10,4),-1.3993 # DEPENDENCYPART_ARC
(10,5),-2.06226 # DEPENDENCYPART_ARC
(10,6),-1.83543 # DEPENDENCYPART_ARC
(10,7),-1.21201 # DEPENDENCYPART_ARC
(10,8),-1.21136 # DEPENDENCYPART_ARC
(10,9),-0.0404236 # DEPENDENCYPART_ARC
(10,11),0.273843 # DEPENDENCYPART_ARC
(10,12),-0.532971 # DEPENDENCYPART_ARC
(10,13),-0.401507 # DEPENDENCYPART_ARC
(10,14),-0.628185 # DEPENDENCYPART_ARC
(10,15),-1.18478 # DEPENDENCYPART_ARC
(10,16),-1.39533 # DEPENDENCYPART_ARC
(10,17),-1.39075 # DEPENDENCYPART_ARC
(10,18),-2.26333 # DEPENDENCYPART_ARC
(10,19),-1.48871 # DEPENDENCYPART_ARC
(10,20),-1.70897 # DEPENDENCYPART_ARC
(10,21),-1.8616 # DEPENDENCYPART_ARC
(10,22),-2.60665 # DEPENDENCYPART_ARC
(10,23),-2.78413 # DEPENDENCYPART_ARC
(10,24),-2.6192 # DEPENDENCYPART_ARC
(10,25),-2.67461 # DEPENDENCYPART_ARC
(10,26),-2.75542 # DEPENDENCYPART_ARC
(10,27),-1.51306 # DEPENDENCYPART_ARC
(11,1),-1.57789 # DEPENDENCYPART_ARC
(11,2),-2.11871 # DEPENDENCYPART_ARC
(11,3),-1.95483 # DEPENDENCYPART_ARC
(11,4),-0.492635 # DEPENDENCYPART_ARC
(11,5),-1.36138 # DEPENDENCYPART_ARC
(11,6),-1.00903 # DEPENDENCYPART_ARC
(11,7),-0.597035 # DEPENDENCYPART_ARC
(11,8),-0.598997 # DEPENDENCYPART_ARC
(11,9),0.807276 # DEPENDENCYPART_ARC
(11,10),2.58797 # DEPENDENCYPART_ARC
(11,12),0.784206 # DEPENDENCYPART_ARC
(11,13),-0.0252457 # DEPENDENCYPART_ARC
(11,14),-0.222655 # DEPENDENCYPART_ARC
(11,15),-0.477836 # DEPENDENCYPART_ARC
(11,16),-0.665067 # DEPENDENCYPART_ARC
(11,17),-0.550343 # DEPENDENCYPART_ARC
(11,18),-1.43142 # DEPENDENCYPART_ARC
(11,19),-1.9546 # DEPENDENCYPART_ARC
(11,20),-1.30862 # DEPENDENCYPART_ARC
(11,21),-1.65081 # DEPENDENCYPART_ARC
(11,22),-1.61002 # DEPENDENCYPART_ARC
(11,23),-2.17762 # DEPENDENCYPART_ARC
(11,24),-1.66055 # DEPENDENCYPART_ARC
(11,25),-1.80484 # DEPENDENCYPART_ARC
(11,26),-2.16297 # DEPENDENCYPART_ARC
(11,27),-0.430477 # DEPENDENCYPART_ARC
(12,1),-3.14889 # DEPENDENCYPART_ARC
(12,2),-2.85369 # DEPENDENCYPART_ARC
(12,3),-0.773466 # DEPENDENCYPART_ARC
(12,4),-0.456623 # DEPENDENCYPART_ARC
(12,5),0.316226 # DEPENDENCYPART_ARC
(12,6),-0.979319 # DEPENDENCYPART_ARC
(12,7),-0.296576 # DEPENDENCYPART_ARC
(12,8),0.15286 # DEPENDENCYPART_ARC
(12,9),0.553057 # DEPENDENCYPART_ARC
(12,10),4.38398 # DEPENDENCYPART_ARC
(12,11),4.60204 # DEPENDENCYPART_ARC
(12,13),0.593534 # DEPENDENCYPART_ARC
(12,14),0.747718 # DEPENDENCYPART_ARC
(12,15),-0.285513 # DEPENDENCYPART_ARC
(12,16),-0.350275 # DEPENDENCYPART_ARC
(12,17),0.526093 # DEPENDENCYPART_ARC
(12,18),-0.54743 # DEPENDENCYPART_ARC
(12,19),-0.77007 # DEPENDENCYPART_ARC
(12,20),-0.952441 # DEPENDENCYPART_ARC
(12,21),-1.21962 # DEPENDENCYPART_ARC
(12,22),-1.38259 # DEPENDENCYPART_ARC
(12,23),-1.6573 # DEPENDENCYPART_ARC
(12,24),-1.43537 # DEPENDENCYPART_ARC
(12,25),-1.56801 # DEPENDENCYPART_ARC
(12,26),-1.3962 # DEPENDENCYPART_ARC
(12,27),-0.351286 # DEPENDENCYPART_ARC
(13,1),-2.39401 # DEPENDENCYPART_ARC
(13,2),-2.30569 # DEPENDENCYPART_ARC
(13,3),-1.2815 # DEPENDENCYPART_ARC
(13,4),-1.316 # DEPENDENCYPART_ARC
(13,5),-1.2995 # DEPENDENCYPART_ARC
(13,6),-1.7461 # DEPENDENCYPART_ARC
(13,7),0.285058 # DEPENDENCYPART_ARC
(13,8),-1.08988 # DEPENDENCYPART_ARC
(13,9),-1.1387 # DEPENDENCYPART_ARC
(13,10),-0.373808 # DEPENDENCYPART_ARC
(13,11),-0.985242 # DEPENDENCYPART_ARC
(13,12),-0.89077 # DEPENDENCYPART_ARC
(13,14),-0.925181 # DEPENDENCYPART_ARC
(13,15),-1.1577 # DEPENDENCYPART_ARC
(13,16),-1.42003 # DEPENDENCYPART_ARC
(13,17),-1.4837 # DEPENDENCYPART_ARC
(13,18),-2.2685 # DEPENDENCYPART_ARC
(13,19),-2.60941 # DEPENDENCYPART_ARC
(13,20),-2.64635 # DEPENDENCYPART_ARC
(13,21),-2.84656 # DEPENDENCYPART_ARC
(13,22),-2.14975 # DEPENDENCYPART_ARC
(13,23),-2.94565 # DEPENDENCYPART_ARC
(13,24),-2.93105 # DEPENDENCYPART_ARC
(13,25),-3.07158 # DEPENDENCYPART_ARC
(13,26),-3.28898 # DEPENDENCYPART_ARC
(13,27),-2.29819 # DEPENDENCYPART_ARC
(14,1),-1.88205 # DEPENDENCYPART_ARC
(14,2),-2.03446 # DEPENDENCYPART_ARC
(14,3),-1.56922 # DEPENDENCYPART_ARC
(14,4),-1.21426 # DEPENDENCYPART_ARC
(14,5),-1.1085 # DEPENDENCYPART_ARC
(14,6),-0.945338 # DEPENDENCYPART_ARC
(14,7),-0.762267 # DEPENDENCYPART_ARC
(14,8),-0.817764 # DEPENDENCYPART_ARC
(14,9),-0.584873 # DEPENDENCYPART_ARC
(14,10),-0.337544 # DEPENDENCYPART_ARC
(14,11),0.437709 # DEPENDENCYPART_ARC
(14,12),-0.311864 # DEPENDENCYPART_ARC
(14,13),1.09609 # DEPENDENCYPART_ARC
(14,15),1.4278 # DEPENDENCYPART_ARC
(14,16),1.61917 # DEPENDENCYPART_ARC
(14,17),4.65479 # DEPENDENCYPART_ARC
(14,18),-1.11845 # DEPENDENCYPART_ARC
(14,19),-0.652381 # DEPENDENCYPART_ARC
(14,20),-3.90521 # DEPENDENCYPART_ARC
(14,21),-1.02665 # DEPENDENCYPART_ARC
(14,22),-0.637843 # DEPENDENCYPART_ARC
(14,23),-1.09131 # DEPENDENCYPART_ARC
(14,24),-1.22187 # DEPENDENCYPART_ARC
(14,25),-1.3054 # DEPENDENCYPART_ARC
(14,26),-3.42333 # DEPENDENCYPART_ARC
(14,27),0.315722 # DEPENDENCYPART_ARC
(15,1),-7.15705 # DEPENDENCYPART_ARC
(15,2),-8.30492 # DEPENDENCYPART_ARC
(15,3),-4.23333 # DEPENDENCYPART_ARC
(15,4),-4.54974 # DEPENDENCYPART_ARC
(15,5),-3.32857 # DEPENDENCYPART_ARC
(15,6),-4.19962 # DEPENDENCYPART_ARC
(15,7),-3.45476 # DEPENDENCYPART_ARC
(15,8),-3.48908 # DEPENDENCYPART_ARC
(15,9),-2.42658 # DEPENDENCYPART_ARC
(15,10),-0.929807 # DEPENDENCYPART_ARC
(15,11),-1.34571 # DEPENDENCYPART_ARC
(15,12),-2.2189 # DEPENDENCYPART_ARC
(15,13),-1.47532 # DEPENDENCYPART_ARC
(15,14),-0.889544 # DEPENDENCYPART_ARC
(15,16),2.1895 # DEPENDENCYPART_ARC
(15,17),-1.34386 # DEPENDENCYPART_ARC
(15,18),-1.51428 # DEPENDENCYPART_ARC
(15,19),-1.27529 # DEPENDENCYPART_ARC
(15,20),-2.16742 # DEPENDENCYPART_ARC
(15,21),-1.80245 # DEPENDENCYPART_ARC
(15,22),-2.25259 # DEPENDENCYPART_ARC
(15,23),-2.67775 # DEPENDENCYPART_ARC
(15,24),-2.0937 # DEPENDENCYPART_ARC
(15,25),-2.08143 # DEPENDENCYPART_ARC
(15,26),-2.49091 # DEPENDENCYPART_ARC
(15,27),-1.48064 # DEPENDENCYPART_ARC
(16,1),-5.19243 # DEPENDENCYPART_ARC
(16,2),-6.71681 # DEPENDENCYPART_ARC
(16,3),-2.83335 # DEPENDENCYPART_ARC
(16,4),-2.68758 # DEPENDENCYPART_ARC
(16,5),-1.87129 # DEPENDENCYPART_ARC
(16,6),-2.70302 # DEPENDENCYPART_ARC
(16,7),-1.59689 # DEPENDENCYPART_ARC
(16,8),-2.0833 # DEPENDENCYPART_ARC
(16,9),-1.30523 # DEPENDENCYPART_ARC
(16,10),0.186297 # DEPENDENCYPART_ARC
(16,11),0.157241 # DEPENDENCYPART_ARC
(16,12),-1.03538 # DEPENDENCYPART_ARC
(16,13),-0.245927 # DEPENDENCYPART_ARC
(16,14),-0.0838221 # DEPENDENCYPART_ARC
(16,15),4.72056 # DEPENDENCYPART_ARC
(16,17),-0.00449359 # DEPENDENCYPART_ARC
(16,18),-0.635439 # DEPENDENCYPART_ARC
(16,19),-0.451704 # DEPENDENCYPART_ARC
(16,20),-1.30078 # DEPENDENCYPART_ARC
(16,21),-1.00313 # DEPENDENCYPART_ARC
(16,22),-1.3103 # DEPENDENCYPART_ARC
(16,23),-1.79054 # DEPENDENCYPART_ARC
(16,24),-1.34091 # DEPENDENCYPART_ARC
(16,25),-1.23704 # DEPENDENCYPART_ARC
(16,26),-1.64741 # DEPENDENCYPART_ARC
(16,27),-0.364727 # DEPENDENCYPART_ARC
(17,1),0.777429 # DEPENDENCYPART_ARC
(17,2),1.28929 # DEPENDENCYPART_ARC
(17,3),-0.00245313 # DEPENDENCYPART_ARC
(17,4),-1.34618 # DEPENDENCYPART_ARC
(17,5),0.444894 # DEPENDENCYPART_ARC
(17,6),-0.146722 # DEPENDENCYPART_ARC
(17,7),1.75993 # DEPENDENCYPART_ARC
(17,8),0.788402 # DEPENDENCYPART_ARC
(17,9),1.09034 # DEPENDENCYPART_ARC
(17,10),0.378082 # DEPENDENCYPART_ARC
(17,11),1.17473 # DEPENDENCYPART_ARC
(17,12),0.0117381 # DEPENDENCYPART_ARC
(17,13),2.05002 # DEPENDENCYPART_ARC
(17,14),1.66712 # DEPENDENCYPART_ARC
(17,15),1.53741 # DEPENDENCYPART_ARC
(17,16),2.82242 # DEPENDENCYPART_ARC
(17,18),1.45107 # DEPENDENCYPART_ARC
(17,19),1.27847 # DEPENDENCYPART_ARC
(17,20),1.73302 # DEPENDENCYPART_ARC
(17,21),2.95495 # DEPENDENCYPART_ARC
(17,22),2.24637 # DEPENDENCYPART_ARC
(17,23),-0.409617 # DEPENDENCYPART_ARC
(17,24),0.309649 # DEPENDENCYPART_ARC
(17,25),-0.150484 # DEPENDENCYPART_ARC
(17,26),1.05415 # DEPENDENCYPART_ARC
(17,27),4.95662 # DEPENDENCYPART_ARC
(18,1),-2.46823 # DEPENDENCYPART_ARC
(18,2),-2.46209 # DEPENDENCYPART_ARC
(18,3),-2.31856 # DEPENDENCYPART_ARC
(18,4),-1.50407 # DEPENDENCYPART_ARC
(18,5),-2.1034 # DEPENDENCYPART_ARC
(18,6),-2.24451 # DEPENDENCYPART_ARC
(18,7),-1.85686 # DEPENDENCYPART_ARC
(18,8),-1.8326 # DEPENDENCYPART_ARC
(18,9),-0.886347 # DEPENDENCYPART_ARC
(18,10),-0.827684 # DEPENDENCYPART_ARC
(18,11),-1.41215 # DEPENDENCYPART_ARC
(18,12),-1.45969 # DEPENDENCYPART_ARC
(18,13),-1.02012 # DEPENDENCYPART_ARC
(18,14),-0.40873 # DEPENDENCYPART_ARC
(18,15),-0.580386 # DEPENDENCYPART_ARC
(18,16),-0.553814 # DEPENDENCYPART_ARC
(18,17),0.102488 # DEPENDENCYPART_ARC
(18,19),2.2806 # DEPENDENCYPART_ARC
(18,20),0.563896 # DEPENDENCYPART_ARC
(18,21),0.270465 # DEPENDENCYPART_ARC
(18,22),-0.19061 # DEPENDENCYPART_ARC
(18,23),-0.793354 # DEPENDENCYPART_ARC
(18,24),-0.623633 # DEPENDENCYPART_ARC
(18,25),-0.73891 # DEPENDENCYPART_ARC
(18,26),-0.782095 # DEPENDENCYPART_ARC
(18,27),-0.130013 # DEPENDENCYPART_ARC
(19,1),-2.99966 # DEPENDENCYPART_ARC
(19,2),-2.92896 # DEPENDENCYPART_ARC
(19,3),-2.83427 # DEPENDENCYPART_ARC
(19,4),-1.83696 # DEPENDENCYPART_ARC
(19,5),-2.22856 # DEPENDENCYPART_ARC
(19,6),-2.51755 # DEPENDENCYPART_ARC
(19,7),-2.56355 # DEPENDENCYPART_ARC
(19,8),-2.03618 # DEPENDENCYPART_ARC
(19,9),-1.87859 # DEPENDENCYPART_ARC
(19,10),-0.990877 # DEPENDENCYPART_ARC
(19,11),-1.44078 # DEPENDENCYPART_ARC
(19,12),-1.75633 # DEPENDENCYPART_ARC
(19,13),-1.77633 # DEPENDENCYPART_ARC
