# _root_ In a stark lesson in the power of the appropriations committees , the House deliberately killed a handful of projects backed by lawmakers in Florida , Illinois and Pennsylvania who had voted against the panel leadership on the House floor .
#goldHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,23,31,32,36,36,33,32,40,40,37,16,
#predictedHeads=16,4,4,1,4,7,5,7,11,11,8,16,14,16,16,0,18,16,18,19,20,21,22,23,24,25,25,27,28,31,18,31,32,36,36,33,36,40,40,37,16,
(0,32),-4.56575 # DEPENDENCYPART_ARC
(0,33),-11.5548 # DEPENDENCYPART_ARC
(0,34),-10.8246 # DEPENDENCYPART_ARC
(0,35),-7.17935 # DEPENDENCYPART_ARC
(0,36),-6.95553 # DEPENDENCYPART_ARC
(0,37),-12.9617 # DEPENDENCYPART_ARC
(0,38),-11.1977 # DEPENDENCYPART_ARC
(0,39),-8.4237 # DEPENDENCYPART_ARC
(0,40),-7.08956 # DEPENDENCYPART_ARC
(0,41),-5.69601 # DEPENDENCYPART_ARC
(1,2),0.867364 # DEPENDENCYPART_ARC
(1,3),1.59345 # DEPENDENCYPART_ARC
(1,4),3.40569 # DEPENDENCYPART_ARC
(1,5),0.51883 # DEPENDENCYPART_ARC
(1,6),-1.09637 # DEPENDENCYPART_ARC
(1,7),-0.378194 # DEPENDENCYPART_ARC
(1,8),-0.479817 # DEPENDENCYPART_ARC
(1,9),-1.48669 # DEPENDENCYPART_ARC
(1,10),-2.7809 # DEPENDENCYPART_ARC
(1,11),-2.81594 # DEPENDENCYPART_ARC
(1,12),0.691186 # DEPENDENCYPART_ARC
(1,13),-2.68784 # DEPENDENCYPART_ARC
(1,14),-4.82237 # DEPENDENCYPART_ARC
(1,15),-1.02274 # DEPENDENCYPART_ARC
(1,16),-0.488606 # DEPENDENCYPART_ARC
(1,17),-3.33073 # DEPENDENCYPART_ARC
(1,18),-8.22177 # DEPENDENCYPART_ARC
(1,19),-2.96107 # DEPENDENCYPART_ARC
(1,20),-10.9302 # DEPENDENCYPART_ARC
(1,21),-0.962866 # DEPENDENCYPART_ARC
(1,22),-1.47443 # DEPENDENCYPART_ARC
(1,23),-12.682 # DEPENDENCYPART_ARC
(1,24),-2.30436 # DEPENDENCYPART_ARC
(1,25),-10.6018 # DEPENDENCYPART_ARC
(1,26),-0.562161 # DEPENDENCYPART_ARC
(1,27),-12.4314 # DEPENDENCYPART_ARC
(1,28),-2.49776 # DEPENDENCYPART_ARC
(1,29),-13.6996 # DEPENDENCYPART_ARC
(1,30),-3.05842 # DEPENDENCYPART_ARC
(1,31),-4.21414 # DEPENDENCYPART_ARC
(1,32),-3.47619 # DEPENDENCYPART_ARC
(1,33),-4.64113 # DEPENDENCYPART_ARC
(1,34),-5.95847 # DEPENDENCYPART_ARC
(1,35),-19.5555 # DEPENDENCYPART_ARC
(1,36),-19.4674 # DEPENDENCYPART_ARC
(1,37),-3.76925 # DEPENDENCYPART_ARC
(1,38),-6.48777 # DEPENDENCYPART_ARC
(1,39),-17.6344 # DEPENDENCYPART_ARC
(1,40),-21.9699 # DEPENDENCYPART_ARC
(1,41),2.5193 # DEPENDENCYPART_ARC
(2,1),-0.888287 # DEPENDENCYPART_ARC
(2,3),0.377765 # DEPENDENCYPART_ARC
(2,4),-0.286348 # DEPENDENCYPART_ARC
(2,5),-0.816819 # DEPENDENCYPART_ARC
(2,6),-1.78868 # DEPENDENCYPART_ARC
(2,7),-0.919734 # DEPENDENCYPART_ARC
(2,8),-0.953471 # DEPENDENCYPART_ARC
(2,9),-2.04426 # DEPENDENCYPART_ARC
(2,10),-1.72899 # DEPENDENCYPART_ARC
(2,11),-1.72155 # DEPENDENCYPART_ARC
(2,12),-0.797519 # DEPENDENCYPART_ARC
(2,13),-2.69015 # DEPENDENCYPART_ARC
(2,14),-2.50085 # DEPENDENCYPART_ARC
(2,15),-2.22018 # DEPENDENCYPART_ARC
(2,16),-3.09404 # DEPENDENCYPART_ARC
(2,17),-3.08805 # DEPENDENCYPART_ARC
(2,18),-2.18721 # DEPENDENCYPART_ARC
(2,19),-2.96872 # DEPENDENCYPART_ARC
(2,20),-2.72039 # DEPENDENCYPART_ARC
(2,21),-2.1619 # DEPENDENCYPART_ARC
(2,22),-3.5843 # DEPENDENCYPART_ARC
(2,23),-2.84007 # DEPENDENCYPART_ARC
(2,24),-4.38601 # DEPENDENCYPART_ARC
(2,25),-3.41312 # DEPENDENCYPART_ARC
(2,26),-1.50338 # DEPENDENCYPART_ARC
(2,27),-3.3616 # DEPENDENCYPART_ARC
(2,28),-4.05393 # DEPENDENCYPART_ARC
(2,29),-3.58822 # DEPENDENCYPART_ARC
(2,30),-4.83046 # DEPENDENCYPART_ARC
(2,31),-6.86574 # DEPENDENCYPART_ARC
(2,32),-3.47928 # DEPENDENCYPART_ARC
(2,33),-5.26423 # DEPENDENCYPART_ARC
(2,34),-5.032 # DEPENDENCYPART_ARC
(2,35),-3.91562 # DEPENDENCYPART_ARC
(2,36),-4.13258 # DEPENDENCYPART_ARC
(2,37),-6.5972 # DEPENDENCYPART_ARC
(2,38),-5.29513 # DEPENDENCYPART_ARC
(2,39),-4.52201 # DEPENDENCYPART_ARC
(2,40),-4.29379 # DEPENDENCYPART_ARC
(2,41),-1.24264 # DEPENDENCYPART_ARC
(3,1),-0.308923 # DEPENDENCYPART_ARC
(3,2),1.7659 # DEPENDENCYPART_ARC
(3,4),1.40202 # DEPENDENCYPART_ARC
(3,5),0.0878412 # DEPENDENCYPART_ARC
(3,6),-0.648125 # DEPENDENCYPART_ARC
(3,7),-0.320087 # DEPENDENCYPART_ARC
(3,8),-0.432318 # DEPENDENCYPART_ARC
(3,9),-1.32915 # DEPENDENCYPART_ARC
(3,10),-0.579743 # DEPENDENCYPART_ARC
(3,11),-0.705702 # DEPENDENCYPART_ARC
(3,12),0.0447907 # DEPENDENCYPART_ARC
(3,13),-1.83004 # DEPENDENCYPART_ARC
(3,14),-1.49852 # DEPENDENCYPART_ARC
(3,15),-1.44104 # DEPENDENCYPART_ARC
(3,16),-0.408871 # DEPENDENCYPART_ARC
(3,17),-1.98726 # DEPENDENCYPART_ARC
(3,18),-1.87864 # DEPENDENCYPART_ARC
(3,19),-2.88605 # DEPENDENCYPART_ARC
(3,20),-1.55153 # DEPENDENCYPART_ARC
(3,21),-1.00649 # DEPENDENCYPART_ARC
(3,22),-2.16983 # DEPENDENCYPART_ARC
(3,23),-2.07692 # DEPENDENCYPART_ARC
(3,24),-3.29084 # DEPENDENCYPART_ARC
(3,25),-2.95846 # DEPENDENCYPART_ARC
(3,26),-0.394507 # DEPENDENCYPART_ARC
(3,27),-3.00504 # DEPENDENCYPART_ARC
(3,28),-1.62411 # DEPENDENCYPART_ARC
(3,29),-3.29228 # DEPENDENCYPART_ARC
(3,30),-3.37101 # DEPENDENCYPART_ARC
(3,31),-1.5148 # DEPENDENCYPART_ARC
(3,32),-2.02735 # DEPENDENCYPART_ARC
(3,33),-4.08422 # DEPENDENCYPART_ARC
(3,34),-4.35637 # DEPENDENCYPART_ARC
(3,35),-3.89477 # DEPENDENCYPART_ARC
(3,36),-4.15471 # DEPENDENCYPART_ARC
(3,37),-4.68234 # DEPENDENCYPART_ARC
(3,38),-5.2149 # DEPENDENCYPART_ARC
(3,39),-4.13252 # DEPENDENCYPART_ARC
(3,40),-4.48987 # DEPENDENCYPART_ARC
(3,41),-0.699859 # DEPENDENCYPART_ARC
(4,1),0.279072 # DEPENDENCYPART_ARC
(4,2),4.61175 # DEPENDENCYPART_ARC
(4,3),4.55154 # DEPENDENCYPART_ARC
(4,5),2.95621 # DEPENDENCYPART_ARC
(4,6),0.679035 # DEPENDENCYPART_ARC
(4,7),1.37865 # DEPENDENCYPART_ARC
(4,8),1.82989 # DEPENDENCYPART_ARC
(4,9),0.14634 # DEPENDENCYPART_ARC
(4,10),0.391662 # DEPENDENCYPART_ARC
(4,11),0.577136 # DEPENDENCYPART_ARC
(4,12),1.18816 # DEPENDENCYPART_ARC
(4,13),0.0103564 # DEPENDENCYPART_ARC
(4,14),-0.484985 # DEPENDENCYPART_ARC
(4,15),0.0962726 # DEPENDENCYPART_ARC
(4,16),0.665246 # DEPENDENCYPART_ARC
(4,17),-0.384658 # DEPENDENCYPART_ARC
(4,18),-0.31053 # DEPENDENCYPART_ARC
(4,19),-3.1179 # DEPENDENCYPART_ARC
(4,20),-0.679387 # DEPENDENCYPART_ARC
(4,21),0.336788 # DEPENDENCYPART_ARC
(4,22),-0.208293 # DEPENDENCYPART_ARC
(4,23),-0.979175 # DEPENDENCYPART_ARC
(4,24),-1.62337 # DEPENDENCYPART_ARC
(4,25),-1.91932 # DEPENDENCYPART_ARC
(4,26),-0.347697 # DEPENDENCYPART_ARC
(4,27),-2.67256 # DEPENDENCYPART_ARC
(4,28),-1.45163 # DEPENDENCYPART_ARC
(4,29),-2.82882 # DEPENDENCYPART_ARC
(4,30),-2.96668 # DEPENDENCYPART_ARC
(4,31),-0.301188 # DEPENDENCYPART_ARC
(4,32),-1.40441 # DEPENDENCYPART_ARC
(4,33),-2.41199 # DEPENDENCYPART_ARC
(4,34),-2.41895 # DEPENDENCYPART_ARC
(4,35),-3.81765 # DEPENDENCYPART_ARC
(4,36),-4.75119 # DEPENDENCYPART_ARC
(4,37),-4.3801 # DEPENDENCYPART_ARC
(4,38),-2.88589 # DEPENDENCYPART_ARC
(4,39),-4.91776 # DEPENDENCYPART_ARC
(4,40),-4.85832 # DEPENDENCYPART_ARC
(4,41),0.948494 # DEPENDENCYPART_ARC
(5,1),-0.501188 # DEPENDENCYPART_ARC
(5,2),0.0613522 # DEPENDENCYPART_ARC
(5,3),-0.444442 # DEPENDENCYPART_ARC
(5,4),-0.0516217 # DEPENDENCYPART_ARC
(5,6),0.555516 # DEPENDENCYPART_ARC
(5,7),3.6921 # DEPENDENCYPART_ARC
(5,8),0.536919 # DEPENDENCYPART_ARC
(5,9),-1.08955 # DEPENDENCYPART_ARC
(5,10),0.0688127 # DEPENDENCYPART_ARC
(5,11),-0.476767 # DEPENDENCYPART_ARC
(5,12),0.592006 # DEPENDENCYPART_ARC
(5,13),-2.25285 # DEPENDENCYPART_ARC
(5,14),-2.32479 # DEPENDENCYPART_ARC
(5,15),-0.622278 # DEPENDENCYPART_ARC
(5,16),-0.807859 # DEPENDENCYPART_ARC
(5,17),-2.94862 # DEPENDENCYPART_ARC
(5,18),-5.42778 # DEPENDENCYPART_ARC
(5,19),-2.26908 # DEPENDENCYPART_ARC
(5,20),-7.99983 # DEPENDENCYPART_ARC
(5,21),-0.908809 # DEPENDENCYPART_ARC
(5,22),-0.912357 # DEPENDENCYPART_ARC
(5,23),-9.67097 # DEPENDENCYPART_ARC
(5,24),-1.54603 # DEPENDENCYPART_ARC
(5,25),-8.51791 # DEPENDENCYPART_ARC
(5,26),-0.692612 # DEPENDENCYPART_ARC
(5,27),-10.2317 # DEPENDENCYPART_ARC
(5,28),-2.1396 # DEPENDENCYPART_ARC
(5,29),-11.573 # DEPENDENCYPART_ARC
(5,30),-2.97764 # DEPENDENCYPART_ARC
(5,31),-4.67936 # DEPENDENCYPART_ARC
(5,32),-3.11377 # DEPENDENCYPART_ARC
(5,33),-3.75476 # DEPENDENCYPART_ARC
(5,34),-5.40856 # DEPENDENCYPART_ARC
(5,35),-17.1783 # DEPENDENCYPART_ARC
(5,36),-16.0722 # DEPENDENCYPART_ARC
(5,37),-3.4514 # DEPENDENCYPART_ARC
(5,38),-6.32111 # DEPENDENCYPART_ARC
(5,39),-16.1842 # DEPENDENCYPART_ARC
(5,40),-19.5259 # DEPENDENCYPART_ARC
(5,41),1.05589 # DEPENDENCYPART_ARC
(6,1),-2.74854 # DEPENDENCYPART_ARC
(6,2),-1.81138 # DEPENDENCYPART_ARC
(6,3),-2.00634 # DEPENDENCYPART_ARC
(6,4),-2.41063 # DEPENDENCYPART_ARC
(6,5),-1.12556 # DEPENDENCYPART_ARC
(6,7),-0.15382 # DEPENDENCYPART_ARC
(6,8),-0.995262 # DEPENDENCYPART_ARC
(6,9),-2.39957 # DEPENDENCYPART_ARC
(6,10),-1.95956 # DEPENDENCYPART_ARC
(6,11),-2.05274 # DEPENDENCYPART_ARC
(6,12),-1.23765 # DEPENDENCYPART_ARC
(6,13),-2.92176 # DEPENDENCYPART_ARC
(6,14),-2.96173 # DEPENDENCYPART_ARC
(6,15),-2.47183 # DEPENDENCYPART_ARC
(6,16),-2.91304 # DEPENDENCYPART_ARC
(6,17),-3.56765 # DEPENDENCYPART_ARC
(6,18),-2.61802 # DEPENDENCYPART_ARC
(6,19),-3.34963 # DEPENDENCYPART_ARC
(6,20),-3.17174 # DEPENDENCYPART_ARC
(6,21),-2.75746 # DEPENDENCYPART_ARC
(6,22),-4.01109 # DEPENDENCYPART_ARC
(6,23),-3.27441 # DEPENDENCYPART_ARC
(6,24),-4.56169 # DEPENDENCYPART_ARC
(6,25),-4.08368 # DEPENDENCYPART_ARC
(6,26),-2.11187 # DEPENDENCYPART_ARC
(6,27),-4.22416 # DEPENDENCYPART_ARC
(6,28),-4.10829 # DEPENDENCYPART_ARC
(6,29),-4.48747 # DEPENDENCYPART_ARC
(6,30),-5.2926 # DEPENDENCYPART_ARC
(6,31),-6.71199 # DEPENDENCYPART_ARC
(6,32),-4.23954 # DEPENDENCYPART_ARC
(6,33),-5.72037 # DEPENDENCYPART_ARC
(6,34),-5.38919 # DEPENDENCYPART_ARC
(6,35),-4.19155 # DEPENDENCYPART_ARC
(6,36),-4.42867 # DEPENDENCYPART_ARC
(6,37),-6.77462 # DEPENDENCYPART_ARC
(6,38),-5.90949 # DEPENDENCYPART_ARC
(6,39),-5.69193 # DEPENDENCYPART_ARC
(6,40),-4.96154 # DEPENDENCYPART_ARC
(6,41),-3.30353 # DEPENDENCYPART_ARC
(7,1),-1.39867 # DEPENDENCYPART_ARC
(7,2),0.235694 # DEPENDENCYPART_ARC
(7,3),0.444538 # DEPENDENCYPART_ARC
(7,4),-1.07796 # DEPENDENCYPART_ARC
(7,5),0.389264 # DEPENDENCYPART_ARC
(7,6),4.28242 # DEPENDENCYPART_ARC
(7,8),3.39 # DEPENDENCYPART_ARC
(7,9),0.457424 # DEPENDENCYPART_ARC
(7,10),0.641379 # DEPENDENCYPART_ARC
(7,11),0.79344 # DEPENDENCYPART_ARC
(7,12),1.32601 # DEPENDENCYPART_ARC
(7,13),-0.0466916 # DEPENDENCYPART_ARC
(7,14),-0.343379 # DEPENDENCYPART_ARC
(7,15),0.129854 # DEPENDENCYPART_ARC
(7,16),0.907561 # DEPENDENCYPART_ARC
(7,17),-0.119059 # DEPENDENCYPART_ARC
(7,18),0.281098 # DEPENDENCYPART_ARC
(7,19),-2.41329 # DEPENDENCYPART_ARC
(7,20),-0.843348 # DEPENDENCYPART_ARC
(7,21),0.202014 # DEPENDENCYPART_ARC
(7,22),-0.776119 # DEPENDENCYPART_ARC
(7,23),-1.07723 # DEPENDENCYPART_ARC
(7,24),-2.52306 # DEPENDENCYPART_ARC
(7,25),-1.82426 # DEPENDENCYPART_ARC
(7,26),0.413848 # DEPENDENCYPART_ARC
(7,27),-2.5494 # DEPENDENCYPART_ARC
(7,28),-1.19536 # DEPENDENCYPART_ARC
(7,29),-2.88773 # DEPENDENCYPART_ARC
(7,30),-2.81244 # DEPENDENCYPART_ARC
(7,31),-0.16446 # DEPENDENCYPART_ARC
(7,32),-1.34652 # DEPENDENCYPART_ARC
(7,33),-3.27087 # DEPENDENCYPART_ARC
(7,34),-2.45352 # DEPENDENCYPART_ARC
(7,35),-2.99077 # DEPENDENCYPART_ARC
(7,36),-3.50994 # DEPENDENCYPART_ARC
(7,37),-4.48396 # DEPENDENCYPART_ARC
(7,38),-2.8744 # DEPENDENCYPART_ARC
(7,39),-4.88977 # DEPENDENCYPART_ARC
(7,40),-4.16106 # DEPENDENCYPART_ARC
(7,41),1.43584 # DEPENDENCYPART_ARC
(8,1),-1.38198 # DEPENDENCYPART_ARC
(8,2),-1.28741 # DEPENDENCYPART_ARC
(8,3),-1.28127 # DEPENDENCYPART_ARC
(8,4),-0.835848 # DEPENDENCYPART_ARC
(8,5),-0.25081 # DEPENDENCYPART_ARC
(8,6),-0.332316 # DEPENDENCYPART_ARC
(8,7),0.501238 # DEPENDENCYPART_ARC
(8,9),0.518061 # DEPENDENCYPART_ARC
(8,10),3.04603 # DEPENDENCYPART_ARC
(8,11),2.30363 # DEPENDENCYPART_ARC
(8,12),0.327692 # DEPENDENCYPART_ARC
(8,13),-1.84323 # DEPENDENCYPART_ARC
(8,14),-1.00978 # DEPENDENCYPART_ARC
(8,15),-0.182801 # DEPENDENCYPART_ARC
(8,16),-0.69493 # DEPENDENCYPART_ARC
(8,17),-2.31062 # DEPENDENCYPART_ARC
(8,18),-3.36016 # DEPENDENCYPART_ARC
(8,19),-0.69162 # DEPENDENCYPART_ARC
(8,20),-5.62579 # DEPENDENCYPART_ARC
(8,21),-0.609296 # DEPENDENCYPART_ARC
(8,22),-0.892243 # DEPENDENCYPART_ARC
(8,23),-7.8793 # DEPENDENCYPART_ARC
(8,24),-1.12987 # DEPENDENCYPART_ARC
(8,25),-7.03123 # DEPENDENCYPART_ARC
(8,26),-0.567067 # DEPENDENCYPART_ARC
(8,27),-8.16554 # DEPENDENCYPART_ARC
(8,28),-1.80642 # DEPENDENCYPART_ARC
(8,29),-9.5676 # DEPENDENCYPART_ARC
(8,30),-2.60068 # DEPENDENCYPART_ARC
(8,31),-4.52241 # DEPENDENCYPART_ARC
(8,32),-2.93891 # DEPENDENCYPART_ARC
(8,33),-3.56036 # DEPENDENCYPART_ARC
(8,34),-5.44328 # DEPENDENCYPART_ARC
(8,35),-14.8225 # DEPENDENCYPART_ARC
(8,36),-13.2164 # DEPENDENCYPART_ARC
(8,37),-3.06018 # DEPENDENCYPART_ARC
(8,38),-6.08619 # DEPENDENCYPART_ARC
(8,39),-14.5065 # DEPENDENCYPART_ARC
(8,40),-16.5027 # DEPENDENCYPART_ARC
(8,41),-0.775905 # DEPENDENCYPART_ARC
(9,1),-3.01345 # DEPENDENCYPART_ARC
(9,2),-2.18866 # DEPENDENCYPART_ARC
(9,3),-2.58193 # DEPENDENCYPART_ARC
(9,4),-2.72749 # DEPENDENCYPART_ARC
(9,5),-2.27538 # DEPENDENCYPART_ARC
(9,6),-1.10309 # DEPENDENCYPART_ARC
(9,7),-2.14806 # DEPENDENCYPART_ARC
(9,8),-1.03024 # DEPENDENCYPART_ARC
(9,10),-0.869494 # DEPENDENCYPART_ARC
(9,11),-1.40863 # DEPENDENCYPART_ARC
(9,12),-1.24648 # DEPENDENCYPART_ARC
(9,13),-2.79105 # DEPENDENCYPART_ARC
(9,14),-2.44262 # DEPENDENCYPART_ARC
(9,15),-2.29069 # DEPENDENCYPART_ARC
(9,16),-2.40807 # DEPENDENCYPART_ARC
(9,17),-3.1865 # DEPENDENCYPART_ARC
(9,18),-2.3356 # DEPENDENCYPART_ARC
(9,19),-2.64152 # DEPENDENCYPART_ARC
(9,20),-2.95268 # DEPENDENCYPART_ARC
(9,21),-2.67907 # DEPENDENCYPART_ARC
(9,22),-3.64085 # DEPENDENCYPART_ARC
(9,23),-3.06942 # DEPENDENCYPART_ARC
(9,24),-4.14168 # DEPENDENCYPART_ARC
(9,25),-3.85529 # DEPENDENCYPART_ARC
(9,26),-1.95977 # DEPENDENCYPART_ARC
(9,27),-3.99614 # DEPENDENCYPART_ARC
(9,28),-3.71904 # DEPENDENCYPART_ARC
(9,29),-4.16422 # DEPENDENCYPART_ARC
(9,30),-5.05562 # DEPENDENCYPART_ARC
(9,31),-6.00786 # DEPENDENCYPART_ARC
(9,32),-4.03592 # DEPENDENCYPART_ARC
(9,33),-5.28153 # DEPENDENCYPART_ARC
(9,34),-5.15907 # DEPENDENCYPART_ARC
(9,35),-4.17277 # DEPENDENCYPART_ARC
(9,36),-4.37587 # DEPENDENCYPART_ARC
(9,37),-6.20819 # DEPENDENCYPART_ARC
(9,38),-5.61138 # DEPENDENCYPART_ARC
(9,39),-5.38467 # DEPENDENCYPART_ARC
(9,40),-4.74842 # DEPENDENCYPART_ARC
(9,41),-3.11122 # DEPENDENCYPART_ARC
(10,1),-2.80017 # DEPENDENCYPART_ARC
(10,2),-3.61307 # DEPENDENCYPART_ARC
(10,3),-3.6191 # DEPENDENCYPART_ARC
(10,4),-4.05641 # DEPENDENCYPART_ARC
(10,5),-2.03856 # DEPENDENCYPART_ARC
(10,6),-1.07838 # DEPENDENCYPART_ARC
(10,7),-2.11325 # DEPENDENCYPART_ARC
(10,8),-0.700914 # DEPENDENCYPART_ARC
(10,9),2.90814 # DEPENDENCYPART_ARC
(10,11),1.17482 # DEPENDENCYPART_ARC
(10,12),0.471273 # DEPENDENCYPART_ARC
(10,13),-0.0649945 # DEPENDENCYPART_ARC
(10,14),-0.0162633 # DEPENDENCYPART_ARC
(10,15),-0.101413 # DEPENDENCYPART_ARC
(10,16),0.423563 # DEPENDENCYPART_ARC
(10,17),-0.267463 # DEPENDENCYPART_ARC
(10,18),-0.553763 # DEPENDENCYPART_ARC
(10,19),-1.13587 # DEPENDENCYPART_ARC
(10,20),-1.2156 # DEPENDENCYPART_ARC
(10,21),-0.518111 # DEPENDENCYPART_ARC
(10,22),-0.78095 # DEPENDENCYPART_ARC
(10,23),-1.56461 # DEPENDENCYPART_ARC
(10,24),-1.01054 # DEPENDENCYPART_ARC
(10,25),-1.08337 # DEPENDENCYPART_ARC
(10,26),-0.193543 # DEPENDENCYPART_ARC
(10,27),-1.25101 # DEPENDENCYPART_ARC
(10,28),-1.53934 # DEPENDENCYPART_ARC
(10,29),-1.58545 # DEPENDENCYPART_ARC
(10,30),-3.03377 # DEPENDENCYPART_ARC
(10,31),0.706107 # DEPENDENCYPART_ARC
(10,32),-2.29761 # DEPENDENCYPART_ARC
(10,33),-2.36816 # DEPENDENCYPART_ARC
(10,34),-2.58427 # DEPENDENCYPART_ARC
(10,35),-2.54868 # DEPENDENCYPART_ARC
(10,36),-3.00248 # DEPENDENCYPART_ARC
(10,37),-2.82096 # DEPENDENCYPART_ARC
(10,38),-2.98224 # DEPENDENCYPART_ARC
(10,39),-2.61518 # DEPENDENCYPART_ARC
(10,40),-2.68837 # DEPENDENCYPART_ARC
(10,41),-0.455261 # DEPENDENCYPART_ARC
(11,1),-1.00712 # DEPENDENCYPART_ARC
(11,2),-1.05751 # DEPENDENCYPART_ARC
(11,3),-0.955502 # DEPENDENCYPART_ARC
(11,4),-1.39761 # DEPENDENCYPART_ARC
(11,5),-0.472932 # DEPENDENCYPART_ARC
(11,6),1.18441 # DEPENDENCYPART_ARC
(11,7),0.412768 # DEPENDENCYPART_ARC
(11,8),0.846172 # DEPENDENCYPART_ARC
(11,9),3.92134 # DEPENDENCYPART_ARC
(11,10),3.59465 # DEPENDENCYPART_ARC
(11,12),1.89746 # DEPENDENCYPART_ARC
(11,13),0.323766 # DEPENDENCYPART_ARC
(11,14),0.506236 # DEPENDENCYPART_ARC
(11,15),0.370556 # DEPENDENCYPART_ARC
(11,16),0.628959 # DEPENDENCYPART_ARC
(11,17),0.0769239 # DEPENDENCYPART_ARC
(11,18),-0.186272 # DEPENDENCYPART_ARC
(11,19),-1.32442 # DEPENDENCYPART_ARC
(11,20),-0.323168 # DEPENDENCYPART_ARC
(11,21),-0.196927 # DEPENDENCYPART_ARC
(11,22),-0.905835 # DEPENDENCYPART_ARC
(11,23),-0.88152 # DEPENDENCYPART_ARC
(11,24),-1.10368 # DEPENDENCYPART_ARC
(11,25),-0.616884 # DEPENDENCYPART_ARC
(11,26),0.964507 # DEPENDENCYPART_ARC
(11,27),-0.790033 # DEPENDENCYPART_ARC
(11,28),-0.614555 # DEPENDENCYPART_ARC
(11,29),-1.14771 # DEPENDENCYPART_ARC
(11,30),-2.62559 # DEPENDENCYPART_ARC
(11,31),1.08944 # DEPENDENCYPART_ARC
(11,32),-2.01456 # DEPENDENCYPART_ARC
(11,33),-2.44152 # DEPENDENCYPART_ARC
(11,34),-2.24648 # DEPENDENCYPART_ARC
(11,35),-2.14599 # DEPENDENCYPART_ARC
(11,36),-2.32627 # DEPENDENCYPART_ARC
(11,37),-2.64697 # DEPENDENCYPART_ARC
(11,38),-2.68654 # DEPENDENCYPART_ARC
(11,39),-2.20721 # DEPENDENCYPART_ARC
(11,40),-2.11689 # DEPENDENCYPART_ARC
(11,41),-0.267563 # DEPENDENCYPART_ARC
(12,1),-2.33999 # DEPENDENCYPART_ARC
(12,2),-1.77335 # DEPENDENCYPART_ARC
(12,3),-2.13663 # DEPENDENCYPART_ARC
(12,4),-1.62762 # DEPENDENCYPART_ARC
(12,5),-1.81833 # DEPENDENCYPART_ARC
(12,6),-1.31133 # DEPENDENCYPART_ARC
(12,7),-1.59915 # DEPENDENCYPART_ARC
(12,8),-1.49961 # DEPENDENCYPART_ARC
(12,9),-0.735639 # DEPENDENCYPART_ARC
(12,10),-1.79671 # DEPENDENCYPART_ARC
(12,11),-1.19598 # DEPENDENCYPART_ARC
(12,13),-0.254382 # DEPENDENCYPART_ARC
(12,14),-0.547029 # DEPENDENCYPART_ARC
(12,15),-1.04507 # DEPENDENCYPART_ARC
(12,16),-0.874309 # DEPENDENCYPART_ARC
(12,17),-1.65235 # DEPENDENCYPART_ARC
(12,18),-2.18783 # DEPENDENCYPART_ARC
(12,19),-1.22919 # DEPENDENCYPART_ARC
(12,20),-2.16188 # DEPENDENCYPART_ARC
(12,21),-1.80128 # DEPENDENCYPART_ARC
