# _root_ The program traders were in there , too , of course .
#goldHeads=3,3,4,0,4,5,4,4,4,4,10,4,
#predictedHeads=3,3,4,0,4,4,4,4,4,4,10,4,
(4,12),4.34367 # DEPENDENCYPART_ARC
(5,1),-0.24344 # DEPENDENCYPART_ARC
(5,2),-0.904478 # DEPENDENCYPART_ARC
(5,3),-0.868985 # DEPENDENCYPART_ARC
(5,4),-0.0229685 # DEPENDENCYPART_ARC
(5,6),2.47677 # DEPENDENCYPART_ARC
(5,7),1.16812 # DEPENDENCYPART_ARC
(5,8),0.707878 # DEPENDENCYPART_ARC
(5,9),0.875002 # DEPENDENCYPART_ARC
(5,10),-0.35398 # DEPENDENCYPART_ARC
(5,11),-0.647008 # DEPENDENCYPART_ARC
(5,12),-0.422059 # DEPENDENCYPART_ARC
(6,1),-0.26512 # DEPENDENCYPART_ARC
(6,2),-0.840171 # DEPENDENCYPART_ARC
(6,3),-0.660889 # DEPENDENCYPART_ARC
(6,4),-0.433925 # DEPENDENCYPART_ARC
(6,5),0.738353 # DEPENDENCYPART_ARC
(6,7),0.151792 # DEPENDENCYPART_ARC
(6,8),-0.402017 # DEPENDENCYPART_ARC
(6,9),-0.192603 # DEPENDENCYPART_ARC
(6,10),-0.888007 # DEPENDENCYPART_ARC
(6,11),-1.39852 # DEPENDENCYPART_ARC
(6,12),-0.879808 # DEPENDENCYPART_ARC
(7,1),-1.52128 # DEPENDENCYPART_ARC
(7,2),-2.21958 # DEPENDENCYPART_ARC
(7,3),-2.16965 # DEPENDENCYPART_ARC
(7,4),-1.48427 # DEPENDENCYPART_ARC
(7,5),-1.70673 # DEPENDENCYPART_ARC
(7,6),-1.10523 # DEPENDENCYPART_ARC
(7,8),-0.43858 # DEPENDENCYPART_ARC
(7,9),0.380003 # DEPENDENCYPART_ARC
(7,10),-1.00739 # DEPENDENCYPART_ARC
(7,11),-1.88709 # DEPENDENCYPART_ARC
(7,12),-1.59547 # DEPENDENCYPART_ARC
(8,1),-0.361144 # DEPENDENCYPART_ARC
(8,2),-1.20307 # DEPENDENCYPART_ARC
(8,3),-1.25435 # DEPENDENCYPART_ARC
(8,4),-0.936333 # DEPENDENCYPART_ARC
(8,5),-0.345305 # DEPENDENCYPART_ARC
(8,6),0.222375 # DEPENDENCYPART_ARC
(8,7),0.464466 # DEPENDENCYPART_ARC
(8,9),1.49395 # DEPENDENCYPART_ARC
(8,10),0.259497 # DEPENDENCYPART_ARC
(8,11),-0.167853 # DEPENDENCYPART_ARC
(8,12),-0.267096 # DEPENDENCYPART_ARC
(9,1),-1.21593 # DEPENDENCYPART_ARC
(9,2),-1.70334 # DEPENDENCYPART_ARC
(9,3),-1.72311 # DEPENDENCYPART_ARC
(9,4),-1.49764 # DEPENDENCYPART_ARC
(9,5),-1.65163 # DEPENDENCYPART_ARC
(9,6),-1.42707 # DEPENDENCYPART_ARC
(9,7),0.0397657 # DEPENDENCYPART_ARC
(9,8),-0.517147 # DEPENDENCYPART_ARC
(9,10),-0.399806 # DEPENDENCYPART_ARC
(9,11),-0.834238 # DEPENDENCYPART_ARC
(9,12),-0.785502 # DEPENDENCYPART_ARC
(10,1),-1.84203 # DEPENDENCYPART_ARC
(10,2),-2.07886 # DEPENDENCYPART_ARC
(10,3),-2.17127 # DEPENDENCYPART_ARC
(10,4),-1.19213 # DEPENDENCYPART_ARC
(10,5),-1.53597 # DEPENDENCYPART_ARC
(10,6),-1.32912 # DEPENDENCYPART_ARC
(10,7),-0.80308 # DEPENDENCYPART_ARC
(10,8),-0.27429 # DEPENDENCYPART_ARC
(10,9),-0.110284 # DEPENDENCYPART_ARC
(10,11),4.18063 # DEPENDENCYPART_ARC
(10,12),0.28726 # DEPENDENCYPART_ARC
(11,1),-0.11538 # DEPENDENCYPART_ARC
(11,2),-1.58094 # DEPENDENCYPART_ARC
(11,3),-1.89889 # DEPENDENCYPART_ARC
(11,4),-1.47714 # DEPENDENCYPART_ARC
(11,5),-2.22823 # DEPENDENCYPART_ARC
(11,6),-1.50143 # DEPENDENCYPART_ARC
(11,7),0.208823 # DEPENDENCYPART_ARC
(11,8),-0.642071 # DEPENDENCYPART_ARC
(11,9),0.155012 # DEPENDENCYPART_ARC
(11,10),1.00446 # DEPENDENCYPART_ARC
(11,12),-1.15444 # DEPENDENCYPART_ARC
(12,1),-1.32013 # DEPENDENCYPART_ARC
(12,2),-1.55029 # DEPENDENCYPART_ARC
(12,3),-1.56183 # DEPENDENCYPART_ARC
(12,4),-0.849808 # DEPENDENCYPART_ARC
(12,5),-1.13486 # DEPENDENCYPART_ARC
(12,6),-0.796799 # DEPENDENCYPART_ARC
(12,7),-0.145362 # DEPENDENCYPART_ARC
(12,8),-0.863292 # DEPENDENCYPART_ARC
(12,9),0.361979 # DEPENDENCYPART_ARC
(12,10),-1.28261 # DEPENDENCYPART_ARC
(12,11),-1.32889 # DEPENDENCYPART_ARC
