# _root_ In Big Board composite trading yesterday , PaineWebber closed at $ 18.50 , up 75 cents .
#goldHeads=9,5,5,5,1,9,9,9,0,9,10,11,9,9,16,14,9,
#predictedHeads=9,5,5,5,1,9,9,9,0,9,10,11,9,9,16,14,9,
(6,1),-0.535805 # DEPENDENCYPART_ARC
(6,2),-2.02245 # DEPENDENCYPART_ARC
(6,3),-1.61472 # DEPENDENCYPART_ARC
(6,4),-1.35179 # DEPENDENCYPART_ARC
(6,5),-1.01659 # DEPENDENCYPART_ARC
(6,7),0.333754 # DEPENDENCYPART_ARC
(6,8),-0.405023 # DEPENDENCYPART_ARC
(6,9),0.247148 # DEPENDENCYPART_ARC
(6,10),-1.33435 # DEPENDENCYPART_ARC
(6,11),-0.946871 # DEPENDENCYPART_ARC
(6,12),-1.70773 # DEPENDENCYPART_ARC
(6,13),-0.148788 # DEPENDENCYPART_ARC
(6,14),-1.7471 # DEPENDENCYPART_ARC
(6,15),-1.67868 # DEPENDENCYPART_ARC
(6,16),-1.84793 # DEPENDENCYPART_ARC
(6,17),0.0632222 # DEPENDENCYPART_ARC
(7,1),-1.82571 # DEPENDENCYPART_ARC
(7,2),-2.23506 # DEPENDENCYPART_ARC
(7,3),-2.02679 # DEPENDENCYPART_ARC
(7,4),-1.38204 # DEPENDENCYPART_ARC
(7,5),-1.72909 # DEPENDENCYPART_ARC
(7,6),-0.916714 # DEPENDENCYPART_ARC
(7,8),-0.289754 # DEPENDENCYPART_ARC
(7,9),-0.565725 # DEPENDENCYPART_ARC
(7,10),-1.15987 # DEPENDENCYPART_ARC
(7,11),-1.81879 # DEPENDENCYPART_ARC
(7,12),-1.98612 # DEPENDENCYPART_ARC
(7,13),-0.236597 # DEPENDENCYPART_ARC
(7,14),-2.11067 # DEPENDENCYPART_ARC
(7,15),-2.62224 # DEPENDENCYPART_ARC
(7,16),-2.51057 # DEPENDENCYPART_ARC
(7,17),-1.72351 # DEPENDENCYPART_ARC
(8,1),-2.70785 # DEPENDENCYPART_ARC
(8,2),0.166556 # DEPENDENCYPART_ARC
(8,3),0.114236 # DEPENDENCYPART_ARC
(8,4),0.322791 # DEPENDENCYPART_ARC
(8,5),-1.01972 # DEPENDENCYPART_ARC
(8,6),-0.828697 # DEPENDENCYPART_ARC
(8,7),1.07854 # DEPENDENCYPART_ARC
(8,9),0.589262 # DEPENDENCYPART_ARC
(8,10),0.256218 # DEPENDENCYPART_ARC
(8,11),-0.628547 # DEPENDENCYPART_ARC
(8,12),0.27513 # DEPENDENCYPART_ARC
(8,13),-0.245581 # DEPENDENCYPART_ARC
(8,14),-0.579814 # DEPENDENCYPART_ARC
(8,15),-1.20545 # DEPENDENCYPART_ARC
(8,16),-1.58214 # DEPENDENCYPART_ARC
(8,17),0.437336 # DEPENDENCYPART_ARC
(9,1),2.78706 # DEPENDENCYPART_ARC
(9,2),1.9411 # DEPENDENCYPART_ARC
(9,3),2.26441 # DEPENDENCYPART_ARC
(9,4),1.29606 # DEPENDENCYPART_ARC
(9,5),1.11709 # DEPENDENCYPART_ARC
(9,6),2.29757 # DEPENDENCYPART_ARC
(9,7),4.47761 # DEPENDENCYPART_ARC
(9,8),3.87823 # DEPENDENCYPART_ARC
(9,10),4.54527 # DEPENDENCYPART_ARC
(9,11),1.25627 # DEPENDENCYPART_ARC
(9,12),0.838425 # DEPENDENCYPART_ARC
(9,13),3.14017 # DEPENDENCYPART_ARC
(9,14),3.32411 # DEPENDENCYPART_ARC
(9,15),-0.443913 # DEPENDENCYPART_ARC
(9,16),-0.519834 # DEPENDENCYPART_ARC
(9,17),5.10161 # DEPENDENCYPART_ARC
(10,1),-1.21771 # DEPENDENCYPART_ARC
(10,2),-1.51391 # DEPENDENCYPART_ARC
(10,3),-1.6389 # DEPENDENCYPART_ARC
(10,4),-1.7478 # DEPENDENCYPART_ARC
(10,5),-1.82584 # DEPENDENCYPART_ARC
(10,6),-1.18932 # DEPENDENCYPART_ARC
(10,7),-0.273753 # DEPENDENCYPART_ARC
(10,8),-0.740876 # DEPENDENCYPART_ARC
(10,9),-0.148552 # DEPENDENCYPART_ARC
(10,11),3.56926 # DEPENDENCYPART_ARC
(10,12),2.0961 # DEPENDENCYPART_ARC
(10,13),1.29952 # DEPENDENCYPART_ARC
(10,14),0.377529 # DEPENDENCYPART_ARC
(10,15),0.0686741 # DEPENDENCYPART_ARC
(10,16),0.0089893 # DEPENDENCYPART_ARC
(10,17),-0.153105 # DEPENDENCYPART_ARC
(11,1),-2.64162 # DEPENDENCYPART_ARC
(11,2),-2.16296 # DEPENDENCYPART_ARC
(11,3),-2.05291 # DEPENDENCYPART_ARC
(11,4),-1.5799 # DEPENDENCYPART_ARC
(11,5),-1.57058 # DEPENDENCYPART_ARC
(11,6),-0.409333 # DEPENDENCYPART_ARC
(11,7),-0.790218 # DEPENDENCYPART_ARC
(11,8),-0.715921 # DEPENDENCYPART_ARC
(11,9),-0.126669 # DEPENDENCYPART_ARC
(11,10),2.02588 # DEPENDENCYPART_ARC
(11,12),4.1506 # DEPENDENCYPART_ARC
(11,13),1.51292 # DEPENDENCYPART_ARC
(11,14),1.33714 # DEPENDENCYPART_ARC
(11,15),0.826019 # DEPENDENCYPART_ARC
(11,16),-0.608139 # DEPENDENCYPART_ARC
(11,17),-0.156816 # DEPENDENCYPART_ARC
(12,1),-2.67187 # DEPENDENCYPART_ARC
(12,2),-1.4231 # DEPENDENCYPART_ARC
(12,3),-1.58895 # DEPENDENCYPART_ARC
(12,4),-1.92098 # DEPENDENCYPART_ARC
(12,5),-1.74102 # DEPENDENCYPART_ARC
(12,6),-0.93293 # DEPENDENCYPART_ARC
(12,7),-0.921248 # DEPENDENCYPART_ARC
(12,8),-0.474766 # DEPENDENCYPART_ARC
(12,9),-0.509391 # DEPENDENCYPART_ARC
(12,10),0.80685 # DEPENDENCYPART_ARC
(12,11),0.781567 # DEPENDENCYPART_ARC
(12,13),0.434009 # DEPENDENCYPART_ARC
(12,14),0.0686997 # DEPENDENCYPART_ARC
(12,15),0.186934 # DEPENDENCYPART_ARC
(12,16),-0.77979 # DEPENDENCYPART_ARC
(12,17),-0.627151 # DEPENDENCYPART_ARC
(13,1),-2.15815 # DEPENDENCYPART_ARC
(13,2),-2.45721 # DEPENDENCYPART_ARC
(13,3),-2.26469 # DEPENDENCYPART_ARC
(13,4),-1.86179 # DEPENDENCYPART_ARC
(13,5),-1.83578 # DEPENDENCYPART_ARC
(13,6),-1.95386 # DEPENDENCYPART_ARC
(13,7),-0.573082 # DEPENDENCYPART_ARC
(13,8),-1.87623 # DEPENDENCYPART_ARC
(13,9),-1.31353 # DEPENDENCYPART_ARC
(13,10),-0.919197 # DEPENDENCYPART_ARC
(13,11),-0.741509 # DEPENDENCYPART_ARC
(13,12),-0.441515 # DEPENDENCYPART_ARC
(13,14),-0.129094 # DEPENDENCYPART_ARC
(13,15),-0.453769 # DEPENDENCYPART_ARC
(13,16),-0.832866 # DEPENDENCYPART_ARC
(13,17),-0.77277 # DEPENDENCYPART_ARC
(14,1),-1.85012 # DEPENDENCYPART_ARC
(14,2),-1.96483 # DEPENDENCYPART_ARC
(14,3),-1.90505 # DEPENDENCYPART_ARC
(14,4),-1.97673 # DEPENDENCYPART_ARC
(14,5),-2.09402 # DEPENDENCYPART_ARC
(14,6),-0.638485 # DEPENDENCYPART_ARC
(14,7),-1.31473 # DEPENDENCYPART_ARC
(14,8),-1.11732 # DEPENDENCYPART_ARC
(14,9),-1.21932 # DEPENDENCYPART_ARC
(14,10),0.0912121 # DEPENDENCYPART_ARC
(14,11),0.129555 # DEPENDENCYPART_ARC
(14,12),0.0010412 # DEPENDENCYPART_ARC
(14,13),0.247671 # DEPENDENCYPART_ARC
(14,15),2.1157 # DEPENDENCYPART_ARC
(14,16),2.63165 # DEPENDENCYPART_ARC
(14,17),-0.241712 # DEPENDENCYPART_ARC
(15,1),-3.84288 # DEPENDENCYPART_ARC
(15,2),-3.04313 # DEPENDENCYPART_ARC
(15,3),-3.24993 # DEPENDENCYPART_ARC
(15,4),-3.54406 # DEPENDENCYPART_ARC
(15,5),-3.2365 # DEPENDENCYPART_ARC
(15,6),-2.54352 # DEPENDENCYPART_ARC
(15,7),-2.55403 # DEPENDENCYPART_ARC
(15,8),-2.31437 # DEPENDENCYPART_ARC
(15,9),-2.22693 # DEPENDENCYPART_ARC
(15,10),-1.1374 # DEPENDENCYPART_ARC
(15,11),-1.69364 # DEPENDENCYPART_ARC
(15,12),-0.621146 # DEPENDENCYPART_ARC
(15,13),-0.725722 # DEPENDENCYPART_ARC
(15,14),-0.222012 # DEPENDENCYPART_ARC
(15,16),0.0920777 # DEPENDENCYPART_ARC
(15,17),-1.11854 # DEPENDENCYPART_ARC
(16,1),-1.68275 # DEPENDENCYPART_ARC
(16,2),-1.56709 # DEPENDENCYPART_ARC
(16,3),-2.84752 # DEPENDENCYPART_ARC
(16,4),-1.3987 # DEPENDENCYPART_ARC
(16,5),-2.95723 # DEPENDENCYPART_ARC
(16,6),-2.37141 # DEPENDENCYPART_ARC
(16,7),-0.918418 # DEPENDENCYPART_ARC
(16,8),-2.36633 # DEPENDENCYPART_ARC
(16,9),-0.552194 # DEPENDENCYPART_ARC
(16,10),0.182347 # DEPENDENCYPART_ARC
(16,11),0.958669 # DEPENDENCYPART_ARC
(16,12),1.34293 # DEPENDENCYPART_ARC
(16,13),0.66502 # DEPENDENCYPART_ARC
(16,14),1.23797 # DEPENDENCYPART_ARC
(16,15),4.02471 # DEPENDENCYPART_ARC
(16,17),0.440609 # DEPENDENCYPART_ARC
(17,1),-2.99482 # DEPENDENCYPART_ARC
(17,2),-2.57636 # DEPENDENCYPART_ARC
(17,3),-2.55584 # DEPENDENCYPART_ARC
(17,4),-2.54665 # DEPENDENCYPART_ARC
(17,5),-2.54678 # DEPENDENCYPART_ARC
(17,6),-2.02754 # DEPENDENCYPART_ARC
(17,7),-1.34031 # DEPENDENCYPART_ARC
(17,8),-2.3081 # DEPENDENCYPART_ARC
(17,9),-1.70337 # DEPENDENCYPART_ARC
(17,10),-1.78595 # DEPENDENCYPART_ARC
(17,11),-1.99833 # DEPENDENCYPART_ARC
(17,12),-2.1882 # DEPENDENCYPART_ARC
(17,13),-0.840332 # DEPENDENCYPART_ARC
(17,14),-1.34939 # DEPENDENCYPART_ARC
(17,15),-2.00734 # DEPENDENCYPART_ARC
(17,16),-2.0066 # DEPENDENCYPART_ARC
