# _root_ `` The pendulum is swinging back to black and white , '' says Richard DeMoulin , the general manager of Eastman Kodak Co. 's professional photography division .
#goldHeads=4,3,4,13,4,5,5,7,8,9,4,4,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
#predictedHeads=13,3,4,13,4,5,6,7,8,9,13,13,0,15,13,15,19,19,15,19,23,23,27,23,27,27,20,13,
(6,9),1.14972 # DEPENDENCYPART_ARC
(6,10),0.549662 # DEPENDENCYPART_ARC
(6,11),0.312093 # DEPENDENCYPART_ARC
(6,12),0.761243 # DEPENDENCYPART_ARC
(6,13),0.369251 # DEPENDENCYPART_ARC
(6,14),-0.543026 # DEPENDENCYPART_ARC
(6,15),-0.519317 # DEPENDENCYPART_ARC
(6,16),0.211783 # DEPENDENCYPART_ARC
(6,17),-1.15342 # DEPENDENCYPART_ARC
(6,18),-0.845523 # DEPENDENCYPART_ARC
(6,19),-1.82919 # DEPENDENCYPART_ARC
(6,20),-1.11572 # DEPENDENCYPART_ARC
(6,21),-1.20131 # DEPENDENCYPART_ARC
(6,22),-1.22994 # DEPENDENCYPART_ARC
(6,23),-1.33587 # DEPENDENCYPART_ARC
(6,24),-1.69717 # DEPENDENCYPART_ARC
(6,25),-1.68063 # DEPENDENCYPART_ARC
(6,26),-2.53805 # DEPENDENCYPART_ARC
(6,27),-2.64266 # DEPENDENCYPART_ARC
(6,28),-0.767541 # DEPENDENCYPART_ARC
(7,1),-0.707455 # DEPENDENCYPART_ARC
(7,2),-0.360686 # DEPENDENCYPART_ARC
(7,3),-0.394965 # DEPENDENCYPART_ARC
(7,4),-0.276099 # DEPENDENCYPART_ARC
(7,5),-0.320992 # DEPENDENCYPART_ARC
(7,6),0.441999 # DEPENDENCYPART_ARC
(7,8),3.32691 # DEPENDENCYPART_ARC
(7,9),1.21511 # DEPENDENCYPART_ARC
(7,10),1.67886 # DEPENDENCYPART_ARC
(7,11),0.39369 # DEPENDENCYPART_ARC
(7,12),0.290935 # DEPENDENCYPART_ARC
(7,13),-0.239484 # DEPENDENCYPART_ARC
(7,14),-1.21733 # DEPENDENCYPART_ARC
(7,15),-0.484369 # DEPENDENCYPART_ARC
(7,16),-0.137397 # DEPENDENCYPART_ARC
(7,17),-1.89337 # DEPENDENCYPART_ARC
(7,18),-1.14973 # DEPENDENCYPART_ARC
(7,19),-2.6542 # DEPENDENCYPART_ARC
(7,20),-1.66863 # DEPENDENCYPART_ARC
(7,21),-3.25569 # DEPENDENCYPART_ARC
(7,22),-2.87196 # DEPENDENCYPART_ARC
(7,23),-3.44587 # DEPENDENCYPART_ARC
(7,24),-1.76295 # DEPENDENCYPART_ARC
(7,25),-1.72698 # DEPENDENCYPART_ARC
(7,26),-4.05984 # DEPENDENCYPART_ARC
(7,27),-2.96444 # DEPENDENCYPART_ARC
(7,28),-0.116652 # DEPENDENCYPART_ARC
(8,1),-0.833069 # DEPENDENCYPART_ARC
(8,2),0.337239 # DEPENDENCYPART_ARC
(8,3),-0.472345 # DEPENDENCYPART_ARC
(8,4),-0.691278 # DEPENDENCYPART_ARC
(8,5),0.131037 # DEPENDENCYPART_ARC
(8,6),1.02053 # DEPENDENCYPART_ARC
(8,7),1.05736 # DEPENDENCYPART_ARC
(8,9),3.72818 # DEPENDENCYPART_ARC
(8,10),1.39223 # DEPENDENCYPART_ARC
(8,11),1.45744 # DEPENDENCYPART_ARC
(8,12),1.67609 # DEPENDENCYPART_ARC
(8,13),0.665666 # DEPENDENCYPART_ARC
(8,14),0.0730138 # DEPENDENCYPART_ARC
(8,15),0.487863 # DEPENDENCYPART_ARC
(8,16),0.52077 # DEPENDENCYPART_ARC
(8,17),-0.489534 # DEPENDENCYPART_ARC
(8,18),0.31066 # DEPENDENCYPART_ARC
(8,19),-0.433972 # DEPENDENCYPART_ARC
(8,20),0.909441 # DEPENDENCYPART_ARC
(8,21),-0.519594 # DEPENDENCYPART_ARC
(8,22),-0.331436 # DEPENDENCYPART_ARC
(8,23),-0.54531 # DEPENDENCYPART_ARC
(8,24),-1.82937 # DEPENDENCYPART_ARC
(8,25),-0.216052 # DEPENDENCYPART_ARC
(8,26),-0.970312 # DEPENDENCYPART_ARC
(8,27),-1.57055 # DEPENDENCYPART_ARC
(8,28),-0.143412 # DEPENDENCYPART_ARC
(9,1),-1.4958 # DEPENDENCYPART_ARC
(9,2),-0.907375 # DEPENDENCYPART_ARC
(9,3),-0.874224 # DEPENDENCYPART_ARC
(9,4),-0.727865 # DEPENDENCYPART_ARC
(9,5),-0.189215 # DEPENDENCYPART_ARC
(9,6),-0.710434 # DEPENDENCYPART_ARC
(9,7),-0.391935 # DEPENDENCYPART_ARC
(9,8),0.483486 # DEPENDENCYPART_ARC
(9,10),3.64239 # DEPENDENCYPART_ARC
(9,11),0.979798 # DEPENDENCYPART_ARC
(9,12),0.238559 # DEPENDENCYPART_ARC
(9,13),1.28909 # DEPENDENCYPART_ARC
(9,14),-0.410591 # DEPENDENCYPART_ARC
(9,15),-0.266832 # DEPENDENCYPART_ARC
(9,16),0.336113 # DEPENDENCYPART_ARC
(9,17),-1.9412 # DEPENDENCYPART_ARC
(9,18),-1.10558 # DEPENDENCYPART_ARC
(9,19),-0.726126 # DEPENDENCYPART_ARC
(9,20),-1.79701 # DEPENDENCYPART_ARC
(9,21),-3.29043 # DEPENDENCYPART_ARC
(9,22),-2.33653 # DEPENDENCYPART_ARC
(9,23),-3.6445 # DEPENDENCYPART_ARC
(9,24),-2.79421 # DEPENDENCYPART_ARC
(9,25),-2.20465 # DEPENDENCYPART_ARC
(9,26),-2.23407 # DEPENDENCYPART_ARC
(9,27),-0.572452 # DEPENDENCYPART_ARC
(9,28),-0.438714 # DEPENDENCYPART_ARC
(10,1),-1.92322 # DEPENDENCYPART_ARC
(10,2),-0.854267 # DEPENDENCYPART_ARC
(10,3),-1.6531 # DEPENDENCYPART_ARC
(10,4),-1.78927 # DEPENDENCYPART_ARC
(10,5),-0.899669 # DEPENDENCYPART_ARC
(10,6),-0.565508 # DEPENDENCYPART_ARC
(10,7),-1.16298 # DEPENDENCYPART_ARC
(10,8),0.963816 # DEPENDENCYPART_ARC
(10,9),0.351224 # DEPENDENCYPART_ARC
(10,11),1.17299 # DEPENDENCYPART_ARC
(10,12),1.19456 # DEPENDENCYPART_ARC
(10,13),0.172069 # DEPENDENCYPART_ARC
(10,14),-0.105709 # DEPENDENCYPART_ARC
(10,15),0.0497514 # DEPENDENCYPART_ARC
(10,16),0.267015 # DEPENDENCYPART_ARC
(10,17),-1.14618 # DEPENDENCYPART_ARC
(10,18),-0.0661658 # DEPENDENCYPART_ARC
(10,19),-0.489277 # DEPENDENCYPART_ARC
(10,20),-0.69884 # DEPENDENCYPART_ARC
(10,21),-0.963015 # DEPENDENCYPART_ARC
(10,22),-0.960444 # DEPENDENCYPART_ARC
(10,23),-1.45127 # DEPENDENCYPART_ARC
(10,24),-2.06792 # DEPENDENCYPART_ARC
(10,25),-0.658096 # DEPENDENCYPART_ARC
(10,26),-0.749195 # DEPENDENCYPART_ARC
(10,27),-1.22237 # DEPENDENCYPART_ARC
(10,28),-0.758846 # DEPENDENCYPART_ARC
(11,1),-1.71885 # DEPENDENCYPART_ARC
(11,2),-1.48679 # DEPENDENCYPART_ARC
(11,3),-2.01074 # DEPENDENCYPART_ARC
(11,4),-1.65756 # DEPENDENCYPART_ARC
(11,5),-1.08841 # DEPENDENCYPART_ARC
(11,6),-1.97735 # DEPENDENCYPART_ARC
(11,7),-1.3976 # DEPENDENCYPART_ARC
(11,8),-1.10512 # DEPENDENCYPART_ARC
(11,9),-1.04287 # DEPENDENCYPART_ARC
(11,10),-0.856436 # DEPENDENCYPART_ARC
(11,12),0.134807 # DEPENDENCYPART_ARC
(11,13),-0.330461 # DEPENDENCYPART_ARC
(11,14),-0.847647 # DEPENDENCYPART_ARC
(11,15),-1.14369 # DEPENDENCYPART_ARC
(11,16),0.408662 # DEPENDENCYPART_ARC
(11,17),-1.66256 # DEPENDENCYPART_ARC
(11,18),-1.90583 # DEPENDENCYPART_ARC
(11,19),-2.38167 # DEPENDENCYPART_ARC
(11,20),-1.54905 # DEPENDENCYPART_ARC
(11,21),-2.16471 # DEPENDENCYPART_ARC
(11,22),-2.31319 # DEPENDENCYPART_ARC
(11,23),-2.46412 # DEPENDENCYPART_ARC
(11,24),-2.4175 # DEPENDENCYPART_ARC
(11,25),-2.7287 # DEPENDENCYPART_ARC
(11,26),-2.98863 # DEPENDENCYPART_ARC
(11,27),-3.08914 # DEPENDENCYPART_ARC
(11,28),-2.13202 # DEPENDENCYPART_ARC
(12,1),0.38251 # DEPENDENCYPART_ARC
(12,2),-1.03826 # DEPENDENCYPART_ARC
(12,3),-2.1032 # DEPENDENCYPART_ARC
(12,4),-1.10236 # DEPENDENCYPART_ARC
(12,5),-1.34881 # DEPENDENCYPART_ARC
(12,6),-1.69734 # DEPENDENCYPART_ARC
(12,7),-1.31309 # DEPENDENCYPART_ARC
(12,8),-1.30342 # DEPENDENCYPART_ARC
(12,9),-0.968466 # DEPENDENCYPART_ARC
(12,10),-1.10422 # DEPENDENCYPART_ARC
(12,11),0.598204 # DEPENDENCYPART_ARC
(12,13),-0.0854632 # DEPENDENCYPART_ARC
(12,14),-1.19239 # DEPENDENCYPART_ARC
(12,15),-1.54236 # DEPENDENCYPART_ARC
(12,16),-1.34261 # DEPENDENCYPART_ARC
(12,17),-2.35512 # DEPENDENCYPART_ARC
(12,18),-2.45625 # DEPENDENCYPART_ARC
(12,19),-2.26982 # DEPENDENCYPART_ARC
(12,20),-2.15154 # DEPENDENCYPART_ARC
(12,21),-2.74992 # DEPENDENCYPART_ARC
(12,22),-2.87521 # DEPENDENCYPART_ARC
(12,23),-3.00892 # DEPENDENCYPART_ARC
(12,24),-2.91259 # DEPENDENCYPART_ARC
(12,25),-3.27197 # DEPENDENCYPART_ARC
(12,26),-2.95552 # DEPENDENCYPART_ARC
(12,27),-3.0276 # DEPENDENCYPART_ARC
(12,28),-2.23567 # DEPENDENCYPART_ARC
(13,1),3.20652 # DEPENDENCYPART_ARC
(13,2),-1.87148 # DEPENDENCYPART_ARC
(13,3),-0.728376 # DEPENDENCYPART_ARC
(13,4),1.50442 # DEPENDENCYPART_ARC
(13,5),-0.481281 # DEPENDENCYPART_ARC
(13,6),-0.573163 # DEPENDENCYPART_ARC
(13,7),-0.550792 # DEPENDENCYPART_ARC
(13,8),-0.764182 # DEPENDENCYPART_ARC
(13,9),-0.494306 # DEPENDENCYPART_ARC
(13,10),-0.239423 # DEPENDENCYPART_ARC
(13,11),3.53124 # DEPENDENCYPART_ARC
(13,12),3.7295 # DEPENDENCYPART_ARC
(13,14),1.74762 # DEPENDENCYPART_ARC
(13,15),2.97597 # DEPENDENCYPART_ARC
(13,16),1.06029 # DEPENDENCYPART_ARC
(13,17),-0.61354 # DEPENDENCYPART_ARC
(13,18),0.369445 # DEPENDENCYPART_ARC
(13,19),-0.270444 # DEPENDENCYPART_ARC
(13,20),-1.5003 # DEPENDENCYPART_ARC
(13,21),-0.610176 # DEPENDENCYPART_ARC
(13,22),-0.0205165 # DEPENDENCYPART_ARC
(13,23),-0.496396 # DEPENDENCYPART_ARC
(13,24),-0.247572 # DEPENDENCYPART_ARC
(13,25),-0.34468 # DEPENDENCYPART_ARC
(13,26),-0.906274 # DEPENDENCYPART_ARC
(13,27),-0.511145 # DEPENDENCYPART_ARC
(13,28),7.76417 # DEPENDENCYPART_ARC
(14,1),-2.86685 # DEPENDENCYPART_ARC
(14,2),-3.42915 # DEPENDENCYPART_ARC
(14,3),-4.13985 # DEPENDENCYPART_ARC
(14,4),-3.68796 # DEPENDENCYPART_ARC
(14,5),-2.59557 # DEPENDENCYPART_ARC
(14,6),-3.0318 # DEPENDENCYPART_ARC
(14,7),-3.23191 # DEPENDENCYPART_ARC
(14,8),-2.74781 # DEPENDENCYPART_ARC
(14,9),-2.79869 # DEPENDENCYPART_ARC
(14,10),-2.01072 # DEPENDENCYPART_ARC
(14,11),-1.73659 # DEPENDENCYPART_ARC
(14,12),-0.965365 # DEPENDENCYPART_ARC
(14,13),-0.683478 # DEPENDENCYPART_ARC
(14,15),1.4206 # DEPENDENCYPART_ARC
(14,16),1.0126 # DEPENDENCYPART_ARC
(14,17),-0.323614 # DEPENDENCYPART_ARC
(14,18),-0.378823 # DEPENDENCYPART_ARC
(14,19),0.692805 # DEPENDENCYPART_ARC
(14,20),-0.401178 # DEPENDENCYPART_ARC
(14,21),-1.75443 # DEPENDENCYPART_ARC
(14,22),-1.37033 # DEPENDENCYPART_ARC
(14,23),-1.30707 # DEPENDENCYPART_ARC
(14,24),-1.41587 # DEPENDENCYPART_ARC
(14,25),-1.53168 # DEPENDENCYPART_ARC
(14,26),-1.2608 # DEPENDENCYPART_ARC
(14,27),-1.46285 # DEPENDENCYPART_ARC
(14,28),-0.732572 # DEPENDENCYPART_ARC
(15,1),-0.940463 # DEPENDENCYPART_ARC
(15,2),-1.51179 # DEPENDENCYPART_ARC
(15,3),-2.58011 # DEPENDENCYPART_ARC
(15,4),-2.57956 # DEPENDENCYPART_ARC
(15,5),-0.725952 # DEPENDENCYPART_ARC
(15,6),-1.26263 # DEPENDENCYPART_ARC
(15,7),-1.70526 # DEPENDENCYPART_ARC
(15,8),-0.892921 # DEPENDENCYPART_ARC
(15,9),-1.59836 # DEPENDENCYPART_ARC
(15,10),-0.777564 # DEPENDENCYPART_ARC
(15,11),-0.433648 # DEPENDENCYPART_ARC
(15,12),0.194062 # DEPENDENCYPART_ARC
(15,13),0.214843 # DEPENDENCYPART_ARC
(15,14),4.91634 # DEPENDENCYPART_ARC
(15,16),3.56738 # DEPENDENCYPART_ARC
(15,17),1.19548 # DEPENDENCYPART_ARC
(15,18),1.19883 # DEPENDENCYPART_ARC
(15,19),3.01077 # DEPENDENCYPART_ARC
(15,20),1.05467 # DEPENDENCYPART_ARC
(15,21),-0.28783 # DEPENDENCYPART_ARC
(15,22),0.208214 # DEPENDENCYPART_ARC
(15,23),1.03274 # DEPENDENCYPART_ARC
(15,24),0.740695 # DEPENDENCYPART_ARC
(15,25),0.288613 # DEPENDENCYPART_ARC
(15,26),0.553538 # DEPENDENCYPART_ARC
(15,27),0.62163 # DEPENDENCYPART_ARC
(15,28),0.956115 # DEPENDENCYPART_ARC
(16,1),-2.45162 # DEPENDENCYPART_ARC
(16,2),-2.46948 # DEPENDENCYPART_ARC
(16,3),-2.63815 # DEPENDENCYPART_ARC
(16,4),-2.44323 # DEPENDENCYPART_ARC
(16,5),-2.00642 # DEPENDENCYPART_ARC
(16,6),-2.77316 # DEPENDENCYPART_ARC
(16,7),-1.9779 # DEPENDENCYPART_ARC
(16,8),-2.02838 # DEPENDENCYPART_ARC
(16,9),-2.22027 # DEPENDENCYPART_ARC
(16,10),-1.74811 # DEPENDENCYPART_ARC
(16,11),-0.682766 # DEPENDENCYPART_ARC
(16,12),-1.59069 # DEPENDENCYPART_ARC
(16,13),-1.37678 # DEPENDENCYPART_ARC
(16,14),-1.70337 # DEPENDENCYPART_ARC
(16,15),-1.15008 # DEPENDENCYPART_ARC
(16,17),-0.4175 # DEPENDENCYPART_ARC
(16,18),-0.803747 # DEPENDENCYPART_ARC
(16,19),-1.66661 # DEPENDENCYPART_ARC
(16,20),-1.19708 # DEPENDENCYPART_ARC
(16,21),-1.39734 # DEPENDENCYPART_ARC
(16,22),-1.83248 # DEPENDENCYPART_ARC
(16,23),-1.95741 # DEPENDENCYPART_ARC
(16,24),-2.05771 # DEPENDENCYPART_ARC
(16,25),-2.20719 # DEPENDENCYPART_ARC
(16,26),-2.73038 # DEPENDENCYPART_ARC
(16,27),-2.76933 # DEPENDENCYPART_ARC
(16,28),-1.74262 # DEPENDENCYPART_ARC
(17,1),-3.93964 # DEPENDENCYPART_ARC
(17,2),-3.20864 # DEPENDENCYPART_ARC
(17,3),-3.98221 # DEPENDENCYPART_ARC
(17,4),-3.42052 # DEPENDENCYPART_ARC
(17,5),-3.23641 # DEPENDENCYPART_ARC
(17,6),-3.16538 # DEPENDENCYPART_ARC
(17,7),-2.9801 # DEPENDENCYPART_ARC
(17,8),-3.26774 # DEPENDENCYPART_ARC
(17,9),-3.27644 # DEPENDENCYPART_ARC
(17,10),-3.04072 # DEPENDENCYPART_ARC
(17,11),-2.50653 # DEPENDENCYPART_ARC
(17,12),-2.49819 # DEPENDENCYPART_ARC
(17,13),-2.32367 # DEPENDENCYPART_ARC
(17,14),-1.85245 # DEPENDENCYPART_ARC
(17,15),-1.72567 # DEPENDENCYPART_ARC
(17,16),-0.846746 # DEPENDENCYPART_ARC
(17,18),-0.140837 # DEPENDENCYPART_ARC
(17,19),-0.643165 # DEPENDENCYPART_ARC
(17,20),-0.557002 # DEPENDENCYPART_ARC
(17,21),-1.32182 # DEPENDENCYPART_ARC
(17,22),-1.43211 # DEPENDENCYPART_ARC
(17,23),-1.77709 # DEPENDENCYPART_ARC
(17,24),-2.08339 # DEPENDENCYPART_ARC
(17,25),-1.80391 # DEPENDENCYPART_ARC
(17,26),-1.93489 # DEPENDENCYPART_ARC
(17,27),-1.91667 # DEPENDENCYPART_ARC
(17,28),-2.35398 # DEPENDENCYPART_ARC
(18,1),-2.87077 # DEPENDENCYPART_ARC
(18,2),-2.30568 # DEPENDENCYPART_ARC
(18,3),-2.848 # DEPENDENCYPART_ARC
(18,4),-2.86672 # DEPENDENCYPART_ARC
(18,5),-2.80305 # DEPENDENCYPART_ARC
(18,6),-3.10083 # DEPENDENCYPART_ARC
(18,7),-1.78364 # DEPENDENCYPART_ARC
(18,8),-2.24593 # DEPENDENCYPART_ARC
(18,9),-2.86701 # DEPENDENCYPART_ARC
(18,10),-2.32344 # DEPENDENCYPART_ARC
(18,11),-1.78281 # DEPENDENCYPART_ARC
(18,12),-1.83327 # DEPENDENCYPART_ARC
(18,13),-1.82365 # DEPENDENCYPART_ARC
(18,14),-0.560584 # DEPENDENCYPART_ARC
(18,15),-1.11273 # DEPENDENCYPART_ARC
(18,16),-0.578936 # DEPENDENCYPART_ARC
(18,17),1.30636 # DEPENDENCYPART_ARC
(18,19),0.770612 # DEPENDENCYPART_ARC
(18,20),0.269639 # DEPENDENCYPART_ARC
(18,21),-0.556551 # DEPENDENCYPART_ARC
(18,22),-0.629407 # DEPENDENCYPART_ARC
