# _root_ Like its parent that year , `` Bluefield was not having a good year , '' the judge said .
#goldHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
#predictedHeads=9,3,1,5,3,9,9,9,19,9,9,14,14,11,19,19,18,19,0,19,
(6,10),-1.26731 # DEPENDENCYPART_ARC
(6,11),-1.24875 # DEPENDENCYPART_ARC
(6,12),-1.56624 # DEPENDENCYPART_ARC
(6,13),-1.77849 # DEPENDENCYPART_ARC
(6,14),-2.1984 # DEPENDENCYPART_ARC
(6,15),-0.104569 # DEPENDENCYPART_ARC
(6,16),-1.21267 # DEPENDENCYPART_ARC
(6,17),-2.15264 # DEPENDENCYPART_ARC
(6,18),-2.61673 # DEPENDENCYPART_ARC
(6,19),-1.80806 # DEPENDENCYPART_ARC
(6,20),-1.69901 # DEPENDENCYPART_ARC
(7,1),-2.11505 # DEPENDENCYPART_ARC
(7,2),-1.53493 # DEPENDENCYPART_ARC
(7,3),-1.85445 # DEPENDENCYPART_ARC
(7,4),-1.21855 # DEPENDENCYPART_ARC
(7,5),-1.57572 # DEPENDENCYPART_ARC
(7,6),-0.619417 # DEPENDENCYPART_ARC
(7,8),-0.424318 # DEPENDENCYPART_ARC
(7,9),-0.845379 # DEPENDENCYPART_ARC
(7,10),-1.22852 # DEPENDENCYPART_ARC
(7,11),-1.71272 # DEPENDENCYPART_ARC
(7,12),-2.38711 # DEPENDENCYPART_ARC
(7,13),-1.65756 # DEPENDENCYPART_ARC
(7,14),-2.08359 # DEPENDENCYPART_ARC
(7,15),-1.49618 # DEPENDENCYPART_ARC
(7,16),-0.48765 # DEPENDENCYPART_ARC
(7,17),-2.75852 # DEPENDENCYPART_ARC
(7,18),-2.28281 # DEPENDENCYPART_ARC
(7,19),-2.34843 # DEPENDENCYPART_ARC
(7,20),-1.77081 # DEPENDENCYPART_ARC
(8,1),-1.7248 # DEPENDENCYPART_ARC
(8,2),0.0281779 # DEPENDENCYPART_ARC
(8,3),-0.347739 # DEPENDENCYPART_ARC
(8,4),-0.788521 # DEPENDENCYPART_ARC
(8,5),-0.92374 # DEPENDENCYPART_ARC
(8,6),0.824975 # DEPENDENCYPART_ARC
(8,7),0.946964 # DEPENDENCYPART_ARC
(8,9),0.417722 # DEPENDENCYPART_ARC
(8,10),-0.165712 # DEPENDENCYPART_ARC
(8,11),-0.124705 # DEPENDENCYPART_ARC
(8,12),-0.63524 # DEPENDENCYPART_ARC
(8,13),-0.374003 # DEPENDENCYPART_ARC
(8,14),-0.232016 # DEPENDENCYPART_ARC
(8,15),-0.134424 # DEPENDENCYPART_ARC
(8,16),0.17377 # DEPENDENCYPART_ARC
(8,17),-1.03834 # DEPENDENCYPART_ARC
(8,18),-1.3942 # DEPENDENCYPART_ARC
(8,19),-2.21218 # DEPENDENCYPART_ARC
(8,20),-1.33165 # DEPENDENCYPART_ARC
(9,1),2.0273 # DEPENDENCYPART_ARC
(9,2),0.233087 # DEPENDENCYPART_ARC
(9,3),0.90219 # DEPENDENCYPART_ARC
(9,4),-0.0360327 # DEPENDENCYPART_ARC
(9,5),1.07013 # DEPENDENCYPART_ARC
(9,6),2.48698 # DEPENDENCYPART_ARC
(9,7),1.96843 # DEPENDENCYPART_ARC
(9,8),2.82151 # DEPENDENCYPART_ARC
(9,10),3.58048 # DEPENDENCYPART_ARC
(9,11),2.8339 # DEPENDENCYPART_ARC
(9,12),0.00308202 # DEPENDENCYPART_ARC
(9,13),0.931537 # DEPENDENCYPART_ARC
(9,14),2.21771 # DEPENDENCYPART_ARC
(9,15),1.78351 # DEPENDENCYPART_ARC
(9,16),1.26215 # DEPENDENCYPART_ARC
(9,17),-0.94126 # DEPENDENCYPART_ARC
(9,18),-0.37358 # DEPENDENCYPART_ARC
(9,19),-0.524545 # DEPENDENCYPART_ARC
(9,20),3.02204 # DEPENDENCYPART_ARC
(10,1),-1.43165 # DEPENDENCYPART_ARC
(10,2),-1.33666 # DEPENDENCYPART_ARC
(10,3),-1.82091 # DEPENDENCYPART_ARC
(10,4),-0.774112 # DEPENDENCYPART_ARC
(10,5),-0.766763 # DEPENDENCYPART_ARC
(10,6),-0.633325 # DEPENDENCYPART_ARC
(10,7),-0.742852 # DEPENDENCYPART_ARC
(10,8),-0.721091 # DEPENDENCYPART_ARC
(10,9),-0.129542 # DEPENDENCYPART_ARC
(10,11),1.14177 # DEPENDENCYPART_ARC
(10,12),1.39793 # DEPENDENCYPART_ARC
(10,13),0.349863 # DEPENDENCYPART_ARC
(10,14),0.355395 # DEPENDENCYPART_ARC
(10,15),0.187729 # DEPENDENCYPART_ARC
(10,16),0.326372 # DEPENDENCYPART_ARC
(10,17),-0.254453 # DEPENDENCYPART_ARC
(10,18),-1.38105 # DEPENDENCYPART_ARC
(10,19),0.0100426 # DEPENDENCYPART_ARC
(10,20),-0.0633303 # DEPENDENCYPART_ARC
(11,1),-0.822561 # DEPENDENCYPART_ARC
(11,2),0.606621 # DEPENDENCYPART_ARC
(11,3),-0.195157 # DEPENDENCYPART_ARC
(11,4),0.665972 # DEPENDENCYPART_ARC
(11,5),-0.166329 # DEPENDENCYPART_ARC
(11,6),-0.101788 # DEPENDENCYPART_ARC
(11,7),0.649697 # DEPENDENCYPART_ARC
(11,8),0.999115 # DEPENDENCYPART_ARC
(11,9),0.0839785 # DEPENDENCYPART_ARC
(11,10),2.28026 # DEPENDENCYPART_ARC
(11,12),1.83923 # DEPENDENCYPART_ARC
(11,13),2.18213 # DEPENDENCYPART_ARC
(11,14),3.71065 # DEPENDENCYPART_ARC
(11,15),1.70258 # DEPENDENCYPART_ARC
(11,16),1.411 # DEPENDENCYPART_ARC
(11,17),0.236042 # DEPENDENCYPART_ARC
(11,18),1.47147 # DEPENDENCYPART_ARC
(11,19),1.34501 # DEPENDENCYPART_ARC
(11,20),1.05547 # DEPENDENCYPART_ARC
(12,1),-2.22879 # DEPENDENCYPART_ARC
(12,2),-2.15032 # DEPENDENCYPART_ARC
(12,3),-2.75466 # DEPENDENCYPART_ARC
(12,4),-1.68871 # DEPENDENCYPART_ARC
(12,5),-2.49701 # DEPENDENCYPART_ARC
(12,6),-1.9782 # DEPENDENCYPART_ARC
(12,7),-1.90285 # DEPENDENCYPART_ARC
(12,8),-1.71673 # DEPENDENCYPART_ARC
(12,9),-1.41863 # DEPENDENCYPART_ARC
(12,10),-0.657364 # DEPENDENCYPART_ARC
(12,11),-0.334829 # DEPENDENCYPART_ARC
(12,13),0.556067 # DEPENDENCYPART_ARC
(12,14),0.115741 # DEPENDENCYPART_ARC
(12,15),-0.235575 # DEPENDENCYPART_ARC
(12,16),-0.458908 # DEPENDENCYPART_ARC
(12,17),-1.43097 # DEPENDENCYPART_ARC
(12,18),-0.729624 # DEPENDENCYPART_ARC
(12,19),-0.620468 # DEPENDENCYPART_ARC
(12,20),-0.976976 # DEPENDENCYPART_ARC
(13,1),-1.95139 # DEPENDENCYPART_ARC
(13,2),-0.769488 # DEPENDENCYPART_ARC
(13,3),-1.7061 # DEPENDENCYPART_ARC
(13,4),-1.34687 # DEPENDENCYPART_ARC
(13,5),-1.73305 # DEPENDENCYPART_ARC
(13,6),-1.12811 # DEPENDENCYPART_ARC
(13,7),-0.815172 # DEPENDENCYPART_ARC
(13,8),-0.725655 # DEPENDENCYPART_ARC
(13,9),-1.41126 # DEPENDENCYPART_ARC
(13,10),-0.189988 # DEPENDENCYPART_ARC
(13,11),-0.0191065 # DEPENDENCYPART_ARC
(13,12),1.87372 # DEPENDENCYPART_ARC
(13,14),0.861591 # DEPENDENCYPART_ARC
(13,15),-0.729558 # DEPENDENCYPART_ARC
(13,16),-0.265533 # DEPENDENCYPART_ARC
(13,17),-1.52083 # DEPENDENCYPART_ARC
(13,18),-1.22427 # DEPENDENCYPART_ARC
(13,19),-1.00383 # DEPENDENCYPART_ARC
(13,20),-0.553469 # DEPENDENCYPART_ARC
(14,1),-1.39218 # DEPENDENCYPART_ARC
(14,2),-0.557655 # DEPENDENCYPART_ARC
(14,3),-4.00135 # DEPENDENCYPART_ARC
(14,4),-2.42171 # DEPENDENCYPART_ARC
(14,5),-3.5471 # DEPENDENCYPART_ARC
(14,6),-1.51565 # DEPENDENCYPART_ARC
(14,7),-0.620947 # DEPENDENCYPART_ARC
(14,8),-2.07241 # DEPENDENCYPART_ARC
(14,9),-0.43401 # DEPENDENCYPART_ARC
(14,10),0.952168 # DEPENDENCYPART_ARC
(14,11),0.545694 # DEPENDENCYPART_ARC
(14,12),4.17575 # DEPENDENCYPART_ARC
(14,13),4.70046 # DEPENDENCYPART_ARC
(14,15),0.66321 # DEPENDENCYPART_ARC
(14,16),1.3708 # DEPENDENCYPART_ARC
(14,17),-0.275608 # DEPENDENCYPART_ARC
(14,18),-0.307792 # DEPENDENCYPART_ARC
(14,19),-0.546266 # DEPENDENCYPART_ARC
(14,20),0.138509 # DEPENDENCYPART_ARC
(15,1),-2.52913 # DEPENDENCYPART_ARC
(15,2),-1.96552 # DEPENDENCYPART_ARC
(15,3),-2.22438 # DEPENDENCYPART_ARC
(15,4),-2.09437 # DEPENDENCYPART_ARC
(15,5),-2.27091 # DEPENDENCYPART_ARC
(15,6),-0.51314 # DEPENDENCYPART_ARC
(15,7),-1.72609 # DEPENDENCYPART_ARC
(15,8),-2.17225 # DEPENDENCYPART_ARC
(15,9),-1.55369 # DEPENDENCYPART_ARC
(15,10),-2.16063 # DEPENDENCYPART_ARC
(15,11),-1.24788 # DEPENDENCYPART_ARC
(15,12),-0.719019 # DEPENDENCYPART_ARC
(15,13),-1.34727 # DEPENDENCYPART_ARC
(15,14),-1.2198 # DEPENDENCYPART_ARC
(15,16),0.188853 # DEPENDENCYPART_ARC
(15,17),-0.931809 # DEPENDENCYPART_ARC
(15,18),-1.26512 # DEPENDENCYPART_ARC
(15,19),-0.937034 # DEPENDENCYPART_ARC
(15,20),-1.33212 # DEPENDENCYPART_ARC
(16,1),-2.50049 # DEPENDENCYPART_ARC
(16,2),-2.0284 # DEPENDENCYPART_ARC
(16,3),-2.84235 # DEPENDENCYPART_ARC
(16,4),-1.89772 # DEPENDENCYPART_ARC
(16,5),-2.67105 # DEPENDENCYPART_ARC
(16,6),-1.60344 # DEPENDENCYPART_ARC
(16,7),0.0384651 # DEPENDENCYPART_ARC
(16,8),-1.99628 # DEPENDENCYPART_ARC
(16,9),-1.68459 # DEPENDENCYPART_ARC
(16,10),-1.92993 # DEPENDENCYPART_ARC
(16,11),-1.44774 # DEPENDENCYPART_ARC
(16,12),-0.505843 # DEPENDENCYPART_ARC
(16,13),-1.05034 # DEPENDENCYPART_ARC
(16,14),-1.3491 # DEPENDENCYPART_ARC
(16,15),0.363193 # DEPENDENCYPART_ARC
(16,17),-0.0746747 # DEPENDENCYPART_ARC
(16,18),-0.191703 # DEPENDENCYPART_ARC
(16,19),-0.413083 # DEPENDENCYPART_ARC
(16,20),-0.670342 # DEPENDENCYPART_ARC
(17,1),-2.92802 # DEPENDENCYPART_ARC
(17,2),-2.3324 # DEPENDENCYPART_ARC
(17,3),-3.30457 # DEPENDENCYPART_ARC
(17,4),-2.38159 # DEPENDENCYPART_ARC
(17,5),-3.05422 # DEPENDENCYPART_ARC
(17,6),-2.31818 # DEPENDENCYPART_ARC
(17,7),-2.48753 # DEPENDENCYPART_ARC
(17,8),-2.24047 # DEPENDENCYPART_ARC
(17,9),-2.07922 # DEPENDENCYPART_ARC
(17,10),-1.84526 # DEPENDENCYPART_ARC
(17,11),-1.72364 # DEPENDENCYPART_ARC
(17,12),-0.968879 # DEPENDENCYPART_ARC
(17,13),-1.30233 # DEPENDENCYPART_ARC
(17,14),-1.35369 # DEPENDENCYPART_ARC
(17,15),-0.790678 # DEPENDENCYPART_ARC
(17,16),-0.309588 # DEPENDENCYPART_ARC
(17,18),-0.113648 # DEPENDENCYPART_ARC
(17,19),-0.159245 # DEPENDENCYPART_ARC
(17,20),-1.50253 # DEPENDENCYPART_ARC
(18,1),-2.30181 # DEPENDENCYPART_ARC
(18,2),-1.36801 # DEPENDENCYPART_ARC
(18,3),-4.43889 # DEPENDENCYPART_ARC
(18,4),-4.10814 # DEPENDENCYPART_ARC
(18,5),-5.03781 # DEPENDENCYPART_ARC
(18,6),-1.85268 # DEPENDENCYPART_ARC
(18,7),-0.833695 # DEPENDENCYPART_ARC
(18,8),-3.62463 # DEPENDENCYPART_ARC
(18,9),-1.36153 # DEPENDENCYPART_ARC
(18,10),-2.04077 # DEPENDENCYPART_ARC
(18,11),-0.430706 # DEPENDENCYPART_ARC
(18,12),1.55535 # DEPENDENCYPART_ARC
(18,13),0.931652 # DEPENDENCYPART_ARC
(18,14),-1.43462 # DEPENDENCYPART_ARC
(18,15),0.373453 # DEPENDENCYPART_ARC
(18,16),0.679138 # DEPENDENCYPART_ARC
(18,17),4.85464 # DEPENDENCYPART_ARC
(18,19),1.05892 # DEPENDENCYPART_ARC
(18,20),0.209941 # DEPENDENCYPART_ARC
(19,1),-1.12174 # DEPENDENCYPART_ARC
(19,2),-1.3687 # DEPENDENCYPART_ARC
(19,3),-1.64185 # DEPENDENCYPART_ARC
(19,4),-3.92396 # DEPENDENCYPART_ARC
(19,5),-1.54636 # DEPENDENCYPART_ARC
(19,6),1.03846 # DEPENDENCYPART_ARC
(19,7),1.18789 # DEPENDENCYPART_ARC
(19,8),-0.0878884 # DEPENDENCYPART_ARC
(19,9),1.21312 # DEPENDENCYPART_ARC
(19,10),-0.627501 # DEPENDENCYPART_ARC
(19,11),-0.287612 # DEPENDENCYPART_ARC
(19,12),-0.780323 # DEPENDENCYPART_ARC
(19,13),-0.408784 # DEPENDENCYPART_ARC
(19,14),-0.605393 # DEPENDENCYPART_ARC
(19,15),3.42336 # DEPENDENCYPART_ARC
(19,16),3.43524 # DEPENDENCYPART_ARC
(19,17),0.551946 # DEPENDENCYPART_ARC
(19,18),3.42245 # DEPENDENCYPART_ARC
(19,20),7.24627 # DEPENDENCYPART_ARC
(20,1),-3.55558 # DEPENDENCYPART_ARC
(20,2),-2.2688 # DEPENDENCYPART_ARC
(20,3),-2.28773 # DEPENDENCYPART_ARC
(20,4),-2.47553 # DEPENDENCYPART_ARC
(20,5),-2.43019 # DEPENDENCYPART_ARC
(20,6),-0.895814 # DEPENDENCYPART_ARC
(20,7),-1.95574 # DEPENDENCYPART_ARC
(20,8),-2.33098 # DEPENDENCYPART_ARC
(20,9),-1.58997 # DEPENDENCYPART_ARC
(20,10),-1.889 # DEPENDENCYPART_ARC
(20,11),-1.39489 # DEPENDENCYPART_ARC
(20,12),-1.57645 # DEPENDENCYPART_ARC
(20,13),-1.91333 # DEPENDENCYPART_ARC
(20,14),-1.56064 # DEPENDENCYPART_ARC
(20,15),-0.675375 # DEPENDENCYPART_ARC
(20,16),-1.47395 # DEPENDENCYPART_ARC
(20,17),-0.779736 # DEPENDENCYPART_ARC
(20,18),-2.19198 # DEPENDENCYPART_ARC
(20,19),-0.991395 # DEPENDENCYPART_ARC
