# _root_ A. manual typewriters , B. black-and-white snapshots , C. radio adventure shows .
#goldHeads=3,3,0,3,7,7,3,7,12,12,12,7,3,
#predictedHeads=3,3,12,3,7,7,3,7,12,12,12,0,5,
(2,12),-1.18461 # DEPENDENCYPART_ARC
(2,13),-0.505567 # DEPENDENCYPART_ARC
(3,1),1.87111 # DEPENDENCYPART_ARC
(3,2),3.9646 # DEPENDENCYPART_ARC
(3,4),2.05291 # DEPENDENCYPART_ARC
(3,5),0.826302 # DEPENDENCYPART_ARC
(3,6),0.79638 # DEPENDENCYPART_ARC
(3,7),1.79968 # DEPENDENCYPART_ARC
(3,8),1.4587 # DEPENDENCYPART_ARC
(3,9),0.0901017 # DEPENDENCYPART_ARC
(3,10),0.54178 # DEPENDENCYPART_ARC
(3,11),0.3996 # DEPENDENCYPART_ARC
(3,12),-0.337138 # DEPENDENCYPART_ARC
(3,13),-0.131887 # DEPENDENCYPART_ARC
(4,1),-0.730381 # DEPENDENCYPART_ARC
(4,2),-1.18028 # DEPENDENCYPART_ARC
(4,3),-1.06025 # DEPENDENCYPART_ARC
(4,5),-0.375556 # DEPENDENCYPART_ARC
(4,6),-0.94253 # DEPENDENCYPART_ARC
(4,7),-1.42086 # DEPENDENCYPART_ARC
(4,8),0.0401952 # DEPENDENCYPART_ARC
(4,9),-1.73527 # DEPENDENCYPART_ARC
(4,10),-2.19817 # DEPENDENCYPART_ARC
(4,11),-2.31241 # DEPENDENCYPART_ARC
(4,12),-2.40763 # DEPENDENCYPART_ARC
(4,13),-1.64659 # DEPENDENCYPART_ARC
(5,1),-0.160357 # DEPENDENCYPART_ARC
(5,2),0.0387526 # DEPENDENCYPART_ARC
(5,3),-0.0506494 # DEPENDENCYPART_ARC
(5,4),0.925974 # DEPENDENCYPART_ARC
(5,6),1.29868 # DEPENDENCYPART_ARC
(5,7),0.844412 # DEPENDENCYPART_ARC
(5,8),0.408253 # DEPENDENCYPART_ARC
(5,9),-0.221669 # DEPENDENCYPART_ARC
(5,10),-0.0778934 # DEPENDENCYPART_ARC
(5,11),-0.366913 # DEPENDENCYPART_ARC
(5,12),-0.539146 # DEPENDENCYPART_ARC
(5,13),0.65972 # DEPENDENCYPART_ARC
(6,1),-0.260076 # DEPENDENCYPART_ARC
(6,2),0.460882 # DEPENDENCYPART_ARC
(6,3),-0.437605 # DEPENDENCYPART_ARC
(6,4),0.206774 # DEPENDENCYPART_ARC
(6,5),1.36769 # DEPENDENCYPART_ARC
(6,7),0.959267 # DEPENDENCYPART_ARC
(6,8),0.0582038 # DEPENDENCYPART_ARC
(6,9),-0.475361 # DEPENDENCYPART_ARC
(6,10),-0.447803 # DEPENDENCYPART_ARC
(6,11),-0.869036 # DEPENDENCYPART_ARC
(6,12),-0.79993 # DEPENDENCYPART_ARC
(6,13),-0.535798 # DEPENDENCYPART_ARC
(7,1),0.192041 # DEPENDENCYPART_ARC
(7,2),1.9169 # DEPENDENCYPART_ARC
(7,3),0.330889 # DEPENDENCYPART_ARC
(7,4),0.562863 # DEPENDENCYPART_ARC
(7,5),1.90372 # DEPENDENCYPART_ARC
(7,6),3.94352 # DEPENDENCYPART_ARC
(7,8),1.9927 # DEPENDENCYPART_ARC
(7,9),0.766094 # DEPENDENCYPART_ARC
(7,10),1.12007 # DEPENDENCYPART_ARC
(7,11),0.851153 # DEPENDENCYPART_ARC
(7,12),0.243102 # DEPENDENCYPART_ARC
(7,13),0.304954 # DEPENDENCYPART_ARC
(8,1),-1.42481 # DEPENDENCYPART_ARC
(8,2),-1.66444 # DEPENDENCYPART_ARC
(8,3),-2.18857 # DEPENDENCYPART_ARC
(8,4),-0.117201 # DEPENDENCYPART_ARC
(8,5),-0.788766 # DEPENDENCYPART_ARC
(8,6),-1.25025 # DEPENDENCYPART_ARC
(8,7),-1.13022 # DEPENDENCYPART_ARC
(8,9),-0.418996 # DEPENDENCYPART_ARC
(8,10),-1.08255 # DEPENDENCYPART_ARC
(8,11),-1.48294 # DEPENDENCYPART_ARC
(8,12),-1.67643 # DEPENDENCYPART_ARC
(8,13),-1.58661 # DEPENDENCYPART_ARC
(9,1),-0.866268 # DEPENDENCYPART_ARC
(9,2),-0.950622 # DEPENDENCYPART_ARC
(9,3),-0.931932 # DEPENDENCYPART_ARC
(9,4),-0.562989 # DEPENDENCYPART_ARC
(9,5),-0.227534 # DEPENDENCYPART_ARC
(9,6),-0.0297372 # DEPENDENCYPART_ARC
(9,7),-0.117826 # DEPENDENCYPART_ARC
(9,8),0.858797 # DEPENDENCYPART_ARC
(9,10),1.19898 # DEPENDENCYPART_ARC
(9,11),0.567955 # DEPENDENCYPART_ARC
(9,12),0.0625742 # DEPENDENCYPART_ARC
(9,13),0.58252 # DEPENDENCYPART_ARC
(10,1),-1.86256 # DEPENDENCYPART_ARC
(10,2),-1.36964 # DEPENDENCYPART_ARC
(10,3),-2.07763 # DEPENDENCYPART_ARC
(10,4),-1.21102 # DEPENDENCYPART_ARC
(10,5),-0.895095 # DEPENDENCYPART_ARC
(10,6),-0.192275 # DEPENDENCYPART_ARC
(10,7),-0.967356 # DEPENDENCYPART_ARC
(10,8),-0.350625 # DEPENDENCYPART_ARC
(10,9),0.917461 # DEPENDENCYPART_ARC
(10,11),1.405 # DEPENDENCYPART_ARC
(10,12),0.349733 # DEPENDENCYPART_ARC
(10,13),0.0439879 # DEPENDENCYPART_ARC
(11,1),-1.45871 # DEPENDENCYPART_ARC
(11,2),-0.877128 # DEPENDENCYPART_ARC
(11,3),-1.7044 # DEPENDENCYPART_ARC
(11,4),-1.11894 # DEPENDENCYPART_ARC
(11,5),-0.88161 # DEPENDENCYPART_ARC
(11,6),0.132052 # DEPENDENCYPART_ARC
(11,7),-0.793339 # DEPENDENCYPART_ARC
(11,8),-0.404084 # DEPENDENCYPART_ARC
(11,9),0.695413 # DEPENDENCYPART_ARC
(11,10),2.33776 # DEPENDENCYPART_ARC
(11,12),0.807109 # DEPENDENCYPART_ARC
(11,13),-0.457826 # DEPENDENCYPART_ARC
(12,1),-0.0897377 # DEPENDENCYPART_ARC
(12,2),1.18365 # DEPENDENCYPART_ARC
(12,3),-0.212295 # DEPENDENCYPART_ARC
(12,4),1.24137 # DEPENDENCYPART_ARC
(12,5),0.683473 # DEPENDENCYPART_ARC
(12,6),1.7071 # DEPENDENCYPART_ARC
(12,7),0.723486 # DEPENDENCYPART_ARC
(12,8),1.63754 # DEPENDENCYPART_ARC
(12,9),1.88281 # DEPENDENCYPART_ARC
(12,10),4.30777 # DEPENDENCYPART_ARC
(12,11),4.38372 # DEPENDENCYPART_ARC
(12,13),0.641466 # DEPENDENCYPART_ARC
(13,1),-1.64409 # DEPENDENCYPART_ARC
(13,2),-2.37455 # DEPENDENCYPART_ARC
(13,3),-2.44537 # DEPENDENCYPART_ARC
(13,4),-0.920425 # DEPENDENCYPART_ARC
(13,5),-1.33485 # DEPENDENCYPART_ARC
(13,6),-1.92908 # DEPENDENCYPART_ARC
(13,7),-2.00927 # DEPENDENCYPART_ARC
(13,8),-0.835667 # DEPENDENCYPART_ARC
(13,9),-1.08713 # DEPENDENCYPART_ARC
(13,10),-1.24912 # DEPENDENCYPART_ARC
(13,11),-2.07248 # DEPENDENCYPART_ARC
(13,12),-1.83183 # DEPENDENCYPART_ARC
