# _root_ `` The question is how long it 's going to take Barry Wright to make a contribution , '' says F. John Mirek , an analyst at Blunt Ellis Loewi in Milwaukee .
#goldHeads=20,3,4,20,6,11,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
#predictedHeads=20,3,4,20,8,5,8,4,8,9,10,13,11,11,14,17,15,20,20,0,23,23,20,23,26,23,26,30,30,27,30,31,20,
(5,10),0.0747498 # DEPENDENCYPART_ARC
(5,11),0.527576 # DEPENDENCYPART_ARC
(5,12),-0.232869 # DEPENDENCYPART_ARC
(5,13),-0.367342 # DEPENDENCYPART_ARC
(5,14),-0.279693 # DEPENDENCYPART_ARC
(5,15),0.151619 # DEPENDENCYPART_ARC
(5,16),-0.736778 # DEPENDENCYPART_ARC
(5,17),0.00718648 # DEPENDENCYPART_ARC
(5,18),-0.0200274 # DEPENDENCYPART_ARC
(5,19),0.476594 # DEPENDENCYPART_ARC
(5,20),-0.722353 # DEPENDENCYPART_ARC
(5,21),-1.18578 # DEPENDENCYPART_ARC
(5,22),-1.29651 # DEPENDENCYPART_ARC
(5,23),-1.41879 # DEPENDENCYPART_ARC
(5,24),-0.66471 # DEPENDENCYPART_ARC
(5,25),-1.64625 # DEPENDENCYPART_ARC
(5,26),-1.10845 # DEPENDENCYPART_ARC
(5,27),-0.982289 # DEPENDENCYPART_ARC
(5,28),-1.95471 # DEPENDENCYPART_ARC
(5,29),-2.05569 # DEPENDENCYPART_ARC
(5,30),-2.11066 # DEPENDENCYPART_ARC
(5,31),-1.71777 # DEPENDENCYPART_ARC
(5,32),-2.41962 # DEPENDENCYPART_ARC
(5,33),-0.599221 # DEPENDENCYPART_ARC
(6,1),-0.364279 # DEPENDENCYPART_ARC
(6,2),0.793002 # DEPENDENCYPART_ARC
(6,3),0.199859 # DEPENDENCYPART_ARC
(6,4),-0.107262 # DEPENDENCYPART_ARC
(6,5),1.93947 # DEPENDENCYPART_ARC
(6,7),1.2511 # DEPENDENCYPART_ARC
(6,8),1.60179 # DEPENDENCYPART_ARC
(6,9),0.446449 # DEPENDENCYPART_ARC
(6,10),0.617505 # DEPENDENCYPART_ARC
(6,11),-0.20368 # DEPENDENCYPART_ARC
(6,12),-0.500432 # DEPENDENCYPART_ARC
(6,13),-0.569331 # DEPENDENCYPART_ARC
(6,14),-0.353794 # DEPENDENCYPART_ARC
(6,15),-0.907665 # DEPENDENCYPART_ARC
(6,16),-0.887769 # DEPENDENCYPART_ARC
(6,17),-0.352786 # DEPENDENCYPART_ARC
(6,18),-0.215697 # DEPENDENCYPART_ARC
(6,19),0.491255 # DEPENDENCYPART_ARC
(6,20),-0.744978 # DEPENDENCYPART_ARC
(6,21),-1.3593 # DEPENDENCYPART_ARC
(6,22),-1.37273 # DEPENDENCYPART_ARC
(6,23),-1.46231 # DEPENDENCYPART_ARC
(6,24),-0.645238 # DEPENDENCYPART_ARC
(6,25),-2.11793 # DEPENDENCYPART_ARC
(6,26),-1.28185 # DEPENDENCYPART_ARC
(6,27),-0.78373 # DEPENDENCYPART_ARC
(6,28),-1.97511 # DEPENDENCYPART_ARC
(6,29),-1.96093 # DEPENDENCYPART_ARC
(6,30),-2.03822 # DEPENDENCYPART_ARC
(6,31),-2.20557 # DEPENDENCYPART_ARC
(6,32),-2.52221 # DEPENDENCYPART_ARC
(6,33),0.122216 # DEPENDENCYPART_ARC
(7,1),-1.45134 # DEPENDENCYPART_ARC
(7,2),-0.321003 # DEPENDENCYPART_ARC
(7,3),-1.30621 # DEPENDENCYPART_ARC
(7,4),-0.768155 # DEPENDENCYPART_ARC
(7,5),0.316891 # DEPENDENCYPART_ARC
(7,6),0.256282 # DEPENDENCYPART_ARC
(7,8),1.07275 # DEPENDENCYPART_ARC
(7,9),0.416064 # DEPENDENCYPART_ARC
(7,10),0.863604 # DEPENDENCYPART_ARC
(7,11),-0.809893 # DEPENDENCYPART_ARC
(7,12),-0.16654 # DEPENDENCYPART_ARC
(7,13),-0.507267 # DEPENDENCYPART_ARC
(7,14),0.0646679 # DEPENDENCYPART_ARC
(7,15),-1.4176 # DEPENDENCYPART_ARC
(7,16),-0.743462 # DEPENDENCYPART_ARC
(7,17),-0.575676 # DEPENDENCYPART_ARC
(7,18),-0.827183 # DEPENDENCYPART_ARC
(7,19),-0.619209 # DEPENDENCYPART_ARC
(7,20),-0.863242 # DEPENDENCYPART_ARC
(7,21),-1.44282 # DEPENDENCYPART_ARC
(7,22),-1.46882 # DEPENDENCYPART_ARC
(7,23),-1.56244 # DEPENDENCYPART_ARC
(7,24),-1.23505 # DEPENDENCYPART_ARC
(7,25),-1.72366 # DEPENDENCYPART_ARC
(7,26),-1.21521 # DEPENDENCYPART_ARC
(7,27),-2.08886 # DEPENDENCYPART_ARC
(7,28),-2.03654 # DEPENDENCYPART_ARC
(7,29),-2.15325 # DEPENDENCYPART_ARC
(7,30),-2.23414 # DEPENDENCYPART_ARC
(7,31),-2.66555 # DEPENDENCYPART_ARC
(7,32),-2.42743 # DEPENDENCYPART_ARC
(7,33),-1.81485 # DEPENDENCYPART_ARC
(8,1),1.64358 # DEPENDENCYPART_ARC
(8,2),0.139899 # DEPENDENCYPART_ARC
(8,3),-0.266197 # DEPENDENCYPART_ARC
(8,4),-0.0269354 # DEPENDENCYPART_ARC
(8,5),2.23147 # DEPENDENCYPART_ARC
(8,6),0.367239 # DEPENDENCYPART_ARC
(8,7),3.70706 # DEPENDENCYPART_ARC
(8,9),3.26881 # DEPENDENCYPART_ARC
(8,10),1.53467 # DEPENDENCYPART_ARC
(8,11),0.624289 # DEPENDENCYPART_ARC
(8,12),-0.59355 # DEPENDENCYPART_ARC
(8,13),-0.190144 # DEPENDENCYPART_ARC
(8,14),-0.219182 # DEPENDENCYPART_ARC
(8,15),-0.342888 # DEPENDENCYPART_ARC
(8,16),-1.36051 # DEPENDENCYPART_ARC
(8,17),-1.81684 # DEPENDENCYPART_ARC
(8,18),-0.15476 # DEPENDENCYPART_ARC
(8,19),0.499862 # DEPENDENCYPART_ARC
(8,20),-1.57131 # DEPENDENCYPART_ARC
(8,21),-2.74357 # DEPENDENCYPART_ARC
(8,22),-2.59962 # DEPENDENCYPART_ARC
(8,23),-2.13723 # DEPENDENCYPART_ARC
(8,24),-2.98366 # DEPENDENCYPART_ARC
(8,25),-1.94882 # DEPENDENCYPART_ARC
(8,26),-4.3449 # DEPENDENCYPART_ARC
(8,27),-2.5935 # DEPENDENCYPART_ARC
(8,28),-3.9097 # DEPENDENCYPART_ARC
(8,29),-3.68818 # DEPENDENCYPART_ARC
(8,30),-3.67025 # DEPENDENCYPART_ARC
(8,31),-3.5111 # DEPENDENCYPART_ARC
(8,32),-4.24236 # DEPENDENCYPART_ARC
(8,33),0.841324 # DEPENDENCYPART_ARC
(9,1),-0.650277 # DEPENDENCYPART_ARC
(9,2),0.469302 # DEPENDENCYPART_ARC
(9,3),-0.411572 # DEPENDENCYPART_ARC
(9,4),-0.480089 # DEPENDENCYPART_ARC
(9,5),1.92919 # DEPENDENCYPART_ARC
(9,6),0.422775 # DEPENDENCYPART_ARC
(9,7),1.09748 # DEPENDENCYPART_ARC
(9,8),0.865194 # DEPENDENCYPART_ARC
(9,10),3.75741 # DEPENDENCYPART_ARC
(9,11),1.39809 # DEPENDENCYPART_ARC
(9,12),0.408341 # DEPENDENCYPART_ARC
(9,13),0.846586 # DEPENDENCYPART_ARC
(9,14),1.21614 # DEPENDENCYPART_ARC
(9,15),-0.0435091 # DEPENDENCYPART_ARC
(9,16),-0.612513 # DEPENDENCYPART_ARC
(9,17),-0.199676 # DEPENDENCYPART_ARC
(9,18),0.510495 # DEPENDENCYPART_ARC
(9,19),0.323128 # DEPENDENCYPART_ARC
(9,20),-0.999493 # DEPENDENCYPART_ARC
(9,21),-1.70623 # DEPENDENCYPART_ARC
(9,22),-1.56802 # DEPENDENCYPART_ARC
(9,23),-1.30897 # DEPENDENCYPART_ARC
(9,24),-0.476009 # DEPENDENCYPART_ARC
(9,25),-1.62712 # DEPENDENCYPART_ARC
(9,26),-2.42013 # DEPENDENCYPART_ARC
(9,27),-1.99454 # DEPENDENCYPART_ARC
(9,28),-2.74852 # DEPENDENCYPART_ARC
(9,29),-2.48796 # DEPENDENCYPART_ARC
(9,30),-2.20777 # DEPENDENCYPART_ARC
(9,31),-2.37214 # DEPENDENCYPART_ARC
(9,32),-2.89638 # DEPENDENCYPART_ARC
(9,33),-0.717196 # DEPENDENCYPART_ARC
(10,1),-0.966572 # DEPENDENCYPART_ARC
(10,2),-0.485373 # DEPENDENCYPART_ARC
(10,3),-0.390864 # DEPENDENCYPART_ARC
(10,4),-0.610696 # DEPENDENCYPART_ARC
(10,5),1.06973 # DEPENDENCYPART_ARC
(10,6),-0.28373 # DEPENDENCYPART_ARC
(10,7),0.0837656 # DEPENDENCYPART_ARC
(10,8),0.216258 # DEPENDENCYPART_ARC
(10,9),0.597317 # DEPENDENCYPART_ARC
(10,11),3.90817 # DEPENDENCYPART_ARC
(10,12),0.590337 # DEPENDENCYPART_ARC
(10,13),0.717238 # DEPENDENCYPART_ARC
(10,14),0.342718 # DEPENDENCYPART_ARC
(10,15),1.21444 # DEPENDENCYPART_ARC
(10,16),-1.0301 # DEPENDENCYPART_ARC
(10,17),-1.28682 # DEPENDENCYPART_ARC
(10,18),0.433796 # DEPENDENCYPART_ARC
(10,19),0.359735 # DEPENDENCYPART_ARC
(10,20),-0.594968 # DEPENDENCYPART_ARC
(10,21),-2.9136 # DEPENDENCYPART_ARC
(10,22),-2.82253 # DEPENDENCYPART_ARC
(10,23),-2.25687 # DEPENDENCYPART_ARC
(10,24),-0.115028 # DEPENDENCYPART_ARC
(10,25),-1.99813 # DEPENDENCYPART_ARC
(10,26),-5.21044 # DEPENDENCYPART_ARC
(10,27),-1.45332 # DEPENDENCYPART_ARC
(10,28),-4.76965 # DEPENDENCYPART_ARC
(10,29),-4.57064 # DEPENDENCYPART_ARC
(10,30),-4.17326 # DEPENDENCYPART_ARC
(10,31),-3.71215 # DEPENDENCYPART_ARC
(10,32),-5.07279 # DEPENDENCYPART_ARC
(10,33),0.529397 # DEPENDENCYPART_ARC
(11,1),-0.792259 # DEPENDENCYPART_ARC
(11,2),-0.730116 # DEPENDENCYPART_ARC
(11,3),-1.0352 # DEPENDENCYPART_ARC
(11,4),-0.697966 # DEPENDENCYPART_ARC
(11,5),1.57691 # DEPENDENCYPART_ARC
(11,6),0.412007 # DEPENDENCYPART_ARC
(11,7),-0.368503 # DEPENDENCYPART_ARC
(11,8),-0.0430313 # DEPENDENCYPART_ARC
(11,9),0.190691 # DEPENDENCYPART_ARC
(11,10),0.962674 # DEPENDENCYPART_ARC
(11,12),2.89642 # DEPENDENCYPART_ARC
(11,13),3.35528 # DEPENDENCYPART_ARC
(11,14),3.50862 # DEPENDENCYPART_ARC
(11,15),1.34589 # DEPENDENCYPART_ARC
(11,16),-0.231227 # DEPENDENCYPART_ARC
(11,17),1.80281 # DEPENDENCYPART_ARC
(11,18),1.29578 # DEPENDENCYPART_ARC
(11,19),0.861061 # DEPENDENCYPART_ARC
(11,20),0.293494 # DEPENDENCYPART_ARC
(11,21),0.243438 # DEPENDENCYPART_ARC
(11,22),0.680792 # DEPENDENCYPART_ARC
(11,23),0.693207 # DEPENDENCYPART_ARC
(11,24),-0.256612 # DEPENDENCYPART_ARC
(11,25),-1.07209 # DEPENDENCYPART_ARC
(11,26),-1.32627 # DEPENDENCYPART_ARC
(11,27),-1.23043 # DEPENDENCYPART_ARC
(11,28),-0.706762 # DEPENDENCYPART_ARC
(11,29),-0.141242 # DEPENDENCYPART_ARC
(11,30),0.283855 # DEPENDENCYPART_ARC
(11,31),-1.34873 # DEPENDENCYPART_ARC
(11,32),-0.854295 # DEPENDENCYPART_ARC
(11,33),0.728337 # DEPENDENCYPART_ARC
(12,1),-3.00312 # DEPENDENCYPART_ARC
(12,2),-1.76389 # DEPENDENCYPART_ARC
(12,3),-3.18116 # DEPENDENCYPART_ARC
(12,4),-3.32598 # DEPENDENCYPART_ARC
(12,5),-2.46799 # DEPENDENCYPART_ARC
(12,6),-1.95846 # DEPENDENCYPART_ARC
(12,7),-1.9563 # DEPENDENCYPART_ARC
(12,8),-2.06001 # DEPENDENCYPART_ARC
(12,9),-1.21913 # DEPENDENCYPART_ARC
(12,10),-1.32192 # DEPENDENCYPART_ARC
(12,11),0.068948 # DEPENDENCYPART_ARC
(12,13),1.68305 # DEPENDENCYPART_ARC
(12,14),-0.566091 # DEPENDENCYPART_ARC
(12,15),-1.16439 # DEPENDENCYPART_ARC
(12,16),-1.18421 # DEPENDENCYPART_ARC
(12,17),-0.210694 # DEPENDENCYPART_ARC
(12,18),-0.229086 # DEPENDENCYPART_ARC
(12,19),-0.341879 # DEPENDENCYPART_ARC
(12,20),-0.752455 # DEPENDENCYPART_ARC
(12,21),-1.78205 # DEPENDENCYPART_ARC
(12,22),-1.38138 # DEPENDENCYPART_ARC
(12,23),-1.16635 # DEPENDENCYPART_ARC
(12,24),-0.37626 # DEPENDENCYPART_ARC
(12,25),-1.88843 # DEPENDENCYPART_ARC
(12,26),-1.66698 # DEPENDENCYPART_ARC
(12,27),-2.98988 # DEPENDENCYPART_ARC
(12,28),-3.11265 # DEPENDENCYPART_ARC
(12,29),-2.55239 # DEPENDENCYPART_ARC
(12,30),-2.67701 # DEPENDENCYPART_ARC
(12,31),-3.41636 # DEPENDENCYPART_ARC
(12,32),-2.91556 # DEPENDENCYPART_ARC
(12,33),1.38738 # DEPENDENCYPART_ARC
(13,1),-1.27017 # DEPENDENCYPART_ARC
(13,2),-0.629037 # DEPENDENCYPART_ARC
(13,3),-1.4567 # DEPENDENCYPART_ARC
(13,4),-1.79239 # DEPENDENCYPART_ARC
(13,5),-0.851607 # DEPENDENCYPART_ARC
(13,6),-0.193534 # DEPENDENCYPART_ARC
(13,7),-0.839141 # DEPENDENCYPART_ARC
(13,8),-0.699391 # DEPENDENCYPART_ARC
(13,9),0.387323 # DEPENDENCYPART_ARC
(13,10),-0.263702 # DEPENDENCYPART_ARC
(13,11),1.0951 # DEPENDENCYPART_ARC
(13,12),4.70591 # DEPENDENCYPART_ARC
(13,14),0.510114 # DEPENDENCYPART_ARC
(13,15),0.183225 # DEPENDENCYPART_ARC
(13,16),-0.243374 # DEPENDENCYPART_ARC
(13,17),0.613706 # DEPENDENCYPART_ARC
(13,18),0.414861 # DEPENDENCYPART_ARC
(13,19),0.825736 # DEPENDENCYPART_ARC
(13,20),0.242568 # DEPENDENCYPART_ARC
(13,21),-1.37066 # DEPENDENCYPART_ARC
(13,22),-0.988266 # DEPENDENCYPART_ARC
(13,23),-0.609733 # DEPENDENCYPART_ARC
(13,24),0.452587 # DEPENDENCYPART_ARC
(13,25),-1.21198 # DEPENDENCYPART_ARC
(13,26),-0.762823 # DEPENDENCYPART_ARC
(13,27),-2.23963 # DEPENDENCYPART_ARC
(13,28),-2.73229 # DEPENDENCYPART_ARC
(13,29),-2.19079 # DEPENDENCYPART_ARC
(13,30),-2.11652 # DEPENDENCYPART_ARC
(13,31),-2.53062 # DEPENDENCYPART_ARC
(13,32),-2.51117 # DEPENDENCYPART_ARC
(13,33),0.0566667 # DEPENDENCYPART_ARC
(14,1),-1.06392 # DEPENDENCYPART_ARC
(14,2),-0.769624 # DEPENDENCYPART_ARC
(14,3),-0.90928 # DEPENDENCYPART_ARC
(14,4),-0.667553 # DEPENDENCYPART_ARC
(14,5),1.28778 # DEPENDENCYPART_ARC
(14,6),-0.693011 # DEPENDENCYPART_ARC
(14,7),-0.495862 # DEPENDENCYPART_ARC
(14,8),-0.0256032 # DEPENDENCYPART_ARC
(14,9),-0.346394 # DEPENDENCYPART_ARC
(14,10),0.510355 # DEPENDENCYPART_ARC
(14,11),0.486473 # DEPENDENCYPART_ARC
(14,12),0.488583 # DEPENDENCYPART_ARC
(14,13),1.36574 # DEPENDENCYPART_ARC
(14,15),4.57092 # DEPENDENCYPART_ARC
(14,16),0.748904 # DEPENDENCYPART_ARC
(14,17),0.902864 # DEPENDENCYPART_ARC
(14,18),1.15467 # DEPENDENCYPART_ARC
(14,19),1.0059 # DEPENDENCYPART_ARC
(14,20),0.213221 # DEPENDENCYPART_ARC
(14,21),-1.4628 # DEPENDENCYPART_ARC
(14,22),-1.38553 # DEPENDENCYPART_ARC
(14,23),-1.0717 # DEPENDENCYPART_ARC
(14,24),0.651469 # DEPENDENCYPART_ARC
(14,25),-1.0564 # DEPENDENCYPART_ARC
(14,26),-3.73351 # DEPENDENCYPART_ARC
(14,27),-0.865237 # DEPENDENCYPART_ARC
(14,28),-3.37022 # DEPENDENCYPART_ARC
(14,29),-3.16134 # DEPENDENCYPART_ARC
(14,30),-2.95301 # DEPENDENCYPART_ARC
(14,31),-2.70621 # DEPENDENCYPART_ARC
(14,32),-3.87721 # DEPENDENCYPART_ARC
(14,33),0.707296 # DEPENDENCYPART_ARC
(15,1),-1.27407 # DEPENDENCYPART_ARC
(15,2),-1.11344 # DEPENDENCYPART_ARC
(15,3),-1.48586 # DEPENDENCYPART_ARC
(15,4),-1.22742 # DEPENDENCYPART_ARC
(15,5),2.12208 # DEPENDENCYPART_ARC
(15,6),0.0235729 # DEPENDENCYPART_ARC
(15,7),-0.975496 # DEPENDENCYPART_ARC
(15,8),-0.790929 # DEPENDENCYPART_ARC
(15,9),-0.341275 # DEPENDENCYPART_ARC
(15,10),-0.455822 # DEPENDENCYPART_ARC
(15,11),0.0403232 # DEPENDENCYPART_ARC
(15,12),0.39687 # DEPENDENCYPART_ARC
(15,13),0.0753525 # DEPENDENCYPART_ARC
(15,14),0.96388 # DEPENDENCYPART_ARC
(15,16),1.54567 # DEPENDENCYPART_ARC
(15,17),3.80543 # DEPENDENCYPART_ARC
(15,18),0.98111 # DEPENDENCYPART_ARC
(15,19),1.0508 # DEPENDENCYPART_ARC
(15,20),0.216998 # DEPENDENCYPART_ARC
(15,21),0.23005 # DEPENDENCYPART_ARC
(15,22),0.471325 # DEPENDENCYPART_ARC
(15,23),0.775167 # DEPENDENCYPART_ARC
(15,24),0.259783 # DEPENDENCYPART_ARC
(15,25),-0.305232 # DEPENDENCYPART_ARC
(15,26),0.346887 # DEPENDENCYPART_ARC
(15,27),-0.677944 # DEPENDENCYPART_ARC
