# _root_ Here are price trends on the world 's major stock markets , as calculated by Morgan Stanley Capital International Perspective , Geneva .
#goldHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
#predictedHeads=2,0,4,2,4,7,11,7,11,11,5,4,4,13,14,20,20,20,20,15,20,20,2,
(1,11),-2.58026 # DEPENDENCYPART_ARC
(1,12),-1.18383 # DEPENDENCYPART_ARC
(1,13),-1.91582 # DEPENDENCYPART_ARC
(1,14),-2.15849 # DEPENDENCYPART_ARC
(1,15),-1.7725 # DEPENDENCYPART_ARC
(1,16),-2.90098 # DEPENDENCYPART_ARC
(1,17),-2.94017 # DEPENDENCYPART_ARC
(1,18),-3.04701 # DEPENDENCYPART_ARC
(1,19),-3.17079 # DEPENDENCYPART_ARC
(1,20),-3.20157 # DEPENDENCYPART_ARC
(1,21),-1.19298 # DEPENDENCYPART_ARC
(1,22),-3.61995 # DEPENDENCYPART_ARC
(1,23),-3.39965 # DEPENDENCYPART_ARC
(2,1),2.22775 # DEPENDENCYPART_ARC
(2,3),2.20763 # DEPENDENCYPART_ARC
(2,4),2.99071 # DEPENDENCYPART_ARC
(2,5),1.70934 # DEPENDENCYPART_ARC
(2,6),-0.107657 # DEPENDENCYPART_ARC
(2,7),0.833516 # DEPENDENCYPART_ARC
(2,8),-0.124048 # DEPENDENCYPART_ARC
(2,9),0.793839 # DEPENDENCYPART_ARC
(2,10),-0.152568 # DEPENDENCYPART_ARC
(2,11),0.5364 # DEPENDENCYPART_ARC
(2,12),1.4913 # DEPENDENCYPART_ARC
(2,13),0.699855 # DEPENDENCYPART_ARC
(2,14),-0.693439 # DEPENDENCYPART_ARC
(2,15),-0.42029 # DEPENDENCYPART_ARC
(2,16),-1.61446 # DEPENDENCYPART_ARC
(2,17),-1.71715 # DEPENDENCYPART_ARC
(2,18),-1.66087 # DEPENDENCYPART_ARC
(2,19),-1.83475 # DEPENDENCYPART_ARC
(2,20),-1.63561 # DEPENDENCYPART_ARC
(2,21),0.0806878 # DEPENDENCYPART_ARC
(2,22),-2.1757 # DEPENDENCYPART_ARC
(2,23),3.9745 # DEPENDENCYPART_ARC
(3,1),-0.357153 # DEPENDENCYPART_ARC
(3,2),-0.443064 # DEPENDENCYPART_ARC
(3,4),1.2116 # DEPENDENCYPART_ARC
(3,5),0.0618139 # DEPENDENCYPART_ARC
(3,6),-0.815165 # DEPENDENCYPART_ARC
(3,7),-0.69668 # DEPENDENCYPART_ARC
(3,8),0.00368299 # DEPENDENCYPART_ARC
(3,9),-0.585553 # DEPENDENCYPART_ARC
(3,10),-0.959804 # DEPENDENCYPART_ARC
(3,11),-0.777462 # DEPENDENCYPART_ARC
(3,12),-0.0282384 # DEPENDENCYPART_ARC
(3,13),-0.321245 # DEPENDENCYPART_ARC
(3,14),-0.910237 # DEPENDENCYPART_ARC
(3,15),-1.23676 # DEPENDENCYPART_ARC
(3,16),-1.73986 # DEPENDENCYPART_ARC
(3,17),-1.69704 # DEPENDENCYPART_ARC
(3,18),-1.55781 # DEPENDENCYPART_ARC
(3,19),-1.55404 # DEPENDENCYPART_ARC
(3,20),-1.2912 # DEPENDENCYPART_ARC
(3,21),-1.10753 # DEPENDENCYPART_ARC
(3,22),-1.61348 # DEPENDENCYPART_ARC
(3,23),-1.54096 # DEPENDENCYPART_ARC
(4,1),0.717397 # DEPENDENCYPART_ARC
(4,2),0.845672 # DEPENDENCYPART_ARC
(4,3),4.91178 # DEPENDENCYPART_ARC
(4,5),2.92258 # DEPENDENCYPART_ARC
(4,6),0.344178 # DEPENDENCYPART_ARC
(4,7),1.00076 # DEPENDENCYPART_ARC
(4,8),1.179 # DEPENDENCYPART_ARC
(4,9),0.434912 # DEPENDENCYPART_ARC
(4,10),0.774815 # DEPENDENCYPART_ARC
(4,11),0.44189 # DEPENDENCYPART_ARC
(4,12),1.78951 # DEPENDENCYPART_ARC
(4,13),1.50178 # DEPENDENCYPART_ARC
(4,14),0.585195 # DEPENDENCYPART_ARC
(4,15),0.393443 # DEPENDENCYPART_ARC
(4,16),-0.756302 # DEPENDENCYPART_ARC
(4,17),-0.461079 # DEPENDENCYPART_ARC
(4,18),-0.449573 # DEPENDENCYPART_ARC
(4,19),-0.803848 # DEPENDENCYPART_ARC
(4,20),-0.211162 # DEPENDENCYPART_ARC
(4,21),0.861436 # DEPENDENCYPART_ARC
(4,22),-1.18397 # DEPENDENCYPART_ARC
(4,23),0.0585165 # DEPENDENCYPART_ARC
(5,1),-0.822321 # DEPENDENCYPART_ARC
(5,2),-0.612998 # DEPENDENCYPART_ARC
(5,3),-0.511969 # DEPENDENCYPART_ARC
(5,4),0.560319 # DEPENDENCYPART_ARC
(5,6),0.348791 # DEPENDENCYPART_ARC
(5,7),1.99252 # DEPENDENCYPART_ARC
(5,8),0.151705 # DEPENDENCYPART_ARC
(5,9),0.228655 # DEPENDENCYPART_ARC
(5,10),2.18237 # DEPENDENCYPART_ARC
(5,11),3.31043 # DEPENDENCYPART_ARC
(5,12),0.691966 # DEPENDENCYPART_ARC
(5,13),0.212008 # DEPENDENCYPART_ARC
(5,14),0.283518 # DEPENDENCYPART_ARC
(5,15),-0.17037 # DEPENDENCYPART_ARC
(5,16),-2.73447 # DEPENDENCYPART_ARC
(5,17),-2.76929 # DEPENDENCYPART_ARC
(5,18),-2.85247 # DEPENDENCYPART_ARC
(5,19),-2.96352 # DEPENDENCYPART_ARC
(5,20),-2.13992 # DEPENDENCYPART_ARC
(5,21),-0.574614 # DEPENDENCYPART_ARC
(5,22),-4.4535 # DEPENDENCYPART_ARC
(5,23),-1.55062 # DEPENDENCYPART_ARC
(6,1),-2.52812 # DEPENDENCYPART_ARC
(6,2),-2.63221 # DEPENDENCYPART_ARC
(6,3),-2.21768 # DEPENDENCYPART_ARC
(6,4),-2.00469 # DEPENDENCYPART_ARC
(6,5),-0.468871 # DEPENDENCYPART_ARC
(6,7),0.470283 # DEPENDENCYPART_ARC
(6,8),-0.895768 # DEPENDENCYPART_ARC
(6,9),-1.12785 # DEPENDENCYPART_ARC
(6,10),-1.13094 # DEPENDENCYPART_ARC
(6,11),-1.693 # DEPENDENCYPART_ARC
(6,12),-1.01774 # DEPENDENCYPART_ARC
(6,13),-1.76096 # DEPENDENCYPART_ARC
(6,14),-1.53839 # DEPENDENCYPART_ARC
(6,15),-2.05001 # DEPENDENCYPART_ARC
(6,16),-2.5582 # DEPENDENCYPART_ARC
(6,17),-2.78504 # DEPENDENCYPART_ARC
(6,18),-2.88451 # DEPENDENCYPART_ARC
(6,19),-2.91461 # DEPENDENCYPART_ARC
(6,20),-2.95842 # DEPENDENCYPART_ARC
(6,21),-1.53051 # DEPENDENCYPART_ARC
(6,22),-3.06888 # DEPENDENCYPART_ARC
(6,23),-2.76784 # DEPENDENCYPART_ARC
(7,1),-2.12353 # DEPENDENCYPART_ARC
(7,2),-1.51323 # DEPENDENCYPART_ARC
(7,3),-0.0765113 # DEPENDENCYPART_ARC
(7,4),-0.75442 # DEPENDENCYPART_ARC
(7,5),0.378223 # DEPENDENCYPART_ARC
(7,6),5.36384 # DEPENDENCYPART_ARC
(7,8),4.26368 # DEPENDENCYPART_ARC
(7,9),1.12682 # DEPENDENCYPART_ARC
(7,10),0.249416 # DEPENDENCYPART_ARC
(7,11),-0.0369053 # DEPENDENCYPART_ARC
(7,12),0.406342 # DEPENDENCYPART_ARC
(7,13),-0.120632 # DEPENDENCYPART_ARC
(7,14),-0.0556245 # DEPENDENCYPART_ARC
(7,15),-0.585422 # DEPENDENCYPART_ARC
(7,16),-1.08796 # DEPENDENCYPART_ARC
(7,17),-1.16264 # DEPENDENCYPART_ARC
(7,18),-1.15355 # DEPENDENCYPART_ARC
(7,19),-1.28009 # DEPENDENCYPART_ARC
(7,20),-1.00064 # DEPENDENCYPART_ARC
(7,21),0.35218 # DEPENDENCYPART_ARC
(7,22),-1.43064 # DEPENDENCYPART_ARC
(7,23),-1.03046 # DEPENDENCYPART_ARC
(8,1),-1.21643 # DEPENDENCYPART_ARC
(8,2),-0.718106 # DEPENDENCYPART_ARC
(8,3),-1.12785 # DEPENDENCYPART_ARC
(8,4),-0.454673 # DEPENDENCYPART_ARC
(8,5),-0.358193 # DEPENDENCYPART_ARC
(8,6),1.44958 # DEPENDENCYPART_ARC
(8,7),0.3272 # DEPENDENCYPART_ARC
(8,9),0.154317 # DEPENDENCYPART_ARC
(8,10),-0.710056 # DEPENDENCYPART_ARC
(8,11),-1.29369 # DEPENDENCYPART_ARC
(8,12),-0.619298 # DEPENDENCYPART_ARC
(8,13),-1.4884 # DEPENDENCYPART_ARC
(8,14),-1.25677 # DEPENDENCYPART_ARC
(8,15),-1.82756 # DEPENDENCYPART_ARC
(8,16),-2.18456 # DEPENDENCYPART_ARC
(8,17),-2.24838 # DEPENDENCYPART_ARC
(8,18),-2.3344 # DEPENDENCYPART_ARC
(8,19),-2.45435 # DEPENDENCYPART_ARC
(8,20),-2.57341 # DEPENDENCYPART_ARC
(8,21),-3.52847 # DEPENDENCYPART_ARC
(8,22),-2.78085 # DEPENDENCYPART_ARC
(8,23),-2.69097 # DEPENDENCYPART_ARC
(9,1),-2.09377 # DEPENDENCYPART_ARC
(9,2),-1.98631 # DEPENDENCYPART_ARC
(9,3),-1.08436 # DEPENDENCYPART_ARC
(9,4),-0.982531 # DEPENDENCYPART_ARC
(9,5),-0.58356 # DEPENDENCYPART_ARC
(9,6),0.653732 # DEPENDENCYPART_ARC
(9,7),0.0293621 # DEPENDENCYPART_ARC
(9,8),0.464965 # DEPENDENCYPART_ARC
(9,10),1.19693 # DEPENDENCYPART_ARC
(9,11),0.658626 # DEPENDENCYPART_ARC
(9,12),-0.103181 # DEPENDENCYPART_ARC
(9,13),-0.612044 # DEPENDENCYPART_ARC
(9,14),-0.483056 # DEPENDENCYPART_ARC
(9,15),-1.01941 # DEPENDENCYPART_ARC
(9,16),-1.49117 # DEPENDENCYPART_ARC
(9,17),-1.51809 # DEPENDENCYPART_ARC
(9,18),-1.52975 # DEPENDENCYPART_ARC
(9,19),-1.5636 # DEPENDENCYPART_ARC
(9,20),-1.66383 # DEPENDENCYPART_ARC
(9,21),-0.710729 # DEPENDENCYPART_ARC
(9,22),-1.86181 # DEPENDENCYPART_ARC
(9,23),-0.48542 # DEPENDENCYPART_ARC
(10,1),-2.82639 # DEPENDENCYPART_ARC
(10,2),-2.55753 # DEPENDENCYPART_ARC
(10,3),-1.40103 # DEPENDENCYPART_ARC
(10,4),-1.85607 # DEPENDENCYPART_ARC
(10,5),-0.973266 # DEPENDENCYPART_ARC
(10,6),0.604685 # DEPENDENCYPART_ARC
(10,7),2.74592 # DEPENDENCYPART_ARC
(10,8),0.171762 # DEPENDENCYPART_ARC
(10,9),1.55783 # DEPENDENCYPART_ARC
(10,11),1.15 # DEPENDENCYPART_ARC
(10,12),-0.226645 # DEPENDENCYPART_ARC
(10,13),-0.240029 # DEPENDENCYPART_ARC
(10,14),-0.175565 # DEPENDENCYPART_ARC
(10,15),-0.591515 # DEPENDENCYPART_ARC
(10,16),-1.12695 # DEPENDENCYPART_ARC
(10,17),-0.995676 # DEPENDENCYPART_ARC
(10,18),-0.904461 # DEPENDENCYPART_ARC
(10,19),-0.980622 # DEPENDENCYPART_ARC
(10,20),-0.588485 # DEPENDENCYPART_ARC
(10,21),0.0598385 # DEPENDENCYPART_ARC
(10,22),-1.3434 # DEPENDENCYPART_ARC
(10,23),-1.00509 # DEPENDENCYPART_ARC
(11,1),-1.32905 # DEPENDENCYPART_ARC
(11,2),-0.760487 # DEPENDENCYPART_ARC
(11,3),1.86975 # DEPENDENCYPART_ARC
(11,4),0.0373422 # DEPENDENCYPART_ARC
(11,5),-0.39113 # DEPENDENCYPART_ARC
(11,6),3.25894 # DEPENDENCYPART_ARC
(11,7),4.79916 # DEPENDENCYPART_ARC
(11,8),1.00775 # DEPENDENCYPART_ARC
(11,9),4.08292 # DEPENDENCYPART_ARC
(11,10),4.79976 # DEPENDENCYPART_ARC
(11,12),1.06567 # DEPENDENCYPART_ARC
(11,13),0.567539 # DEPENDENCYPART_ARC
(11,14),0.332028 # DEPENDENCYPART_ARC
(11,15),-0.167107 # DEPENDENCYPART_ARC
(11,16),-0.710808 # DEPENDENCYPART_ARC
(11,17),-0.544782 # DEPENDENCYPART_ARC
(11,18),-0.503114 # DEPENDENCYPART_ARC
(11,19),-0.747365 # DEPENDENCYPART_ARC
(11,20),-0.273504 # DEPENDENCYPART_ARC
(11,21),0.213806 # DEPENDENCYPART_ARC
(11,22),-1.42658 # DEPENDENCYPART_ARC
(11,23),-0.667709 # DEPENDENCYPART_ARC
(12,1),-2.55353 # DEPENDENCYPART_ARC
(12,2),-2.24889 # DEPENDENCYPART_ARC
(12,3),-1.39996 # DEPENDENCYPART_ARC
(12,4),-1.63832 # DEPENDENCYPART_ARC
(12,5),-1.45644 # DEPENDENCYPART_ARC
(12,6),-0.993759 # DEPENDENCYPART_ARC
(12,7),-1.39047 # DEPENDENCYPART_ARC
(12,8),-1.26696 # DEPENDENCYPART_ARC
(12,9),-0.877567 # DEPENDENCYPART_ARC
(12,10),-1.27395 # DEPENDENCYPART_ARC
(12,11),-0.922159 # DEPENDENCYPART_ARC
(12,13),-0.71364 # DEPENDENCYPART_ARC
(12,14),-0.961158 # DEPENDENCYPART_ARC
(12,15),-1.22353 # DEPENDENCYPART_ARC
(12,16),-1.47774 # DEPENDENCYPART_ARC
(12,17),-1.66547 # DEPENDENCYPART_ARC
(12,18),-2.0954 # DEPENDENCYPART_ARC
(12,19),-2.22062 # DEPENDENCYPART_ARC
(12,20),-2.385 # DEPENDENCYPART_ARC
(12,21),-0.836041 # DEPENDENCYPART_ARC
(12,22),-2.5931 # DEPENDENCYPART_ARC
(12,23),-1.65121 # DEPENDENCYPART_ARC
(13,1),-2.01061 # DEPENDENCYPART_ARC
(13,2),-1.90727 # DEPENDENCYPART_ARC
(13,3),-2.01651 # DEPENDENCYPART_ARC
(13,4),-1.22717 # DEPENDENCYPART_ARC
(13,5),-1.17897 # DEPENDENCYPART_ARC
(13,6),-0.853619 # DEPENDENCYPART_ARC
(13,7),-1.26234 # DEPENDENCYPART_ARC
(13,8),-0.514846 # DEPENDENCYPART_ARC
(13,9),-0.0186626 # DEPENDENCYPART_ARC
(13,10),-0.909441 # DEPENDENCYPART_ARC
(13,11),-0.730774 # DEPENDENCYPART_ARC
(13,12),1.01362 # DEPENDENCYPART_ARC
(13,14),3.4933 # DEPENDENCYPART_ARC
(13,15),1.21455 # DEPENDENCYPART_ARC
(13,16),0.073142 # DEPENDENCYPART_ARC
(13,17),0.218949 # DEPENDENCYPART_ARC
(13,18),0.0962022 # DEPENDENCYPART_ARC
(13,19),0.0232528 # DEPENDENCYPART_ARC
(13,20),0.535882 # DEPENDENCYPART_ARC
(13,21),0.92478 # DEPENDENCYPART_ARC
(13,22),-1.49473 # DEPENDENCYPART_ARC
(13,23),-0.0333012 # DEPENDENCYPART_ARC
(14,1),-1.67598 # DEPENDENCYPART_ARC
(14,2),-1.47819 # DEPENDENCYPART_ARC
(14,3),-1.1861 # DEPENDENCYPART_ARC
(14,4),-0.958364 # DEPENDENCYPART_ARC
(14,5),-0.538141 # DEPENDENCYPART_ARC
(14,6),-0.566855 # DEPENDENCYPART_ARC
(14,7),-0.534197 # DEPENDENCYPART_ARC
(14,8),-0.886983 # DEPENDENCYPART_ARC
(14,9),-0.456476 # DEPENDENCYPART_ARC
(14,10),-0.404334 # DEPENDENCYPART_ARC
(14,11),-0.354115 # DEPENDENCYPART_ARC
(14,12),0.0644172 # DEPENDENCYPART_ARC
(14,13),0.226153 # DEPENDENCYPART_ARC
(14,15),3.89627 # DEPENDENCYPART_ARC
(14,16),0.477018 # DEPENDENCYPART_ARC
(14,17),0.280168 # DEPENDENCYPART_ARC
(14,18),-0.0138572 # DEPENDENCYPART_ARC
(14,19),-0.116092 # DEPENDENCYPART_ARC
(14,20),-0.252202 # DEPENDENCYPART_ARC
(14,21),0.297002 # DEPENDENCYPART_ARC
(14,22),-0.806738 # DEPENDENCYPART_ARC
(14,23),-0.00574498 # DEPENDENCYPART_ARC
(15,1),-2.52766 # DEPENDENCYPART_ARC
(15,2),-2.14109 # DEPENDENCYPART_ARC
(15,3),-2.66639 # DEPENDENCYPART_ARC
(15,4),-1.63882 # DEPENDENCYPART_ARC
(15,5),-0.948753 # DEPENDENCYPART_ARC
(15,6),-1.17661 # DEPENDENCYPART_ARC
(15,7),-1.55262 # DEPENDENCYPART_ARC
(15,8),-0.786731 # DEPENDENCYPART_ARC
(15,9),-0.826352 # DEPENDENCYPART_ARC
(15,10),-1.60167 # DEPENDENCYPART_ARC
(15,11),-0.928363 # DEPENDENCYPART_ARC
(15,12),0.0329378 # DEPENDENCYPART_ARC
(15,13),0.407909 # DEPENDENCYPART_ARC
(15,14),0.337776 # DEPENDENCYPART_ARC
(15,16),2.87508 # DEPENDENCYPART_ARC
(15,17),2.97069 # DEPENDENCYPART_ARC
(15,18),2.69114 # DEPENDENCYPART_ARC
(15,19),2.83832 # DEPENDENCYPART_ARC
(15,20),4.19918 # DEPENDENCYPART_ARC
(15,21),0.640109 # DEPENDENCYPART_ARC
(15,22),0.836338 # DEPENDENCYPART_ARC
(15,23),-1.10472 # DEPENDENCYPART_ARC
(16,1),-5.74876 # DEPENDENCYPART_ARC
(16,2),-5.39827 # DEPENDENCYPART_ARC
(16,3),-5.51943 # DEPENDENCYPART_ARC
(16,4),-5.39138 # DEPENDENCYPART_ARC
(16,5),-4.50631 # DEPENDENCYPART_ARC
(16,6),-4.1819 # DEPENDENCYPART_ARC
(16,7),-4.06901 # DEPENDENCYPART_ARC
(16,8),-4.33797 # DEPENDENCYPART_ARC
(16,9),-3.96445 # DEPENDENCYPART_ARC
(16,10),-4.83966 # DEPENDENCYPART_ARC
(16,11),-3.92934 # DEPENDENCYPART_ARC
(16,12),-3.71078 # DEPENDENCYPART_ARC
(16,13),-2.95616 # DEPENDENCYPART_ARC
(16,14),-2.14418 # DEPENDENCYPART_ARC
(16,15),-1.47626 # DEPENDENCYPART_ARC
(16,17),1.25652 # DEPENDENCYPART_ARC
(16,18),0.745035 # DEPENDENCYPART_ARC
(16,19),0.00337159 # DEPENDENCYPART_ARC
(16,20),0.276889 # DEPENDENCYPART_ARC
(16,21),1.23217 # DEPENDENCYPART_ARC
(16,22),-0.68038 # DEPENDENCYPART_ARC
(16,23),-0.947276 # DEPENDENCYPART_ARC
(17,1),-4.61323 # DEPENDENCYPART_ARC
(17,2),-4.3462 # DEPENDENCYPART_ARC
(17,3),-4.25824 # DEPENDENCYPART_ARC
(17,4),-4.116 # DEPENDENCYPART_ARC
(17,5),-3.42153 # DEPENDENCYPART_ARC
(17,6),-3.51788 # DEPENDENCYPART_ARC
(17,7),-2.60492 # DEPENDENCYPART_ARC
(17,8),-3.15989 # DEPENDENCYPART_ARC
(17,9),-2.85502 # DEPENDENCYPART_ARC
(17,10),-3.55328 # DEPENDENCYPART_ARC
(17,11),-3.36577 # DEPENDENCYPART_ARC
(17,12),-2.9325 # DEPENDENCYPART_ARC
(17,13),-2.19808 # DEPENDENCYPART_ARC
(17,14),-1.49857 # DEPENDENCYPART_ARC
(17,15),-1.26373 # DEPENDENCYPART_ARC
(17,16),3.23103 # DEPENDENCYPART_ARC
(17,18),0.323865 # DEPENDENCYPART_ARC
(17,19),0.192973 # DEPENDENCYPART_ARC
(17,20),0.071084 # DEPENDENCYPART_ARC
(17,21),0.0606006 # DEPENDENCYPART_ARC
(17,22),-1.11129 # DEPENDENCYPART_ARC
(17,23),-0.448297 # DEPENDENCYPART_ARC
(18,1),-4.33801 # DEPENDENCYPART_ARC
(18,2),-4.27146 # DEPENDENCYPART_ARC
(18,3),-3.92792 # DEPENDENCYPART_ARC
(18,4),-4.0008 # DEPENDENCYPART_ARC
(18,5),-3.71566 # DEPENDENCYPART_ARC
(18,6),-3.58136 # DEPENDENCYPART_ARC
(18,7),-2.80122 # DEPENDENCYPART_ARC
(18,8),-3.01632 # DEPENDENCYPART_ARC
(18,9),-2.40739 # DEPENDENCYPART_ARC
(18,10),-3.24626 # DEPENDENCYPART_ARC
(18,11),-3.25783 # DEPENDENCYPART_ARC
(18,12),-3.48943 # DEPENDENCYPART_ARC
(18,13),-2.48939 # DEPENDENCYPART_ARC
(18,14),-1.4255 # DEPENDENCYPART_ARC
(18,15),-1.93103 # DEPENDENCYPART_ARC
(18,16),2.569 # DEPENDENCYPART_ARC
(18,17),1.98444 # DEPENDENCYPART_ARC
(18,19),0.078155 # DEPENDENCYPART_ARC
(18,20),0.669699 # DEPENDENCYPART_ARC
(18,21),0.680716 # DEPENDENCYPART_ARC
(18,22),-0.678193 # DEPENDENCYPART_ARC
(18,23),-1.38334 # DEPENDENCYPART_ARC
(19,1),-3.32676 # DEPENDENCYPART_ARC
(19,2),-3.18241 # DEPENDENCYPART_ARC
(19,3),-2.80594 # DEPENDENCYPART_ARC
(19,4),-2.78199 # DEPENDENCYPART_ARC
(19,5),-2.86372 # DEPENDENCYPART_ARC
(19,6),-1.84705 # DEPENDENCYPART_ARC
(19,7),-1.78424 # DEPENDENCYPART_ARC
(19,8),-2.31315 # DEPENDENCYPART_ARC
(19,9),-1.31189 # DEPENDENCYPART_ARC
(19,10),-2.20662 # DEPENDENCYPART_ARC
(19,11),-2.16911 # DEPENDENCYPART_ARC
(19,12),-2.39833 # DEPENDENCYPART_ARC
(19,13),-1.99198 # DEPENDENCYPART_ARC
(19,14),-0.318682 # DEPENDENCYPART_ARC
(19,15),-1.31983 # DEPENDENCYPART_ARC
(19,16),3.43279 # DEPENDENCYPART_ARC
(19,17),2.91376 # DEPENDENCYPART_ARC
(19,18),3.20431 # DEPENDENCYPART_ARC
(19,20),2.57715 # DEPENDENCYPART_ARC
(19,21),2.36996 # DEPENDENCYPART_ARC
(19,22),1.30707 # DEPENDENCYPART_ARC
(19,23),0.881434 # DEPENDENCYPART_ARC
(20,1),-2.60193 # DEPENDENCYPART_ARC
(20,2),-2.58026 # DEPENDENCYPART_ARC
(20,3),-1.73989 # DEPENDENCYPART_ARC
(20,4),-2.11985 # DEPENDENCYPART_ARC
(20,5),-2.2412 # DEPENDENCYPART_ARC
(20,6),-0.712607 # DEPENDENCYPART_ARC
(20,7),-0.829708 # DEPENDENCYPART_ARC
(20,8),-1.58736 # DEPENDENCYPART_ARC
(20,9),-0.970443 # DEPENDENCYPART_ARC
(20,10),-1.16363 # DEPENDENCYPART_ARC
(20,11),-1.59619 # DEPENDENCYPART_ARC
(20,12),-1.84685 # DEPENDENCYPART_ARC
(20,13),-1.40162 # DEPENDENCYPART_ARC
(20,14),0.0779212 # DEPENDENCYPART_ARC
(20,15),-0.786335 # DEPENDENCYPART_ARC
(20,16),5.47151 # DEPENDENCYPART_ARC
(20,17),4.59478 # DEPENDENCYPART_ARC
(20,18),4.60251 # DEPENDENCYPART_ARC
(20,19),4.51925 # DEPENDENCYPART_ARC
(20,21),3.74506 # DEPENDENCYPART_ARC
(20,22),2.82834 # DEPENDENCYPART_ARC
(20,23),1.09628 # DEPENDENCYPART_ARC
(21,1),-3.89979 # DEPENDENCYPART_ARC
(21,2),-3.68537 # DEPENDENCYPART_ARC
(21,3),-2.45952 # DEPENDENCYPART_ARC
(21,4),-2.73946 # DEPENDENCYPART_ARC
(21,5),-2.83697 # DEPENDENCYPART_ARC
(21,6),-2.57479 # DEPENDENCYPART_ARC
(21,7),-2.426 # DEPENDENCYPART_ARC
(21,8),-2.58336 # DEPENDENCYPART_ARC
(21,9),-2.57255 # DEPENDENCYPART_ARC
(21,10),-2.21126 # DEPENDENCYPART_ARC
(21,11),-2.52252 # DEPENDENCYPART_ARC
(21,12),-1.00842 # DEPENDENCYPART_ARC
(21,13),-1.91895 # DEPENDENCYPART_ARC
(21,14),-1.01206 # DEPENDENCYPART_ARC
(21,15),-1.62614 # DEPENDENCYPART_ARC
(21,16),-2.19087 # DEPENDENCYPART_ARC
(21,17),-2.00147 # DEPENDENCYPART_ARC
(21,18),-1.65757 # DEPENDENCYPART_ARC
(21,19),-1.764 # DEPENDENCYPART_ARC
(21,20),-1.1905 # DEPENDENCYPART_ARC
(21,22),-0.453541 # DEPENDENCYPART_ARC
(21,23),-1.2959 # DEPENDENCYPART_ARC
(22,1),-3.88523 # DEPENDENCYPART_ARC
(22,2),-3.77132 # DEPENDENCYPART_ARC
(22,3),-3.29175 # DEPENDENCYPART_ARC
(22,4),-3.36538 # DEPENDENCYPART_ARC
(22,5),-2.9999 # DEPENDENCYPART_ARC
(22,6),-2.19403 # DEPENDENCYPART_ARC
(22,7),-2.32603 # DEPENDENCYPART_ARC
(22,8),-2.73255 # DEPENDENCYPART_ARC
(22,9),-2.28043 # DEPENDENCYPART_ARC
(22,10),-2.82895 # DEPENDENCYPART_ARC
(22,11),-3.24036 # DEPENDENCYPART_ARC
(22,12),-3.01757 # DEPENDENCYPART_ARC
(22,13),-2.39745 # DEPENDENCYPART_ARC
(22,14),-0.912116 # DEPENDENCYPART_ARC
(22,15),-2.00616 # DEPENDENCYPART_ARC
(22,16),1.38867 # DEPENDENCYPART_ARC
(22,17),1.34414 # DEPENDENCYPART_ARC
(22,18),1.35868 # DEPENDENCYPART_ARC
(22,19),1.43151 # DEPENDENCYPART_ARC
(22,20),1.58751 # DEPENDENCYPART_ARC
(22,21),2.06479 # DEPENDENCYPART_ARC
(22,23),1.11018 # DEPENDENCYPART_ARC
(23,1),-2.59605 # DEPENDENCYPART_ARC
(23,2),-2.79473 # DEPENDENCYPART_ARC
(23,3),-2.45507 # DEPENDENCYPART_ARC
(23,4),-2.52808 # DEPENDENCYPART_ARC
