# _root_ Applied , then a closely held company , was stagnating under the management of its controlling family .
#goldHeads=9,7,7,7,6,7,1,7,0,9,10,13,11,13,17,17,14,9,
#predictedHeads=9,1,7,7,6,7,1,1,0,9,10,13,11,13,17,17,14,9,
(3,6),0.829135 # DEPENDENCYPART_ARC
(3,7),0.362368 # DEPENDENCYPART_ARC
(3,8),0.349401 # DEPENDENCYPART_ARC
(3,9),1.07202 # DEPENDENCYPART_ARC
(3,10),-0.235519 # DEPENDENCYPART_ARC
(3,11),-0.403727 # DEPENDENCYPART_ARC
(3,12),-0.792726 # DEPENDENCYPART_ARC
(3,13),-1.71262 # DEPENDENCYPART_ARC
(3,14),-1.22502 # DEPENDENCYPART_ARC
(3,15),-1.31751 # DEPENDENCYPART_ARC
(3,16),-0.485847 # DEPENDENCYPART_ARC
(3,17),-2.22389 # DEPENDENCYPART_ARC
(3,18),-0.529453 # DEPENDENCYPART_ARC
(4,1),-1.44456 # DEPENDENCYPART_ARC
(4,2),-1.06373 # DEPENDENCYPART_ARC
(4,3),-0.491128 # DEPENDENCYPART_ARC
(4,5),-0.239733 # DEPENDENCYPART_ARC
(4,6),-0.233353 # DEPENDENCYPART_ARC
(4,7),-0.661482 # DEPENDENCYPART_ARC
(4,8),-0.552543 # DEPENDENCYPART_ARC
(4,9),-1.01106 # DEPENDENCYPART_ARC
(4,10),-1.12153 # DEPENDENCYPART_ARC
(4,11),-1.78195 # DEPENDENCYPART_ARC
(4,12),-2.18016 # DEPENDENCYPART_ARC
(4,13),-1.67752 # DEPENDENCYPART_ARC
(4,14),-1.48402 # DEPENDENCYPART_ARC
(4,15),-2.48929 # DEPENDENCYPART_ARC
(4,16),-1.90969 # DEPENDENCYPART_ARC
(4,17),-2.2586 # DEPENDENCYPART_ARC
(4,18),-1.40676 # DEPENDENCYPART_ARC
(5,1),-1.0372 # DEPENDENCYPART_ARC
(5,2),-0.411648 # DEPENDENCYPART_ARC
(5,3),0.570578 # DEPENDENCYPART_ARC
(5,4),1.78165 # DEPENDENCYPART_ARC
(5,6),1.57388 # DEPENDENCYPART_ARC
(5,7),0.84441 # DEPENDENCYPART_ARC
(5,8),0.578757 # DEPENDENCYPART_ARC
(5,9),0.475654 # DEPENDENCYPART_ARC
(5,10),-0.253046 # DEPENDENCYPART_ARC
(5,11),-0.270205 # DEPENDENCYPART_ARC
(5,12),-0.88888 # DEPENDENCYPART_ARC
(5,13),-1.4813 # DEPENDENCYPART_ARC
(5,14),-0.809097 # DEPENDENCYPART_ARC
(5,15),-1.47836 # DEPENDENCYPART_ARC
(5,16),-0.602217 # DEPENDENCYPART_ARC
(5,17),-1.94384 # DEPENDENCYPART_ARC
(5,18),-0.539282 # DEPENDENCYPART_ARC
(6,1),0.0418166 # DEPENDENCYPART_ARC
(6,2),0.790697 # DEPENDENCYPART_ARC
(6,3),1.31094 # DEPENDENCYPART_ARC
(6,4),0.967317 # DEPENDENCYPART_ARC
(6,5),4.03926 # DEPENDENCYPART_ARC
(6,7),1.4153 # DEPENDENCYPART_ARC
(6,8),-0.34556 # DEPENDENCYPART_ARC
(6,9),-0.52544 # DEPENDENCYPART_ARC
(6,10),-0.662354 # DEPENDENCYPART_ARC
(6,11),-0.950709 # DEPENDENCYPART_ARC
(6,12),-2.21228 # DEPENDENCYPART_ARC
(6,13),-2.1448 # DEPENDENCYPART_ARC
(6,14),-2.42404 # DEPENDENCYPART_ARC
(6,15),-2.69743 # DEPENDENCYPART_ARC
(6,16),-1.11431 # DEPENDENCYPART_ARC
(6,17),-3.08267 # DEPENDENCYPART_ARC
(6,18),-0.575881 # DEPENDENCYPART_ARC
(7,1),-0.836574 # DEPENDENCYPART_ARC
(7,2),1.13579 # DEPENDENCYPART_ARC
(7,3),1.31856 # DEPENDENCYPART_ARC
(7,4),4.21297 # DEPENDENCYPART_ARC
(7,5),2.2132 # DEPENDENCYPART_ARC
(7,6),3.46071 # DEPENDENCYPART_ARC
(7,8),1.9669 # DEPENDENCYPART_ARC
(7,9),0.699073 # DEPENDENCYPART_ARC
(7,10),0.140726 # DEPENDENCYPART_ARC
(7,11),-0.894671 # DEPENDENCYPART_ARC
(7,12),-0.953528 # DEPENDENCYPART_ARC
(7,13),-0.929053 # DEPENDENCYPART_ARC
(7,14),-1.88901 # DEPENDENCYPART_ARC
(7,15),-1.73671 # DEPENDENCYPART_ARC
(7,16),-0.77338 # DEPENDENCYPART_ARC
(7,17),-1.28576 # DEPENDENCYPART_ARC
(7,18),0.594961 # DEPENDENCYPART_ARC
(8,1),-2.00915 # DEPENDENCYPART_ARC
(8,2),-0.119967 # DEPENDENCYPART_ARC
(8,3),-2.00003 # DEPENDENCYPART_ARC
(8,4),-0.908574 # DEPENDENCYPART_ARC
(8,5),-1.42461 # DEPENDENCYPART_ARC
(8,6),-0.860764 # DEPENDENCYPART_ARC
(8,7),-0.780991 # DEPENDENCYPART_ARC
(8,9),-0.444721 # DEPENDENCYPART_ARC
(8,10),-1.38701 # DEPENDENCYPART_ARC
(8,11),-1.67786 # DEPENDENCYPART_ARC
(8,12),-2.29562 # DEPENDENCYPART_ARC
(8,13),-2.52762 # DEPENDENCYPART_ARC
(8,14),-2.00402 # DEPENDENCYPART_ARC
(8,15),-2.8567 # DEPENDENCYPART_ARC
(8,16),-2.41078 # DEPENDENCYPART_ARC
(8,17),-3.08267 # DEPENDENCYPART_ARC
(8,18),-2.35797 # DEPENDENCYPART_ARC
(9,1),2.16787 # DEPENDENCYPART_ARC
(9,2),1.89465 # DEPENDENCYPART_ARC
(9,3),0.820614 # DEPENDENCYPART_ARC
(9,4),0.361401 # DEPENDENCYPART_ARC
(9,5),0.388774 # DEPENDENCYPART_ARC
(9,6),0.669679 # DEPENDENCYPART_ARC
(9,7),1.32942 # DEPENDENCYPART_ARC
(9,8),2.24547 # DEPENDENCYPART_ARC
(9,10),3.63867 # DEPENDENCYPART_ARC
(9,11),1.52863 # DEPENDENCYPART_ARC
(9,12),-0.480254 # DEPENDENCYPART_ARC
(9,13),0.642652 # DEPENDENCYPART_ARC
(9,14),-0.682215 # DEPENDENCYPART_ARC
(9,15),-0.603307 # DEPENDENCYPART_ARC
(9,16),0.362919 # DEPENDENCYPART_ARC
(9,17),-1.21413 # DEPENDENCYPART_ARC
(9,18),5.04605 # DEPENDENCYPART_ARC
(10,1),-0.742123 # DEPENDENCYPART_ARC
(10,2),-0.794971 # DEPENDENCYPART_ARC
(10,3),-0.864819 # DEPENDENCYPART_ARC
(10,4),-0.00410886 # DEPENDENCYPART_ARC
(10,5),-0.271148 # DEPENDENCYPART_ARC
(10,6),0.125749 # DEPENDENCYPART_ARC
(10,7),-0.0152359 # DEPENDENCYPART_ARC
(10,8),0.291944 # DEPENDENCYPART_ARC
(10,9),0.417635 # DEPENDENCYPART_ARC
(10,11),3.3413 # DEPENDENCYPART_ARC
(10,12),0.44764 # DEPENDENCYPART_ARC
(10,13),1.89644 # DEPENDENCYPART_ARC
(10,14),1.0248 # DEPENDENCYPART_ARC
(10,15),-0.135381 # DEPENDENCYPART_ARC
(10,16),1.12432 # DEPENDENCYPART_ARC
(10,17),-0.113961 # DEPENDENCYPART_ARC
(10,18),0.680382 # DEPENDENCYPART_ARC
(11,1),-1.3772 # DEPENDENCYPART_ARC
(11,2),-0.972944 # DEPENDENCYPART_ARC
(11,3),-1.16384 # DEPENDENCYPART_ARC
(11,4),-0.543435 # DEPENDENCYPART_ARC
(11,5),-0.829918 # DEPENDENCYPART_ARC
(11,6),-0.695584 # DEPENDENCYPART_ARC
(11,7),-0.927184 # DEPENDENCYPART_ARC
(11,8),0.154007 # DEPENDENCYPART_ARC
(11,9),-0.216204 # DEPENDENCYPART_ARC
(11,10),0.178569 # DEPENDENCYPART_ARC
(11,12),0.482577 # DEPENDENCYPART_ARC
(11,13),3.58439 # DEPENDENCYPART_ARC
(11,14),0.3658 # DEPENDENCYPART_ARC
(11,15),-0.402867 # DEPENDENCYPART_ARC
(11,16),0.0554207 # DEPENDENCYPART_ARC
(11,17),0.883935 # DEPENDENCYPART_ARC
(11,18),0.00586704 # DEPENDENCYPART_ARC
(12,1),-2.77253 # DEPENDENCYPART_ARC
(12,2),-2.37448 # DEPENDENCYPART_ARC
(12,3),-2.44923 # DEPENDENCYPART_ARC
(12,4),-1.80431 # DEPENDENCYPART_ARC
(12,5),-2.18129 # DEPENDENCYPART_ARC
(12,6),-1.99693 # DEPENDENCYPART_ARC
(12,7),-2.07972 # DEPENDENCYPART_ARC
(12,8),-1.42551 # DEPENDENCYPART_ARC
(12,9),-1.3827 # DEPENDENCYPART_ARC
(12,10),-0.975092 # DEPENDENCYPART_ARC
(12,11),0.0535062 # DEPENDENCYPART_ARC
(12,13),-0.00108583 # DEPENDENCYPART_ARC
(12,14),-0.822961 # DEPENDENCYPART_ARC
(12,15),-2.08679 # DEPENDENCYPART_ARC
(12,16),-1.63386 # DEPENDENCYPART_ARC
(12,17),-1.75564 # DEPENDENCYPART_ARC
(12,18),-2.02182 # DEPENDENCYPART_ARC
(13,1),-7.10905 # DEPENDENCYPART_ARC
(13,2),-2.23886 # DEPENDENCYPART_ARC
(13,3),-2.5951 # DEPENDENCYPART_ARC
(13,4),-0.774446 # DEPENDENCYPART_ARC
(13,5),-2.16642 # DEPENDENCYPART_ARC
(13,6),-1.32359 # DEPENDENCYPART_ARC
(13,7),-3.07852 # DEPENDENCYPART_ARC
(13,8),-1.23989 # DEPENDENCYPART_ARC
(13,9),-0.42051 # DEPENDENCYPART_ARC
(13,10),-0.0501039 # DEPENDENCYPART_ARC
(13,11),0.76655 # DEPENDENCYPART_ARC
(13,12),4.46096 # DEPENDENCYPART_ARC
(13,14),2.79216 # DEPENDENCYPART_ARC
(13,15),0.0193932 # DEPENDENCYPART_ARC
(13,16),1.13612 # DEPENDENCYPART_ARC
(13,17),0.20589 # DEPENDENCYPART_ARC
(13,18),0.359207 # DEPENDENCYPART_ARC
(14,1),-2.16874 # DEPENDENCYPART_ARC
(14,2),-2.13071 # DEPENDENCYPART_ARC
(14,3),-1.81179 # DEPENDENCYPART_ARC
(14,4),-1.55755 # DEPENDENCYPART_ARC
(14,5),-1.44663 # DEPENDENCYPART_ARC
(14,6),-1.14881 # DEPENDENCYPART_ARC
(14,7),-1.63951 # DEPENDENCYPART_ARC
(14,8),-1.09132 # DEPENDENCYPART_ARC
(14,9),-1.15908 # DEPENDENCYPART_ARC
(14,10),-1.18791 # DEPENDENCYPART_ARC
(14,11),-0.0699312 # DEPENDENCYPART_ARC
(14,12),-0.124691 # DEPENDENCYPART_ARC
(14,13),0.870928 # DEPENDENCYPART_ARC
(14,15),1.0615 # DEPENDENCYPART_ARC
(14,16),1.68218 # DEPENDENCYPART_ARC
(14,17),3.29268 # DEPENDENCYPART_ARC
(14,18),-0.281333 # DEPENDENCYPART_ARC
(15,1),-2.61115 # DEPENDENCYPART_ARC
(15,2),-2.19283 # DEPENDENCYPART_ARC
(15,3),-2.70524 # DEPENDENCYPART_ARC
(15,4),-2.03539 # DEPENDENCYPART_ARC
(15,5),-2.41665 # DEPENDENCYPART_ARC
(15,6),-2.05703 # DEPENDENCYPART_ARC
(15,7),-2.01771 # DEPENDENCYPART_ARC
(15,8),-1.59738 # DEPENDENCYPART_ARC
(15,9),-1.67079 # DEPENDENCYPART_ARC
(15,10),-1.60127 # DEPENDENCYPART_ARC
(15,11),-1.19897 # DEPENDENCYPART_ARC
(15,12),-0.40611 # DEPENDENCYPART_ARC
(15,13),-0.938393 # DEPENDENCYPART_ARC
(15,14),-0.017931 # DEPENDENCYPART_ARC
(15,16),0.496406 # DEPENDENCYPART_ARC
(15,17),-0.221278 # DEPENDENCYPART_ARC
(15,18),-0.642684 # DEPENDENCYPART_ARC
(16,1),-1.66584 # DEPENDENCYPART_ARC
(16,2),-1.66265 # DEPENDENCYPART_ARC
(16,3),-1.89683 # DEPENDENCYPART_ARC
(16,4),-1.4677 # DEPENDENCYPART_ARC
(16,5),-1.47401 # DEPENDENCYPART_ARC
(16,6),-1.04024 # DEPENDENCYPART_ARC
(16,7),-1.25195 # DEPENDENCYPART_ARC
(16,8),-1.04224 # DEPENDENCYPART_ARC
(16,9),-0.905896 # DEPENDENCYPART_ARC
(16,10),-0.572191 # DEPENDENCYPART_ARC
(16,11),-0.500669 # DEPENDENCYPART_ARC
(16,12),0.688677 # DEPENDENCYPART_ARC
(16,13),0.62957 # DEPENDENCYPART_ARC
(16,14),0.295206 # DEPENDENCYPART_ARC
(16,15),2.15515 # DEPENDENCYPART_ARC
(16,17),1.84316 # DEPENDENCYPART_ARC
(16,18),-0.219034 # DEPENDENCYPART_ARC
(17,1),-7.17669 # DEPENDENCYPART_ARC
(17,2),-1.8578 # DEPENDENCYPART_ARC
(17,3),-2.86826 # DEPENDENCYPART_ARC
(17,4),-2.13774 # DEPENDENCYPART_ARC
(17,5),-2.53208 # DEPENDENCYPART_ARC
(17,6),-0.604354 # DEPENDENCYPART_ARC
(17,7),-3.3257 # DEPENDENCYPART_ARC
(17,8),-1.5095 # DEPENDENCYPART_ARC
(17,9),-0.317217 # DEPENDENCYPART_ARC
(17,10),-0.148353 # DEPENDENCYPART_ARC
(17,11),0.079745 # DEPENDENCYPART_ARC
(17,12),2.01018 # DEPENDENCYPART_ARC
(17,13),0.666145 # DEPENDENCYPART_ARC
(17,14),0.653698 # DEPENDENCYPART_ARC
(17,15),4.21046 # DEPENDENCYPART_ARC
(17,16),3.5994 # DEPENDENCYPART_ARC
(17,18),0.380123 # DEPENDENCYPART_ARC
(18,1),-2.35464 # DEPENDENCYPART_ARC
(18,2),-0.35423 # DEPENDENCYPART_ARC
(18,3),-1.52866 # DEPENDENCYPART_ARC
(18,4),-1.99536 # DEPENDENCYPART_ARC
(18,5),-1.80324 # DEPENDENCYPART_ARC
(18,6),-1.48473 # DEPENDENCYPART_ARC
(18,7),-1.33344 # DEPENDENCYPART_ARC
(18,8),0.0790644 # DEPENDENCYPART_ARC
(18,9),-1.1399 # DEPENDENCYPART_ARC
(18,10),-0.746639 # DEPENDENCYPART_ARC
(18,11),-1.46983 # DEPENDENCYPART_ARC
(18,12),-0.760165 # DEPENDENCYPART_ARC
(18,13),-1.61221 # DEPENDENCYPART_ARC
(18,14),-1.24349 # DEPENDENCYPART_ARC
(18,15),-0.180723 # DEPENDENCYPART_ARC
(18,16),-0.895688 # DEPENDENCYPART_ARC
(18,17),-1.44194 # DEPENDENCYPART_ARC
