# _root_ `` Those shares which had posted gains on M&A speculation were dashed with cold water , but as far as major stocks are concerned , there is n't much impact . ''
#goldHeads=11,3,11,5,3,5,6,6,10,8,0,11,12,15,13,11,11,27,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
#predictedHeads=11,3,11,5,3,5,6,7,10,8,0,11,12,15,13,11,11,17,18,18,22,23,20,23,27,27,17,27,30,27,11,11,
(1,25),-4.00558 # DEPENDENCYPART_ARC
(1,26),-4.68508 # DEPENDENCYPART_ARC
(1,27),-4.61307 # DEPENDENCYPART_ARC
(1,28),-4.73342 # DEPENDENCYPART_ARC
(1,29),-4.6174 # DEPENDENCYPART_ARC
(1,30),-4.64116 # DEPENDENCYPART_ARC
(1,31),-4.0778 # DEPENDENCYPART_ARC
(1,32),-1.83705 # DEPENDENCYPART_ARC
(2,1),-0.439402 # DEPENDENCYPART_ARC
(2,3),1.40636 # DEPENDENCYPART_ARC
(2,4),0.263175 # DEPENDENCYPART_ARC
(2,5),1.47474 # DEPENDENCYPART_ARC
(2,6),0.962894 # DEPENDENCYPART_ARC
(2,7),0.270273 # DEPENDENCYPART_ARC
(2,8),0.165722 # DEPENDENCYPART_ARC
(2,9),-0.650753 # DEPENDENCYPART_ARC
(2,10),-0.309623 # DEPENDENCYPART_ARC
(2,11),-0.00509471 # DEPENDENCYPART_ARC
(2,12),0.376541 # DEPENDENCYPART_ARC
(2,13),-0.492844 # DEPENDENCYPART_ARC
(2,14),-0.931606 # DEPENDENCYPART_ARC
(2,15),-1.03844 # DEPENDENCYPART_ARC
(2,16),0.498733 # DEPENDENCYPART_ARC
(2,17),-0.391859 # DEPENDENCYPART_ARC
(2,18),-0.477066 # DEPENDENCYPART_ARC
(2,19),-1.40159 # DEPENDENCYPART_ARC
(2,20),-1.09231 # DEPENDENCYPART_ARC
(2,21),-1.59824 # DEPENDENCYPART_ARC
(2,22),-1.178 # DEPENDENCYPART_ARC
(2,23),-1.38218 # DEPENDENCYPART_ARC
(2,24),-1.5076 # DEPENDENCYPART_ARC
(2,25),0.0323549 # DEPENDENCYPART_ARC
(2,26),-2.23464 # DEPENDENCYPART_ARC
(2,27),-3.82925 # DEPENDENCYPART_ARC
(2,28),-2.37706 # DEPENDENCYPART_ARC
(2,29),-2.4868 # DEPENDENCYPART_ARC
(2,30),-2.80612 # DEPENDENCYPART_ARC
(2,31),0.180123 # DEPENDENCYPART_ARC
(2,32),-1.22226 # DEPENDENCYPART_ARC
(3,1),-0.109139 # DEPENDENCYPART_ARC
(3,2),3.57915 # DEPENDENCYPART_ARC
(3,4),0.130982 # DEPENDENCYPART_ARC
(3,5),3.65137 # DEPENDENCYPART_ARC
(3,6),0.810008 # DEPENDENCYPART_ARC
(3,7),0.366421 # DEPENDENCYPART_ARC
(3,8),0.91596 # DEPENDENCYPART_ARC
(3,9),-0.207753 # DEPENDENCYPART_ARC
(3,10),0.0653903 # DEPENDENCYPART_ARC
(3,11),1.31481 # DEPENDENCYPART_ARC
(3,12),-0.014066 # DEPENDENCYPART_ARC
(3,13),0.830835 # DEPENDENCYPART_ARC
(3,14),-0.567421 # DEPENDENCYPART_ARC
(3,15),-0.78436 # DEPENDENCYPART_ARC
(3,16),0.527201 # DEPENDENCYPART_ARC
(3,17),-0.326191 # DEPENDENCYPART_ARC
(3,18),-0.478386 # DEPENDENCYPART_ARC
(3,19),-0.699759 # DEPENDENCYPART_ARC
(3,20),-0.533776 # DEPENDENCYPART_ARC
(3,21),-1.25361 # DEPENDENCYPART_ARC
(3,22),-0.738812 # DEPENDENCYPART_ARC
(3,23),0.526076 # DEPENDENCYPART_ARC
(3,24),-1.32587 # DEPENDENCYPART_ARC
(3,25),-0.209169 # DEPENDENCYPART_ARC
(3,26),-1.47522 # DEPENDENCYPART_ARC
(3,27),-2.10176 # DEPENDENCYPART_ARC
(3,28),-1.46652 # DEPENDENCYPART_ARC
(3,29),-1.94233 # DEPENDENCYPART_ARC
(3,30),-3.23771 # DEPENDENCYPART_ARC
(3,31),-0.981102 # DEPENDENCYPART_ARC
(3,32),-0.323737 # DEPENDENCYPART_ARC
(4,1),-0.154516 # DEPENDENCYPART_ARC
(4,2),0.580382 # DEPENDENCYPART_ARC
(4,3),0.149267 # DEPENDENCYPART_ARC
(4,5),1.00466 # DEPENDENCYPART_ARC
(4,6),-0.100884 # DEPENDENCYPART_ARC
(4,7),-0.625745 # DEPENDENCYPART_ARC
(4,8),-0.745963 # DEPENDENCYPART_ARC
(4,9),-0.970756 # DEPENDENCYPART_ARC
(4,10),-0.979341 # DEPENDENCYPART_ARC
(4,11),-1.24233 # DEPENDENCYPART_ARC
(4,12),-1.45181 # DEPENDENCYPART_ARC
(4,13),-1.3477 # DEPENDENCYPART_ARC
(4,14),-1.85917 # DEPENDENCYPART_ARC
(4,15),-1.54854 # DEPENDENCYPART_ARC
(4,16),-1.36198 # DEPENDENCYPART_ARC
(4,17),-1.65737 # DEPENDENCYPART_ARC
(4,18),-2.31777 # DEPENDENCYPART_ARC
(4,19),-2.38468 # DEPENDENCYPART_ARC
(4,20),-2.13483 # DEPENDENCYPART_ARC
(4,21),-2.71665 # DEPENDENCYPART_ARC
(4,22),-2.82572 # DEPENDENCYPART_ARC
(4,23),-2.5726 # DEPENDENCYPART_ARC
(4,24),-2.6712 # DEPENDENCYPART_ARC
(4,25),-2.37081 # DEPENDENCYPART_ARC
(4,26),-3.14754 # DEPENDENCYPART_ARC
(4,27),-3.4205 # DEPENDENCYPART_ARC
(4,28),-3.3866 # DEPENDENCYPART_ARC
(4,29),-3.51459 # DEPENDENCYPART_ARC
(4,30),-3.15338 # DEPENDENCYPART_ARC
(4,31),-2.74417 # DEPENDENCYPART_ARC
(4,32),-2.73098 # DEPENDENCYPART_ARC
(5,1),0.32736 # DEPENDENCYPART_ARC
(5,2),-0.323846 # DEPENDENCYPART_ARC
(5,3),0.100967 # DEPENDENCYPART_ARC
(5,4),2.48447 # DEPENDENCYPART_ARC
(5,6),3.72339 # DEPENDENCYPART_ARC
(5,7),1.58064 # DEPENDENCYPART_ARC
(5,8),0.501463 # DEPENDENCYPART_ARC
(5,9),-0.624708 # DEPENDENCYPART_ARC
(5,10),-0.502323 # DEPENDENCYPART_ARC
(5,11),0.364735 # DEPENDENCYPART_ARC
(5,12),1.0169 # DEPENDENCYPART_ARC
(5,13),-1.26217 # DEPENDENCYPART_ARC
(5,14),-1.80734 # DEPENDENCYPART_ARC
(5,15),-2.07515 # DEPENDENCYPART_ARC
(5,16),0.379362 # DEPENDENCYPART_ARC
(5,17),1.41047 # DEPENDENCYPART_ARC
(5,18),-1.17226 # DEPENDENCYPART_ARC
(5,19),-1.95203 # DEPENDENCYPART_ARC
(5,20),-1.90273 # DEPENDENCYPART_ARC
(5,21),-2.65623 # DEPENDENCYPART_ARC
(5,22),-3.24907 # DEPENDENCYPART_ARC
(5,23),-1.72246 # DEPENDENCYPART_ARC
(5,24),-1.41059 # DEPENDENCYPART_ARC
(5,25),-1.3598 # DEPENDENCYPART_ARC
(5,26),-3.1168 # DEPENDENCYPART_ARC
(5,27),-1.05599 # DEPENDENCYPART_ARC
(5,28),-3.07227 # DEPENDENCYPART_ARC
(5,29),-4.54415 # DEPENDENCYPART_ARC
(5,30),-5.12593 # DEPENDENCYPART_ARC
(5,31),2.17579 # DEPENDENCYPART_ARC
(5,32),0.0255574 # DEPENDENCYPART_ARC
(6,1),0.143126 # DEPENDENCYPART_ARC
(6,2),0.231121 # DEPENDENCYPART_ARC
(6,3),0.517081 # DEPENDENCYPART_ARC
(6,4),1.36511 # DEPENDENCYPART_ARC
(6,5),0.562865 # DEPENDENCYPART_ARC
(6,7),3.51853 # DEPENDENCYPART_ARC
(6,8),2.27717 # DEPENDENCYPART_ARC
(6,9),1.09471 # DEPENDENCYPART_ARC
(6,10),1.5145 # DEPENDENCYPART_ARC
(6,11),0.909629 # DEPENDENCYPART_ARC
(6,12),1.17684 # DEPENDENCYPART_ARC
(6,13),1.01374 # DEPENDENCYPART_ARC
(6,14),-0.152215 # DEPENDENCYPART_ARC
(6,15),0.620146 # DEPENDENCYPART_ARC
(6,16),1.44936 # DEPENDENCYPART_ARC
(6,17),0.434262 # DEPENDENCYPART_ARC
(6,18),0.331164 # DEPENDENCYPART_ARC
(6,19),-0.330283 # DEPENDENCYPART_ARC
(6,20),0.748766 # DEPENDENCYPART_ARC
(6,21),-1.1579 # DEPENDENCYPART_ARC
(6,22),-1.29044 # DEPENDENCYPART_ARC
(6,23),-0.390443 # DEPENDENCYPART_ARC
(6,24),-0.333406 # DEPENDENCYPART_ARC
(6,25),1.49701 # DEPENDENCYPART_ARC
(6,26),-1.17038 # DEPENDENCYPART_ARC
(6,27),-1.29364 # DEPENDENCYPART_ARC
(6,28),-1.82752 # DEPENDENCYPART_ARC
(6,29),-1.97837 # DEPENDENCYPART_ARC
(6,30),-2.05027 # DEPENDENCYPART_ARC
(6,31),2.8171 # DEPENDENCYPART_ARC
(6,32),-0.164552 # DEPENDENCYPART_ARC
(7,1),-0.585122 # DEPENDENCYPART_ARC
(7,2),1.25074 # DEPENDENCYPART_ARC
(7,3),0.399568 # DEPENDENCYPART_ARC
(7,4),1.19639 # DEPENDENCYPART_ARC
(7,5),0.711369 # DEPENDENCYPART_ARC
(7,6),3.18986 # DEPENDENCYPART_ARC
(7,8),3.03381 # DEPENDENCYPART_ARC
(7,9),0.591234 # DEPENDENCYPART_ARC
(7,10),1.12495 # DEPENDENCYPART_ARC
(7,11),1.10007 # DEPENDENCYPART_ARC
(7,12),0.893649 # DEPENDENCYPART_ARC
(7,13),1.41021 # DEPENDENCYPART_ARC
(7,14),-0.00425794 # DEPENDENCYPART_ARC
(7,15),0.105102 # DEPENDENCYPART_ARC
(7,16),0.317655 # DEPENDENCYPART_ARC
(7,17),0.203477 # DEPENDENCYPART_ARC
(7,18),-0.0389785 # DEPENDENCYPART_ARC
(7,19),-0.161686 # DEPENDENCYPART_ARC
(7,20),-0.248514 # DEPENDENCYPART_ARC
(7,21),-0.544468 # DEPENDENCYPART_ARC
(7,22),-0.373328 # DEPENDENCYPART_ARC
(7,23),-0.189472 # DEPENDENCYPART_ARC
(7,24),-0.95207 # DEPENDENCYPART_ARC
(7,25),-0.204882 # DEPENDENCYPART_ARC
(7,26),-1.12993 # DEPENDENCYPART_ARC
(7,27),-2.12707 # DEPENDENCYPART_ARC
(7,28),-1.06086 # DEPENDENCYPART_ARC
(7,29),-1.31452 # DEPENDENCYPART_ARC
(7,30),-2.05634 # DEPENDENCYPART_ARC
(7,31),-0.045671 # DEPENDENCYPART_ARC
(7,32),-0.532382 # DEPENDENCYPART_ARC
(8,1),-0.560467 # DEPENDENCYPART_ARC
(8,2),-0.779168 # DEPENDENCYPART_ARC
(8,3),-0.846588 # DEPENDENCYPART_ARC
(8,4),0.24296 # DEPENDENCYPART_ARC
(8,5),-0.333453 # DEPENDENCYPART_ARC
(8,6),-0.247451 # DEPENDENCYPART_ARC
(8,7),0.36771 # DEPENDENCYPART_ARC
(8,9),2.49089 # DEPENDENCYPART_ARC
(8,10),3.55103 # DEPENDENCYPART_ARC
(8,11),1.21924 # DEPENDENCYPART_ARC
(8,12),0.0442738 # DEPENDENCYPART_ARC
(8,13),-0.473893 # DEPENDENCYPART_ARC
(8,14),-0.929386 # DEPENDENCYPART_ARC
(8,15),-0.0586383 # DEPENDENCYPART_ARC
(8,16),0.463428 # DEPENDENCYPART_ARC
(8,17),0.23062 # DEPENDENCYPART_ARC
(8,18),-0.625229 # DEPENDENCYPART_ARC
(8,19),-0.787309 # DEPENDENCYPART_ARC
(8,20),-0.988423 # DEPENDENCYPART_ARC
(8,21),-2.41869 # DEPENDENCYPART_ARC
(8,22),-2.57618 # DEPENDENCYPART_ARC
(8,23),-2.14237 # DEPENDENCYPART_ARC
(8,24),-0.945312 # DEPENDENCYPART_ARC
(8,25),-0.642705 # DEPENDENCYPART_ARC
(8,26),-2.06585 # DEPENDENCYPART_ARC
(8,27),-3.25273 # DEPENDENCYPART_ARC
(8,28),-1.55542 # DEPENDENCYPART_ARC
(8,29),-3.96268 # DEPENDENCYPART_ARC
(8,30),-5.90802 # DEPENDENCYPART_ARC
(8,31),1.70482 # DEPENDENCYPART_ARC
(8,32),0.439221 # DEPENDENCYPART_ARC
(9,1),-2.78133 # DEPENDENCYPART_ARC
(9,2),-3.22549 # DEPENDENCYPART_ARC
(9,3),-3.01719 # DEPENDENCYPART_ARC
(9,4),-2.24008 # DEPENDENCYPART_ARC
(9,5),-2.53025 # DEPENDENCYPART_ARC
(9,6),-1.79781 # DEPENDENCYPART_ARC
(9,7),-1.30372 # DEPENDENCYPART_ARC
(9,8),-0.0941298 # DEPENDENCYPART_ARC
(9,10),0.676365 # DEPENDENCYPART_ARC
(9,11),-0.0850945 # DEPENDENCYPART_ARC
(9,12),-0.560977 # DEPENDENCYPART_ARC
(9,13),-0.672663 # DEPENDENCYPART_ARC
(9,14),-0.844296 # DEPENDENCYPART_ARC
(9,15),-2.27173 # DEPENDENCYPART_ARC
(9,16),-0.857867 # DEPENDENCYPART_ARC
(9,17),-1.79261 # DEPENDENCYPART_ARC
(9,18),-1.70803 # DEPENDENCYPART_ARC
(9,19),-1.8022 # DEPENDENCYPART_ARC
(9,20),-1.63837 # DEPENDENCYPART_ARC
(9,21),-2.23771 # DEPENDENCYPART_ARC
(9,22),-2.64471 # DEPENDENCYPART_ARC
(9,23),-0.941476 # DEPENDENCYPART_ARC
(9,24),-1.88243 # DEPENDENCYPART_ARC
(9,25),-1.58572 # DEPENDENCYPART_ARC
(9,26),-2.54668 # DEPENDENCYPART_ARC
(9,27),-1.8266 # DEPENDENCYPART_ARC
(9,28),-2.72307 # DEPENDENCYPART_ARC
(9,29),-3.118 # DEPENDENCYPART_ARC
(9,30),-6.14328 # DEPENDENCYPART_ARC
(9,31),-0.0478943 # DEPENDENCYPART_ARC
(9,32),-1.64136 # DEPENDENCYPART_ARC
(10,1),-1.0181 # DEPENDENCYPART_ARC
(10,2),-0.427446 # DEPENDENCYPART_ARC
(10,3),0.55452 # DEPENDENCYPART_ARC
(10,4),0.291822 # DEPENDENCYPART_ARC
(10,5),-0.0182294 # DEPENDENCYPART_ARC
(10,6),1.2394 # DEPENDENCYPART_ARC
(10,7),1.01807 # DEPENDENCYPART_ARC
(10,8),1.06782 # DEPENDENCYPART_ARC
(10,9),4.03233 # DEPENDENCYPART_ARC
(10,11),1.07134 # DEPENDENCYPART_ARC
(10,12),0.81067 # DEPENDENCYPART_ARC
(10,13),1.40388 # DEPENDENCYPART_ARC
(10,14),-0.188825 # DEPENDENCYPART_ARC
(10,15),-0.374316 # DEPENDENCYPART_ARC
(10,16),-0.088106 # DEPENDENCYPART_ARC
(10,17),-0.210724 # DEPENDENCYPART_ARC
(10,18),-0.599577 # DEPENDENCYPART_ARC
(10,19),-0.682887 # DEPENDENCYPART_ARC
(10,20),-0.219712 # DEPENDENCYPART_ARC
(10,21),-1.25205 # DEPENDENCYPART_ARC
(10,22),-0.985808 # DEPENDENCYPART_ARC
(10,23),-0.185148 # DEPENDENCYPART_ARC
(10,24),-1.1115 # DEPENDENCYPART_ARC
(10,25),-0.360968 # DEPENDENCYPART_ARC
(10,26),-1.63995 # DEPENDENCYPART_ARC
(10,27),-1.99152 # DEPENDENCYPART_ARC
(10,28),-1.89907 # DEPENDENCYPART_ARC
(10,29),-2.87639 # DEPENDENCYPART_ARC
(10,30),-2.08107 # DEPENDENCYPART_ARC
(10,31),1.4039 # DEPENDENCYPART_ARC
(10,32),-0.584848 # DEPENDENCYPART_ARC
(11,1),1.79714 # DEPENDENCYPART_ARC
(11,2),0.74323 # DEPENDENCYPART_ARC
(11,3),2.28222 # DEPENDENCYPART_ARC
(11,4),1.59924 # DEPENDENCYPART_ARC
(11,5),0.196769 # DEPENDENCYPART_ARC
(11,6),0.663131 # DEPENDENCYPART_ARC
(11,7),2.52744 # DEPENDENCYPART_ARC
(11,8),1.27468 # DEPENDENCYPART_ARC
(11,9),1.09756 # DEPENDENCYPART_ARC
(11,10),2.21879 # DEPENDENCYPART_ARC
(11,12),3.5622 # DEPENDENCYPART_ARC
(11,13),1.18751 # DEPENDENCYPART_ARC
(11,14),0.543345 # DEPENDENCYPART_ARC
(11,15),0.602979 # DEPENDENCYPART_ARC
(11,16),2.26317 # DEPENDENCYPART_ARC
(11,17),2.70498 # DEPENDENCYPART_ARC
(11,18),-0.342891 # DEPENDENCYPART_ARC
(11,19),-0.756587 # DEPENDENCYPART_ARC
(11,20),-0.710825 # DEPENDENCYPART_ARC
(11,21),-0.420728 # DEPENDENCYPART_ARC
(11,22),-1.61747 # DEPENDENCYPART_ARC
(11,23),1.03226 # DEPENDENCYPART_ARC
(11,24),-0.546913 # DEPENDENCYPART_ARC
(11,25),-0.191537 # DEPENDENCYPART_ARC
(11,26),-1.47898 # DEPENDENCYPART_ARC
(11,27),-0.0220927 # DEPENDENCYPART_ARC
(11,28),-1.25241 # DEPENDENCYPART_ARC
(11,29),-2.24319 # DEPENDENCYPART_ARC
(11,30),-2.1895 # DEPENDENCYPART_ARC
(11,31),4.67652 # DEPENDENCYPART_ARC
(11,32),3.13451 # DEPENDENCYPART_ARC
(12,1),-0.302853 # DEPENDENCYPART_ARC
(12,2),-0.349429 # DEPENDENCYPART_ARC
(12,3),-0.264601 # DEPENDENCYPART_ARC
(12,4),0.382556 # DEPENDENCYPART_ARC
(12,5),-0.0628261 # DEPENDENCYPART_ARC
(12,6),-0.373004 # DEPENDENCYPART_ARC
(12,7),0.0652525 # DEPENDENCYPART_ARC
(12,8),0.559142 # DEPENDENCYPART_ARC
(12,9),0.393763 # DEPENDENCYPART_ARC
(12,10),0.485651 # DEPENDENCYPART_ARC
(12,11),0.493142 # DEPENDENCYPART_ARC
(12,13),3.19105 # DEPENDENCYPART_ARC
(12,14),0.927794 # DEPENDENCYPART_ARC
(12,15),1.56758 # DEPENDENCYPART_ARC
(12,16),1.14118 # DEPENDENCYPART_ARC
(12,17),0.960897 # DEPENDENCYPART_ARC
(12,18),0.322801 # DEPENDENCYPART_ARC
(12,19),0.1418 # DEPENDENCYPART_ARC
(12,20),1.08328 # DEPENDENCYPART_ARC
(12,21),-0.981283 # DEPENDENCYPART_ARC
(12,22),-0.953787 # DEPENDENCYPART_ARC
(12,23),-0.128761 # DEPENDENCYPART_ARC
(12,24),-0.407462 # DEPENDENCYPART_ARC
(12,25),0.777176 # DEPENDENCYPART_ARC
(12,26),-0.868555 # DEPENDENCYPART_ARC
(12,27),-1.18924 # DEPENDENCYPART_ARC
(12,28),-1.39464 # DEPENDENCYPART_ARC
(12,29),-1.68398 # DEPENDENCYPART_ARC
(12,30),-1.71414 # DEPENDENCYPART_ARC
(12,31),1.3893 # DEPENDENCYPART_ARC
(12,32),0.00665961 # DEPENDENCYPART_ARC
(13,1),-1.07576 # DEPENDENCYPART_ARC
(13,2),-1.82374 # DEPENDENCYPART_ARC
(13,3),-1.59682 # DEPENDENCYPART_ARC
(13,4),0.374598 # DEPENDENCYPART_ARC
(13,5),-0.943409 # DEPENDENCYPART_ARC
(13,6),-0.747891 # DEPENDENCYPART_ARC
(13,7),-1.03079 # DEPENDENCYPART_ARC
(13,8),0.249381 # DEPENDENCYPART_ARC
(13,9),-0.745887 # DEPENDENCYPART_ARC
(13,10),-0.478787 # DEPENDENCYPART_ARC
(13,11),-0.404017 # DEPENDENCYPART_ARC
(13,12),0.628126 # DEPENDENCYPART_ARC
(13,14),1.51723 # DEPENDENCYPART_ARC
(13,15),3.71386 # DEPENDENCYPART_ARC
(13,16),1.23758 # DEPENDENCYPART_ARC
(13,17),1.00271 # DEPENDENCYPART_ARC
(13,18),-0.236146 # DEPENDENCYPART_ARC
(13,19),0.122429 # DEPENDENCYPART_ARC
(13,20),0.178144 # DEPENDENCYPART_ARC
(13,21),0.0467754 # DEPENDENCYPART_ARC
(13,22),0.389257 # DEPENDENCYPART_ARC
(13,23),0.0433383 # DEPENDENCYPART_ARC
(13,24),0.345172 # DEPENDENCYPART_ARC
(13,25),-0.141138 # DEPENDENCYPART_ARC
(13,26),-1.17147 # DEPENDENCYPART_ARC
(13,27),-3.36325 # DEPENDENCYPART_ARC
(13,28),-0.93046 # DEPENDENCYPART_ARC
(13,29),-1.12779 # DEPENDENCYPART_ARC
(13,30),-1.90043 # DEPENDENCYPART_ARC
(13,31),1.6647 # DEPENDENCYPART_ARC
(13,32),0.4658 # DEPENDENCYPART_ARC
(14,1),-2.6541 # DEPENDENCYPART_ARC
(14,2),-3.01947 # DEPENDENCYPART_ARC
(14,3),-2.91883 # DEPENDENCYPART_ARC
(14,4),-1.57873 # DEPENDENCYPART_ARC
(14,5),-2.81822 # DEPENDENCYPART_ARC
(14,6),-2.46214 # DEPENDENCYPART_ARC
(14,7),-2.14452 # DEPENDENCYPART_ARC
(14,8),-1.59056 # DEPENDENCYPART_ARC
(14,9),-1.27976 # DEPENDENCYPART_ARC
(14,10),-1.48618 # DEPENDENCYPART_ARC
(14,11),-1.79294 # DEPENDENCYPART_ARC
(14,12),-0.965445 # DEPENDENCYPART_ARC
(14,13),0.29974 # DEPENDENCYPART_ARC
(14,15),1.26764 # DEPENDENCYPART_ARC
(14,16),-0.417922 # DEPENDENCYPART_ARC
(14,17),0.116702 # DEPENDENCYPART_ARC
(14,18),-0.663882 # DEPENDENCYPART_ARC
(14,19),-0.885056 # DEPENDENCYPART_ARC
(14,20),-0.846847 # DEPENDENCYPART_ARC
(14,21),-1.1679 # DEPENDENCYPART_ARC
(14,22),-0.871195 # DEPENDENCYPART_ARC
(14,23),-1.07907 # DEPENDENCYPART_ARC
(14,24),-1.16153 # DEPENDENCYPART_ARC
(14,25),-0.686219 # DEPENDENCYPART_ARC
(14,26),-1.84681 # DEPENDENCYPART_ARC
(14,27),-1.77585 # DEPENDENCYPART_ARC
(14,28),-1.68703 # DEPENDENCYPART_ARC
(14,29),-1.99539 # DEPENDENCYPART_ARC
(14,30),-1.7548 # DEPENDENCYPART_ARC
(14,31),-0.571191 # DEPENDENCYPART_ARC
(14,32),-2.11373 # DEPENDENCYPART_ARC
(15,1),-2.19044 # DEPENDENCYPART_ARC
(15,2),-3.15315 # DEPENDENCYPART_ARC
(15,3),-1.19072 # DEPENDENCYPART_ARC
(15,4),-1.17049 # DEPENDENCYPART_ARC
(15,5),-1.53818 # DEPENDENCYPART_ARC
(15,6),-0.828902 # DEPENDENCYPART_ARC
(15,7),-1.43849 # DEPENDENCYPART_ARC
(15,8),-0.929232 # DEPENDENCYPART_ARC
(15,9),0.150813 # DEPENDENCYPART_ARC
(15,10),-0.692556 # DEPENDENCYPART_ARC
(15,11),-0.467898 # DEPENDENCYPART_ARC
(15,12),0.434511 # DEPENDENCYPART_ARC
(15,13),0.886065 # DEPENDENCYPART_ARC
(15,14),4.2535 # DEPENDENCYPART_ARC
(15,16),1.03235 # DEPENDENCYPART_ARC
(15,17),0.841471 # DEPENDENCYPART_ARC
(15,18),-0.102906 # DEPENDENCYPART_ARC
(15,19),-0.183064 # DEPENDENCYPART_ARC
(15,20),-0.52057 # DEPENDENCYPART_ARC
(15,21),-0.920855 # DEPENDENCYPART_ARC
(15,22),-0.219786 # DEPENDENCYPART_ARC
(15,23),0.105891 # DEPENDENCYPART_ARC
(15,24),-0.742354 # DEPENDENCYPART_ARC
(15,25),0.496353 # DEPENDENCYPART_ARC
(15,26),-1.54056 # DEPENDENCYPART_ARC
(15,27),-1.90622 # DEPENDENCYPART_ARC
(15,28),-1.55977 # DEPENDENCYPART_ARC
(15,29),-2.60304 # DEPENDENCYPART_ARC
(15,30),-0.865685 # DEPENDENCYPART_ARC
(15,31),0.930714 # DEPENDENCYPART_ARC
(15,32),-0.467391 # DEPENDENCYPART_ARC
(16,1),-2.16012 # DEPENDENCYPART_ARC
(16,2),-2.17799 # DEPENDENCYPART_ARC
(16,3),-2.22944 # DEPENDENCYPART_ARC
(16,4),-1.70925 # DEPENDENCYPART_ARC
(16,5),-1.88033 # DEPENDENCYPART_ARC
(16,6),-1.22751 # DEPENDENCYPART_ARC
(16,7),-1.66034 # DEPENDENCYPART_ARC
(16,8),-1.66999 # DEPENDENCYPART_ARC
(16,9),-1.87599 # DEPENDENCYPART_ARC
(16,10),-1.41117 # DEPENDENCYPART_ARC
(16,11),-1.65649 # DEPENDENCYPART_ARC
