# _root_ `` It 's falling like a stone , '' said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .
#goldHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
#predictedHeads=10,3,10,3,4,7,5,10,10,0,12,10,12,16,16,12,18,16,18,19,26,26,26,26,26,20,10,
(2,3),1.22428 # DEPENDENCYPART_ARC
(2,4),0.601963 # DEPENDENCYPART_ARC
(2,5),0.775293 # DEPENDENCYPART_ARC
(2,6),-0.0942339 # DEPENDENCYPART_ARC
(2,7),0.363507 # DEPENDENCYPART_ARC
(2,8),0.194603 # DEPENDENCYPART_ARC
(2,9),0.0294123 # DEPENDENCYPART_ARC
(2,10),0.117326 # DEPENDENCYPART_ARC
(2,11),-0.639658 # DEPENDENCYPART_ARC
(2,12),-0.691723 # DEPENDENCYPART_ARC
(2,13),-0.139149 # DEPENDENCYPART_ARC
(2,14),-0.992509 # DEPENDENCYPART_ARC
(2,15),-0.400123 # DEPENDENCYPART_ARC
(2,16),-0.562758 # DEPENDENCYPART_ARC
(2,17),-2.02407 # DEPENDENCYPART_ARC
(2,18),-1.20579 # DEPENDENCYPART_ARC
(2,19),-1.27792 # DEPENDENCYPART_ARC
(2,20),-1.62803 # DEPENDENCYPART_ARC
(2,21),-1.63707 # DEPENDENCYPART_ARC
(2,22),-1.74905 # DEPENDENCYPART_ARC
(2,23),-1.7945 # DEPENDENCYPART_ARC
(2,24),-1.93127 # DEPENDENCYPART_ARC
(2,25),-2.0137 # DEPENDENCYPART_ARC
(2,26),-2.03543 # DEPENDENCYPART_ARC
(2,27),-1.37592 # DEPENDENCYPART_ARC
(3,1),2.1405 # DEPENDENCYPART_ARC
(3,2),3.72927 # DEPENDENCYPART_ARC
(3,4),3.50207 # DEPENDENCYPART_ARC
(3,5),1.51952 # DEPENDENCYPART_ARC
(3,6),0.0270642 # DEPENDENCYPART_ARC
(3,7),0.612252 # DEPENDENCYPART_ARC
(3,8),1.3782 # DEPENDENCYPART_ARC
(3,9),0.721041 # DEPENDENCYPART_ARC
(3,10),-0.297199 # DEPENDENCYPART_ARC
(3,11),-1.72429 # DEPENDENCYPART_ARC
(3,12),-1.21512 # DEPENDENCYPART_ARC
(3,13),-0.966909 # DEPENDENCYPART_ARC
(3,14),-0.487187 # DEPENDENCYPART_ARC
(3,15),-2.48418 # DEPENDENCYPART_ARC
(3,16),-2.19442 # DEPENDENCYPART_ARC
(3,17),-1.78395 # DEPENDENCYPART_ARC
(3,18),0.232514 # DEPENDENCYPART_ARC
(3,19),-0.27337 # DEPENDENCYPART_ARC
(3,20),-1.57533 # DEPENDENCYPART_ARC
(3,21),-1.6013 # DEPENDENCYPART_ARC
(3,22),-3.69872 # DEPENDENCYPART_ARC
(3,23),-3.55736 # DEPENDENCYPART_ARC
(3,24),-3.61725 # DEPENDENCYPART_ARC
(3,25),-3.6008 # DEPENDENCYPART_ARC
(3,26),-3.38411 # DEPENDENCYPART_ARC
(3,27),2.32422 # DEPENDENCYPART_ARC
(4,1),0.49161 # DEPENDENCYPART_ARC
(4,2),1.08008 # DEPENDENCYPART_ARC
(4,3),0.793875 # DEPENDENCYPART_ARC
(4,5),2.68867 # DEPENDENCYPART_ARC
(4,6),0.359974 # DEPENDENCYPART_ARC
(4,7),1.26584 # DEPENDENCYPART_ARC
(4,8),1.45215 # DEPENDENCYPART_ARC
(4,9),0.798356 # DEPENDENCYPART_ARC
(4,10),0.309796 # DEPENDENCYPART_ARC
(4,11),-0.791573 # DEPENDENCYPART_ARC
(4,12),-0.395052 # DEPENDENCYPART_ARC
(4,13),0.814624 # DEPENDENCYPART_ARC
(4,14),-1.01034 # DEPENDENCYPART_ARC
(4,15),-1.71903 # DEPENDENCYPART_ARC
(4,16),-1.26597 # DEPENDENCYPART_ARC
(4,17),-2.04706 # DEPENDENCYPART_ARC
(4,18),-0.369214 # DEPENDENCYPART_ARC
(4,19),0.384477 # DEPENDENCYPART_ARC
(4,20),-0.920776 # DEPENDENCYPART_ARC
(4,21),-2.09022 # DEPENDENCYPART_ARC
(4,22),-2.34024 # DEPENDENCYPART_ARC
(4,23),-2.26173 # DEPENDENCYPART_ARC
(4,24),-2.05383 # DEPENDENCYPART_ARC
(4,25),-2.0241 # DEPENDENCYPART_ARC
(4,26),-1.65882 # DEPENDENCYPART_ARC
(4,27),0.461393 # DEPENDENCYPART_ARC
(5,1),0.742621 # DEPENDENCYPART_ARC
(5,2),0.531981 # DEPENDENCYPART_ARC
(5,3),0.510921 # DEPENDENCYPART_ARC
(5,4),0.726654 # DEPENDENCYPART_ARC
(5,6),1.69774 # DEPENDENCYPART_ARC
(5,7),3.635 # DEPENDENCYPART_ARC
(5,8),1.37453 # DEPENDENCYPART_ARC
(5,9),1.08752 # DEPENDENCYPART_ARC
(5,10),1.17751 # DEPENDENCYPART_ARC
(5,11),-1.09159 # DEPENDENCYPART_ARC
(5,12),0.120078 # DEPENDENCYPART_ARC
(5,13),0.756835 # DEPENDENCYPART_ARC
(5,14),-1.41699 # DEPENDENCYPART_ARC
(5,15),-2.68367 # DEPENDENCYPART_ARC
(5,16),-1.30912 # DEPENDENCYPART_ARC
(5,17),-0.949462 # DEPENDENCYPART_ARC
(5,18),-1.08051 # DEPENDENCYPART_ARC
(5,19),-0.48898 # DEPENDENCYPART_ARC
(5,20),-0.690003 # DEPENDENCYPART_ARC
(5,21),-2.43993 # DEPENDENCYPART_ARC
(5,22),-5.66774 # DEPENDENCYPART_ARC
(5,23),-5.28865 # DEPENDENCYPART_ARC
(5,24),-5.66547 # DEPENDENCYPART_ARC
(5,25),-5.31887 # DEPENDENCYPART_ARC
(5,26),-4.89382 # DEPENDENCYPART_ARC
(5,27),1.60251 # DEPENDENCYPART_ARC
(6,1),-1.6987 # DEPENDENCYPART_ARC
(6,2),-0.982065 # DEPENDENCYPART_ARC
(6,3),-1.16061 # DEPENDENCYPART_ARC
(6,4),-0.746557 # DEPENDENCYPART_ARC
(6,5),0.756357 # DEPENDENCYPART_ARC
(6,7),0.741562 # DEPENDENCYPART_ARC
(6,8),-0.687823 # DEPENDENCYPART_ARC
(6,9),-0.875399 # DEPENDENCYPART_ARC
(6,10),-0.899387 # DEPENDENCYPART_ARC
(6,11),-1.30252 # DEPENDENCYPART_ARC
(6,12),-1.48629 # DEPENDENCYPART_ARC
(6,13),-0.38812 # DEPENDENCYPART_ARC
(6,14),-2.33685 # DEPENDENCYPART_ARC
(6,15),-1.30836 # DEPENDENCYPART_ARC
(6,16),-1.4955 # DEPENDENCYPART_ARC
(6,17),-3.19543 # DEPENDENCYPART_ARC
(6,18),-2.85162 # DEPENDENCYPART_ARC
(6,19),-2.29685 # DEPENDENCYPART_ARC
(6,20),-2.71868 # DEPENDENCYPART_ARC
(6,21),-3.24886 # DEPENDENCYPART_ARC
(6,22),-2.74224 # DEPENDENCYPART_ARC
(6,23),-2.58453 # DEPENDENCYPART_ARC
(6,24),-2.58638 # DEPENDENCYPART_ARC
(6,25),-2.56584 # DEPENDENCYPART_ARC
(6,26),-2.50445 # DEPENDENCYPART_ARC
(6,27),-2.81433 # DEPENDENCYPART_ARC
(7,1),-1.0619 # DEPENDENCYPART_ARC
(7,2),-0.0315461 # DEPENDENCYPART_ARC
(7,3),0.0392337 # DEPENDENCYPART_ARC
(7,4),0.389563 # DEPENDENCYPART_ARC
(7,5),1.25487 # DEPENDENCYPART_ARC
(7,6),5.00936 # DEPENDENCYPART_ARC
(7,8),1.28366 # DEPENDENCYPART_ARC
(7,9),1.80973 # DEPENDENCYPART_ARC
(7,10),0.796789 # DEPENDENCYPART_ARC
(7,11),0.265295 # DEPENDENCYPART_ARC
(7,12),0.517993 # DEPENDENCYPART_ARC
(7,13),1.05344 # DEPENDENCYPART_ARC
(7,14),-0.338079 # DEPENDENCYPART_ARC
(7,15),-0.175716 # DEPENDENCYPART_ARC
(7,16),-0.498207 # DEPENDENCYPART_ARC
(7,17),-1.69266 # DEPENDENCYPART_ARC
(7,18),0.352022 # DEPENDENCYPART_ARC
(7,19),-0.742111 # DEPENDENCYPART_ARC
(7,20),-1.28529 # DEPENDENCYPART_ARC
(7,21),-1.31444 # DEPENDENCYPART_ARC
(7,22),-1.18408 # DEPENDENCYPART_ARC
(7,23),-0.984283 # DEPENDENCYPART_ARC
(7,24),-0.995744 # DEPENDENCYPART_ARC
(7,25),-1.02921 # DEPENDENCYPART_ARC
(7,26),-1.36776 # DEPENDENCYPART_ARC
(7,27),0.259384 # DEPENDENCYPART_ARC
(8,1),-1.32758 # DEPENDENCYPART_ARC
(8,2),-1.65192 # DEPENDENCYPART_ARC
(8,3),-1.62331 # DEPENDENCYPART_ARC
(8,4),-0.926733 # DEPENDENCYPART_ARC
(8,5),-0.871017 # DEPENDENCYPART_ARC
(8,6),-0.500726 # DEPENDENCYPART_ARC
(8,7),-0.959937 # DEPENDENCYPART_ARC
(8,9),0.503682 # DEPENDENCYPART_ARC
(8,10),0.0188622 # DEPENDENCYPART_ARC
(8,11),-0.542951 # DEPENDENCYPART_ARC
(8,12),-0.83899 # DEPENDENCYPART_ARC
(8,13),0.475961 # DEPENDENCYPART_ARC
(8,14),-1.35149 # DEPENDENCYPART_ARC
(8,15),-1.77653 # DEPENDENCYPART_ARC
(8,16),-1.92589 # DEPENDENCYPART_ARC
(8,17),-2.34976 # DEPENDENCYPART_ARC
(8,18),-1.35496 # DEPENDENCYPART_ARC
(8,19),-1.58217 # DEPENDENCYPART_ARC
(8,20),-1.5756 # DEPENDENCYPART_ARC
(8,21),-2.18754 # DEPENDENCYPART_ARC
(8,22),-2.3233 # DEPENDENCYPART_ARC
(8,23),-2.40639 # DEPENDENCYPART_ARC
(8,24),-2.5249 # DEPENDENCYPART_ARC
(8,25),-2.64661 # DEPENDENCYPART_ARC
(8,26),-2.80277 # DEPENDENCYPART_ARC
(8,27),-2.03981 # DEPENDENCYPART_ARC
(9,1),0.316826 # DEPENDENCYPART_ARC
(9,2),-1.56258 # DEPENDENCYPART_ARC
(9,3),-1.00679 # DEPENDENCYPART_ARC
(9,4),-1.1507 # DEPENDENCYPART_ARC
(9,5),-0.835772 # DEPENDENCYPART_ARC
(9,6),0.280994 # DEPENDENCYPART_ARC
(9,7),-1.03081 # DEPENDENCYPART_ARC
(9,8),0.657708 # DEPENDENCYPART_ARC
(9,10),0.108293 # DEPENDENCYPART_ARC
(9,11),-0.931661 # DEPENDENCYPART_ARC
(9,12),-1.29694 # DEPENDENCYPART_ARC
(9,13),-1.06658 # DEPENDENCYPART_ARC
(9,14),-2.07909 # DEPENDENCYPART_ARC
(9,15),-1.87955 # DEPENDENCYPART_ARC
(9,16),-1.98501 # DEPENDENCYPART_ARC
(9,17),-2.79277 # DEPENDENCYPART_ARC
(9,18),-1.80644 # DEPENDENCYPART_ARC
(9,19),-2.0777 # DEPENDENCYPART_ARC
(9,20),-2.11071 # DEPENDENCYPART_ARC
(9,21),-2.79703 # DEPENDENCYPART_ARC
(9,22),-2.93875 # DEPENDENCYPART_ARC
(9,23),-3.09102 # DEPENDENCYPART_ARC
(9,24),-3.17557 # DEPENDENCYPART_ARC
(9,25),-3.30074 # DEPENDENCYPART_ARC
(9,26),-3.4168 # DEPENDENCYPART_ARC
(9,27),-2.19805 # DEPENDENCYPART_ARC
(10,1),4.29146 # DEPENDENCYPART_ARC
(10,2),-0.171803 # DEPENDENCYPART_ARC
(10,3),1.2372 # DEPENDENCYPART_ARC
(10,4),0.353557 # DEPENDENCYPART_ARC
(10,5),-0.786644 # DEPENDENCYPART_ARC
(10,6),0.257954 # DEPENDENCYPART_ARC
(10,7),0.174459 # DEPENDENCYPART_ARC
(10,8),3.55317 # DEPENDENCYPART_ARC
(10,9),3.91787 # DEPENDENCYPART_ARC
(10,11),1.27745 # DEPENDENCYPART_ARC
(10,12),2.65339 # DEPENDENCYPART_ARC
(10,13),1.33938 # DEPENDENCYPART_ARC
(10,14),-0.731749 # DEPENDENCYPART_ARC
(10,15),-0.394746 # DEPENDENCYPART_ARC
(10,16),-0.595059 # DEPENDENCYPART_ARC
(10,17),-0.87049 # DEPENDENCYPART_ARC
(10,18),1.74797 # DEPENDENCYPART_ARC
(10,19),1.152 # DEPENDENCYPART_ARC
(10,20),-0.781348 # DEPENDENCYPART_ARC
(10,21),-1.92663 # DEPENDENCYPART_ARC
(10,22),-1.9965 # DEPENDENCYPART_ARC
(10,23),-1.31867 # DEPENDENCYPART_ARC
(10,24),-1.36279 # DEPENDENCYPART_ARC
(10,25),-1.18723 # DEPENDENCYPART_ARC
(10,26),-0.584136 # DEPENDENCYPART_ARC
(10,27),8.30247 # DEPENDENCYPART_ARC
(11,1),-2.27416 # DEPENDENCYPART_ARC
(11,2),-2.82593 # DEPENDENCYPART_ARC
(11,3),-2.8497 # DEPENDENCYPART_ARC
(11,4),-2.33116 # DEPENDENCYPART_ARC
(11,5),-2.25584 # DEPENDENCYPART_ARC
(11,6),-0.986213 # DEPENDENCYPART_ARC
(11,7),-2.27001 # DEPENDENCYPART_ARC
(11,8),-1.50629 # DEPENDENCYPART_ARC
(11,9),-0.742559 # DEPENDENCYPART_ARC
(11,10),-0.405706 # DEPENDENCYPART_ARC
(11,12),1.83217 # DEPENDENCYPART_ARC
(11,13),1.20503 # DEPENDENCYPART_ARC
(11,14),-0.372889 # DEPENDENCYPART_ARC
(11,15),0.297248 # DEPENDENCYPART_ARC
(11,16),0.726798 # DEPENDENCYPART_ARC
(11,17),-1.56497 # DEPENDENCYPART_ARC
(11,18),0.242554 # DEPENDENCYPART_ARC
(11,19),-0.518326 # DEPENDENCYPART_ARC
(11,20),-1.74148 # DEPENDENCYPART_ARC
(11,21),-0.934414 # DEPENDENCYPART_ARC
(11,22),-1.90727 # DEPENDENCYPART_ARC
(11,23),-1.76191 # DEPENDENCYPART_ARC
(11,24),-1.77011 # DEPENDENCYPART_ARC
(11,25),-1.75567 # DEPENDENCYPART_ARC
(11,26),-1.42527 # DEPENDENCYPART_ARC
(11,27),-0.259203 # DEPENDENCYPART_ARC
(12,1),-0.966416 # DEPENDENCYPART_ARC
(12,2),-1.35468 # DEPENDENCYPART_ARC
(12,3),-1.6995 # DEPENDENCYPART_ARC
(12,4),-0.864078 # DEPENDENCYPART_ARC
(12,5),-0.942047 # DEPENDENCYPART_ARC
(12,6),0.157758 # DEPENDENCYPART_ARC
(12,7),-1.61119 # DEPENDENCYPART_ARC
(12,8),-0.467859 # DEPENDENCYPART_ARC
(12,9),0.165104 # DEPENDENCYPART_ARC
(12,10),0.324033 # DEPENDENCYPART_ARC
(12,11),4.91599 # DEPENDENCYPART_ARC
(12,13),3.8315 # DEPENDENCYPART_ARC
(12,14),1.05186 # DEPENDENCYPART_ARC
(12,15),1.96618 # DEPENDENCYPART_ARC
(12,16),3.09251 # DEPENDENCYPART_ARC
(12,17),-0.0363501 # DEPENDENCYPART_ARC
(12,18),2.23862 # DEPENDENCYPART_ARC
(12,19),0.977866 # DEPENDENCYPART_ARC
(12,20),0.254128 # DEPENDENCYPART_ARC
(12,21),0.410255 # DEPENDENCYPART_ARC
(12,22),-0.572039 # DEPENDENCYPART_ARC
(12,23),-0.48927 # DEPENDENCYPART_ARC
(12,24),-0.558945 # DEPENDENCYPART_ARC
(12,25),-0.529667 # DEPENDENCYPART_ARC
(12,26),0.0506105 # DEPENDENCYPART_ARC
(12,27),0.639873 # DEPENDENCYPART_ARC
(13,1),-2.21207 # DEPENDENCYPART_ARC
(13,2),-2.62727 # DEPENDENCYPART_ARC
(13,3),-2.30871 # DEPENDENCYPART_ARC
(13,4),-1.76788 # DEPENDENCYPART_ARC
(13,5),-1.97934 # DEPENDENCYPART_ARC
(13,6),-1.57835 # DEPENDENCYPART_ARC
(13,7),-1.88524 # DEPENDENCYPART_ARC
(13,8),-0.767497 # DEPENDENCYPART_ARC
(13,9),-1.66275 # DEPENDENCYPART_ARC
(13,10),-1.40163 # DEPENDENCYPART_ARC
(13,11),-1.77544 # DEPENDENCYPART_ARC
(13,12),-1.22214 # DEPENDENCYPART_ARC
(13,14),-0.413738 # DEPENDENCYPART_ARC
(13,15),-1.06679 # DEPENDENCYPART_ARC
(13,16),-1.43531 # DEPENDENCYPART_ARC
(13,17),-2.12622 # DEPENDENCYPART_ARC
(13,18),-1.19835 # DEPENDENCYPART_ARC
(13,19),-1.48198 # DEPENDENCYPART_ARC
(13,20),-1.45849 # DEPENDENCYPART_ARC
(13,21),-2.07062 # DEPENDENCYPART_ARC
(13,22),-2.14363 # DEPENDENCYPART_ARC
(13,23),-2.25726 # DEPENDENCYPART_ARC
(13,24),-2.40054 # DEPENDENCYPART_ARC
(13,25),-2.55204 # DEPENDENCYPART_ARC
(13,26),-2.65138 # DEPENDENCYPART_ARC
(13,27),-1.91056 # DEPENDENCYPART_ARC
(14,1),-2.74042 # DEPENDENCYPART_ARC
(14,2),-2.2786 # DEPENDENCYPART_ARC
(14,3),-2.47726 # DEPENDENCYPART_ARC
(14,4),-2.15223 # DEPENDENCYPART_ARC
(14,5),-1.39189 # DEPENDENCYPART_ARC
(14,6),-1.26095 # DEPENDENCYPART_ARC
(14,7),-2.299 # DEPENDENCYPART_ARC
(14,8),-1.7822 # DEPENDENCYPART_ARC
(14,9),-1.78697 # DEPENDENCYPART_ARC
(14,10),-1.5376 # DEPENDENCYPART_ARC
(14,11),-1.06243 # DEPENDENCYPART_ARC
(14,12),-1.04157 # DEPENDENCYPART_ARC
(14,13),-0.131783 # DEPENDENCYPART_ARC
(14,15),0.845945 # DEPENDENCYPART_ARC
(14,16),0.291366 # DEPENDENCYPART_ARC
(14,17),-1.3943 # DEPENDENCYPART_ARC
(14,18),0.0685353 # DEPENDENCYPART_ARC
(14,19),-0.767993 # DEPENDENCYPART_ARC
(14,20),-1.00636 # DEPENDENCYPART_ARC
(14,21),-1.59145 # DEPENDENCYPART_ARC
(14,22),-1.46875 # DEPENDENCYPART_ARC
(14,23),-1.30828 # DEPENDENCYPART_ARC
(14,24),-1.27989 # DEPENDENCYPART_ARC
(14,25),-1.46633 # DEPENDENCYPART_ARC
(14,26),-1.49285 # DEPENDENCYPART_ARC
(14,27),-1.51606 # DEPENDENCYPART_ARC
(15,1),-2.88284 # DEPENDENCYPART_ARC
(15,2),-3.02473 # DEPENDENCYPART_ARC
(15,3),-2.89987 # DEPENDENCYPART_ARC
(15,4),-2.34231 # DEPENDENCYPART_ARC
(15,5),-1.6416 # DEPENDENCYPART_ARC
(15,6),-0.782981 # DEPENDENCYPART_ARC
(15,7),-3.89333 # DEPENDENCYPART_ARC
(15,8),-1.63521 # DEPENDENCYPART_ARC
(15,9),-2.02493 # DEPENDENCYPART_ARC
(15,10),-2.13387 # DEPENDENCYPART_ARC
(15,11),-1.19286 # DEPENDENCYPART_ARC
(15,12),-1.76794 # DEPENDENCYPART_ARC
(15,13),-0.270631 # DEPENDENCYPART_ARC
(15,14),2.49164 # DEPENDENCYPART_ARC
(15,16),1.04437 # DEPENDENCYPART_ARC
(15,17),-1.1732 # DEPENDENCYPART_ARC
(15,18),1.35261 # DEPENDENCYPART_ARC
(15,19),-0.0426448 # DEPENDENCYPART_ARC
(15,20),-0.499959 # DEPENDENCYPART_ARC
(15,21),-0.998127 # DEPENDENCYPART_ARC
(15,22),-1.33964 # DEPENDENCYPART_ARC
(15,23),-1.20505 # DEPENDENCYPART_ARC
(15,24),-1.19678 # DEPENDENCYPART_ARC
(15,25),-1.22093 # DEPENDENCYPART_ARC
(15,26),-1.40481 # DEPENDENCYPART_ARC
(15,27),0.299795 # DEPENDENCYPART_ARC
(16,1),-1.01934 # DEPENDENCYPART_ARC
(16,2),-1.39114 # DEPENDENCYPART_ARC
(16,3),-1.26026 # DEPENDENCYPART_ARC
(16,4),-0.756984 # DEPENDENCYPART_ARC
(16,5),-0.712381 # DEPENDENCYPART_ARC
(16,6),0.913087 # DEPENDENCYPART_ARC
(16,7),-1.80325 # DEPENDENCYPART_ARC
(16,8),-0.518876 # DEPENDENCYPART_ARC
(16,9),-0.174628 # DEPENDENCYPART_ARC
(16,10),-0.988424 # DEPENDENCYPART_ARC
(16,11),0.986332 # DEPENDENCYPART_ARC
(16,12),0.0176384 # DEPENDENCYPART_ARC
(16,13),0.685485 # DEPENDENCYPART_ARC
(16,14),3.9642 # DEPENDENCYPART_ARC
(16,15),4.0852 # DEPENDENCYPART_ARC
(16,17),0.55191 # DEPENDENCYPART_ARC
(16,18),3.26297 # DEPENDENCYPART_ARC
(16,19),1.56705 # DEPENDENCYPART_ARC
(16,20),0.55047 # DEPENDENCYPART_ARC
(16,21),-0.148609 # DEPENDENCYPART_ARC
(16,22),0.21013 # DEPENDENCYPART_ARC
(16,23),0.360384 # DEPENDENCYPART_ARC
(16,24),0.328767 # DEPENDENCYPART_ARC
(16,25),0.351357 # DEPENDENCYPART_ARC
(16,26),0.181483 # DEPENDENCYPART_ARC
(16,27),1.78644 # DEPENDENCYPART_ARC
(17,1),-2.48625 # DEPENDENCYPART_ARC
(17,2),-2.6499 # DEPENDENCYPART_ARC
(17,3),-2.38477 # DEPENDENCYPART_ARC
(17,4),-2.15077 # DEPENDENCYPART_ARC
(17,5),-1.85484 # DEPENDENCYPART_ARC
(17,6),-1.92989 # DEPENDENCYPART_ARC
(17,7),-2.03377 # DEPENDENCYPART_ARC
(17,8),-1.59039 # DEPENDENCYPART_ARC
(17,9),-2.03056 # DEPENDENCYPART_ARC
(17,10),-1.53159 # DEPENDENCYPART_ARC
(17,11),-1.41705 # DEPENDENCYPART_ARC
(17,12),-1.33145 # DEPENDENCYPART_ARC
(17,13),-0.766235 # DEPENDENCYPART_ARC
(17,14),-0.295275 # DEPENDENCYPART_ARC
(17,15),-0.752233 # DEPENDENCYPART_ARC
(17,16),-0.0727941 # DEPENDENCYPART_ARC
(17,18),0.024352 # DEPENDENCYPART_ARC
(17,19),-0.193463 # DEPENDENCYPART_ARC
(17,20),-0.464961 # DEPENDENCYPART_ARC
(17,21),-1.70855 # DEPENDENCYPART_ARC
(17,22),-1.34696 # DEPENDENCYPART_ARC
(17,23),-1.6802 # DEPENDENCYPART_ARC
(17,24),-1.79444 # DEPENDENCYPART_ARC
(17,25),-1.9343 # DEPENDENCYPART_ARC
(17,26),-2.00956 # DEPENDENCYPART_ARC
(17,27),-0.794296 # DEPENDENCYPART_ARC
(18,1),0.0100018 # DEPENDENCYPART_ARC
(18,2),-2.71189 # DEPENDENCYPART_ARC
(18,3),-1.63875 # DEPENDENCYPART_ARC
(18,4),-1.68477 # DEPENDENCYPART_ARC
(18,5),-1.70794 # DEPENDENCYPART_ARC
(18,6),-2.93651 # DEPENDENCYPART_ARC
(18,7),-1.96674 # DEPENDENCYPART_ARC
(18,8),-0.313708 # DEPENDENCYPART_ARC
(18,9),-0.0663272 # DEPENDENCYPART_ARC
(18,10),-1.66879 # DEPENDENCYPART_ARC
(18,11),-0.175348 # DEPENDENCYPART_ARC
(18,12),-0.299196 # DEPENDENCYPART_ARC
(18,13),0.519156 # DEPENDENCYPART_ARC
(18,14),-0.582148 # DEPENDENCYPART_ARC
(18,15),0.300791 # DEPENDENCYPART_ARC
(18,16),-0.269215 # DEPENDENCYPART_ARC
(18,17),3.51608 # DEPENDENCYPART_ARC
(18,19),3.20017 # DEPENDENCYPART_ARC
(18,20),1.33551 # DEPENDENCYPART_ARC
(18,21),-0.876251 # DEPENDENCYPART_ARC
(18,22),-0.0311971 # DEPENDENCYPART_ARC
(18,23),0.0498938 # DEPENDENCYPART_ARC
(18,24),-0.385038 # DEPENDENCYPART_ARC
(18,25),-0.395263 # DEPENDENCYPART_ARC
(18,26),-0.160584 # DEPENDENCYPART_ARC
(18,27),1.63567 # DEPENDENCYPART_ARC
(19,1),-1.92447 # DEPENDENCYPART_ARC
(19,2),-1.24592 # DEPENDENCYPART_ARC
(19,3),-1.81572 # DEPENDENCYPART_ARC
(19,4),-1.48228 # DEPENDENCYPART_ARC
(19,5),-1.87847 # DEPENDENCYPART_ARC
(19,6),-1.19817 # DEPENDENCYPART_ARC
(19,7),-1.83743 # DEPENDENCYPART_ARC
(19,8),-1.02938 # DEPENDENCYPART_ARC
(19,9),-1.47945 # DEPENDENCYPART_ARC
(19,10),-0.209855 # DEPENDENCYPART_ARC
(19,11),-0.477175 # DEPENDENCYPART_ARC
(19,12),-0.595557 # DEPENDENCYPART_ARC
(19,13),-0.39813 # DEPENDENCYPART_ARC
(19,14),0.221914 # DEPENDENCYPART_ARC
