# _root_ Prices in Brussels , where a computer breakdown disrupted trading , also tumbled .
#goldHeads=13,1,2,3,9,8,8,9,3,9,3,13,0,13,
#predictedHeads=13,1,2,3,9,8,8,9,3,9,3,13,0,13,
(3,10),-0.046769 # DEPENDENCYPART_ARC
(3,11),2.23314 # DEPENDENCYPART_ARC
(3,12),-0.60228 # DEPENDENCYPART_ARC
(3,13),0.710256 # DEPENDENCYPART_ARC
(3,14),-0.160427 # DEPENDENCYPART_ARC
(4,1),-1.09126 # DEPENDENCYPART_ARC
(4,2),-0.786605 # DEPENDENCYPART_ARC
(4,3),-0.58037 # DEPENDENCYPART_ARC
(4,5),0.0234936 # DEPENDENCYPART_ARC
(4,6),-0.320883 # DEPENDENCYPART_ARC
(4,7),-0.686568 # DEPENDENCYPART_ARC
(4,8),-0.938882 # DEPENDENCYPART_ARC
(4,9),-0.470252 # DEPENDENCYPART_ARC
(4,10),-1.37283 # DEPENDENCYPART_ARC
(4,11),0.490972 # DEPENDENCYPART_ARC
(4,12),-1.24365 # DEPENDENCYPART_ARC
(4,13),-0.90791 # DEPENDENCYPART_ARC
(4,14),-0.957129 # DEPENDENCYPART_ARC
(5,1),-0.795015 # DEPENDENCYPART_ARC
(5,2),0.316173 # DEPENDENCYPART_ARC
(5,3),-0.398953 # DEPENDENCYPART_ARC
(5,4),0.933524 # DEPENDENCYPART_ARC
(5,6),0.323779 # DEPENDENCYPART_ARC
(5,7),0.678147 # DEPENDENCYPART_ARC
(5,8),0.0978926 # DEPENDENCYPART_ARC
(5,9),-0.306109 # DEPENDENCYPART_ARC
(5,10),-0.26386 # DEPENDENCYPART_ARC
(5,11),-0.404711 # DEPENDENCYPART_ARC
(5,12),-0.783659 # DEPENDENCYPART_ARC
(5,13),-0.660602 # DEPENDENCYPART_ARC
(5,14),0.0588197 # DEPENDENCYPART_ARC
(6,1),-1.94039 # DEPENDENCYPART_ARC
(6,2),-1.05237 # DEPENDENCYPART_ARC
(6,3),-1.44539 # DEPENDENCYPART_ARC
(6,4),-1.06758 # DEPENDENCYPART_ARC
(6,5),0.342913 # DEPENDENCYPART_ARC
(6,7),0.856339 # DEPENDENCYPART_ARC
(6,8),0.273797 # DEPENDENCYPART_ARC
(6,9),0.409303 # DEPENDENCYPART_ARC
(6,10),-0.445068 # DEPENDENCYPART_ARC
(6,11),-0.616841 # DEPENDENCYPART_ARC
(6,12),-0.802307 # DEPENDENCYPART_ARC
(6,13),-0.906249 # DEPENDENCYPART_ARC
(6,14),-1.03302 # DEPENDENCYPART_ARC
(7,1),-3.85725 # DEPENDENCYPART_ARC
(7,2),-1.60892 # DEPENDENCYPART_ARC
(7,3),-1.97026 # DEPENDENCYPART_ARC
(7,4),-1.28357 # DEPENDENCYPART_ARC
(7,5),-0.463651 # DEPENDENCYPART_ARC
(7,6),2.09038 # DEPENDENCYPART_ARC
(7,8),1.58235 # DEPENDENCYPART_ARC
(7,9),1.0594 # DEPENDENCYPART_ARC
(7,10),-0.317303 # DEPENDENCYPART_ARC
(7,11),0.352216 # DEPENDENCYPART_ARC
(7,12),-0.866726 # DEPENDENCYPART_ARC
(7,13),-0.291376 # DEPENDENCYPART_ARC
(7,14),0.480786 # DEPENDENCYPART_ARC
(8,1),-1.7208 # DEPENDENCYPART_ARC
(8,2),-0.315602 # DEPENDENCYPART_ARC
(8,3),-0.0068896 # DEPENDENCYPART_ARC
(8,4),0.555115 # DEPENDENCYPART_ARC
(8,5),0.940469 # DEPENDENCYPART_ARC
(8,6),4.25707 # DEPENDENCYPART_ARC
(8,7),4.20541 # DEPENDENCYPART_ARC
(8,9),1.57057 # DEPENDENCYPART_ARC
(8,10),0.711978 # DEPENDENCYPART_ARC
(8,11),0.476331 # DEPENDENCYPART_ARC
(8,12),-0.293272 # DEPENDENCYPART_ARC
(8,13),-0.411418 # DEPENDENCYPART_ARC
(8,14),0.967788 # DEPENDENCYPART_ARC
(9,1),0.808843 # DEPENDENCYPART_ARC
(9,2),0.363357 # DEPENDENCYPART_ARC
(9,3),0.417661 # DEPENDENCYPART_ARC
(9,4),0.519036 # DEPENDENCYPART_ARC
(9,5),2.90941 # DEPENDENCYPART_ARC
(9,6),0.545724 # DEPENDENCYPART_ARC
(9,7),0.989618 # DEPENDENCYPART_ARC
(9,8),2.27701 # DEPENDENCYPART_ARC
(9,10),2.48418 # DEPENDENCYPART_ARC
(9,11),1.5013 # DEPENDENCYPART_ARC
(9,12),1.55058 # DEPENDENCYPART_ARC
(9,13),0.733415 # DEPENDENCYPART_ARC
(9,14),2.92584 # DEPENDENCYPART_ARC
(10,1),-2.45736 # DEPENDENCYPART_ARC
(10,2),-0.715009 # DEPENDENCYPART_ARC
(10,3),-1.27711 # DEPENDENCYPART_ARC
(10,4),-0.750944 # DEPENDENCYPART_ARC
(10,5),0.255184 # DEPENDENCYPART_ARC
(10,6),2.33111 # DEPENDENCYPART_ARC
(10,7),2.07083 # DEPENDENCYPART_ARC
(10,8),1.1187 # DEPENDENCYPART_ARC
(10,9),1.21138 # DEPENDENCYPART_ARC
(10,11),1.04822 # DEPENDENCYPART_ARC
(10,12),0.574637 # DEPENDENCYPART_ARC
(10,13),0.653812 # DEPENDENCYPART_ARC
(10,14),0.440824 # DEPENDENCYPART_ARC
(11,1),-1.93937 # DEPENDENCYPART_ARC
(11,2),-1.55442 # DEPENDENCYPART_ARC
(11,3),-1.8159 # DEPENDENCYPART_ARC
(11,4),0.190418 # DEPENDENCYPART_ARC
(11,5),-0.444953 # DEPENDENCYPART_ARC
(11,6),-0.805852 # DEPENDENCYPART_ARC
(11,7),-1.19818 # DEPENDENCYPART_ARC
(11,8),-0.875577 # DEPENDENCYPART_ARC
(11,9),-0.945366 # DEPENDENCYPART_ARC
(11,10),-0.485139 # DEPENDENCYPART_ARC
(11,12),-0.226246 # DEPENDENCYPART_ARC
(11,13),-0.12366 # DEPENDENCYPART_ARC
(11,14),-0.664464 # DEPENDENCYPART_ARC
(12,1),-2.61619 # DEPENDENCYPART_ARC
(12,2),-2.17589 # DEPENDENCYPART_ARC
(12,3),-2.07535 # DEPENDENCYPART_ARC
(12,4),-1.80751 # DEPENDENCYPART_ARC
(12,5),-0.410691 # DEPENDENCYPART_ARC
(12,6),-0.616429 # DEPENDENCYPART_ARC
(12,7),-1.90194 # DEPENDENCYPART_ARC
(12,8),-1.89948 # DEPENDENCYPART_ARC
(12,9),-1.34073 # DEPENDENCYPART_ARC
(12,10),-1.30541 # DEPENDENCYPART_ARC
(12,11),-0.107714 # DEPENDENCYPART_ARC
(12,13),0.511064 # DEPENDENCYPART_ARC
(12,14),-0.446712 # DEPENDENCYPART_ARC
(13,1),0.425351 # DEPENDENCYPART_ARC
(13,2),-0.689894 # DEPENDENCYPART_ARC
(13,3),0.248492 # DEPENDENCYPART_ARC
(13,4),0.7823 # DEPENDENCYPART_ARC
(13,5),2.45725 # DEPENDENCYPART_ARC
(13,6),0.138044 # DEPENDENCYPART_ARC
(13,7),0.637597 # DEPENDENCYPART_ARC
(13,8),0.387159 # DEPENDENCYPART_ARC
(13,9),1.09208 # DEPENDENCYPART_ARC
(13,10),1.10126 # DEPENDENCYPART_ARC
(13,11),2.12834 # DEPENDENCYPART_ARC
(13,12),2.91326 # DEPENDENCYPART_ARC
(13,14),4.99556 # DEPENDENCYPART_ARC
(14,1),-2.37862 # DEPENDENCYPART_ARC
(14,2),-2.4569 # DEPENDENCYPART_ARC
(14,3),-2.12264 # DEPENDENCYPART_ARC
(14,4),-0.816669 # DEPENDENCYPART_ARC
(14,5),-1.33432 # DEPENDENCYPART_ARC
(14,6),-1.49444 # DEPENDENCYPART_ARC
(14,7),-1.69233 # DEPENDENCYPART_ARC
(14,8),-1.55594 # DEPENDENCYPART_ARC
(14,9),-1.65128 # DEPENDENCYPART_ARC
(14,10),-1.49344 # DEPENDENCYPART_ARC
(14,11),-0.303388 # DEPENDENCYPART_ARC
(14,12),-1.47333 # DEPENDENCYPART_ARC
(14,13),-0.900485 # DEPENDENCYPART_ARC
