# _root_ Officials at Aristech , based in Pittsburgh , declined comment .
#goldHeads=9,1,2,3,3,5,6,3,0,9,9,
#predictedHeads=9,1,2,3,3,5,6,3,0,9,9,
(7,11),-1.06303 # DEPENDENCYPART_ARC
(8,1),-1.84718 # DEPENDENCYPART_ARC
(8,2),-1.3798 # DEPENDENCYPART_ARC
(8,3),-2.06834 # DEPENDENCYPART_ARC
(8,4),-0.142377 # DEPENDENCYPART_ARC
(8,5),-0.499545 # DEPENDENCYPART_ARC
(8,6),-1.08314 # DEPENDENCYPART_ARC
(8,7),-0.876901 # DEPENDENCYPART_ARC
(8,9),-0.111838 # DEPENDENCYPART_ARC
(8,10),-1.27549 # DEPENDENCYPART_ARC
(8,11),-1.27327 # DEPENDENCYPART_ARC
(9,1),1.79077 # DEPENDENCYPART_ARC
(9,2),-0.737495 # DEPENDENCYPART_ARC
(9,3),0.803659 # DEPENDENCYPART_ARC
(9,4),0.589533 # DEPENDENCYPART_ARC
(9,5),0.303222 # DEPENDENCYPART_ARC
(9,6),0.245049 # DEPENDENCYPART_ARC
(9,7),0.766994 # DEPENDENCYPART_ARC
(9,8),0.675781 # DEPENDENCYPART_ARC
(9,10),3.15331 # DEPENDENCYPART_ARC
(9,11),4.54493 # DEPENDENCYPART_ARC
(10,1),-1.7194 # DEPENDENCYPART_ARC
(10,2),-1.03706 # DEPENDENCYPART_ARC
(10,3),-1.60821 # DEPENDENCYPART_ARC
(10,4),-0.219241 # DEPENDENCYPART_ARC
(10,5),-0.0168241 # DEPENDENCYPART_ARC
(10,6),0.243723 # DEPENDENCYPART_ARC
(10,7),0.898812 # DEPENDENCYPART_ARC
(10,8),0.845306 # DEPENDENCYPART_ARC
(10,9),1.69567 # DEPENDENCYPART_ARC
(10,11),0.249378 # DEPENDENCYPART_ARC
(11,1),-1.73443 # DEPENDENCYPART_ARC
(11,2),-1.47253 # DEPENDENCYPART_ARC
(11,3),-1.46034 # DEPENDENCYPART_ARC
(11,4),-0.524364 # DEPENDENCYPART_ARC
(11,5),-0.908008 # DEPENDENCYPART_ARC
(11,6),-1.4677 # DEPENDENCYPART_ARC
(11,7),-1.27717 # DEPENDENCYPART_ARC
(11,8),0.124811 # DEPENDENCYPART_ARC
(11,9),-1.1198 # DEPENDENCYPART_ARC
(11,10),-1.40022 # DEPENDENCYPART_ARC
