# _root_ `` Futures were pulling the stock market higher , '' said Donald Selkin , head of stock-index futures research at Prudential-Bache Securities Inc .
#goldHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,19,22,20,22,11,
#predictedHeads=11,3,11,3,7,7,4,4,11,11,0,13,11,13,13,15,19,19,16,15,22,20,22,11,
(8,20),-0.767447 # DEPENDENCYPART_ARC
(8,21),-1.29481 # DEPENDENCYPART_ARC
(8,22),-1.47763 # DEPENDENCYPART_ARC
(8,23),-1.59145 # DEPENDENCYPART_ARC
(8,24),-0.0512386 # DEPENDENCYPART_ARC
(9,1),-1.66226 # DEPENDENCYPART_ARC
(9,2),-1.76813 # DEPENDENCYPART_ARC
(9,3),-1.52815 # DEPENDENCYPART_ARC
(9,4),-1.35426 # DEPENDENCYPART_ARC
(9,5),-0.999089 # DEPENDENCYPART_ARC
(9,6),-1.17369 # DEPENDENCYPART_ARC
(9,7),-1.5736 # DEPENDENCYPART_ARC
(9,8),-0.253326 # DEPENDENCYPART_ARC
(9,10),0.543052 # DEPENDENCYPART_ARC
(9,11),0.131968 # DEPENDENCYPART_ARC
(9,12),-0.465514 # DEPENDENCYPART_ARC
(9,13),-0.761839 # DEPENDENCYPART_ARC
(9,14),0.600161 # DEPENDENCYPART_ARC
(9,15),-1.58649 # DEPENDENCYPART_ARC
(9,16),-0.868272 # DEPENDENCYPART_ARC
(9,17),-1.63869 # DEPENDENCYPART_ARC
(9,18),-1.84117 # DEPENDENCYPART_ARC
(9,19),-2.05329 # DEPENDENCYPART_ARC
(9,20),-1.23475 # DEPENDENCYPART_ARC
(9,21),-2.05539 # DEPENDENCYPART_ARC
(9,22),-2.14272 # DEPENDENCYPART_ARC
(9,23),-2.28646 # DEPENDENCYPART_ARC
(9,24),-1.38375 # DEPENDENCYPART_ARC
(10,1),0.229582 # DEPENDENCYPART_ARC
(10,2),-1.58758 # DEPENDENCYPART_ARC
(10,3),-1.48333 # DEPENDENCYPART_ARC
(10,4),-1.22417 # DEPENDENCYPART_ARC
(10,5),-0.309118 # DEPENDENCYPART_ARC
(10,6),-1.32243 # DEPENDENCYPART_ARC
(10,7),-0.995721 # DEPENDENCYPART_ARC
(10,8),-0.262773 # DEPENDENCYPART_ARC
(10,9),0.49162 # DEPENDENCYPART_ARC
(10,11),0.0904915 # DEPENDENCYPART_ARC
(10,12),-0.949462 # DEPENDENCYPART_ARC
(10,13),-1.31474 # DEPENDENCYPART_ARC
(10,14),-1.08438 # DEPENDENCYPART_ARC
(10,15),-1.61214 # DEPENDENCYPART_ARC
(10,16),-1.63951 # DEPENDENCYPART_ARC
(10,17),-2.31225 # DEPENDENCYPART_ARC
(10,18),-2.1825 # DEPENDENCYPART_ARC
(10,19),-2.21793 # DEPENDENCYPART_ARC
(10,20),-1.98991 # DEPENDENCYPART_ARC
(10,21),-2.73468 # DEPENDENCYPART_ARC
(10,22),-2.90815 # DEPENDENCYPART_ARC
(10,23),-2.98462 # DEPENDENCYPART_ARC
(10,24),-1.803 # DEPENDENCYPART_ARC
(11,1),4.05452 # DEPENDENCYPART_ARC
(11,2),-1.25453 # DEPENDENCYPART_ARC
(11,3),1.29522 # DEPENDENCYPART_ARC
(11,4),0.20862 # DEPENDENCYPART_ARC
(11,5),-0.471717 # DEPENDENCYPART_ARC
(11,6),0.0519441 # DEPENDENCYPART_ARC
(11,7),-0.00212888 # DEPENDENCYPART_ARC
(11,8),0.599817 # DEPENDENCYPART_ARC
(11,9),3.61322 # DEPENDENCYPART_ARC
(11,10),3.95111 # DEPENDENCYPART_ARC
(11,12),1.37896 # DEPENDENCYPART_ARC
(11,13),2.7549 # DEPENDENCYPART_ARC
(11,14),1.54964 # DEPENDENCYPART_ARC
(11,15),0.58579 # DEPENDENCYPART_ARC
(11,16),0.586657 # DEPENDENCYPART_ARC
(11,17),-0.205208 # DEPENDENCYPART_ARC
(11,18),-1.15618 # DEPENDENCYPART_ARC
(11,19),0.197446 # DEPENDENCYPART_ARC
(11,20),-0.065146 # DEPENDENCYPART_ARC
(11,21),-1.44767 # DEPENDENCYPART_ARC
(11,22),-0.140556 # DEPENDENCYPART_ARC
(11,23),-0.731646 # DEPENDENCYPART_ARC
(11,24),7.85687 # DEPENDENCYPART_ARC
(12,1),-2.40954 # DEPENDENCYPART_ARC
(12,2),-2.84868 # DEPENDENCYPART_ARC
(12,3),-3.12345 # DEPENDENCYPART_ARC
(12,4),-2.3665 # DEPENDENCYPART_ARC
(12,5),-1.36805 # DEPENDENCYPART_ARC
(12,6),-1.90524 # DEPENDENCYPART_ARC
(12,7),-2.03843 # DEPENDENCYPART_ARC
(12,8),-1.60389 # DEPENDENCYPART_ARC
(12,9),-1.2677 # DEPENDENCYPART_ARC
(12,10),-0.762431 # DEPENDENCYPART_ARC
(12,11),-0.425578 # DEPENDENCYPART_ARC
(12,13),1.8067 # DEPENDENCYPART_ARC
(12,14),0.978117 # DEPENDENCYPART_ARC
(12,15),1.0047 # DEPENDENCYPART_ARC
(12,16),0.058171 # DEPENDENCYPART_ARC
(12,17),-0.336883 # DEPENDENCYPART_ARC
(12,18),-0.533767 # DEPENDENCYPART_ARC
(12,19),-0.609256 # DEPENDENCYPART_ARC
(12,20),-0.856226 # DEPENDENCYPART_ARC
(12,21),-1.5998 # DEPENDENCYPART_ARC
(12,22),-1.29737 # DEPENDENCYPART_ARC
(12,23),-0.753985 # DEPENDENCYPART_ARC
(12,24),0.856334 # DEPENDENCYPART_ARC
(13,1),0.00971816 # DEPENDENCYPART_ARC
(13,2),-0.917244 # DEPENDENCYPART_ARC
(13,3),-0.849342 # DEPENDENCYPART_ARC
(13,4),-0.0395305 # DEPENDENCYPART_ARC
(13,5),1.14881 # DEPENDENCYPART_ARC
(13,6),0.63812 # DEPENDENCYPART_ARC
(13,7),-0.347607 # DEPENDENCYPART_ARC
(13,8),0.527039 # DEPENDENCYPART_ARC
(13,9),0.699213 # DEPENDENCYPART_ARC
(13,10),0.948786 # DEPENDENCYPART_ARC
(13,11),1.10772 # DEPENDENCYPART_ARC
(13,12),5.76358 # DEPENDENCYPART_ARC
(13,14),3.77396 # DEPENDENCYPART_ARC
(13,15),3.24259 # DEPENDENCYPART_ARC
(13,16),1.71279 # DEPENDENCYPART_ARC
(13,17),0.975981 # DEPENDENCYPART_ARC
(13,18),1.02111 # DEPENDENCYPART_ARC
(13,19),1.01051 # DEPENDENCYPART_ARC
(13,20),0.368041 # DEPENDENCYPART_ARC
(13,21),-0.606092 # DEPENDENCYPART_ARC
(13,22),-0.217608 # DEPENDENCYPART_ARC
(13,23),0.741072 # DEPENDENCYPART_ARC
(13,24),1.616 # DEPENDENCYPART_ARC
(14,1),-2.3453 # DEPENDENCYPART_ARC
(14,2),-2.68822 # DEPENDENCYPART_ARC
(14,3),-2.30641 # DEPENDENCYPART_ARC
(14,4),-1.92676 # DEPENDENCYPART_ARC
(14,5),-1.86598 # DEPENDENCYPART_ARC
(14,6),-2.17632 # DEPENDENCYPART_ARC
(14,7),-2.09779 # DEPENDENCYPART_ARC
(14,8),-2.01476 # DEPENDENCYPART_ARC
(14,9),-0.934776 # DEPENDENCYPART_ARC
(14,10),-1.72516 # DEPENDENCYPART_ARC
(14,11),-1.46404 # DEPENDENCYPART_ARC
(14,12),-1.83784 # DEPENDENCYPART_ARC
(14,13),-1.28455 # DEPENDENCYPART_ARC
(14,15),-0.933471 # DEPENDENCYPART_ARC
(14,16),-1.32423 # DEPENDENCYPART_ARC
(14,17),-1.65813 # DEPENDENCYPART_ARC
(14,18),-1.95915 # DEPENDENCYPART_ARC
(14,19),-2.3639 # DEPENDENCYPART_ARC
(14,20),-1.73835 # DEPENDENCYPART_ARC
(14,21),-2.38241 # DEPENDENCYPART_ARC
(14,22),-2.53846 # DEPENDENCYPART_ARC
(14,23),-2.64191 # DEPENDENCYPART_ARC
(14,24),-2.05713 # DEPENDENCYPART_ARC
(15,1),-0.828301 # DEPENDENCYPART_ARC
(15,2),-1.17276 # DEPENDENCYPART_ARC
(15,3),-1.6048 # DEPENDENCYPART_ARC
(15,4),-0.339101 # DEPENDENCYPART_ARC
(15,5),2.16828 # DEPENDENCYPART_ARC
(15,6),0.538572 # DEPENDENCYPART_ARC
(15,7),-0.927625 # DEPENDENCYPART_ARC
(15,8),-0.839278 # DEPENDENCYPART_ARC
(15,9),0.11541 # DEPENDENCYPART_ARC
(15,10),0.778589 # DEPENDENCYPART_ARC
(15,11),0.0120297 # DEPENDENCYPART_ARC
(15,12),2.51391 # DEPENDENCYPART_ARC
(15,13),1.36272 # DEPENDENCYPART_ARC
(15,14),1.05261 # DEPENDENCYPART_ARC
(15,16),3.77178 # DEPENDENCYPART_ARC
(15,17),0.855383 # DEPENDENCYPART_ARC
(15,18),1.18009 # DEPENDENCYPART_ARC
(15,19),0.802612 # DEPENDENCYPART_ARC
(15,20),2.77992 # DEPENDENCYPART_ARC
(15,21),-0.0180455 # DEPENDENCYPART_ARC
(15,22),0.105216 # DEPENDENCYPART_ARC
(15,23),-0.0113507 # DEPENDENCYPART_ARC
(15,24),1.11112 # DEPENDENCYPART_ARC
(16,1),-1.30486 # DEPENDENCYPART_ARC
(16,2),-2.60791 # DEPENDENCYPART_ARC
(16,3),-1.94689 # DEPENDENCYPART_ARC
(16,4),-2.1726 # DEPENDENCYPART_ARC
(16,5),-1.8975 # DEPENDENCYPART_ARC
(16,6),-1.76325 # DEPENDENCYPART_ARC
(16,7),-1.92248 # DEPENDENCYPART_ARC
(16,8),-1.30146 # DEPENDENCYPART_ARC
(16,9),-0.943533 # DEPENDENCYPART_ARC
(16,10),-1.20917 # DEPENDENCYPART_ARC
(16,11),-1.05083 # DEPENDENCYPART_ARC
(16,12),-0.475404 # DEPENDENCYPART_ARC
(16,13),-0.35031 # DEPENDENCYPART_ARC
(16,14),-0.19601 # DEPENDENCYPART_ARC
(16,15),1.25938 # DEPENDENCYPART_ARC
(16,17),1.63467 # DEPENDENCYPART_ARC
(16,18),2.81061 # DEPENDENCYPART_ARC
(16,19),2.81055 # DEPENDENCYPART_ARC
(16,20),0.24811 # DEPENDENCYPART_ARC
(16,21),-0.248232 # DEPENDENCYPART_ARC
(16,22),0.263943 # DEPENDENCYPART_ARC
(16,23),-1.70128 # DEPENDENCYPART_ARC
(16,24),-1.48042 # DEPENDENCYPART_ARC
(17,1),-2.82553 # DEPENDENCYPART_ARC
(17,2),-3.23041 # DEPENDENCYPART_ARC
(17,3),-3.32591 # DEPENDENCYPART_ARC
(17,4),-2.88157 # DEPENDENCYPART_ARC
(17,5),-1.93534 # DEPENDENCYPART_ARC
(17,6),-2.44413 # DEPENDENCYPART_ARC
(17,7),-1.96443 # DEPENDENCYPART_ARC
(17,8),-2.08489 # DEPENDENCYPART_ARC
(17,9),-1.51059 # DEPENDENCYPART_ARC
(17,10),-2.08274 # DEPENDENCYPART_ARC
(17,11),-2.28116 # DEPENDENCYPART_ARC
(17,12),-0.91735 # DEPENDENCYPART_ARC
(17,13),-1.41883 # DEPENDENCYPART_ARC
(17,14),-0.513621 # DEPENDENCYPART_ARC
(17,15),-0.535715 # DEPENDENCYPART_ARC
(17,16),0.166409 # DEPENDENCYPART_ARC
(17,18),1.40447 # DEPENDENCYPART_ARC
(17,19),0.445422 # DEPENDENCYPART_ARC
(17,20),-0.349173 # DEPENDENCYPART_ARC
(17,21),-0.347885 # DEPENDENCYPART_ARC
(17,22),-0.396123 # DEPENDENCYPART_ARC
(17,23),-0.94772 # DEPENDENCYPART_ARC
(17,24),0.053849 # DEPENDENCYPART_ARC
(18,1),-3.01225 # DEPENDENCYPART_ARC
(18,2),-3.88609 # DEPENDENCYPART_ARC
(18,3),-3.26057 # DEPENDENCYPART_ARC
(18,4),-3.31273 # DEPENDENCYPART_ARC
(18,5),-1.76182 # DEPENDENCYPART_ARC
(18,6),-2.33016 # DEPENDENCYPART_ARC
(18,7),-3.78451 # DEPENDENCYPART_ARC
(18,8),-2.39249 # DEPENDENCYPART_ARC
(18,9),-1.74998 # DEPENDENCYPART_ARC
(18,10),-2.00319 # DEPENDENCYPART_ARC
(18,11),-2.52614 # DEPENDENCYPART_ARC
(18,12),-1.37165 # DEPENDENCYPART_ARC
(18,13),-2.18845 # DEPENDENCYPART_ARC
(18,14),-1.61634 # DEPENDENCYPART_ARC
(18,15),-1.50264 # DEPENDENCYPART_ARC
(18,16),-0.855087 # DEPENDENCYPART_ARC
(18,17),2.32022 # DEPENDENCYPART_ARC
(18,19),0.127092 # DEPENDENCYPART_ARC
(18,20),-0.402085 # DEPENDENCYPART_ARC
(18,21),-0.617238 # DEPENDENCYPART_ARC
(18,22),-0.579828 # DEPENDENCYPART_ARC
(18,23),-0.839928 # DEPENDENCYPART_ARC
(18,24),-0.383859 # DEPENDENCYPART_ARC
(19,1),-0.699386 # DEPENDENCYPART_ARC
(19,2),-0.677607 # DEPENDENCYPART_ARC
(19,3),-1.37317 # DEPENDENCYPART_ARC
(19,4),-0.216544 # DEPENDENCYPART_ARC
(19,5),1.04185 # DEPENDENCYPART_ARC
(19,6),0.858171 # DEPENDENCYPART_ARC
(19,7),-1.01012 # DEPENDENCYPART_ARC
(19,8),-1.0178 # DEPENDENCYPART_ARC
(19,9),0.791971 # DEPENDENCYPART_ARC
(19,10),0.66298 # DEPENDENCYPART_ARC
(19,11),-0.0972397 # DEPENDENCYPART_ARC
(19,12),1.18158 # DEPENDENCYPART_ARC
(19,13),0.0530787 # DEPENDENCYPART_ARC
(19,14),0.810169 # DEPENDENCYPART_ARC
(19,15),1.52923 # DEPENDENCYPART_ARC
(19,16),1.30747 # DEPENDENCYPART_ARC
(19,17),4.16023 # DEPENDENCYPART_ARC
(19,18),4.92087 # DEPENDENCYPART_ARC
(19,20),1.71114 # DEPENDENCYPART_ARC
(19,21),0.335608 # DEPENDENCYPART_ARC
(19,22),0.309881 # DEPENDENCYPART_ARC
(19,23),-0.0689734 # DEPENDENCYPART_ARC
(19,24),0.616903 # DEPENDENCYPART_ARC
(20,1),-1.13422 # DEPENDENCYPART_ARC
(20,2),-2.40277 # DEPENDENCYPART_ARC
(20,3),-2.25177 # DEPENDENCYPART_ARC
(20,4),-2.35364 # DEPENDENCYPART_ARC
(20,5),-1.9201 # DEPENDENCYPART_ARC
(20,6),-2.33601 # DEPENDENCYPART_ARC
(20,7),-2.5979 # DEPENDENCYPART_ARC
(20,8),-1.65611 # DEPENDENCYPART_ARC
(20,9),-1.03947 # DEPENDENCYPART_ARC
(20,10),-1.34924 # DEPENDENCYPART_ARC
(20,11),-1.20007 # DEPENDENCYPART_ARC
(20,12),-1.10286 # DEPENDENCYPART_ARC
(20,13),-1.2078 # DEPENDENCYPART_ARC
(20,14),-0.404863 # DEPENDENCYPART_ARC
(20,15),-0.200455 # DEPENDENCYPART_ARC
(20,16),-0.0233199 # DEPENDENCYPART_ARC
(20,17),0.198422 # DEPENDENCYPART_ARC
(20,18),-0.254245 # DEPENDENCYPART_ARC
(20,19),0.518592 # DEPENDENCYPART_ARC
(20,21),2.69966 # DEPENDENCYPART_ARC
(20,22),3.01499 # DEPENDENCYPART_ARC
(20,23),1.09122 # DEPENDENCYPART_ARC
(20,24),-0.371475 # DEPENDENCYPART_ARC
(21,1),-4.49074 # DEPENDENCYPART_ARC
(21,2),-5.76403 # DEPENDENCYPART_ARC
(21,3),-5.78462 # DEPENDENCYPART_ARC
(21,4),-4.99082 # DEPENDENCYPART_ARC
(21,5),-5.62975 # DEPENDENCYPART_ARC
(21,6),-5.47093 # DEPENDENCYPART_ARC
(21,7),-6.09955 # DEPENDENCYPART_ARC
(21,8),-5.18224 # DEPENDENCYPART_ARC
(21,9),-5.295 # DEPENDENCYPART_ARC
(21,10),-4.88113 # DEPENDENCYPART_ARC
(21,11),-4.71255 # DEPENDENCYPART_ARC
(21,12),-3.72638 # DEPENDENCYPART_ARC
(21,13),-4.56172 # DEPENDENCYPART_ARC
(21,14),-3.85661 # DEPENDENCYPART_ARC
(21,15),-4.32905 # DEPENDENCYPART_ARC
(21,16),-3.03624 # DEPENDENCYPART_ARC
(21,17),-1.70419 # DEPENDENCYPART_ARC
(21,18),-2.26719 # DEPENDENCYPART_ARC
(21,19),-2.64514 # DEPENDENCYPART_ARC
(21,20),-1.68583 # DEPENDENCYPART_ARC
(21,22),0.89249 # DEPENDENCYPART_ARC
(21,23),1.23375 # DEPENDENCYPART_ARC
(21,24),-0.914672 # DEPENDENCYPART_ARC
(22,1),-1.9124 # DEPENDENCYPART_ARC
(22,2),-3.14111 # DEPENDENCYPART_ARC
(22,3),-3.16719 # DEPENDENCYPART_ARC
