# _root_ Purchase of the 76-story structure is subject to execution of a definitive agreement , approval by the boards of Seafirst and its parent company BankAmerica Corp. , and approval by regulators .
#goldHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,9,9,15,18,16,18,19,20,25,25,25,21,25,15,15,28,29,30,6,
#predictedHeads=6,1,5,5,2,0,6,7,8,9,13,13,10,13,9,15,18,16,18,19,20,25,25,25,21,25,25,25,28,29,30,6,
(1,22),-2.13663 # DEPENDENCYPART_ARC
(1,23),-2.10571 # DEPENDENCYPART_ARC
(1,24),-2.39014 # DEPENDENCYPART_ARC
(1,25),-2.23876 # DEPENDENCYPART_ARC
(1,26),-2.01723 # DEPENDENCYPART_ARC
(1,27),-0.601056 # DEPENDENCYPART_ARC
(1,28),-0.91276 # DEPENDENCYPART_ARC
(1,29),-2.29835 # DEPENDENCYPART_ARC
(1,30),1.35776 # DEPENDENCYPART_ARC
(1,31),-0.932504 # DEPENDENCYPART_ARC
(1,32),0.623488 # DEPENDENCYPART_ARC
(2,1),0.498573 # DEPENDENCYPART_ARC
(2,3),0.795193 # DEPENDENCYPART_ARC
(2,4),1.73938 # DEPENDENCYPART_ARC
(2,5),4.89546 # DEPENDENCYPART_ARC
(2,6),1.26744 # DEPENDENCYPART_ARC
(2,7),0.42528 # DEPENDENCYPART_ARC
(2,8),-0.716985 # DEPENDENCYPART_ARC
(2,9),1.08806 # DEPENDENCYPART_ARC
(2,10),0.343224 # DEPENDENCYPART_ARC
(2,11),-1.70481 # DEPENDENCYPART_ARC
(2,12),-0.780398 # DEPENDENCYPART_ARC
(2,13),0.47939 # DEPENDENCYPART_ARC
(2,14),-0.641225 # DEPENDENCYPART_ARC
(2,15),-2.24481 # DEPENDENCYPART_ARC
(2,16),-1.15895 # DEPENDENCYPART_ARC
(2,17),-3.22019 # DEPENDENCYPART_ARC
(2,18),-5.05419 # DEPENDENCYPART_ARC
(2,19),-1.55495 # DEPENDENCYPART_ARC
(2,20),-6.33593 # DEPENDENCYPART_ARC
(2,21),-1.21238 # DEPENDENCYPART_ARC
(2,22),-1.81458 # DEPENDENCYPART_ARC
(2,23),-9.71656 # DEPENDENCYPART_ARC
(2,24),-7.57657 # DEPENDENCYPART_ARC
(2,25),-8.72089 # DEPENDENCYPART_ARC
(2,26),-6.30883 # DEPENDENCYPART_ARC
(2,27),-1.48687 # DEPENDENCYPART_ARC
(2,28),-2.50441 # DEPENDENCYPART_ARC
(2,29),-11.5242 # DEPENDENCYPART_ARC
(2,30),-3.11625 # DEPENDENCYPART_ARC
(2,31),-13.2152 # DEPENDENCYPART_ARC
(2,32),-1.20562 # DEPENDENCYPART_ARC
(3,1),-2.03042 # DEPENDENCYPART_ARC
(3,2),-1.1469 # DEPENDENCYPART_ARC
(3,4),-0.088282 # DEPENDENCYPART_ARC
(3,5),-0.756183 # DEPENDENCYPART_ARC
(3,6),-0.811812 # DEPENDENCYPART_ARC
(3,7),-1.25729 # DEPENDENCYPART_ARC
(3,8),-1.76525 # DEPENDENCYPART_ARC
(3,9),-1.8164 # DEPENDENCYPART_ARC
(3,10),-1.63832 # DEPENDENCYPART_ARC
(3,11),-2.69118 # DEPENDENCYPART_ARC
(3,12),-2.22765 # DEPENDENCYPART_ARC
(3,13),-2.23605 # DEPENDENCYPART_ARC
(3,14),-2.50534 # DEPENDENCYPART_ARC
(3,15),-2.57096 # DEPENDENCYPART_ARC
(3,16),-3.24217 # DEPENDENCYPART_ARC
(3,17),-3.5282 # DEPENDENCYPART_ARC
(3,18),-3.06361 # DEPENDENCYPART_ARC
(3,19),-3.38899 # DEPENDENCYPART_ARC
(3,20),-3.54718 # DEPENDENCYPART_ARC
(3,21),-2.7193 # DEPENDENCYPART_ARC
(3,22),-3.85686 # DEPENDENCYPART_ARC
(3,23),-3.34199 # DEPENDENCYPART_ARC
(3,24),-3.30229 # DEPENDENCYPART_ARC
(3,25),-4.102 # DEPENDENCYPART_ARC
(3,26),-4.09178 # DEPENDENCYPART_ARC
(3,27),-3.90981 # DEPENDENCYPART_ARC
(3,28),-4.08821 # DEPENDENCYPART_ARC
(3,29),-4.0628 # DEPENDENCYPART_ARC
(3,30),-5.30018 # DEPENDENCYPART_ARC
(3,31),-4.51938 # DEPENDENCYPART_ARC
(3,32),-3.09309 # DEPENDENCYPART_ARC
(4,1),-0.622963 # DEPENDENCYPART_ARC
(4,2),-0.0188297 # DEPENDENCYPART_ARC
(4,3),1.78212 # DEPENDENCYPART_ARC
(4,5),1.11347 # DEPENDENCYPART_ARC
(4,6),0.753548 # DEPENDENCYPART_ARC
(4,7),-0.102713 # DEPENDENCYPART_ARC
(4,8),0.0579513 # DEPENDENCYPART_ARC
(4,9),-0.366581 # DEPENDENCYPART_ARC
(4,10),-0.136299 # DEPENDENCYPART_ARC
(4,11),-1.35644 # DEPENDENCYPART_ARC
(4,12),-1.208 # DEPENDENCYPART_ARC
(4,13),-0.974256 # DEPENDENCYPART_ARC
(4,14),-0.376491 # DEPENDENCYPART_ARC
(4,15),-1.1795 # DEPENDENCYPART_ARC
(4,16),-1.26283 # DEPENDENCYPART_ARC
(4,17),-2.38852 # DEPENDENCYPART_ARC
(4,18),-1.73267 # DEPENDENCYPART_ARC
(4,19),-2.46732 # DEPENDENCYPART_ARC
(4,20),-2.25001 # DEPENDENCYPART_ARC
(4,21),-1.21691 # DEPENDENCYPART_ARC
(4,22),-2.63713 # DEPENDENCYPART_ARC
(4,23),-2.32547 # DEPENDENCYPART_ARC
(4,24),-2.79206 # DEPENDENCYPART_ARC
(4,25),-2.39479 # DEPENDENCYPART_ARC
(4,26),-2.57831 # DEPENDENCYPART_ARC
(4,27),-1.51092 # DEPENDENCYPART_ARC
(4,28),-2.22617 # DEPENDENCYPART_ARC
(4,29),-2.92948 # DEPENDENCYPART_ARC
(4,30),-3.1817 # DEPENDENCYPART_ARC
(4,31),-3.19937 # DEPENDENCYPART_ARC
(4,32),-1.30342 # DEPENDENCYPART_ARC
(5,1),-1.02662 # DEPENDENCYPART_ARC
(5,2),0.302771 # DEPENDENCYPART_ARC
(5,3),4.77942 # DEPENDENCYPART_ARC
(5,4),4.40597 # DEPENDENCYPART_ARC
(5,6),0.929029 # DEPENDENCYPART_ARC
(5,7),0.816581 # DEPENDENCYPART_ARC
(5,8),0.182085 # DEPENDENCYPART_ARC
(5,9),-0.417172 # DEPENDENCYPART_ARC
(5,10),0.955635 # DEPENDENCYPART_ARC
(5,11),-0.64373 # DEPENDENCYPART_ARC
(5,12),-1.0402 # DEPENDENCYPART_ARC
(5,13),-0.681416 # DEPENDENCYPART_ARC
(5,14),-0.00715293 # DEPENDENCYPART_ARC
(5,15),-0.697633 # DEPENDENCYPART_ARC
(5,16),-0.884603 # DEPENDENCYPART_ARC
(5,17),-1.52881 # DEPENDENCYPART_ARC
(5,18),-1.42375 # DEPENDENCYPART_ARC
(5,19),-3.0305 # DEPENDENCYPART_ARC
(5,20),-2.14001 # DEPENDENCYPART_ARC
(5,21),-0.964215 # DEPENDENCYPART_ARC
(5,22),-2.78327 # DEPENDENCYPART_ARC
(5,23),-2.62615 # DEPENDENCYPART_ARC
(5,24),-2.76989 # DEPENDENCYPART_ARC
(5,25),-2.64979 # DEPENDENCYPART_ARC
(5,26),-2.5168 # DEPENDENCYPART_ARC
(5,27),-1.35023 # DEPENDENCYPART_ARC
(5,28),-1.84075 # DEPENDENCYPART_ARC
(5,29),-3.03936 # DEPENDENCYPART_ARC
(5,30),-2.80775 # DEPENDENCYPART_ARC
(5,31),-2.89783 # DEPENDENCYPART_ARC
(5,32),-0.415321 # DEPENDENCYPART_ARC
(6,1),2.08087 # DEPENDENCYPART_ARC
(6,2),0.477447 # DEPENDENCYPART_ARC
(6,3),0.158427 # DEPENDENCYPART_ARC
(6,4),0.992658 # DEPENDENCYPART_ARC
(6,5),2.61616 # DEPENDENCYPART_ARC
(6,7),3.72397 # DEPENDENCYPART_ARC
(6,8),1.25386 # DEPENDENCYPART_ARC
(6,9),1.99445 # DEPENDENCYPART_ARC
(6,10),1.10739 # DEPENDENCYPART_ARC
(6,11),-0.695966 # DEPENDENCYPART_ARC
(6,12),-0.812312 # DEPENDENCYPART_ARC
(6,13),0.162278 # DEPENDENCYPART_ARC
(6,14),1.32085 # DEPENDENCYPART_ARC
(6,15),0.183071 # DEPENDENCYPART_ARC
(6,16),0.352819 # DEPENDENCYPART_ARC
(6,17),-1.71601 # DEPENDENCYPART_ARC
(6,18),-1.24095 # DEPENDENCYPART_ARC
(6,19),-1.82518 # DEPENDENCYPART_ARC
(6,20),-2.97787 # DEPENDENCYPART_ARC
(6,21),1.01279 # DEPENDENCYPART_ARC
(6,22),-1.63758 # DEPENDENCYPART_ARC
(6,23),-3.09183 # DEPENDENCYPART_ARC
(6,24),-3.16446 # DEPENDENCYPART_ARC
(6,25),-3.5117 # DEPENDENCYPART_ARC
(6,26),-3.20846 # DEPENDENCYPART_ARC
(6,27),1.20526 # DEPENDENCYPART_ARC
(6,28),0.790819 # DEPENDENCYPART_ARC
(6,29),-2.82299 # DEPENDENCYPART_ARC
(6,30),-1.71314 # DEPENDENCYPART_ARC
(6,31),-3.21267 # DEPENDENCYPART_ARC
(6,32),5.72829 # DEPENDENCYPART_ARC
(7,1),-1.367 # DEPENDENCYPART_ARC
(7,2),-0.918316 # DEPENDENCYPART_ARC
(7,3),0.527933 # DEPENDENCYPART_ARC
(7,4),0.0923091 # DEPENDENCYPART_ARC
(7,5),-0.467845 # DEPENDENCYPART_ARC
(7,6),-0.187106 # DEPENDENCYPART_ARC
(7,8),3.37233 # DEPENDENCYPART_ARC
(7,9),1.36027 # DEPENDENCYPART_ARC
(7,10),1.10404 # DEPENDENCYPART_ARC
(7,11),-0.165006 # DEPENDENCYPART_ARC
(7,12),0.363152 # DEPENDENCYPART_ARC
(7,13),0.21995 # DEPENDENCYPART_ARC
(7,14),0.633364 # DEPENDENCYPART_ARC
(7,15),-0.270356 # DEPENDENCYPART_ARC
(7,16),-0.642794 # DEPENDENCYPART_ARC
(7,17),-1.16772 # DEPENDENCYPART_ARC
(7,18),-0.487833 # DEPENDENCYPART_ARC
(7,19),-2.0004 # DEPENDENCYPART_ARC
(7,20),-1.14897 # DEPENDENCYPART_ARC
(7,21),-0.0283414 # DEPENDENCYPART_ARC
(7,22),-1.44062 # DEPENDENCYPART_ARC
(7,23),-1.2947 # DEPENDENCYPART_ARC
(7,24),-1.73961 # DEPENDENCYPART_ARC
(7,25),-1.46091 # DEPENDENCYPART_ARC
(7,26),-1.53911 # DEPENDENCYPART_ARC
(7,27),0.116977 # DEPENDENCYPART_ARC
(7,28),-1.02675 # DEPENDENCYPART_ARC
(7,29),-2.06719 # DEPENDENCYPART_ARC
(7,30),-2.93578 # DEPENDENCYPART_ARC
(7,31),-2.01078 # DEPENDENCYPART_ARC
(7,32),-0.294329 # DEPENDENCYPART_ARC
(8,1),-0.383828 # DEPENDENCYPART_ARC
(8,2),-0.670083 # DEPENDENCYPART_ARC
(8,3),-0.232076 # DEPENDENCYPART_ARC
(8,4),-0.2558 # DEPENDENCYPART_ARC
(8,5),0.102507 # DEPENDENCYPART_ARC
(8,6),-0.131229 # DEPENDENCYPART_ARC
(8,7),0.747834 # DEPENDENCYPART_ARC
(8,9),3.69166 # DEPENDENCYPART_ARC
(8,10),0.219836 # DEPENDENCYPART_ARC
(8,11),-0.193713 # DEPENDENCYPART_ARC
(8,12),0.00163485 # DEPENDENCYPART_ARC
(8,13),0.771986 # DEPENDENCYPART_ARC
(8,14),0.624487 # DEPENDENCYPART_ARC
(8,15),-1.33053 # DEPENDENCYPART_ARC
(8,16),-1.11297 # DEPENDENCYPART_ARC
(8,17),-1.7229 # DEPENDENCYPART_ARC
(8,18),-2.08702 # DEPENDENCYPART_ARC
(8,19),-1.37537 # DEPENDENCYPART_ARC
(8,20),-3.3827 # DEPENDENCYPART_ARC
(8,21),0.41355 # DEPENDENCYPART_ARC
(8,22),-1.95279 # DEPENDENCYPART_ARC
(8,23),-5.34723 # DEPENDENCYPART_ARC
(8,24),-4.87241 # DEPENDENCYPART_ARC
(8,25),-4.18454 # DEPENDENCYPART_ARC
(8,26),-4.00184 # DEPENDENCYPART_ARC
(8,27),0.269081 # DEPENDENCYPART_ARC
(8,28),-0.606068 # DEPENDENCYPART_ARC
(8,29),-6.68315 # DEPENDENCYPART_ARC
(8,30),-3.02419 # DEPENDENCYPART_ARC
(8,31),-5.98616 # DEPENDENCYPART_ARC
(8,32),0.1353 # DEPENDENCYPART_ARC
(9,1),-3.42831 # DEPENDENCYPART_ARC
(9,2),-1.44 # DEPENDENCYPART_ARC
(9,3),0.822822 # DEPENDENCYPART_ARC
(9,4),0.764747 # DEPENDENCYPART_ARC
(9,5),-0.256565 # DEPENDENCYPART_ARC
(9,6),-0.754368 # DEPENDENCYPART_ARC
(9,7),0.70926 # DEPENDENCYPART_ARC
(9,8),0.923685 # DEPENDENCYPART_ARC
(9,10),4.17149 # DEPENDENCYPART_ARC
(9,11),1.21334 # DEPENDENCYPART_ARC
(9,12),1.26359 # DEPENDENCYPART_ARC
(9,13),2.08369 # DEPENDENCYPART_ARC
(9,14),2.19498 # DEPENDENCYPART_ARC
(9,15),2.50658 # DEPENDENCYPART_ARC
(9,16),1.71285 # DEPENDENCYPART_ARC
(9,17),0.333489 # DEPENDENCYPART_ARC
(9,18),0.797553 # DEPENDENCYPART_ARC
(9,19),0.0435187 # DEPENDENCYPART_ARC
(9,20),-0.198661 # DEPENDENCYPART_ARC
(9,21),1.75807 # DEPENDENCYPART_ARC
(9,22),-0.91809 # DEPENDENCYPART_ARC
(9,23),0.21393 # DEPENDENCYPART_ARC
(9,24),0.264868 # DEPENDENCYPART_ARC
(9,25),-0.391745 # DEPENDENCYPART_ARC
(9,26),-0.385399 # DEPENDENCYPART_ARC
(9,27),1.32342 # DEPENDENCYPART_ARC
(9,28),0.976289 # DEPENDENCYPART_ARC
(9,29),0.538279 # DEPENDENCYPART_ARC
(9,30),-0.887137 # DEPENDENCYPART_ARC
(9,31),-0.734641 # DEPENDENCYPART_ARC
(9,32),1.28022 # DEPENDENCYPART_ARC
(10,1),-1.39344 # DEPENDENCYPART_ARC
(10,2),-1.07446 # DEPENDENCYPART_ARC
(10,3),-1.34106 # DEPENDENCYPART_ARC
(10,4),-1.2608 # DEPENDENCYPART_ARC
(10,5),-1.14299 # DEPENDENCYPART_ARC
(10,6),-0.850693 # DEPENDENCYPART_ARC
(10,7),-0.607619 # DEPENDENCYPART_ARC
(10,8),-0.426656 # DEPENDENCYPART_ARC
(10,9),0.39577 # DEPENDENCYPART_ARC
(10,11),0.934524 # DEPENDENCYPART_ARC
(10,12),1.54226 # DEPENDENCYPART_ARC
(10,13),4.12214 # DEPENDENCYPART_ARC
(10,14),0.422074 # DEPENDENCYPART_ARC
(10,15),1.81971 # DEPENDENCYPART_ARC
(10,16),-0.0354532 # DEPENDENCYPART_ARC
(10,17),-1.84817 # DEPENDENCYPART_ARC
(10,18),-0.869461 # DEPENDENCYPART_ARC
(10,19),-0.242389 # DEPENDENCYPART_ARC
(10,20),-3.11037 # DEPENDENCYPART_ARC
(10,21),-0.491015 # DEPENDENCYPART_ARC
(10,22),-1.2409 # DEPENDENCYPART_ARC
(10,23),-5.57172 # DEPENDENCYPART_ARC
(10,24),-3.62397 # DEPENDENCYPART_ARC
(10,25),-5.44386 # DEPENDENCYPART_ARC
(10,26),-3.76106 # DEPENDENCYPART_ARC
(10,27),-0.0646157 # DEPENDENCYPART_ARC
(10,28),-1.31721 # DEPENDENCYPART_ARC
(10,29),-7.3558 # DEPENDENCYPART_ARC
(10,30),-1.68639 # DEPENDENCYPART_ARC
(10,31),-9.25299 # DEPENDENCYPART_ARC
(10,32),-0.890695 # DEPENDENCYPART_ARC
(11,1),-2.78501 # DEPENDENCYPART_ARC
(11,2),-1.9922 # DEPENDENCYPART_ARC
(11,3),-1.40919 # DEPENDENCYPART_ARC
(11,4),-2.05512 # DEPENDENCYPART_ARC
(11,5),-2.30175 # DEPENDENCYPART_ARC
(11,6),-1.97785 # DEPENDENCYPART_ARC
(11,7),-1.43843 # DEPENDENCYPART_ARC
(11,8),-1.2844 # DEPENDENCYPART_ARC
(11,9),-1.4645 # DEPENDENCYPART_ARC
(11,10),-0.124302 # DEPENDENCYPART_ARC
(11,12),0.56264 # DEPENDENCYPART_ARC
(11,13),-0.0171328 # DEPENDENCYPART_ARC
(11,14),-0.520976 # DEPENDENCYPART_ARC
(11,15),-0.566544 # DEPENDENCYPART_ARC
(11,16),-1.09268 # DEPENDENCYPART_ARC
(11,17),-1.74515 # DEPENDENCYPART_ARC
(11,18),-1.34886 # DEPENDENCYPART_ARC
(11,19),-1.05939 # DEPENDENCYPART_ARC
(11,20),-1.66949 # DEPENDENCYPART_ARC
(11,21),-1.40797 # DEPENDENCYPART_ARC
(11,22),-2.31579 # DEPENDENCYPART_ARC
(11,23),-1.82776 # DEPENDENCYPART_ARC
(11,24),-1.74271 # DEPENDENCYPART_ARC
(11,25),-2.25504 # DEPENDENCYPART_ARC
(11,26),-2.12367 # DEPENDENCYPART_ARC
(11,27),-1.38247 # DEPENDENCYPART_ARC
(11,28),-2.88727 # DEPENDENCYPART_ARC
(11,29),-2.37778 # DEPENDENCYPART_ARC
(11,30),-3.03401 # DEPENDENCYPART_ARC
(11,31),-2.99976 # DEPENDENCYPART_ARC
(11,32),-1.33799 # DEPENDENCYPART_ARC
(12,1),-1.97044 # DEPENDENCYPART_ARC
(12,2),-1.72588 # DEPENDENCYPART_ARC
(12,3),-0.773827 # DEPENDENCYPART_ARC
(12,4),-1.05393 # DEPENDENCYPART_ARC
(12,5),-1.48874 # DEPENDENCYPART_ARC
(12,6),-1.72262 # DEPENDENCYPART_ARC
(12,7),-0.37227 # DEPENDENCYPART_ARC
(12,8),-0.0280844 # DEPENDENCYPART_ARC
(12,9),-0.526439 # DEPENDENCYPART_ARC
(12,10),0.0469722 # DEPENDENCYPART_ARC
(12,11),1.71632 # DEPENDENCYPART_ARC
(12,13),1.07217 # DEPENDENCYPART_ARC
(12,14),0.414282 # DEPENDENCYPART_ARC
(12,15),0.0715129 # DEPENDENCYPART_ARC
(12,16),-0.392837 # DEPENDENCYPART_ARC
(12,17),-1.40253 # DEPENDENCYPART_ARC
(12,18),-0.90319 # DEPENDENCYPART_ARC
(12,19),-1.37195 # DEPENDENCYPART_ARC
(12,20),-1.52535 # DEPENDENCYPART_ARC
(12,21),-0.509958 # DEPENDENCYPART_ARC
(12,22),-1.89117 # DEPENDENCYPART_ARC
(12,23),-1.4198 # DEPENDENCYPART_ARC
(12,24),-1.94576 # DEPENDENCYPART_ARC
(12,25),-1.67881 # DEPENDENCYPART_ARC
(12,26),-1.82406 # DEPENDENCYPART_ARC
(12,27),-0.484107 # DEPENDENCYPART_ARC
(12,28),-1.32042 # DEPENDENCYPART_ARC
(12,29),-2.13545 # DEPENDENCYPART_ARC
(12,30),-2.21241 # DEPENDENCYPART_ARC
(12,31),-2.45435 # DEPENDENCYPART_ARC
(12,32),-1.15698 # DEPENDENCYPART_ARC
(13,1),-4.69463 # DEPENDENCYPART_ARC
(13,2),-1.77274 # DEPENDENCYPART_ARC
(13,3),-0.00328372 # DEPENDENCYPART_ARC
(13,4),0.000233386 # DEPENDENCYPART_ARC
(13,5),-1.93711 # DEPENDENCYPART_ARC
(13,6),-0.634521 # DEPENDENCYPART_ARC
(13,7),-0.945509 # DEPENDENCYPART_ARC
(13,8),-0.590112 # DEPENDENCYPART_ARC
(13,9),-0.241837 # DEPENDENCYPART_ARC
(13,10),0.346592 # DEPENDENCYPART_ARC
(13,11),5.08422 # DEPENDENCYPART_ARC
(13,12),4.89293 # DEPENDENCYPART_ARC
(13,14),2.21019 # DEPENDENCYPART_ARC
(13,15),1.82885 # DEPENDENCYPART_ARC
(13,16),1.47979 # DEPENDENCYPART_ARC
(13,17),0.407906 # DEPENDENCYPART_ARC
(13,18),0.0191174 # DEPENDENCYPART_ARC
(13,19),0.635707 # DEPENDENCYPART_ARC
(13,20),-0.352522 # DEPENDENCYPART_ARC
(13,21),0.603558 # DEPENDENCYPART_ARC
(13,22),-0.977574 # DEPENDENCYPART_ARC
(13,23),-0.231247 # DEPENDENCYPART_ARC
(13,24),-0.266606 # DEPENDENCYPART_ARC
(13,25),-0.881252 # DEPENDENCYPART_ARC
(13,26),-0.226461 # DEPENDENCYPART_ARC
(13,27),1.52781 # DEPENDENCYPART_ARC
(13,28),0.562171 # DEPENDENCYPART_ARC
(13,29),-0.882445 # DEPENDENCYPART_ARC
(13,30),-0.748804 # DEPENDENCYPART_ARC
(13,31),-1.53493 # DEPENDENCYPART_ARC
(13,32),0.162229 # DEPENDENCYPART_ARC
(14,1),-2.46053 # DEPENDENCYPART_ARC
(14,2),-2.93657 # DEPENDENCYPART_ARC
(14,3),-2.69961 # DEPENDENCYPART_ARC
(14,4),-2.83099 # DEPENDENCYPART_ARC
(14,5),-2.45785 # DEPENDENCYPART_ARC
(14,6),-2.61464 # DEPENDENCYPART_ARC
(14,7),-2.51025 # DEPENDENCYPART_ARC
(14,8),-2.17925 # DEPENDENCYPART_ARC
(14,9),-2.2211 # DEPENDENCYPART_ARC
(14,10),-2.11375 # DEPENDENCYPART_ARC
(14,11),-1.34335 # DEPENDENCYPART_ARC
(14,12),-1.95478 # DEPENDENCYPART_ARC
(14,13),-1.67688 # DEPENDENCYPART_ARC
(14,15),-0.908352 # DEPENDENCYPART_ARC
(14,16),-1.40845 # DEPENDENCYPART_ARC
(14,17),-1.87101 # DEPENDENCYPART_ARC
(14,18),-2.07327 # DEPENDENCYPART_ARC
(14,19),-1.85715 # DEPENDENCYPART_ARC
(14,20),-2.30684 # DEPENDENCYPART_ARC
(14,21),-2.10327 # DEPENDENCYPART_ARC
(14,22),-2.84168 # DEPENDENCYPART_ARC
(14,23),-2.92169 # DEPENDENCYPART_ARC
(14,24),-3.03165 # DEPENDENCYPART_ARC
(14,25),-2.86984 # DEPENDENCYPART_ARC
(14,26),-3.03979 # DEPENDENCYPART_ARC
(14,27),-1.94994 # DEPENDENCYPART_ARC
(14,28),-2.92381 # DEPENDENCYPART_ARC
(14,29),-3.55377 # DEPENDENCYPART_ARC
(14,30),-2.59735 # DEPENDENCYPART_ARC
(14,31),-3.68885 # DEPENDENCYPART_ARC
(14,32),-2.88226 # DEPENDENCYPART_ARC
(15,1),-5.01268 # DEPENDENCYPART_ARC
(15,2),-1.71798 # DEPENDENCYPART_ARC
(15,3),-1.91638 # DEPENDENCYPART_ARC
(15,4),-0.924283 # DEPENDENCYPART_ARC
(15,5),-2.29118 # DEPENDENCYPART_ARC
(15,6),-1.51678 # DEPENDENCYPART_ARC
(15,7),-1.46654 # DEPENDENCYPART_ARC
(15,8),-1.52568 # DEPENDENCYPART_ARC
(15,9),-1.37693 # DEPENDENCYPART_ARC
(15,10),-0.103276 # DEPENDENCYPART_ARC
(15,11),3.37692 # DEPENDENCYPART_ARC
(15,12),2.89433 # DEPENDENCYPART_ARC
(15,13),1.19283 # DEPENDENCYPART_ARC
(15,14),1.1518 # DEPENDENCYPART_ARC
(15,16),3.52622 # DEPENDENCYPART_ARC
(15,17),0.218347 # DEPENDENCYPART_ARC
(15,18),0.539556 # DEPENDENCYPART_ARC
(15,19),1.37699 # DEPENDENCYPART_ARC
(15,20),-0.206451 # DEPENDENCYPART_ARC
(15,21),2.21124 # DEPENDENCYPART_ARC
(15,22),-0.856955 # DEPENDENCYPART_ARC
(15,23),-0.245183 # DEPENDENCYPART_ARC
(15,24),-0.322862 # DEPENDENCYPART_ARC
(15,25),-0.679344 # DEPENDENCYPART_ARC
(15,26),-0.691417 # DEPENDENCYPART_ARC
(15,27),0.521843 # DEPENDENCYPART_ARC
(15,28),0.92458 # DEPENDENCYPART_ARC
(15,29),-0.797002 # DEPENDENCYPART_ARC
(15,30),0.944251 # DEPENDENCYPART_ARC
(15,31),-1.09708 # DEPENDENCYPART_ARC
(15,32),1.19027 # DEPENDENCYPART_ARC
(16,1),-2.84361 # DEPENDENCYPART_ARC
(16,2),-2.27928 # DEPENDENCYPART_ARC
(16,3),-2.27782 # DEPENDENCYPART_ARC
(16,4),-2.15974 # DEPENDENCYPART_ARC
(16,5),-2.79571 # DEPENDENCYPART_ARC
(16,6),-1.55854 # DEPENDENCYPART_ARC
(16,7),-1.58149 # DEPENDENCYPART_ARC
(16,8),-1.41708 # DEPENDENCYPART_ARC
(16,9),-1.63978 # DEPENDENCYPART_ARC
(16,10),-1.0912 # DEPENDENCYPART_ARC
