# _root_ Across the country , many people took yesterday 's events in stride , while remaining generally uneasy about the stock market in general .
#goldHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
#predictedHeads=7,3,1,7,6,7,0,10,8,7,7,11,7,7,14,17,15,17,21,21,18,21,22,7,
(2,11),-3.61497 # DEPENDENCYPART_ARC
(2,12),-2.85298 # DEPENDENCYPART_ARC
(2,13),-2.42676 # DEPENDENCYPART_ARC
(2,14),-4.10656 # DEPENDENCYPART_ARC
(2,15),-3.32327 # DEPENDENCYPART_ARC
(2,16),-3.55065 # DEPENDENCYPART_ARC
(2,17),-3.71462 # DEPENDENCYPART_ARC
(2,18),-4.62524 # DEPENDENCYPART_ARC
(2,19),-4.66011 # DEPENDENCYPART_ARC
(2,20),-3.66325 # DEPENDENCYPART_ARC
(2,21),-3.94281 # DEPENDENCYPART_ARC
(2,22),-5.42688 # DEPENDENCYPART_ARC
(2,23),-4.19072 # DEPENDENCYPART_ARC
(2,24),-3.25152 # DEPENDENCYPART_ARC
(3,1),0.311781 # DEPENDENCYPART_ARC
(3,2),4.88243 # DEPENDENCYPART_ARC
(3,4),1.25988 # DEPENDENCYPART_ARC
(3,5),0.54776 # DEPENDENCYPART_ARC
(3,6),0.318845 # DEPENDENCYPART_ARC
(3,7),0.444247 # DEPENDENCYPART_ARC
(3,8),-0.42566 # DEPENDENCYPART_ARC
(3,9),0.668773 # DEPENDENCYPART_ARC
(3,10),-0.846419 # DEPENDENCYPART_ARC
(3,11),-0.624322 # DEPENDENCYPART_ARC
(3,12),-0.555608 # DEPENDENCYPART_ARC
(3,13),0.544706 # DEPENDENCYPART_ARC
(3,14),-1.3535 # DEPENDENCYPART_ARC
(3,15),-1.0635 # DEPENDENCYPART_ARC
(3,16),-1.021 # DEPENDENCYPART_ARC
(3,17),-1.15913 # DEPENDENCYPART_ARC
(3,18),-1.78583 # DEPENDENCYPART_ARC
(3,19),-1.4697 # DEPENDENCYPART_ARC
(3,20),-2.22759 # DEPENDENCYPART_ARC
(3,21),-1.40175 # DEPENDENCYPART_ARC
(3,22),-2.55902 # DEPENDENCYPART_ARC
(3,23),-2.72974 # DEPENDENCYPART_ARC
(3,24),0.217445 # DEPENDENCYPART_ARC
(4,1),-1.14349 # DEPENDENCYPART_ARC
(4,2),-0.731279 # DEPENDENCYPART_ARC
(4,3),-1.07405 # DEPENDENCYPART_ARC
(4,5),-0.0737696 # DEPENDENCYPART_ARC
(4,6),-0.713157 # DEPENDENCYPART_ARC
(4,7),-0.605235 # DEPENDENCYPART_ARC
(4,8),-1.44398 # DEPENDENCYPART_ARC
(4,9),-1.48705 # DEPENDENCYPART_ARC
(4,10),-1.87601 # DEPENDENCYPART_ARC
(4,11),-1.44523 # DEPENDENCYPART_ARC
(4,12),-2.13369 # DEPENDENCYPART_ARC
(4,13),-0.53138 # DEPENDENCYPART_ARC
(4,14),-1.50943 # DEPENDENCYPART_ARC
(4,15),-1.80209 # DEPENDENCYPART_ARC
(4,16),-2.22315 # DEPENDENCYPART_ARC
(4,17),-2.56359 # DEPENDENCYPART_ARC
(4,18),-1.82011 # DEPENDENCYPART_ARC
(4,19),-2.60616 # DEPENDENCYPART_ARC
(4,20),-3.00209 # DEPENDENCYPART_ARC
(4,21),-3.19271 # DEPENDENCYPART_ARC
(4,22),-2.15444 # DEPENDENCYPART_ARC
(4,23),-3.37517 # DEPENDENCYPART_ARC
(4,24),-2.43561 # DEPENDENCYPART_ARC
(5,1),-0.0518288 # DEPENDENCYPART_ARC
(5,2),0.904899 # DEPENDENCYPART_ARC
(5,3),0.159989 # DEPENDENCYPART_ARC
(5,4),0.436249 # DEPENDENCYPART_ARC
(5,6),1.50006 # DEPENDENCYPART_ARC
(5,7),0.940702 # DEPENDENCYPART_ARC
(5,8),0.226443 # DEPENDENCYPART_ARC
(5,9),0.550867 # DEPENDENCYPART_ARC
(5,10),0.372116 # DEPENDENCYPART_ARC
(5,11),-0.531641 # DEPENDENCYPART_ARC
(5,12),-0.4652 # DEPENDENCYPART_ARC
(5,13),0.808811 # DEPENDENCYPART_ARC
(5,14),-1.78744 # DEPENDENCYPART_ARC
(5,15),-0.0428677 # DEPENDENCYPART_ARC
(5,16),-0.949577 # DEPENDENCYPART_ARC
(5,17),-0.777626 # DEPENDENCYPART_ARC
(5,18),-0.988419 # DEPENDENCYPART_ARC
(5,19),-2.03277 # DEPENDENCYPART_ARC
(5,20),-1.61659 # DEPENDENCYPART_ARC
(5,21),-1.97479 # DEPENDENCYPART_ARC
(5,22),-2.94168 # DEPENDENCYPART_ARC
(5,23),-2.37855 # DEPENDENCYPART_ARC
(5,24),0.277282 # DEPENDENCYPART_ARC
(6,1),-0.25922 # DEPENDENCYPART_ARC
(6,2),2.69344 # DEPENDENCYPART_ARC
(6,3),0.976846 # DEPENDENCYPART_ARC
(6,4),1.40713 # DEPENDENCYPART_ARC
(6,5),4.33694 # DEPENDENCYPART_ARC
(6,7),1.4321 # DEPENDENCYPART_ARC
(6,8),0.860542 # DEPENDENCYPART_ARC
(6,9),1.10718 # DEPENDENCYPART_ARC
(6,10),-0.0760551 # DEPENDENCYPART_ARC
(6,11),0.787025 # DEPENDENCYPART_ARC
(6,12),0.147466 # DEPENDENCYPART_ARC
(6,13),0.418766 # DEPENDENCYPART_ARC
(6,14),-0.561214 # DEPENDENCYPART_ARC
(6,15),0.385224 # DEPENDENCYPART_ARC
(6,16),-0.230482 # DEPENDENCYPART_ARC
(6,17),-0.280802 # DEPENDENCYPART_ARC
(6,18),0.220259 # DEPENDENCYPART_ARC
(6,19),-1.27822 # DEPENDENCYPART_ARC
(6,20),-1.30584 # DEPENDENCYPART_ARC
(6,21),-1.09347 # DEPENDENCYPART_ARC
(6,22),-1.50577 # DEPENDENCYPART_ARC
(6,23),-2.00077 # DEPENDENCYPART_ARC
(6,24),0.30607 # DEPENDENCYPART_ARC
(7,1),3.2609 # DEPENDENCYPART_ARC
(7,2),0.71426 # DEPENDENCYPART_ARC
(7,3),1.94675 # DEPENDENCYPART_ARC
(7,4),3.88447 # DEPENDENCYPART_ARC
(7,5),2.28214 # DEPENDENCYPART_ARC
(7,6),3.85914 # DEPENDENCYPART_ARC
(7,8),4.13003 # DEPENDENCYPART_ARC
(7,9),2.17873 # DEPENDENCYPART_ARC
(7,10),2.72857 # DEPENDENCYPART_ARC
(7,11),3.32937 # DEPENDENCYPART_ARC
(7,12),1.2932 # DEPENDENCYPART_ARC
(7,13),2.63266 # DEPENDENCYPART_ARC
(7,14),3.99354 # DEPENDENCYPART_ARC
(7,15),1.52214 # DEPENDENCYPART_ARC
(7,16),0.380399 # DEPENDENCYPART_ARC
(7,17),0.692983 # DEPENDENCYPART_ARC
(7,18),0.533465 # DEPENDENCYPART_ARC
(7,19),-0.921646 # DEPENDENCYPART_ARC
(7,20),-1.40997 # DEPENDENCYPART_ARC
(7,21),-1.41045 # DEPENDENCYPART_ARC
(7,22),1.25401 # DEPENDENCYPART_ARC
(7,23),-2.69726 # DEPENDENCYPART_ARC
(7,24),5.99845 # DEPENDENCYPART_ARC
(8,1),-2.32548 # DEPENDENCYPART_ARC
(8,2),-0.829903 # DEPENDENCYPART_ARC
(8,3),-3.00554 # DEPENDENCYPART_ARC
(8,4),-1.83051 # DEPENDENCYPART_ARC
(8,5),-1.11915 # DEPENDENCYPART_ARC
(8,6),-1.48528 # DEPENDENCYPART_ARC
(8,7),-1.20979 # DEPENDENCYPART_ARC
(8,9),3.4145 # DEPENDENCYPART_ARC
(8,10),-0.229662 # DEPENDENCYPART_ARC
(8,11),-0.860782 # DEPENDENCYPART_ARC
(8,12),-0.814899 # DEPENDENCYPART_ARC
(8,13),-1.07611 # DEPENDENCYPART_ARC
(8,14),-2.23825 # DEPENDENCYPART_ARC
(8,15),-0.88759 # DEPENDENCYPART_ARC
(8,16),-1.2649 # DEPENDENCYPART_ARC
(8,17),-0.764517 # DEPENDENCYPART_ARC
(8,18),-2.32466 # DEPENDENCYPART_ARC
(8,19),-2.15272 # DEPENDENCYPART_ARC
(8,20),-1.91497 # DEPENDENCYPART_ARC
(8,21),-1.60888 # DEPENDENCYPART_ARC
(8,22),-3.33294 # DEPENDENCYPART_ARC
(8,23),-2.58171 # DEPENDENCYPART_ARC
(8,24),0.17918 # DEPENDENCYPART_ARC
(9,1),-1.71387 # DEPENDENCYPART_ARC
(9,2),-0.382322 # DEPENDENCYPART_ARC
(9,3),-1.83073 # DEPENDENCYPART_ARC
(9,4),-1.05253 # DEPENDENCYPART_ARC
(9,5),-0.64563 # DEPENDENCYPART_ARC
(9,6),-0.486913 # DEPENDENCYPART_ARC
(9,7),-0.517269 # DEPENDENCYPART_ARC
(9,8),-0.0255251 # DEPENDENCYPART_ARC
(9,10),-0.133905 # DEPENDENCYPART_ARC
(9,11),-0.890315 # DEPENDENCYPART_ARC
(9,12),-1.07373 # DEPENDENCYPART_ARC
(9,13),-0.865071 # DEPENDENCYPART_ARC
(9,14),-1.62407 # DEPENDENCYPART_ARC
(9,15),-1.41067 # DEPENDENCYPART_ARC
(9,16),-1.49751 # DEPENDENCYPART_ARC
(9,17),-2.13763 # DEPENDENCYPART_ARC
(9,18),-1.82539 # DEPENDENCYPART_ARC
(9,19),-1.96649 # DEPENDENCYPART_ARC
(9,20),-2.07491 # DEPENDENCYPART_ARC
(9,21),-2.14724 # DEPENDENCYPART_ARC
(9,22),-1.37985 # DEPENDENCYPART_ARC
(9,23),-2.3877 # DEPENDENCYPART_ARC
(9,24),-1.79962 # DEPENDENCYPART_ARC
(10,1),-0.821697 # DEPENDENCYPART_ARC
(10,2),0.525788 # DEPENDENCYPART_ARC
(10,3),0.567866 # DEPENDENCYPART_ARC
(10,4),0.104857 # DEPENDENCYPART_ARC
(10,5),1.17296 # DEPENDENCYPART_ARC
(10,6),1.55829 # DEPENDENCYPART_ARC
(10,7),0.163026 # DEPENDENCYPART_ARC
(10,8),4.32714 # DEPENDENCYPART_ARC
(10,9),1.42452 # DEPENDENCYPART_ARC
(10,11),3.19071 # DEPENDENCYPART_ARC
(10,12),1.39076 # DEPENDENCYPART_ARC
(10,13),1.26568 # DEPENDENCYPART_ARC
(10,14),0.8697 # DEPENDENCYPART_ARC
(10,15),0.422517 # DEPENDENCYPART_ARC
(10,16),0.403772 # DEPENDENCYPART_ARC
(10,17),0.397396 # DEPENDENCYPART_ARC
(10,18),1.46925 # DEPENDENCYPART_ARC
(10,19),-0.725121 # DEPENDENCYPART_ARC
(10,20),-0.0708327 # DEPENDENCYPART_ARC
(10,21),-0.121183 # DEPENDENCYPART_ARC
(10,22),0.862188 # DEPENDENCYPART_ARC
(10,23),-0.707314 # DEPENDENCYPART_ARC
(10,24),-0.0241172 # DEPENDENCYPART_ARC
(11,1),-1.37582 # DEPENDENCYPART_ARC
(11,2),-0.934154 # DEPENDENCYPART_ARC
(11,3),-1.54402 # DEPENDENCYPART_ARC
(11,4),-0.879786 # DEPENDENCYPART_ARC
(11,5),-0.419793 # DEPENDENCYPART_ARC
(11,6),-0.274604 # DEPENDENCYPART_ARC
(11,7),-0.628709 # DEPENDENCYPART_ARC
(11,8),-0.212642 # DEPENDENCYPART_ARC
(11,9),0.264671 # DEPENDENCYPART_ARC
(11,10),0.38201 # DEPENDENCYPART_ARC
(11,12),4.00526 # DEPENDENCYPART_ARC
(11,13),0.931534 # DEPENDENCYPART_ARC
(11,14),0.397531 # DEPENDENCYPART_ARC
(11,15),0.229254 # DEPENDENCYPART_ARC
(11,16),-0.210741 # DEPENDENCYPART_ARC
(11,17),-0.851558 # DEPENDENCYPART_ARC
(11,18),-1.01082 # DEPENDENCYPART_ARC
(11,19),-2.31595 # DEPENDENCYPART_ARC
(11,20),-4.34663 # DEPENDENCYPART_ARC
(11,21),-1.32952 # DEPENDENCYPART_ARC
(11,22),-1.2612 # DEPENDENCYPART_ARC
(11,23),-4.40933 # DEPENDENCYPART_ARC
(11,24),-0.690129 # DEPENDENCYPART_ARC
(12,1),-2.92139 # DEPENDENCYPART_ARC
(12,2),-1.8564 # DEPENDENCYPART_ARC
(12,3),-2.35125 # DEPENDENCYPART_ARC
(12,4),-1.90261 # DEPENDENCYPART_ARC
(12,5),-2.35866 # DEPENDENCYPART_ARC
(12,6),-0.869376 # DEPENDENCYPART_ARC
(12,7),-1.83431 # DEPENDENCYPART_ARC
(12,8),1.46716 # DEPENDENCYPART_ARC
(12,9),-0.513172 # DEPENDENCYPART_ARC
(12,10),-0.115322 # DEPENDENCYPART_ARC
(12,11),0.587233 # DEPENDENCYPART_ARC
(12,13),1.08761 # DEPENDENCYPART_ARC
(12,14),-0.241835 # DEPENDENCYPART_ARC
(12,15),0.0482554 # DEPENDENCYPART_ARC
(12,16),-0.365086 # DEPENDENCYPART_ARC
(12,17),-0.428267 # DEPENDENCYPART_ARC
(12,18),-0.130497 # DEPENDENCYPART_ARC
(12,19),-1.11124 # DEPENDENCYPART_ARC
(12,20),-0.722177 # DEPENDENCYPART_ARC
(12,21),-0.271435 # DEPENDENCYPART_ARC
(12,22),-1.0046 # DEPENDENCYPART_ARC
(12,23),-1.15634 # DEPENDENCYPART_ARC
(12,24),-0.151675 # DEPENDENCYPART_ARC
(13,1),-2.35944 # DEPENDENCYPART_ARC
(13,2),-2.1096 # DEPENDENCYPART_ARC
(13,3),-2.12745 # DEPENDENCYPART_ARC
(13,4),-0.550578 # DEPENDENCYPART_ARC
(13,5),-2.06495 # DEPENDENCYPART_ARC
(13,6),-2.03817 # DEPENDENCYPART_ARC
(13,7),-1.60968 # DEPENDENCYPART_ARC
(13,8),-1.20612 # DEPENDENCYPART_ARC
(13,9),-1.60223 # DEPENDENCYPART_ARC
(13,10),-1.2956 # DEPENDENCYPART_ARC
(13,11),-1.2946 # DEPENDENCYPART_ARC
(13,12),-1.06117 # DEPENDENCYPART_ARC
(13,14),-1.00695 # DEPENDENCYPART_ARC
(13,15),-1.18706 # DEPENDENCYPART_ARC
(13,16),-1.69811 # DEPENDENCYPART_ARC
(13,17),-1.96099 # DEPENDENCYPART_ARC
(13,18),-1.86335 # DEPENDENCYPART_ARC
(13,19),-2.2699 # DEPENDENCYPART_ARC
(13,20),-2.71911 # DEPENDENCYPART_ARC
(13,21),-2.93887 # DEPENDENCYPART_ARC
(13,22),-2.0937 # DEPENDENCYPART_ARC
(13,23),-3.06104 # DEPENDENCYPART_ARC
(13,24),-2.08592 # DEPENDENCYPART_ARC
(14,1),-2.25391 # DEPENDENCYPART_ARC
(14,2),-2.54066 # DEPENDENCYPART_ARC
(14,3),-2.80287 # DEPENDENCYPART_ARC
(14,4),-1.9016 # DEPENDENCYPART_ARC
(14,5),-1.19561 # DEPENDENCYPART_ARC
(14,6),-1.68124 # DEPENDENCYPART_ARC
(14,7),-1.38382 # DEPENDENCYPART_ARC
(14,8),-1.49364 # DEPENDENCYPART_ARC
(14,9),-0.839247 # DEPENDENCYPART_ARC
(14,10),-1.34913 # DEPENDENCYPART_ARC
(14,11),-0.0809368 # DEPENDENCYPART_ARC
(14,12),-1.19419 # DEPENDENCYPART_ARC
(14,13),0.139353 # DEPENDENCYPART_ARC
(14,15),2.74079 # DEPENDENCYPART_ARC
(14,16),0.372987 # DEPENDENCYPART_ARC
(14,17),0.36347 # DEPENDENCYPART_ARC
(14,18),-1.18859 # DEPENDENCYPART_ARC
(14,19),-2.28611 # DEPENDENCYPART_ARC
(14,20),-3.14395 # DEPENDENCYPART_ARC
(14,21),-2.61941 # DEPENDENCYPART_ARC
(14,22),-1.35001 # DEPENDENCYPART_ARC
(14,23),-4.13348 # DEPENDENCYPART_ARC
(14,24),0.325294 # DEPENDENCYPART_ARC
(15,1),-2.47144 # DEPENDENCYPART_ARC
(15,2),-1.32778 # DEPENDENCYPART_ARC
(15,3),-1.48299 # DEPENDENCYPART_ARC
(15,4),-1.37032 # DEPENDENCYPART_ARC
(15,5),-1.54664 # DEPENDENCYPART_ARC
(15,6),-1.11839 # DEPENDENCYPART_ARC
(15,7),-1.0741 # DEPENDENCYPART_ARC
(15,8),-0.618083 # DEPENDENCYPART_ARC
(15,9),-0.596844 # DEPENDENCYPART_ARC
(15,10),-0.544175 # DEPENDENCYPART_ARC
(15,11),-0.298487 # DEPENDENCYPART_ARC
(15,12),0.148744 # DEPENDENCYPART_ARC
(15,13),-0.217216 # DEPENDENCYPART_ARC
(15,14),0.518563 # DEPENDENCYPART_ARC
(15,16),2.07977 # DEPENDENCYPART_ARC
(15,17),1.65801 # DEPENDENCYPART_ARC
(15,18),1.45127 # DEPENDENCYPART_ARC
(15,19),-0.555646 # DEPENDENCYPART_ARC
(15,20),0.18333 # DEPENDENCYPART_ARC
(15,21),0.231186 # DEPENDENCYPART_ARC
(15,22),1.35231 # DEPENDENCYPART_ARC
(15,23),-0.96737 # DEPENDENCYPART_ARC
(15,24),0.259903 # DEPENDENCYPART_ARC
(16,1),-1.89072 # DEPENDENCYPART_ARC
(16,2),-1.17082 # DEPENDENCYPART_ARC
(16,3),-2.23257 # DEPENDENCYPART_ARC
(16,4),-1.42937 # DEPENDENCYPART_ARC
(16,5),-1.05459 # DEPENDENCYPART_ARC
(16,6),-1.50088 # DEPENDENCYPART_ARC
(16,7),-1.48306 # DEPENDENCYPART_ARC
(16,8),-1.60809 # DEPENDENCYPART_ARC
(16,9),-1.20788 # DEPENDENCYPART_ARC
(16,10),-1.12369 # DEPENDENCYPART_ARC
(16,11),-0.893837 # DEPENDENCYPART_ARC
(16,12),-0.933718 # DEPENDENCYPART_ARC
(16,13),-0.293393 # DEPENDENCYPART_ARC
(16,14),0.367069 # DEPENDENCYPART_ARC
(16,15),0.282301 # DEPENDENCYPART_ARC
(16,17),0.88867 # DEPENDENCYPART_ARC
(16,18),0.522362 # DEPENDENCYPART_ARC
(16,19),-0.606262 # DEPENDENCYPART_ARC
(16,20),-0.560687 # DEPENDENCYPART_ARC
(16,21),-0.565719 # DEPENDENCYPART_ARC
(16,22),-1.08292 # DEPENDENCYPART_ARC
(16,23),-1.51147 # DEPENDENCYPART_ARC
(16,24),-0.941754 # DEPENDENCYPART_ARC
(17,1),-1.91439 # DEPENDENCYPART_ARC
(17,2),-0.82151 # DEPENDENCYPART_ARC
(17,3),-1.52985 # DEPENDENCYPART_ARC
(17,4),-1.18015 # DEPENDENCYPART_ARC
(17,5),-0.811473 # DEPENDENCYPART_ARC
(17,6),-1.49438 # DEPENDENCYPART_ARC
(17,7),-1.48568 # DEPENDENCYPART_ARC
(17,8),-1.02696 # DEPENDENCYPART_ARC
(17,9),-0.807436 # DEPENDENCYPART_ARC
(17,10),-0.727234 # DEPENDENCYPART_ARC
(17,11),-0.351384 # DEPENDENCYPART_ARC
(17,12),-0.317238 # DEPENDENCYPART_ARC
(17,13),0.420152 # DEPENDENCYPART_ARC
(17,14),0.801647 # DEPENDENCYPART_ARC
(17,15),0.585493 # DEPENDENCYPART_ARC
(17,16),3.09245 # DEPENDENCYPART_ARC
(17,18),3.04718 # DEPENDENCYPART_ARC
(17,19),0.529066 # DEPENDENCYPART_ARC
(17,20),0.823483 # DEPENDENCYPART_ARC
(17,21),0.210901 # DEPENDENCYPART_ARC
(17,22),0.861126 # DEPENDENCYPART_ARC
(17,23),-0.352717 # DEPENDENCYPART_ARC
(17,24),0.911737 # DEPENDENCYPART_ARC
(18,1),-2.31422 # DEPENDENCYPART_ARC
(18,2),-2.30421 # DEPENDENCYPART_ARC
(18,3),-3.06331 # DEPENDENCYPART_ARC
(18,4),-2.4364 # DEPENDENCYPART_ARC
(18,5),-1.62885 # DEPENDENCYPART_ARC
(18,6),-2.08502 # DEPENDENCYPART_ARC
(18,7),-1.79197 # DEPENDENCYPART_ARC
(18,8),-1.84001 # DEPENDENCYPART_ARC
(18,9),-1.12161 # DEPENDENCYPART_ARC
(18,10),-1.50337 # DEPENDENCYPART_ARC
(18,11),-0.56992 # DEPENDENCYPART_ARC
(18,12),-1.78747 # DEPENDENCYPART_ARC
(18,13),-0.938703 # DEPENDENCYPART_ARC
(18,14),-0.00105093 # DEPENDENCYPART_ARC
(18,15),-0.87155 # DEPENDENCYPART_ARC
(18,16),0.0555694 # DEPENDENCYPART_ARC
(18,17),-0.121217 # DEPENDENCYPART_ARC
(18,19),0.371534 # DEPENDENCYPART_ARC
(18,20),1.85267 # DEPENDENCYPART_ARC
(18,21),2.59742 # DEPENDENCYPART_ARC
(18,22),-0.89449 # DEPENDENCYPART_ARC
(18,23),0.692711 # DEPENDENCYPART_ARC
(18,24),-0.311278 # DEPENDENCYPART_ARC
(19,1),-3.25756 # DEPENDENCYPART_ARC
(19,2),-2.92346 # DEPENDENCYPART_ARC
(19,3),-3.65459 # DEPENDENCYPART_ARC
(19,4),-2.89713 # DEPENDENCYPART_ARC
(19,5),-2.95873 # DEPENDENCYPART_ARC
(19,6),-2.98914 # DEPENDENCYPART_ARC
(19,7),-2.64667 # DEPENDENCYPART_ARC
(19,8),-3.10803 # DEPENDENCYPART_ARC
(19,9),-2.4456 # DEPENDENCYPART_ARC
(19,10),-2.51307 # DEPENDENCYPART_ARC
(19,11),-1.80952 # DEPENDENCYPART_ARC
(19,12),-2.51185 # DEPENDENCYPART_ARC
(19,13),-1.91887 # DEPENDENCYPART_ARC
(19,14),-1.42917 # DEPENDENCYPART_ARC
(19,15),-1.57519 # DEPENDENCYPART_ARC
(19,16),-1.09224 # DEPENDENCYPART_ARC
(19,17),-1.02806 # DEPENDENCYPART_ARC
(19,18),0.515003 # DEPENDENCYPART_ARC
(19,20),0.472811 # DEPENDENCYPART_ARC
(19,21),-0.504239 # DEPENDENCYPART_ARC
(19,22),-1.44304 # DEPENDENCYPART_ARC
(19,23),-1.21042 # DEPENDENCYPART_ARC
(19,24),-1.9319 # DEPENDENCYPART_ARC
(20,1),-4.63805 # DEPENDENCYPART_ARC
(20,2),-7.05407 # DEPENDENCYPART_ARC
(20,3),-6.54015 # DEPENDENCYPART_ARC
(20,4),-3.38343 # DEPENDENCYPART_ARC
(20,5),-6.14469 # DEPENDENCYPART_ARC
(20,6),-3.47897 # DEPENDENCYPART_ARC
(20,7),-3.46464 # DEPENDENCYPART_ARC
(20,8),-3.89948 # DEPENDENCYPART_ARC
(20,9),-2.75115 # DEPENDENCYPART_ARC
(20,10),-3.88151 # DEPENDENCYPART_ARC
(20,11),-2.76325 # DEPENDENCYPART_ARC
(20,12),-4.47789 # DEPENDENCYPART_ARC
(20,13),-2.60651 # DEPENDENCYPART_ARC
(20,14),-2.16474 # DEPENDENCYPART_ARC
(20,15),-1.14394 # DEPENDENCYPART_ARC
(20,16),-1.35848 # DEPENDENCYPART_ARC
(20,17),-2.23998 # DEPENDENCYPART_ARC
(20,18),0.63225 # DEPENDENCYPART_ARC
(20,19),2.94516 # DEPENDENCYPART_ARC
(20,21),0.512894 # DEPENDENCYPART_ARC
(20,22),-0.313996 # DEPENDENCYPART_ARC
(20,23),-1.13419 # DEPENDENCYPART_ARC
(20,24),-1.07623 # DEPENDENCYPART_ARC
(21,1),-3.62831 # DEPENDENCYPART_ARC
(21,2),-3.16379 # DEPENDENCYPART_ARC
(21,3),-3.84392 # DEPENDENCYPART_ARC
(21,4),-1.74148 # DEPENDENCYPART_ARC
(21,5),-3.39405 # DEPENDENCYPART_ARC
(21,6),-0.660086 # DEPENDENCYPART_ARC
(21,7),-1.95901 # DEPENDENCYPART_ARC
(21,8),-0.685258 # DEPENDENCYPART_ARC
(21,9),-0.888781 # DEPENDENCYPART_ARC
(21,10),-1.53315 # DEPENDENCYPART_ARC
(21,11),-1.98442 # DEPENDENCYPART_ARC
(21,12),-1.91121 # DEPENDENCYPART_ARC
(21,13),-1.46675 # DEPENDENCYPART_ARC
(21,14),-0.923315 # DEPENDENCYPART_ARC
(21,15),0.942148 # DEPENDENCYPART_ARC
(21,16),0.364153 # DEPENDENCYPART_ARC
(21,17),-0.114073 # DEPENDENCYPART_ARC
(21,18),1.69217 # DEPENDENCYPART_ARC
(21,19),4.98908 # DEPENDENCYPART_ARC
(21,20),4.58006 # DEPENDENCYPART_ARC
(21,22),1.87664 # DEPENDENCYPART_ARC
(21,23),0.205801 # DEPENDENCYPART_ARC
(21,24),0.46862 # DEPENDENCYPART_ARC
(22,1),-3.30774 # DEPENDENCYPART_ARC
(22,2),-2.87036 # DEPENDENCYPART_ARC
(22,3),-3.51224 # DEPENDENCYPART_ARC
(22,4),-2.54323 # DEPENDENCYPART_ARC
