# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(4,1),-1.11976 # DEPENDENCYPART_ARC
(4,2),-1.03729 # DEPENDENCYPART_ARC
(4,3),0.024739 # DEPENDENCYPART_ARC
(4,5),0.259903 # DEPENDENCYPART_ARC
(4,6),-0.980369 # DEPENDENCYPART_ARC
(4,7),-0.673261 # DEPENDENCYPART_ARC
(4,8),-0.93987 # DEPENDENCYPART_ARC
(4,9),-1.03687 # DEPENDENCYPART_ARC
(4,10),-0.724569 # DEPENDENCYPART_ARC
(4,11),-1.55889 # DEPENDENCYPART_ARC
(4,12),-0.91148 # DEPENDENCYPART_ARC
(4,13),-1.21505 # DEPENDENCYPART_ARC
(4,14),-1.43791 # DEPENDENCYPART_ARC
(4,15),-1.21647 # DEPENDENCYPART_ARC
(4,16),-2.16661 # DEPENDENCYPART_ARC
(4,17),-1.68053 # DEPENDENCYPART_ARC
(4,18),-1.6871 # DEPENDENCYPART_ARC
(4,19),-2.39807 # DEPENDENCYPART_ARC
(4,20),-1.00966 # DEPENDENCYPART_ARC
(5,1),0.00641568 # DEPENDENCYPART_ARC
(5,2),-0.0837383 # DEPENDENCYPART_ARC
(5,3),-0.290067 # DEPENDENCYPART_ARC
(5,4),3.55758 # DEPENDENCYPART_ARC
(5,6),1.24784 # DEPENDENCYPART_ARC
(5,7),1.98436 # DEPENDENCYPART_ARC
(5,8),1.7535 # DEPENDENCYPART_ARC
(5,9),2.26325 # DEPENDENCYPART_ARC
(5,10),3.05206 # DEPENDENCYPART_ARC
(5,11),1.12953 # DEPENDENCYPART_ARC
(5,12),1.58444 # DEPENDENCYPART_ARC
(5,13),0.53531 # DEPENDENCYPART_ARC
(5,14),0.745748 # DEPENDENCYPART_ARC
(5,15),1.39481 # DEPENDENCYPART_ARC
(5,16),0.178047 # DEPENDENCYPART_ARC
(5,17),0.528473 # DEPENDENCYPART_ARC
(5,18),1.25678 # DEPENDENCYPART_ARC
(5,19),-0.993609 # DEPENDENCYPART_ARC
(5,20),2.58488 # DEPENDENCYPART_ARC
(6,1),-1.46874 # DEPENDENCYPART_ARC
(6,2),-1.24674 # DEPENDENCYPART_ARC
(6,3),-0.722029 # DEPENDENCYPART_ARC
(6,4),0.0421273 # DEPENDENCYPART_ARC
(6,5),-0.373749 # DEPENDENCYPART_ARC
(6,7),0.683094 # DEPENDENCYPART_ARC
(6,8),0.0982739 # DEPENDENCYPART_ARC
(6,9),-0.292568 # DEPENDENCYPART_ARC
(6,10),-0.382444 # DEPENDENCYPART_ARC
(6,11),-0.703003 # DEPENDENCYPART_ARC
(6,12),-0.163991 # DEPENDENCYPART_ARC
(6,13),-0.556778 # DEPENDENCYPART_ARC
(6,14),-1.26299 # DEPENDENCYPART_ARC
(6,15),-0.359713 # DEPENDENCYPART_ARC
(6,16),-1.46631 # DEPENDENCYPART_ARC
(6,17),-1.54471 # DEPENDENCYPART_ARC
(6,18),-1.33458 # DEPENDENCYPART_ARC
(6,19),-1.90964 # DEPENDENCYPART_ARC
(6,20),-1.07422 # DEPENDENCYPART_ARC
(7,1),-2.83399 # DEPENDENCYPART_ARC
(7,2),-3.16322 # DEPENDENCYPART_ARC
(7,3),-2.27092 # DEPENDENCYPART_ARC
(7,4),-1.73512 # DEPENDENCYPART_ARC
(7,5),-2.0585 # DEPENDENCYPART_ARC
(7,6),0.544864 # DEPENDENCYPART_ARC
(7,8),0.0659942 # DEPENDENCYPART_ARC
(7,9),-0.473387 # DEPENDENCYPART_ARC
(7,10),-1.01725 # DEPENDENCYPART_ARC
(7,11),-1.40159 # DEPENDENCYPART_ARC
(7,12),-0.43374 # DEPENDENCYPART_ARC
(7,13),-1.28034 # DEPENDENCYPART_ARC
(7,14),-2.44071 # DEPENDENCYPART_ARC
(7,15),-1.57308 # DEPENDENCYPART_ARC
(7,16),-2.2653 # DEPENDENCYPART_ARC
(7,17),-3.71503 # DEPENDENCYPART_ARC
(7,18),-2.07389 # DEPENDENCYPART_ARC
(7,19),-3.90263 # DEPENDENCYPART_ARC
(7,20),-0.499056 # DEPENDENCYPART_ARC
(8,1),-1.56829 # DEPENDENCYPART_ARC
(8,2),-2.50076 # DEPENDENCYPART_ARC
(8,3),-0.549925 # DEPENDENCYPART_ARC
(8,4),-0.716688 # DEPENDENCYPART_ARC
(8,5),-1.0952 # DEPENDENCYPART_ARC
(8,6),1.58727 # DEPENDENCYPART_ARC
(8,7),1.92707 # DEPENDENCYPART_ARC
(8,9),0.788632 # DEPENDENCYPART_ARC
(8,10),-0.196921 # DEPENDENCYPART_ARC
(8,11),-0.70023 # DEPENDENCYPART_ARC
(8,12),0.458359 # DEPENDENCYPART_ARC
(8,13),-0.549716 # DEPENDENCYPART_ARC
(8,14),-1.63751 # DEPENDENCYPART_ARC
(8,15),-1.02732 # DEPENDENCYPART_ARC
(8,16),-1.63463 # DEPENDENCYPART_ARC
(8,17),-2.94078 # DEPENDENCYPART_ARC
(8,18),-1.47933 # DEPENDENCYPART_ARC
(8,19),-3.36738 # DEPENDENCYPART_ARC
(8,20),-0.0509074 # DEPENDENCYPART_ARC
(9,1),0.471127 # DEPENDENCYPART_ARC
(9,2),-0.591222 # DEPENDENCYPART_ARC
(9,3),0.0752597 # DEPENDENCYPART_ARC
(9,4),1.81209 # DEPENDENCYPART_ARC
(9,5),0.825144 # DEPENDENCYPART_ARC
(9,6),4.3614 # DEPENDENCYPART_ARC
(9,7),4.66447 # DEPENDENCYPART_ARC
(9,8),4.57567 # DEPENDENCYPART_ARC
(9,10),3.00643 # DEPENDENCYPART_ARC
(9,11),1.42523 # DEPENDENCYPART_ARC
(9,12),1.88979 # DEPENDENCYPART_ARC
(9,13),1.22582 # DEPENDENCYPART_ARC
(9,14),0.0939815 # DEPENDENCYPART_ARC
(9,15),1.28152 # DEPENDENCYPART_ARC
(9,16),0.368101 # DEPENDENCYPART_ARC
(9,17),-0.181025 # DEPENDENCYPART_ARC
(9,18),0.763239 # DEPENDENCYPART_ARC
(9,19),-0.695027 # DEPENDENCYPART_ARC
(9,20),1.62988 # DEPENDENCYPART_ARC
(10,1),-1.60187 # DEPENDENCYPART_ARC
(10,2),-1.75519 # DEPENDENCYPART_ARC
(10,3),-0.993342 # DEPENDENCYPART_ARC
(10,4),0.133357 # DEPENDENCYPART_ARC
(10,5),-1.31683 # DEPENDENCYPART_ARC
(10,6),-0.318178 # DEPENDENCYPART_ARC
(10,7),-0.655344 # DEPENDENCYPART_ARC
(10,8),-0.854388 # DEPENDENCYPART_ARC
(10,9),-0.0988655 # DEPENDENCYPART_ARC
(10,11),4.22083 # DEPENDENCYPART_ARC
(10,12),0.643718 # DEPENDENCYPART_ARC
(10,13),0.419426 # DEPENDENCYPART_ARC
(10,14),0.525107 # DEPENDENCYPART_ARC
(10,15),-0.525556 # DEPENDENCYPART_ARC
(10,16),-1.29686 # DEPENDENCYPART_ARC
(10,17),-0.766895 # DEPENDENCYPART_ARC
(10,18),-0.435678 # DEPENDENCYPART_ARC
(10,19),-2.58112 # DEPENDENCYPART_ARC
(10,20),0.362811 # DEPENDENCYPART_ARC
(11,1),-3.12967 # DEPENDENCYPART_ARC
(11,2),-3.60711 # DEPENDENCYPART_ARC
(11,3),-2.99452 # DEPENDENCYPART_ARC
(11,4),-2.31083 # DEPENDENCYPART_ARC
(11,5),-2.70633 # DEPENDENCYPART_ARC
(11,6),-0.42408 # DEPENDENCYPART_ARC
(11,7),0.377693 # DEPENDENCYPART_ARC
(11,8),-0.00651826 # DEPENDENCYPART_ARC
(11,9),-1.06554 # DEPENDENCYPART_ARC
(11,10),0.0673461 # DEPENDENCYPART_ARC
(11,12),-0.120446 # DEPENDENCYPART_ARC
(11,13),-0.411747 # DEPENDENCYPART_ARC
(11,14),-0.651124 # DEPENDENCYPART_ARC
(11,15),-1.29972 # DEPENDENCYPART_ARC
(11,16),-1.14801 # DEPENDENCYPART_ARC
(11,17),-2.43406 # DEPENDENCYPART_ARC
(11,18),-0.325565 # DEPENDENCYPART_ARC
(11,19),-2.77972 # DEPENDENCYPART_ARC
(11,20),-1.04094 # DEPENDENCYPART_ARC
(12,1),-2.43709 # DEPENDENCYPART_ARC
(12,2),-2.36858 # DEPENDENCYPART_ARC
(12,3),-0.813798 # DEPENDENCYPART_ARC
(12,4),-0.968552 # DEPENDENCYPART_ARC
(12,5),-1.45946 # DEPENDENCYPART_ARC
(12,6),-0.911061 # DEPENDENCYPART_ARC
(12,7),-1.84868 # DEPENDENCYPART_ARC
(12,8),-1.65491 # DEPENDENCYPART_ARC
(12,9),-0.918347 # DEPENDENCYPART_ARC
(12,10),-0.976034 # DEPENDENCYPART_ARC
(12,11),-0.769799 # DEPENDENCYPART_ARC
(12,13),-0.553483 # DEPENDENCYPART_ARC
(12,14),-1.68464 # DEPENDENCYPART_ARC
(12,15),-1.83459 # DEPENDENCYPART_ARC
(12,16),-2.23968 # DEPENDENCYPART_ARC
(12,17),-2.67859 # DEPENDENCYPART_ARC
(12,18),-2.11103 # DEPENDENCYPART_ARC
(12,19),-2.71456 # DEPENDENCYPART_ARC
(12,20),-2.19937 # DEPENDENCYPART_ARC
(13,1),0.882264 # DEPENDENCYPART_ARC
(13,2),1.15114 # DEPENDENCYPART_ARC
(13,3),0.0257289 # DEPENDENCYPART_ARC
(13,4),1.54353 # DEPENDENCYPART_ARC
(13,5),0.411269 # DEPENDENCYPART_ARC
(13,6),-0.155697 # DEPENDENCYPART_ARC
(13,7),1.36543 # DEPENDENCYPART_ARC
(13,8),1.01763 # DEPENDENCYPART_ARC
(13,9),0.931657 # DEPENDENCYPART_ARC
(13,10),0.376113 # DEPENDENCYPART_ARC
(13,11),1.369 # DEPENDENCYPART_ARC
(13,12),1.32134 # DEPENDENCYPART_ARC
(13,14),2.87547 # DEPENDENCYPART_ARC
(13,15),2.23518 # DEPENDENCYPART_ARC
(13,16),0.962677 # DEPENDENCYPART_ARC
(13,17),2.11086 # DEPENDENCYPART_ARC
(13,18),1.34996 # DEPENDENCYPART_ARC
(13,19),0.211432 # DEPENDENCYPART_ARC
(13,20),5.94364 # DEPENDENCYPART_ARC
(14,1),-3.5342 # DEPENDENCYPART_ARC
(14,2),-4.38186 # DEPENDENCYPART_ARC
(14,3),-2.23219 # DEPENDENCYPART_ARC
(14,4),-1.16569 # DEPENDENCYPART_ARC
(14,5),-1.91965 # DEPENDENCYPART_ARC
(14,6),0.646688 # DEPENDENCYPART_ARC
(14,7),-0.437014 # DEPENDENCYPART_ARC
(14,8),-1.02117 # DEPENDENCYPART_ARC
(14,9),-1.33089 # DEPENDENCYPART_ARC
(14,10),-0.801078 # DEPENDENCYPART_ARC
(14,11),0.48776 # DEPENDENCYPART_ARC
(14,12),0.304863 # DEPENDENCYPART_ARC
(14,13),0.545079 # DEPENDENCYPART_ARC
(14,15),4.27251 # DEPENDENCYPART_ARC
(14,16),1.58495 # DEPENDENCYPART_ARC
(14,17),1.28927 # DEPENDENCYPART_ARC
(14,18),4.57418 # DEPENDENCYPART_ARC
(14,19),0.567065 # DEPENDENCYPART_ARC
(14,20),0.907223 # DEPENDENCYPART_ARC
(15,1),-1.7491 # DEPENDENCYPART_ARC
(15,2),-1.61212 # DEPENDENCYPART_ARC
(15,3),-2.33415 # DEPENDENCYPART_ARC
(15,4),-1.42462 # DEPENDENCYPART_ARC
(15,5),-1.47287 # DEPENDENCYPART_ARC
(15,6),-1.26259 # DEPENDENCYPART_ARC
(15,7),-0.978199 # DEPENDENCYPART_ARC
(15,8),-0.972178 # DEPENDENCYPART_ARC
(15,9),-1.24948 # DEPENDENCYPART_ARC
(15,10),-1.1823 # DEPENDENCYPART_ARC
(15,11),-0.474648 # DEPENDENCYPART_ARC
(15,12),-0.977039 # DEPENDENCYPART_ARC
(15,13),-0.758241 # DEPENDENCYPART_ARC
(15,14),-0.0875656 # DEPENDENCYPART_ARC
(15,16),2.03032 # DEPENDENCYPART_ARC
(15,17),3.69054 # DEPENDENCYPART_ARC
(15,18),1.37011 # DEPENDENCYPART_ARC
(15,19),0.581138 # DEPENDENCYPART_ARC
(15,20),0.652097 # DEPENDENCYPART_ARC
(16,1),-2.68223 # DEPENDENCYPART_ARC
(16,2),-3.29376 # DEPENDENCYPART_ARC
(16,3),-2.52644 # DEPENDENCYPART_ARC
(16,4),-2.19409 # DEPENDENCYPART_ARC
(16,5),-3.47981 # DEPENDENCYPART_ARC
(16,6),-1.7956 # DEPENDENCYPART_ARC
(16,7),-1.94633 # DEPENDENCYPART_ARC
(16,8),-2.68206 # DEPENDENCYPART_ARC
(16,9),-2.41223 # DEPENDENCYPART_ARC
(16,10),-2.39125 # DEPENDENCYPART_ARC
(16,11),-1.72938 # DEPENDENCYPART_ARC
(16,12),-1.58173 # DEPENDENCYPART_ARC
(16,13),-1.87387 # DEPENDENCYPART_ARC
(16,14),-1.10719 # DEPENDENCYPART_ARC
(16,15),-0.390086 # DEPENDENCYPART_ARC
(16,17),1.22654 # DEPENDENCYPART_ARC
(16,18),0.0987306 # DEPENDENCYPART_ARC
(16,19),-0.636823 # DEPENDENCYPART_ARC
(16,20),-0.37787 # DEPENDENCYPART_ARC
(17,1),-3.73477 # DEPENDENCYPART_ARC
(17,2),-4.80182 # DEPENDENCYPART_ARC
(17,3),-2.50735 # DEPENDENCYPART_ARC
(17,4),-0.91498 # DEPENDENCYPART_ARC
(17,5),-1.48208 # DEPENDENCYPART_ARC
(17,6),0.954706 # DEPENDENCYPART_ARC
(17,7),-0.330685 # DEPENDENCYPART_ARC
(17,8),-0.764897 # DEPENDENCYPART_ARC
(17,9),-1.37957 # DEPENDENCYPART_ARC
(17,10),-0.977365 # DEPENDENCYPART_ARC
(17,11),-0.80512 # DEPENDENCYPART_ARC
(17,12),-0.476926 # DEPENDENCYPART_ARC
(17,13),-0.00182177 # DEPENDENCYPART_ARC
(17,14),1.57779 # DEPENDENCYPART_ARC
(17,15),0.49103 # DEPENDENCYPART_ARC
(17,16),4.21878 # DEPENDENCYPART_ARC
(17,18),3.24167 # DEPENDENCYPART_ARC
(17,19),0.363234 # DEPENDENCYPART_ARC
(17,20),0.5521 # DEPENDENCYPART_ARC
(18,1),-2.21378 # DEPENDENCYPART_ARC
(18,2),-2.37102 # DEPENDENCYPART_ARC
(18,3),-2.16435 # DEPENDENCYPART_ARC
(18,4),-0.931062 # DEPENDENCYPART_ARC
(18,5),-2.11881 # DEPENDENCYPART_ARC
(18,6),-1.39937 # DEPENDENCYPART_ARC
(18,7),-1.65111 # DEPENDENCYPART_ARC
(18,8),-1.43476 # DEPENDENCYPART_ARC
(18,9),-1.35221 # DEPENDENCYPART_ARC
(18,10),-0.94658 # DEPENDENCYPART_ARC
(18,11),-0.997237 # DEPENDENCYPART_ARC
(18,12),-1.0098 # DEPENDENCYPART_ARC
(18,13),-1.00146 # DEPENDENCYPART_ARC
(18,14),0.107746 # DEPENDENCYPART_ARC
(18,15),-0.665078 # DEPENDENCYPART_ARC
(18,16),-0.322868 # DEPENDENCYPART_ARC
(18,17),0.108353 # DEPENDENCYPART_ARC
(18,19),3.66273 # DEPENDENCYPART_ARC
(18,20),-0.260546 # DEPENDENCYPART_ARC
(19,1),-6.10778 # DEPENDENCYPART_ARC
(19,2),-6.60131 # DEPENDENCYPART_ARC
(19,3),-3.1625 # DEPENDENCYPART_ARC
(19,4),-2.76654 # DEPENDENCYPART_ARC
(19,5),-3.06763 # DEPENDENCYPART_ARC
(19,6),-0.930638 # DEPENDENCYPART_ARC
(19,7),-3.54778 # DEPENDENCYPART_ARC
(19,8),-3.95981 # DEPENDENCYPART_ARC
(19,9),-3.10592 # DEPENDENCYPART_ARC
(19,10),-1.64498 # DEPENDENCYPART_ARC
(19,11),-2.7962 # DEPENDENCYPART_ARC
(19,12),-1.21642 # DEPENDENCYPART_ARC
(19,13),-1.85608 # DEPENDENCYPART_ARC
(19,14),-0.50417 # DEPENDENCYPART_ARC
(19,15),-1.51324 # DEPENDENCYPART_ARC
(19,16),1.39321 # DEPENDENCYPART_ARC
(19,17),-0.00318057 # DEPENDENCYPART_ARC
(19,18),1.51484 # DEPENDENCYPART_ARC
(19,20),0.272005 # DEPENDENCYPART_ARC
(20,1),-1.96934 # DEPENDENCYPART_ARC
(20,2),-2.33903 # DEPENDENCYPART_ARC
(20,3),-1.35028 # DEPENDENCYPART_ARC
(20,4),-1.10305 # DEPENDENCYPART_ARC
(20,5),-1.7226 # DEPENDENCYPART_ARC
(20,6),-1.42872 # DEPENDENCYPART_ARC
(20,7),-1.64277 # DEPENDENCYPART_ARC
(20,8),-1.61473 # DEPENDENCYPART_ARC
(20,9),-1.50773 # DEPENDENCYPART_ARC
(20,10),-1.64843 # DEPENDENCYPART_ARC
(20,11),-1.6093 # DEPENDENCYPART_ARC
(20,12),-0.514547 # DEPENDENCYPART_ARC
(20,13),-0.694334 # DEPENDENCYPART_ARC
(20,14),-1.25957 # DEPENDENCYPART_ARC
(20,15),-1.31857 # DEPENDENCYPART_ARC
(20,16),-1.18935 # DEPENDENCYPART_ARC
(20,17),-0.760771 # DEPENDENCYPART_ARC
(20,18),-1.0972 # DEPENDENCYPART_ARC
(20,19),-0.87778 # DEPENDENCYPART_ARC
