# _root_ United Biscuits ( Holdings ) PLC , a British food producer , announced the creation of a European group to bring together its trading interests in the region .
#goldHeads=6,6,6,6,6,13,6,11,11,11,6,6,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
#predictedHeads=2,6,4,6,4,13,2,11,11,11,2,2,0,15,13,15,19,19,16,19,20,21,25,25,21,25,28,26,13,
(4,26),-3.71901 # DEPENDENCYPART_ARC
(4,27),-2.34835 # DEPENDENCYPART_ARC
(4,28),-5.10853 # DEPENDENCYPART_ARC
(4,29),-1.20918 # DEPENDENCYPART_ARC
(5,1),-1.84469 # DEPENDENCYPART_ARC
(5,2),-1.53279 # DEPENDENCYPART_ARC
(5,3),-0.270421 # DEPENDENCYPART_ARC
(5,4),-0.761413 # DEPENDENCYPART_ARC
(5,6),-0.754749 # DEPENDENCYPART_ARC
(5,7),-1.11432 # DEPENDENCYPART_ARC
(5,8),-1.89797 # DEPENDENCYPART_ARC
(5,9),-1.78283 # DEPENDENCYPART_ARC
(5,10),-1.78207 # DEPENDENCYPART_ARC
(5,11),-2.0594 # DEPENDENCYPART_ARC
(5,12),-1.50056 # DEPENDENCYPART_ARC
(5,13),-1.90458 # DEPENDENCYPART_ARC
(5,14),-2.66482 # DEPENDENCYPART_ARC
(5,15),-2.49305 # DEPENDENCYPART_ARC
(5,16),-2.61213 # DEPENDENCYPART_ARC
(5,17),-3.05406 # DEPENDENCYPART_ARC
(5,18),-3.01322 # DEPENDENCYPART_ARC
(5,19),-2.89043 # DEPENDENCYPART_ARC
(5,20),-2.87748 # DEPENDENCYPART_ARC
(5,21),-3.04501 # DEPENDENCYPART_ARC
(5,22),-3.29574 # DEPENDENCYPART_ARC
(5,23),-3.75347 # DEPENDENCYPART_ARC
(5,24),-3.40471 # DEPENDENCYPART_ARC
(5,25),-3.61987 # DEPENDENCYPART_ARC
(5,26),-3.73486 # DEPENDENCYPART_ARC
(5,27),-4.0138 # DEPENDENCYPART_ARC
(5,28),-3.75911 # DEPENDENCYPART_ARC
(5,29),-2.94933 # DEPENDENCYPART_ARC
(6,1),3.88203 # DEPENDENCYPART_ARC
(6,2),3.26537 # DEPENDENCYPART_ARC
(6,3),2.83346 # DEPENDENCYPART_ARC
(6,4),4.28875 # DEPENDENCYPART_ARC
(6,5),2.26259 # DEPENDENCYPART_ARC
(6,7),3.07715 # DEPENDENCYPART_ARC
(6,8),1.00761 # DEPENDENCYPART_ARC
(6,9),1.3163 # DEPENDENCYPART_ARC
(6,10),1.86771 # DEPENDENCYPART_ARC
(6,11),2.17082 # DEPENDENCYPART_ARC
(6,12),3.21911 # DEPENDENCYPART_ARC
(6,13),0.774886 # DEPENDENCYPART_ARC
(6,14),0.149178 # DEPENDENCYPART_ARC
(6,15),-0.253807 # DEPENDENCYPART_ARC
(6,16),-0.860917 # DEPENDENCYPART_ARC
(6,17),-0.294331 # DEPENDENCYPART_ARC
(6,18),-0.457375 # DEPENDENCYPART_ARC
(6,19),-0.261412 # DEPENDENCYPART_ARC
(6,20),-0.52898 # DEPENDENCYPART_ARC
(6,21),-1.08014 # DEPENDENCYPART_ARC
(6,22),-1.24598 # DEPENDENCYPART_ARC
(6,23),-1.25795 # DEPENDENCYPART_ARC
(6,24),-2.57431 # DEPENDENCYPART_ARC
(6,25),-1.07474 # DEPENDENCYPART_ARC
(6,26),-2.51421 # DEPENDENCYPART_ARC
(6,27),-1.3679 # DEPENDENCYPART_ARC
(6,28),-4.0983 # DEPENDENCYPART_ARC
(6,29),0.0416614 # DEPENDENCYPART_ARC
(7,1),-2.15504 # DEPENDENCYPART_ARC
(7,2),-2.27777 # DEPENDENCYPART_ARC
(7,3),-0.518207 # DEPENDENCYPART_ARC
(7,4),-1.66462 # DEPENDENCYPART_ARC
(7,5),-1.54576 # DEPENDENCYPART_ARC
(7,6),-1.16115 # DEPENDENCYPART_ARC
(7,8),-0.344344 # DEPENDENCYPART_ARC
(7,9),-0.73691 # DEPENDENCYPART_ARC
(7,10),-1.47807 # DEPENDENCYPART_ARC
(7,11),-1.69134 # DEPENDENCYPART_ARC
(7,12),-0.159657 # DEPENDENCYPART_ARC
(7,13),-1.25742 # DEPENDENCYPART_ARC
(7,14),-1.86105 # DEPENDENCYPART_ARC
(7,15),-2.6194 # DEPENDENCYPART_ARC
(7,16),-1.48008 # DEPENDENCYPART_ARC
(7,17),-2.16424 # DEPENDENCYPART_ARC
(7,18),-2.41711 # DEPENDENCYPART_ARC
(7,19),-3.01586 # DEPENDENCYPART_ARC
(7,20),-2.30068 # DEPENDENCYPART_ARC
(7,21),-2.16554 # DEPENDENCYPART_ARC
(7,22),-2.56922 # DEPENDENCYPART_ARC
(7,23),-2.98033 # DEPENDENCYPART_ARC
(7,24),-3.45174 # DEPENDENCYPART_ARC
(7,25),-3.37556 # DEPENDENCYPART_ARC
(7,26),-2.43994 # DEPENDENCYPART_ARC
(7,27),-3.23642 # DEPENDENCYPART_ARC
(7,28),-3.92363 # DEPENDENCYPART_ARC
(7,29),-2.76058 # DEPENDENCYPART_ARC
(8,1),-1.58458 # DEPENDENCYPART_ARC
(8,2),-1.53109 # DEPENDENCYPART_ARC
(8,3),-0.68883 # DEPENDENCYPART_ARC
(8,4),-1.23722 # DEPENDENCYPART_ARC
(8,5),-1.03147 # DEPENDENCYPART_ARC
(8,6),-0.859379 # DEPENDENCYPART_ARC
(8,7),0.0369989 # DEPENDENCYPART_ARC
(8,9),0.632478 # DEPENDENCYPART_ARC
(8,10),0.251334 # DEPENDENCYPART_ARC
(8,11),0.0255947 # DEPENDENCYPART_ARC
(8,12),-0.430199 # DEPENDENCYPART_ARC
(8,13),-0.189544 # DEPENDENCYPART_ARC
(8,14),-1.28769 # DEPENDENCYPART_ARC
(8,15),-0.843101 # DEPENDENCYPART_ARC
(8,16),-0.599977 # DEPENDENCYPART_ARC
(8,17),-1.61704 # DEPENDENCYPART_ARC
(8,18),-1.47515 # DEPENDENCYPART_ARC
(8,19),-1.41227 # DEPENDENCYPART_ARC
(8,20),-1.51263 # DEPENDENCYPART_ARC
(8,21),-1.95754 # DEPENDENCYPART_ARC
(8,22),-1.67477 # DEPENDENCYPART_ARC
(8,23),-2.25622 # DEPENDENCYPART_ARC
(8,24),-1.91721 # DEPENDENCYPART_ARC
(8,25),-1.91069 # DEPENDENCYPART_ARC
(8,26),-3.15617 # DEPENDENCYPART_ARC
(8,27),-2.89696 # DEPENDENCYPART_ARC
(8,28),-2.32241 # DEPENDENCYPART_ARC
(8,29),-1.08498 # DEPENDENCYPART_ARC
(9,1),-1.32005 # DEPENDENCYPART_ARC
(9,2),-1.90357 # DEPENDENCYPART_ARC
(9,3),-1.05283 # DEPENDENCYPART_ARC
(9,4),-1.17743 # DEPENDENCYPART_ARC
(9,5),-1.57716 # DEPENDENCYPART_ARC
(9,6),-0.838656 # DEPENDENCYPART_ARC
(9,7),-0.489291 # DEPENDENCYPART_ARC
(9,8),1.02039 # DEPENDENCYPART_ARC
(9,10),1.59806 # DEPENDENCYPART_ARC
(9,11),0.704597 # DEPENDENCYPART_ARC
(9,12),0.601281 # DEPENDENCYPART_ARC
(9,13),0.297477 # DEPENDENCYPART_ARC
(9,14),-0.800657 # DEPENDENCYPART_ARC
(9,15),-0.600927 # DEPENDENCYPART_ARC
(9,16),-0.821267 # DEPENDENCYPART_ARC
(9,17),-1.19859 # DEPENDENCYPART_ARC
(9,18),-0.567507 # DEPENDENCYPART_ARC
(9,19),-0.676502 # DEPENDENCYPART_ARC
(9,20),-0.896102 # DEPENDENCYPART_ARC
(9,21),-1.34187 # DEPENDENCYPART_ARC
(9,22),-1.31508 # DEPENDENCYPART_ARC
(9,23),-1.84327 # DEPENDENCYPART_ARC
(9,24),-1.64522 # DEPENDENCYPART_ARC
(9,25),-1.28689 # DEPENDENCYPART_ARC
(9,26),-2.23917 # DEPENDENCYPART_ARC
(9,27),-2.52688 # DEPENDENCYPART_ARC
(9,28),-2.19601 # DEPENDENCYPART_ARC
(9,29),-0.591695 # DEPENDENCYPART_ARC
(10,1),-2.18233 # DEPENDENCYPART_ARC
(10,2),-2.55043 # DEPENDENCYPART_ARC
(10,3),-1.24191 # DEPENDENCYPART_ARC
(10,4),-2.21882 # DEPENDENCYPART_ARC
(10,5),-2.31368 # DEPENDENCYPART_ARC
(10,6),-2.29701 # DEPENDENCYPART_ARC
(10,7),-1.04867 # DEPENDENCYPART_ARC
(10,8),2.15172 # DEPENDENCYPART_ARC
(10,9),2.05176 # DEPENDENCYPART_ARC
(10,11),0.928952 # DEPENDENCYPART_ARC
(10,12),0.544744 # DEPENDENCYPART_ARC
(10,13),0.340937 # DEPENDENCYPART_ARC
(10,14),-0.907173 # DEPENDENCYPART_ARC
(10,15),-0.84325 # DEPENDENCYPART_ARC
(10,16),-0.55146 # DEPENDENCYPART_ARC
(10,17),-0.960342 # DEPENDENCYPART_ARC
(10,18),-1.3873 # DEPENDENCYPART_ARC
(10,19),-1.54093 # DEPENDENCYPART_ARC
(10,20),-0.929707 # DEPENDENCYPART_ARC
(10,21),-1.32412 # DEPENDENCYPART_ARC
(10,22),-1.53264 # DEPENDENCYPART_ARC
(10,23),-2.63921 # DEPENDENCYPART_ARC
(10,24),-2.2608 # DEPENDENCYPART_ARC
(10,25),-1.30069 # DEPENDENCYPART_ARC
(10,26),-3.13301 # DEPENDENCYPART_ARC
(10,27),-1.94271 # DEPENDENCYPART_ARC
(10,28),-2.42543 # DEPENDENCYPART_ARC
(10,29),-0.214018 # DEPENDENCYPART_ARC
(11,1),0.827691 # DEPENDENCYPART_ARC
(11,2),0.153387 # DEPENDENCYPART_ARC
(11,3),0.898893 # DEPENDENCYPART_ARC
(11,4),0.674567 # DEPENDENCYPART_ARC
(11,5),-0.226445 # DEPENDENCYPART_ARC
(11,6),0.70986 # DEPENDENCYPART_ARC
(11,7),1.23407 # DEPENDENCYPART_ARC
(11,8),4.5381 # DEPENDENCYPART_ARC
(11,9),4.33555 # DEPENDENCYPART_ARC
(11,10),4.29226 # DEPENDENCYPART_ARC
(11,12),1.82359 # DEPENDENCYPART_ARC
(11,13),0.774474 # DEPENDENCYPART_ARC
(11,14),-0.475608 # DEPENDENCYPART_ARC
(11,15),-0.0571686 # DEPENDENCYPART_ARC
(11,16),0.440915 # DEPENDENCYPART_ARC
(11,17),-0.569531 # DEPENDENCYPART_ARC
(11,18),-0.626704 # DEPENDENCYPART_ARC
(11,19),-0.755706 # DEPENDENCYPART_ARC
(11,20),-0.975915 # DEPENDENCYPART_ARC
(11,21),-0.683918 # DEPENDENCYPART_ARC
(11,22),-0.974972 # DEPENDENCYPART_ARC
(11,23),-1.99711 # DEPENDENCYPART_ARC
(11,24),-1.36766 # DEPENDENCYPART_ARC
(11,25),-0.528051 # DEPENDENCYPART_ARC
(11,26),-1.62084 # DEPENDENCYPART_ARC
(11,27),-1.68985 # DEPENDENCYPART_ARC
(11,28),-1.87642 # DEPENDENCYPART_ARC
(11,29),0.726991 # DEPENDENCYPART_ARC
(12,1),-2.4343 # DEPENDENCYPART_ARC
(12,2),-2.23807 # DEPENDENCYPART_ARC
(12,3),-0.265803 # DEPENDENCYPART_ARC
(12,4),-2.04316 # DEPENDENCYPART_ARC
(12,5),-1.8562 # DEPENDENCYPART_ARC
(12,6),-1.81346 # DEPENDENCYPART_ARC
(12,7),-0.215923 # DEPENDENCYPART_ARC
(12,8),-0.857881 # DEPENDENCYPART_ARC
(12,9),-0.982342 # DEPENDENCYPART_ARC
(12,10),-1.44235 # DEPENDENCYPART_ARC
(12,11),-0.793514 # DEPENDENCYPART_ARC
(12,13),0.410772 # DEPENDENCYPART_ARC
(12,14),-0.838622 # DEPENDENCYPART_ARC
(12,15),-1.2328 # DEPENDENCYPART_ARC
(12,16),-1.0278 # DEPENDENCYPART_ARC
(12,17),-1.60423 # DEPENDENCYPART_ARC
(12,18),-1.69188 # DEPENDENCYPART_ARC
(12,19),-2.15109 # DEPENDENCYPART_ARC
(12,20),-1.63026 # DEPENDENCYPART_ARC
(12,21),-1.58465 # DEPENDENCYPART_ARC
(12,22),-1.93676 # DEPENDENCYPART_ARC
(12,23),-2.35579 # DEPENDENCYPART_ARC
(12,24),-2.6443 # DEPENDENCYPART_ARC
(12,25),-2.65989 # DEPENDENCYPART_ARC
(12,26),-1.99484 # DEPENDENCYPART_ARC
(12,27),-2.57816 # DEPENDENCYPART_ARC
(12,28),-3.099 # DEPENDENCYPART_ARC
(12,29),-2.15529 # DEPENDENCYPART_ARC
(13,1),1.55496 # DEPENDENCYPART_ARC
(13,2),1.65525 # DEPENDENCYPART_ARC
(13,3),1.56663 # DEPENDENCYPART_ARC
(13,4),1.41225 # DEPENDENCYPART_ARC
(13,5),-0.54933 # DEPENDENCYPART_ARC
(13,6),1.8708 # DEPENDENCYPART_ARC
(13,7),1.91977 # DEPENDENCYPART_ARC
(13,8),0.405536 # DEPENDENCYPART_ARC
(13,9),0.903093 # DEPENDENCYPART_ARC
(13,10),1.70919 # DEPENDENCYPART_ARC
(13,11),1.44368 # DEPENDENCYPART_ARC
(13,12),2.22336 # DEPENDENCYPART_ARC
(13,14),1.25819 # DEPENDENCYPART_ARC
(13,15),3.06354 # DEPENDENCYPART_ARC
(13,16),1.45861 # DEPENDENCYPART_ARC
(13,17),0.0999747 # DEPENDENCYPART_ARC
(13,18),0.058395 # DEPENDENCYPART_ARC
(13,19),1.47317 # DEPENDENCYPART_ARC
(13,20),0.253302 # DEPENDENCYPART_ARC
(13,21),0.318748 # DEPENDENCYPART_ARC
(13,22),0.658391 # DEPENDENCYPART_ARC
(13,23),-0.84067 # DEPENDENCYPART_ARC
(13,24),-0.23513 # DEPENDENCYPART_ARC
(13,25),-0.487733 # DEPENDENCYPART_ARC
(13,26),0.601349 # DEPENDENCYPART_ARC
(13,27),-1.209 # DEPENDENCYPART_ARC
(13,28),-0.213608 # DEPENDENCYPART_ARC
(13,29),6.1127 # DEPENDENCYPART_ARC
(14,1),-3.07844 # DEPENDENCYPART_ARC
(14,2),-3.00091 # DEPENDENCYPART_ARC
(14,3),-2.08193 # DEPENDENCYPART_ARC
(14,4),-2.61744 # DEPENDENCYPART_ARC
(14,5),-2.64258 # DEPENDENCYPART_ARC
(14,6),-2.44141 # DEPENDENCYPART_ARC
(14,7),-2.19685 # DEPENDENCYPART_ARC
(14,8),-1.52646 # DEPENDENCYPART_ARC
(14,9),-1.82416 # DEPENDENCYPART_ARC
(14,10),-1.95262 # DEPENDENCYPART_ARC
(14,11),-1.63235 # DEPENDENCYPART_ARC
(14,12),-1.081 # DEPENDENCYPART_ARC
(14,13),-0.679114 # DEPENDENCYPART_ARC
(14,15),0.0216689 # DEPENDENCYPART_ARC
(14,16),-0.386171 # DEPENDENCYPART_ARC
(14,17),-1.68423 # DEPENDENCYPART_ARC
(14,18),-1.38818 # DEPENDENCYPART_ARC
(14,19),-1.324 # DEPENDENCYPART_ARC
(14,20),-1.41435 # DEPENDENCYPART_ARC
(14,21),-1.80238 # DEPENDENCYPART_ARC
(14,22),-1.75247 # DEPENDENCYPART_ARC
(14,23),-2.35698 # DEPENDENCYPART_ARC
(14,24),-1.97796 # DEPENDENCYPART_ARC
(14,25),-2.13303 # DEPENDENCYPART_ARC
(14,26),-3.0927 # DEPENDENCYPART_ARC
(14,27),-3.06397 # DEPENDENCYPART_ARC
(14,28),-2.50601 # DEPENDENCYPART_ARC
(14,29),-1.63727 # DEPENDENCYPART_ARC
(15,1),-4.5138 # DEPENDENCYPART_ARC
(15,2),-4.52127 # DEPENDENCYPART_ARC
(15,3),-0.578893 # DEPENDENCYPART_ARC
(15,4),-4.38801 # DEPENDENCYPART_ARC
(15,5),-2.0665 # DEPENDENCYPART_ARC
(15,6),-4.68339 # DEPENDENCYPART_ARC
(15,7),-1.25717 # DEPENDENCYPART_ARC
(15,8),0.345236 # DEPENDENCYPART_ARC
(15,9),0.0650156 # DEPENDENCYPART_ARC
(15,10),-0.502999 # DEPENDENCYPART_ARC
(15,11),-1.75926 # DEPENDENCYPART_ARC
(15,12),0.0435225 # DEPENDENCYPART_ARC
(15,13),0.0962029 # DEPENDENCYPART_ARC
(15,14),4.31999 # DEPENDENCYPART_ARC
(15,16),3.39442 # DEPENDENCYPART_ARC
(15,17),0.566556 # DEPENDENCYPART_ARC
(15,18),0.568954 # DEPENDENCYPART_ARC
(15,19),0.684697 # DEPENDENCYPART_ARC
(15,20),1.13977 # DEPENDENCYPART_ARC
(15,21),0.39089 # DEPENDENCYPART_ARC
(15,22),0.146829 # DEPENDENCYPART_ARC
(15,23),-0.988673 # DEPENDENCYPART_ARC
(15,24),0.0824736 # DEPENDENCYPART_ARC
(15,25),0.316667 # DEPENDENCYPART_ARC
(15,26),0.274312 # DEPENDENCYPART_ARC
(15,27),-0.698982 # DEPENDENCYPART_ARC
(15,28),-0.318199 # DEPENDENCYPART_ARC
(15,29),1.01978 # DEPENDENCYPART_ARC
(16,1),-2.37491 # DEPENDENCYPART_ARC
(16,2),-2.44725 # DEPENDENCYPART_ARC
(16,3),-0.999191 # DEPENDENCYPART_ARC
(16,4),-2.19381 # DEPENDENCYPART_ARC
(16,5),-2.39939 # DEPENDENCYPART_ARC
(16,6),-1.77519 # DEPENDENCYPART_ARC
(16,7),-2.06558 # DEPENDENCYPART_ARC
(16,8),-1.65118 # DEPENDENCYPART_ARC
(16,9),-1.56688 # DEPENDENCYPART_ARC
(16,10),-1.83343 # DEPENDENCYPART_ARC
(16,11),-2.00474 # DEPENDENCYPART_ARC
(16,12),-1.14192 # DEPENDENCYPART_ARC
(16,13),-0.98445 # DEPENDENCYPART_ARC
(16,14),-0.421489 # DEPENDENCYPART_ARC
(16,15),0.344064 # DEPENDENCYPART_ARC
(16,17),0.969763 # DEPENDENCYPART_ARC
(16,18),1.3198 # DEPENDENCYPART_ARC
(16,19),3.235 # DEPENDENCYPART_ARC
(16,20),0.127464 # DEPENDENCYPART_ARC
(16,21),0.0766622 # DEPENDENCYPART_ARC
(16,22),-0.536424 # DEPENDENCYPART_ARC
(16,23),-0.637073 # DEPENDENCYPART_ARC
(16,24),-0.203773 # DEPENDENCYPART_ARC
(16,25),0.590082 # DEPENDENCYPART_ARC
(16,26),-0.449283 # DEPENDENCYPART_ARC
(16,27),-2.37817 # DEPENDENCYPART_ARC
(16,28),-2.26082 # DEPENDENCYPART_ARC
(16,29),-0.75734 # DEPENDENCYPART_ARC
(17,1),-3.03348 # DEPENDENCYPART_ARC
(17,2),-3.02134 # DEPENDENCYPART_ARC
(17,3),-2.30893 # DEPENDENCYPART_ARC
(17,4),-2.87339 # DEPENDENCYPART_ARC
(17,5),-2.90595 # DEPENDENCYPART_ARC
(17,6),-2.7993 # DEPENDENCYPART_ARC
(17,7),-2.48122 # DEPENDENCYPART_ARC
(17,8),-1.68882 # DEPENDENCYPART_ARC
(17,9),-2.24667 # DEPENDENCYPART_ARC
(17,10),-2.49695 # DEPENDENCYPART_ARC
(17,11),-2.3795 # DEPENDENCYPART_ARC
(17,12),-1.73479 # DEPENDENCYPART_ARC
(17,13),-1.75048 # DEPENDENCYPART_ARC
(17,14),-0.387775 # DEPENDENCYPART_ARC
(17,15),-1.52837 # DEPENDENCYPART_ARC
(17,16),-0.171155 # DEPENDENCYPART_ARC
(17,18),0.472125 # DEPENDENCYPART_ARC
(17,19),-0.112532 # DEPENDENCYPART_ARC
(17,20),-0.683331 # DEPENDENCYPART_ARC
(17,21),-0.904219 # DEPENDENCYPART_ARC
(17,22),-1.25008 # DEPENDENCYPART_ARC
(17,23),-1.75631 # DEPENDENCYPART_ARC
(17,24),-1.29925 # DEPENDENCYPART_ARC
(17,25),-1.44682 # DEPENDENCYPART_ARC
(17,26),-2.05103 # DEPENDENCYPART_ARC
(17,27),-2.26247 # DEPENDENCYPART_ARC
(17,28),-1.68686 # DEPENDENCYPART_ARC
(17,29),-1.26076 # DEPENDENCYPART_ARC
(18,1),-2.4607 # DEPENDENCYPART_ARC
(18,2),-3.09498 # DEPENDENCYPART_ARC
(18,3),-1.37295 # DEPENDENCYPART_ARC
(18,4),-2.64811 # DEPENDENCYPART_ARC
