# _root_ `` We hope the trend lasts , '' says Laurie DiCara , Ilford 's marketing communications director .
#goldHeads=3,3,9,5,6,3,3,3,0,11,9,11,17,13,17,17,11,9,
#predictedHeads=9,3,9,5,6,3,9,9,0,11,9,11,17,13,17,17,11,9,
(3,4),1.28787 # DEPENDENCYPART_ARC
(3,5),1.77581 # DEPENDENCYPART_ARC
(3,6),2.35325 # DEPENDENCYPART_ARC
(3,7),1.68046 # DEPENDENCYPART_ARC
(3,8),1.37088 # DEPENDENCYPART_ARC
(3,9),0.967255 # DEPENDENCYPART_ARC
(3,10),0.15972 # DEPENDENCYPART_ARC
(3,11),0.867642 # DEPENDENCYPART_ARC
(3,12),0.437522 # DEPENDENCYPART_ARC
(3,13),-0.112408 # DEPENDENCYPART_ARC
(3,14),-0.356394 # DEPENDENCYPART_ARC
(3,15),-0.146405 # DEPENDENCYPART_ARC
(3,16),-0.0323893 # DEPENDENCYPART_ARC
(3,17),-0.0742654 # DEPENDENCYPART_ARC
(3,18),2.42055 # DEPENDENCYPART_ARC
(4,1),-1.64474 # DEPENDENCYPART_ARC
(4,2),-0.52236 # DEPENDENCYPART_ARC
(4,3),-0.945118 # DEPENDENCYPART_ARC
(4,5),-0.0277017 # DEPENDENCYPART_ARC
(4,6),0.515127 # DEPENDENCYPART_ARC
(4,7),-0.891206 # DEPENDENCYPART_ARC
(4,8),-1.25801 # DEPENDENCYPART_ARC
(4,9),-1.01032 # DEPENDENCYPART_ARC
(4,10),-2.0489 # DEPENDENCYPART_ARC
(4,11),-2.07148 # DEPENDENCYPART_ARC
(4,12),-1.25589 # DEPENDENCYPART_ARC
(4,13),-2.20409 # DEPENDENCYPART_ARC
(4,14),-2.62379 # DEPENDENCYPART_ARC
(4,15),-2.20213 # DEPENDENCYPART_ARC
(4,16),-2.70848 # DEPENDENCYPART_ARC
(4,17),-2.45596 # DEPENDENCYPART_ARC
(4,18),-2.34151 # DEPENDENCYPART_ARC
(5,1),-0.479194 # DEPENDENCYPART_ARC
(5,2),-0.271115 # DEPENDENCYPART_ARC
(5,3),-0.455739 # DEPENDENCYPART_ARC
(5,4),3.85011 # DEPENDENCYPART_ARC
(5,6),2.34707 # DEPENDENCYPART_ARC
(5,7),1.08068 # DEPENDENCYPART_ARC
(5,8),1.88869 # DEPENDENCYPART_ARC
(5,9),0.56182 # DEPENDENCYPART_ARC
(5,10),0.0256557 # DEPENDENCYPART_ARC
(5,11),0.176268 # DEPENDENCYPART_ARC
(5,12),0.256223 # DEPENDENCYPART_ARC
(5,13),-0.357204 # DEPENDENCYPART_ARC
(5,14),0.420645 # DEPENDENCYPART_ARC
(5,15),-0.470355 # DEPENDENCYPART_ARC
(5,16),-0.693329 # DEPENDENCYPART_ARC
(5,17),-0.469383 # DEPENDENCYPART_ARC
(5,18),0.284708 # DEPENDENCYPART_ARC
(6,1),1.65475 # DEPENDENCYPART_ARC
(6,2),0.475455 # DEPENDENCYPART_ARC
(6,3),1.31014 # DEPENDENCYPART_ARC
(6,4),0.977226 # DEPENDENCYPART_ARC
(6,5),3.82446 # DEPENDENCYPART_ARC
(6,7),1.62284 # DEPENDENCYPART_ARC
(6,8),1.19059 # DEPENDENCYPART_ARC
(6,9),0.991649 # DEPENDENCYPART_ARC
(6,10),0.127954 # DEPENDENCYPART_ARC
(6,11),0.570419 # DEPENDENCYPART_ARC
(6,12),0.521301 # DEPENDENCYPART_ARC
(6,13),-0.944004 # DEPENDENCYPART_ARC
(6,14),-0.350596 # DEPENDENCYPART_ARC
(6,15),-0.295827 # DEPENDENCYPART_ARC
(6,16),-0.600755 # DEPENDENCYPART_ARC
(6,17),-0.613314 # DEPENDENCYPART_ARC
(6,18),-0.011425 # DEPENDENCYPART_ARC
(7,1),-1.57113 # DEPENDENCYPART_ARC
(7,2),-2.00036 # DEPENDENCYPART_ARC
(7,3),-2.14852 # DEPENDENCYPART_ARC
(7,4),-0.850027 # DEPENDENCYPART_ARC
(7,5),-1.79242 # DEPENDENCYPART_ARC
(7,6),-0.830314 # DEPENDENCYPART_ARC
(7,8),0.420947 # DEPENDENCYPART_ARC
(7,9),0.0246573 # DEPENDENCYPART_ARC
(7,10),-0.523441 # DEPENDENCYPART_ARC
(7,11),-0.819766 # DEPENDENCYPART_ARC
(7,12),0.871709 # DEPENDENCYPART_ARC
(7,13),-1.41151 # DEPENDENCYPART_ARC
(7,14),-1.48241 # DEPENDENCYPART_ARC
(7,15),-1.82439 # DEPENDENCYPART_ARC
(7,16),-1.86498 # DEPENDENCYPART_ARC
(7,17),-2.03605 # DEPENDENCYPART_ARC
(7,18),-1.05403 # DEPENDENCYPART_ARC
(8,1),0.272677 # DEPENDENCYPART_ARC
(8,2),-1.59058 # DEPENDENCYPART_ARC
(8,3),-1.61551 # DEPENDENCYPART_ARC
(8,4),-0.18806 # DEPENDENCYPART_ARC
(8,5),-1.053 # DEPENDENCYPART_ARC
(8,6),-0.430821 # DEPENDENCYPART_ARC
(8,7),0.422909 # DEPENDENCYPART_ARC
(8,9),-0.103264 # DEPENDENCYPART_ARC
(8,10),-1.21019 # DEPENDENCYPART_ARC
(8,11),-1.56016 # DEPENDENCYPART_ARC
(8,12),-1.36041 # DEPENDENCYPART_ARC
(8,13),-1.99554 # DEPENDENCYPART_ARC
(8,14),-2.30346 # DEPENDENCYPART_ARC
(8,15),-2.27006 # DEPENDENCYPART_ARC
(8,16),-2.45854 # DEPENDENCYPART_ARC
(8,17),-2.49036 # DEPENDENCYPART_ARC
(8,18),-1.87626 # DEPENDENCYPART_ARC
(9,1),4.35514 # DEPENDENCYPART_ARC
(9,2),-1.16554 # DEPENDENCYPART_ARC
(9,3),1.15748 # DEPENDENCYPART_ARC
(9,4),-0.586103 # DEPENDENCYPART_ARC
(9,5),-0.342446 # DEPENDENCYPART_ARC
(9,6),0.9456 # DEPENDENCYPART_ARC
(9,7),3.38291 # DEPENDENCYPART_ARC
(9,8),3.81188 # DEPENDENCYPART_ARC
(9,10),1.69069 # DEPENDENCYPART_ARC
(9,11),2.91904 # DEPENDENCYPART_ARC
(9,12),1.26463 # DEPENDENCYPART_ARC
(9,13),0.740949 # DEPENDENCYPART_ARC
(9,14),0.479216 # DEPENDENCYPART_ARC
(9,15),0.402674 # DEPENDENCYPART_ARC
(9,16),-0.815773 # DEPENDENCYPART_ARC
(9,17),-0.422652 # DEPENDENCYPART_ARC
(9,18),6.7498 # DEPENDENCYPART_ARC
(10,1),-2.23558 # DEPENDENCYPART_ARC
(10,2),-2.7245 # DEPENDENCYPART_ARC
(10,3),-3.0152 # DEPENDENCYPART_ARC
(10,4),-1.66906 # DEPENDENCYPART_ARC
(10,5),-2.01004 # DEPENDENCYPART_ARC
(10,6),-2.09637 # DEPENDENCYPART_ARC
(10,7),-1.40204 # DEPENDENCYPART_ARC
(10,8),-0.845542 # DEPENDENCYPART_ARC
(10,9),-0.563656 # DEPENDENCYPART_ARC
(10,11),1.65424 # DEPENDENCYPART_ARC
(10,12),1.17315 # DEPENDENCYPART_ARC
(10,13),-0.184085 # DEPENDENCYPART_ARC
(10,14),0.080233 # DEPENDENCYPART_ARC
(10,15),0.47525 # DEPENDENCYPART_ARC
(10,16),-0.738531 # DEPENDENCYPART_ARC
(10,17),0.286446 # DEPENDENCYPART_ARC
(10,18),-0.563997 # DEPENDENCYPART_ARC
(11,1),-1.05003 # DEPENDENCYPART_ARC
(11,2),-1.65033 # DEPENDENCYPART_ARC
(11,3),-2.18246 # DEPENDENCYPART_ARC
(11,4),-0.321333 # DEPENDENCYPART_ARC
(11,5),-1.89469 # DEPENDENCYPART_ARC
(11,6),-1.41846 # DEPENDENCYPART_ARC
(11,7),-0.71107 # DEPENDENCYPART_ARC
(11,8),-0.393486 # DEPENDENCYPART_ARC
(11,9),-0.372706 # DEPENDENCYPART_ARC
(11,10),4.24647 # DEPENDENCYPART_ARC
(11,12),3.5454 # DEPENDENCYPART_ARC
(11,13),2.02449 # DEPENDENCYPART_ARC
(11,14),1.97699 # DEPENDENCYPART_ARC
(11,15),2.11814 # DEPENDENCYPART_ARC
(11,16),0.896844 # DEPENDENCYPART_ARC
(11,17),1.72309 # DEPENDENCYPART_ARC
(11,18),0.823086 # DEPENDENCYPART_ARC
(12,1),-2.04848 # DEPENDENCYPART_ARC
(12,2),-2.45477 # DEPENDENCYPART_ARC
(12,3),-2.53215 # DEPENDENCYPART_ARC
(12,4),-1.65407 # DEPENDENCYPART_ARC
(12,5),-1.91238 # DEPENDENCYPART_ARC
(12,6),-1.78658 # DEPENDENCYPART_ARC
(12,7),-0.758964 # DEPENDENCYPART_ARC
(12,8),-1.60263 # DEPENDENCYPART_ARC
(12,9),-1.38872 # DEPENDENCYPART_ARC
(12,10),-1.7197 # DEPENDENCYPART_ARC
(12,11),-1.18832 # DEPENDENCYPART_ARC
(12,13),-0.33253 # DEPENDENCYPART_ARC
(12,14),-0.723706 # DEPENDENCYPART_ARC
(12,15),-1.55872 # DEPENDENCYPART_ARC
(12,16),-1.71366 # DEPENDENCYPART_ARC
(12,17),-2.03583 # DEPENDENCYPART_ARC
(12,18),-1.42921 # DEPENDENCYPART_ARC
(13,1),-2.02057 # DEPENDENCYPART_ARC
(13,2),-2.4182 # DEPENDENCYPART_ARC
(13,3),-2.67503 # DEPENDENCYPART_ARC
(13,4),-0.975983 # DEPENDENCYPART_ARC
(13,5),-2.6236 # DEPENDENCYPART_ARC
(13,6),-2.4105 # DEPENDENCYPART_ARC
(13,7),-2.15158 # DEPENDENCYPART_ARC
(13,8),-1.34942 # DEPENDENCYPART_ARC
(13,9),-1.52186 # DEPENDENCYPART_ARC
(13,10),2.7561 # DEPENDENCYPART_ARC
(13,11),1.13896 # DEPENDENCYPART_ARC
(13,12),0.960517 # DEPENDENCYPART_ARC
(13,14),4.20724 # DEPENDENCYPART_ARC
(13,15),0.100119 # DEPENDENCYPART_ARC
(13,16),-0.612305 # DEPENDENCYPART_ARC
(13,17),-0.693881 # DEPENDENCYPART_ARC
(13,18),-0.860715 # DEPENDENCYPART_ARC
(14,1),-1.49951 # DEPENDENCYPART_ARC
(14,2),-1.49501 # DEPENDENCYPART_ARC
(14,3),-1.31825 # DEPENDENCYPART_ARC
(14,4),-0.604851 # DEPENDENCYPART_ARC
(14,5),-1.97091 # DEPENDENCYPART_ARC
(14,6),-1.16086 # DEPENDENCYPART_ARC
(14,7),-1.11256 # DEPENDENCYPART_ARC
(14,8),-0.862122 # DEPENDENCYPART_ARC
(14,9),-0.859247 # DEPENDENCYPART_ARC
(14,10),0.183461 # DEPENDENCYPART_ARC
(14,11),0.441125 # DEPENDENCYPART_ARC
(14,12),0.16486 # DEPENDENCYPART_ARC
(14,13),1.14166 # DEPENDENCYPART_ARC
(14,15),-0.442689 # DEPENDENCYPART_ARC
(14,16),-1.16448 # DEPENDENCYPART_ARC
(14,17),-1.56031 # DEPENDENCYPART_ARC
(14,18),-1.62792 # DEPENDENCYPART_ARC
(15,1),-1.69445 # DEPENDENCYPART_ARC
(15,2),-2.45306 # DEPENDENCYPART_ARC
(15,3),-2.91699 # DEPENDENCYPART_ARC
(15,4),-2.56063 # DEPENDENCYPART_ARC
(15,5),-2.06089 # DEPENDENCYPART_ARC
(15,6),-2.19395 # DEPENDENCYPART_ARC
(15,7),-0.909089 # DEPENDENCYPART_ARC
(15,8),-1.22575 # DEPENDENCYPART_ARC
(15,9),-1.79394 # DEPENDENCYPART_ARC
(15,10),0.675701 # DEPENDENCYPART_ARC
(15,11),-0.0482645 # DEPENDENCYPART_ARC
(15,12),0.0986168 # DEPENDENCYPART_ARC
(15,13),2.84493 # DEPENDENCYPART_ARC
(15,14),0.467132 # DEPENDENCYPART_ARC
(15,16),1.45742 # DEPENDENCYPART_ARC
(15,17),0.520454 # DEPENDENCYPART_ARC
(15,18),-0.228879 # DEPENDENCYPART_ARC
(16,1),-1.36122 # DEPENDENCYPART_ARC
(16,2),-2.84182 # DEPENDENCYPART_ARC
(16,3),-2.82547 # DEPENDENCYPART_ARC
(16,4),-1.73421 # DEPENDENCYPART_ARC
(16,5),-1.74197 # DEPENDENCYPART_ARC
(16,6),-2.15083 # DEPENDENCYPART_ARC
(16,7),-0.48264 # DEPENDENCYPART_ARC
(16,8),-0.937631 # DEPENDENCYPART_ARC
(16,9),-1.85268 # DEPENDENCYPART_ARC
(16,10),0.725563 # DEPENDENCYPART_ARC
(16,11),-0.245846 # DEPENDENCYPART_ARC
(16,12),-0.225128 # DEPENDENCYPART_ARC
(16,13),2.44092 # DEPENDENCYPART_ARC
(16,14),0.359531 # DEPENDENCYPART_ARC
(16,15),2.57401 # DEPENDENCYPART_ARC
(16,17),-0.054364 # DEPENDENCYPART_ARC
(16,18),-0.554628 # DEPENDENCYPART_ARC
(17,1),0.168632 # DEPENDENCYPART_ARC
(17,2),-0.500002 # DEPENDENCYPART_ARC
(17,3),-0.950778 # DEPENDENCYPART_ARC
(17,4),0.144306 # DEPENDENCYPART_ARC
(17,5),0.352386 # DEPENDENCYPART_ARC
(17,6),-0.16277 # DEPENDENCYPART_ARC
(17,7),0.725937 # DEPENDENCYPART_ARC
(17,8),0.897553 # DEPENDENCYPART_ARC
(17,9),0.330367 # DEPENDENCYPART_ARC
(17,10),2.31608 # DEPENDENCYPART_ARC
(17,11),1.54326 # DEPENDENCYPART_ARC
(17,12),0.988584 # DEPENDENCYPART_ARC
(17,13),4.96293 # DEPENDENCYPART_ARC
(17,14),1.88509 # DEPENDENCYPART_ARC
(17,15),4.34042 # DEPENDENCYPART_ARC
(17,16),4.17146 # DEPENDENCYPART_ARC
(17,18),0.327338 # DEPENDENCYPART_ARC
(18,1),-2.02193 # DEPENDENCYPART_ARC
(18,2),-1.69415 # DEPENDENCYPART_ARC
(18,3),-1.73035 # DEPENDENCYPART_ARC
(18,4),-1.82855 # DEPENDENCYPART_ARC
(18,5),-2.25557 # DEPENDENCYPART_ARC
(18,6),-1.17639 # DEPENDENCYPART_ARC
(18,7),-0.54329 # DEPENDENCYPART_ARC
(18,8),-1.63528 # DEPENDENCYPART_ARC
(18,9),-0.78935 # DEPENDENCYPART_ARC
(18,10),-1.23283 # DEPENDENCYPART_ARC
(18,11),-1.30851 # DEPENDENCYPART_ARC
(18,12),-0.187237 # DEPENDENCYPART_ARC
(18,13),-1.52677 # DEPENDENCYPART_ARC
(18,14),-1.26082 # DEPENDENCYPART_ARC
(18,15),-0.916551 # DEPENDENCYPART_ARC
(18,16),-1.61645 # DEPENDENCYPART_ARC
(18,17),-1.4658 # DEPENDENCYPART_ARC
