# _root_ New Jersey Turnpike Authority 's 7.20 % issue of 2018 was off 3\/4 at 98 1\/2 bid , yielding 7.32 % , up 0.07 percentage point from late Friday .
#goldHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
#predictedHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
(4,1),5.36769 # DEPENDENCYPART_ARC
(4,2),5.53998 # DEPENDENCYPART_ARC
(4,3),6.75593 # DEPENDENCYPART_ARC
(4,5),4.71651 # DEPENDENCYPART_ARC
(4,6),1.257 # DEPENDENCYPART_ARC
(4,7),0.57678 # DEPENDENCYPART_ARC
(4,8),0.713172 # DEPENDENCYPART_ARC
(4,9),1.07558 # DEPENDENCYPART_ARC
(4,10),-0.192043 # DEPENDENCYPART_ARC
(4,11),0.19072 # DEPENDENCYPART_ARC
(4,12),0.00195176 # DEPENDENCYPART_ARC
(4,13),-0.860345 # DEPENDENCYPART_ARC
(4,14),0.0569827 # DEPENDENCYPART_ARC
(4,15),-1.6832 # DEPENDENCYPART_ARC
(4,16),-2.24675 # DEPENDENCYPART_ARC
(4,17),-3.40817 # DEPENDENCYPART_ARC
(4,18),-0.858854 # DEPENDENCYPART_ARC
(4,19),-0.679482 # DEPENDENCYPART_ARC
(4,20),-2.65311 # DEPENDENCYPART_ARC
(4,21),-3.76124 # DEPENDENCYPART_ARC
(4,22),-0.844769 # DEPENDENCYPART_ARC
(4,23),-0.452848 # DEPENDENCYPART_ARC
(4,24),-3.22337 # DEPENDENCYPART_ARC
(4,25),-5.26412 # DEPENDENCYPART_ARC
(4,26),-5.14957 # DEPENDENCYPART_ARC
(4,27),-1.00401 # DEPENDENCYPART_ARC
(4,28),-1.62834 # DEPENDENCYPART_ARC
(4,29),-3.41289 # DEPENDENCYPART_ARC
(4,30),1.55441 # DEPENDENCYPART_ARC
(5,1),0.311257 # DEPENDENCYPART_ARC
(5,2),0.439765 # DEPENDENCYPART_ARC
(5,3),0.443051 # DEPENDENCYPART_ARC
(5,4),1.00182 # DEPENDENCYPART_ARC
(5,6),0.281522 # DEPENDENCYPART_ARC
(5,7),-0.320512 # DEPENDENCYPART_ARC
(5,8),-0.763873 # DEPENDENCYPART_ARC
(5,9),-1.23738 # DEPENDENCYPART_ARC
(5,10),-1.33647 # DEPENDENCYPART_ARC
(5,11),-0.739739 # DEPENDENCYPART_ARC
(5,12),-1.72484 # DEPENDENCYPART_ARC
(5,13),-1.98598 # DEPENDENCYPART_ARC
(5,14),-1.81999 # DEPENDENCYPART_ARC
(5,15),-2.18286 # DEPENDENCYPART_ARC
(5,16),-2.25642 # DEPENDENCYPART_ARC
(5,17),-2.1393 # DEPENDENCYPART_ARC
(5,18),-0.982885 # DEPENDENCYPART_ARC
(5,19),-2.09208 # DEPENDENCYPART_ARC
(5,20),-2.65432 # DEPENDENCYPART_ARC
(5,21),-2.6914 # DEPENDENCYPART_ARC
(5,22),-1.48714 # DEPENDENCYPART_ARC
(5,23),-2.25758 # DEPENDENCYPART_ARC
(5,24),-3.02049 # DEPENDENCYPART_ARC
(5,25),-2.99215 # DEPENDENCYPART_ARC
(5,26),-3.04525 # DEPENDENCYPART_ARC
(5,27),-4.99029 # DEPENDENCYPART_ARC
(5,28),-3.9174 # DEPENDENCYPART_ARC
(5,29),-3.72577 # DEPENDENCYPART_ARC
(5,30),-4.00548 # DEPENDENCYPART_ARC
(6,1),-0.164878 # DEPENDENCYPART_ARC
(6,2),0.049601 # DEPENDENCYPART_ARC
(6,3),0.412821 # DEPENDENCYPART_ARC
(6,4),0.995167 # DEPENDENCYPART_ARC
(6,5),1.10385 # DEPENDENCYPART_ARC
(6,7),1.87234 # DEPENDENCYPART_ARC
(6,8),0.144009 # DEPENDENCYPART_ARC
(6,9),0.216786 # DEPENDENCYPART_ARC
(6,10),-0.627947 # DEPENDENCYPART_ARC
(6,11),-0.729118 # DEPENDENCYPART_ARC
(6,12),-0.790216 # DEPENDENCYPART_ARC
(6,13),-1.1357 # DEPENDENCYPART_ARC
(6,14),-1.06399 # DEPENDENCYPART_ARC
(6,15),-1.2839 # DEPENDENCYPART_ARC
(6,16),-1.28745 # DEPENDENCYPART_ARC
(6,17),-1.73853 # DEPENDENCYPART_ARC
(6,18),-0.698794 # DEPENDENCYPART_ARC
(6,19),-1.22305 # DEPENDENCYPART_ARC
(6,20),-1.70745 # DEPENDENCYPART_ARC
(6,21),-2.99575 # DEPENDENCYPART_ARC
(6,22),-0.888889 # DEPENDENCYPART_ARC
(6,23),-1.66374 # DEPENDENCYPART_ARC
(6,24),-1.92568 # DEPENDENCYPART_ARC
(6,25),-2.93036 # DEPENDENCYPART_ARC
(6,26),-3.75251 # DEPENDENCYPART_ARC
(6,27),-2.18936 # DEPENDENCYPART_ARC
(6,28),-2.61043 # DEPENDENCYPART_ARC
(6,29),-2.86994 # DEPENDENCYPART_ARC
(6,30),-1.23485 # DEPENDENCYPART_ARC
(7,1),-0.460746 # DEPENDENCYPART_ARC
(7,2),-0.413071 # DEPENDENCYPART_ARC
(7,3),-0.343036 # DEPENDENCYPART_ARC
(7,4),0.448648 # DEPENDENCYPART_ARC
(7,5),0.443599 # DEPENDENCYPART_ARC
(7,6),4.12496 # DEPENDENCYPART_ARC
(7,8),0.878569 # DEPENDENCYPART_ARC
(7,9),1.31295 # DEPENDENCYPART_ARC
(7,10),-0.482305 # DEPENDENCYPART_ARC
(7,11),-0.405178 # DEPENDENCYPART_ARC
(7,12),-0.686889 # DEPENDENCYPART_ARC
(7,13),-1.56866 # DEPENDENCYPART_ARC
(7,14),-1.38688 # DEPENDENCYPART_ARC
(7,15),-1.9713 # DEPENDENCYPART_ARC
(7,16),-2.41236 # DEPENDENCYPART_ARC
(7,17),-1.7929 # DEPENDENCYPART_ARC
(7,18),-0.874354 # DEPENDENCYPART_ARC
(7,19),-0.986476 # DEPENDENCYPART_ARC
(7,20),-2.7122 # DEPENDENCYPART_ARC
(7,21),-2.77298 # DEPENDENCYPART_ARC
(7,22),-0.914231 # DEPENDENCYPART_ARC
(7,23),0.222934 # DEPENDENCYPART_ARC
(7,24),-3.14558 # DEPENDENCYPART_ARC
(7,25),-0.880268 # DEPENDENCYPART_ARC
(7,26),-3.13833 # DEPENDENCYPART_ARC
(7,27),-2.47389 # DEPENDENCYPART_ARC
(7,28),-2.02956 # DEPENDENCYPART_ARC
(7,29),-2.79948 # DEPENDENCYPART_ARC
(7,30),1.26825 # DEPENDENCYPART_ARC
(8,1),3.49825 # DEPENDENCYPART_ARC
(8,2),2.87789 # DEPENDENCYPART_ARC
(8,3),3.27648 # DEPENDENCYPART_ARC
(8,4),4.56692 # DEPENDENCYPART_ARC
(8,5),1.6356 # DEPENDENCYPART_ARC
(8,6),2.93602 # DEPENDENCYPART_ARC
(8,7),4.53993 # DEPENDENCYPART_ARC
(8,9),2.95643 # DEPENDENCYPART_ARC
(8,10),1.28825 # DEPENDENCYPART_ARC
(8,11),1.38507 # DEPENDENCYPART_ARC
(8,12),0.92057 # DEPENDENCYPART_ARC
(8,13),0.353948 # DEPENDENCYPART_ARC
(8,14),0.959078 # DEPENDENCYPART_ARC
(8,15),-0.373576 # DEPENDENCYPART_ARC
(8,16),-0.852959 # DEPENDENCYPART_ARC
(8,17),0.221127 # DEPENDENCYPART_ARC
(8,18),1.94233 # DEPENDENCYPART_ARC
(8,19),1.19309 # DEPENDENCYPART_ARC
(8,20),-1.04503 # DEPENDENCYPART_ARC
(8,21),-1.47184 # DEPENDENCYPART_ARC
(8,22),1.6026 # DEPENDENCYPART_ARC
(8,23),0.384061 # DEPENDENCYPART_ARC
(8,24),-1.34843 # DEPENDENCYPART_ARC
(8,25),-0.160504 # DEPENDENCYPART_ARC
(8,26),-1.32973 # DEPENDENCYPART_ARC
(8,27),0.887441 # DEPENDENCYPART_ARC
(8,28),-0.558042 # DEPENDENCYPART_ARC
(8,29),-0.042307 # DEPENDENCYPART_ARC
(8,30),1.91433 # DEPENDENCYPART_ARC
(9,1),-1.22516 # DEPENDENCYPART_ARC
(9,2),-1.22169 # DEPENDENCYPART_ARC
(9,3),-1.12756 # DEPENDENCYPART_ARC
(9,4),-1.18436 # DEPENDENCYPART_ARC
(9,5),-0.621249 # DEPENDENCYPART_ARC
(9,6),-0.447718 # DEPENDENCYPART_ARC
(9,7),-0.606742 # DEPENDENCYPART_ARC
(9,8),-0.0971534 # DEPENDENCYPART_ARC
(9,10),3.36346 # DEPENDENCYPART_ARC
(9,11),1.4314 # DEPENDENCYPART_ARC
(9,12),0.392731 # DEPENDENCYPART_ARC
(9,13),1.23014 # DEPENDENCYPART_ARC
(9,14),-0.233007 # DEPENDENCYPART_ARC
(9,15),-0.552035 # DEPENDENCYPART_ARC
(9,16),-1.28871 # DEPENDENCYPART_ARC
(9,17),0.69246 # DEPENDENCYPART_ARC
(9,18),-0.319189 # DEPENDENCYPART_ARC
(9,19),-1.50956 # DEPENDENCYPART_ARC
(9,20),-1.99819 # DEPENDENCYPART_ARC
(9,21),-0.621063 # DEPENDENCYPART_ARC
(9,22),-0.418558 # DEPENDENCYPART_ARC
(9,23),-1.65972 # DEPENDENCYPART_ARC
(9,24),-2.37719 # DEPENDENCYPART_ARC
(9,25),-3.89934 # DEPENDENCYPART_ARC
(9,26),-3.76759 # DEPENDENCYPART_ARC
(9,27),-1.28053 # DEPENDENCYPART_ARC
(9,28),-4.19048 # DEPENDENCYPART_ARC
(9,29),-6.98619 # DEPENDENCYPART_ARC
(9,30),0.676335 # DEPENDENCYPART_ARC
(10,1),-1.61471 # DEPENDENCYPART_ARC
(10,2),-1.55448 # DEPENDENCYPART_ARC
(10,3),-1.39047 # DEPENDENCYPART_ARC
(10,4),-1.19636 # DEPENDENCYPART_ARC
(10,5),-1.17636 # DEPENDENCYPART_ARC
(10,6),-0.0500778 # DEPENDENCYPART_ARC
(10,7),-0.57369 # DEPENDENCYPART_ARC
(10,8),-0.207202 # DEPENDENCYPART_ARC
(10,9),1.03644 # DEPENDENCYPART_ARC
(10,11),0.473356 # DEPENDENCYPART_ARC
(10,12),-0.0910321 # DEPENDENCYPART_ARC
(10,13),-0.890479 # DEPENDENCYPART_ARC
(10,14),-1.01596 # DEPENDENCYPART_ARC
(10,15),-1.26125 # DEPENDENCYPART_ARC
(10,16),-1.36011 # DEPENDENCYPART_ARC
(10,17),-1.37515 # DEPENDENCYPART_ARC
(10,18),-0.575554 # DEPENDENCYPART_ARC
(10,19),-1.20547 # DEPENDENCYPART_ARC
(10,20),-1.69397 # DEPENDENCYPART_ARC
(10,21),-2.45025 # DEPENDENCYPART_ARC
(10,22),-0.753699 # DEPENDENCYPART_ARC
(10,23),-1.46317 # DEPENDENCYPART_ARC
(10,24),-1.9164 # DEPENDENCYPART_ARC
(10,25),-2.64953 # DEPENDENCYPART_ARC
(10,26),-3.20799 # DEPENDENCYPART_ARC
(10,27),-2.03043 # DEPENDENCYPART_ARC
(10,28),-2.48897 # DEPENDENCYPART_ARC
(10,29),-2.78652 # DEPENDENCYPART_ARC
(10,30),-1.46888 # DEPENDENCYPART_ARC
(11,1),1.66806 # DEPENDENCYPART_ARC
(11,2),1.57706 # DEPENDENCYPART_ARC
(11,3),1.78859 # DEPENDENCYPART_ARC
(11,4),1.83987 # DEPENDENCYPART_ARC
(11,5),0.397077 # DEPENDENCYPART_ARC
(11,6),0.923335 # DEPENDENCYPART_ARC
(11,7),1.9171 # DEPENDENCYPART_ARC
(11,8),2.48703 # DEPENDENCYPART_ARC
(11,9),0.535147 # DEPENDENCYPART_ARC
(11,10),1.8426 # DEPENDENCYPART_ARC
(11,12),3.34606 # DEPENDENCYPART_ARC
(11,13),1.48016 # DEPENDENCYPART_ARC
(11,14),2.74277 # DEPENDENCYPART_ARC
(11,15),0.225948 # DEPENDENCYPART_ARC
(11,16),0.208602 # DEPENDENCYPART_ARC
(11,17),0.0526661 # DEPENDENCYPART_ARC
(11,18),2.75613 # DEPENDENCYPART_ARC
(11,19),1.85985 # DEPENDENCYPART_ARC
(11,20),-0.835862 # DEPENDENCYPART_ARC
(11,21),-1.87634 # DEPENDENCYPART_ARC
(11,22),1.36411 # DEPENDENCYPART_ARC
(11,23),0.768257 # DEPENDENCYPART_ARC
(11,24),-1.52946 # DEPENDENCYPART_ARC
(11,25),-2.84754 # DEPENDENCYPART_ARC
(11,26),-0.959379 # DEPENDENCYPART_ARC
(11,27),-1.14645 # DEPENDENCYPART_ARC
(11,28),-1.67261 # DEPENDENCYPART_ARC
(11,29),-0.443839 # DEPENDENCYPART_ARC
(11,30),4.36235 # DEPENDENCYPART_ARC
(12,1),-1.14331 # DEPENDENCYPART_ARC
(12,2),-1.68771 # DEPENDENCYPART_ARC
(12,3),-1.71261 # DEPENDENCYPART_ARC
(12,4),-2.03882 # DEPENDENCYPART_ARC
(12,5),-1.6134 # DEPENDENCYPART_ARC
(12,6),-0.814385 # DEPENDENCYPART_ARC
(12,7),-0.042876 # DEPENDENCYPART_ARC
(12,8),-0.672692 # DEPENDENCYPART_ARC
(12,9),-0.0599138 # DEPENDENCYPART_ARC
(12,10),0.235584 # DEPENDENCYPART_ARC
(12,11),-0.267817 # DEPENDENCYPART_ARC
(12,13),2.33782 # DEPENDENCYPART_ARC
(12,14),1.15419 # DEPENDENCYPART_ARC
(12,15),1.18755 # DEPENDENCYPART_ARC
(12,16),1.24133 # DEPENDENCYPART_ARC
(12,17),1.33801 # DEPENDENCYPART_ARC
(12,18),0.0696345 # DEPENDENCYPART_ARC
(12,19),0.172706 # DEPENDENCYPART_ARC
(12,20),0.261365 # DEPENDENCYPART_ARC
(12,21),0.827321 # DEPENDENCYPART_ARC
(12,22),-0.393226 # DEPENDENCYPART_ARC
(12,23),-0.449677 # DEPENDENCYPART_ARC
(12,24),-0.0469917 # DEPENDENCYPART_ARC
(12,25),-0.106483 # DEPENDENCYPART_ARC
(12,26),-0.218701 # DEPENDENCYPART_ARC
(12,27),0.515444 # DEPENDENCYPART_ARC
(12,28),-0.352551 # DEPENDENCYPART_ARC
(12,29),-1.40291 # DEPENDENCYPART_ARC
(12,30),0.871156 # DEPENDENCYPART_ARC
(13,1),-1.99448 # DEPENDENCYPART_ARC
(13,2),-1.90771 # DEPENDENCYPART_ARC
(13,3),-1.58689 # DEPENDENCYPART_ARC
(13,4),-1.4474 # DEPENDENCYPART_ARC
(13,5),-1.6875 # DEPENDENCYPART_ARC
(13,6),-0.800569 # DEPENDENCYPART_ARC
(13,7),-1.50135 # DEPENDENCYPART_ARC
(13,8),-1.05408 # DEPENDENCYPART_ARC
(13,9),-0.372479 # DEPENDENCYPART_ARC
(13,10),0.789279 # DEPENDENCYPART_ARC
(13,11),0.035405 # DEPENDENCYPART_ARC
(13,12),1.69761 # DEPENDENCYPART_ARC
(13,14),0.967517 # DEPENDENCYPART_ARC
(13,15),0.859694 # DEPENDENCYPART_ARC
(13,16),0.407259 # DEPENDENCYPART_ARC
(13,17),0.329694 # DEPENDENCYPART_ARC
(13,18),1.06474 # DEPENDENCYPART_ARC
(13,19),0.584467 # DEPENDENCYPART_ARC
(13,20),-0.271922 # DEPENDENCYPART_ARC
(13,21),-0.550425 # DEPENDENCYPART_ARC
(13,22),1.14511 # DEPENDENCYPART_ARC
(13,23),-0.24125 # DEPENDENCYPART_ARC
(13,24),-0.524219 # DEPENDENCYPART_ARC
(13,25),-1.2982 # DEPENDENCYPART_ARC
(13,26),-1.73318 # DEPENDENCYPART_ARC
(13,27),-0.640964 # DEPENDENCYPART_ARC
(13,28),-1.28952 # DEPENDENCYPART_ARC
(13,29),-1.27411 # DEPENDENCYPART_ARC
(13,30),-0.0169013 # DEPENDENCYPART_ARC
(14,1),-2.2759 # DEPENDENCYPART_ARC
(14,2),-2.34205 # DEPENDENCYPART_ARC
(14,3),-2.28573 # DEPENDENCYPART_ARC
(14,4),-1.94984 # DEPENDENCYPART_ARC
(14,5),-1.26914 # DEPENDENCYPART_ARC
(14,6),-1.37729 # DEPENDENCYPART_ARC
(14,7),-1.60547 # DEPENDENCYPART_ARC
(14,8),-1.51412 # DEPENDENCYPART_ARC
(14,9),-0.827572 # DEPENDENCYPART_ARC
(14,10),-0.778273 # DEPENDENCYPART_ARC
(14,11),-0.741576 # DEPENDENCYPART_ARC
(14,12),-0.643961 # DEPENDENCYPART_ARC
(14,13),0.0913508 # DEPENDENCYPART_ARC
(14,15),2.23411 # DEPENDENCYPART_ARC
(14,16),1.54096 # DEPENDENCYPART_ARC
(14,17),1.46877 # DEPENDENCYPART_ARC
(14,18),0.503817 # DEPENDENCYPART_ARC
(14,19),-0.0519171 # DEPENDENCYPART_ARC
(14,20),-1.06531 # DEPENDENCYPART_ARC
(14,21),-0.0361347 # DEPENDENCYPART_ARC
(14,22),0.449316 # DEPENDENCYPART_ARC
(14,23),-0.54135 # DEPENDENCYPART_ARC
(14,24),-1.98848 # DEPENDENCYPART_ARC
(14,25),-2.62129 # DEPENDENCYPART_ARC
(14,26),-2.81585 # DEPENDENCYPART_ARC
(14,27),0.105779 # DEPENDENCYPART_ARC
(14,28),-1.79817 # DEPENDENCYPART_ARC
(14,29),-3.45179 # DEPENDENCYPART_ARC
(14,30),-1.27635 # DEPENDENCYPART_ARC
(15,1),-3.6205 # DEPENDENCYPART_ARC
(15,2),-3.47264 # DEPENDENCYPART_ARC
(15,3),-3.38251 # DEPENDENCYPART_ARC
(15,4),-3.2262 # DEPENDENCYPART_ARC
(15,5),-3.27344 # DEPENDENCYPART_ARC
(15,6),-2.33987 # DEPENDENCYPART_ARC
(15,7),-3.18001 # DEPENDENCYPART_ARC
(15,8),-3.00733 # DEPENDENCYPART_ARC
(15,9),-2.55441 # DEPENDENCYPART_ARC
(15,10),-1.07183 # DEPENDENCYPART_ARC
(15,11),-2.14704 # DEPENDENCYPART_ARC
(15,12),-1.2519 # DEPENDENCYPART_ARC
(15,13),-0.182898 # DEPENDENCYPART_ARC
(15,14),0.109097 # DEPENDENCYPART_ARC
(15,16),1.033 # DEPENDENCYPART_ARC
(15,17),0.902046 # DEPENDENCYPART_ARC
(15,18),0.742881 # DEPENDENCYPART_ARC
(15,19),-0.239196 # DEPENDENCYPART_ARC
(15,20),-0.450588 # DEPENDENCYPART_ARC
(15,21),-0.648203 # DEPENDENCYPART_ARC
(15,22),0.596866 # DEPENDENCYPART_ARC
(15,23),-0.381699 # DEPENDENCYPART_ARC
(15,24),-0.667183 # DEPENDENCYPART_ARC
(15,25),-1.17018 # DEPENDENCYPART_ARC
(15,26),-1.668 # DEPENDENCYPART_ARC
(15,27),-1.10224 # DEPENDENCYPART_ARC
(15,28),-1.26143 # DEPENDENCYPART_ARC
(15,29),-1.60833 # DEPENDENCYPART_ARC
(15,30),-0.458302 # DEPENDENCYPART_ARC
(16,1),-1.85245 # DEPENDENCYPART_ARC
(16,2),-1.77417 # DEPENDENCYPART_ARC
(16,3),-1.59639 # DEPENDENCYPART_ARC
(16,4),-1.47546 # DEPENDENCYPART_ARC
(16,5),-1.76372 # DEPENDENCYPART_ARC
(16,6),-0.520472 # DEPENDENCYPART_ARC
(16,7),-1.52007 # DEPENDENCYPART_ARC
(16,8),-1.38265 # DEPENDENCYPART_ARC
(16,9),-0.0591229 # DEPENDENCYPART_ARC
(16,10),0.398936 # DEPENDENCYPART_ARC
(16,11),-0.639602 # DEPENDENCYPART_ARC
(16,12),0.0228914 # DEPENDENCYPART_ARC
(16,13),0.960662 # DEPENDENCYPART_ARC
(16,14),1.61383 # DEPENDENCYPART_ARC
(16,15),3.70868 # DEPENDENCYPART_ARC
(16,17),1.87668 # DEPENDENCYPART_ARC
(16,18),0.627253 # DEPENDENCYPART_ARC
(16,19),0.03601 # DEPENDENCYPART_ARC
(16,20),-0.543718 # DEPENDENCYPART_ARC
(16,21),-0.041499 # DEPENDENCYPART_ARC
(16,22),0.565522 # DEPENDENCYPART_ARC
(16,23),-0.72477 # DEPENDENCYPART_ARC
(16,24),-0.923253 # DEPENDENCYPART_ARC
(16,25),-0.293062 # DEPENDENCYPART_ARC
(16,26),-1.81773 # DEPENDENCYPART_ARC
(16,27),-1.19138 # DEPENDENCYPART_ARC
(16,28),-1.40417 # DEPENDENCYPART_ARC
(16,29),-1.5728 # DEPENDENCYPART_ARC
(16,30),-0.684229 # DEPENDENCYPART_ARC
(17,1),-0.1688 # DEPENDENCYPART_ARC
(17,2),-0.736908 # DEPENDENCYPART_ARC
(17,3),-0.804732 # DEPENDENCYPART_ARC
(17,4),0.13161 # DEPENDENCYPART_ARC
(17,5),-0.179827 # DEPENDENCYPART_ARC
(17,6),-0.215812 # DEPENDENCYPART_ARC
(17,7),-0.472458 # DEPENDENCYPART_ARC
(17,8),-2.66576 # DEPENDENCYPART_ARC
(17,9),0.0146959 # DEPENDENCYPART_ARC
(17,10),-0.543376 # DEPENDENCYPART_ARC
(17,11),0.162233 # DEPENDENCYPART_ARC
(17,12),1.73726 # DEPENDENCYPART_ARC
(17,13),0.543988 # DEPENDENCYPART_ARC
