# _root_ `` We have no plans to adjust our asset allocation in foreign equities , '' said Masato Murakami , chief portfolio manager in the pension fund management department at Yasuda Trust & Banking Co .
#goldHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,28,31,29,31,32,33,16,
#predictedHeads=16,3,16,5,3,5,6,10,10,7,10,13,11,16,16,0,18,16,18,22,22,18,22,28,28,28,28,23,22,31,29,31,32,33,16,
(1,17),-3.93653 # DEPENDENCYPART_ARC
(1,18),-4.05368 # DEPENDENCYPART_ARC
(1,19),-3.2961 # DEPENDENCYPART_ARC
(1,20),-3.9485 # DEPENDENCYPART_ARC
(1,21),-3.97094 # DEPENDENCYPART_ARC
(1,22),-3.87185 # DEPENDENCYPART_ARC
(1,23),-4.50829 # DEPENDENCYPART_ARC
(1,24),-4.89903 # DEPENDENCYPART_ARC
(1,25),-4.23882 # DEPENDENCYPART_ARC
(1,26),-4.08681 # DEPENDENCYPART_ARC
(1,27),-4.21384 # DEPENDENCYPART_ARC
(1,28),-4.26452 # DEPENDENCYPART_ARC
(1,29),-5.12481 # DEPENDENCYPART_ARC
(1,30),-5.29709 # DEPENDENCYPART_ARC
(1,31),-5.35118 # DEPENDENCYPART_ARC
(1,32),-5.57179 # DEPENDENCYPART_ARC
(1,33),-5.67509 # DEPENDENCYPART_ARC
(1,34),-5.69258 # DEPENDENCYPART_ARC
(1,35),-4.43186 # DEPENDENCYPART_ARC
(2,1),-0.147346 # DEPENDENCYPART_ARC
(2,3),0.742785 # DEPENDENCYPART_ARC
(2,4),0.280011 # DEPENDENCYPART_ARC
(2,5),0.171197 # DEPENDENCYPART_ARC
(2,6),-0.017116 # DEPENDENCYPART_ARC
(2,7),-1.20528 # DEPENDENCYPART_ARC
(2,8),-1.26262 # DEPENDENCYPART_ARC
(2,9),-0.705983 # DEPENDENCYPART_ARC
(2,10),-0.816113 # DEPENDENCYPART_ARC
(2,11),-0.570091 # DEPENDENCYPART_ARC
(2,12),-1.60138 # DEPENDENCYPART_ARC
(2,13),-1.18897 # DEPENDENCYPART_ARC
(2,14),-0.458763 # DEPENDENCYPART_ARC
(2,15),-0.838103 # DEPENDENCYPART_ARC
(2,16),-1.23867 # DEPENDENCYPART_ARC
(2,17),-1.73977 # DEPENDENCYPART_ARC
(2,18),-1.81632 # DEPENDENCYPART_ARC
(2,19),-1.00652 # DEPENDENCYPART_ARC
(2,20),-2.57664 # DEPENDENCYPART_ARC
(2,21),-1.67413 # DEPENDENCYPART_ARC
(2,22),-1.69494 # DEPENDENCYPART_ARC
(2,23),-2.07005 # DEPENDENCYPART_ARC
(2,24),-2.18234 # DEPENDENCYPART_ARC
(2,25),-1.7152 # DEPENDENCYPART_ARC
(2,26),-1.83243 # DEPENDENCYPART_ARC
(2,27),-1.85116 # DEPENDENCYPART_ARC
(2,28),-2.06876 # DEPENDENCYPART_ARC
(2,29),-3.2325 # DEPENDENCYPART_ARC
(2,30),-3.08446 # DEPENDENCYPART_ARC
(2,31),-3.15743 # DEPENDENCYPART_ARC
(2,32),-3.55232 # DEPENDENCYPART_ARC
(2,33),-3.29968 # DEPENDENCYPART_ARC
(2,34),-3.55381 # DEPENDENCYPART_ARC
(2,35),-2.52345 # DEPENDENCYPART_ARC
(3,1),2.58948 # DEPENDENCYPART_ARC
(3,2),4.20044 # DEPENDENCYPART_ARC
(3,4),1.9327 # DEPENDENCYPART_ARC
(3,5),3.30413 # DEPENDENCYPART_ARC
(3,6),1.70907 # DEPENDENCYPART_ARC
(3,7),1.52578 # DEPENDENCYPART_ARC
(3,8),0.481481 # DEPENDENCYPART_ARC
(3,9),1.24297 # DEPENDENCYPART_ARC
(3,10),1.41664 # DEPENDENCYPART_ARC
(3,11),2.31404 # DEPENDENCYPART_ARC
(3,12),-0.14269 # DEPENDENCYPART_ARC
(3,13),0.505178 # DEPENDENCYPART_ARC
(3,14),1.91142 # DEPENDENCYPART_ARC
(3,15),1.45749 # DEPENDENCYPART_ARC
(3,16),0.764294 # DEPENDENCYPART_ARC
(3,17),-0.400748 # DEPENDENCYPART_ARC
(3,18),0.392994 # DEPENDENCYPART_ARC
(3,19),0.354856 # DEPENDENCYPART_ARC
(3,20),-0.899143 # DEPENDENCYPART_ARC
(3,21),-0.54773 # DEPENDENCYPART_ARC
(3,22),-0.622544 # DEPENDENCYPART_ARC
(3,23),0.244857 # DEPENDENCYPART_ARC
(3,24),-2.45328 # DEPENDENCYPART_ARC
(3,25),-1.94592 # DEPENDENCYPART_ARC
(3,26),-1.86708 # DEPENDENCYPART_ARC
(3,27),-1.95431 # DEPENDENCYPART_ARC
(3,28),-1.75159 # DEPENDENCYPART_ARC
(3,29),-0.174885 # DEPENDENCYPART_ARC
(3,30),-2.47273 # DEPENDENCYPART_ARC
(3,31),-1.82504 # DEPENDENCYPART_ARC
(3,32),-0.371391 # DEPENDENCYPART_ARC
(3,33),-2.62762 # DEPENDENCYPART_ARC
(3,34),-2.20406 # DEPENDENCYPART_ARC
(3,35),3.574 # DEPENDENCYPART_ARC
(4,1),-0.901929 # DEPENDENCYPART_ARC
(4,2),0.187499 # DEPENDENCYPART_ARC
(4,3),-0.207777 # DEPENDENCYPART_ARC
(4,5),1.10289 # DEPENDENCYPART_ARC
(4,6),0.353744 # DEPENDENCYPART_ARC
(4,7),0.306933 # DEPENDENCYPART_ARC
(4,8),-0.563299 # DEPENDENCYPART_ARC
(4,9),-0.256991 # DEPENDENCYPART_ARC
(4,10),-0.40196 # DEPENDENCYPART_ARC
(4,11),-0.640841 # DEPENDENCYPART_ARC
(4,12),-0.743568 # DEPENDENCYPART_ARC
(4,13),-0.808323 # DEPENDENCYPART_ARC
(4,14),-0.0212447 # DEPENDENCYPART_ARC
(4,15),0.00925148 # DEPENDENCYPART_ARC
(4,16),-1.09336 # DEPENDENCYPART_ARC
(4,17),-1.51758 # DEPENDENCYPART_ARC
(4,18),-1.55473 # DEPENDENCYPART_ARC
(4,19),-0.449864 # DEPENDENCYPART_ARC
(4,20),-1.63179 # DEPENDENCYPART_ARC
(4,21),-1.5959 # DEPENDENCYPART_ARC
(4,22),-1.76499 # DEPENDENCYPART_ARC
(4,23),-3.06361 # DEPENDENCYPART_ARC
(4,24),-2.59297 # DEPENDENCYPART_ARC
(4,25),-1.98388 # DEPENDENCYPART_ARC
(4,26),-1.98259 # DEPENDENCYPART_ARC
(4,27),-2.01428 # DEPENDENCYPART_ARC
(4,28),-2.11751 # DEPENDENCYPART_ARC
(4,29),-4.44478 # DEPENDENCYPART_ARC
(4,30),-2.89823 # DEPENDENCYPART_ARC
(4,31),-2.95015 # DEPENDENCYPART_ARC
(4,32),-2.7563 # DEPENDENCYPART_ARC
(4,33),-3.06301 # DEPENDENCYPART_ARC
(4,34),-3.0907 # DEPENDENCYPART_ARC
(4,35),-0.193593 # DEPENDENCYPART_ARC
(5,1),0.109271 # DEPENDENCYPART_ARC
(5,2),0.491823 # DEPENDENCYPART_ARC
(5,3),0.330045 # DEPENDENCYPART_ARC
(5,4),4.22444 # DEPENDENCYPART_ARC
(5,6),3.63324 # DEPENDENCYPART_ARC
(5,7),1.33964 # DEPENDENCYPART_ARC
(5,8),0.541171 # DEPENDENCYPART_ARC
(5,9),0.900632 # DEPENDENCYPART_ARC
(5,10),0.503806 # DEPENDENCYPART_ARC
(5,11),1.40751 # DEPENDENCYPART_ARC
(5,12),0.29736 # DEPENDENCYPART_ARC
(5,13),0.650849 # DEPENDENCYPART_ARC
(5,14),0.96363 # DEPENDENCYPART_ARC
(5,15),0.295415 # DEPENDENCYPART_ARC
(5,16),0.0661395 # DEPENDENCYPART_ARC
(5,17),-0.35661 # DEPENDENCYPART_ARC
(5,18),-0.100477 # DEPENDENCYPART_ARC
(5,19),0.0638506 # DEPENDENCYPART_ARC
(5,20),-0.448777 # DEPENDENCYPART_ARC
(5,21),-0.481188 # DEPENDENCYPART_ARC
(5,22),-0.912731 # DEPENDENCYPART_ARC
(5,23),-1.01114 # DEPENDENCYPART_ARC
(5,24),-1.19103 # DEPENDENCYPART_ARC
(5,25),-0.848669 # DEPENDENCYPART_ARC
(5,26),-1.34793 # DEPENDENCYPART_ARC
(5,27),-1.2402 # DEPENDENCYPART_ARC
(5,28),-1.66421 # DEPENDENCYPART_ARC
(5,29),-0.988227 # DEPENDENCYPART_ARC
(5,30),-1.29025 # DEPENDENCYPART_ARC
(5,31),-1.18431 # DEPENDENCYPART_ARC
(5,32),-1.94892 # DEPENDENCYPART_ARC
(5,33),-1.29645 # DEPENDENCYPART_ARC
(5,34),-1.71247 # DEPENDENCYPART_ARC
(5,35),2.19259 # DEPENDENCYPART_ARC
(6,1),-0.22062 # DEPENDENCYPART_ARC
(6,2),-0.0523466 # DEPENDENCYPART_ARC
(6,3),0.0249648 # DEPENDENCYPART_ARC
(6,4),0.826542 # DEPENDENCYPART_ARC
(6,5),1.19359 # DEPENDENCYPART_ARC
(6,7),4.25903 # DEPENDENCYPART_ARC
(6,8),0.707881 # DEPENDENCYPART_ARC
(6,9),0.638297 # DEPENDENCYPART_ARC
(6,10),1.12114 # DEPENDENCYPART_ARC
(6,11),0.866684 # DEPENDENCYPART_ARC
(6,12),-0.126542 # DEPENDENCYPART_ARC
(6,13),-0.230422 # DEPENDENCYPART_ARC
(6,14),1.16467 # DEPENDENCYPART_ARC
(6,15),0.634899 # DEPENDENCYPART_ARC
(6,16),-0.475398 # DEPENDENCYPART_ARC
(6,17),-2.84016 # DEPENDENCYPART_ARC
(6,18),-2.37525 # DEPENDENCYPART_ARC
(6,19),0.890762 # DEPENDENCYPART_ARC
(6,20),-1.432 # DEPENDENCYPART_ARC
(6,21),-4.242 # DEPENDENCYPART_ARC
(6,22),-3.51717 # DEPENDENCYPART_ARC
(6,23),-1.46117 # DEPENDENCYPART_ARC
(6,24),-2.44929 # DEPENDENCYPART_ARC
(6,25),-6.24837 # DEPENDENCYPART_ARC
(6,26),-6.24407 # DEPENDENCYPART_ARC
(6,27),-6.81031 # DEPENDENCYPART_ARC
(6,28),-6.32991 # DEPENDENCYPART_ARC
(6,29),-1.50531 # DEPENDENCYPART_ARC
(6,30),-6.39777 # DEPENDENCYPART_ARC
(6,31),-5.64247 # DEPENDENCYPART_ARC
(6,32),-0.52621 # DEPENDENCYPART_ARC
(6,33),-6.39074 # DEPENDENCYPART_ARC
(6,34),-6.82712 # DEPENDENCYPART_ARC
(6,35),1.0048 # DEPENDENCYPART_ARC
(7,1),-0.112366 # DEPENDENCYPART_ARC
(7,2),-0.235826 # DEPENDENCYPART_ARC
(7,3),-0.376099 # DEPENDENCYPART_ARC
(7,4),0.447465 # DEPENDENCYPART_ARC
(7,5),0.638707 # DEPENDENCYPART_ARC
(7,6),1.00722 # DEPENDENCYPART_ARC
(7,8),0.939247 # DEPENDENCYPART_ARC
(7,9),2.55738 # DEPENDENCYPART_ARC
(7,10),2.88728 # DEPENDENCYPART_ARC
(7,11),1.87449 # DEPENDENCYPART_ARC
(7,12),0.655807 # DEPENDENCYPART_ARC
(7,13),1.21875 # DEPENDENCYPART_ARC
(7,14),0.543064 # DEPENDENCYPART_ARC
(7,15),0.85373 # DEPENDENCYPART_ARC
(7,16),-0.0958102 # DEPENDENCYPART_ARC
(7,17),-1.06575 # DEPENDENCYPART_ARC
(7,18),-0.674443 # DEPENDENCYPART_ARC
(7,19),0.0907363 # DEPENDENCYPART_ARC
(7,20),-0.591651 # DEPENDENCYPART_ARC
(7,21),-1.53928 # DEPENDENCYPART_ARC
(7,22),-1.18367 # DEPENDENCYPART_ARC
(7,23),-0.550406 # DEPENDENCYPART_ARC
(7,24),-2.06685 # DEPENDENCYPART_ARC
(7,25),-3.2638 # DEPENDENCYPART_ARC
(7,26),-2.91983 # DEPENDENCYPART_ARC
(7,27),-3.42677 # DEPENDENCYPART_ARC
(7,28),-2.05596 # DEPENDENCYPART_ARC
(7,29),-2.63681 # DEPENDENCYPART_ARC
(7,30),-3.35476 # DEPENDENCYPART_ARC
(7,31),-3.06591 # DEPENDENCYPART_ARC
(7,32),-0.78721 # DEPENDENCYPART_ARC
(7,33),-3.99117 # DEPENDENCYPART_ARC
(7,34),-3.62926 # DEPENDENCYPART_ARC
(7,35),-0.505024 # DEPENDENCYPART_ARC
(8,1),-1.69315 # DEPENDENCYPART_ARC
(8,2),-1.90807 # DEPENDENCYPART_ARC
(8,3),-1.87198 # DEPENDENCYPART_ARC
(8,4),-0.799661 # DEPENDENCYPART_ARC
(8,5),-0.954653 # DEPENDENCYPART_ARC
(8,6),-0.859138 # DEPENDENCYPART_ARC
(8,7),-0.201935 # DEPENDENCYPART_ARC
(8,9),0.555734 # DEPENDENCYPART_ARC
(8,10),-0.0476899 # DEPENDENCYPART_ARC
(8,11),-0.357153 # DEPENDENCYPART_ARC
(8,12),-0.755876 # DEPENDENCYPART_ARC
(8,13),-0.490528 # DEPENDENCYPART_ARC
(8,14),-0.416218 # DEPENDENCYPART_ARC
(8,15),-0.644167 # DEPENDENCYPART_ARC
(8,16),-0.997659 # DEPENDENCYPART_ARC
(8,17),-1.70403 # DEPENDENCYPART_ARC
(8,18),-1.80147 # DEPENDENCYPART_ARC
(8,19),-0.946756 # DEPENDENCYPART_ARC
(8,20),-1.98991 # DEPENDENCYPART_ARC
(8,21),-2.014 # DEPENDENCYPART_ARC
(8,22),-2.11936 # DEPENDENCYPART_ARC
(8,23),-1.88536 # DEPENDENCYPART_ARC
(8,24),-2.44886 # DEPENDENCYPART_ARC
(8,25),-2.40774 # DEPENDENCYPART_ARC
(8,26),-2.52466 # DEPENDENCYPART_ARC
(8,27),-2.62996 # DEPENDENCYPART_ARC
(8,28),-2.69783 # DEPENDENCYPART_ARC
(8,29),-2.6824 # DEPENDENCYPART_ARC
(8,30),-3.09032 # DEPENDENCYPART_ARC
(8,31),-3.20626 # DEPENDENCYPART_ARC
(8,32),-2.52396 # DEPENDENCYPART_ARC
(8,33),-3.35493 # DEPENDENCYPART_ARC
(8,34),-3.57107 # DEPENDENCYPART_ARC
(8,35),-2.78211 # DEPENDENCYPART_ARC
(9,1),-2.65156 # DEPENDENCYPART_ARC
(9,2),-2.50003 # DEPENDENCYPART_ARC
(9,3),-2.6032 # DEPENDENCYPART_ARC
(9,4),-1.26266 # DEPENDENCYPART_ARC
(9,5),-1.5382 # DEPENDENCYPART_ARC
(9,6),-1.63317 # DEPENDENCYPART_ARC
(9,7),-0.482464 # DEPENDENCYPART_ARC
(9,8),2.19086 # DEPENDENCYPART_ARC
(9,10),1.4722 # DEPENDENCYPART_ARC
(9,11),0.315703 # DEPENDENCYPART_ARC
(9,12),-0.258577 # DEPENDENCYPART_ARC
(9,13),-0.206529 # DEPENDENCYPART_ARC
(9,14),0.0126155 # DEPENDENCYPART_ARC
(9,15),0.296926 # DEPENDENCYPART_ARC
(9,16),-0.494283 # DEPENDENCYPART_ARC
(9,17),-1.28497 # DEPENDENCYPART_ARC
(9,18),-0.846162 # DEPENDENCYPART_ARC
(9,19),-0.284743 # DEPENDENCYPART_ARC
(9,20),-1.21885 # DEPENDENCYPART_ARC
(9,21),-1.33101 # DEPENDENCYPART_ARC
(9,22),-1.65972 # DEPENDENCYPART_ARC
(9,23),-2.11072 # DEPENDENCYPART_ARC
(9,24),-2.02017 # DEPENDENCYPART_ARC
(9,25),-1.95479 # DEPENDENCYPART_ARC
(9,26),-2.08931 # DEPENDENCYPART_ARC
(9,27),-1.9956 # DEPENDENCYPART_ARC
(9,28),-2.53649 # DEPENDENCYPART_ARC
(9,29),-1.89183 # DEPENDENCYPART_ARC
(9,30),-2.53992 # DEPENDENCYPART_ARC
(9,31),-2.64712 # DEPENDENCYPART_ARC
(9,32),-2.79979 # DEPENDENCYPART_ARC
(9,33),-3.27613 # DEPENDENCYPART_ARC
(9,34),-3.22606 # DEPENDENCYPART_ARC
(9,35),-0.712415 # DEPENDENCYPART_ARC
(10,1),-0.623705 # DEPENDENCYPART_ARC
(10,2),-0.777087 # DEPENDENCYPART_ARC
(10,3),-0.989302 # DEPENDENCYPART_ARC
(10,4),0.664953 # DEPENDENCYPART_ARC
(10,5),0.745852 # DEPENDENCYPART_ARC
(10,6),-0.70738 # DEPENDENCYPART_ARC
(10,7),0.566638 # DEPENDENCYPART_ARC
(10,8),3.57784 # DEPENDENCYPART_ARC
(10,9),4.82716 # DEPENDENCYPART_ARC
(10,11),2.40767 # DEPENDENCYPART_ARC
(10,12),0.744463 # DEPENDENCYPART_ARC
(10,13),1.24663 # DEPENDENCYPART_ARC
(10,14),1.09367 # DEPENDENCYPART_ARC
(10,15),1.14752 # DEPENDENCYPART_ARC
(10,16),0.686233 # DEPENDENCYPART_ARC
(10,17),-0.57963 # DEPENDENCYPART_ARC
(10,18),0.0640465 # DEPENDENCYPART_ARC
(10,19),0.313305 # DEPENDENCYPART_ARC
(10,20),0.271255 # DEPENDENCYPART_ARC
(10,21),-0.448226 # DEPENDENCYPART_ARC
(10,22),-0.759855 # DEPENDENCYPART_ARC
(10,23),-0.196261 # DEPENDENCYPART_ARC
(10,24),-1.33659 # DEPENDENCYPART_ARC
(10,25),-1.0674 # DEPENDENCYPART_ARC
(10,26),-1.42136 # DEPENDENCYPART_ARC
(10,27),-1.32289 # DEPENDENCYPART_ARC
(10,28),-1.73483 # DEPENDENCYPART_ARC
(10,29),-0.135957 # DEPENDENCYPART_ARC
(10,30),-1.75456 # DEPENDENCYPART_ARC
(10,31),-1.79188 # DEPENDENCYPART_ARC
(10,32),-1.60006 # DEPENDENCYPART_ARC
(10,33),-2.62928 # DEPENDENCYPART_ARC
(10,34),-2.62408 # DEPENDENCYPART_ARC
(10,35),0.632354 # DEPENDENCYPART_ARC
(11,1),-0.439128 # DEPENDENCYPART_ARC
(11,2),-1.58302 # DEPENDENCYPART_ARC
(11,3),-1.43205 # DEPENDENCYPART_ARC
(11,4),-0.747517 # DEPENDENCYPART_ARC
(11,5),-0.841191 # DEPENDENCYPART_ARC
(11,6),-0.99718 # DEPENDENCYPART_ARC
(11,7),-0.649226 # DEPENDENCYPART_ARC
(11,8),0.344389 # DEPENDENCYPART_ARC
(11,9),-0.431904 # DEPENDENCYPART_ARC
(11,10),0.11776 # DEPENDENCYPART_ARC
(11,12),1.51755 # DEPENDENCYPART_ARC
(11,13),3.81427 # DEPENDENCYPART_ARC
(11,14),0.62291 # DEPENDENCYPART_ARC
(11,15),0.394273 # DEPENDENCYPART_ARC
(11,16),-0.70418 # DEPENDENCYPART_ARC
(11,17),-1.55744 # DEPENDENCYPART_ARC
(11,18),-0.717782 # DEPENDENCYPART_ARC
(11,19),-0.0738108 # DEPENDENCYPART_ARC
(11,20),-1.82219 # DEPENDENCYPART_ARC
(11,21),-2.81533 # DEPENDENCYPART_ARC
(11,22),-2.47621 # DEPENDENCYPART_ARC
(11,23),-0.989497 # DEPENDENCYPART_ARC
(11,24),-3.31333 # DEPENDENCYPART_ARC
(11,25),-7.33708 # DEPENDENCYPART_ARC
(11,26),-6.89145 # DEPENDENCYPART_ARC
(11,27),-7.25872 # DEPENDENCYPART_ARC
(11,28),-7.31908 # DEPENDENCYPART_ARC
(11,29),-2.07336 # DEPENDENCYPART_ARC
(11,30),-8.81497 # DEPENDENCYPART_ARC
(11,31),-6.84855 # DEPENDENCYPART_ARC
(11,32),-2.94052 # DEPENDENCYPART_ARC
(11,33),-10.873 # DEPENDENCYPART_ARC
(11,34),-12.1884 # DEPENDENCYPART_ARC
(11,35),-0.950811 # DEPENDENCYPART_ARC
(12,1),-2.78047 # DEPENDENCYPART_ARC
(12,2),-3.09035 # DEPENDENCYPART_ARC
(12,3),-3.0019 # DEPENDENCYPART_ARC
(12,4),-2.10081 # DEPENDENCYPART_ARC
(12,5),-2.34447 # DEPENDENCYPART_ARC
(12,6),-1.9329 # DEPENDENCYPART_ARC
(12,7),-1.9347 # DEPENDENCYPART_ARC
(12,8),-0.860765 # DEPENDENCYPART_ARC
(12,9),-0.918185 # DEPENDENCYPART_ARC
(12,10),-0.860399 # DEPENDENCYPART_ARC
(12,11),-0.387649 # DEPENDENCYPART_ARC
(12,13),1.27126 # DEPENDENCYPART_ARC
(12,14),-0.0177794 # DEPENDENCYPART_ARC
(12,15),0.140973 # DEPENDENCYPART_ARC
(12,16),-0.682652 # DEPENDENCYPART_ARC
(12,17),-0.739717 # DEPENDENCYPART_ARC
(12,18),-1.07798 # DEPENDENCYPART_ARC
(12,19),-0.230746 # DEPENDENCYPART_ARC
(12,20),-1.08352 # DEPENDENCYPART_ARC
(12,21),-0.960376 # DEPENDENCYPART_ARC
(12,22),-1.60903 # DEPENDENCYPART_ARC
(12,23),-2.07503 # DEPENDENCYPART_ARC
(12,24),-2.47001 # DEPENDENCYPART_ARC
(12,25),-1.85389 # DEPENDENCYPART_ARC
(12,26),-2.09104 # DEPENDENCYPART_ARC
(12,27),-2.35028 # DEPENDENCYPART_ARC
(12,28),-2.59803 # DEPENDENCYPART_ARC
(12,29),-2.18555 # DEPENDENCYPART_ARC
(12,30),-2.27574 # DEPENDENCYPART_ARC
(12,31),-2.27353 # DEPENDENCYPART_ARC
(12,32),-2.3413 # DEPENDENCYPART_ARC
(12,33),-2.43051 # DEPENDENCYPART_ARC
(12,34),-2.60105 # DEPENDENCYPART_ARC
(12,35),-1.7246 # DEPENDENCYPART_ARC
(13,1),-1.61458 # DEPENDENCYPART_ARC
(13,2),-1.76663 # DEPENDENCYPART_ARC
(13,3),-1.80387 # DEPENDENCYPART_ARC
(13,4),-0.825695 # DEPENDENCYPART_ARC
(13,5),-1.26694 # DEPENDENCYPART_ARC
(13,6),-1.17709 # DEPENDENCYPART_ARC
(13,7),-0.445566 # DEPENDENCYPART_ARC
(13,8),1.90362 # DEPENDENCYPART_ARC
(13,9),1.63821 # DEPENDENCYPART_ARC
(13,10),-0.199417 # DEPENDENCYPART_ARC
(13,11),-0.0436403 # DEPENDENCYPART_ARC
(13,12),3.86023 # DEPENDENCYPART_ARC
(13,14),1.01624 # DEPENDENCYPART_ARC
(13,15),1.03899 # DEPENDENCYPART_ARC
(13,16),0.284643 # DEPENDENCYPART_ARC
(13,17),-0.0791208 # DEPENDENCYPART_ARC
(13,18),0.356427 # DEPENDENCYPART_ARC
(13,19),0.757432 # DEPENDENCYPART_ARC
(13,20),-0.592773 # DEPENDENCYPART_ARC
(13,21),-0.252633 # DEPENDENCYPART_ARC
(13,22),-0.775317 # DEPENDENCYPART_ARC
(13,23),-1.26771 # DEPENDENCYPART_ARC
(13,24),-1.19473 # DEPENDENCYPART_ARC
(13,25),-1.04867 # DEPENDENCYPART_ARC
(13,26),-0.953487 # DEPENDENCYPART_ARC
(13,27),-0.825548 # DEPENDENCYPART_ARC
(13,28),-1.51829 # DEPENDENCYPART_ARC
(13,29),-1.20303 # DEPENDENCYPART_ARC
(13,30),-1.08901 # DEPENDENCYPART_ARC
(13,31),-0.740636 # DEPENDENCYPART_ARC
(13,32),-1.94793 # DEPENDENCYPART_ARC
(13,33),-0.949345 # DEPENDENCYPART_ARC
(13,34),-1.54291 # DEPENDENCYPART_ARC
(13,35),-0.881668 # DEPENDENCYPART_ARC
(14,1),-1.82012 # DEPENDENCYPART_ARC
(14,2),-2.26796 # DEPENDENCYPART_ARC
(14,3),-2.23543 # DEPENDENCYPART_ARC
(14,4),-1.44108 # DEPENDENCYPART_ARC
(14,5),-1.8565 # DEPENDENCYPART_ARC
(14,6),-1.41803 # DEPENDENCYPART_ARC
(14,7),-1.54433 # DEPENDENCYPART_ARC
(14,8),-0.844019 # DEPENDENCYPART_ARC
(14,9),-1.23318 # DEPENDENCYPART_ARC
(14,10),-1.13056 # DEPENDENCYPART_ARC
(14,11),-0.885108 # DEPENDENCYPART_ARC
(14,12),-1.03163 # DEPENDENCYPART_ARC
(14,13),-0.919981 # DEPENDENCYPART_ARC
(14,15),0.147094 # DEPENDENCYPART_ARC
(14,16),-0.265713 # DEPENDENCYPART_ARC
(14,17),-0.866789 # DEPENDENCYPART_ARC
(14,18),-1.16311 # DEPENDENCYPART_ARC
(14,19),0.135513 # DEPENDENCYPART_ARC
(14,20),-1.79787 # DEPENDENCYPART_ARC
(14,21),-2.10323 # DEPENDENCYPART_ARC
(14,22),-2.27655 # DEPENDENCYPART_ARC
(14,23),-1.55189 # DEPENDENCYPART_ARC
(14,24),-2.14628 # DEPENDENCYPART_ARC
(14,25),-2.53411 # DEPENDENCYPART_ARC
(14,26),-2.66353 # DEPENDENCYPART_ARC
(14,27),-2.73296 # DEPENDENCYPART_ARC
(14,28),-2.91262 # DEPENDENCYPART_ARC
(14,29),-1.83083 # DEPENDENCYPART_ARC
