# _root_ DPC Acquisition Partners , a hostile suitor for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .
#goldHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
#predictedHeads=3,3,12,3,7,7,3,7,8,9,3,0,14,12,14,15,19,19,16,19,24,24,24,27,24,27,20,12,
(4,3),-1.17995 # DEPENDENCYPART_ARC
(4,5),-0.433541 # DEPENDENCYPART_ARC
(4,6),-0.826108 # DEPENDENCYPART_ARC
(4,7),-1.68897 # DEPENDENCYPART_ARC
(4,8),-1.2029 # DEPENDENCYPART_ARC
(4,9),-1.4197 # DEPENDENCYPART_ARC
(4,10),-1.87207 # DEPENDENCYPART_ARC
(4,11),-0.295317 # DEPENDENCYPART_ARC
(4,12),-1.6078 # DEPENDENCYPART_ARC
(4,13),-2.06489 # DEPENDENCYPART_ARC
(4,14),-1.78819 # DEPENDENCYPART_ARC
(4,15),-2.17821 # DEPENDENCYPART_ARC
(4,16),-2.06855 # DEPENDENCYPART_ARC
(4,17),-2.62149 # DEPENDENCYPART_ARC
(4,18),-3.14042 # DEPENDENCYPART_ARC
(4,19),-3.29716 # DEPENDENCYPART_ARC
(4,20),-2.23849 # DEPENDENCYPART_ARC
(4,21),-3.03231 # DEPENDENCYPART_ARC
(4,22),-3.63268 # DEPENDENCYPART_ARC
(4,23),-3.7061 # DEPENDENCYPART_ARC
(4,24),-3.77578 # DEPENDENCYPART_ARC
(4,25),-3.25054 # DEPENDENCYPART_ARC
(4,26),-3.61709 # DEPENDENCYPART_ARC
(4,27),-4.20216 # DEPENDENCYPART_ARC
(4,28),-3.05402 # DEPENDENCYPART_ARC
(5,1),-1.33999 # DEPENDENCYPART_ARC
(5,2),-1.08388 # DEPENDENCYPART_ARC
(5,3),-1.04994 # DEPENDENCYPART_ARC
(5,4),-0.146189 # DEPENDENCYPART_ARC
(5,6),0.523804 # DEPENDENCYPART_ARC
(5,7),0.106676 # DEPENDENCYPART_ARC
(5,8),-0.178762 # DEPENDENCYPART_ARC
(5,9),-0.446651 # DEPENDENCYPART_ARC
(5,10),-0.390135 # DEPENDENCYPART_ARC
(5,11),-0.00173355 # DEPENDENCYPART_ARC
(5,12),-0.61242 # DEPENDENCYPART_ARC
(5,13),-0.970937 # DEPENDENCYPART_ARC
(5,14),-0.824448 # DEPENDENCYPART_ARC
(5,15),-1.02358 # DEPENDENCYPART_ARC
(5,16),-1.73506 # DEPENDENCYPART_ARC
(5,17),-2.29701 # DEPENDENCYPART_ARC
(5,18),-1.66169 # DEPENDENCYPART_ARC
(5,19),-1.75112 # DEPENDENCYPART_ARC
(5,20),-1.79185 # DEPENDENCYPART_ARC
(5,21),-2.66192 # DEPENDENCYPART_ARC
(5,22),-2.08846 # DEPENDENCYPART_ARC
(5,23),-2.11131 # DEPENDENCYPART_ARC
(5,24),-2.20786 # DEPENDENCYPART_ARC
(5,25),-2.98364 # DEPENDENCYPART_ARC
(5,26),-2.86652 # DEPENDENCYPART_ARC
(5,27),-2.70346 # DEPENDENCYPART_ARC
(5,28),-1.83508 # DEPENDENCYPART_ARC
(6,1),-0.300377 # DEPENDENCYPART_ARC
(6,2),-0.395955 # DEPENDENCYPART_ARC
(6,3),-0.61902 # DEPENDENCYPART_ARC
(6,4),0.0238953 # DEPENDENCYPART_ARC
(6,5),1.62847 # DEPENDENCYPART_ARC
(6,7),1.33419 # DEPENDENCYPART_ARC
(6,8),0.363575 # DEPENDENCYPART_ARC
(6,9),-0.00474172 # DEPENDENCYPART_ARC
(6,10),-0.297576 # DEPENDENCYPART_ARC
(6,11),0.174419 # DEPENDENCYPART_ARC
(6,12),-0.438516 # DEPENDENCYPART_ARC
(6,13),-0.617311 # DEPENDENCYPART_ARC
(6,14),-0.442767 # DEPENDENCYPART_ARC
(6,15),-0.699034 # DEPENDENCYPART_ARC
(6,16),-1.53584 # DEPENDENCYPART_ARC
(6,17),-1.5896 # DEPENDENCYPART_ARC
(6,18),-1.11305 # DEPENDENCYPART_ARC
(6,19),-1.47604 # DEPENDENCYPART_ARC
(6,20),-1.64405 # DEPENDENCYPART_ARC
(6,21),-2.35778 # DEPENDENCYPART_ARC
(6,22),-1.66806 # DEPENDENCYPART_ARC
(6,23),-2.05802 # DEPENDENCYPART_ARC
(6,24),-2.40629 # DEPENDENCYPART_ARC
(6,25),-1.90999 # DEPENDENCYPART_ARC
(6,26),-1.79901 # DEPENDENCYPART_ARC
(6,27),-2.26401 # DEPENDENCYPART_ARC
(6,28),-0.631363 # DEPENDENCYPART_ARC
(7,1),-0.748733 # DEPENDENCYPART_ARC
(7,2),-0.0215663 # DEPENDENCYPART_ARC
(7,3),-1.13734 # DEPENDENCYPART_ARC
(7,4),-0.0294784 # DEPENDENCYPART_ARC
(7,5),4.37187 # DEPENDENCYPART_ARC
(7,6),4.28708 # DEPENDENCYPART_ARC
(7,8),3.1367 # DEPENDENCYPART_ARC
(7,9),0.60011 # DEPENDENCYPART_ARC
(7,10),1.49574 # DEPENDENCYPART_ARC
(7,11),1.5145 # DEPENDENCYPART_ARC
(7,12),1.31715 # DEPENDENCYPART_ARC
(7,13),0.22363 # DEPENDENCYPART_ARC
(7,14),0.499333 # DEPENDENCYPART_ARC
(7,15),0.131069 # DEPENDENCYPART_ARC
(7,16),-0.131435 # DEPENDENCYPART_ARC
(7,17),-0.424011 # DEPENDENCYPART_ARC
(7,18),-0.783551 # DEPENDENCYPART_ARC
(7,19),-0.960722 # DEPENDENCYPART_ARC
(7,20),-0.754963 # DEPENDENCYPART_ARC
(7,21),-1.03299 # DEPENDENCYPART_ARC
(7,22),-1.13084 # DEPENDENCYPART_ARC
(7,23),-1.15236 # DEPENDENCYPART_ARC
(7,24),-1.88977 # DEPENDENCYPART_ARC
(7,25),-2.07978 # DEPENDENCYPART_ARC
(7,26),-1.44729 # DEPENDENCYPART_ARC
(7,27),-2.08139 # DEPENDENCYPART_ARC
(7,28),0.772245 # DEPENDENCYPART_ARC
(8,1),-1.2392 # DEPENDENCYPART_ARC
(8,2),-1.26154 # DEPENDENCYPART_ARC
(8,3),-1.37466 # DEPENDENCYPART_ARC
(8,4),-0.516022 # DEPENDENCYPART_ARC
(8,5),0.321989 # DEPENDENCYPART_ARC
(8,6),-0.487855 # DEPENDENCYPART_ARC
(8,7),-0.394405 # DEPENDENCYPART_ARC
(8,9),2.30421 # DEPENDENCYPART_ARC
(8,10),2.27706 # DEPENDENCYPART_ARC
(8,11),0.808851 # DEPENDENCYPART_ARC
(8,12),0.756231 # DEPENDENCYPART_ARC
(8,13),-0.545303 # DEPENDENCYPART_ARC
(8,14),-0.7946 # DEPENDENCYPART_ARC
(8,15),0.831323 # DEPENDENCYPART_ARC
(8,16),-0.306607 # DEPENDENCYPART_ARC
(8,17),-1.93715 # DEPENDENCYPART_ARC
(8,18),-3.65993 # DEPENDENCYPART_ARC
(8,19),-1.81565 # DEPENDENCYPART_ARC
(8,20),-0.586388 # DEPENDENCYPART_ARC
(8,21),-2.81718 # DEPENDENCYPART_ARC
(8,22),-6.10361 # DEPENDENCYPART_ARC
(8,23),-5.95447 # DEPENDENCYPART_ARC
(8,24),-4.91625 # DEPENDENCYPART_ARC
(8,25),-2.67946 # DEPENDENCYPART_ARC
(8,26),-2.98207 # DEPENDENCYPART_ARC
(8,27),-6.55156 # DEPENDENCYPART_ARC
(8,28),-1.02445 # DEPENDENCYPART_ARC
(9,1),-2.11972 # DEPENDENCYPART_ARC
(9,2),-2.07924 # DEPENDENCYPART_ARC
(9,3),-2.4264 # DEPENDENCYPART_ARC
(9,4),-0.788775 # DEPENDENCYPART_ARC
(9,5),0.291945 # DEPENDENCYPART_ARC
(9,6),0.566113 # DEPENDENCYPART_ARC
(9,7),-0.738279 # DEPENDENCYPART_ARC
(9,8),0.550839 # DEPENDENCYPART_ARC
(9,10),5.32034 # DEPENDENCYPART_ARC
(9,11),2.47414 # DEPENDENCYPART_ARC
(9,12),1.45714 # DEPENDENCYPART_ARC
(9,13),0.800967 # DEPENDENCYPART_ARC
(9,14),0.900357 # DEPENDENCYPART_ARC
(9,15),0.54382 # DEPENDENCYPART_ARC
(9,16),0.0714128 # DEPENDENCYPART_ARC
(9,17),0.355105 # DEPENDENCYPART_ARC
(9,18),-0.797772 # DEPENDENCYPART_ARC
(9,19),-0.618212 # DEPENDENCYPART_ARC
(9,20),-0.759625 # DEPENDENCYPART_ARC
(9,21),0.0321192 # DEPENDENCYPART_ARC
(9,22),-2.69954 # DEPENDENCYPART_ARC
(9,23),-2.31468 # DEPENDENCYPART_ARC
(9,24),-2.49468 # DEPENDENCYPART_ARC
(9,25),-0.886992 # DEPENDENCYPART_ARC
(9,26),-0.374728 # DEPENDENCYPART_ARC
(9,27),-3.28686 # DEPENDENCYPART_ARC
(9,28),0.452007 # DEPENDENCYPART_ARC
(10,1),-2.14274 # DEPENDENCYPART_ARC
(10,2),-2.46835 # DEPENDENCYPART_ARC
(10,3),-3.57813 # DEPENDENCYPART_ARC
(10,4),-1.79954 # DEPENDENCYPART_ARC
(10,5),-0.1024 # DEPENDENCYPART_ARC
(10,6),0.100964 # DEPENDENCYPART_ARC
(10,7),-1.60109 # DEPENDENCYPART_ARC
(10,8),-0.823657 # DEPENDENCYPART_ARC
(10,9),2.81464 # DEPENDENCYPART_ARC
(10,11),-0.226388 # DEPENDENCYPART_ARC
(10,12),-1.51805 # DEPENDENCYPART_ARC
(10,13),-1.40832 # DEPENDENCYPART_ARC
(10,14),-1.54433 # DEPENDENCYPART_ARC
(10,15),-2.05718 # DEPENDENCYPART_ARC
(10,16),-2.48675 # DEPENDENCYPART_ARC
(10,17),-2.35507 # DEPENDENCYPART_ARC
(10,18),-3.69369 # DEPENDENCYPART_ARC
(10,19),-2.87015 # DEPENDENCYPART_ARC
(10,20),-3.13025 # DEPENDENCYPART_ARC
(10,21),-2.68697 # DEPENDENCYPART_ARC
(10,22),-5.52765 # DEPENDENCYPART_ARC
(10,23),-5.13129 # DEPENDENCYPART_ARC
(10,24),-5.28115 # DEPENDENCYPART_ARC
(10,25),-2.48676 # DEPENDENCYPART_ARC
(10,26),-3.00062 # DEPENDENCYPART_ARC
(10,27),-5.406 # DEPENDENCYPART_ARC
(10,28),-2.69383 # DEPENDENCYPART_ARC
(11,1),-1.89968 # DEPENDENCYPART_ARC
(11,2),-1.84334 # DEPENDENCYPART_ARC
(11,3),-1.86651 # DEPENDENCYPART_ARC
(11,4),0.0237237 # DEPENDENCYPART_ARC
(11,5),-0.706448 # DEPENDENCYPART_ARC
(11,6),-1.17454 # DEPENDENCYPART_ARC
(11,7),-0.984174 # DEPENDENCYPART_ARC
(11,8),-0.52913 # DEPENDENCYPART_ARC
(11,9),-1.05367 # DEPENDENCYPART_ARC
(11,10),-0.500374 # DEPENDENCYPART_ARC
(11,12),-0.297919 # DEPENDENCYPART_ARC
(11,13),-1.47829 # DEPENDENCYPART_ARC
(11,14),-1.27708 # DEPENDENCYPART_ARC
(11,15),-1.91338 # DEPENDENCYPART_ARC
(11,16),-1.76461 # DEPENDENCYPART_ARC
(11,17),-2.33638 # DEPENDENCYPART_ARC
(11,18),-2.75968 # DEPENDENCYPART_ARC
(11,19),-2.9552 # DEPENDENCYPART_ARC
(11,20),-2.19145 # DEPENDENCYPART_ARC
(11,21),-2.7695 # DEPENDENCYPART_ARC
(11,22),-3.20464 # DEPENDENCYPART_ARC
(11,23),-3.32609 # DEPENDENCYPART_ARC
(11,24),-3.40347 # DEPENDENCYPART_ARC
(11,25),-3.15371 # DEPENDENCYPART_ARC
(11,26),-3.40572 # DEPENDENCYPART_ARC
(11,27),-3.79156 # DEPENDENCYPART_ARC
(11,28),-2.87537 # DEPENDENCYPART_ARC
(12,1),1.66754 # DEPENDENCYPART_ARC
(12,2),1.55569 # DEPENDENCYPART_ARC
(12,3),1.70538 # DEPENDENCYPART_ARC
(12,4),1.10564 # DEPENDENCYPART_ARC
(12,5),-0.613635 # DEPENDENCYPART_ARC
(12,6),-0.0729147 # DEPENDENCYPART_ARC
(12,7),0.478837 # DEPENDENCYPART_ARC
(12,8),-0.104565 # DEPENDENCYPART_ARC
(12,9),0.887327 # DEPENDENCYPART_ARC
(12,10),0.314177 # DEPENDENCYPART_ARC
(12,11),1.62738 # DEPENDENCYPART_ARC
(12,13),1.25521 # DEPENDENCYPART_ARC
(12,14),3.63175 # DEPENDENCYPART_ARC
(12,15),0.108774 # DEPENDENCYPART_ARC
(12,16),0.61686 # DEPENDENCYPART_ARC
(12,17),-1.10615 # DEPENDENCYPART_ARC
(12,18),-2.12817 # DEPENDENCYPART_ARC
(12,19),-1.62963 # DEPENDENCYPART_ARC
(12,20),-1.51352 # DEPENDENCYPART_ARC
(12,21),-1.75197 # DEPENDENCYPART_ARC
(12,22),-2.90187 # DEPENDENCYPART_ARC
(12,23),-2.60793 # DEPENDENCYPART_ARC
(12,24),-2.8611 # DEPENDENCYPART_ARC
(12,25),-1.50155 # DEPENDENCYPART_ARC
(12,26),-2.03993 # DEPENDENCYPART_ARC
(12,27),-2.50338 # DEPENDENCYPART_ARC
(12,28),7.66944 # DEPENDENCYPART_ARC
(13,1),-2.52924 # DEPENDENCYPART_ARC
(13,2),-2.44436 # DEPENDENCYPART_ARC
(13,3),-2.18747 # DEPENDENCYPART_ARC
(13,4),-1.16143 # DEPENDENCYPART_ARC
(13,5),-0.979913 # DEPENDENCYPART_ARC
(13,6),-1.68621 # DEPENDENCYPART_ARC
(13,7),-2.07943 # DEPENDENCYPART_ARC
(13,8),-1.18844 # DEPENDENCYPART_ARC
(13,9),-1.30908 # DEPENDENCYPART_ARC
(13,10),-1.00202 # DEPENDENCYPART_ARC
(13,11),0.184118 # DEPENDENCYPART_ARC
(13,12),-0.0487089 # DEPENDENCYPART_ARC
(13,14),0.86923 # DEPENDENCYPART_ARC
(13,15),0.608889 # DEPENDENCYPART_ARC
(13,16),-0.987292 # DEPENDENCYPART_ARC
(13,17),-0.704722 # DEPENDENCYPART_ARC
(13,18),-0.390485 # DEPENDENCYPART_ARC
(13,19),-0.667592 # DEPENDENCYPART_ARC
(13,20),-0.616288 # DEPENDENCYPART_ARC
(13,21),-1.01514 # DEPENDENCYPART_ARC
(13,22),-0.670409 # DEPENDENCYPART_ARC
(13,23),-0.763331 # DEPENDENCYPART_ARC
(13,24),-0.774214 # DEPENDENCYPART_ARC
(13,25),-2.52938 # DEPENDENCYPART_ARC
(13,26),-2.42921 # DEPENDENCYPART_ARC
(13,27),-0.877569 # DEPENDENCYPART_ARC
(13,28),-1.19835 # DEPENDENCYPART_ARC
(14,1),-0.190166 # DEPENDENCYPART_ARC
(14,2),-0.58429 # DEPENDENCYPART_ARC
(14,3),-1.21039 # DEPENDENCYPART_ARC
(14,4),0.678883 # DEPENDENCYPART_ARC
(14,5),-0.610128 # DEPENDENCYPART_ARC
(14,6),-0.074809 # DEPENDENCYPART_ARC
(14,7),0.177133 # DEPENDENCYPART_ARC
(14,8),0.0780557 # DEPENDENCYPART_ARC
(14,9),-0.257016 # DEPENDENCYPART_ARC
(14,10),-1.50036 # DEPENDENCYPART_ARC
(14,11),0.873211 # DEPENDENCYPART_ARC
(14,12),0.325928 # DEPENDENCYPART_ARC
(14,13),4.00134 # DEPENDENCYPART_ARC
(14,15),4.13112 # DEPENDENCYPART_ARC
(14,16),1.56291 # DEPENDENCYPART_ARC
(14,17),-0.0993716 # DEPENDENCYPART_ARC
(14,18),-0.265344 # DEPENDENCYPART_ARC
(14,19),0.0488845 # DEPENDENCYPART_ARC
(14,20),1.01043 # DEPENDENCYPART_ARC
(14,21),-0.964218 # DEPENDENCYPART_ARC
(14,22),-2.30001 # DEPENDENCYPART_ARC
(14,23),-2.17319 # DEPENDENCYPART_ARC
(14,24),-2.37068 # DEPENDENCYPART_ARC
(14,25),-1.15056 # DEPENDENCYPART_ARC
(14,26),-1.09081 # DEPENDENCYPART_ARC
(14,27),-2.23132 # DEPENDENCYPART_ARC
(14,28),3.92709 # DEPENDENCYPART_ARC
(15,1),-1.28187 # DEPENDENCYPART_ARC
(15,2),-1.17292 # DEPENDENCYPART_ARC
(15,3),-1.38528 # DEPENDENCYPART_ARC
(15,4),-1.27495 # DEPENDENCYPART_ARC
(15,5),-0.647937 # DEPENDENCYPART_ARC
(15,6),-1.20565 # DEPENDENCYPART_ARC
(15,7),-1.20436 # DEPENDENCYPART_ARC
(15,8),-0.717111 # DEPENDENCYPART_ARC
(15,9),-0.326278 # DEPENDENCYPART_ARC
(15,10),-0.678356 # DEPENDENCYPART_ARC
(15,11),-0.207496 # DEPENDENCYPART_ARC
(15,12),-0.0040218 # DEPENDENCYPART_ARC
(15,13),0.331648 # DEPENDENCYPART_ARC
(15,14),0.952505 # DEPENDENCYPART_ARC
(15,16),4.03307 # DEPENDENCYPART_ARC
(15,17),0.22073 # DEPENDENCYPART_ARC
(15,18),-0.428794 # DEPENDENCYPART_ARC
(15,19),0.0282969 # DEPENDENCYPART_ARC
(15,20),0.0751318 # DEPENDENCYPART_ARC
(15,21),-1.62465 # DEPENDENCYPART_ARC
(15,22),-3.24422 # DEPENDENCYPART_ARC
(15,23),-3.45005 # DEPENDENCYPART_ARC
(15,24),-3.86303 # DEPENDENCYPART_ARC
(15,25),-1.16257 # DEPENDENCYPART_ARC
(15,26),-1.71345 # DEPENDENCYPART_ARC
(15,27),-3.75492 # DEPENDENCYPART_ARC
(15,28),0.27718 # DEPENDENCYPART_ARC
(16,1),-1.48001 # DEPENDENCYPART_ARC
(16,2),-1.65865 # DEPENDENCYPART_ARC
(16,3),-1.70691 # DEPENDENCYPART_ARC
(16,4),-0.473354 # DEPENDENCYPART_ARC
(16,5),-1.0073 # DEPENDENCYPART_ARC
(16,6),-0.799434 # DEPENDENCYPART_ARC
(16,7),-1.10573 # DEPENDENCYPART_ARC
(16,8),-0.331435 # DEPENDENCYPART_ARC
(16,9),-0.639111 # DEPENDENCYPART_ARC
(16,10),-0.896851 # DEPENDENCYPART_ARC
(16,11),-0.371555 # DEPENDENCYPART_ARC
(16,12),-0.578858 # DEPENDENCYPART_ARC
(16,13),-0.0540239 # DEPENDENCYPART_ARC
(16,14),0.0468947 # DEPENDENCYPART_ARC
(16,15),0.955926 # DEPENDENCYPART_ARC
(16,17),1.22839 # DEPENDENCYPART_ARC
(16,18),2.5828 # DEPENDENCYPART_ARC
(16,19),3.06637 # DEPENDENCYPART_ARC
(16,20),2.23194 # DEPENDENCYPART_ARC
(16,21),-0.615725 # DEPENDENCYPART_ARC
(16,22),0.140679 # DEPENDENCYPART_ARC
(16,23),0.218355 # DEPENDENCYPART_ARC
(16,24),-0.771927 # DEPENDENCYPART_ARC
(16,25),-1.20354 # DEPENDENCYPART_ARC
(16,26),-0.102495 # DEPENDENCYPART_ARC
(16,27),-0.0077568 # DEPENDENCYPART_ARC
(16,28),0.0837214 # DEPENDENCYPART_ARC
(17,1),-2.59881 # DEPENDENCYPART_ARC
(17,2),-2.59238 # DEPENDENCYPART_ARC
(17,3),-2.61027 # DEPENDENCYPART_ARC
(17,4),-2.37893 # DEPENDENCYPART_ARC
(17,5),-1.91091 # DEPENDENCYPART_ARC
(17,6),-2.2848 # DEPENDENCYPART_ARC
(17,7),-2.46753 # DEPENDENCYPART_ARC
(17,8),-1.22699 # DEPENDENCYPART_ARC
(17,9),-1.92974 # DEPENDENCYPART_ARC
(17,10),-1.90972 # DEPENDENCYPART_ARC
(17,11),-1.59458 # DEPENDENCYPART_ARC
(17,12),-1.61586 # DEPENDENCYPART_ARC
(17,13),-0.942601 # DEPENDENCYPART_ARC
(17,14),-1.06013 # DEPENDENCYPART_ARC
(17,15),-0.69533 # DEPENDENCYPART_ARC
(17,16),0.410792 # DEPENDENCYPART_ARC
(17,18),0.910107 # DEPENDENCYPART_ARC
(17,19),0.23102 # DEPENDENCYPART_ARC
(17,20),-0.108829 # DEPENDENCYPART_ARC
(17,21),-1.30855 # DEPENDENCYPART_ARC
(17,22),-0.519947 # DEPENDENCYPART_ARC
(17,23),-0.747659 # DEPENDENCYPART_ARC
(17,24),-0.848508 # DEPENDENCYPART_ARC
(17,25),-1.60523 # DEPENDENCYPART_ARC
(17,26),-1.42481 # DEPENDENCYPART_ARC
(17,27),-1.31195 # DEPENDENCYPART_ARC
(17,28),-1.25884 # DEPENDENCYPART_ARC
(18,1),-8.09785 # DEPENDENCYPART_ARC
(18,2),-8.02512 # DEPENDENCYPART_ARC
(18,3),-8.68854 # DEPENDENCYPART_ARC
(18,4),-3.4607 # DEPENDENCYPART_ARC
(18,5),-4.34714 # DEPENDENCYPART_ARC
(18,6),-4.08655 # DEPENDENCYPART_ARC
(18,7),-6.28557 # DEPENDENCYPART_ARC
(18,8),-1.80655 # DEPENDENCYPART_ARC
(18,9),-4.33781 # DEPENDENCYPART_ARC
(18,10),-5.29503 # DEPENDENCYPART_ARC
(18,11),-2.60071 # DEPENDENCYPART_ARC
(18,12),-2.03559 # DEPENDENCYPART_ARC
(18,13),-1.23052 # DEPENDENCYPART_ARC
(18,14),-1.69629 # DEPENDENCYPART_ARC
(18,15),-1.29635 # DEPENDENCYPART_ARC
(18,16),-0.590891 # DEPENDENCYPART_ARC
(18,17),2.82677 # DEPENDENCYPART_ARC
(18,19),1.34227 # DEPENDENCYPART_ARC
(18,20),1.03165 # DEPENDENCYPART_ARC
(18,21),-0.302474 # DEPENDENCYPART_ARC
