# _root_ `` We did n't trade much today , as our policy now is to wait and see , '' said a fund manager at Taisho Life Insurance Co .
#goldHeads=20,3,20,3,3,5,5,5,5,11,13,11,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
#predictedHeads=20,3,20,3,3,13,5,13,5,11,13,13,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
(5,4),1.05776 # DEPENDENCYPART_ARC
(5,6),1.0233 # DEPENDENCYPART_ARC
(5,7),3.35246 # DEPENDENCYPART_ARC
(5,8),2.13676 # DEPENDENCYPART_ARC
(5,9),1.87264 # DEPENDENCYPART_ARC
(5,10),-0.47298 # DEPENDENCYPART_ARC
(5,11),-0.573404 # DEPENDENCYPART_ARC
(5,12),1.50045 # DEPENDENCYPART_ARC
(5,13),-0.0119864 # DEPENDENCYPART_ARC
(5,14),0.847913 # DEPENDENCYPART_ARC
(5,15),0.215288 # DEPENDENCYPART_ARC
(5,16),1.8192 # DEPENDENCYPART_ARC
(5,17),-0.38686 # DEPENDENCYPART_ARC
(5,18),-0.0208143 # DEPENDENCYPART_ARC
(5,19),0.982743 # DEPENDENCYPART_ARC
(5,20),-1.09174 # DEPENDENCYPART_ARC
(5,21),-1.69615 # DEPENDENCYPART_ARC
(5,22),-3.52092 # DEPENDENCYPART_ARC
(5,23),-3.34708 # DEPENDENCYPART_ARC
(5,24),-0.573133 # DEPENDENCYPART_ARC
(5,25),-3.26643 # DEPENDENCYPART_ARC
(5,26),-2.96087 # DEPENDENCYPART_ARC
(5,27),-2.94046 # DEPENDENCYPART_ARC
(5,28),-3.25403 # DEPENDENCYPART_ARC
(5,29),1.67798 # DEPENDENCYPART_ARC
(6,1),0.331386 # DEPENDENCYPART_ARC
(6,2),0.113243 # DEPENDENCYPART_ARC
(6,3),0.098612 # DEPENDENCYPART_ARC
(6,4),1.09815 # DEPENDENCYPART_ARC
(6,5),2.04892 # DEPENDENCYPART_ARC
(6,7),1.64587 # DEPENDENCYPART_ARC
(6,8),0.332349 # DEPENDENCYPART_ARC
(6,9),0.365598 # DEPENDENCYPART_ARC
(6,10),-0.81533 # DEPENDENCYPART_ARC
(6,11),-0.333776 # DEPENDENCYPART_ARC
(6,12),-0.617059 # DEPENDENCYPART_ARC
(6,13),0.163448 # DEPENDENCYPART_ARC
(6,14),-0.464371 # DEPENDENCYPART_ARC
(6,15),-1.09548 # DEPENDENCYPART_ARC
(6,16),-1.08924 # DEPENDENCYPART_ARC
(6,17),-1.24451 # DEPENDENCYPART_ARC
(6,18),-0.0796492 # DEPENDENCYPART_ARC
(6,19),-0.0471512 # DEPENDENCYPART_ARC
(6,20),-1.16665 # DEPENDENCYPART_ARC
(6,21),-1.91566 # DEPENDENCYPART_ARC
(6,22),-1.54762 # DEPENDENCYPART_ARC
(6,23),-1.90397 # DEPENDENCYPART_ARC
(6,24),-1.95116 # DEPENDENCYPART_ARC
(6,25),-2.21022 # DEPENDENCYPART_ARC
(6,26),-2.16015 # DEPENDENCYPART_ARC
(6,27),-2.26378 # DEPENDENCYPART_ARC
(6,28),-2.49263 # DEPENDENCYPART_ARC
(6,29),-0.640441 # DEPENDENCYPART_ARC
(7,1),-2.39166 # DEPENDENCYPART_ARC
(7,2),-2.17183 # DEPENDENCYPART_ARC
(7,3),-2.4549 # DEPENDENCYPART_ARC
(7,4),-1.81371 # DEPENDENCYPART_ARC
(7,5),-1.4833 # DEPENDENCYPART_ARC
(7,6),1.06776 # DEPENDENCYPART_ARC
(7,8),0.320603 # DEPENDENCYPART_ARC
(7,9),-0.521363 # DEPENDENCYPART_ARC
(7,10),-1.52207 # DEPENDENCYPART_ARC
(7,11),-1.28111 # DEPENDENCYPART_ARC
(7,12),-1.0504 # DEPENDENCYPART_ARC
(7,13),-0.346437 # DEPENDENCYPART_ARC
(7,14),-1.61695 # DEPENDENCYPART_ARC
(7,15),-1.37197 # DEPENDENCYPART_ARC
(7,16),-1.34369 # DEPENDENCYPART_ARC
(7,17),-1.62438 # DEPENDENCYPART_ARC
(7,18),-1.12187 # DEPENDENCYPART_ARC
(7,19),0.285825 # DEPENDENCYPART_ARC
(7,20),-2.61083 # DEPENDENCYPART_ARC
(7,21),-2.24796 # DEPENDENCYPART_ARC
(7,22),-2.9838 # DEPENDENCYPART_ARC
(7,23),-3.20802 # DEPENDENCYPART_ARC
(7,24),-3.96761 # DEPENDENCYPART_ARC
(7,25),-3.34574 # DEPENDENCYPART_ARC
(7,26),-3.11232 # DEPENDENCYPART_ARC
(7,27),-3.25335 # DEPENDENCYPART_ARC
(7,28),-3.68135 # DEPENDENCYPART_ARC
(7,29),-0.368595 # DEPENDENCYPART_ARC
(8,1),-1.32019 # DEPENDENCYPART_ARC
(8,2),-1.64454 # DEPENDENCYPART_ARC
(8,3),-1.5958 # DEPENDENCYPART_ARC
(8,4),-1.65862 # DEPENDENCYPART_ARC
(8,5),-1.00308 # DEPENDENCYPART_ARC
(8,6),-1.06448 # DEPENDENCYPART_ARC
(8,7),-0.928417 # DEPENDENCYPART_ARC
(8,9),-0.676404 # DEPENDENCYPART_ARC
(8,10),-1.35922 # DEPENDENCYPART_ARC
(8,11),-1.40789 # DEPENDENCYPART_ARC
(8,12),-1.60828 # DEPENDENCYPART_ARC
(8,13),-1.31742 # DEPENDENCYPART_ARC
(8,14),-1.68949 # DEPENDENCYPART_ARC
(8,15),-1.68287 # DEPENDENCYPART_ARC
(8,16),-1.8771 # DEPENDENCYPART_ARC
(8,17),-1.83568 # DEPENDENCYPART_ARC
(8,18),0.311231 # DEPENDENCYPART_ARC
(8,19),-1.46869 # DEPENDENCYPART_ARC
(8,20),-2.07434 # DEPENDENCYPART_ARC
(8,21),-2.69895 # DEPENDENCYPART_ARC
(8,22),-3.00599 # DEPENDENCYPART_ARC
(8,23),-3.15222 # DEPENDENCYPART_ARC
(8,24),-2.29561 # DEPENDENCYPART_ARC
(8,25),-3.10246 # DEPENDENCYPART_ARC
(8,26),-3.24633 # DEPENDENCYPART_ARC
(8,27),-3.36262 # DEPENDENCYPART_ARC
(8,28),-3.45142 # DEPENDENCYPART_ARC
(8,29),-2.5307 # DEPENDENCYPART_ARC
(9,1),-0.517829 # DEPENDENCYPART_ARC
(9,2),-1.1465 # DEPENDENCYPART_ARC
(9,3),-0.55328 # DEPENDENCYPART_ARC
(9,4),-0.583701 # DEPENDENCYPART_ARC
(9,5),-0.385764 # DEPENDENCYPART_ARC
(9,6),0.571097 # DEPENDENCYPART_ARC
(9,7),-0.936859 # DEPENDENCYPART_ARC
(9,8),1.41617 # DEPENDENCYPART_ARC
(9,10),1.05955 # DEPENDENCYPART_ARC
(9,11),2.16477 # DEPENDENCYPART_ARC
(9,12),0.819371 # DEPENDENCYPART_ARC
(9,13),2.81302 # DEPENDENCYPART_ARC
(9,14),-0.287038 # DEPENDENCYPART_ARC
(9,15),0.652216 # DEPENDENCYPART_ARC
(9,16),0.658556 # DEPENDENCYPART_ARC
(9,17),0.52335 # DEPENDENCYPART_ARC
(9,18),1.55609 # DEPENDENCYPART_ARC
(9,19),1.00635 # DEPENDENCYPART_ARC
(9,20),0.0305735 # DEPENDENCYPART_ARC
(9,21),-2.3589 # DEPENDENCYPART_ARC
(9,22),-4.50565 # DEPENDENCYPART_ARC
(9,23),-3.23839 # DEPENDENCYPART_ARC
(9,24),-1.9918 # DEPENDENCYPART_ARC
(9,25),-6.09801 # DEPENDENCYPART_ARC
(9,26),-5.81609 # DEPENDENCYPART_ARC
(9,27),-5.51362 # DEPENDENCYPART_ARC
(9,28),-7.41484 # DEPENDENCYPART_ARC
(9,29),0.326476 # DEPENDENCYPART_ARC
(10,1),-2.27119 # DEPENDENCYPART_ARC
(10,2),-2.538 # DEPENDENCYPART_ARC
(10,3),-2.20567 # DEPENDENCYPART_ARC
(10,4),-2.33705 # DEPENDENCYPART_ARC
(10,5),-2.05954 # DEPENDENCYPART_ARC
(10,6),-1.44324 # DEPENDENCYPART_ARC
(10,7),-1.30074 # DEPENDENCYPART_ARC
(10,8),-0.923586 # DEPENDENCYPART_ARC
(10,9),-0.446369 # DEPENDENCYPART_ARC
(10,11),0.235846 # DEPENDENCYPART_ARC
(10,12),-0.531957 # DEPENDENCYPART_ARC
(10,13),-0.406191 # DEPENDENCYPART_ARC
(10,14),-0.795161 # DEPENDENCYPART_ARC
(10,15),-1.17731 # DEPENDENCYPART_ARC
(10,16),-0.593867 # DEPENDENCYPART_ARC
(10,17),-1.50871 # DEPENDENCYPART_ARC
(10,18),-0.98638 # DEPENDENCYPART_ARC
(10,19),-1.17534 # DEPENDENCYPART_ARC
(10,20),-1.47825 # DEPENDENCYPART_ARC
(10,21),-2.25949 # DEPENDENCYPART_ARC
(10,22),-2.19821 # DEPENDENCYPART_ARC
(10,23),-2.2769 # DEPENDENCYPART_ARC
(10,24),-2.08161 # DEPENDENCYPART_ARC
(10,25),-2.64566 # DEPENDENCYPART_ARC
(10,26),-2.75319 # DEPENDENCYPART_ARC
(10,27),-2.86392 # DEPENDENCYPART_ARC
(10,28),-2.9916 # DEPENDENCYPART_ARC
(10,29),-2.18199 # DEPENDENCYPART_ARC
(11,1),-1.575 # DEPENDENCYPART_ARC
(11,2),-1.3285 # DEPENDENCYPART_ARC
(11,3),-1.60071 # DEPENDENCYPART_ARC
(11,4),-2.47014 # DEPENDENCYPART_ARC
(11,5),-1.49336 # DEPENDENCYPART_ARC
(11,6),0.175399 # DEPENDENCYPART_ARC
(11,7),-0.972176 # DEPENDENCYPART_ARC
(11,8),0.44825 # DEPENDENCYPART_ARC
(11,9),0.357295 # DEPENDENCYPART_ARC
(11,10),3.94572 # DEPENDENCYPART_ARC
(11,12),0.962136 # DEPENDENCYPART_ARC
(11,13),0.217312 # DEPENDENCYPART_ARC
(11,14),0.272011 # DEPENDENCYPART_ARC
(11,15),-0.0456341 # DEPENDENCYPART_ARC
(11,16),-0.0508818 # DEPENDENCYPART_ARC
(11,17),-0.340674 # DEPENDENCYPART_ARC
(11,18),-0.401039 # DEPENDENCYPART_ARC
(11,19),0.200611 # DEPENDENCYPART_ARC
(11,20),-1.62004 # DEPENDENCYPART_ARC
(11,21),-1.01051 # DEPENDENCYPART_ARC
(11,22),-1.44879 # DEPENDENCYPART_ARC
(11,23),-1.64125 # DEPENDENCYPART_ARC
(11,24),-2.55191 # DEPENDENCYPART_ARC
(11,25),-1.95607 # DEPENDENCYPART_ARC
(11,26),-1.67145 # DEPENDENCYPART_ARC
(11,27),-1.84897 # DEPENDENCYPART_ARC
(11,28),-2.13109 # DEPENDENCYPART_ARC
(11,29),1.69172 # DEPENDENCYPART_ARC
(12,1),-1.75462 # DEPENDENCYPART_ARC
(12,2),-1.98939 # DEPENDENCYPART_ARC
(12,3),-1.61099 # DEPENDENCYPART_ARC
(12,4),-0.99739 # DEPENDENCYPART_ARC
(12,5),-1.35252 # DEPENDENCYPART_ARC
(12,6),-0.551202 # DEPENDENCYPART_ARC
(12,7),-1.4687 # DEPENDENCYPART_ARC
(12,8),-0.486205 # DEPENDENCYPART_ARC
(12,9),-0.242522 # DEPENDENCYPART_ARC
(12,10),0.34401 # DEPENDENCYPART_ARC
(12,11),-0.0646796 # DEPENDENCYPART_ARC
(12,13),0.462168 # DEPENDENCYPART_ARC
(12,14),0.304344 # DEPENDENCYPART_ARC
(12,15),-0.691118 # DEPENDENCYPART_ARC
(12,16),-0.159031 # DEPENDENCYPART_ARC
(12,17),-1.3064 # DEPENDENCYPART_ARC
(12,18),-0.599059 # DEPENDENCYPART_ARC
(12,19),-0.908951 # DEPENDENCYPART_ARC
(12,20),-1.47067 # DEPENDENCYPART_ARC
(12,21),-1.60591 # DEPENDENCYPART_ARC
(12,22),-2.2143 # DEPENDENCYPART_ARC
(12,23),-2.16876 # DEPENDENCYPART_ARC
(12,24),-1.7207 # DEPENDENCYPART_ARC
(12,25),-2.58602 # DEPENDENCYPART_ARC
(12,26),-2.56005 # DEPENDENCYPART_ARC
(12,27),-2.60649 # DEPENDENCYPART_ARC
(12,28),-2.68127 # DEPENDENCYPART_ARC
(12,29),-0.363626 # DEPENDENCYPART_ARC
(13,1),1.98441 # DEPENDENCYPART_ARC
(13,2),-0.600937 # DEPENDENCYPART_ARC
(13,3),-0.215272 # DEPENDENCYPART_ARC
(13,4),0.982673 # DEPENDENCYPART_ARC
(13,5),0.546914 # DEPENDENCYPART_ARC
(13,6),1.69809 # DEPENDENCYPART_ARC
(13,7),1.2986 # DEPENDENCYPART_ARC
(13,8),2.14655 # DEPENDENCYPART_ARC
(13,9),1.43338 # DEPENDENCYPART_ARC
(13,10),1.60755 # DEPENDENCYPART_ARC
(13,11),2.50296 # DEPENDENCYPART_ARC
(13,12),3.18485 # DEPENDENCYPART_ARC
(13,14),3.15409 # DEPENDENCYPART_ARC
(13,15),1.79625 # DEPENDENCYPART_ARC
(13,16),2.22412 # DEPENDENCYPART_ARC
(13,17),0.912187 # DEPENDENCYPART_ARC
(13,18),1.87366 # DEPENDENCYPART_ARC
(13,19),1.48228 # DEPENDENCYPART_ARC
(13,20),0.192923 # DEPENDENCYPART_ARC
(13,21),-0.859965 # DEPENDENCYPART_ARC
(13,22),-0.883737 # DEPENDENCYPART_ARC
(13,23),-0.63107 # DEPENDENCYPART_ARC
(13,24),0.0968133 # DEPENDENCYPART_ARC
(13,25),-2.12688 # DEPENDENCYPART_ARC
(13,26),-1.85363 # DEPENDENCYPART_ARC
(13,27),-1.9869 # DEPENDENCYPART_ARC
(13,28),-1.91039 # DEPENDENCYPART_ARC
(13,29),3.33047 # DEPENDENCYPART_ARC
(14,1),-1.46254 # DEPENDENCYPART_ARC
(14,2),-1.81028 # DEPENDENCYPART_ARC
(14,3),-1.55313 # DEPENDENCYPART_ARC
(14,4),-1.74312 # DEPENDENCYPART_ARC
(14,5),-1.19225 # DEPENDENCYPART_ARC
(14,6),-1.25285 # DEPENDENCYPART_ARC
(14,7),-1.17486 # DEPENDENCYPART_ARC
(14,8),-0.357765 # DEPENDENCYPART_ARC
(14,9),-0.207772 # DEPENDENCYPART_ARC
(14,10),0.146095 # DEPENDENCYPART_ARC
(14,11),0.0129002 # DEPENDENCYPART_ARC
(14,12),-0.0590905 # DEPENDENCYPART_ARC
(14,13),0.80735 # DEPENDENCYPART_ARC
(14,15),4.18682 # DEPENDENCYPART_ARC
(14,16),1.30371 # DEPENDENCYPART_ARC
(14,17),1.26468 # DEPENDENCYPART_ARC
(14,18),0.926864 # DEPENDENCYPART_ARC
(14,19),1.14569 # DEPENDENCYPART_ARC
(14,20),-0.0264682 # DEPENDENCYPART_ARC
(14,21),-0.830286 # DEPENDENCYPART_ARC
(14,22),-2.86557 # DEPENDENCYPART_ARC
(14,23),-2.7476 # DEPENDENCYPART_ARC
(14,24),0.228135 # DEPENDENCYPART_ARC
(14,25),-3.72985 # DEPENDENCYPART_ARC
(14,26),-3.27717 # DEPENDENCYPART_ARC
(14,27),-3.3479 # DEPENDENCYPART_ARC
(14,28),-3.79124 # DEPENDENCYPART_ARC
(14,29),1.21558 # DEPENDENCYPART_ARC
(15,1),-0.754759 # DEPENDENCYPART_ARC
(15,2),-1.01785 # DEPENDENCYPART_ARC
(15,3),-1.12772 # DEPENDENCYPART_ARC
(15,4),-0.998639 # DEPENDENCYPART_ARC
(15,5),-0.442552 # DEPENDENCYPART_ARC
(15,6),0.819709 # DEPENDENCYPART_ARC
(15,7),-0.490221 # DEPENDENCYPART_ARC
(15,8),-0.0558625 # DEPENDENCYPART_ARC
(15,9),0.256484 # DEPENDENCYPART_ARC
(15,10),0.546699 # DEPENDENCYPART_ARC
(15,11),0.251472 # DEPENDENCYPART_ARC
(15,12),0.639116 # DEPENDENCYPART_ARC
(15,13),0.500504 # DEPENDENCYPART_ARC
(15,14),1.4148 # DEPENDENCYPART_ARC
(15,16),4.38389 # DEPENDENCYPART_ARC
(15,17),1.81985 # DEPENDENCYPART_ARC
(15,18),1.21843 # DEPENDENCYPART_ARC
(15,19),1.52621 # DEPENDENCYPART_ARC
(15,20),1.10014 # DEPENDENCYPART_ARC
(15,21),-0.0381674 # DEPENDENCYPART_ARC
(15,22),0.539224 # DEPENDENCYPART_ARC
(15,23),0.759471 # DEPENDENCYPART_ARC
(15,24),1.30597 # DEPENDENCYPART_ARC
(15,25),-0.470543 # DEPENDENCYPART_ARC
(15,26),-0.181418 # DEPENDENCYPART_ARC
(15,27),-0.160173 # DEPENDENCYPART_ARC
(15,28),-0.40317 # DEPENDENCYPART_ARC
(15,29),1.24648 # DEPENDENCYPART_ARC
(16,1),-2.19993 # DEPENDENCYPART_ARC
(16,2),-2.2298 # DEPENDENCYPART_ARC
(16,3),-1.17724 # DEPENDENCYPART_ARC
(16,4),-2.2259 # DEPENDENCYPART_ARC
(16,5),-1.66781 # DEPENDENCYPART_ARC
(16,6),-1.52625 # DEPENDENCYPART_ARC
(16,7),-1.17662 # DEPENDENCYPART_ARC
(16,8),-1.59039 # DEPENDENCYPART_ARC
(16,9),-0.767311 # DEPENDENCYPART_ARC
(16,10),-0.489431 # DEPENDENCYPART_ARC
(16,11),-0.685454 # DEPENDENCYPART_ARC
(16,12),-1.07777 # DEPENDENCYPART_ARC
(16,13),-0.142781 # DEPENDENCYPART_ARC
(16,14),-0.39223 # DEPENDENCYPART_ARC
(16,15),0.287868 # DEPENDENCYPART_ARC
(16,17),3.63356 # DEPENDENCYPART_ARC
(16,18),0.841003 # DEPENDENCYPART_ARC
(16,19),0.550996 # DEPENDENCYPART_ARC
(16,20),0.974467 # DEPENDENCYPART_ARC
(16,21),-0.286709 # DEPENDENCYPART_ARC
(16,22),-2.05462 # DEPENDENCYPART_ARC
(16,23),-1.53754 # DEPENDENCYPART_ARC
(16,24),-0.0432173 # DEPENDENCYPART_ARC
(16,25),-2.65092 # DEPENDENCYPART_ARC
(16,26),-2.1381 # DEPENDENCYPART_ARC
(16,27),-2.13237 # DEPENDENCYPART_ARC
(16,28),-3.93859 # DEPENDENCYPART_ARC
(16,29),0.744766 # DEPENDENCYPART_ARC
(17,1),-1.59244 # DEPENDENCYPART_ARC
(17,2),-1.36579 # DEPENDENCYPART_ARC
(17,3),-1.53612 # DEPENDENCYPART_ARC
(17,4),-1.39612 # DEPENDENCYPART_ARC
(17,5),-0.981695 # DEPENDENCYPART_ARC
(17,6),0.32252 # DEPENDENCYPART_ARC
(17,7),-0.417074 # DEPENDENCYPART_ARC
(17,8),-0.657907 # DEPENDENCYPART_ARC
(17,9),-0.498753 # DEPENDENCYPART_ARC
(17,10),0.0286879 # DEPENDENCYPART_ARC
(17,11),-0.262743 # DEPENDENCYPART_ARC
(17,12),-0.163861 # DEPENDENCYPART_ARC
(17,13),-0.0269235 # DEPENDENCYPART_ARC
(17,14),0.0397356 # DEPENDENCYPART_ARC
(17,15),0.470314 # DEPENDENCYPART_ARC
(17,16),1.2733 # DEPENDENCYPART_ARC
(17,18),0.650707 # DEPENDENCYPART_ARC
(17,19),0.345491 # DEPENDENCYPART_ARC
(17,20),-0.0609744 # DEPENDENCYPART_ARC
(17,21),-1.23718 # DEPENDENCYPART_ARC
(17,22),-1.02287 # DEPENDENCYPART_ARC
(17,23),-1.46474 # DEPENDENCYPART_ARC
(17,24),-0.409112 # DEPENDENCYPART_ARC
(17,25),-2.17805 # DEPENDENCYPART_ARC
(17,26),-2.02999 # DEPENDENCYPART_ARC
(17,27),-1.98898 # DEPENDENCYPART_ARC
(17,28),-2.33927 # DEPENDENCYPART_ARC
(17,29),0.756791 # DEPENDENCYPART_ARC
(18,1),-2.67332 # DEPENDENCYPART_ARC
(18,2),-3.09806 # DEPENDENCYPART_ARC
(18,3),-2.46525 # DEPENDENCYPART_ARC
(18,4),-3.26888 # DEPENDENCYPART_ARC
