# _root_ `` The beginning was chaotic , '' says Nigel Longley , a broker for Commerzbank
#goldHeads=4,3,4,8,4,4,4,0,10,8,10,13,10,13,14,
#predictedHeads=8,3,4,8,4,8,8,0,10,8,10,13,10,13,14,
(12,5),-1.86721 # DEPENDENCYPART_ARC
(12,6),-1.75687 # DEPENDENCYPART_ARC
(12,7),-1.77996 # DEPENDENCYPART_ARC
(12,8),-1.55185 # DEPENDENCYPART_ARC
(12,9),-1.05542 # DEPENDENCYPART_ARC
(12,10),-1.03456 # DEPENDENCYPART_ARC
(12,11),-0.124774 # DEPENDENCYPART_ARC
(12,13),0.583665 # DEPENDENCYPART_ARC
(12,14),-0.31069 # DEPENDENCYPART_ARC
(12,15),-0.445435 # DEPENDENCYPART_ARC
(13,1),-0.689159 # DEPENDENCYPART_ARC
(13,2),-0.816937 # DEPENDENCYPART_ARC
(13,3),-2.42737 # DEPENDENCYPART_ARC
(13,4),-1.08288 # DEPENDENCYPART_ARC
(13,5),-0.608332 # DEPENDENCYPART_ARC
(13,6),0.130867 # DEPENDENCYPART_ARC
(13,7),-0.482833 # DEPENDENCYPART_ARC
(13,8),-0.686667 # DEPENDENCYPART_ARC
(13,9),0.274565 # DEPENDENCYPART_ARC
(13,10),-0.607436 # DEPENDENCYPART_ARC
(13,11),0.588488 # DEPENDENCYPART_ARC
(13,12),4.15727 # DEPENDENCYPART_ARC
(13,14),3.17353 # DEPENDENCYPART_ARC
(13,15),1.00678 # DEPENDENCYPART_ARC
(14,1),-1.17839 # DEPENDENCYPART_ARC
(14,2),-1.71044 # DEPENDENCYPART_ARC
(14,3),-2.85246 # DEPENDENCYPART_ARC
(14,4),-1.79892 # DEPENDENCYPART_ARC
(14,5),-1.52387 # DEPENDENCYPART_ARC
(14,6),-1.21367 # DEPENDENCYPART_ARC
(14,7),-1.66017 # DEPENDENCYPART_ARC
(14,8),-1.09427 # DEPENDENCYPART_ARC
(14,9),-1.37307 # DEPENDENCYPART_ARC
(14,10),-1.37867 # DEPENDENCYPART_ARC
(14,11),-0.311223 # DEPENDENCYPART_ARC
(14,12),0.182461 # DEPENDENCYPART_ARC
(14,13),0.159715 # DEPENDENCYPART_ARC
(14,15),2.78773 # DEPENDENCYPART_ARC
(15,1),-2.66406 # DEPENDENCYPART_ARC
(15,2),-3.76567 # DEPENDENCYPART_ARC
(15,3),-5.08728 # DEPENDENCYPART_ARC
(15,4),-3.85517 # DEPENDENCYPART_ARC
(15,5),-3.36696 # DEPENDENCYPART_ARC
(15,6),-3.28551 # DEPENDENCYPART_ARC
(15,7),-3.08172 # DEPENDENCYPART_ARC
(15,8),-3.24715 # DEPENDENCYPART_ARC
(15,9),-1.8722 # DEPENDENCYPART_ARC
(15,10),-2.48909 # DEPENDENCYPART_ARC
(15,11),-1.57716 # DEPENDENCYPART_ARC
(15,12),-0.250715 # DEPENDENCYPART_ARC
(15,13),-1.274 # DEPENDENCYPART_ARC
(15,14),0.248834 # DEPENDENCYPART_ARC
