# _root_ `` For all intents and purposes , an agreement appears to have been achieved , '' he said .
#goldHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
#predictedHeads=18,10,4,2,4,5,10,9,10,18,10,11,12,13,18,18,18,0,18,
(11,10),1.4642 # DEPENDENCYPART_ARC
(11,12),4.36002 # DEPENDENCYPART_ARC
(11,13),1.10035 # DEPENDENCYPART_ARC
(11,14),0.434587 # DEPENDENCYPART_ARC
(11,15),0.898639 # DEPENDENCYPART_ARC
(11,16),1.03858 # DEPENDENCYPART_ARC
(11,17),-0.00689187 # DEPENDENCYPART_ARC
(11,18),0.0504072 # DEPENDENCYPART_ARC
(11,19),0.428078 # DEPENDENCYPART_ARC
(12,1),0.170128 # DEPENDENCYPART_ARC
(12,2),-0.695897 # DEPENDENCYPART_ARC
(12,3),-0.0647351 # DEPENDENCYPART_ARC
(12,4),-0.135221 # DEPENDENCYPART_ARC
(12,5),-0.96732 # DEPENDENCYPART_ARC
(12,6),0.2793 # DEPENDENCYPART_ARC
(12,7),-0.661738 # DEPENDENCYPART_ARC
(12,8),0.340908 # DEPENDENCYPART_ARC
(12,9),0.484637 # DEPENDENCYPART_ARC
(12,10),0.064005 # DEPENDENCYPART_ARC
(12,11),0.978194 # DEPENDENCYPART_ARC
(12,13),4.30295 # DEPENDENCYPART_ARC
(12,14),2.33927 # DEPENDENCYPART_ARC
(12,15),0.170378 # DEPENDENCYPART_ARC
(12,16),0.439349 # DEPENDENCYPART_ARC
(12,17),-0.0136622 # DEPENDENCYPART_ARC
(12,18),-0.146898 # DEPENDENCYPART_ARC
(12,19),1.21379 # DEPENDENCYPART_ARC
(13,1),-0.625893 # DEPENDENCYPART_ARC
(13,2),-1.18076 # DEPENDENCYPART_ARC
(13,3),-0.486756 # DEPENDENCYPART_ARC
(13,4),-0.423079 # DEPENDENCYPART_ARC
(13,5),-1.3523 # DEPENDENCYPART_ARC
(13,6),-0.589533 # DEPENDENCYPART_ARC
(13,7),-0.0900798 # DEPENDENCYPART_ARC
(13,8),-0.139028 # DEPENDENCYPART_ARC
(13,9),0.0745409 # DEPENDENCYPART_ARC
(13,10),0.424928 # DEPENDENCYPART_ARC
(13,11),0.249935 # DEPENDENCYPART_ARC
(13,12),0.511461 # DEPENDENCYPART_ARC
(13,14),3.81829 # DEPENDENCYPART_ARC
(13,15),0.53976 # DEPENDENCYPART_ARC
(13,16),0.820608 # DEPENDENCYPART_ARC
(13,17),0.305219 # DEPENDENCYPART_ARC
(13,18),0.0582759 # DEPENDENCYPART_ARC
(13,19),0.756321 # DEPENDENCYPART_ARC
(14,1),-0.288224 # DEPENDENCYPART_ARC
(14,2),-0.978608 # DEPENDENCYPART_ARC
(14,3),-0.360341 # DEPENDENCYPART_ARC
(14,4),-0.0947872 # DEPENDENCYPART_ARC
(14,5),-1.07399 # DEPENDENCYPART_ARC
(14,6),-0.237535 # DEPENDENCYPART_ARC
(14,7),0.144738 # DEPENDENCYPART_ARC
(14,8),0.208045 # DEPENDENCYPART_ARC
(14,9),0.268964 # DEPENDENCYPART_ARC
(14,10),0.0459666 # DEPENDENCYPART_ARC
(14,11),0.500883 # DEPENDENCYPART_ARC
(14,12),0.175469 # DEPENDENCYPART_ARC
(14,13),1.01359 # DEPENDENCYPART_ARC
(14,15),1.24273 # DEPENDENCYPART_ARC
(14,16),0.963169 # DEPENDENCYPART_ARC
(14,17),0.327499 # DEPENDENCYPART_ARC
(14,18),0.132715 # DEPENDENCYPART_ARC
(14,19),0.294705 # DEPENDENCYPART_ARC
(15,1),-2.15161 # DEPENDENCYPART_ARC
(15,2),-2.18121 # DEPENDENCYPART_ARC
(15,3),-2.08931 # DEPENDENCYPART_ARC
(15,4),-2.45528 # DEPENDENCYPART_ARC
(15,5),-2.30043 # DEPENDENCYPART_ARC
(15,6),-2.226 # DEPENDENCYPART_ARC
(15,7),-0.407308 # DEPENDENCYPART_ARC
(15,8),-1.29337 # DEPENDENCYPART_ARC
(15,9),-1.63738 # DEPENDENCYPART_ARC
(15,10),-1.73451 # DEPENDENCYPART_ARC
(15,11),-1.24752 # DEPENDENCYPART_ARC
(15,12),-1.11917 # DEPENDENCYPART_ARC
(15,13),-0.961156 # DEPENDENCYPART_ARC
(15,14),-0.283103 # DEPENDENCYPART_ARC
(15,16),0.604102 # DEPENDENCYPART_ARC
(15,17),-0.522659 # DEPENDENCYPART_ARC
(15,18),-0.328882 # DEPENDENCYPART_ARC
(15,19),-0.71013 # DEPENDENCYPART_ARC
(16,1),-0.545984 # DEPENDENCYPART_ARC
(16,2),-2.32118 # DEPENDENCYPART_ARC
(16,3),-1.95866 # DEPENDENCYPART_ARC
(16,4),-2.2336 # DEPENDENCYPART_ARC
(16,5),-2.307 # DEPENDENCYPART_ARC
(16,6),-2.01343 # DEPENDENCYPART_ARC
(16,7),-1.56077 # DEPENDENCYPART_ARC
(16,8),-1.18984 # DEPENDENCYPART_ARC
(16,9),-2.06195 # DEPENDENCYPART_ARC
(16,10),-1.17343 # DEPENDENCYPART_ARC
(16,11),-1.50592 # DEPENDENCYPART_ARC
(16,12),-1.27424 # DEPENDENCYPART_ARC
(16,13),-1.0172 # DEPENDENCYPART_ARC
(16,14),-0.867617 # DEPENDENCYPART_ARC
(16,15),0.323568 # DEPENDENCYPART_ARC
(16,17),-0.00289257 # DEPENDENCYPART_ARC
(16,18),-0.0475982 # DEPENDENCYPART_ARC
(16,19),-0.487627 # DEPENDENCYPART_ARC
(17,1),-2.43904 # DEPENDENCYPART_ARC
(17,2),-2.14032 # DEPENDENCYPART_ARC
(17,3),-1.76993 # DEPENDENCYPART_ARC
(17,4),-2.49265 # DEPENDENCYPART_ARC
(17,5),-1.98013 # DEPENDENCYPART_ARC
(17,6),-2.33588 # DEPENDENCYPART_ARC
(17,7),-0.726446 # DEPENDENCYPART_ARC
(17,8),-0.88108 # DEPENDENCYPART_ARC
(17,9),-2.07742 # DEPENDENCYPART_ARC
(17,10),-1.40729 # DEPENDENCYPART_ARC
(17,11),-1.29379 # DEPENDENCYPART_ARC
(17,12),-1.24226 # DEPENDENCYPART_ARC
(17,13),-0.922274 # DEPENDENCYPART_ARC
(17,14),-0.578369 # DEPENDENCYPART_ARC
(17,15),0.783474 # DEPENDENCYPART_ARC
(17,16),0.00192981 # DEPENDENCYPART_ARC
(17,18),1.28557 # DEPENDENCYPART_ARC
(17,19),-0.280189 # DEPENDENCYPART_ARC
(18,1),3.82156 # DEPENDENCYPART_ARC
(18,2),-1.54321 # DEPENDENCYPART_ARC
(18,3),-1.44793 # DEPENDENCYPART_ARC
(18,4),-1.75294 # DEPENDENCYPART_ARC
(18,5),-0.505126 # DEPENDENCYPART_ARC
(18,6),-2.06589 # DEPENDENCYPART_ARC
(18,7),1.5815 # DEPENDENCYPART_ARC
(18,8),-0.690558 # DEPENDENCYPART_ARC
(18,9),-0.890465 # DEPENDENCYPART_ARC
(18,10),1.11907 # DEPENDENCYPART_ARC
(18,11),-0.433826 # DEPENDENCYPART_ARC
(18,12),1.01927 # DEPENDENCYPART_ARC
(18,13),-0.223175 # DEPENDENCYPART_ARC
(18,14),0.203753 # DEPENDENCYPART_ARC
(18,15),3.32573 # DEPENDENCYPART_ARC
(18,16),3.76822 # DEPENDENCYPART_ARC
(18,17),4.16465 # DEPENDENCYPART_ARC
(18,19),7.11753 # DEPENDENCYPART_ARC
(19,1),-2.4788 # DEPENDENCYPART_ARC
(19,2),-3.07293 # DEPENDENCYPART_ARC
(19,3),-2.46244 # DEPENDENCYPART_ARC
(19,4),-2.68232 # DEPENDENCYPART_ARC
(19,5),-2.3718 # DEPENDENCYPART_ARC
(19,6),-2.38959 # DEPENDENCYPART_ARC
(19,7),-1.05538 # DEPENDENCYPART_ARC
(19,8),-1.898 # DEPENDENCYPART_ARC
(19,9),-2.33072 # DEPENDENCYPART_ARC
(19,10),-1.62887 # DEPENDENCYPART_ARC
(19,11),-1.81941 # DEPENDENCYPART_ARC
(19,12),-1.81186 # DEPENDENCYPART_ARC
(19,13),-1.39797 # DEPENDENCYPART_ARC
(19,14),-1.75082 # DEPENDENCYPART_ARC
(19,15),-0.580569 # DEPENDENCYPART_ARC
(19,16),-1.12938 # DEPENDENCYPART_ARC
(19,17),-0.925655 # DEPENDENCYPART_ARC
(19,18),-1.00176 # DEPENDENCYPART_ARC
