# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(2,4),1.87054 # DEPENDENCYPART_ARC
(2,5),1.88332 # DEPENDENCYPART_ARC
(2,6),-0.0534999 # DEPENDENCYPART_ARC
(2,7),-0.424567 # DEPENDENCYPART_ARC
(2,8),-0.153749 # DEPENDENCYPART_ARC
(2,9),0.464119 # DEPENDENCYPART_ARC
(2,10),1.37169 # DEPENDENCYPART_ARC
(2,11),-0.173126 # DEPENDENCYPART_ARC
(2,12),-0.433763 # DEPENDENCYPART_ARC
(2,13),-1.18339 # DEPENDENCYPART_ARC
(2,14),-0.108119 # DEPENDENCYPART_ARC
(2,15),-1.24535 # DEPENDENCYPART_ARC
(2,16),-1.73106 # DEPENDENCYPART_ARC
(2,17),0.786687 # DEPENDENCYPART_ARC
(2,18),-0.306517 # DEPENDENCYPART_ARC
(3,1),5.27992 # DEPENDENCYPART_ARC
(3,2),5.52996 # DEPENDENCYPART_ARC
(3,4),3.7054 # DEPENDENCYPART_ARC
(3,5),3.36858 # DEPENDENCYPART_ARC
(3,6),1.11042 # DEPENDENCYPART_ARC
(3,7),0.538725 # DEPENDENCYPART_ARC
(3,8),0.914383 # DEPENDENCYPART_ARC
(3,9),2.01667 # DEPENDENCYPART_ARC
(3,10),3.75923 # DEPENDENCYPART_ARC
(3,11),1.07507 # DEPENDENCYPART_ARC
(3,12),0.574607 # DEPENDENCYPART_ARC
(3,13),0.0284149 # DEPENDENCYPART_ARC
(3,14),0.963178 # DEPENDENCYPART_ARC
(3,15),-0.0275189 # DEPENDENCYPART_ARC
(3,16),-0.602898 # DEPENDENCYPART_ARC
(3,17),1.58259 # DEPENDENCYPART_ARC
(3,18),0.694902 # DEPENDENCYPART_ARC
(4,1),-1.93952 # DEPENDENCYPART_ARC
(4,2),-2.07626 # DEPENDENCYPART_ARC
(4,3),-1.48523 # DEPENDENCYPART_ARC
(4,5),-1.07204 # DEPENDENCYPART_ARC
(4,6),-1.49073 # DEPENDENCYPART_ARC
(4,7),-1.54963 # DEPENDENCYPART_ARC
(4,8),-1.83243 # DEPENDENCYPART_ARC
(4,9),-2.03219 # DEPENDENCYPART_ARC
(4,10),-0.88749 # DEPENDENCYPART_ARC
(4,11),-2.06081 # DEPENDENCYPART_ARC
(4,12),-2.66027 # DEPENDENCYPART_ARC
(4,13),-2.93256 # DEPENDENCYPART_ARC
(4,14),-1.77557 # DEPENDENCYPART_ARC
(4,15),-2.8286 # DEPENDENCYPART_ARC
(4,16),-3.21492 # DEPENDENCYPART_ARC
(4,17),-2.27096 # DEPENDENCYPART_ARC
(4,18),-2.3043 # DEPENDENCYPART_ARC
(5,1),1.92557 # DEPENDENCYPART_ARC
(5,2),1.97197 # DEPENDENCYPART_ARC
(5,3),1.40331 # DEPENDENCYPART_ARC
(5,4),1.09795 # DEPENDENCYPART_ARC
(5,6),3.0162 # DEPENDENCYPART_ARC
(5,7),0.332266 # DEPENDENCYPART_ARC
(5,8),0.320479 # DEPENDENCYPART_ARC
(5,9),0.591454 # DEPENDENCYPART_ARC
(5,10),0.501309 # DEPENDENCYPART_ARC
(5,11),1.24983 # DEPENDENCYPART_ARC
(5,12),-0.763224 # DEPENDENCYPART_ARC
(5,13),-0.567992 # DEPENDENCYPART_ARC
(5,14),-0.128319 # DEPENDENCYPART_ARC
(5,15),-0.791311 # DEPENDENCYPART_ARC
(5,16),-0.948923 # DEPENDENCYPART_ARC
(5,17),0.591562 # DEPENDENCYPART_ARC
(5,18),-0.166947 # DEPENDENCYPART_ARC
(6,1),-0.787759 # DEPENDENCYPART_ARC
(6,2),-0.723681 # DEPENDENCYPART_ARC
(6,3),-0.510658 # DEPENDENCYPART_ARC
(6,4),0.405813 # DEPENDENCYPART_ARC
(6,5),0.844757 # DEPENDENCYPART_ARC
(6,7),2.68341 # DEPENDENCYPART_ARC
(6,8),2.99874 # DEPENDENCYPART_ARC
(6,9),2.9263 # DEPENDENCYPART_ARC
(6,10),0.704056 # DEPENDENCYPART_ARC
(6,11),0.912719 # DEPENDENCYPART_ARC
(6,12),-1.57007 # DEPENDENCYPART_ARC
(6,13),-1.07205 # DEPENDENCYPART_ARC
(6,14),-0.533396 # DEPENDENCYPART_ARC
(6,15),-0.748395 # DEPENDENCYPART_ARC
(6,16),-0.369988 # DEPENDENCYPART_ARC
(6,17),0.00833371 # DEPENDENCYPART_ARC
(6,18),-0.325581 # DEPENDENCYPART_ARC
(7,1),-3.14712 # DEPENDENCYPART_ARC
(7,2),-2.53292 # DEPENDENCYPART_ARC
(7,3),-2.8735 # DEPENDENCYPART_ARC
(7,4),-2.59686 # DEPENDENCYPART_ARC
(7,5),-2.50773 # DEPENDENCYPART_ARC
(7,6),-1.68583 # DEPENDENCYPART_ARC
(7,8),0.89249 # DEPENDENCYPART_ARC
(7,9),2.08733 # DEPENDENCYPART_ARC
(7,10),0.408662 # DEPENDENCYPART_ARC
(7,11),-1.31349 # DEPENDENCYPART_ARC
(7,12),-1.47859 # DEPENDENCYPART_ARC
(7,13),-2.03824 # DEPENDENCYPART_ARC
(7,14),-1.08573 # DEPENDENCYPART_ARC
(7,15),-2.14263 # DEPENDENCYPART_ARC
(7,16),-2.21434 # DEPENDENCYPART_ARC
(7,17),-0.908752 # DEPENDENCYPART_ARC
(7,18),-1.4179 # DEPENDENCYPART_ARC
(8,1),0.654675 # DEPENDENCYPART_ARC
(8,2),0.305243 # DEPENDENCYPART_ARC
(8,3),0.199622 # DEPENDENCYPART_ARC
(8,4),0.156953 # DEPENDENCYPART_ARC
(8,5),0.17876 # DEPENDENCYPART_ARC
(8,6),0.0528835 # DEPENDENCYPART_ARC
(8,7),4.87892 # DEPENDENCYPART_ARC
(8,9),4.24291 # DEPENDENCYPART_ARC
(8,10),2.34696 # DEPENDENCYPART_ARC
(8,11),0.672228 # DEPENDENCYPART_ARC
(8,12),0.397325 # DEPENDENCYPART_ARC
(8,13),0.154135 # DEPENDENCYPART_ARC
(8,14),0.4953 # DEPENDENCYPART_ARC
(8,15),-0.0832169 # DEPENDENCYPART_ARC
(8,16),-0.376887 # DEPENDENCYPART_ARC
(8,17),1.00084 # DEPENDENCYPART_ARC
(8,18),0.390338 # DEPENDENCYPART_ARC
(9,1),0.616432 # DEPENDENCYPART_ARC
(9,2),0.23731 # DEPENDENCYPART_ARC
(9,3),-1.0505 # DEPENDENCYPART_ARC
(9,4),-0.546799 # DEPENDENCYPART_ARC
(9,5),-0.210695 # DEPENDENCYPART_ARC
(9,6),-0.752723 # DEPENDENCYPART_ARC
(9,7),3.41033 # DEPENDENCYPART_ARC
(9,8),2.65985 # DEPENDENCYPART_ARC
(9,10),-0.0790199 # DEPENDENCYPART_ARC
(9,11),-1.02775 # DEPENDENCYPART_ARC
(9,12),-1.37397 # DEPENDENCYPART_ARC
(9,13),-1.60516 # DEPENDENCYPART_ARC
(9,14),-1.38914 # DEPENDENCYPART_ARC
(9,15),-1.73313 # DEPENDENCYPART_ARC
(9,16),-2.21898 # DEPENDENCYPART_ARC
(9,17),-0.98704 # DEPENDENCYPART_ARC
(9,18),-1.5638 # DEPENDENCYPART_ARC
(10,1),-2.03508 # DEPENDENCYPART_ARC
(10,2),-1.97601 # DEPENDENCYPART_ARC
(10,3),-1.94387 # DEPENDENCYPART_ARC
(10,4),-0.287939 # DEPENDENCYPART_ARC
(10,5),-1.42605 # DEPENDENCYPART_ARC
(10,6),-1.10347 # DEPENDENCYPART_ARC
(10,7),-1.1693 # DEPENDENCYPART_ARC
(10,8),-1.31346 # DEPENDENCYPART_ARC
(10,9),-0.722434 # DEPENDENCYPART_ARC
(10,11),0.165483 # DEPENDENCYPART_ARC
(10,12),-1.09461 # DEPENDENCYPART_ARC
(10,13),-1.28876 # DEPENDENCYPART_ARC
(10,14),-0.893481 # DEPENDENCYPART_ARC
(10,15),-1.69041 # DEPENDENCYPART_ARC
(10,16),-1.91823 # DEPENDENCYPART_ARC
(10,17),-1.28183 # DEPENDENCYPART_ARC
(10,18),-1.32994 # DEPENDENCYPART_ARC
(11,1),1.44767 # DEPENDENCYPART_ARC
(11,2),0.871825 # DEPENDENCYPART_ARC
(11,3),1.60341 # DEPENDENCYPART_ARC
(11,4),1.11912 # DEPENDENCYPART_ARC
(11,5),0.869595 # DEPENDENCYPART_ARC
(11,6),0.0583269 # DEPENDENCYPART_ARC
(11,7),0.505016 # DEPENDENCYPART_ARC
(11,8),1.18399 # DEPENDENCYPART_ARC
(11,9),0.73415 # DEPENDENCYPART_ARC
(11,10),1.51616 # DEPENDENCYPART_ARC
(11,12),1.04165 # DEPENDENCYPART_ARC
(11,13),2.92691 # DEPENDENCYPART_ARC
(11,14),0.66455 # DEPENDENCYPART_ARC
(11,15),0.809932 # DEPENDENCYPART_ARC
(11,16),2.18966 # DEPENDENCYPART_ARC
(11,17),4.13181 # DEPENDENCYPART_ARC
(11,18),3.4833 # DEPENDENCYPART_ARC
(12,1),-3.55347 # DEPENDENCYPART_ARC
(12,2),-3.27413 # DEPENDENCYPART_ARC
(12,3),-3.18748 # DEPENDENCYPART_ARC
(12,4),-2.97587 # DEPENDENCYPART_ARC
(12,5),-3.25591 # DEPENDENCYPART_ARC
(12,6),-2.46752 # DEPENDENCYPART_ARC
(12,7),-2.64957 # DEPENDENCYPART_ARC
(12,8),-2.42542 # DEPENDENCYPART_ARC
(12,9),-2.08152 # DEPENDENCYPART_ARC
(12,10),-1.73085 # DEPENDENCYPART_ARC
(12,11),-1.34838 # DEPENDENCYPART_ARC
(12,13),-0.422388 # DEPENDENCYPART_ARC
(12,14),-1.24614 # DEPENDENCYPART_ARC
(12,15),-1.54513 # DEPENDENCYPART_ARC
(12,16),-1.76248 # DEPENDENCYPART_ARC
(12,17),-1.67528 # DEPENDENCYPART_ARC
(12,18),-1.06732 # DEPENDENCYPART_ARC
(13,1),-2.1587 # DEPENDENCYPART_ARC
(13,2),-2.33237 # DEPENDENCYPART_ARC
(13,3),-2.73053 # DEPENDENCYPART_ARC
(13,4),-0.621763 # DEPENDENCYPART_ARC
(13,5),-2.66008 # DEPENDENCYPART_ARC
(13,6),-0.406995 # DEPENDENCYPART_ARC
(13,7),-0.139335 # DEPENDENCYPART_ARC
(13,8),-0.0349346 # DEPENDENCYPART_ARC
(13,9),-0.829536 # DEPENDENCYPART_ARC
(13,10),0.0769005 # DEPENDENCYPART_ARC
(13,11),-0.0660253 # DEPENDENCYPART_ARC
(13,12),4.13961 # DEPENDENCYPART_ARC
(13,14),1.07826 # DEPENDENCYPART_ARC
(13,15),0.612424 # DEPENDENCYPART_ARC
(13,16),0.393771 # DEPENDENCYPART_ARC
(13,17),0.966737 # DEPENDENCYPART_ARC
(13,18),0.306068 # DEPENDENCYPART_ARC
(14,1),-2.54466 # DEPENDENCYPART_ARC
(14,2),-2.4841 # DEPENDENCYPART_ARC
(14,3),-2.38063 # DEPENDENCYPART_ARC
(14,4),-1.96496 # DEPENDENCYPART_ARC
(14,5),-2.03163 # DEPENDENCYPART_ARC
(14,6),-1.74452 # DEPENDENCYPART_ARC
(14,7),-1.77194 # DEPENDENCYPART_ARC
(14,8),-1.64952 # DEPENDENCYPART_ARC
(14,9),-1.5786 # DEPENDENCYPART_ARC
(14,10),-1.1043 # DEPENDENCYPART_ARC
(14,11),-1.09524 # DEPENDENCYPART_ARC
(14,12),-0.357668 # DEPENDENCYPART_ARC
(14,13),-0.0265733 # DEPENDENCYPART_ARC
(14,15),0.556059 # DEPENDENCYPART_ARC
(14,16),0.0469434 # DEPENDENCYPART_ARC
(14,17),-0.632387 # DEPENDENCYPART_ARC
(14,18),0.319606 # DEPENDENCYPART_ARC
(15,1),-2.3812 # DEPENDENCYPART_ARC
(15,2),-2.23384 # DEPENDENCYPART_ARC
(15,3),-2.11654 # DEPENDENCYPART_ARC
(15,4),-1.63971 # DEPENDENCYPART_ARC
(15,5),-1.77978 # DEPENDENCYPART_ARC
(15,6),-0.867517 # DEPENDENCYPART_ARC
(15,7),-1.56877 # DEPENDENCYPART_ARC
(15,8),-1.49354 # DEPENDENCYPART_ARC
(15,9),-1.29225 # DEPENDENCYPART_ARC
(15,10),-0.917721 # DEPENDENCYPART_ARC
(15,11),-1.06382 # DEPENDENCYPART_ARC
(15,12),0.445009 # DEPENDENCYPART_ARC
(15,13),-0.593634 # DEPENDENCYPART_ARC
(15,14),0.637407 # DEPENDENCYPART_ARC
(15,16),1.12483 # DEPENDENCYPART_ARC
(15,17),0.31365 # DEPENDENCYPART_ARC
(15,18),0.51045 # DEPENDENCYPART_ARC
(16,1),-0.864494 # DEPENDENCYPART_ARC
(16,2),-1.06629 # DEPENDENCYPART_ARC
(16,3),-1.35317 # DEPENDENCYPART_ARC
(16,4),-0.255847 # DEPENDENCYPART_ARC
(16,5),-1.1588 # DEPENDENCYPART_ARC
(16,6),-0.124527 # DEPENDENCYPART_ARC
(16,7),-0.00910173 # DEPENDENCYPART_ARC
(16,8),-0.371257 # DEPENDENCYPART_ARC
(16,9),-0.685301 # DEPENDENCYPART_ARC
(16,10),-0.015535 # DEPENDENCYPART_ARC
(16,11),-0.614128 # DEPENDENCYPART_ARC
(16,12),1.35482 # DEPENDENCYPART_ARC
(16,13),0.558593 # DEPENDENCYPART_ARC
(16,14),2.06123 # DEPENDENCYPART_ARC
(16,15),3.55375 # DEPENDENCYPART_ARC
(16,17),0.57669 # DEPENDENCYPART_ARC
(16,18),0.14709 # DEPENDENCYPART_ARC
(17,1),-2.31424 # DEPENDENCYPART_ARC
(17,2),-2.36822 # DEPENDENCYPART_ARC
(17,3),-2.42463 # DEPENDENCYPART_ARC
(17,4),-1.23835 # DEPENDENCYPART_ARC
(17,5),-2.20381 # DEPENDENCYPART_ARC
(17,6),-1.87377 # DEPENDENCYPART_ARC
(17,7),-1.93496 # DEPENDENCYPART_ARC
(17,8),-1.93563 # DEPENDENCYPART_ARC
(17,9),-1.98497 # DEPENDENCYPART_ARC
(17,10),-0.483609 # DEPENDENCYPART_ARC
(17,11),-1.04158 # DEPENDENCYPART_ARC
(17,12),-1.27327 # DEPENDENCYPART_ARC
(17,13),-1.85978 # DEPENDENCYPART_ARC
(17,14),-0.81187 # DEPENDENCYPART_ARC
(17,15),-1.41687 # DEPENDENCYPART_ARC
(17,16),-1.17754 # DEPENDENCYPART_ARC
(17,18),-0.595435 # DEPENDENCYPART_ARC
(18,1),-2.89995 # DEPENDENCYPART_ARC
(18,2),-2.81921 # DEPENDENCYPART_ARC
(18,3),-2.71831 # DEPENDENCYPART_ARC
(18,4),-1.91976 # DEPENDENCYPART_ARC
(18,5),-2.68859 # DEPENDENCYPART_ARC
(18,6),-1.89767 # DEPENDENCYPART_ARC
(18,7),-2.29556 # DEPENDENCYPART_ARC
(18,8),-2.05743 # DEPENDENCYPART_ARC
(18,9),-1.96979 # DEPENDENCYPART_ARC
(18,10),-1.33385 # DEPENDENCYPART_ARC
(18,11),-1.52861 # DEPENDENCYPART_ARC
(18,12),-0.417744 # DEPENDENCYPART_ARC
(18,13),-1.2638 # DEPENDENCYPART_ARC
(18,14),0.156073 # DEPENDENCYPART_ARC
(18,15),-1.02666 # DEPENDENCYPART_ARC
(18,16),-1.00623 # DEPENDENCYPART_ARC
(18,17),-0.228886 # DEPENDENCYPART_ARC
