# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(2,3),1.11224 # DEPENDENCYPART_ARC
(2,4),0.0720108 # DEPENDENCYPART_ARC
(2,5),0.694712 # DEPENDENCYPART_ARC
(2,6),0.288399 # DEPENDENCYPART_ARC
(2,7),-0.0313114 # DEPENDENCYPART_ARC
(2,8),0.320401 # DEPENDENCYPART_ARC
(2,9),-0.493934 # DEPENDENCYPART_ARC
(2,10),-0.581496 # DEPENDENCYPART_ARC
(2,11),-0.64284 # DEPENDENCYPART_ARC
(2,12),-0.0227959 # DEPENDENCYPART_ARC
(2,13),-0.827524 # DEPENDENCYPART_ARC
(2,14),-0.302806 # DEPENDENCYPART_ARC
(2,15),-0.426867 # DEPENDENCYPART_ARC
(2,16),-1.00873 # DEPENDENCYPART_ARC
(2,17),-1.3176 # DEPENDENCYPART_ARC
(2,18),-1.38422 # DEPENDENCYPART_ARC
(2,19),-1.47258 # DEPENDENCYPART_ARC
(2,20),-1.99874 # DEPENDENCYPART_ARC
(2,21),-1.40099 # DEPENDENCYPART_ARC
(2,22),-0.518039 # DEPENDENCYPART_ARC
(2,23),-1.7058 # DEPENDENCYPART_ARC
(2,24),-2.23188 # DEPENDENCYPART_ARC
(2,25),-1.95824 # DEPENDENCYPART_ARC
(2,26),-2.03862 # DEPENDENCYPART_ARC
(2,27),-1.42086 # DEPENDENCYPART_ARC
(3,1),2.58595 # DEPENDENCYPART_ARC
(3,2),4.1966 # DEPENDENCYPART_ARC
(3,4),2.41009 # DEPENDENCYPART_ARC
(3,5),2.56394 # DEPENDENCYPART_ARC
(3,6),2.10687 # DEPENDENCYPART_ARC
(3,7),0.746819 # DEPENDENCYPART_ARC
(3,8),0.998316 # DEPENDENCYPART_ARC
(3,9),-0.271381 # DEPENDENCYPART_ARC
(3,10),-0.189368 # DEPENDENCYPART_ARC
(3,11),0.117607 # DEPENDENCYPART_ARC
(3,12),-0.40572 # DEPENDENCYPART_ARC
(3,13),0.204735 # DEPENDENCYPART_ARC
(3,14),-1.29064 # DEPENDENCYPART_ARC
(3,15),-0.865067 # DEPENDENCYPART_ARC
(3,16),-0.235579 # DEPENDENCYPART_ARC
(3,17),-1.79975 # DEPENDENCYPART_ARC
(3,18),-1.62849 # DEPENDENCYPART_ARC
(3,19),-1.42352 # DEPENDENCYPART_ARC
(3,20),-0.413034 # DEPENDENCYPART_ARC
(3,21),-1.70157 # DEPENDENCYPART_ARC
(3,22),0.521197 # DEPENDENCYPART_ARC
(3,23),-1.78236 # DEPENDENCYPART_ARC
(3,24),-1.44948 # DEPENDENCYPART_ARC
(3,25),-2.5198 # DEPENDENCYPART_ARC
(3,26),-2.30186 # DEPENDENCYPART_ARC
(3,27),1.50157 # DEPENDENCYPART_ARC
(4,1),-0.1721 # DEPENDENCYPART_ARC
(4,2),0.0825549 # DEPENDENCYPART_ARC
(4,3),0.189292 # DEPENDENCYPART_ARC
(4,5),1.00749 # DEPENDENCYPART_ARC
(4,6),-0.71042 # DEPENDENCYPART_ARC
(4,7),-0.248796 # DEPENDENCYPART_ARC
(4,8),-0.761911 # DEPENDENCYPART_ARC
(4,9),-1.08564 # DEPENDENCYPART_ARC
(4,10),-1.47621 # DEPENDENCYPART_ARC
(4,11),-1.57386 # DEPENDENCYPART_ARC
(4,12),-1.20366 # DEPENDENCYPART_ARC
(4,13),-2.09843 # DEPENDENCYPART_ARC
(4,14),-1.70361 # DEPENDENCYPART_ARC
(4,15),-2.02369 # DEPENDENCYPART_ARC
(4,16),-2.61376 # DEPENDENCYPART_ARC
(4,17),-2.12999 # DEPENDENCYPART_ARC
(4,18),-2.148 # DEPENDENCYPART_ARC
(4,19),-2.18987 # DEPENDENCYPART_ARC
(4,20),-2.85152 # DEPENDENCYPART_ARC
(4,21),-2.2647 # DEPENDENCYPART_ARC
(4,22),-1.61138 # DEPENDENCYPART_ARC
(4,23),-2.45717 # DEPENDENCYPART_ARC
(4,24),-3.68488 # DEPENDENCYPART_ARC
(4,25),-2.60605 # DEPENDENCYPART_ARC
(4,26),-2.85615 # DEPENDENCYPART_ARC
(4,27),-1.61072 # DEPENDENCYPART_ARC
(5,1),0.901776 # DEPENDENCYPART_ARC
(5,2),1.47643 # DEPENDENCYPART_ARC
(5,3),1.31418 # DEPENDENCYPART_ARC
(5,4),4.27563 # DEPENDENCYPART_ARC
(5,6),1.58996 # DEPENDENCYPART_ARC
(5,7),1.75462 # DEPENDENCYPART_ARC
(5,8),0.756604 # DEPENDENCYPART_ARC
(5,9),0.200536 # DEPENDENCYPART_ARC
(5,10),0.327579 # DEPENDENCYPART_ARC
(5,11),0.782562 # DEPENDENCYPART_ARC
(5,12),0.730122 # DEPENDENCYPART_ARC
(5,13),-0.651412 # DEPENDENCYPART_ARC
(5,14),-0.402822 # DEPENDENCYPART_ARC
(5,15),-0.495 # DEPENDENCYPART_ARC
(5,16),-0.516829 # DEPENDENCYPART_ARC
(5,17),-0.743548 # DEPENDENCYPART_ARC
(5,18),-0.353791 # DEPENDENCYPART_ARC
(5,19),-0.335086 # DEPENDENCYPART_ARC
(5,20),-0.533213 # DEPENDENCYPART_ARC
(5,21),-0.72062 # DEPENDENCYPART_ARC
(5,22),-0.0826387 # DEPENDENCYPART_ARC
(5,23),-1.72417 # DEPENDENCYPART_ARC
(5,24),-1.55364 # DEPENDENCYPART_ARC
(5,25),-1.20671 # DEPENDENCYPART_ARC
(5,26),-1.27195 # DEPENDENCYPART_ARC
(5,27),-0.261899 # DEPENDENCYPART_ARC
(6,1),-1.15378 # DEPENDENCYPART_ARC
(6,2),-1.3439 # DEPENDENCYPART_ARC
(6,3),-1.00777 # DEPENDENCYPART_ARC
(6,4),-1.05334 # DEPENDENCYPART_ARC
(6,5),-0.883673 # DEPENDENCYPART_ARC
(6,7),0.47611 # DEPENDENCYPART_ARC
(6,8),-0.00870949 # DEPENDENCYPART_ARC
(6,9),-0.570522 # DEPENDENCYPART_ARC
(6,10),-0.853318 # DEPENDENCYPART_ARC
(6,11),-1.04909 # DEPENDENCYPART_ARC
(6,12),0.487609 # DEPENDENCYPART_ARC
(6,13),-1.47848 # DEPENDENCYPART_ARC
(6,14),-1.94397 # DEPENDENCYPART_ARC
(6,15),-2.09912 # DEPENDENCYPART_ARC
(6,16),-1.30262 # DEPENDENCYPART_ARC
(6,17),-2.03086 # DEPENDENCYPART_ARC
(6,18),-2.18757 # DEPENDENCYPART_ARC
(6,19),-2.26912 # DEPENDENCYPART_ARC
(6,20),-2.05253 # DEPENDENCYPART_ARC
(6,21),-2.46113 # DEPENDENCYPART_ARC
(6,22),0.190035 # DEPENDENCYPART_ARC
(6,23),-2.69621 # DEPENDENCYPART_ARC
(6,24),-2.24534 # DEPENDENCYPART_ARC
(6,25),-2.93491 # DEPENDENCYPART_ARC
(6,26),-3.02891 # DEPENDENCYPART_ARC
(6,27),-1.99896 # DEPENDENCYPART_ARC
(7,1),0.495248 # DEPENDENCYPART_ARC
(7,2),-1.22293 # DEPENDENCYPART_ARC
(7,3),-0.788693 # DEPENDENCYPART_ARC
(7,4),-0.753298 # DEPENDENCYPART_ARC
(7,5),-1.05444 # DEPENDENCYPART_ARC
(7,6),0.657708 # DEPENDENCYPART_ARC
(7,8),0.108293 # DEPENDENCYPART_ARC
(7,9),-0.931661 # DEPENDENCYPART_ARC
(7,10),-1.2907 # DEPENDENCYPART_ARC
(7,11),-1.58119 # DEPENDENCYPART_ARC
(7,12),-1.23812 # DEPENDENCYPART_ARC
(7,13),-2.07843 # DEPENDENCYPART_ARC
(7,14),-1.99379 # DEPENDENCYPART_ARC
(7,15),-2.13366 # DEPENDENCYPART_ARC
(7,16),-1.88347 # DEPENDENCYPART_ARC
(7,17),-2.60428 # DEPENDENCYPART_ARC
(7,18),-2.76746 # DEPENDENCYPART_ARC
(7,19),-2.91146 # DEPENDENCYPART_ARC
(7,20),-2.50741 # DEPENDENCYPART_ARC
(7,21),-3.10426 # DEPENDENCYPART_ARC
(7,22),-1.79286 # DEPENDENCYPART_ARC
(7,23),-3.29634 # DEPENDENCYPART_ARC
(7,24),-2.55845 # DEPENDENCYPART_ARC
(7,25),-3.56656 # DEPENDENCYPART_ARC
(7,26),-3.6925 # DEPENDENCYPART_ARC
(7,27),-2.36368 # DEPENDENCYPART_ARC
(8,1),4.2589 # DEPENDENCYPART_ARC
(8,2),0.351542 # DEPENDENCYPART_ARC
(8,3),1.53699 # DEPENDENCYPART_ARC
(8,4),-0.0529678 # DEPENDENCYPART_ARC
(8,5),0.185439 # DEPENDENCYPART_ARC
(8,6),3.52671 # DEPENDENCYPART_ARC
(8,7),3.89141 # DEPENDENCYPART_ARC
(8,9),1.24671 # DEPENDENCYPART_ARC
(8,10),1.59311 # DEPENDENCYPART_ARC
(8,11),2.31258 # DEPENDENCYPART_ARC
(8,12),1.09295 # DEPENDENCYPART_ARC
(8,13),-0.890244 # DEPENDENCYPART_ARC
(8,14),-0.60063 # DEPENDENCYPART_ARC
(8,15),-0.316604 # DEPENDENCYPART_ARC
(8,16),-0.380854 # DEPENDENCYPART_ARC
(8,17),-1.37312 # DEPENDENCYPART_ARC
(8,18),-0.568284 # DEPENDENCYPART_ARC
(8,19),-0.376479 # DEPENDENCYPART_ARC
(8,20),-0.229461 # DEPENDENCYPART_ARC
(8,21),-0.861295 # DEPENDENCYPART_ARC
(8,22),0.0534259 # DEPENDENCYPART_ARC
(8,23),-0.65783 # DEPENDENCYPART_ARC
(8,24),0.524589 # DEPENDENCYPART_ARC
(8,25),-1.82371 # DEPENDENCYPART_ARC
(8,26),-0.563669 # DEPENDENCYPART_ARC
(8,27),7.692 # DEPENDENCYPART_ARC
(9,1),-2.46929 # DEPENDENCYPART_ARC
(9,2),-3.31586 # DEPENDENCYPART_ARC
(9,3),-3.45448 # DEPENDENCYPART_ARC
(9,4),-1.62989 # DEPENDENCYPART_ARC
(9,5),-3.03055 # DEPENDENCYPART_ARC
(9,6),-2.26439 # DEPENDENCYPART_ARC
(9,7),-1.47604 # DEPENDENCYPART_ARC
(9,8),-1.13918 # DEPENDENCYPART_ARC
(9,10),1.08515 # DEPENDENCYPART_ARC
(9,11),0.937727 # DEPENDENCYPART_ARC
(9,12),0.906781 # DEPENDENCYPART_ARC
(9,13),-1.13302 # DEPENDENCYPART_ARC
(9,14),-0.432441 # DEPENDENCYPART_ARC
(9,15),0.021449 # DEPENDENCYPART_ARC
(9,16),-1.3581 # DEPENDENCYPART_ARC
(9,17),-2.31226 # DEPENDENCYPART_ARC
(9,18),-1.61035 # DEPENDENCYPART_ARC
(9,19),-1.59731 # DEPENDENCYPART_ARC
(9,20),-1.49618 # DEPENDENCYPART_ARC
(9,21),-1.74826 # DEPENDENCYPART_ARC
(9,22),-1.31083 # DEPENDENCYPART_ARC
(9,23),-2.72027 # DEPENDENCYPART_ARC
(9,24),-1.63639 # DEPENDENCYPART_ARC
(9,25),-2.66809 # DEPENDENCYPART_ARC
(9,26),-2.26841 # DEPENDENCYPART_ARC
(9,27),-0.289362 # DEPENDENCYPART_ARC
(10,1),-1.24954 # DEPENDENCYPART_ARC
(10,2),-2.12752 # DEPENDENCYPART_ARC
(10,3),-2.52563 # DEPENDENCYPART_ARC
(10,4),-0.799088 # DEPENDENCYPART_ARC
(10,5),-2.33979 # DEPENDENCYPART_ARC
(10,6),-1.50562 # DEPENDENCYPART_ARC
(10,7),-0.84957 # DEPENDENCYPART_ARC
(10,8),-0.435161 # DEPENDENCYPART_ARC
(10,9),3.40139 # DEPENDENCYPART_ARC
(10,11),2.44802 # DEPENDENCYPART_ARC
(10,12),2.43472 # DEPENDENCYPART_ARC
(10,13),-0.101725 # DEPENDENCYPART_ARC
(10,14),0.514594 # DEPENDENCYPART_ARC
(10,15),1.27528 # DEPENDENCYPART_ARC
(10,16),-0.338869 # DEPENDENCYPART_ARC
(10,17),-1.16948 # DEPENDENCYPART_ARC
(10,18),-0.314232 # DEPENDENCYPART_ARC
(10,19),-0.384575 # DEPENDENCYPART_ARC
(10,20),-0.504526 # DEPENDENCYPART_ARC
(10,21),-0.209862 # DEPENDENCYPART_ARC
(10,22),-0.00308543 # DEPENDENCYPART_ARC
(10,23),-1.06177 # DEPENDENCYPART_ARC
(10,24),-0.271374 # DEPENDENCYPART_ARC
(10,25),-1.58598 # DEPENDENCYPART_ARC
(10,26),-0.847946 # DEPENDENCYPART_ARC
(10,27),1.11336 # DEPENDENCYPART_ARC
(11,1),0.482759 # DEPENDENCYPART_ARC
(11,2),-0.632829 # DEPENDENCYPART_ARC
(11,3),-1.31372 # DEPENDENCYPART_ARC
(11,4),0.857393 # DEPENDENCYPART_ARC
(11,5),-1.59032 # DEPENDENCYPART_ARC
(11,6),-0.211332 # DEPENDENCYPART_ARC
(11,7),0.406072 # DEPENDENCYPART_ARC
(11,8),0.428553 # DEPENDENCYPART_ARC
(11,9),4.82503 # DEPENDENCYPART_ARC
(11,10),4.25616 # DEPENDENCYPART_ARC
(11,12),3.49916 # DEPENDENCYPART_ARC
(11,13),0.754865 # DEPENDENCYPART_ARC
(11,14),1.55305 # DEPENDENCYPART_ARC
(11,15),2.49843 # DEPENDENCYPART_ARC
(11,16),0.627197 # DEPENDENCYPART_ARC
(11,17),-0.583885 # DEPENDENCYPART_ARC
(11,18),0.080514 # DEPENDENCYPART_ARC
(11,19),0.354024 # DEPENDENCYPART_ARC
(11,20),0.383264 # DEPENDENCYPART_ARC
(11,21),0.752621 # DEPENDENCYPART_ARC
(11,22),1.01309 # DEPENDENCYPART_ARC
(11,23),-0.315664 # DEPENDENCYPART_ARC
(11,24),-0.170683 # DEPENDENCYPART_ARC
(11,25),-1.07604 # DEPENDENCYPART_ARC
(11,26),-0.165371 # DEPENDENCYPART_ARC
(11,27),1.01425 # DEPENDENCYPART_ARC
(12,1),-2.00184 # DEPENDENCYPART_ARC
(12,2),-2.40813 # DEPENDENCYPART_ARC
(12,3),-2.1153 # DEPENDENCYPART_ARC
(12,4),-2.06622 # DEPENDENCYPART_ARC
(12,5),-1.94818 # DEPENDENCYPART_ARC
(12,6),-0.621504 # DEPENDENCYPART_ARC
(12,7),-1.7875 # DEPENDENCYPART_ARC
(12,8),-1.64582 # DEPENDENCYPART_ARC
(12,9),-1.56224 # DEPENDENCYPART_ARC
(12,10),-1.70641 # DEPENDENCYPART_ARC
(12,11),-1.11538 # DEPENDENCYPART_ARC
(12,13),-0.421709 # DEPENDENCYPART_ARC
(12,14),-1.08958 # DEPENDENCYPART_ARC
(12,15),-1.5798 # DEPENDENCYPART_ARC
(12,16),-1.15178 # DEPENDENCYPART_ARC
(12,17),-1.4181 # DEPENDENCYPART_ARC
(12,18),-1.85324 # DEPENDENCYPART_ARC
(12,19),-1.97817 # DEPENDENCYPART_ARC
(12,20),-1.94043 # DEPENDENCYPART_ARC
(12,21),-2.19907 # DEPENDENCYPART_ARC
(12,22),-0.0961226 # DEPENDENCYPART_ARC
(12,23),-2.44401 # DEPENDENCYPART_ARC
(12,24),-2.11395 # DEPENDENCYPART_ARC
(12,25),-2.66273 # DEPENDENCYPART_ARC
(12,26),-2.81545 # DEPENDENCYPART_ARC
(12,27),-1.95926 # DEPENDENCYPART_ARC
(13,1),-2.91329 # DEPENDENCYPART_ARC
(13,2),-2.3198 # DEPENDENCYPART_ARC
(13,3),-2.50379 # DEPENDENCYPART_ARC
(13,4),-2.31583 # DEPENDENCYPART_ARC
(13,5),-2.69715 # DEPENDENCYPART_ARC
(13,6),-2.07714 # DEPENDENCYPART_ARC
(13,7),-2.24242 # DEPENDENCYPART_ARC
(13,8),-1.95772 # DEPENDENCYPART_ARC
(13,9),-1.65369 # DEPENDENCYPART_ARC
(13,10),-1.32286 # DEPENDENCYPART_ARC
(13,11),-1.18872 # DEPENDENCYPART_ARC
(13,12),-0.285449 # DEPENDENCYPART_ARC
(13,14),0.726364 # DEPENDENCYPART_ARC
(13,15),0.0960831 # DEPENDENCYPART_ARC
(13,16),-0.287854 # DEPENDENCYPART_ARC
(13,17),-0.677727 # DEPENDENCYPART_ARC
(13,18),-0.788013 # DEPENDENCYPART_ARC
(13,19),-1.12729 # DEPENDENCYPART_ARC
(13,20),-1.09534 # DEPENDENCYPART_ARC
(13,21),-1.35648 # DEPENDENCYPART_ARC
(13,22),-0.19588 # DEPENDENCYPART_ARC
(13,23),-1.51484 # DEPENDENCYPART_ARC
(13,24),-2.29925 # DEPENDENCYPART_ARC
(13,25),-1.90473 # DEPENDENCYPART_ARC
(13,26),-1.92645 # DEPENDENCYPART_ARC
(13,27),-1.88575 # DEPENDENCYPART_ARC
(14,1),-2.04518 # DEPENDENCYPART_ARC
(14,2),-2.61941 # DEPENDENCYPART_ARC
(14,3),-2.91739 # DEPENDENCYPART_ARC
(14,4),-2.28921 # DEPENDENCYPART_ARC
(14,5),-4.37569 # DEPENDENCYPART_ARC
(14,6),-1.90634 # DEPENDENCYPART_ARC
(14,7),-2.10352 # DEPENDENCYPART_ARC
(14,8),-2.41866 # DEPENDENCYPART_ARC
(14,9),-1.02703 # DEPENDENCYPART_ARC
(14,10),-1.20659 # DEPENDENCYPART_ARC
(14,11),-1.72947 # DEPENDENCYPART_ARC
(14,12),-0.265919 # DEPENDENCYPART_ARC
(14,13),2.48093 # DEPENDENCYPART_ARC
(14,15),1.11577 # DEPENDENCYPART_ARC
(14,16),0.953479 # DEPENDENCYPART_ARC
(14,17),-0.436179 # DEPENDENCYPART_ARC
(14,18),-0.517427 # DEPENDENCYPART_ARC
(14,19),-0.459129 # DEPENDENCYPART_ARC
(14,20),-0.629873 # DEPENDENCYPART_ARC
(14,21),-0.74866 # DEPENDENCYPART_ARC
(14,22),0.13582 # DEPENDENCYPART_ARC
(14,23),-1.26431 # DEPENDENCYPART_ARC
(14,24),-0.0382001 # DEPENDENCYPART_ARC
(14,25),-1.50786 # DEPENDENCYPART_ARC
(14,26),-1.54693 # DEPENDENCYPART_ARC
(14,27),0.86673 # DEPENDENCYPART_ARC
(15,1),-0.169581 # DEPENDENCYPART_ARC
(15,2),-0.882971 # DEPENDENCYPART_ARC
(15,3),-1.25275 # DEPENDENCYPART_ARC
(15,4),0.468283 # DEPENDENCYPART_ARC
(15,5),-2.16472 # DEPENDENCYPART_ARC
(15,6),-0.835572 # DEPENDENCYPART_ARC
(15,7),-0.124255 # DEPENDENCYPART_ARC
(15,8),-1.0711 # DEPENDENCYPART_ARC
(15,9),0.34704 # DEPENDENCYPART_ARC
(15,10),0.312592 # DEPENDENCYPART_ARC
(15,11),-0.680548 # DEPENDENCYPART_ARC
(15,12),0.28925 # DEPENDENCYPART_ARC
(15,13),4.18121 # DEPENDENCYPART_ARC
(15,14),4.38618 # DEPENDENCYPART_ARC
(15,16),2.86242 # DEPENDENCYPART_ARC
(15,17),0.511148 # DEPENDENCYPART_ARC
(15,18),0.693114 # DEPENDENCYPART_ARC
(15,19),0.779158 # DEPENDENCYPART_ARC
(15,20),0.396654 # DEPENDENCYPART_ARC
(15,21),0.383829 # DEPENDENCYPART_ARC
(15,22),1.10217 # DEPENDENCYPART_ARC
(15,23),-0.451028 # DEPENDENCYPART_ARC
(15,24),0.933312 # DEPENDENCYPART_ARC
(15,25),-0.515976 # DEPENDENCYPART_ARC
(15,26),-0.465397 # DEPENDENCYPART_ARC
(15,27),1.07736 # DEPENDENCYPART_ARC
(16,1),-1.2741 # DEPENDENCYPART_ARC
(16,2),-2.52294 # DEPENDENCYPART_ARC
(16,3),-2.01058 # DEPENDENCYPART_ARC
(16,4),-2.07727 # DEPENDENCYPART_ARC
(16,5),-3.48574 # DEPENDENCYPART_ARC
(16,6),-1.41943 # DEPENDENCYPART_ARC
(16,7),-1.81571 # DEPENDENCYPART_ARC
(16,8),-1.61316 # DEPENDENCYPART_ARC
(16,9),-1.41941 # DEPENDENCYPART_ARC
(16,10),-1.44021 # DEPENDENCYPART_ARC
(16,11),-1.54721 # DEPENDENCYPART_ARC
(16,12),-0.60646 # DEPENDENCYPART_ARC
(16,13),0.149219 # DEPENDENCYPART_ARC
(16,14),-0.65819 # DEPENDENCYPART_ARC
(16,15),-0.409313 # DEPENDENCYPART_ARC
(16,17),2.23124 # DEPENDENCYPART_ARC
(16,18),2.32657 # DEPENDENCYPART_ARC
(16,19),2.81628 # DEPENDENCYPART_ARC
(16,20),-0.288478 # DEPENDENCYPART_ARC
(16,21),1.36153 # DEPENDENCYPART_ARC
(16,22),-0.748501 # DEPENDENCYPART_ARC
(16,23),0.30925 # DEPENDENCYPART_ARC
(16,24),-1.05392 # DEPENDENCYPART_ARC
(16,25),0.612168 # DEPENDENCYPART_ARC
(16,26),2.17103 # DEPENDENCYPART_ARC
(16,27),-1.8778 # DEPENDENCYPART_ARC
(17,1),-4.00804 # DEPENDENCYPART_ARC
(17,2),-5.16705 # DEPENDENCYPART_ARC
(17,3),-5.8599 # DEPENDENCYPART_ARC
(17,4),-4.92984 # DEPENDENCYPART_ARC
(17,5),-6.48033 # DEPENDENCYPART_ARC
(17,6),-5.92502 # DEPENDENCYPART_ARC
(17,7),-4.58053 # DEPENDENCYPART_ARC
(17,8),-4.62499 # DEPENDENCYPART_ARC
(17,9),-3.37161 # DEPENDENCYPART_ARC
(17,10),-3.79173 # DEPENDENCYPART_ARC
(17,11),-4.15772 # DEPENDENCYPART_ARC
(17,12),-3.37127 # DEPENDENCYPART_ARC
(17,13),-2.46107 # DEPENDENCYPART_ARC
(17,14),-1.60923 # DEPENDENCYPART_ARC
(17,15),-2.77055 # DEPENDENCYPART_ARC
(17,16),-1.45134 # DEPENDENCYPART_ARC
(17,18),1.0929 # DEPENDENCYPART_ARC
(17,19),0.59226 # DEPENDENCYPART_ARC
(17,20),-1.44029 # DEPENDENCYPART_ARC
(17,21),-0.18046 # DEPENDENCYPART_ARC
(17,22),-1.09149 # DEPENDENCYPART_ARC
(17,23),-0.861744 # DEPENDENCYPART_ARC
(17,24),-0.352151 # DEPENDENCYPART_ARC
(17,25),-1.63027 # DEPENDENCYPART_ARC
(17,26),-1.01056 # DEPENDENCYPART_ARC
(17,27),-1.12086 # DEPENDENCYPART_ARC
(18,1),-2.8563 # DEPENDENCYPART_ARC
(18,2),-3.98017 # DEPENDENCYPART_ARC
(18,3),-4.91352 # DEPENDENCYPART_ARC
(18,4),-3.58949 # DEPENDENCYPART_ARC
(18,5),-5.68125 # DEPENDENCYPART_ARC
(18,6),-4.87798 # DEPENDENCYPART_ARC
(18,7),-3.8259 # DEPENDENCYPART_ARC
(18,8),-3.41716 # DEPENDENCYPART_ARC
(18,9),-1.77637 # DEPENDENCYPART_ARC
(18,10),-2.48181 # DEPENDENCYPART_ARC
(18,11),-2.94073 # DEPENDENCYPART_ARC
(18,12),-2.49166 # DEPENDENCYPART_ARC
(18,13),-1.43941 # DEPENDENCYPART_ARC
(18,14),-0.344266 # DEPENDENCYPART_ARC
(18,15),-1.85287 # DEPENDENCYPART_ARC
(18,16),-1.24439 # DEPENDENCYPART_ARC
(18,17),3.08493 # DEPENDENCYPART_ARC
(18,19),1.06627 # DEPENDENCYPART_ARC
(18,20),-1.25237 # DEPENDENCYPART_ARC
(18,21),0.596433 # DEPENDENCYPART_ARC
(18,22),-0.367646 # DEPENDENCYPART_ARC
(18,23),0.219654 # DEPENDENCYPART_ARC
(18,24),-0.0305083 # DEPENDENCYPART_ARC
(18,25),-1.38005 # DEPENDENCYPART_ARC
(18,26),-0.599997 # DEPENDENCYPART_ARC
(18,27),0.114227 # DEPENDENCYPART_ARC
(19,1),-0.723796 # DEPENDENCYPART_ARC
(19,2),-1.88714 # DEPENDENCYPART_ARC
(19,3),-3.01437 # DEPENDENCYPART_ARC
(19,4),-1.38417 # DEPENDENCYPART_ARC
(19,5),-3.35363 # DEPENDENCYPART_ARC
(19,6),-2.76161 # DEPENDENCYPART_ARC
(19,7),-1.74106 # DEPENDENCYPART_ARC
(19,8),-1.85177 # DEPENDENCYPART_ARC
(19,9),0.814725 # DEPENDENCYPART_ARC
(19,10),0.195746 # DEPENDENCYPART_ARC
(19,11),-0.765036 # DEPENDENCYPART_ARC
(19,12),-0.555429 # DEPENDENCYPART_ARC
(19,13),0.414713 # DEPENDENCYPART_ARC
