# _root_ The company earned $ 36 million , or 57 cents a share , in the year-ago quarter .
#goldHeads=2,3,0,3,4,4,4,4,10,8,12,10,4,3,17,17,14,3,
#predictedHeads=2,3,0,3,4,4,4,4,10,8,12,10,4,3,17,17,14,3,
(6,9),-0.739465 # DEPENDENCYPART_ARC
(6,10),-1.17015 # DEPENDENCYPART_ARC
(6,11),-1.56064 # DEPENDENCYPART_ARC
(6,12),-0.985067 # DEPENDENCYPART_ARC
(6,13),0.315854 # DEPENDENCYPART_ARC
(6,14),-1.16963 # DEPENDENCYPART_ARC
(6,15),-1.83066 # DEPENDENCYPART_ARC
(6,16),-1.4306 # DEPENDENCYPART_ARC
(6,17),-1.42735 # DEPENDENCYPART_ARC
(6,18),-0.871063 # DEPENDENCYPART_ARC
(7,1),-0.977764 # DEPENDENCYPART_ARC
(7,2),-1.4605 # DEPENDENCYPART_ARC
(7,3),-1.281 # DEPENDENCYPART_ARC
(7,4),-0.577118 # DEPENDENCYPART_ARC
(7,5),-0.973684 # DEPENDENCYPART_ARC
(7,6),-0.290978 # DEPENDENCYPART_ARC
(7,8),0.149477 # DEPENDENCYPART_ARC
(7,9),-0.380785 # DEPENDENCYPART_ARC
(7,10),-0.755485 # DEPENDENCYPART_ARC
(7,11),-1.19657 # DEPENDENCYPART_ARC
(7,12),-1.38523 # DEPENDENCYPART_ARC
(7,13),0.471897 # DEPENDENCYPART_ARC
(7,14),-1.09239 # DEPENDENCYPART_ARC
(7,15),-1.61665 # DEPENDENCYPART_ARC
(7,16),-1.75613 # DEPENDENCYPART_ARC
(7,17),-2.2621 # DEPENDENCYPART_ARC
(7,18),-1.12029 # DEPENDENCYPART_ARC
(8,1),-1.14062 # DEPENDENCYPART_ARC
(8,2),-1.3633 # DEPENDENCYPART_ARC
(8,3),-0.712537 # DEPENDENCYPART_ARC
(8,4),-0.845766 # DEPENDENCYPART_ARC
(8,5),-0.720956 # DEPENDENCYPART_ARC
(8,6),-0.812807 # DEPENDENCYPART_ARC
(8,7),-0.3757 # DEPENDENCYPART_ARC
(8,9),2.01426 # DEPENDENCYPART_ARC
(8,10),2.9267 # DEPENDENCYPART_ARC
(8,11),0.449105 # DEPENDENCYPART_ARC
(8,12),1.03771 # DEPENDENCYPART_ARC
(8,13),0.328716 # DEPENDENCYPART_ARC
(8,14),-0.450522 # DEPENDENCYPART_ARC
(8,15),-0.952895 # DEPENDENCYPART_ARC
(8,16),-0.963639 # DEPENDENCYPART_ARC
(8,17),-0.718333 # DEPENDENCYPART_ARC
(8,18),0.085971 # DEPENDENCYPART_ARC
(9,1),-0.819531 # DEPENDENCYPART_ARC
(9,2),-1.75862 # DEPENDENCYPART_ARC
(9,3),-1.15795 # DEPENDENCYPART_ARC
(9,4),-0.848428 # DEPENDENCYPART_ARC
(9,5),0.889563 # DEPENDENCYPART_ARC
(9,6),0.955527 # DEPENDENCYPART_ARC
(9,7),0.932205 # DEPENDENCYPART_ARC
(9,8),0.794833 # DEPENDENCYPART_ARC
(9,10),0.365708 # DEPENDENCYPART_ARC
(9,11),-0.557216 # DEPENDENCYPART_ARC
(9,12),-0.158467 # DEPENDENCYPART_ARC
(9,13),-0.243308 # DEPENDENCYPART_ARC
(9,14),-0.96236 # DEPENDENCYPART_ARC
(9,15),-1.33276 # DEPENDENCYPART_ARC
(9,16),-1.09966 # DEPENDENCYPART_ARC
(9,17),-0.941404 # DEPENDENCYPART_ARC
(9,18),-0.905265 # DEPENDENCYPART_ARC
(10,1),0.476293 # DEPENDENCYPART_ARC
(10,2),-0.458268 # DEPENDENCYPART_ARC
(10,3),-0.503741 # DEPENDENCYPART_ARC
(10,4),-0.162133 # DEPENDENCYPART_ARC
(10,5),0.506977 # DEPENDENCYPART_ARC
(10,6),1.28437 # DEPENDENCYPART_ARC
(10,7),0.264528 # DEPENDENCYPART_ARC
(10,8),1.40927 # DEPENDENCYPART_ARC
(10,9),4.32666 # DEPENDENCYPART_ARC
(10,11),1.34298 # DEPENDENCYPART_ARC
(10,12),3.326 # DEPENDENCYPART_ARC
(10,13),0.796751 # DEPENDENCYPART_ARC
(10,14),-0.356668 # DEPENDENCYPART_ARC
(10,15),-0.258042 # DEPENDENCYPART_ARC
(10,16),-0.216667 # DEPENDENCYPART_ARC
(10,17),-0.219293 # DEPENDENCYPART_ARC
(10,18),0.664817 # DEPENDENCYPART_ARC
(11,1),-1.46246 # DEPENDENCYPART_ARC
(11,2),-2.46255 # DEPENDENCYPART_ARC
(11,3),-2.07854 # DEPENDENCYPART_ARC
(11,4),-1.72099 # DEPENDENCYPART_ARC
(11,5),-1.69279 # DEPENDENCYPART_ARC
(11,6),-1.42969 # DEPENDENCYPART_ARC
(11,7),-1.28939 # DEPENDENCYPART_ARC
(11,8),-1.55599 # DEPENDENCYPART_ARC
(11,9),-0.698612 # DEPENDENCYPART_ARC
(11,10),-0.491671 # DEPENDENCYPART_ARC
(11,12),0.281973 # DEPENDENCYPART_ARC
(11,13),-0.635777 # DEPENDENCYPART_ARC
(11,14),-0.976346 # DEPENDENCYPART_ARC
(11,15),-1.91184 # DEPENDENCYPART_ARC
(11,16),-1.43072 # DEPENDENCYPART_ARC
(11,17),-1.44601 # DEPENDENCYPART_ARC
(11,18),-1.38241 # DEPENDENCYPART_ARC
(12,1),-0.373118 # DEPENDENCYPART_ARC
(12,2),-2.22888 # DEPENDENCYPART_ARC
(12,3),-0.765796 # DEPENDENCYPART_ARC
(12,4),-1.03505 # DEPENDENCYPART_ARC
(12,5),-1.41859 # DEPENDENCYPART_ARC
(12,6),-1.84826 # DEPENDENCYPART_ARC
(12,7),0.0618824 # DEPENDENCYPART_ARC
(12,8),0.175717 # DEPENDENCYPART_ARC
(12,9),0.61515 # DEPENDENCYPART_ARC
(12,10),0.764973 # DEPENDENCYPART_ARC
(12,11),5.12182 # DEPENDENCYPART_ARC
(12,13),0.378027 # DEPENDENCYPART_ARC
(12,14),0.0311736 # DEPENDENCYPART_ARC
(12,15),-1.10139 # DEPENDENCYPART_ARC
(12,16),-0.805344 # DEPENDENCYPART_ARC
(12,17),-0.494753 # DEPENDENCYPART_ARC
(12,18),-1.05166 # DEPENDENCYPART_ARC
(13,1),-2.22406 # DEPENDENCYPART_ARC
(13,2),-2.26375 # DEPENDENCYPART_ARC
(13,3),-1.92479 # DEPENDENCYPART_ARC
(13,4),-1.98935 # DEPENDENCYPART_ARC
(13,5),-2.11154 # DEPENDENCYPART_ARC
(13,6),-1.99019 # DEPENDENCYPART_ARC
(13,7),-0.333703 # DEPENDENCYPART_ARC
(13,8),-2.136 # DEPENDENCYPART_ARC
(13,9),-1.5527 # DEPENDENCYPART_ARC
(13,10),-1.27952 # DEPENDENCYPART_ARC
(13,11),-0.782125 # DEPENDENCYPART_ARC
(13,12),-1.25723 # DEPENDENCYPART_ARC
(13,14),-0.46232 # DEPENDENCYPART_ARC
(13,15),-0.759659 # DEPENDENCYPART_ARC
(13,16),-0.941281 # DEPENDENCYPART_ARC
(13,17),-1.47428 # DEPENDENCYPART_ARC
(13,18),-1.18041 # DEPENDENCYPART_ARC
(14,1),-2.12396 # DEPENDENCYPART_ARC
(14,2),-2.62696 # DEPENDENCYPART_ARC
(14,3),-1.94881 # DEPENDENCYPART_ARC
(14,4),-1.36852 # DEPENDENCYPART_ARC
(14,5),-0.895029 # DEPENDENCYPART_ARC
(14,6),-1.00436 # DEPENDENCYPART_ARC
(14,7),-1.0528 # DEPENDENCYPART_ARC
(14,8),-1.35917 # DEPENDENCYPART_ARC
(14,9),-0.717316 # DEPENDENCYPART_ARC
(14,10),-0.950899 # DEPENDENCYPART_ARC
(14,11),-0.187887 # DEPENDENCYPART_ARC
(14,12),-1.10255 # DEPENDENCYPART_ARC
(14,13),0.738518 # DEPENDENCYPART_ARC
(14,15),0.3951 # DEPENDENCYPART_ARC
(14,16),1.44793 # DEPENDENCYPART_ARC
(14,17),3.71858 # DEPENDENCYPART_ARC
(14,18),0.10956 # DEPENDENCYPART_ARC
(15,1),-3.59252 # DEPENDENCYPART_ARC
(15,2),-4.2629 # DEPENDENCYPART_ARC
(15,3),-3.64342 # DEPENDENCYPART_ARC
(15,4),-3.4641 # DEPENDENCYPART_ARC
(15,5),-3.16064 # DEPENDENCYPART_ARC
(15,6),-3.09403 # DEPENDENCYPART_ARC
(15,7),-3.17731 # DEPENDENCYPART_ARC
(15,8),-3.55796 # DEPENDENCYPART_ARC
(15,9),-2.69862 # DEPENDENCYPART_ARC
(15,10),-2.99041 # DEPENDENCYPART_ARC
(15,11),-1.93569 # DEPENDENCYPART_ARC
(15,12),-2.49461 # DEPENDENCYPART_ARC
(15,13),-1.94146 # DEPENDENCYPART_ARC
(15,14),-1.6262 # DEPENDENCYPART_ARC
(15,16),-0.220355 # DEPENDENCYPART_ARC
(15,17),-0.932491 # DEPENDENCYPART_ARC
(15,18),-1.836 # DEPENDENCYPART_ARC
(16,1),-2.24094 # DEPENDENCYPART_ARC
(16,2),-2.80754 # DEPENDENCYPART_ARC
(16,3),-2.9707 # DEPENDENCYPART_ARC
(16,4),-1.89337 # DEPENDENCYPART_ARC
(16,5),-1.63247 # DEPENDENCYPART_ARC
(16,6),-1.82467 # DEPENDENCYPART_ARC
(16,7),-1.96795 # DEPENDENCYPART_ARC
(16,8),-2.49095 # DEPENDENCYPART_ARC
(16,9),-1.37205 # DEPENDENCYPART_ARC
(16,10),-1.35121 # DEPENDENCYPART_ARC
(16,11),-0.141002 # DEPENDENCYPART_ARC
(16,12),-1.09889 # DEPENDENCYPART_ARC
(16,13),-0.490492 # DEPENDENCYPART_ARC
(16,14),-0.422448 # DEPENDENCYPART_ARC
(16,15),1.73987 # DEPENDENCYPART_ARC
(16,17),1.09027 # DEPENDENCYPART_ARC
(16,18),-0.382116 # DEPENDENCYPART_ARC
(17,1),-2.5093 # DEPENDENCYPART_ARC
(17,2),-3.96681 # DEPENDENCYPART_ARC
(17,3),-0.89239 # DEPENDENCYPART_ARC
(17,4),-2.90683 # DEPENDENCYPART_ARC
(17,5),-2.23409 # DEPENDENCYPART_ARC
(17,6),-2.78928 # DEPENDENCYPART_ARC
(17,7),-0.674744 # DEPENDENCYPART_ARC
(17,8),0.148896 # DEPENDENCYPART_ARC
(17,9),-1.23816 # DEPENDENCYPART_ARC
(17,10),-0.582712 # DEPENDENCYPART_ARC
(17,11),0.979728 # DEPENDENCYPART_ARC
(17,12),-0.261101 # DEPENDENCYPART_ARC
(17,13),0.344571 # DEPENDENCYPART_ARC
(17,14),0.903359 # DEPENDENCYPART_ARC
(17,15),5.0821 # DEPENDENCYPART_ARC
(17,16),4.59283 # DEPENDENCYPART_ARC
(17,18),-0.0146115 # DEPENDENCYPART_ARC
(18,1),-2.07173 # DEPENDENCYPART_ARC
(18,2),-2.81946 # DEPENDENCYPART_ARC
(18,3),-1.43297 # DEPENDENCYPART_ARC
(18,4),-2.50487 # DEPENDENCYPART_ARC
(18,5),-2.17925 # DEPENDENCYPART_ARC
(18,6),-2.11854 # DEPENDENCYPART_ARC
(18,7),-0.488093 # DEPENDENCYPART_ARC
(18,8),-1.49699 # DEPENDENCYPART_ARC
(18,9),-1.83802 # DEPENDENCYPART_ARC
(18,10),-1.55506 # DEPENDENCYPART_ARC
(18,11),-1.0252 # DEPENDENCYPART_ARC
(18,12),-1.42203 # DEPENDENCYPART_ARC
(18,13),-0.325814 # DEPENDENCYPART_ARC
(18,14),-1.37925 # DEPENDENCYPART_ARC
(18,15),-0.363374 # DEPENDENCYPART_ARC
(18,16),-1.40938 # DEPENDENCYPART_ARC
(18,17),-1.53481 # DEPENDENCYPART_ARC
