# _root_ Two years ago when the NAHB lobbied for the $ 19 billion omnibus housing bill , the organization `` basically dropped out of the taxpayers ' coalition , '' says Ms. MacDonald .
#goldHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,22,25,27,25,23,30,30,0,32,30,30,
#predictedHeads=2,3,21,7,6,7,21,7,15,15,10,10,15,15,8,21,18,21,21,21,30,21,21,25,27,25,23,30,30,0,32,30,30,
(2,20),-0.802676 # DEPENDENCYPART_ARC
(2,21),-2.0869 # DEPENDENCYPART_ARC
(2,22),-2.1792 # DEPENDENCYPART_ARC
(2,23),-4.86017 # DEPENDENCYPART_ARC
(2,24),-2.16272 # DEPENDENCYPART_ARC
(2,25),-2.84665 # DEPENDENCYPART_ARC
(2,26),-1.54811 # DEPENDENCYPART_ARC
(2,27),-3.0579 # DEPENDENCYPART_ARC
(2,28),-1.49584 # DEPENDENCYPART_ARC
(2,29),-1.64291 # DEPENDENCYPART_ARC
(2,30),-1.55755 # DEPENDENCYPART_ARC
(2,31),-2.21941 # DEPENDENCYPART_ARC
(2,32),-2.24415 # DEPENDENCYPART_ARC
(2,33),0.000742282 # DEPENDENCYPART_ARC
(3,1),1.13885 # DEPENDENCYPART_ARC
(3,2),3.71338 # DEPENDENCYPART_ARC
(3,4),-0.130389 # DEPENDENCYPART_ARC
(3,5),-0.0802712 # DEPENDENCYPART_ARC
(3,6),-0.302575 # DEPENDENCYPART_ARC
(3,7),0.608308 # DEPENDENCYPART_ARC
(3,8),-0.593568 # DEPENDENCYPART_ARC
(3,9),-1.04427 # DEPENDENCYPART_ARC
(3,10),-1.61771 # DEPENDENCYPART_ARC
(3,11),-1.4981 # DEPENDENCYPART_ARC
(3,12),-1.05772 # DEPENDENCYPART_ARC
(3,13),-1.14622 # DEPENDENCYPART_ARC
(3,14),-1.26175 # DEPENDENCYPART_ARC
(3,15),-1.58722 # DEPENDENCYPART_ARC
(3,16),-0.22824 # DEPENDENCYPART_ARC
(3,17),-2.0484 # DEPENDENCYPART_ARC
(3,18),-2.16034 # DEPENDENCYPART_ARC
(3,19),-1.67402 # DEPENDENCYPART_ARC
(3,20),-1.74019 # DEPENDENCYPART_ARC
(3,21),-0.455251 # DEPENDENCYPART_ARC
(3,22),-1.59638 # DEPENDENCYPART_ARC
(3,23),-3.60536 # DEPENDENCYPART_ARC
(3,24),-2.72477 # DEPENDENCYPART_ARC
(3,25),-3.68101 # DEPENDENCYPART_ARC
(3,26),-2.89057 # DEPENDENCYPART_ARC
(3,27),-3.5369 # DEPENDENCYPART_ARC
(3,28),-0.981925 # DEPENDENCYPART_ARC
(3,29),-1.07365 # DEPENDENCYPART_ARC
(3,30),-3.118 # DEPENDENCYPART_ARC
(3,31),-3.63321 # DEPENDENCYPART_ARC
(3,32),-3.78688 # DEPENDENCYPART_ARC
(3,33),-0.197467 # DEPENDENCYPART_ARC
(4,1),-0.916791 # DEPENDENCYPART_ARC
(4,2),-1.24394 # DEPENDENCYPART_ARC
(4,3),0.718277 # DEPENDENCYPART_ARC
(4,5),0.192218 # DEPENDENCYPART_ARC
(4,6),-0.0292715 # DEPENDENCYPART_ARC
(4,7),-0.0684591 # DEPENDENCYPART_ARC
(4,8),-0.454862 # DEPENDENCYPART_ARC
(4,9),-1.38207 # DEPENDENCYPART_ARC
(4,10),-1.4689 # DEPENDENCYPART_ARC
(4,11),-1.59482 # DEPENDENCYPART_ARC
(4,12),-1.73469 # DEPENDENCYPART_ARC
(4,13),-1.35167 # DEPENDENCYPART_ARC
(4,14),-1.46761 # DEPENDENCYPART_ARC
(4,15),-1.49061 # DEPENDENCYPART_ARC
(4,16),-1.21893 # DEPENDENCYPART_ARC
(4,17),-2.17834 # DEPENDENCYPART_ARC
(4,18),-1.87285 # DEPENDENCYPART_ARC
(4,19),-1.46064 # DEPENDENCYPART_ARC
(4,20),-2.16552 # DEPENDENCYPART_ARC
(4,21),-1.6213 # DEPENDENCYPART_ARC
(4,22),-2.26742 # DEPENDENCYPART_ARC
(4,23),-2.06785 # DEPENDENCYPART_ARC
(4,24),-2.87615 # DEPENDENCYPART_ARC
(4,25),-2.76134 # DEPENDENCYPART_ARC
(4,26),-2.76972 # DEPENDENCYPART_ARC
(4,27),-2.69197 # DEPENDENCYPART_ARC
(4,28),-2.54163 # DEPENDENCYPART_ARC
(4,29),-1.66813 # DEPENDENCYPART_ARC
(4,30),-3.1527 # DEPENDENCYPART_ARC
(4,31),-3.65932 # DEPENDENCYPART_ARC
(4,32),-3.69995 # DEPENDENCYPART_ARC
(4,33),-2.30196 # DEPENDENCYPART_ARC
(5,1),-2.15857 # DEPENDENCYPART_ARC
(5,2),-2.26232 # DEPENDENCYPART_ARC
(5,3),-1.69136 # DEPENDENCYPART_ARC
(5,4),-0.494037 # DEPENDENCYPART_ARC
(5,6),-0.383776 # DEPENDENCYPART_ARC
(5,7),0.21906 # DEPENDENCYPART_ARC
(5,8),-0.717121 # DEPENDENCYPART_ARC
(5,9),-1.86903 # DEPENDENCYPART_ARC
(5,10),-2.16328 # DEPENDENCYPART_ARC
(5,11),-1.43753 # DEPENDENCYPART_ARC
(5,12),-1.32127 # DEPENDENCYPART_ARC
(5,13),-1.74745 # DEPENDENCYPART_ARC
(5,14),-1.72736 # DEPENDENCYPART_ARC
(5,15),-1.8104 # DEPENDENCYPART_ARC
(5,16),-1.59132 # DEPENDENCYPART_ARC
(5,17),-2.91102 # DEPENDENCYPART_ARC
(5,18),-2.27258 # DEPENDENCYPART_ARC
(5,19),-2.2332 # DEPENDENCYPART_ARC
(5,20),-2.44666 # DEPENDENCYPART_ARC
(5,21),-2.64211 # DEPENDENCYPART_ARC
(5,22),-2.68081 # DEPENDENCYPART_ARC
(5,23),-2.94895 # DEPENDENCYPART_ARC
(5,24),-3.61964 # DEPENDENCYPART_ARC
(5,25),-3.13533 # DEPENDENCYPART_ARC
(5,26),-3.38502 # DEPENDENCYPART_ARC
(5,27),-3.17517 # DEPENDENCYPART_ARC
(5,28),-2.71921 # DEPENDENCYPART_ARC
(5,29),-2.47336 # DEPENDENCYPART_ARC
(5,30),-5.19341 # DEPENDENCYPART_ARC
(5,31),-4.1951 # DEPENDENCYPART_ARC
(5,32),-4.26212 # DEPENDENCYPART_ARC
(5,33),-2.7518 # DEPENDENCYPART_ARC
(6,1),0.00274171 # DEPENDENCYPART_ARC
(6,2),-0.581973 # DEPENDENCYPART_ARC
(6,3),-0.178217 # DEPENDENCYPART_ARC
(6,4),0.572989 # DEPENDENCYPART_ARC
(6,5),3.86907 # DEPENDENCYPART_ARC
(6,7),0.73187 # DEPENDENCYPART_ARC
(6,8),0.599222 # DEPENDENCYPART_ARC
(6,9),-0.23434 # DEPENDENCYPART_ARC
(6,10),-0.988329 # DEPENDENCYPART_ARC
(6,11),-0.466181 # DEPENDENCYPART_ARC
(6,12),-1.3893 # DEPENDENCYPART_ARC
(6,13),-1.75089 # DEPENDENCYPART_ARC
(6,14),-2.03484 # DEPENDENCYPART_ARC
(6,15),-2.33921 # DEPENDENCYPART_ARC
(6,16),0.259194 # DEPENDENCYPART_ARC
(6,17),-1.34488 # DEPENDENCYPART_ARC
(6,18),-3.20905 # DEPENDENCYPART_ARC
(6,19),-1.35267 # DEPENDENCYPART_ARC
(6,20),-2.03388 # DEPENDENCYPART_ARC
(6,21),-2.33959 # DEPENDENCYPART_ARC
(6,22),-2.34409 # DEPENDENCYPART_ARC
(6,23),-3.09327 # DEPENDENCYPART_ARC
(6,24),-2.11517 # DEPENDENCYPART_ARC
(6,25),-2.7369 # DEPENDENCYPART_ARC
(6,26),-1.9874 # DEPENDENCYPART_ARC
(6,27),-5.37722 # DEPENDENCYPART_ARC
(6,28),-1.39396 # DEPENDENCYPART_ARC
(6,29),-0.703377 # DEPENDENCYPART_ARC
(6,30),-2.15661 # DEPENDENCYPART_ARC
(6,31),-4.8668 # DEPENDENCYPART_ARC
(6,32),-4.84958 # DEPENDENCYPART_ARC
(6,33),-1.01488 # DEPENDENCYPART_ARC
(7,1),1.1598 # DEPENDENCYPART_ARC
(7,2),0.668608 # DEPENDENCYPART_ARC
(7,3),1.06463 # DEPENDENCYPART_ARC
(7,4),4.00702 # DEPENDENCYPART_ARC
(7,5),0.998403 # DEPENDENCYPART_ARC
(7,6),3.12347 # DEPENDENCYPART_ARC
(7,8),3.70792 # DEPENDENCYPART_ARC
(7,9),0.142996 # DEPENDENCYPART_ARC
(7,10),0.388209 # DEPENDENCYPART_ARC
(7,11),-0.0443985 # DEPENDENCYPART_ARC
(7,12),-0.0219755 # DEPENDENCYPART_ARC
(7,13),0.590015 # DEPENDENCYPART_ARC
(7,14),0.524589 # DEPENDENCYPART_ARC
(7,15),0.946289 # DEPENDENCYPART_ARC
(7,16),1.54473 # DEPENDENCYPART_ARC
(7,17),-0.715352 # DEPENDENCYPART_ARC
(7,18),-0.935958 # DEPENDENCYPART_ARC
(7,19),0.866214 # DEPENDENCYPART_ARC
(7,20),0.185821 # DEPENDENCYPART_ARC
(7,21),-0.0166418 # DEPENDENCYPART_ARC
(7,22),0.224446 # DEPENDENCYPART_ARC
(7,23),-1.78048 # DEPENDENCYPART_ARC
(7,24),-1.71942 # DEPENDENCYPART_ARC
(7,25),-2.75623 # DEPENDENCYPART_ARC
(7,26),-1.60599 # DEPENDENCYPART_ARC
(7,27),-1.51694 # DEPENDENCYPART_ARC
(7,28),1.06937 # DEPENDENCYPART_ARC
(7,29),1.12912 # DEPENDENCYPART_ARC
(7,30),0.955403 # DEPENDENCYPART_ARC
(7,31),-3.20373 # DEPENDENCYPART_ARC
(7,32),-2.9233 # DEPENDENCYPART_ARC
(7,33),4.00759 # DEPENDENCYPART_ARC
(8,1),-1.07583 # DEPENDENCYPART_ARC
(8,2),-0.968776 # DEPENDENCYPART_ARC
(8,3),-1.23147 # DEPENDENCYPART_ARC
(8,4),0.855253 # DEPENDENCYPART_ARC
(8,5),0.475298 # DEPENDENCYPART_ARC
(8,6),-0.466278 # DEPENDENCYPART_ARC
(8,7),0.087093 # DEPENDENCYPART_ARC
(8,9),0.599337 # DEPENDENCYPART_ARC
(8,10),2.48237 # DEPENDENCYPART_ARC
(8,11),0.650553 # DEPENDENCYPART_ARC
(8,12),0.241826 # DEPENDENCYPART_ARC
(8,13),1.82216 # DEPENDENCYPART_ARC
(8,14),1.19829 # DEPENDENCYPART_ARC
(8,15),1.8114 # DEPENDENCYPART_ARC
(8,16),0.197488 # DEPENDENCYPART_ARC
(8,17),-2.13698 # DEPENDENCYPART_ARC
(8,18),-2.58331 # DEPENDENCYPART_ARC
(8,19),-0.508197 # DEPENDENCYPART_ARC
(8,20),-0.224893 # DEPENDENCYPART_ARC
(8,21),-2.01853 # DEPENDENCYPART_ARC
(8,22),-0.227903 # DEPENDENCYPART_ARC
(8,23),-1.79851 # DEPENDENCYPART_ARC
(8,24),-2.99279 # DEPENDENCYPART_ARC
(8,25),-6.29228 # DEPENDENCYPART_ARC
(8,26),-0.716388 # DEPENDENCYPART_ARC
(8,27),-4.85083 # DEPENDENCYPART_ARC
(8,28),-0.522494 # DEPENDENCYPART_ARC
(8,29),-0.0357914 # DEPENDENCYPART_ARC
(8,30),-4.94275 # DEPENDENCYPART_ARC
(8,31),-7.53518 # DEPENDENCYPART_ARC
(8,32),-6.45748 # DEPENDENCYPART_ARC
(8,33),-0.453715 # DEPENDENCYPART_ARC
(9,1),-2.60144 # DEPENDENCYPART_ARC
(9,2),-2.85426 # DEPENDENCYPART_ARC
(9,3),-2.70827 # DEPENDENCYPART_ARC
(9,4),-1.55679 # DEPENDENCYPART_ARC
(9,5),-1.439 # DEPENDENCYPART_ARC
(9,6),-1.87529 # DEPENDENCYPART_ARC
(9,7),-1.85496 # DEPENDENCYPART_ARC
(9,8),-0.681419 # DEPENDENCYPART_ARC
(9,10),-1.35411 # DEPENDENCYPART_ARC
(9,11),-0.244601 # DEPENDENCYPART_ARC
(9,12),-0.399517 # DEPENDENCYPART_ARC
(9,13),-1.19546 # DEPENDENCYPART_ARC
(9,14),-1.24763 # DEPENDENCYPART_ARC
(9,15),-1.45712 # DEPENDENCYPART_ARC
(9,16),-1.46897 # DEPENDENCYPART_ARC
(9,17),-2.5138 # DEPENDENCYPART_ARC
(9,18),-1.70547 # DEPENDENCYPART_ARC
(9,19),-2.00013 # DEPENDENCYPART_ARC
(9,20),-2.33415 # DEPENDENCYPART_ARC
(9,21),-2.20771 # DEPENDENCYPART_ARC
(9,22),-2.5125 # DEPENDENCYPART_ARC
(9,23),-2.44697 # DEPENDENCYPART_ARC
(9,24),-3.41772 # DEPENDENCYPART_ARC
(9,25),-3.0507 # DEPENDENCYPART_ARC
(9,26),-3.23717 # DEPENDENCYPART_ARC
(9,27),-2.83708 # DEPENDENCYPART_ARC
(9,28),-2.52927 # DEPENDENCYPART_ARC
(9,29),-2.58882 # DEPENDENCYPART_ARC
(9,30),-4.75005 # DEPENDENCYPART_ARC
(9,31),-3.98678 # DEPENDENCYPART_ARC
(9,32),-4.01686 # DEPENDENCYPART_ARC
(9,33),-2.70221 # DEPENDENCYPART_ARC
(10,1),-1.93016 # DEPENDENCYPART_ARC
(10,2),-1.79346 # DEPENDENCYPART_ARC
(10,3),-1.77705 # DEPENDENCYPART_ARC
(10,4),-0.623631 # DEPENDENCYPART_ARC
(10,5),0.285439 # DEPENDENCYPART_ARC
(10,6),-1.18517 # DEPENDENCYPART_ARC
(10,7),-0.699328 # DEPENDENCYPART_ARC
(10,8),0.0785881 # DEPENDENCYPART_ARC
(10,9),2.89214 # DEPENDENCYPART_ARC
(10,11),5.40506 # DEPENDENCYPART_ARC
(10,12),5.8323 # DEPENDENCYPART_ARC
(10,13),1.79136 # DEPENDENCYPART_ARC
(10,14),1.52368 # DEPENDENCYPART_ARC
(10,15),0.775355 # DEPENDENCYPART_ARC
(10,16),1.53468 # DEPENDENCYPART_ARC
(10,17),0.579791 # DEPENDENCYPART_ARC
(10,18),0.544665 # DEPENDENCYPART_ARC
(10,19),0.930978 # DEPENDENCYPART_ARC
(10,20),-0.271946 # DEPENDENCYPART_ARC
(10,21),0.240253 # DEPENDENCYPART_ARC
(10,22),0.59132 # DEPENDENCYPART_ARC
(10,23),-1.82109 # DEPENDENCYPART_ARC
(10,24),-0.567275 # DEPENDENCYPART_ARC
(10,25),-1.11614 # DEPENDENCYPART_ARC
(10,26),-0.303249 # DEPENDENCYPART_ARC
(10,27),-0.590992 # DEPENDENCYPART_ARC
(10,28),-1.69469 # DEPENDENCYPART_ARC
(10,29),-0.483842 # DEPENDENCYPART_ARC
(10,30),-0.709056 # DEPENDENCYPART_ARC
(10,31),-0.960161 # DEPENDENCYPART_ARC
(10,32),-1.00453 # DEPENDENCYPART_ARC
(10,33),-0.566604 # DEPENDENCYPART_ARC
(11,1),-2.70163 # DEPENDENCYPART_ARC
(11,2),-3.00633 # DEPENDENCYPART_ARC
(11,3),-2.5556 # DEPENDENCYPART_ARC
(11,4),-2.52982 # DEPENDENCYPART_ARC
(11,5),-1.86317 # DEPENDENCYPART_ARC
(11,6),-2.20912 # DEPENDENCYPART_ARC
(11,7),-2.28793 # DEPENDENCYPART_ARC
(11,8),-1.77713 # DEPENDENCYPART_ARC
(11,9),-0.263353 # DEPENDENCYPART_ARC
(11,10),-0.644766 # DEPENDENCYPART_ARC
(11,12),1.69843 # DEPENDENCYPART_ARC
(11,13),0.0801999 # DEPENDENCYPART_ARC
(11,14),-0.502067 # DEPENDENCYPART_ARC
(11,15),-1.04621 # DEPENDENCYPART_ARC
(11,16),-0.147224 # DEPENDENCYPART_ARC
(11,17),-1.19568 # DEPENDENCYPART_ARC
(11,18),-1.22042 # DEPENDENCYPART_ARC
(11,19),-1.19161 # DEPENDENCYPART_ARC
(11,20),-1.1247 # DEPENDENCYPART_ARC
(11,21),-1.00483 # DEPENDENCYPART_ARC
(11,22),-1.46759 # DEPENDENCYPART_ARC
(11,23),-1.78085 # DEPENDENCYPART_ARC
(11,24),-2.14463 # DEPENDENCYPART_ARC
(11,25),-1.93555 # DEPENDENCYPART_ARC
(11,26),-1.42021 # DEPENDENCYPART_ARC
(11,27),-2.3067 # DEPENDENCYPART_ARC
(11,28),-0.762879 # DEPENDENCYPART_ARC
(11,29),-1.49573 # DEPENDENCYPART_ARC
(11,30),-1.88255 # DEPENDENCYPART_ARC
(11,31),-2.26637 # DEPENDENCYPART_ARC
(11,32),-2.31228 # DEPENDENCYPART_ARC
(11,33),-1.66691 # DEPENDENCYPART_ARC
(12,1),-0.514493 # DEPENDENCYPART_ARC
(12,2),-1.12511 # DEPENDENCYPART_ARC
(12,3),-0.69171 # DEPENDENCYPART_ARC
(12,4),-0.665805 # DEPENDENCYPART_ARC
(12,5),-0.307532 # DEPENDENCYPART_ARC
(12,6),-0.351447 # DEPENDENCYPART_ARC
(12,7),-0.560924 # DEPENDENCYPART_ARC
(12,8),0.472655 # DEPENDENCYPART_ARC
(12,9),0.87898 # DEPENDENCYPART_ARC
(12,10),0.777083 # DEPENDENCYPART_ARC
(12,11),2.739 # DEPENDENCYPART_ARC
(12,13),2.20426 # DEPENDENCYPART_ARC
(12,14),0.453346 # DEPENDENCYPART_ARC
(12,15),-0.808479 # DEPENDENCYPART_ARC
(12,16),-0.359648 # DEPENDENCYPART_ARC
(12,17),-1.85869 # DEPENDENCYPART_ARC
(12,18),-0.985555 # DEPENDENCYPART_ARC
(12,19),-1.54173 # DEPENDENCYPART_ARC
(12,20),-1.67221 # DEPENDENCYPART_ARC
(12,21),-1.40007 # DEPENDENCYPART_ARC
(12,22),-1.93455 # DEPENDENCYPART_ARC
(12,23),-2.22744 # DEPENDENCYPART_ARC
(12,24),-2.55796 # DEPENDENCYPART_ARC
(12,25),-2.30039 # DEPENDENCYPART_ARC
(12,26),-1.85171 # DEPENDENCYPART_ARC
(12,27),-2.14741 # DEPENDENCYPART_ARC
(12,28),-1.13188 # DEPENDENCYPART_ARC
(12,29),-1.88353 # DEPENDENCYPART_ARC
(12,30),-2.38277 # DEPENDENCYPART_ARC
(12,31),-2.56855 # DEPENDENCYPART_ARC
(12,32),-2.48802 # DEPENDENCYPART_ARC
(12,33),-2.2297 # DEPENDENCYPART_ARC
(13,1),-2.54272 # DEPENDENCYPART_ARC
(13,2),-2.76244 # DEPENDENCYPART_ARC
(13,3),-2.89854 # DEPENDENCYPART_ARC
(13,4),-1.74699 # DEPENDENCYPART_ARC
(13,5),-0.746007 # DEPENDENCYPART_ARC
(13,6),-2.39323 # DEPENDENCYPART_ARC
(13,7),-1.2727 # DEPENDENCYPART_ARC
(13,8),-0.341477 # DEPENDENCYPART_ARC
(13,9),2.92079 # DEPENDENCYPART_ARC
(13,10),2.36958 # DEPENDENCYPART_ARC
(13,11),1.02232 # DEPENDENCYPART_ARC
(13,12),1.47097 # DEPENDENCYPART_ARC
(13,14),1.49998 # DEPENDENCYPART_ARC
(13,15),0.606724 # DEPENDENCYPART_ARC
(13,16),1.07415 # DEPENDENCYPART_ARC
(13,17),-0.334042 # DEPENDENCYPART_ARC
(13,18),-0.214353 # DEPENDENCYPART_ARC
(13,19),0.256376 # DEPENDENCYPART_ARC
(13,20),-0.239724 # DEPENDENCYPART_ARC
(13,21),-0.137126 # DEPENDENCYPART_ARC
(13,22),-0.941704 # DEPENDENCYPART_ARC
(13,23),-0.821196 # DEPENDENCYPART_ARC
(13,24),-1.17369 # DEPENDENCYPART_ARC
(13,25),-1.59954 # DEPENDENCYPART_ARC
(13,26),-1.03921 # DEPENDENCYPART_ARC
(13,27),-1.35025 # DEPENDENCYPART_ARC
(13,28),-0.174305 # DEPENDENCYPART_ARC
(13,29),0.172518 # DEPENDENCYPART_ARC
(13,30),-1.2358 # DEPENDENCYPART_ARC
(13,31),-2.20145 # DEPENDENCYPART_ARC
(13,32),-2.34323 # DEPENDENCYPART_ARC
(13,33),-0.096306 # DEPENDENCYPART_ARC
(14,1),-2.18301 # DEPENDENCYPART_ARC
(14,2),-2.65347 # DEPENDENCYPART_ARC
(14,3),-3.7028 # DEPENDENCYPART_ARC
(14,4),-2.2295 # DEPENDENCYPART_ARC
(14,5),-1.39031 # DEPENDENCYPART_ARC
(14,6),-2.78319 # DEPENDENCYPART_ARC
(14,7),-1.79035 # DEPENDENCYPART_ARC
(14,8),-0.915551 # DEPENDENCYPART_ARC
(14,9),2.38715 # DEPENDENCYPART_ARC
(14,10),1.86876 # DEPENDENCYPART_ARC
(14,11),1.03629 # DEPENDENCYPART_ARC
(14,12),1.45425 # DEPENDENCYPART_ARC
(14,13),2.04598 # DEPENDENCYPART_ARC
(14,15),1.27987 # DEPENDENCYPART_ARC
(14,16),0.578391 # DEPENDENCYPART_ARC
(14,17),-0.535347 # DEPENDENCYPART_ARC
(14,18),-0.301194 # DEPENDENCYPART_ARC
(14,19),0.0144091 # DEPENDENCYPART_ARC
(14,20),-0.402679 # DEPENDENCYPART_ARC
(14,21),-0.135818 # DEPENDENCYPART_ARC
(14,22),-0.960734 # DEPENDENCYPART_ARC
(14,23),-1.08041 # DEPENDENCYPART_ARC
(14,24),-1.32082 # DEPENDENCYPART_ARC
(14,25),-1.54025 # DEPENDENCYPART_ARC
(14,26),-1.0003 # DEPENDENCYPART_ARC
(14,27),-1.21764 # DEPENDENCYPART_ARC
(14,28),-0.536021 # DEPENDENCYPART_ARC
(14,29),0.211455 # DEPENDENCYPART_ARC
(14,30),-1.57874 # DEPENDENCYPART_ARC
(14,31),-2.14279 # DEPENDENCYPART_ARC
(14,32),-2.26999 # DEPENDENCYPART_ARC
(14,33),-0.242121 # DEPENDENCYPART_ARC
(15,1),-0.167023 # DEPENDENCYPART_ARC
(15,2),-0.527446 # DEPENDENCYPART_ARC
(15,3),-1.79423 # DEPENDENCYPART_ARC
(15,4),-0.795559 # DEPENDENCYPART_ARC
(15,5),1.24325 # DEPENDENCYPART_ARC
(15,6),-0.673819 # DEPENDENCYPART_ARC
(15,7),-0.0967389 # DEPENDENCYPART_ARC
(15,8),0.61512 # DEPENDENCYPART_ARC
(15,9),4.88338 # DEPENDENCYPART_ARC
(15,10),3.87019 # DEPENDENCYPART_ARC
(15,11),2.42071 # DEPENDENCYPART_ARC
(15,12),2.98219 # DEPENDENCYPART_ARC
(15,13),3.8824 # DEPENDENCYPART_ARC
(15,14),4.38611 # DEPENDENCYPART_ARC
(15,16),2.33463 # DEPENDENCYPART_ARC
(15,17),0.340468 # DEPENDENCYPART_ARC
(15,18),0.916957 # DEPENDENCYPART_ARC
(15,19),0.908294 # DEPENDENCYPART_ARC
(15,20),0.298443 # DEPENDENCYPART_ARC
(15,21),0.854329 # DEPENDENCYPART_ARC
(15,22),0.0967928 # DEPENDENCYPART_ARC
(15,23),-0.568863 # DEPENDENCYPART_ARC
(15,24),-0.449533 # DEPENDENCYPART_ARC
(15,25),-0.226143 # DEPENDENCYPART_ARC
