# _root_ Ten minutes later , the Dow hit bottom - down 63.52 points , another 2.5 % .
#goldHeads=2,3,7,7,6,7,0,7,7,7,12,10,12,16,14,12,7,
#predictedHeads=2,3,7,7,6,7,0,7,8,7,12,10,12,16,16,10,7,
(4,3),-0.48007 # DEPENDENCYPART_ARC
(4,5),0.0659419 # DEPENDENCYPART_ARC
(4,6),-0.226305 # DEPENDENCYPART_ARC
(4,7),-0.283682 # DEPENDENCYPART_ARC
(4,8),-1.20776 # DEPENDENCYPART_ARC
(4,9),-0.51291 # DEPENDENCYPART_ARC
(4,10),-1.21252 # DEPENDENCYPART_ARC
(4,11),-1.79785 # DEPENDENCYPART_ARC
(4,12),-1.81293 # DEPENDENCYPART_ARC
(4,13),0.0549698 # DEPENDENCYPART_ARC
(4,14),-1.72152 # DEPENDENCYPART_ARC
(4,15),-2.19596 # DEPENDENCYPART_ARC
(4,16),-2.39953 # DEPENDENCYPART_ARC
(4,17),-1.33507 # DEPENDENCYPART_ARC
(5,1),-1.67447 # DEPENDENCYPART_ARC
(5,2),-1.7993 # DEPENDENCYPART_ARC
(5,3),-0.861952 # DEPENDENCYPART_ARC
(5,4),-0.673128 # DEPENDENCYPART_ARC
(5,6),-0.311148 # DEPENDENCYPART_ARC
(5,7),0.221706 # DEPENDENCYPART_ARC
(5,8),-0.670729 # DEPENDENCYPART_ARC
(5,9),-0.614492 # DEPENDENCYPART_ARC
(5,10),-1.34864 # DEPENDENCYPART_ARC
(5,11),-1.2392 # DEPENDENCYPART_ARC
(5,12),-1.37963 # DEPENDENCYPART_ARC
(5,13),-0.951947 # DEPENDENCYPART_ARC
(5,14),-2.28946 # DEPENDENCYPART_ARC
(5,15),-1.73338 # DEPENDENCYPART_ARC
(5,16),-2.08537 # DEPENDENCYPART_ARC
(5,17),-1.37687 # DEPENDENCYPART_ARC
(6,1),-0.0702868 # DEPENDENCYPART_ARC
(6,2),-0.563913 # DEPENDENCYPART_ARC
(6,3),-0.0807492 # DEPENDENCYPART_ARC
(6,4),1.0537 # DEPENDENCYPART_ARC
(6,5),4.38274 # DEPENDENCYPART_ARC
(6,7),0.563488 # DEPENDENCYPART_ARC
(6,8),-0.182886 # DEPENDENCYPART_ARC
(6,9),-0.0100752 # DEPENDENCYPART_ARC
(6,10),-0.877374 # DEPENDENCYPART_ARC
(6,11),-0.679019 # DEPENDENCYPART_ARC
(6,12),-0.939187 # DEPENDENCYPART_ARC
(6,13),-0.453416 # DEPENDENCYPART_ARC
(6,14),-1.26332 # DEPENDENCYPART_ARC
(6,15),-1.87975 # DEPENDENCYPART_ARC
(6,16),-1.9558 # DEPENDENCYPART_ARC
(6,17),0.22561 # DEPENDENCYPART_ARC
(7,1),0.0669264 # DEPENDENCYPART_ARC
(7,2),-0.065014 # DEPENDENCYPART_ARC
(7,3),0.72099 # DEPENDENCYPART_ARC
(7,4),2.25483 # DEPENDENCYPART_ARC
(7,5),0.515163 # DEPENDENCYPART_ARC
(7,6),2.77435 # DEPENDENCYPART_ARC
(7,8),3.03182 # DEPENDENCYPART_ARC
(7,9),1.99842 # DEPENDENCYPART_ARC
(7,10),1.62781 # DEPENDENCYPART_ARC
(7,11),-0.173109 # DEPENDENCYPART_ARC
(7,12),1.04706 # DEPENDENCYPART_ARC
(7,13),0.641066 # DEPENDENCYPART_ARC
(7,14),-0.390347 # DEPENDENCYPART_ARC
(7,15),-1.04233 # DEPENDENCYPART_ARC
(7,16),-0.335359 # DEPENDENCYPART_ARC
(7,17),2.83878 # DEPENDENCYPART_ARC
(8,1),-0.679174 # DEPENDENCYPART_ARC
(8,2),-0.755909 # DEPENDENCYPART_ARC
(8,3),0.0808718 # DEPENDENCYPART_ARC
(8,4),0.0214228 # DEPENDENCYPART_ARC
(8,5),2.6441 # DEPENDENCYPART_ARC
(8,6),1.68168 # DEPENDENCYPART_ARC
(8,7),1.3656 # DEPENDENCYPART_ARC
(8,9),2.03607 # DEPENDENCYPART_ARC
(8,10),0.993556 # DEPENDENCYPART_ARC
(8,11),1.29591 # DEPENDENCYPART_ARC
(8,12),1.5556 # DEPENDENCYPART_ARC
(8,13),1.04004 # DEPENDENCYPART_ARC
(8,14),0.468138 # DEPENDENCYPART_ARC
(8,15),0.282667 # DEPENDENCYPART_ARC
(8,16),0.633747 # DEPENDENCYPART_ARC
(8,17),2.29836 # DEPENDENCYPART_ARC
(9,1),-1.75241 # DEPENDENCYPART_ARC
(9,2),-1.94004 # DEPENDENCYPART_ARC
(9,3),-1.28415 # DEPENDENCYPART_ARC
(9,4),-0.719751 # DEPENDENCYPART_ARC
(9,5),-0.516061 # DEPENDENCYPART_ARC
(9,6),-0.56054 # DEPENDENCYPART_ARC
(9,7),-0.877047 # DEPENDENCYPART_ARC
(9,8),-0.629317 # DEPENDENCYPART_ARC
(9,10),0.189308 # DEPENDENCYPART_ARC
(9,11),-0.166867 # DEPENDENCYPART_ARC
(9,12),-0.514272 # DEPENDENCYPART_ARC
(9,13),-0.105388 # DEPENDENCYPART_ARC
(9,14),-1.2308 # DEPENDENCYPART_ARC
(9,15),-1.3768 # DEPENDENCYPART_ARC
(9,16),-1.15447 # DEPENDENCYPART_ARC
(9,17),-0.0528537 # DEPENDENCYPART_ARC
(10,1),-0.908071 # DEPENDENCYPART_ARC
(10,2),-0.960335 # DEPENDENCYPART_ARC
(10,3),-0.322952 # DEPENDENCYPART_ARC
(10,4),-0.294491 # DEPENDENCYPART_ARC
(10,5),0.316797 # DEPENDENCYPART_ARC
(10,6),-0.590069 # DEPENDENCYPART_ARC
(10,7),-0.252591 # DEPENDENCYPART_ARC
(10,8),0.283807 # DEPENDENCYPART_ARC
(10,9),1.17168 # DEPENDENCYPART_ARC
(10,11),2.64852 # DEPENDENCYPART_ARC
(10,12),3.12232 # DEPENDENCYPART_ARC
(10,13),1.18244 # DEPENDENCYPART_ARC
(10,14),0.484444 # DEPENDENCYPART_ARC
(10,15),0.0398707 # DEPENDENCYPART_ARC
(10,16),1.28918 # DEPENDENCYPART_ARC
(10,17),-0.306943 # DEPENDENCYPART_ARC
(11,1),-1.22452 # DEPENDENCYPART_ARC
(11,2),-1.83324 # DEPENDENCYPART_ARC
(11,3),-0.972646 # DEPENDENCYPART_ARC
(11,4),-1.61927 # DEPENDENCYPART_ARC
(11,5),-0.45679 # DEPENDENCYPART_ARC
(11,6),-0.99251 # DEPENDENCYPART_ARC
(11,7),-1.06321 # DEPENDENCYPART_ARC
(11,8),-0.841493 # DEPENDENCYPART_ARC
(11,9),0.0427255 # DEPENDENCYPART_ARC
(11,10),0.819858 # DEPENDENCYPART_ARC
(11,12),0.127947 # DEPENDENCYPART_ARC
(11,13),-0.342992 # DEPENDENCYPART_ARC
(11,14),-1.05767 # DEPENDENCYPART_ARC
(11,15),-1.19389 # DEPENDENCYPART_ARC
(11,16),-1.41959 # DEPENDENCYPART_ARC
(11,17),-0.886407 # DEPENDENCYPART_ARC
(12,1),-0.518255 # DEPENDENCYPART_ARC
(12,2),-1.05752 # DEPENDENCYPART_ARC
(12,3),-0.858933 # DEPENDENCYPART_ARC
(12,4),-0.372343 # DEPENDENCYPART_ARC
(12,5),1.01973 # DEPENDENCYPART_ARC
(12,6),-0.52873 # DEPENDENCYPART_ARC
(12,7),-0.562112 # DEPENDENCYPART_ARC
(12,8),0.572621 # DEPENDENCYPART_ARC
(12,9),0.575441 # DEPENDENCYPART_ARC
(12,10),1.60278 # DEPENDENCYPART_ARC
(12,11),3.73916 # DEPENDENCYPART_ARC
(12,13),2.79854 # DEPENDENCYPART_ARC
(12,14),0.980472 # DEPENDENCYPART_ARC
(12,15),0.567066 # DEPENDENCYPART_ARC
(12,16),0.540414 # DEPENDENCYPART_ARC
(12,17),0.753689 # DEPENDENCYPART_ARC
(13,1),-2.31293 # DEPENDENCYPART_ARC
(13,2),-2.42825 # DEPENDENCYPART_ARC
(13,3),-2.14552 # DEPENDENCYPART_ARC
(13,4),-0.399098 # DEPENDENCYPART_ARC
(13,5),-1.40555 # DEPENDENCYPART_ARC
(13,6),-1.93364 # DEPENDENCYPART_ARC
(13,7),-1.36118 # DEPENDENCYPART_ARC
(13,8),-1.59232 # DEPENDENCYPART_ARC
(13,9),-1.0532 # DEPENDENCYPART_ARC
(13,10),-1.41895 # DEPENDENCYPART_ARC
(13,11),-1.09562 # DEPENDENCYPART_ARC
(13,12),-0.995302 # DEPENDENCYPART_ARC
(13,14),-0.267277 # DEPENDENCYPART_ARC
(13,15),-0.697167 # DEPENDENCYPART_ARC
(13,16),-1.33036 # DEPENDENCYPART_ARC
(13,17),-1.14461 # DEPENDENCYPART_ARC
(14,1),-1.56877 # DEPENDENCYPART_ARC
(14,2),-1.88082 # DEPENDENCYPART_ARC
(14,3),-1.41565 # DEPENDENCYPART_ARC
(14,4),-1.38219 # DEPENDENCYPART_ARC
(14,5),-0.634151 # DEPENDENCYPART_ARC
(14,6),-1.27399 # DEPENDENCYPART_ARC
(14,7),-1.04689 # DEPENDENCYPART_ARC
(14,8),-1.28735 # DEPENDENCYPART_ARC
(14,9),-0.227024 # DEPENDENCYPART_ARC
(14,10),-0.18665 # DEPENDENCYPART_ARC
(14,11),0.1469 # DEPENDENCYPART_ARC
(14,12),-0.254145 # DEPENDENCYPART_ARC
(14,13),0.766598 # DEPENDENCYPART_ARC
(14,15),2.98791 # DEPENDENCYPART_ARC
(14,16),0.88517 # DEPENDENCYPART_ARC
(14,17),0.299376 # DEPENDENCYPART_ARC
(15,1),-2.09083 # DEPENDENCYPART_ARC
(15,2),-2.57037 # DEPENDENCYPART_ARC
(15,3),-1.79493 # DEPENDENCYPART_ARC
(15,4),-1.89066 # DEPENDENCYPART_ARC
(15,5),-1.05742 # DEPENDENCYPART_ARC
(15,6),-1.79497 # DEPENDENCYPART_ARC
(15,7),-1.99042 # DEPENDENCYPART_ARC
(15,8),-2.19302 # DEPENDENCYPART_ARC
(15,9),-1.33009 # DEPENDENCYPART_ARC
(15,10),-1.00724 # DEPENDENCYPART_ARC
(15,11),-0.33685 # DEPENDENCYPART_ARC
(15,12),-0.76983 # DEPENDENCYPART_ARC
(15,13),-0.157125 # DEPENDENCYPART_ARC
(15,14),1.64214 # DEPENDENCYPART_ARC
(15,16),1.01789 # DEPENDENCYPART_ARC
(15,17),-0.194096 # DEPENDENCYPART_ARC
(16,1),-2.73497 # DEPENDENCYPART_ARC
(16,2),-2.20568 # DEPENDENCYPART_ARC
(16,3),-1.84796 # DEPENDENCYPART_ARC
(16,4),-0.730425 # DEPENDENCYPART_ARC
(16,5),-1.25136 # DEPENDENCYPART_ARC
(16,6),-3.29227 # DEPENDENCYPART_ARC
(16,7),-0.429191 # DEPENDENCYPART_ARC
(16,8),-2.50348 # DEPENDENCYPART_ARC
(16,9),-0.0349095 # DEPENDENCYPART_ARC
(16,10),-1.4296 # DEPENDENCYPART_ARC
(16,11),0.692619 # DEPENDENCYPART_ARC
(16,12),0.154462 # DEPENDENCYPART_ARC
(16,13),0.943185 # DEPENDENCYPART_ARC
(16,14),2.96553 # DEPENDENCYPART_ARC
(16,15),4.64873 # DEPENDENCYPART_ARC
(16,17),-0.129609 # DEPENDENCYPART_ARC
(17,1),-2.90381 # DEPENDENCYPART_ARC
(17,2),-2.23594 # DEPENDENCYPART_ARC
(17,3),-2.51193 # DEPENDENCYPART_ARC
(17,4),-0.9828 # DEPENDENCYPART_ARC
(17,5),-1.89698 # DEPENDENCYPART_ARC
(17,6),-2.13625 # DEPENDENCYPART_ARC
(17,7),-1.2788 # DEPENDENCYPART_ARC
(17,8),-1.97354 # DEPENDENCYPART_ARC
(17,9),-0.107784 # DEPENDENCYPART_ARC
(17,10),-1.5228 # DEPENDENCYPART_ARC
(17,11),-1.78831 # DEPENDENCYPART_ARC
(17,12),-1.84573 # DEPENDENCYPART_ARC
(17,13),-0.342037 # DEPENDENCYPART_ARC
(17,14),-0.667888 # DEPENDENCYPART_ARC
(17,15),-1.76434 # DEPENDENCYPART_ARC
(17,16),-1.75429 # DEPENDENCYPART_ARC
