# _root_ The FHA alone lost $ 4.2 billion in fiscal 1988 ; the government 's equity in the agency , essentially its reserve fund , fell to minus $ 2.9 billion .
#goldHeads=2,4,2,0,4,5,5,4,10,8,4,13,15,13,25,15,18,16,15,23,23,23,15,15,4,25,28,26,28,28,4,
#predictedHeads=2,4,4,0,4,5,5,5,10,8,4,13,15,13,4,15,18,16,4,23,23,23,18,18,4,25,28,26,28,28,25,
(2,3),1.9246 # DEPENDENCYPART_ARC
(2,4),1.32997 # DEPENDENCYPART_ARC
(2,5),0.169064 # DEPENDENCYPART_ARC
(2,6),0.809481 # DEPENDENCYPART_ARC
(2,7),0.250465 # DEPENDENCYPART_ARC
(2,8),0.280801 # DEPENDENCYPART_ARC
(2,9),0.129995 # DEPENDENCYPART_ARC
(2,10),0.0194436 # DEPENDENCYPART_ARC
(2,11),1.3903 # DEPENDENCYPART_ARC
(2,12),-0.362947 # DEPENDENCYPART_ARC
(2,13),-1.58022 # DEPENDENCYPART_ARC
(2,14),0.968354 # DEPENDENCYPART_ARC
(2,15),-1.88043 # DEPENDENCYPART_ARC
(2,16),-0.202036 # DEPENDENCYPART_ARC
(2,17),-1.02227 # DEPENDENCYPART_ARC
(2,18),-2.50448 # DEPENDENCYPART_ARC
(2,19),-0.5968 # DEPENDENCYPART_ARC
(2,20),-1.23766 # DEPENDENCYPART_ARC
(2,21),-2.00023 # DEPENDENCYPART_ARC
(2,22),-3.73064 # DEPENDENCYPART_ARC
(2,23),-3.79431 # DEPENDENCYPART_ARC
(2,24),-0.847204 # DEPENDENCYPART_ARC
(2,25),-2.04212 # DEPENDENCYPART_ARC
(2,26),-2.22249 # DEPENDENCYPART_ARC
(2,27),-2.97934 # DEPENDENCYPART_ARC
(2,28),-3.41859 # DEPENDENCYPART_ARC
(2,29),-3.77491 # DEPENDENCYPART_ARC
(2,30),-3.88539 # DEPENDENCYPART_ARC
(2,31),-0.515726 # DEPENDENCYPART_ARC
(3,1),1.06281 # DEPENDENCYPART_ARC
(3,2),0.259132 # DEPENDENCYPART_ARC
(3,4),1.15314 # DEPENDENCYPART_ARC
(3,5),0.222137 # DEPENDENCYPART_ARC
(3,6),0.303472 # DEPENDENCYPART_ARC
(3,7),-0.062991 # DEPENDENCYPART_ARC
(3,8),-0.319154 # DEPENDENCYPART_ARC
(3,9),-0.372264 # DEPENDENCYPART_ARC
(3,10),-1.38425 # DEPENDENCYPART_ARC
(3,11),-0.331384 # DEPENDENCYPART_ARC
(3,12),-1.14865 # DEPENDENCYPART_ARC
(3,13),-1.26298 # DEPENDENCYPART_ARC
(3,14),-1.55935 # DEPENDENCYPART_ARC
(3,15),-1.63825 # DEPENDENCYPART_ARC
(3,16),-1.57336 # DEPENDENCYPART_ARC
(3,17),-1.6955 # DEPENDENCYPART_ARC
(3,18),-2.05176 # DEPENDENCYPART_ARC
(3,19),-0.469704 # DEPENDENCYPART_ARC
(3,20),-2.17809 # DEPENDENCYPART_ARC
(3,21),-2.43642 # DEPENDENCYPART_ARC
(3,22),-2.84441 # DEPENDENCYPART_ARC
(3,23),-3.07007 # DEPENDENCYPART_ARC
(3,24),-0.630703 # DEPENDENCYPART_ARC
(3,25),-1.97769 # DEPENDENCYPART_ARC
(3,26),-4.28119 # DEPENDENCYPART_ARC
(3,27),-3.22562 # DEPENDENCYPART_ARC
(3,28),-2.85505 # DEPENDENCYPART_ARC
(3,29),-5.33483 # DEPENDENCYPART_ARC
(3,30),-5.11937 # DEPENDENCYPART_ARC
(3,31),0.818456 # DEPENDENCYPART_ARC
(4,1),0.969254 # DEPENDENCYPART_ARC
(4,2),2.2326 # DEPENDENCYPART_ARC
(4,3),2.70731 # DEPENDENCYPART_ARC
(4,5),3.16988 # DEPENDENCYPART_ARC
(4,6),1.79272 # DEPENDENCYPART_ARC
(4,7),1.35298 # DEPENDENCYPART_ARC
(4,8),2.40853 # DEPENDENCYPART_ARC
(4,9),1.09294 # DEPENDENCYPART_ARC
(4,10),0.49246 # DEPENDENCYPART_ARC
(4,11),3.79625 # DEPENDENCYPART_ARC
(4,12),-0.0432847 # DEPENDENCYPART_ARC
(4,13),0.727559 # DEPENDENCYPART_ARC
(4,14),0.416821 # DEPENDENCYPART_ARC
(4,15),1.59509 # DEPENDENCYPART_ARC
(4,16),1.80673 # DEPENDENCYPART_ARC
(4,17),-0.581488 # DEPENDENCYPART_ARC
(4,18),0.39118 # DEPENDENCYPART_ARC
(4,19),1.97504 # DEPENDENCYPART_ARC
(4,20),0.492377 # DEPENDENCYPART_ARC
(4,21),-1.15076 # DEPENDENCYPART_ARC
(4,22),-0.608876 # DEPENDENCYPART_ARC
(4,23),-0.30027 # DEPENDENCYPART_ARC
(4,24),1.16506 # DEPENDENCYPART_ARC
(4,25),2.52505 # DEPENDENCYPART_ARC
(4,26),0.792623 # DEPENDENCYPART_ARC
(4,27),-0.6772 # DEPENDENCYPART_ARC
(4,28),-1.71637 # DEPENDENCYPART_ARC
(4,29),-1.49047 # DEPENDENCYPART_ARC
(4,30),-1.51469 # DEPENDENCYPART_ARC
(4,31),4.81122 # DEPENDENCYPART_ARC
(5,1),1.17346 # DEPENDENCYPART_ARC
(5,2),-0.385132 # DEPENDENCYPART_ARC
(5,3),1.27309 # DEPENDENCYPART_ARC
(5,4),0.973367 # DEPENDENCYPART_ARC
(5,6),4.31752 # DEPENDENCYPART_ARC
(5,7),3.95003 # DEPENDENCYPART_ARC
(5,8),3.48412 # DEPENDENCYPART_ARC
(5,9),1.2094 # DEPENDENCYPART_ARC
(5,10),-0.0113561 # DEPENDENCYPART_ARC
(5,11),1.66152 # DEPENDENCYPART_ARC
(5,12),0.375734 # DEPENDENCYPART_ARC
(5,13),0.571098 # DEPENDENCYPART_ARC
(5,14),-0.0705705 # DEPENDENCYPART_ARC
(5,15),-0.0625606 # DEPENDENCYPART_ARC
(5,16),0.406586 # DEPENDENCYPART_ARC
(5,17),-0.617398 # DEPENDENCYPART_ARC
(5,18),0.061601 # DEPENDENCYPART_ARC
(5,19),-0.116042 # DEPENDENCYPART_ARC
(5,20),-0.985757 # DEPENDENCYPART_ARC
(5,21),-0.971992 # DEPENDENCYPART_ARC
(5,22),-1.24752 # DEPENDENCYPART_ARC
(5,23),-2.14977 # DEPENDENCYPART_ARC
(5,24),-1.37034 # DEPENDENCYPART_ARC
(5,25),-1.44281 # DEPENDENCYPART_ARC
(5,26),-2.20016 # DEPENDENCYPART_ARC
(5,27),-1.71071 # DEPENDENCYPART_ARC
(5,28),-2.25171 # DEPENDENCYPART_ARC
(5,29),-4.90209 # DEPENDENCYPART_ARC
(5,30),-5.01718 # DEPENDENCYPART_ARC
(5,31),-0.451852 # DEPENDENCYPART_ARC
(6,1),-1.17843 # DEPENDENCYPART_ARC
(6,2),-1.80577 # DEPENDENCYPART_ARC
(6,3),-1.1538 # DEPENDENCYPART_ARC
(6,4),-1.32845 # DEPENDENCYPART_ARC
(6,5),-0.536181 # DEPENDENCYPART_ARC
(6,7),1.50333 # DEPENDENCYPART_ARC
(6,8),-0.535498 # DEPENDENCYPART_ARC
(6,9),-0.548392 # DEPENDENCYPART_ARC
(6,10),-0.730655 # DEPENDENCYPART_ARC
(6,11),-0.508633 # DEPENDENCYPART_ARC
(6,12),-1.33127 # DEPENDENCYPART_ARC
(6,13),-1.15781 # DEPENDENCYPART_ARC
(6,14),-0.626507 # DEPENDENCYPART_ARC
(6,15),-1.21088 # DEPENDENCYPART_ARC
(6,16),-1.2159 # DEPENDENCYPART_ARC
(6,17),-2.03602 # DEPENDENCYPART_ARC
(6,18),-1.74006 # DEPENDENCYPART_ARC
(6,19),-1.00879 # DEPENDENCYPART_ARC
(6,20),-1.65689 # DEPENDENCYPART_ARC
(6,21),-2.39507 # DEPENDENCYPART_ARC
(6,22),-1.93622 # DEPENDENCYPART_ARC
(6,23),-2.34261 # DEPENDENCYPART_ARC
(6,24),-1.0854 # DEPENDENCYPART_ARC
(6,25),-2.0344 # DEPENDENCYPART_ARC
(6,26),-2.43283 # DEPENDENCYPART_ARC
(6,27),-3.17874 # DEPENDENCYPART_ARC
(6,28),-1.89496 # DEPENDENCYPART_ARC
(6,29),-2.36945 # DEPENDENCYPART_ARC
(6,30),-2.18048 # DEPENDENCYPART_ARC
(6,31),-1.23204 # DEPENDENCYPART_ARC
(7,1),0.000467355 # DEPENDENCYPART_ARC
(7,2),-0.560679 # DEPENDENCYPART_ARC
(7,3),0.167686 # DEPENDENCYPART_ARC
(7,4),-0.245289 # DEPENDENCYPART_ARC
(7,5),0.347769 # DEPENDENCYPART_ARC
(7,6),1.70284 # DEPENDENCYPART_ARC
(7,8),0.0397434 # DEPENDENCYPART_ARC
(7,9),-0.0121568 # DEPENDENCYPART_ARC
(7,10),-0.726998 # DEPENDENCYPART_ARC
(7,11),0.108618 # DEPENDENCYPART_ARC
(7,12),-1.42235 # DEPENDENCYPART_ARC
(7,13),-0.273018 # DEPENDENCYPART_ARC
(7,14),-0.42163 # DEPENDENCYPART_ARC
(7,15),-0.412907 # DEPENDENCYPART_ARC
(7,16),-0.80957 # DEPENDENCYPART_ARC
(7,17),-1.76345 # DEPENDENCYPART_ARC
(7,18),-0.7689 # DEPENDENCYPART_ARC
(7,19),-0.666648 # DEPENDENCYPART_ARC
(7,20),-1.55231 # DEPENDENCYPART_ARC
(7,21),-2.23917 # DEPENDENCYPART_ARC
(7,22),-0.848221 # DEPENDENCYPART_ARC
(7,23),-1.37873 # DEPENDENCYPART_ARC
(7,24),-0.608009 # DEPENDENCYPART_ARC
(7,25),-1.91451 # DEPENDENCYPART_ARC
(7,26),-2.30855 # DEPENDENCYPART_ARC
(7,27),-2.92552 # DEPENDENCYPART_ARC
(7,28),-0.752269 # DEPENDENCYPART_ARC
(7,29),-2.54151 # DEPENDENCYPART_ARC
(7,30),-2.65125 # DEPENDENCYPART_ARC
(7,31),-1.34736 # DEPENDENCYPART_ARC
(8,1),-0.654913 # DEPENDENCYPART_ARC
(8,2),-1.01679 # DEPENDENCYPART_ARC
(8,3),-0.991395 # DEPENDENCYPART_ARC
(8,4),-0.694016 # DEPENDENCYPART_ARC
(8,5),0.140538 # DEPENDENCYPART_ARC
(8,6),-0.0319843 # DEPENDENCYPART_ARC
(8,7),0.27363 # DEPENDENCYPART_ARC
(8,9),1.2475 # DEPENDENCYPART_ARC
(8,10),3.11253 # DEPENDENCYPART_ARC
(8,11),0.423639 # DEPENDENCYPART_ARC
(8,12),-1.41283 # DEPENDENCYPART_ARC
(8,13),-0.699735 # DEPENDENCYPART_ARC
(8,14),-0.864992 # DEPENDENCYPART_ARC
(8,15),-0.275884 # DEPENDENCYPART_ARC
(8,16),0.0130486 # DEPENDENCYPART_ARC
(8,17),-2.301 # DEPENDENCYPART_ARC
(8,18),-1.81499 # DEPENDENCYPART_ARC
(8,19),-0.288529 # DEPENDENCYPART_ARC
(8,20),-1.70977 # DEPENDENCYPART_ARC
(8,21),-1.72601 # DEPENDENCYPART_ARC
(8,22),-5.30296 # DEPENDENCYPART_ARC
(8,23),-4.52454 # DEPENDENCYPART_ARC
(8,24),-0.818712 # DEPENDENCYPART_ARC
(8,25),-3.17306 # DEPENDENCYPART_ARC
(8,26),-3.50506 # DEPENDENCYPART_ARC
(8,27),-2.24984 # DEPENDENCYPART_ARC
(8,28),-6.0632 # DEPENDENCYPART_ARC
(8,29),-4.2842 # DEPENDENCYPART_ARC
(8,30),-3.76845 # DEPENDENCYPART_ARC
(8,31),-1.22897 # DEPENDENCYPART_ARC
(9,1),-1.28823 # DEPENDENCYPART_ARC
(9,2),-1.71897 # DEPENDENCYPART_ARC
(9,3),-1.60256 # DEPENDENCYPART_ARC
(9,4),-2.33047 # DEPENDENCYPART_ARC
(9,5),-0.561975 # DEPENDENCYPART_ARC
(9,6),-0.376269 # DEPENDENCYPART_ARC
(9,7),-0.352892 # DEPENDENCYPART_ARC
(9,8),0.204998 # DEPENDENCYPART_ARC
(9,10),1.2529 # DEPENDENCYPART_ARC
(9,11),-0.0660312 # DEPENDENCYPART_ARC
(9,12),-0.931075 # DEPENDENCYPART_ARC
(9,13),-0.584565 # DEPENDENCYPART_ARC
(9,14),-0.469293 # DEPENDENCYPART_ARC
(9,15),-1.05842 # DEPENDENCYPART_ARC
(9,16),-1.2817 # DEPENDENCYPART_ARC
(9,17),-1.84367 # DEPENDENCYPART_ARC
(9,18),-1.38209 # DEPENDENCYPART_ARC
(9,19),-0.564623 # DEPENDENCYPART_ARC
(9,20),-1.65858 # DEPENDENCYPART_ARC
(9,21),-2.20769 # DEPENDENCYPART_ARC
(9,22),-1.77234 # DEPENDENCYPART_ARC
(9,23),-2.08079 # DEPENDENCYPART_ARC
(9,24),-0.718433 # DEPENDENCYPART_ARC
(9,25),-1.24657 # DEPENDENCYPART_ARC
(9,26),-1.90802 # DEPENDENCYPART_ARC
(9,27),-3.10951 # DEPENDENCYPART_ARC
(9,28),-3.10529 # DEPENDENCYPART_ARC
(9,29),-3.47581 # DEPENDENCYPART_ARC
(9,30),-3.48266 # DEPENDENCYPART_ARC
(9,31),-1.19679 # DEPENDENCYPART_ARC
(10,1),0.341992 # DEPENDENCYPART_ARC
(10,2),-0.797546 # DEPENDENCYPART_ARC
(10,3),0.026894 # DEPENDENCYPART_ARC
(10,4),-0.410464 # DEPENDENCYPART_ARC
(10,5),-0.209448 # DEPENDENCYPART_ARC
(10,6),0.49598 # DEPENDENCYPART_ARC
(10,7),0.416691 # DEPENDENCYPART_ARC
(10,8),1.00649 # DEPENDENCYPART_ARC
(10,9),3.09555 # DEPENDENCYPART_ARC
(10,11),0.367198 # DEPENDENCYPART_ARC
(10,12),-0.70228 # DEPENDENCYPART_ARC
(10,13),-0.261722 # DEPENDENCYPART_ARC
(10,14),-0.0622552 # DEPENDENCYPART_ARC
(10,15),-0.588174 # DEPENDENCYPART_ARC
(10,16),-0.736287 # DEPENDENCYPART_ARC
(10,17),-1.54355 # DEPENDENCYPART_ARC
(10,18),-1.02794 # DEPENDENCYPART_ARC
(10,19),0.457707 # DEPENDENCYPART_ARC
(10,20),-1.30825 # DEPENDENCYPART_ARC
(10,21),-2.06251 # DEPENDENCYPART_ARC
(10,22),-1.4411 # DEPENDENCYPART_ARC
(10,23),-1.75875 # DEPENDENCYPART_ARC
(10,24),0.873953 # DEPENDENCYPART_ARC
(10,25),-1.09126 # DEPENDENCYPART_ARC
(10,26),-2.06847 # DEPENDENCYPART_ARC
(10,27),-2.6212 # DEPENDENCYPART_ARC
(10,28),-1.46998 # DEPENDENCYPART_ARC
(10,29),-2.33599 # DEPENDENCYPART_ARC
(10,30),-2.38628 # DEPENDENCYPART_ARC
(10,31),-0.960256 # DEPENDENCYPART_ARC
(11,1),-1.51597 # DEPENDENCYPART_ARC
(11,2),-1.47742 # DEPENDENCYPART_ARC
(11,3),-1.92069 # DEPENDENCYPART_ARC
(11,4),-1.59443 # DEPENDENCYPART_ARC
(11,5),-1.402 # DEPENDENCYPART_ARC
(11,6),-1.49582 # DEPENDENCYPART_ARC
(11,7),-1.2798 # DEPENDENCYPART_ARC
(11,8),-0.522162 # DEPENDENCYPART_ARC
(11,9),-0.814712 # DEPENDENCYPART_ARC
(11,10),-0.279192 # DEPENDENCYPART_ARC
(11,12),-0.547337 # DEPENDENCYPART_ARC
(11,13),-0.682116 # DEPENDENCYPART_ARC
(11,14),-1.04383 # DEPENDENCYPART_ARC
(11,15),-1.16597 # DEPENDENCYPART_ARC
(11,16),-1.57439 # DEPENDENCYPART_ARC
(11,17),-1.78592 # DEPENDENCYPART_ARC
(11,18),-1.51417 # DEPENDENCYPART_ARC
(11,19),-0.959466 # DEPENDENCYPART_ARC
(11,20),-1.62781 # DEPENDENCYPART_ARC
(11,21),-2.28753 # DEPENDENCYPART_ARC
(11,22),-1.77386 # DEPENDENCYPART_ARC
(11,23),-1.87178 # DEPENDENCYPART_ARC
(11,24),-1.44971 # DEPENDENCYPART_ARC
(11,25),-1.56007 # DEPENDENCYPART_ARC
(11,26),-2.06086 # DEPENDENCYPART_ARC
(11,27),-2.52517 # DEPENDENCYPART_ARC
(11,28),-3.02732 # DEPENDENCYPART_ARC
(11,29),-3.23772 # DEPENDENCYPART_ARC
(11,30),-3.33878 # DEPENDENCYPART_ARC
(11,31),-1.54919 # DEPENDENCYPART_ARC
(12,1),-2.9961 # DEPENDENCYPART_ARC
(12,2),-3.166 # DEPENDENCYPART_ARC
(12,3),-3.05359 # DEPENDENCYPART_ARC
(12,4),-2.8995 # DEPENDENCYPART_ARC
(12,5),-2.55071 # DEPENDENCYPART_ARC
(12,6),-2.45389 # DEPENDENCYPART_ARC
(12,7),-2.13919 # DEPENDENCYPART_ARC
(12,8),-1.86589 # DEPENDENCYPART_ARC
(12,9),-1.79818 # DEPENDENCYPART_ARC
(12,10),-1.50067 # DEPENDENCYPART_ARC
(12,11),-0.648541 # DEPENDENCYPART_ARC
(12,13),0.129639 # DEPENDENCYPART_ARC
(12,14),-0.723768 # DEPENDENCYPART_ARC
(12,15),-0.656111 # DEPENDENCYPART_ARC
(12,16),-1.4586 # DEPENDENCYPART_ARC
(12,17),-2.21698 # DEPENDENCYPART_ARC
(12,18),-1.49906 # DEPENDENCYPART_ARC
(12,19),-1.03441 # DEPENDENCYPART_ARC
(12,20),-1.71217 # DEPENDENCYPART_ARC
(12,21),-2.43679 # DEPENDENCYPART_ARC
(12,22),-2.01117 # DEPENDENCYPART_ARC
(12,23),-2.17282 # DEPENDENCYPART_ARC
(12,24),-1.98572 # DEPENDENCYPART_ARC
(12,25),-2.69703 # DEPENDENCYPART_ARC
(12,26),-2.76817 # DEPENDENCYPART_ARC
(12,27),-3.07289 # DEPENDENCYPART_ARC
(12,28),-3.77923 # DEPENDENCYPART_ARC
(12,29),-3.13668 # DEPENDENCYPART_ARC
(12,30),-3.32605 # DEPENDENCYPART_ARC
(12,31),-2.37966 # DEPENDENCYPART_ARC
(13,1),-0.509921 # DEPENDENCYPART_ARC
(13,2),-2.80264 # DEPENDENCYPART_ARC
(13,3),-1.68542 # DEPENDENCYPART_ARC
(13,4),-1.3604 # DEPENDENCYPART_ARC
(13,5),-1.75429 # DEPENDENCYPART_ARC
(13,6),-1.70971 # DEPENDENCYPART_ARC
(13,7),-2.04612 # DEPENDENCYPART_ARC
(13,8),-0.427665 # DEPENDENCYPART_ARC
(13,9),1.01224 # DEPENDENCYPART_ARC
(13,10),0.0349074 # DEPENDENCYPART_ARC
(13,11),0.522415 # DEPENDENCYPART_ARC
(13,12),4.93119 # DEPENDENCYPART_ARC
(13,14),4.24164 # DEPENDENCYPART_ARC
(13,15),0.464103 # DEPENDENCYPART_ARC
(13,16),0.460208 # DEPENDENCYPART_ARC
(13,17),-0.564239 # DEPENDENCYPART_ARC
(13,18),-0.255113 # DEPENDENCYPART_ARC
(13,19),0.389021 # DEPENDENCYPART_ARC
(13,20),-0.646366 # DEPENDENCYPART_ARC
(13,21),-1.76302 # DEPENDENCYPART_ARC
(13,22),-0.410533 # DEPENDENCYPART_ARC
(13,23),-0.877151 # DEPENDENCYPART_ARC
(13,24),0.191634 # DEPENDENCYPART_ARC
(13,25),-1.69998 # DEPENDENCYPART_ARC
(13,26),-2.3025 # DEPENDENCYPART_ARC
(13,27),-1.98946 # DEPENDENCYPART_ARC
(13,28),-1.50751 # DEPENDENCYPART_ARC
(13,29),-0.830456 # DEPENDENCYPART_ARC
(13,30),-1.37023 # DEPENDENCYPART_ARC
(13,31),-0.524373 # DEPENDENCYPART_ARC
(14,1),-1.13124 # DEPENDENCYPART_ARC
(14,2),-1.5553 # DEPENDENCYPART_ARC
(14,3),-1.86909 # DEPENDENCYPART_ARC
(14,4),-1.41013 # DEPENDENCYPART_ARC
(14,5),-1.17542 # DEPENDENCYPART_ARC
(14,6),-1.20878 # DEPENDENCYPART_ARC
(14,7),-1.06843 # DEPENDENCYPART_ARC
(14,8),-0.933704 # DEPENDENCYPART_ARC
(14,9),-0.497048 # DEPENDENCYPART_ARC
(14,10),-0.359864 # DEPENDENCYPART_ARC
(14,11),0.18455 # DEPENDENCYPART_ARC
(14,12),1.39001 # DEPENDENCYPART_ARC
(14,13),0.32589 # DEPENDENCYPART_ARC
(14,15),-0.192363 # DEPENDENCYPART_ARC
(14,16),-0.869077 # DEPENDENCYPART_ARC
(14,17),-1.23629 # DEPENDENCYPART_ARC
(14,18),-1.21498 # DEPENDENCYPART_ARC
(14,19),-0.988271 # DEPENDENCYPART_ARC
(14,20),-1.48005 # DEPENDENCYPART_ARC
(14,21),-2.21817 # DEPENDENCYPART_ARC
(14,22),-1.96681 # DEPENDENCYPART_ARC
(14,23),-2.07157 # DEPENDENCYPART_ARC
(14,24),-1.58946 # DEPENDENCYPART_ARC
(14,25),-1.44451 # DEPENDENCYPART_ARC
(14,26),-2.83774 # DEPENDENCYPART_ARC
(14,27),-2.21824 # DEPENDENCYPART_ARC
(14,28),-2.9749 # DEPENDENCYPART_ARC
(14,29),-2.9842 # DEPENDENCYPART_ARC
(14,30),-3.10864 # DEPENDENCYPART_ARC
(14,31),-3.22095 # DEPENDENCYPART_ARC
(15,1),-2.05579 # DEPENDENCYPART_ARC
(15,2),-2.58392 # DEPENDENCYPART_ARC
(15,3),-1.60917 # DEPENDENCYPART_ARC
(15,4),-1.38372 # DEPENDENCYPART_ARC
(15,5),-0.973075 # DEPENDENCYPART_ARC
(15,6),-1.31257 # DEPENDENCYPART_ARC
(15,7),-1.64185 # DEPENDENCYPART_ARC
(15,8),-0.368866 # DEPENDENCYPART_ARC
(15,9),0.0921939 # DEPENDENCYPART_ARC
(15,10),0.177348 # DEPENDENCYPART_ARC
(15,11),0.382531 # DEPENDENCYPART_ARC
(15,12),1.72171 # DEPENDENCYPART_ARC
(15,13),4.23726 # DEPENDENCYPART_ARC
(15,14),1.51036 # DEPENDENCYPART_ARC
(15,16),2.93291 # DEPENDENCYPART_ARC
(15,17),0.291188 # DEPENDENCYPART_ARC
(15,18),1.14575 # DEPENDENCYPART_ARC
(15,19),1.83721 # DEPENDENCYPART_ARC
(15,20),0.691345 # DEPENDENCYPART_ARC
(15,21),-0.68972 # DEPENDENCYPART_ARC
(15,22),0.917086 # DEPENDENCYPART_ARC
(15,23),0.420102 # DEPENDENCYPART_ARC
(15,24),2.32398 # DEPENDENCYPART_ARC
(15,25),-0.517474 # DEPENDENCYPART_ARC
(15,26),-0.982324 # DEPENDENCYPART_ARC
(15,27),-0.736756 # DEPENDENCYPART_ARC
(15,28),-1.18562 # DEPENDENCYPART_ARC
(15,29),-0.494538 # DEPENDENCYPART_ARC
(15,30),-1.01764 # DEPENDENCYPART_ARC
(15,31),0.542859 # DEPENDENCYPART_ARC
(16,1),-1.82969 # DEPENDENCYPART_ARC
(16,2),-2.13214 # DEPENDENCYPART_ARC
(16,3),-1.58382 # DEPENDENCYPART_ARC
(16,4),-1.7004 # DEPENDENCYPART_ARC
(16,5),-1.37477 # DEPENDENCYPART_ARC
(16,6),-0.816248 # DEPENDENCYPART_ARC
(16,7),-1.02223 # DEPENDENCYPART_ARC
(16,8),-0.475142 # DEPENDENCYPART_ARC
(16,9),-0.994282 # DEPENDENCYPART_ARC
(16,10),-0.592895 # DEPENDENCYPART_ARC
(16,11),-0.161592 # DEPENDENCYPART_ARC
(16,12),-0.028142 # DEPENDENCYPART_ARC
(16,13),-0.0274429 # DEPENDENCYPART_ARC
(16,14),0.254189 # DEPENDENCYPART_ARC
(16,15),0.191474 # DEPENDENCYPART_ARC
(16,17),0.59337 # DEPENDENCYPART_ARC
(16,18),3.99948 # DEPENDENCYPART_ARC
(16,19),1.05557 # DEPENDENCYPART_ARC
(16,20),-0.057303 # DEPENDENCYPART_ARC
(16,21),-0.541876 # DEPENDENCYPART_ARC
(16,22),-0.910879 # DEPENDENCYPART_ARC
(16,23),0.74674 # DEPENDENCYPART_ARC
(16,24),0.102436 # DEPENDENCYPART_ARC
(16,25),-1.60246 # DEPENDENCYPART_ARC
(16,26),-1.57177 # DEPENDENCYPART_ARC
