# _root_ One customer , Dayna Brunsdon , says she spurned a color portrait for black and white because `` it 's more dramatic .
#goldHeads=2,7,2,5,2,2,0,9,7,12,12,9,9,13,14,15,9,20,20,17,22,20,7,
#predictedHeads=2,7,2,5,2,2,0,9,7,12,12,9,12,13,14,15,9,17,20,17,22,20,7,
(3,1),-1.12221 # DEPENDENCYPART_ARC
(3,2),-0.609303 # DEPENDENCYPART_ARC
(3,4),-0.272665 # DEPENDENCYPART_ARC
(3,5),-1.00984 # DEPENDENCYPART_ARC
(3,6),0.218837 # DEPENDENCYPART_ARC
(3,7),-1.2962 # DEPENDENCYPART_ARC
(3,8),-1.9992 # DEPENDENCYPART_ARC
(3,9),-1.62141 # DEPENDENCYPART_ARC
(3,10),-2.17699 # DEPENDENCYPART_ARC
(3,11),-2.59033 # DEPENDENCYPART_ARC
(3,12),-2.74548 # DEPENDENCYPART_ARC
(3,13),-1.91668 # DEPENDENCYPART_ARC
(3,14),-2.77361 # DEPENDENCYPART_ARC
(3,15),-2.42076 # DEPENDENCYPART_ARC
(3,16),-2.98292 # DEPENDENCYPART_ARC
(3,17),-2.1083 # DEPENDENCYPART_ARC
(3,18),-1.39629 # DEPENDENCYPART_ARC
(3,19),-2.97256 # DEPENDENCYPART_ARC
(3,20),-2.81394 # DEPENDENCYPART_ARC
(3,21),-3.20519 # DEPENDENCYPART_ARC
(3,22),-3.61609 # DEPENDENCYPART_ARC
(3,23),-2.73307 # DEPENDENCYPART_ARC
(4,1),-0.421197 # DEPENDENCYPART_ARC
(4,2),-1.6209 # DEPENDENCYPART_ARC
(4,3),-0.484917 # DEPENDENCYPART_ARC
(4,5),2.13518 # DEPENDENCYPART_ARC
(4,6),1.17254 # DEPENDENCYPART_ARC
(4,7),0.0453665 # DEPENDENCYPART_ARC
(4,8),-0.432009 # DEPENDENCYPART_ARC
(4,9),-0.542446 # DEPENDENCYPART_ARC
(4,10),-0.861124 # DEPENDENCYPART_ARC
(4,11),-1.91531 # DEPENDENCYPART_ARC
(4,12),-1.74556 # DEPENDENCYPART_ARC
(4,13),-1.89958 # DEPENDENCYPART_ARC
(4,14),-1.36438 # DEPENDENCYPART_ARC
(4,15),0.339983 # DEPENDENCYPART_ARC
(4,16),-1.59864 # DEPENDENCYPART_ARC
(4,17),-2.20993 # DEPENDENCYPART_ARC
(4,18),-1.19594 # DEPENDENCYPART_ARC
(4,19),-1.93999 # DEPENDENCYPART_ARC
(4,20),-2.42587 # DEPENDENCYPART_ARC
(4,21),-2.39886 # DEPENDENCYPART_ARC
(4,22),-2.25943 # DEPENDENCYPART_ARC
(4,23),0.823431 # DEPENDENCYPART_ARC
(5,1),0.578917 # DEPENDENCYPART_ARC
(5,2),-0.98435 # DEPENDENCYPART_ARC
(5,3),0.412852 # DEPENDENCYPART_ARC
(5,4),4.60011 # DEPENDENCYPART_ARC
(5,6),1.75927 # DEPENDENCYPART_ARC
(5,7),0.252372 # DEPENDENCYPART_ARC
(5,8),-0.0369265 # DEPENDENCYPART_ARC
(5,9),0.0252544 # DEPENDENCYPART_ARC
(5,10),-1.19485 # DEPENDENCYPART_ARC
(5,11),-1.8356 # DEPENDENCYPART_ARC
(5,12),-0.729241 # DEPENDENCYPART_ARC
(5,13),-1.6171 # DEPENDENCYPART_ARC
(5,14),-1.44093 # DEPENDENCYPART_ARC
(5,15),0.105072 # DEPENDENCYPART_ARC
(5,16),-1.72265 # DEPENDENCYPART_ARC
(5,17),-2.01197 # DEPENDENCYPART_ARC
(5,18),-1.40042 # DEPENDENCYPART_ARC
(5,19),-1.71342 # DEPENDENCYPART_ARC
(5,20),-1.92247 # DEPENDENCYPART_ARC
(5,21),-2.32337 # DEPENDENCYPART_ARC
(5,22),-2.39852 # DEPENDENCYPART_ARC
(5,23),0.501498 # DEPENDENCYPART_ARC
(6,1),-1.42076 # DEPENDENCYPART_ARC
(6,2),-1.00543 # DEPENDENCYPART_ARC
(6,3),0.366585 # DEPENDENCYPART_ARC
(6,4),-1.30057 # DEPENDENCYPART_ARC
(6,5),-0.74727 # DEPENDENCYPART_ARC
(6,7),-0.4987 # DEPENDENCYPART_ARC
(6,8),-1.65321 # DEPENDENCYPART_ARC
(6,9),-1.48975 # DEPENDENCYPART_ARC
(6,10),-2.36337 # DEPENDENCYPART_ARC
(6,11),-2.56688 # DEPENDENCYPART_ARC
(6,12),-2.88926 # DEPENDENCYPART_ARC
(6,13),-2.11917 # DEPENDENCYPART_ARC
(6,14),-2.85063 # DEPENDENCYPART_ARC
(6,15),-2.47937 # DEPENDENCYPART_ARC
(6,16),-3.02097 # DEPENDENCYPART_ARC
(6,17),-2.29237 # DEPENDENCYPART_ARC
(6,18),-1.8178 # DEPENDENCYPART_ARC
(6,19),-3.09759 # DEPENDENCYPART_ARC
(6,20),-2.94844 # DEPENDENCYPART_ARC
(6,21),-3.28828 # DEPENDENCYPART_ARC
(6,22),-3.70141 # DEPENDENCYPART_ARC
(6,23),-2.84829 # DEPENDENCYPART_ARC
(7,1),-1.21964 # DEPENDENCYPART_ARC
(7,2),0.690179 # DEPENDENCYPART_ARC
(7,3),2.43984 # DEPENDENCYPART_ARC
(7,4),0.873393 # DEPENDENCYPART_ARC
(7,5),1.75318 # DEPENDENCYPART_ARC
(7,6),1.86356 # DEPENDENCYPART_ARC
(7,8),1.50455 # DEPENDENCYPART_ARC
(7,9),3.35991 # DEPENDENCYPART_ARC
(7,10),0.0291072 # DEPENDENCYPART_ARC
(7,11),-0.834383 # DEPENDENCYPART_ARC
(7,12),-0.29929 # DEPENDENCYPART_ARC
(7,13),-0.590033 # DEPENDENCYPART_ARC
(7,14),-0.47634 # DEPENDENCYPART_ARC
(7,15),1.63102 # DEPENDENCYPART_ARC
(7,16),-0.274958 # DEPENDENCYPART_ARC
(7,17),0.607174 # DEPENDENCYPART_ARC
(7,18),-0.161042 # DEPENDENCYPART_ARC
(7,19),-0.691252 # DEPENDENCYPART_ARC
(7,20),0.642322 # DEPENDENCYPART_ARC
(7,21),-1.5698 # DEPENDENCYPART_ARC
(7,22),-1.20753 # DEPENDENCYPART_ARC
(7,23),7.7899 # DEPENDENCYPART_ARC
(8,1),-2.10716 # DEPENDENCYPART_ARC
(8,2),-2.42877 # DEPENDENCYPART_ARC
(8,3),-0.906543 # DEPENDENCYPART_ARC
(8,4),-1.67547 # DEPENDENCYPART_ARC
(8,5),-1.4201 # DEPENDENCYPART_ARC
(8,6),-0.138047 # DEPENDENCYPART_ARC
(8,7),-0.478467 # DEPENDENCYPART_ARC
(8,9),0.596561 # DEPENDENCYPART_ARC
(8,10),-0.274819 # DEPENDENCYPART_ARC
(8,11),-0.379833 # DEPENDENCYPART_ARC
(8,12),-0.737699 # DEPENDENCYPART_ARC
(8,13),-0.840498 # DEPENDENCYPART_ARC
(8,14),-1.56222 # DEPENDENCYPART_ARC
(8,15),-0.434277 # DEPENDENCYPART_ARC
(8,16),-1.81472 # DEPENDENCYPART_ARC
(8,17),-0.937425 # DEPENDENCYPART_ARC
(8,18),-1.47304 # DEPENDENCYPART_ARC
(8,19),-1.20874 # DEPENDENCYPART_ARC
(8,20),-1.50292 # DEPENDENCYPART_ARC
(8,21),-2.14204 # DEPENDENCYPART_ARC
(8,22),-2.57745 # DEPENDENCYPART_ARC
(8,23),-1.27739 # DEPENDENCYPART_ARC
(9,1),-0.185132 # DEPENDENCYPART_ARC
(9,2),-0.579936 # DEPENDENCYPART_ARC
(9,3),1.24964 # DEPENDENCYPART_ARC
(9,4),-0.0900068 # DEPENDENCYPART_ARC
(9,5),-0.47836 # DEPENDENCYPART_ARC
(9,6),1.06467 # DEPENDENCYPART_ARC
(9,7),0.105348 # DEPENDENCYPART_ARC
(9,8),3.44207 # DEPENDENCYPART_ARC
(9,10),1.01404 # DEPENDENCYPART_ARC
(9,11),2.64893 # DEPENDENCYPART_ARC
(9,12),2.71959 # DEPENDENCYPART_ARC
(9,13),1.8467 # DEPENDENCYPART_ARC
(9,14),0.785941 # DEPENDENCYPART_ARC
(9,15),1.77809 # DEPENDENCYPART_ARC
(9,16),0.183546 # DEPENDENCYPART_ARC
(9,17),2.32425 # DEPENDENCYPART_ARC
(9,18),0.637284 # DEPENDENCYPART_ARC
(9,19),0.0990024 # DEPENDENCYPART_ARC
(9,20),0.870021 # DEPENDENCYPART_ARC
(9,21),-0.116989 # DEPENDENCYPART_ARC
(9,22),0.182106 # DEPENDENCYPART_ARC
(9,23),6.2387 # DEPENDENCYPART_ARC
(10,1),-1.9227 # DEPENDENCYPART_ARC
(10,2),-2.4009 # DEPENDENCYPART_ARC
(10,3),-1.86893 # DEPENDENCYPART_ARC
(10,4),-1.78502 # DEPENDENCYPART_ARC
(10,5),-1.72576 # DEPENDENCYPART_ARC
(10,6),-1.23559 # DEPENDENCYPART_ARC
(10,7),-1.18787 # DEPENDENCYPART_ARC
(10,8),-0.16942 # DEPENDENCYPART_ARC
(10,9),-0.341798 # DEPENDENCYPART_ARC
(10,11),0.839589 # DEPENDENCYPART_ARC
(10,12),0.176116 # DEPENDENCYPART_ARC
(10,13),-0.297733 # DEPENDENCYPART_ARC
(10,14),-0.764919 # DEPENDENCYPART_ARC
(10,15),-0.127026 # DEPENDENCYPART_ARC
(10,16),-0.979524 # DEPENDENCYPART_ARC
(10,17),-0.936153 # DEPENDENCYPART_ARC
(10,18),-1.03357 # DEPENDENCYPART_ARC
(10,19),-1.10638 # DEPENDENCYPART_ARC
(10,20),-1.45332 # DEPENDENCYPART_ARC
(10,21),-1.64505 # DEPENDENCYPART_ARC
(10,22),-2.10212 # DEPENDENCYPART_ARC
(10,23),-0.838666 # DEPENDENCYPART_ARC
(11,1),-2.0356 # DEPENDENCYPART_ARC
(11,2),-4.14972 # DEPENDENCYPART_ARC
(11,3),-1.86792 # DEPENDENCYPART_ARC
(11,4),-3.35043 # DEPENDENCYPART_ARC
(11,5),-4.33087 # DEPENDENCYPART_ARC
(11,6),-1.47149 # DEPENDENCYPART_ARC
(11,7),-1.74498 # DEPENDENCYPART_ARC
(11,8),-0.821706 # DEPENDENCYPART_ARC
(11,9),-0.93643 # DEPENDENCYPART_ARC
(11,10),3.03897 # DEPENDENCYPART_ARC
(11,12),1.54555 # DEPENDENCYPART_ARC
(11,13),1.11569 # DEPENDENCYPART_ARC
(11,14),-0.0928501 # DEPENDENCYPART_ARC
(11,15),0.406323 # DEPENDENCYPART_ARC
(11,16),-0.321493 # DEPENDENCYPART_ARC
(11,17),-0.231659 # DEPENDENCYPART_ARC
(11,18),-0.0578078 # DEPENDENCYPART_ARC
(11,19),-0.842997 # DEPENDENCYPART_ARC
(11,20),0.00960663 # DEPENDENCYPART_ARC
(11,21),-1.12088 # DEPENDENCYPART_ARC
(11,22),-1.78286 # DEPENDENCYPART_ARC
(11,23),0.721486 # DEPENDENCYPART_ARC
(12,1),-0.383064 # DEPENDENCYPART_ARC
(12,2),-2.4411 # DEPENDENCYPART_ARC
(12,3),-0.578981 # DEPENDENCYPART_ARC
(12,4),-1.15972 # DEPENDENCYPART_ARC
(12,5),-2.91717 # DEPENDENCYPART_ARC
(12,6),-0.84825 # DEPENDENCYPART_ARC
(12,7),-0.260994 # DEPENDENCYPART_ARC
(12,8),0.675822 # DEPENDENCYPART_ARC
(12,9),0.180248 # DEPENDENCYPART_ARC
(12,10),4.43667 # DEPENDENCYPART_ARC
(12,11),4.43947 # DEPENDENCYPART_ARC
(12,13),2.47691 # DEPENDENCYPART_ARC
(12,14),0.380671 # DEPENDENCYPART_ARC
(12,15),1.78985 # DEPENDENCYPART_ARC
(12,16),0.0853765 # DEPENDENCYPART_ARC
(12,17),0.362263 # DEPENDENCYPART_ARC
(12,18),0.199148 # DEPENDENCYPART_ARC
(12,19),-0.193007 # DEPENDENCYPART_ARC
(12,20),0.790895 # DEPENDENCYPART_ARC
(12,21),-0.412463 # DEPENDENCYPART_ARC
(12,22),-1.33184 # DEPENDENCYPART_ARC
(12,23),1.38805 # DEPENDENCYPART_ARC
(13,1),-2.05476 # DEPENDENCYPART_ARC
(13,2),-3.04168 # DEPENDENCYPART_ARC
(13,3),-1.31678 # DEPENDENCYPART_ARC
(13,4),-1.64097 # DEPENDENCYPART_ARC
(13,5),-1.76946 # DEPENDENCYPART_ARC
(13,6),-1.03235 # DEPENDENCYPART_ARC
(13,7),-1.01601 # DEPENDENCYPART_ARC
(13,8),-1.26701 # DEPENDENCYPART_ARC
(13,9),-1.0187 # DEPENDENCYPART_ARC
(13,10),0.150833 # DEPENDENCYPART_ARC
(13,11),-0.73302 # DEPENDENCYPART_ARC
(13,12),-0.29292 # DEPENDENCYPART_ARC
(13,14),2.13267 # DEPENDENCYPART_ARC
(13,15),0.389185 # DEPENDENCYPART_ARC
(13,16),0.808022 # DEPENDENCYPART_ARC
(13,17),-0.430474 # DEPENDENCYPART_ARC
(13,18),0.779208 # DEPENDENCYPART_ARC
(13,19),-0.695742 # DEPENDENCYPART_ARC
(13,20),0.0630028 # DEPENDENCYPART_ARC
(13,21),-1.25131 # DEPENDENCYPART_ARC
(13,22),-0.489799 # DEPENDENCYPART_ARC
(13,23),0.492232 # DEPENDENCYPART_ARC
(14,1),-1.82802 # DEPENDENCYPART_ARC
(14,2),-1.92585 # DEPENDENCYPART_ARC
(14,3),-1.62411 # DEPENDENCYPART_ARC
(14,4),-1.28193 # DEPENDENCYPART_ARC
(14,5),-1.90414 # DEPENDENCYPART_ARC
(14,6),-1.46444 # DEPENDENCYPART_ARC
(14,7),-1.64926 # DEPENDENCYPART_ARC
(14,8),-1.61714 # DEPENDENCYPART_ARC
(14,9),-1.58569 # DEPENDENCYPART_ARC
(14,10),0.599758 # DEPENDENCYPART_ARC
(14,11),0.281815 # DEPENDENCYPART_ARC
(14,12),0.179511 # DEPENDENCYPART_ARC
(14,13),0.486388 # DEPENDENCYPART_ARC
(14,15),4.75716 # DEPENDENCYPART_ARC
(14,16),1.55906 # DEPENDENCYPART_ARC
(14,17),1.1945 # DEPENDENCYPART_ARC
(14,18),0.615596 # DEPENDENCYPART_ARC
(14,19),0.351234 # DEPENDENCYPART_ARC
(14,20),0.961979 # DEPENDENCYPART_ARC
(14,21),-0.130922 # DEPENDENCYPART_ARC
(14,22),0.0108445 # DEPENDENCYPART_ARC
(14,23),0.840639 # DEPENDENCYPART_ARC
(15,1),-1.93457 # DEPENDENCYPART_ARC
(15,2),-1.32495 # DEPENDENCYPART_ARC
(15,3),-1.71842 # DEPENDENCYPART_ARC
(15,4),-0.832096 # DEPENDENCYPART_ARC
(15,5),-0.689455 # DEPENDENCYPART_ARC
(15,6),-1.3967 # DEPENDENCYPART_ARC
(15,7),-0.817969 # DEPENDENCYPART_ARC
(15,8),-1.14905 # DEPENDENCYPART_ARC
(15,9),-0.00673393 # DEPENDENCYPART_ARC
(15,10),-0.37558 # DEPENDENCYPART_ARC
(15,11),-0.260885 # DEPENDENCYPART_ARC
(15,12),0.173566 # DEPENDENCYPART_ARC
(15,13),-0.00828646 # DEPENDENCYPART_ARC
(15,14),0.366611 # DEPENDENCYPART_ARC
(15,16),4.16831 # DEPENDENCYPART_ARC
(15,17),1.96424 # DEPENDENCYPART_ARC
(15,18),1.11107 # DEPENDENCYPART_ARC
(15,19),0.00217147 # DEPENDENCYPART_ARC
(15,20),1.44558 # DEPENDENCYPART_ARC
(15,21),0.0306573 # DEPENDENCYPART_ARC
(15,22),0.609356 # DEPENDENCYPART_ARC
(15,23),0.860963 # DEPENDENCYPART_ARC
(16,1),-2.64613 # DEPENDENCYPART_ARC
(16,2),-2.74281 # DEPENDENCYPART_ARC
(16,3),-2.01201 # DEPENDENCYPART_ARC
(16,4),-2.72489 # DEPENDENCYPART_ARC
(16,5),-3.28546 # DEPENDENCYPART_ARC
(16,6),-1.87538 # DEPENDENCYPART_ARC
(16,7),-2.31548 # DEPENDENCYPART_ARC
(16,8),-2.40623 # DEPENDENCYPART_ARC
(16,9),-2.3006 # DEPENDENCYPART_ARC
(16,10),0.0727995 # DEPENDENCYPART_ARC
(16,11),-1.03767 # DEPENDENCYPART_ARC
(16,12),-1.05622 # DEPENDENCYPART_ARC
(16,13),-0.637799 # DEPENDENCYPART_ARC
(16,14),0.084071 # DEPENDENCYPART_ARC
(16,15),0.441448 # DEPENDENCYPART_ARC
(16,17),0.997107 # DEPENDENCYPART_ARC
(16,18),0.199982 # DEPENDENCYPART_ARC
(16,19),-0.28283 # DEPENDENCYPART_ARC
(16,20),0.243187 # DEPENDENCYPART_ARC
(16,21),-0.731356 # DEPENDENCYPART_ARC
(16,22),-0.646584 # DEPENDENCYPART_ARC
(16,23),0.000843177 # DEPENDENCYPART_ARC
(17,1),-1.86319 # DEPENDENCYPART_ARC
(17,2),-2.67772 # DEPENDENCYPART_ARC
(17,3),-1.59865 # DEPENDENCYPART_ARC
(17,4),-1.68512 # DEPENDENCYPART_ARC
(17,5),-1.82747 # DEPENDENCYPART_ARC
(17,6),-1.20762 # DEPENDENCYPART_ARC
(17,7),-0.964301 # DEPENDENCYPART_ARC
(17,8),-1.21165 # DEPENDENCYPART_ARC
(17,9),-0.911379 # DEPENDENCYPART_ARC
(17,10),-0.381661 # DEPENDENCYPART_ARC
(17,11),-0.528863 # DEPENDENCYPART_ARC
(17,12),-0.646995 # DEPENDENCYPART_ARC
(17,13),0.381777 # DEPENDENCYPART_ARC
(17,14),0.114972 # DEPENDENCYPART_ARC
(17,15),0.551677 # DEPENDENCYPART_ARC
(17,16),1.01362 # DEPENDENCYPART_ARC
(17,18),2.73249 # DEPENDENCYPART_ARC
(17,19),0.00605642 # DEPENDENCYPART_ARC
(17,20),3.17351 # DEPENDENCYPART_ARC
(17,21),-0.0174844 # DEPENDENCYPART_ARC
(17,22),0.243649 # DEPENDENCYPART_ARC
(17,23),1.50478 # DEPENDENCYPART_ARC
(18,1),-3.15301 # DEPENDENCYPART_ARC
(18,2),-3.29476 # DEPENDENCYPART_ARC
(18,3),-2.86709 # DEPENDENCYPART_ARC
(18,4),-3.0715 # DEPENDENCYPART_ARC
(18,5),-2.9319 # DEPENDENCYPART_ARC
(18,6),-2.55305 # DEPENDENCYPART_ARC
(18,7),-2.64591 # DEPENDENCYPART_ARC
(18,8),-2.79646 # DEPENDENCYPART_ARC
(18,9),-2.3309 # DEPENDENCYPART_ARC
(18,10),-1.99906 # DEPENDENCYPART_ARC
(18,11),-2.17882 # DEPENDENCYPART_ARC
(18,12),-2.04407 # DEPENDENCYPART_ARC
(18,13),-1.82669 # DEPENDENCYPART_ARC
(18,14),-1.48995 # DEPENDENCYPART_ARC
(18,15),-1.61318 # DEPENDENCYPART_ARC
(18,16),-1.10676 # DEPENDENCYPART_ARC
(18,17),-0.383444 # DEPENDENCYPART_ARC
(18,19),-2.38071 # DEPENDENCYPART_ARC
(18,20),-2.72521 # DEPENDENCYPART_ARC
(18,21),-2.90766 # DEPENDENCYPART_ARC
(18,22),-2.96005 # DEPENDENCYPART_ARC
(18,23),-3.186 # DEPENDENCYPART_ARC
(19,1),-2.81729 # DEPENDENCYPART_ARC
(19,2),-3.32475 # DEPENDENCYPART_ARC
(19,3),-1.7771 # DEPENDENCYPART_ARC
(19,4),-2.68558 # DEPENDENCYPART_ARC
(19,5),-2.65429 # DEPENDENCYPART_ARC
(19,6),-1.41077 # DEPENDENCYPART_ARC
(19,7),-2.24421 # DEPENDENCYPART_ARC
(19,8),-2.29585 # DEPENDENCYPART_ARC
(19,9),-1.6587 # DEPENDENCYPART_ARC
(19,10),-0.968662 # DEPENDENCYPART_ARC
(19,11),-2.20678 # DEPENDENCYPART_ARC
(19,12),-2.04316 # DEPENDENCYPART_ARC
(19,13),-1.13251 # DEPENDENCYPART_ARC
(19,14),-1.20293 # DEPENDENCYPART_ARC
(19,15),-1.31827 # DEPENDENCYPART_ARC
(19,16),-0.627507 # DEPENDENCYPART_ARC
(19,17),-0.203129 # DEPENDENCYPART_ARC
(19,18),0.117532 # DEPENDENCYPART_ARC
(19,20),1.33462 # DEPENDENCYPART_ARC
(19,21),0.139584 # DEPENDENCYPART_ARC
(19,22),-0.174791 # DEPENDENCYPART_ARC
(19,23),0.20065 # DEPENDENCYPART_ARC
(20,1),-1.82476 # DEPENDENCYPART_ARC
(20,2),-2.25566 # DEPENDENCYPART_ARC
(20,3),-0.76669 # DEPENDENCYPART_ARC
(20,4),-1.28241 # DEPENDENCYPART_ARC
(20,5),-2.07793 # DEPENDENCYPART_ARC
(20,6),-1.23936 # DEPENDENCYPART_ARC
(20,7),0.137787 # DEPENDENCYPART_ARC
(20,8),-0.217401 # DEPENDENCYPART_ARC
(20,9),-0.282986 # DEPENDENCYPART_ARC
(20,10),0.00346522 # DEPENDENCYPART_ARC
(20,11),-0.166852 # DEPENDENCYPART_ARC
(20,12),-0.366377 # DEPENDENCYPART_ARC
(20,13),0.686035 # DEPENDENCYPART_ARC
(20,14),0.107157 # DEPENDENCYPART_ARC
(20,15),0.108668 # DEPENDENCYPART_ARC
(20,16),0.567314 # DEPENDENCYPART_ARC
(20,17),1.14029 # DEPENDENCYPART_ARC
(20,18),1.72744 # DEPENDENCYPART_ARC
(20,19),4.07883 # DEPENDENCYPART_ARC
(20,21),1.81199 # DEPENDENCYPART_ARC
(20,22),3.11388 # DEPENDENCYPART_ARC
(20,23),3.46698 # DEPENDENCYPART_ARC
(21,1),-1.92843 # DEPENDENCYPART_ARC
(21,2),-2.86683 # DEPENDENCYPART_ARC
(21,3),-2.39225 # DEPENDENCYPART_ARC
(21,4),-2.43001 # DEPENDENCYPART_ARC
(21,5),-2.36455 # DEPENDENCYPART_ARC
(21,6),-2.09938 # DEPENDENCYPART_ARC
(21,7),-1.78235 # DEPENDENCYPART_ARC
(21,8),-2.09154 # DEPENDENCYPART_ARC
(21,9),-1.7029 # DEPENDENCYPART_ARC
(21,10),-0.820032 # DEPENDENCYPART_ARC
(21,11),-1.44437 # DEPENDENCYPART_ARC
(21,12),-1.59938 # DEPENDENCYPART_ARC
(21,13),-1.28011 # DEPENDENCYPART_ARC
(21,14),-0.617573 # DEPENDENCYPART_ARC
(21,15),-0.415292 # DEPENDENCYPART_ARC
(21,16),-0.204106 # DEPENDENCYPART_ARC
(21,17),-0.479861 # DEPENDENCYPART_ARC
(21,18),0.141327 # DEPENDENCYPART_ARC
(21,19),0.300606 # DEPENDENCYPART_ARC
(21,20),0.794297 # DEPENDENCYPART_ARC
(21,22),1.60689 # DEPENDENCYPART_ARC
(21,23),0.397433 # DEPENDENCYPART_ARC
(22,1),-1.90579 # DEPENDENCYPART_ARC
(22,2),-1.58884 # DEPENDENCYPART_ARC
(22,3),-1.28434 # DEPENDENCYPART_ARC
(22,4),-1.83911 # DEPENDENCYPART_ARC
(22,5),-2.39866 # DEPENDENCYPART_ARC
(22,6),-1.1602 # DEPENDENCYPART_ARC
(22,7),-1.43544 # DEPENDENCYPART_ARC
(22,8),-1.57133 # DEPENDENCYPART_ARC
(22,9),-1.49199 # DEPENDENCYPART_ARC
(22,10),0.392691 # DEPENDENCYPART_ARC
(22,11),-0.312087 # DEPENDENCYPART_ARC
(22,12),-0.231388 # DEPENDENCYPART_ARC
(22,13),-0.239473 # DEPENDENCYPART_ARC
(22,14),-0.264362 # DEPENDENCYPART_ARC
(22,15),-0.598451 # DEPENDENCYPART_ARC
(22,16),0.384056 # DEPENDENCYPART_ARC
(22,17),0.636462 # DEPENDENCYPART_ARC
(22,18),0.804002 # DEPENDENCYPART_ARC
(22,19),0.298878 # DEPENDENCYPART_ARC
(22,20),0.661351 # DEPENDENCYPART_ARC
(22,21),3.55588 # DEPENDENCYPART_ARC
(22,23),0.525206 # DEPENDENCYPART_ARC
(23,1),-3.18615 # DEPENDENCYPART_ARC
(23,2),-2.8478 # DEPENDENCYPART_ARC
(23,3),-1.30852 # DEPENDENCYPART_ARC
(23,4),-2.78501 # DEPENDENCYPART_ARC
(23,5),-2.78921 # DEPENDENCYPART_ARC
