# _root_ The ad would have run during the World Series tomorrow , replacing the debut commercial of Shearson 's new ad campaign , `` Leadership by Example . ''
#goldHeads=2,3,0,3,4,5,9,9,6,5,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
#predictedHeads=2,3,0,3,4,5,9,9,10,6,5,5,15,15,12,15,21,17,21,21,16,21,21,21,24,25,3,3,
(1,14),-2.92614 # DEPENDENCYPART_ARC
(1,15),-3.07894 # DEPENDENCYPART_ARC
(1,16),-3.27818 # DEPENDENCYPART_ARC
(1,17),-3.7256 # DEPENDENCYPART_ARC
(1,18),-3.96242 # DEPENDENCYPART_ARC
(1,19),-3.73553 # DEPENDENCYPART_ARC
(1,20),-3.59565 # DEPENDENCYPART_ARC
(1,21),-3.57908 # DEPENDENCYPART_ARC
(1,22),-3.15853 # DEPENDENCYPART_ARC
(1,23),-3.70575 # DEPENDENCYPART_ARC
(1,24),-4.02355 # DEPENDENCYPART_ARC
(1,25),-5.49481 # DEPENDENCYPART_ARC
(1,26),-4.1608 # DEPENDENCYPART_ARC
(1,27),-3.31876 # DEPENDENCYPART_ARC
(1,28),-3.47824 # DEPENDENCYPART_ARC
(2,1),4.40161 # DEPENDENCYPART_ARC
(2,3),0.313441 # DEPENDENCYPART_ARC
(2,4),0.560505 # DEPENDENCYPART_ARC
(2,5),0.719118 # DEPENDENCYPART_ARC
(2,6),0.18598 # DEPENDENCYPART_ARC
(2,7),-0.971354 # DEPENDENCYPART_ARC
(2,8),-0.760992 # DEPENDENCYPART_ARC
(2,9),-0.458825 # DEPENDENCYPART_ARC
(2,10),-0.722247 # DEPENDENCYPART_ARC
(2,11),-0.422694 # DEPENDENCYPART_ARC
(2,12),-0.682423 # DEPENDENCYPART_ARC
(2,13),-1.45697 # DEPENDENCYPART_ARC
(2,14),-1.17642 # DEPENDENCYPART_ARC
(2,15),-1.26961 # DEPENDENCYPART_ARC
(2,16),-2.40943 # DEPENDENCYPART_ARC
(2,17),-1.33655 # DEPENDENCYPART_ARC
(2,18),-2.42789 # DEPENDENCYPART_ARC
(2,19),-1.31715 # DEPENDENCYPART_ARC
(2,20),-1.74091 # DEPENDENCYPART_ARC
(2,21),-1.9732 # DEPENDENCYPART_ARC
(2,22),-0.824401 # DEPENDENCYPART_ARC
(2,23),-0.776601 # DEPENDENCYPART_ARC
(2,24),-3.34787 # DEPENDENCYPART_ARC
(2,25),-2.29313 # DEPENDENCYPART_ARC
(2,26),-3.31813 # DEPENDENCYPART_ARC
(2,27),-0.980189 # DEPENDENCYPART_ARC
(2,28),-1.75454 # DEPENDENCYPART_ARC
(3,1),0.552187 # DEPENDENCYPART_ARC
(3,2),3.27538 # DEPENDENCYPART_ARC
(3,4),4.58383 # DEPENDENCYPART_ARC
(3,5),1.65045 # DEPENDENCYPART_ARC
(3,6),1.47269 # DEPENDENCYPART_ARC
(3,7),-0.00997818 # DEPENDENCYPART_ARC
(3,8),0.624959 # DEPENDENCYPART_ARC
(3,9),0.368467 # DEPENDENCYPART_ARC
(3,10),0.229959 # DEPENDENCYPART_ARC
(3,11),1.13477 # DEPENDENCYPART_ARC
(3,12),0.193244 # DEPENDENCYPART_ARC
(3,13),-0.603818 # DEPENDENCYPART_ARC
(3,14),0.0045353 # DEPENDENCYPART_ARC
(3,15),-0.0267179 # DEPENDENCYPART_ARC
(3,16),-0.34889 # DEPENDENCYPART_ARC
(3,17),-0.285587 # DEPENDENCYPART_ARC
(3,18),-0.813982 # DEPENDENCYPART_ARC
(3,19),-1.22562 # DEPENDENCYPART_ARC
(3,20),-0.248431 # DEPENDENCYPART_ARC
(3,21),-0.37414 # DEPENDENCYPART_ARC
(3,22),0.062549 # DEPENDENCYPART_ARC
(3,23),0.921636 # DEPENDENCYPART_ARC
(3,24),-0.638192 # DEPENDENCYPART_ARC
(3,25),-1.16446 # DEPENDENCYPART_ARC
(3,26),-0.774136 # DEPENDENCYPART_ARC
(3,27),3.60299 # DEPENDENCYPART_ARC
(3,28),1.7513 # DEPENDENCYPART_ARC
(4,1),1.10667 # DEPENDENCYPART_ARC
(4,2),0.768802 # DEPENDENCYPART_ARC
(4,3),1.16706 # DEPENDENCYPART_ARC
(4,5),4.33291 # DEPENDENCYPART_ARC
(4,6),1.35753 # DEPENDENCYPART_ARC
(4,7),-1.08527 # DEPENDENCYPART_ARC
(4,8),0.123214 # DEPENDENCYPART_ARC
(4,9),0.598045 # DEPENDENCYPART_ARC
(4,10),0.238985 # DEPENDENCYPART_ARC
(4,11),1.3349 # DEPENDENCYPART_ARC
(4,12),0.577364 # DEPENDENCYPART_ARC
(4,13),-1.82585 # DEPENDENCYPART_ARC
(4,14),-2.23419 # DEPENDENCYPART_ARC
(4,15),-2.08466 # DEPENDENCYPART_ARC
(4,16),-2.35816 # DEPENDENCYPART_ARC
(4,17),-2.01693 # DEPENDENCYPART_ARC
(4,18),-2.09602 # DEPENDENCYPART_ARC
(4,19),-2.31108 # DEPENDENCYPART_ARC
(4,20),-3.64519 # DEPENDENCYPART_ARC
(4,21),-2.94836 # DEPENDENCYPART_ARC
(4,22),0.00878383 # DEPENDENCYPART_ARC
(4,23),0.00653416 # DEPENDENCYPART_ARC
(4,24),-4.32327 # DEPENDENCYPART_ARC
(4,25),-0.441933 # DEPENDENCYPART_ARC
(4,26),-5.73942 # DEPENDENCYPART_ARC
(4,27),1.35681 # DEPENDENCYPART_ARC
(4,28),0.121624 # DEPENDENCYPART_ARC
(5,1),0.447974 # DEPENDENCYPART_ARC
(5,2),0.45357 # DEPENDENCYPART_ARC
(5,3),0.161071 # DEPENDENCYPART_ARC
(5,4),0.570099 # DEPENDENCYPART_ARC
(5,6),3.66229 # DEPENDENCYPART_ARC
(5,7),0.197438 # DEPENDENCYPART_ARC
(5,8),0.54546 # DEPENDENCYPART_ARC
(5,9),0.702419 # DEPENDENCYPART_ARC
(5,10),1.19272 # DEPENDENCYPART_ARC
(5,11),1.77701 # DEPENDENCYPART_ARC
(5,12),1.02635 # DEPENDENCYPART_ARC
(5,13),-0.715954 # DEPENDENCYPART_ARC
(5,14),-0.825166 # DEPENDENCYPART_ARC
(5,15),-0.357455 # DEPENDENCYPART_ARC
(5,16),-1.12873 # DEPENDENCYPART_ARC
(5,17),-1.3655 # DEPENDENCYPART_ARC
(5,18),-1.12673 # DEPENDENCYPART_ARC
(5,19),-0.785593 # DEPENDENCYPART_ARC
(5,20),-1.63482 # DEPENDENCYPART_ARC
(5,21),-0.863738 # DEPENDENCYPART_ARC
(5,22),-0.299994 # DEPENDENCYPART_ARC
(5,23),-0.419957 # DEPENDENCYPART_ARC
(5,24),-2.33052 # DEPENDENCYPART_ARC
(5,25),-1.33802 # DEPENDENCYPART_ARC
(5,26),-3.36914 # DEPENDENCYPART_ARC
(5,27),0.759272 # DEPENDENCYPART_ARC
(5,28),0.397715 # DEPENDENCYPART_ARC
(6,1),-0.509673 # DEPENDENCYPART_ARC
(6,2),-0.556186 # DEPENDENCYPART_ARC
(6,3),-0.941428 # DEPENDENCYPART_ARC
(6,4),-0.178151 # DEPENDENCYPART_ARC
(6,5),0.310068 # DEPENDENCYPART_ARC
(6,7),0.503042 # DEPENDENCYPART_ARC
(6,8),1.54579 # DEPENDENCYPART_ARC
(6,9),1.61011 # DEPENDENCYPART_ARC
(6,10),2.81911 # DEPENDENCYPART_ARC
(6,11),0.105871 # DEPENDENCYPART_ARC
(6,12),-0.225602 # DEPENDENCYPART_ARC
(6,13),-1.85652 # DEPENDENCYPART_ARC
(6,14),-1.47732 # DEPENDENCYPART_ARC
(6,15),-0.318997 # DEPENDENCYPART_ARC
(6,16),-1.00011 # DEPENDENCYPART_ARC
(6,17),-3.92417 # DEPENDENCYPART_ARC
(6,18),-1.50115 # DEPENDENCYPART_ARC
(6,19),-2.52646 # DEPENDENCYPART_ARC
(6,20),-2.51848 # DEPENDENCYPART_ARC
(6,21),-0.473261 # DEPENDENCYPART_ARC
(6,22),-0.600647 # DEPENDENCYPART_ARC
(6,23),-1.04496 # DEPENDENCYPART_ARC
(6,24),-4.18575 # DEPENDENCYPART_ARC
(6,25),-1.48933 # DEPENDENCYPART_ARC
(6,26),-5.32705 # DEPENDENCYPART_ARC
(6,27),-1.92675 # DEPENDENCYPART_ARC
(6,28),-0.761803 # DEPENDENCYPART_ARC
(7,1),-1.76617 # DEPENDENCYPART_ARC
(7,2),-2.43664 # DEPENDENCYPART_ARC
(7,3),-2.20398 # DEPENDENCYPART_ARC
(7,4),-1.4095 # DEPENDENCYPART_ARC
(7,5),-1.45073 # DEPENDENCYPART_ARC
(7,6),-0.452216 # DEPENDENCYPART_ARC
(7,8),-0.110752 # DEPENDENCYPART_ARC
(7,9),-0.47786 # DEPENDENCYPART_ARC
(7,10),-0.216019 # DEPENDENCYPART_ARC
(7,11),-0.704594 # DEPENDENCYPART_ARC
(7,12),-0.836158 # DEPENDENCYPART_ARC
(7,13),-1.69393 # DEPENDENCYPART_ARC
(7,14),-0.876206 # DEPENDENCYPART_ARC
(7,15),-1.118 # DEPENDENCYPART_ARC
(7,16),-1.13053 # DEPENDENCYPART_ARC
(7,17),-1.89746 # DEPENDENCYPART_ARC
(7,18),-2.29355 # DEPENDENCYPART_ARC
(7,19),-1.9811 # DEPENDENCYPART_ARC
(7,20),-1.78159 # DEPENDENCYPART_ARC
(7,21),-1.74173 # DEPENDENCYPART_ARC
(7,22),-1.66886 # DEPENDENCYPART_ARC
(7,23),-2.09232 # DEPENDENCYPART_ARC
(7,24),-2.17028 # DEPENDENCYPART_ARC
(7,25),-3.42902 # DEPENDENCYPART_ARC
(7,26),-2.39924 # DEPENDENCYPART_ARC
(7,27),-2.51758 # DEPENDENCYPART_ARC
(7,28),-2.04824 # DEPENDENCYPART_ARC
(8,1),-2.78051 # DEPENDENCYPART_ARC
(8,2),-3.98671 # DEPENDENCYPART_ARC
(8,3),-3.18126 # DEPENDENCYPART_ARC
(8,4),-2.48072 # DEPENDENCYPART_ARC
(8,5),-2.54458 # DEPENDENCYPART_ARC
(8,6),-1.62732 # DEPENDENCYPART_ARC
(8,7),1.63015 # DEPENDENCYPART_ARC
(8,9),-0.316132 # DEPENDENCYPART_ARC
(8,10),-0.106752 # DEPENDENCYPART_ARC
(8,11),-1.2445 # DEPENDENCYPART_ARC
(8,12),-2.18421 # DEPENDENCYPART_ARC
(8,13),-1.80781 # DEPENDENCYPART_ARC
(8,14),-1.93671 # DEPENDENCYPART_ARC
(8,15),-1.71877 # DEPENDENCYPART_ARC
(8,16),-1.8921 # DEPENDENCYPART_ARC
(8,17),-3.90781 # DEPENDENCYPART_ARC
(8,18),-1.80958 # DEPENDENCYPART_ARC
(8,19),-2.59466 # DEPENDENCYPART_ARC
(8,20),-3.50377 # DEPENDENCYPART_ARC
(8,21),-3.50089 # DEPENDENCYPART_ARC
(8,22),-1.03436 # DEPENDENCYPART_ARC
(8,23),-2.47713 # DEPENDENCYPART_ARC
(8,24),-4.59837 # DEPENDENCYPART_ARC
(8,25),-4.21483 # DEPENDENCYPART_ARC
(8,26),-5.8421 # DEPENDENCYPART_ARC
(8,27),-1.9405 # DEPENDENCYPART_ARC
(8,28),-1.84889 # DEPENDENCYPART_ARC
(9,1),-0.223543 # DEPENDENCYPART_ARC
(9,2),-1.41735 # DEPENDENCYPART_ARC
(9,3),-1.26163 # DEPENDENCYPART_ARC
(9,4),-0.164305 # DEPENDENCYPART_ARC
(9,5),-0.168755 # DEPENDENCYPART_ARC
(9,6),0.526068 # DEPENDENCYPART_ARC
(9,7),3.5403 # DEPENDENCYPART_ARC
(9,8),3.44111 # DEPENDENCYPART_ARC
(9,10),1.46402 # DEPENDENCYPART_ARC
(9,11),-0.107961 # DEPENDENCYPART_ARC
(9,12),-0.523841 # DEPENDENCYPART_ARC
(9,13),-0.874249 # DEPENDENCYPART_ARC
(9,14),-0.911601 # DEPENDENCYPART_ARC
(9,15),-0.510131 # DEPENDENCYPART_ARC
(9,16),-0.667794 # DEPENDENCYPART_ARC
(9,17),-2.78956 # DEPENDENCYPART_ARC
(9,18),-0.580829 # DEPENDENCYPART_ARC
(9,19),-1.40057 # DEPENDENCYPART_ARC
(9,20),-2.45396 # DEPENDENCYPART_ARC
(9,21),-2.24934 # DEPENDENCYPART_ARC
(9,22),0.370418 # DEPENDENCYPART_ARC
(9,23),-1.37461 # DEPENDENCYPART_ARC
(9,24),-3.55645 # DEPENDENCYPART_ARC
(9,25),-2.77426 # DEPENDENCYPART_ARC
(9,26),-4.70316 # DEPENDENCYPART_ARC
(9,27),-0.438928 # DEPENDENCYPART_ARC
(9,28),-0.498813 # DEPENDENCYPART_ARC
(10,1),-1.9216 # DEPENDENCYPART_ARC
(10,2),-2.95787 # DEPENDENCYPART_ARC
(10,3),-1.87804 # DEPENDENCYPART_ARC
(10,4),-1.22327 # DEPENDENCYPART_ARC
(10,5),-0.742169 # DEPENDENCYPART_ARC
(10,6),-0.418273 # DEPENDENCYPART_ARC
(10,7),2.69731 # DEPENDENCYPART_ARC
(10,8),2.71872 # DEPENDENCYPART_ARC
(10,9),2.38503 # DEPENDENCYPART_ARC
(10,11),0.902352 # DEPENDENCYPART_ARC
(10,12),0.389059 # DEPENDENCYPART_ARC
(10,13),-0.410012 # DEPENDENCYPART_ARC
(10,14),0.338024 # DEPENDENCYPART_ARC
(10,15),0.327312 # DEPENDENCYPART_ARC
(10,16),0.556802 # DEPENDENCYPART_ARC
(10,17),-0.565526 # DEPENDENCYPART_ARC
(10,18),-0.850408 # DEPENDENCYPART_ARC
(10,19),-0.313637 # DEPENDENCYPART_ARC
(10,20),-0.141735 # DEPENDENCYPART_ARC
(10,21),-0.073669 # DEPENDENCYPART_ARC
(10,22),0.454189 # DEPENDENCYPART_ARC
(10,23),0.403394 # DEPENDENCYPART_ARC
(10,24),-1.53698 # DEPENDENCYPART_ARC
(10,25),-1.28928 # DEPENDENCYPART_ARC
(10,26),-1.5058 # DEPENDENCYPART_ARC
(10,27),-0.647583 # DEPENDENCYPART_ARC
(10,28),-0.785903 # DEPENDENCYPART_ARC
(11,1),-1.62566 # DEPENDENCYPART_ARC
(11,2),-1.9317 # DEPENDENCYPART_ARC
(11,3),-2.15324 # DEPENDENCYPART_ARC
(11,4),-1.73129 # DEPENDENCYPART_ARC
(11,5),-0.864189 # DEPENDENCYPART_ARC
(11,6),-1.5977 # DEPENDENCYPART_ARC
(11,7),-0.940725 # DEPENDENCYPART_ARC
(11,8),-1.35343 # DEPENDENCYPART_ARC
(11,9),-1.49188 # DEPENDENCYPART_ARC
(11,10),-0.917108 # DEPENDENCYPART_ARC
(11,12),-0.280325 # DEPENDENCYPART_ARC
(11,13),-1.255 # DEPENDENCYPART_ARC
(11,14),-1.57877 # DEPENDENCYPART_ARC
(11,15),-1.92527 # DEPENDENCYPART_ARC
(11,16),-1.54699 # DEPENDENCYPART_ARC
(11,17),-2.01378 # DEPENDENCYPART_ARC
(11,18),-2.14826 # DEPENDENCYPART_ARC
(11,19),-2.36236 # DEPENDENCYPART_ARC
(11,20),-2.70318 # DEPENDENCYPART_ARC
(11,21),-2.77418 # DEPENDENCYPART_ARC
(11,22),-1.32106 # DEPENDENCYPART_ARC
(11,23),-1.41229 # DEPENDENCYPART_ARC
(11,24),-3.10878 # DEPENDENCYPART_ARC
(11,25),-2.14226 # DEPENDENCYPART_ARC
(11,26),-3.24448 # DEPENDENCYPART_ARC
(11,27),-2.44044 # DEPENDENCYPART_ARC
(11,28),-2.20846 # DEPENDENCYPART_ARC
(12,1),-0.83533 # DEPENDENCYPART_ARC
(12,2),-0.654668 # DEPENDENCYPART_ARC
(12,3),-1.57502 # DEPENDENCYPART_ARC
(12,4),-1.17168 # DEPENDENCYPART_ARC
(12,5),-0.623369 # DEPENDENCYPART_ARC
(12,6),-0.722709 # DEPENDENCYPART_ARC
(12,7),0.350454 # DEPENDENCYPART_ARC
(12,8),0.113795 # DEPENDENCYPART_ARC
(12,9),0.218991 # DEPENDENCYPART_ARC
(12,10),-0.321551 # DEPENDENCYPART_ARC
(12,11),0.54458 # DEPENDENCYPART_ARC
(12,13),1.6717 # DEPENDENCYPART_ARC
(12,14),2.2317 # DEPENDENCYPART_ARC
(12,15),3.31363 # DEPENDENCYPART_ARC
(12,16),0.910461 # DEPENDENCYPART_ARC
(12,17),0.77306 # DEPENDENCYPART_ARC
(12,18),0.0397275 # DEPENDENCYPART_ARC
(12,19),0.593952 # DEPENDENCYPART_ARC
(12,20),0.50402 # DEPENDENCYPART_ARC
(12,21),1.68177 # DEPENDENCYPART_ARC
(12,22),1.5425 # DEPENDENCYPART_ARC
(12,23),0.515847 # DEPENDENCYPART_ARC
(12,24),0.421259 # DEPENDENCYPART_ARC
(12,25),1.73785 # DEPENDENCYPART_ARC
(12,26),-1.50027 # DEPENDENCYPART_ARC
(12,27),0.912908 # DEPENDENCYPART_ARC
(12,28),0.348336 # DEPENDENCYPART_ARC
(13,1),-2.72381 # DEPENDENCYPART_ARC
(13,2),-3.40995 # DEPENDENCYPART_ARC
(13,3),-2.98662 # DEPENDENCYPART_ARC
(13,4),-2.42749 # DEPENDENCYPART_ARC
(13,5),-2.61281 # DEPENDENCYPART_ARC
(13,6),-2.02605 # DEPENDENCYPART_ARC
(13,7),-1.62635 # DEPENDENCYPART_ARC
(13,8),-2.19995 # DEPENDENCYPART_ARC
(13,9),-1.98151 # DEPENDENCYPART_ARC
(13,10),-1.81539 # DEPENDENCYPART_ARC
(13,11),-1.2807 # DEPENDENCYPART_ARC
(13,12),-0.612765 # DEPENDENCYPART_ARC
(13,14),-0.126421 # DEPENDENCYPART_ARC
(13,15),-0.793781 # DEPENDENCYPART_ARC
(13,16),-0.72375 # DEPENDENCYPART_ARC
(13,17),-1.78412 # DEPENDENCYPART_ARC
(13,18),-2.1909 # DEPENDENCYPART_ARC
(13,19),-1.98143 # DEPENDENCYPART_ARC
(13,20),-1.96232 # DEPENDENCYPART_ARC
(13,21),-2.02001 # DEPENDENCYPART_ARC
(13,22),-1.8221 # DEPENDENCYPART_ARC
(13,23),-2.20113 # DEPENDENCYPART_ARC
(13,24),-2.50157 # DEPENDENCYPART_ARC
(13,25),-3.36659 # DEPENDENCYPART_ARC
(13,26),-2.70848 # DEPENDENCYPART_ARC
(13,27),-2.55608 # DEPENDENCYPART_ARC
(13,28),-2.15495 # DEPENDENCYPART_ARC
(14,1),-4.9143 # DEPENDENCYPART_ARC
(14,2),-5.72128 # DEPENDENCYPART_ARC
(14,3),-3.7319 # DEPENDENCYPART_ARC
(14,4),-3.05306 # DEPENDENCYPART_ARC
(14,5),-3.33919 # DEPENDENCYPART_ARC
(14,6),-2.00399 # DEPENDENCYPART_ARC
(14,7),-0.950491 # DEPENDENCYPART_ARC
(14,8),-2.14024 # DEPENDENCYPART_ARC
(14,9),-1.878 # DEPENDENCYPART_ARC
(14,10),-2.31294 # DEPENDENCYPART_ARC
(14,11),-1.17643 # DEPENDENCYPART_ARC
(14,12),-0.96181 # DEPENDENCYPART_ARC
(14,13),2.9776 # DEPENDENCYPART_ARC
(14,15),1.09881 # DEPENDENCYPART_ARC
(14,16),1.22316 # DEPENDENCYPART_ARC
(14,17),-0.32535 # DEPENDENCYPART_ARC
(14,18),0.137675 # DEPENDENCYPART_ARC
(14,19),-0.249583 # DEPENDENCYPART_ARC
(14,20),-0.599857 # DEPENDENCYPART_ARC
(14,21),-0.767154 # DEPENDENCYPART_ARC
(14,22),-0.0644373 # DEPENDENCYPART_ARC
(14,23),-0.173357 # DEPENDENCYPART_ARC
(14,24),-1.62262 # DEPENDENCYPART_ARC
(14,25),-0.951249 # DEPENDENCYPART_ARC
(14,26),-1.88057 # DEPENDENCYPART_ARC
(14,27),-0.818748 # DEPENDENCYPART_ARC
(14,28),-1.23603 # DEPENDENCYPART_ARC
(15,1),-2.73212 # DEPENDENCYPART_ARC
(15,2),-3.38302 # DEPENDENCYPART_ARC
(15,3),-1.87708 # DEPENDENCYPART_ARC
(15,4),-1.70956 # DEPENDENCYPART_ARC
(15,5),-1.22294 # DEPENDENCYPART_ARC
(15,6),-0.726052 # DEPENDENCYPART_ARC
(15,7),1.14753 # DEPENDENCYPART_ARC
(15,8),-0.0994761 # DEPENDENCYPART_ARC
(15,9),-0.346534 # DEPENDENCYPART_ARC
(15,10),-0.741074 # DEPENDENCYPART_ARC
(15,11),-0.150878 # DEPENDENCYPART_ARC
(15,12),0.101859 # DEPENDENCYPART_ARC
(15,13),4.55731 # DEPENDENCYPART_ARC
(15,14),4.21612 # DEPENDENCYPART_ARC
(15,16),3.95433 # DEPENDENCYPART_ARC
(15,17),1.07832 # DEPENDENCYPART_ARC
(15,18),1.90991 # DEPENDENCYPART_ARC
(15,19),1.37162 # DEPENDENCYPART_ARC
(15,20),1.17274 # DEPENDENCYPART_ARC
(15,21),1.13905 # DEPENDENCYPART_ARC
(15,22),2.2152 # DEPENDENCYPART_ARC
(15,23),1.45249 # DEPENDENCYPART_ARC
(15,24),0.239596 # DEPENDENCYPART_ARC
(15,25),1.10295 # DEPENDENCYPART_ARC
(15,26),-0.470386 # DEPENDENCYPART_ARC
(15,27),1.39417 # DEPENDENCYPART_ARC
(15,28),0.763731 # DEPENDENCYPART_ARC
(16,1),-2.776 # DEPENDENCYPART_ARC
(16,2),-2.58578 # DEPENDENCYPART_ARC
(16,3),-2.7073 # DEPENDENCYPART_ARC
(16,4),-2.02381 # DEPENDENCYPART_ARC
(16,5),-1.64408 # DEPENDENCYPART_ARC
(16,6),-1.57386 # DEPENDENCYPART_ARC
(16,7),-1.55793 # DEPENDENCYPART_ARC
(16,8),-1.20467 # DEPENDENCYPART_ARC
(16,9),-1.34049 # DEPENDENCYPART_ARC
(16,10),-1.77766 # DEPENDENCYPART_ARC
(16,11),-1.28795 # DEPENDENCYPART_ARC
(16,12),-1.318 # DEPENDENCYPART_ARC
(16,13),-0.349936 # DEPENDENCYPART_ARC
(16,14),-0.164505 # DEPENDENCYPART_ARC
(16,15),0.0994542 # DEPENDENCYPART_ARC
(16,17),2.40146 # DEPENDENCYPART_ARC
(16,18),1.07066 # DEPENDENCYPART_ARC
(16,19),-0.0316336 # DEPENDENCYPART_ARC
(16,20),1.96279 # DEPENDENCYPART_ARC
(16,21),3.92396 # DEPENDENCYPART_ARC
(16,22),0.609447 # DEPENDENCYPART_ARC
(16,23),-0.340729 # DEPENDENCYPART_ARC
(16,24),-0.0359811 # DEPENDENCYPART_ARC
(16,25),-0.513135 # DEPENDENCYPART_ARC
(16,26),-1.00836 # DEPENDENCYPART_ARC
(16,27),-1.13057 # DEPENDENCYPART_ARC
(16,28),-0.473166 # DEPENDENCYPART_ARC
(17,1),-3.50165 # DEPENDENCYPART_ARC
(17,2),-4.58734 # DEPENDENCYPART_ARC
(17,3),-3.67614 # DEPENDENCYPART_ARC
(17,4),-3.09894 # DEPENDENCYPART_ARC
(17,5),-3.08545 # DEPENDENCYPART_ARC
(17,6),-2.7646 # DEPENDENCYPART_ARC
(17,7),-0.568508 # DEPENDENCYPART_ARC
(17,8),-0.252339 # DEPENDENCYPART_ARC
(17,9),-1.67009 # DEPENDENCYPART_ARC
(17,10),-2.84434 # DEPENDENCYPART_ARC
(17,11),-2.57657 # DEPENDENCYPART_ARC
(17,12),-1.21292 # DEPENDENCYPART_ARC
(17,13),0.8403 # DEPENDENCYPART_ARC
(17,14),0.189584 # DEPENDENCYPART_ARC
(17,15),-1.00309 # DEPENDENCYPART_ARC
(17,16),0.575765 # DEPENDENCYPART_ARC
(17,18),4.20861 # DEPENDENCYPART_ARC
(17,19),1.29899 # DEPENDENCYPART_ARC
(17,20),0.336426 # DEPENDENCYPART_ARC
(17,21),0.375742 # DEPENDENCYPART_ARC
(17,22),0.217299 # DEPENDENCYPART_ARC
(17,23),-0.0346324 # DEPENDENCYPART_ARC
(17,24),-1.29378 # DEPENDENCYPART_ARC
(17,25),-0.805804 # DEPENDENCYPART_ARC
(17,26),-2.14304 # DEPENDENCYPART_ARC
(17,27),-0.041462 # DEPENDENCYPART_ARC
(17,28),-0.0170417 # DEPENDENCYPART_ARC
(18,1),-1.47848 # DEPENDENCYPART_ARC
(18,2),-3.02589 # DEPENDENCYPART_ARC
(18,3),-2.0411 # DEPENDENCYPART_ARC
(18,4),-1.11302 # DEPENDENCYPART_ARC
(18,5),-1.16457 # DEPENDENCYPART_ARC
(18,6),-2.08256 # DEPENDENCYPART_ARC
(18,7),-0.748228 # DEPENDENCYPART_ARC
(18,8),-0.628397 # DEPENDENCYPART_ARC
(18,9),-0.507 # DEPENDENCYPART_ARC
(18,10),-1.64127 # DEPENDENCYPART_ARC
(18,11),-0.768798 # DEPENDENCYPART_ARC
(18,12),-0.389503 # DEPENDENCYPART_ARC
(18,13),0.524055 # DEPENDENCYPART_ARC
(18,14),-0.693211 # DEPENDENCYPART_ARC
(18,15),-0.270223 # DEPENDENCYPART_ARC
(18,16),0.314507 # DEPENDENCYPART_ARC
(18,17),1.59315 # DEPENDENCYPART_ARC
(18,19),0.00442726 # DEPENDENCYPART_ARC
(18,20),-0.847124 # DEPENDENCYPART_ARC
(18,21),-1.32277 # DEPENDENCYPART_ARC
(18,22),-0.684635 # DEPENDENCYPART_ARC
(18,23),-1.60849 # DEPENDENCYPART_ARC
