# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=15,1,4,2,2,1,9,9,0,9,6,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(3,24),-4.61752 # DEPENDENCYPART_ARC
(3,25),-2.00917 # DEPENDENCYPART_ARC
(4,1),-0.384634 # DEPENDENCYPART_ARC
(4,2),0.827369 # DEPENDENCYPART_ARC
(4,3),4.66944 # DEPENDENCYPART_ARC
(4,5),1.25581 # DEPENDENCYPART_ARC
(4,6),0.972343 # DEPENDENCYPART_ARC
(4,7),0.400635 # DEPENDENCYPART_ARC
(4,8),0.994506 # DEPENDENCYPART_ARC
(4,9),1.10845 # DEPENDENCYPART_ARC
(4,10),-0.467298 # DEPENDENCYPART_ARC
(4,11),-0.269714 # DEPENDENCYPART_ARC
(4,12),1.70628 # DEPENDENCYPART_ARC
(4,13),-0.135958 # DEPENDENCYPART_ARC
(4,14),0.237118 # DEPENDENCYPART_ARC
(4,15),-0.504883 # DEPENDENCYPART_ARC
(4,16),-0.538268 # DEPENDENCYPART_ARC
(4,17),-0.930412 # DEPENDENCYPART_ARC
(4,18),-0.532061 # DEPENDENCYPART_ARC
(4,19),-0.9335 # DEPENDENCYPART_ARC
(4,20),-1.09604 # DEPENDENCYPART_ARC
(4,21),-1.12739 # DEPENDENCYPART_ARC
(4,22),-1.32554 # DEPENDENCYPART_ARC
(4,23),-2.88398 # DEPENDENCYPART_ARC
(4,24),-1.11126 # DEPENDENCYPART_ARC
(4,25),1.25388 # DEPENDENCYPART_ARC
(5,1),-1.07121 # DEPENDENCYPART_ARC
(5,2),-0.544711 # DEPENDENCYPART_ARC
(5,3),-0.247854 # DEPENDENCYPART_ARC
(5,4),-0.839514 # DEPENDENCYPART_ARC
(5,6),0.621895 # DEPENDENCYPART_ARC
(5,7),0.130137 # DEPENDENCYPART_ARC
(5,8),-0.321661 # DEPENDENCYPART_ARC
(5,9),-0.228478 # DEPENDENCYPART_ARC
(5,10),-0.0905919 # DEPENDENCYPART_ARC
(5,11),-0.685317 # DEPENDENCYPART_ARC
(5,12),1.21401 # DEPENDENCYPART_ARC
(5,13),-1.30241 # DEPENDENCYPART_ARC
(5,14),-1.3818 # DEPENDENCYPART_ARC
(5,15),-0.907397 # DEPENDENCYPART_ARC
(5,16),-0.507365 # DEPENDENCYPART_ARC
(5,17),-1.06859 # DEPENDENCYPART_ARC
(5,18),-1.34354 # DEPENDENCYPART_ARC
(5,19),-1.44192 # DEPENDENCYPART_ARC
(5,20),-1.63561 # DEPENDENCYPART_ARC
(5,21),-2.13219 # DEPENDENCYPART_ARC
(5,22),-1.56653 # DEPENDENCYPART_ARC
(5,23),-1.98848 # DEPENDENCYPART_ARC
(5,24),-2.42125 # DEPENDENCYPART_ARC
(5,25),-1.19219 # DEPENDENCYPART_ARC
(6,1),-0.505983 # DEPENDENCYPART_ARC
(6,2),-0.14135 # DEPENDENCYPART_ARC
(6,3),0.434199 # DEPENDENCYPART_ARC
(6,4),0.400829 # DEPENDENCYPART_ARC
(6,5),0.844187 # DEPENDENCYPART_ARC
(6,7),2.39465 # DEPENDENCYPART_ARC
(6,8),2.25629 # DEPENDENCYPART_ARC
(6,9),2.69975 # DEPENDENCYPART_ARC
(6,10),1.31503 # DEPENDENCYPART_ARC
(6,11),0.992622 # DEPENDENCYPART_ARC
(6,12),0.710036 # DEPENDENCYPART_ARC
(6,13),-0.686389 # DEPENDENCYPART_ARC
(6,14),-2.23391 # DEPENDENCYPART_ARC
(6,15),1.52514 # DEPENDENCYPART_ARC
(6,16),0.874612 # DEPENDENCYPART_ARC
(6,17),0.46502 # DEPENDENCYPART_ARC
(6,18),-0.117842 # DEPENDENCYPART_ARC
(6,19),-2.76389 # DEPENDENCYPART_ARC
(6,20),-1.95927 # DEPENDENCYPART_ARC
(6,21),-1.51485 # DEPENDENCYPART_ARC
(6,22),-4.20507 # DEPENDENCYPART_ARC
(6,23),-1.74057 # DEPENDENCYPART_ARC
(6,24),-4.39086 # DEPENDENCYPART_ARC
(6,25),0.621458 # DEPENDENCYPART_ARC
(7,1),-3.02533 # DEPENDENCYPART_ARC
(7,2),-2.97181 # DEPENDENCYPART_ARC
(7,3),-2.34361 # DEPENDENCYPART_ARC
(7,4),-2.83384 # DEPENDENCYPART_ARC
(7,5),-2.3221 # DEPENDENCYPART_ARC
(7,6),-1.78914 # DEPENDENCYPART_ARC
(7,8),-0.823753 # DEPENDENCYPART_ARC
(7,9),-0.860249 # DEPENDENCYPART_ARC
(7,10),0.101574 # DEPENDENCYPART_ARC
(7,11),-2.15129 # DEPENDENCYPART_ARC
(7,12),-1.56176 # DEPENDENCYPART_ARC
(7,13),-2.38836 # DEPENDENCYPART_ARC
(7,14),-2.71559 # DEPENDENCYPART_ARC
(7,15),-2.35253 # DEPENDENCYPART_ARC
(7,16),-2.52216 # DEPENDENCYPART_ARC
(7,17),-2.55048 # DEPENDENCYPART_ARC
(7,18),-2.48186 # DEPENDENCYPART_ARC
(7,19),-3.33582 # DEPENDENCYPART_ARC
(7,20),-2.57207 # DEPENDENCYPART_ARC
(7,21),-3.3026 # DEPENDENCYPART_ARC
(7,22),-3.68542 # DEPENDENCYPART_ARC
(7,23),-2.77768 # DEPENDENCYPART_ARC
(7,24),-3.57885 # DEPENDENCYPART_ARC
(7,25),-2.9161 # DEPENDENCYPART_ARC
(8,1),-1.98387 # DEPENDENCYPART_ARC
(8,2),-0.572549 # DEPENDENCYPART_ARC
(8,3),1.23465 # DEPENDENCYPART_ARC
(8,4),-0.972129 # DEPENDENCYPART_ARC
(8,5),0.0735147 # DEPENDENCYPART_ARC
(8,6),0.277227 # DEPENDENCYPART_ARC
(8,7),0.970167 # DEPENDENCYPART_ARC
(8,9),1.31886 # DEPENDENCYPART_ARC
(8,10),0.803072 # DEPENDENCYPART_ARC
(8,11),0.684708 # DEPENDENCYPART_ARC
(8,12),0.792913 # DEPENDENCYPART_ARC
(8,13),-0.0880772 # DEPENDENCYPART_ARC
(8,14),0.481612 # DEPENDENCYPART_ARC
(8,15),-1.36966 # DEPENDENCYPART_ARC
(8,16),-0.203028 # DEPENDENCYPART_ARC
(8,17),0.0382642 # DEPENDENCYPART_ARC
(8,18),-0.297223 # DEPENDENCYPART_ARC
(8,19),-0.430258 # DEPENDENCYPART_ARC
(8,20),-0.246381 # DEPENDENCYPART_ARC
(8,21),-0.898912 # DEPENDENCYPART_ARC
(8,22),-0.8932 # DEPENDENCYPART_ARC
(8,23),-2.21647 # DEPENDENCYPART_ARC
(8,24),-0.871636 # DEPENDENCYPART_ARC
(8,25),0.455753 # DEPENDENCYPART_ARC
(9,1),0.272347 # DEPENDENCYPART_ARC
(9,2),-0.76821 # DEPENDENCYPART_ARC
(9,3),0.35555 # DEPENDENCYPART_ARC
(9,4),0.999943 # DEPENDENCYPART_ARC
(9,5),1.37351 # DEPENDENCYPART_ARC
(9,6),0.441657 # DEPENDENCYPART_ARC
(9,7),4.02045 # DEPENDENCYPART_ARC
(9,8),3.78935 # DEPENDENCYPART_ARC
(9,10),2.81216 # DEPENDENCYPART_ARC
(9,11),0.329874 # DEPENDENCYPART_ARC
(9,12),1.13177 # DEPENDENCYPART_ARC
(9,13),-0.67723 # DEPENDENCYPART_ARC
(9,14),-0.802134 # DEPENDENCYPART_ARC
(9,15),2.49383 # DEPENDENCYPART_ARC
(9,16),0.424048 # DEPENDENCYPART_ARC
(9,17),-0.587404 # DEPENDENCYPART_ARC
(9,18),-0.388104 # DEPENDENCYPART_ARC
(9,19),-2.33425 # DEPENDENCYPART_ARC
(9,20),-1.62405 # DEPENDENCYPART_ARC
(9,21),-1.85411 # DEPENDENCYPART_ARC
(9,22),-3.25282 # DEPENDENCYPART_ARC
(9,23),-3.37417 # DEPENDENCYPART_ARC
(9,24),-2.37455 # DEPENDENCYPART_ARC
(9,25),4.13141 # DEPENDENCYPART_ARC
(10,1),-2.77977 # DEPENDENCYPART_ARC
(10,2),-2.48163 # DEPENDENCYPART_ARC
(10,3),-2.09576 # DEPENDENCYPART_ARC
(10,4),-2.74172 # DEPENDENCYPART_ARC
(10,5),-2.11075 # DEPENDENCYPART_ARC
(10,6),-2.52025 # DEPENDENCYPART_ARC
(10,7),-0.599528 # DEPENDENCYPART_ARC
(10,8),-2.34545 # DEPENDENCYPART_ARC
(10,9),-1.57197 # DEPENDENCYPART_ARC
(10,11),-0.805834 # DEPENDENCYPART_ARC
(10,12),-1.15594 # DEPENDENCYPART_ARC
(10,13),-1.87546 # DEPENDENCYPART_ARC
(10,14),-2.00309 # DEPENDENCYPART_ARC
(10,15),-1.86283 # DEPENDENCYPART_ARC
(10,16),-2.11075 # DEPENDENCYPART_ARC
(10,17),-2.15586 # DEPENDENCYPART_ARC
(10,18),-2.18718 # DEPENDENCYPART_ARC
(10,19),-2.98997 # DEPENDENCYPART_ARC
(10,20),-2.22902 # DEPENDENCYPART_ARC
(10,21),-2.88961 # DEPENDENCYPART_ARC
(10,22),-3.37314 # DEPENDENCYPART_ARC
(10,23),-2.48587 # DEPENDENCYPART_ARC
(10,24),-3.20045 # DEPENDENCYPART_ARC
(10,25),-2.48811 # DEPENDENCYPART_ARC
(11,1),-1.67857 # DEPENDENCYPART_ARC
(11,2),-0.613215 # DEPENDENCYPART_ARC
(11,3),1.10953 # DEPENDENCYPART_ARC
(11,4),-0.293888 # DEPENDENCYPART_ARC
(11,5),0.689489 # DEPENDENCYPART_ARC
(11,6),0.324707 # DEPENDENCYPART_ARC
(11,7),1.20228 # DEPENDENCYPART_ARC
(11,8),1.01244 # DEPENDENCYPART_ARC
(11,9),0.665056 # DEPENDENCYPART_ARC
(11,10),1.62472 # DEPENDENCYPART_ARC
(11,12),1.71358 # DEPENDENCYPART_ARC
(11,13),0.495019 # DEPENDENCYPART_ARC
(11,14),0.925563 # DEPENDENCYPART_ARC
(11,15),1.6472 # DEPENDENCYPART_ARC
(11,16),0.496684 # DEPENDENCYPART_ARC
(11,17),1.31678 # DEPENDENCYPART_ARC
(11,18),0.549295 # DEPENDENCYPART_ARC
(11,19),0.963839 # DEPENDENCYPART_ARC
(11,20),0.398154 # DEPENDENCYPART_ARC
(11,21),-0.200793 # DEPENDENCYPART_ARC
(11,22),0.308569 # DEPENDENCYPART_ARC
(11,23),-1.45935 # DEPENDENCYPART_ARC
(11,24),-0.505946 # DEPENDENCYPART_ARC
(11,25),2.69189 # DEPENDENCYPART_ARC
(12,1),-2.16863 # DEPENDENCYPART_ARC
(12,2),-1.67635 # DEPENDENCYPART_ARC
(12,3),-1.54307 # DEPENDENCYPART_ARC
(12,4),-2.44341 # DEPENDENCYPART_ARC
(12,5),-1.15627 # DEPENDENCYPART_ARC
(12,6),-1.60575 # DEPENDENCYPART_ARC
(12,7),-0.975453 # DEPENDENCYPART_ARC
(12,8),-1.80866 # DEPENDENCYPART_ARC
(12,9),-1.22502 # DEPENDENCYPART_ARC
(12,10),-0.449952 # DEPENDENCYPART_ARC
(12,11),-0.999461 # DEPENDENCYPART_ARC
(12,13),-0.223023 # DEPENDENCYPART_ARC
(12,14),-0.463333 # DEPENDENCYPART_ARC
(12,15),-0.378525 # DEPENDENCYPART_ARC
(12,16),-0.236197 # DEPENDENCYPART_ARC
(12,17),-0.744775 # DEPENDENCYPART_ARC
(12,18),-1.08149 # DEPENDENCYPART_ARC
(12,19),-1.24517 # DEPENDENCYPART_ARC
(12,20),-1.3737 # DEPENDENCYPART_ARC
(12,21),-1.79767 # DEPENDENCYPART_ARC
(12,22),-1.42123 # DEPENDENCYPART_ARC
(12,23),-1.67287 # DEPENDENCYPART_ARC
(12,24),-2.11975 # DEPENDENCYPART_ARC
(12,25),-0.869803 # DEPENDENCYPART_ARC
(13,1),-3.06473 # DEPENDENCYPART_ARC
(13,2),-2.80231 # DEPENDENCYPART_ARC
(13,3),-2.05755 # DEPENDENCYPART_ARC
(13,4),-2.84001 # DEPENDENCYPART_ARC
(13,5),-2.05532 # DEPENDENCYPART_ARC
(13,6),-2.87902 # DEPENDENCYPART_ARC
(13,7),-2.22415 # DEPENDENCYPART_ARC
(13,8),-2.29149 # DEPENDENCYPART_ARC
(13,9),-2.21089 # DEPENDENCYPART_ARC
(13,10),-1.39734 # DEPENDENCYPART_ARC
(13,11),-1.7771 # DEPENDENCYPART_ARC
(13,12),-0.268254 # DEPENDENCYPART_ARC
(13,14),-0.534261 # DEPENDENCYPART_ARC
(13,15),-0.378476 # DEPENDENCYPART_ARC
(13,16),-1.27042 # DEPENDENCYPART_ARC
(13,17),-1.6984 # DEPENDENCYPART_ARC
(13,18),-1.89379 # DEPENDENCYPART_ARC
(13,19),-2.00244 # DEPENDENCYPART_ARC
(13,20),-2.36401 # DEPENDENCYPART_ARC
(13,21),-2.84568 # DEPENDENCYPART_ARC
(13,22),-2.32209 # DEPENDENCYPART_ARC
(13,23),-2.25186 # DEPENDENCYPART_ARC
(13,24),-3.20544 # DEPENDENCYPART_ARC
(13,25),-1.64428 # DEPENDENCYPART_ARC
(14,1),-3.82572 # DEPENDENCYPART_ARC
(14,2),-1.27839 # DEPENDENCYPART_ARC
(14,3),-1.04459 # DEPENDENCYPART_ARC
(14,4),-2.31153 # DEPENDENCYPART_ARC
(14,5),-0.980162 # DEPENDENCYPART_ARC
(14,6),-0.995856 # DEPENDENCYPART_ARC
(14,7),-0.386184 # DEPENDENCYPART_ARC
(14,8),-1.25297 # DEPENDENCYPART_ARC
(14,9),-1.24139 # DEPENDENCYPART_ARC
(14,10),0.273079 # DEPENDENCYPART_ARC
(14,11),-0.300035 # DEPENDENCYPART_ARC
(14,12),0.740045 # DEPENDENCYPART_ARC
(14,13),4.24491 # DEPENDENCYPART_ARC
(14,15),1.01492 # DEPENDENCYPART_ARC
(14,16),0.898057 # DEPENDENCYPART_ARC
(14,17),0.827542 # DEPENDENCYPART_ARC
(14,18),0.15092 # DEPENDENCYPART_ARC
(14,19),-0.291959 # DEPENDENCYPART_ARC
(14,20),0.337026 # DEPENDENCYPART_ARC
(14,21),-0.667069 # DEPENDENCYPART_ARC
(14,22),-0.78947 # DEPENDENCYPART_ARC
(14,23),-0.571523 # DEPENDENCYPART_ARC
(14,24),-1.05045 # DEPENDENCYPART_ARC
(14,25),0.263708 # DEPENDENCYPART_ARC
(15,1),0.454994 # DEPENDENCYPART_ARC
(15,2),-0.187017 # DEPENDENCYPART_ARC
(15,3),-0.789445 # DEPENDENCYPART_ARC
(15,4),0.055655 # DEPENDENCYPART_ARC
(15,5),0.776801 # DEPENDENCYPART_ARC
(15,6),0.267726 # DEPENDENCYPART_ARC
(15,7),2.59976 # DEPENDENCYPART_ARC
(15,8),1.84056 # DEPENDENCYPART_ARC
(15,9),0.288239 # DEPENDENCYPART_ARC
(15,10),2.49259 # DEPENDENCYPART_ARC
(15,11),0.487201 # DEPENDENCYPART_ARC
(15,12),1.59504 # DEPENDENCYPART_ARC
(15,13),1.12066 # DEPENDENCYPART_ARC
(15,14),3.45597 # DEPENDENCYPART_ARC
(15,16),4.8616 # DEPENDENCYPART_ARC
(15,17),1.63206 # DEPENDENCYPART_ARC
(15,18),0.754017 # DEPENDENCYPART_ARC
(15,19),0.507876 # DEPENDENCYPART_ARC
(15,20),0.0839215 # DEPENDENCYPART_ARC
(15,21),-0.968833 # DEPENDENCYPART_ARC
(15,22),-0.574091 # DEPENDENCYPART_ARC
(15,23),-1.01411 # DEPENDENCYPART_ARC
(15,24),-0.845762 # DEPENDENCYPART_ARC
(15,25),4.07979 # DEPENDENCYPART_ARC
(16,1),-0.548874 # DEPENDENCYPART_ARC
(16,2),-1.26155 # DEPENDENCYPART_ARC
(16,3),-0.839307 # DEPENDENCYPART_ARC
(16,4),-0.801509 # DEPENDENCYPART_ARC
(16,5),-0.133772 # DEPENDENCYPART_ARC
(16,6),-1.14728 # DEPENDENCYPART_ARC
(16,7),-0.0888715 # DEPENDENCYPART_ARC
(16,8),-0.365577 # DEPENDENCYPART_ARC
(16,9),-0.32099 # DEPENDENCYPART_ARC
(16,10),0.42766 # DEPENDENCYPART_ARC
(16,11),0.12289 # DEPENDENCYPART_ARC
(16,12),0.456905 # DEPENDENCYPART_ARC
(16,13),0.840521 # DEPENDENCYPART_ARC
(16,14),0.595771 # DEPENDENCYPART_ARC
(16,15),0.939368 # DEPENDENCYPART_ARC
(16,17),3.60186 # DEPENDENCYPART_ARC
(16,18),1.59886 # DEPENDENCYPART_ARC
(16,19),1.2336 # DEPENDENCYPART_ARC
(16,20),2.024 # DEPENDENCYPART_ARC
(16,21),-0.291903 # DEPENDENCYPART_ARC
(16,22),-0.0261521 # DEPENDENCYPART_ARC
(16,23),0.224772 # DEPENDENCYPART_ARC
(16,24),-0.355645 # DEPENDENCYPART_ARC
(16,25),1.13246 # DEPENDENCYPART_ARC
(17,1),-2.01481 # DEPENDENCYPART_ARC
(17,2),-1.931 # DEPENDENCYPART_ARC
(17,3),-1.36023 # DEPENDENCYPART_ARC
(17,4),-1.36979 # DEPENDENCYPART_ARC
(17,5),-0.876725 # DEPENDENCYPART_ARC
(17,6),-1.53955 # DEPENDENCYPART_ARC
(17,7),-0.553395 # DEPENDENCYPART_ARC
(17,8),-1.07991 # DEPENDENCYPART_ARC
(17,9),-0.785414 # DEPENDENCYPART_ARC
(17,10),-0.700135 # DEPENDENCYPART_ARC
(17,11),-0.470553 # DEPENDENCYPART_ARC
(17,12),0.0658153 # DEPENDENCYPART_ARC
(17,13),0.217814 # DEPENDENCYPART_ARC
(17,14),0.368988 # DEPENDENCYPART_ARC
(17,15),-0.036303 # DEPENDENCYPART_ARC
(17,16),0.309978 # DEPENDENCYPART_ARC
(17,18),2.98407 # DEPENDENCYPART_ARC
(17,19),1.07642 # DEPENDENCYPART_ARC
(17,20),0.904373 # DEPENDENCYPART_ARC
(17,21),-1.25827 # DEPENDENCYPART_ARC
(17,22),-1.38249 # DEPENDENCYPART_ARC
(17,23),-0.314385 # DEPENDENCYPART_ARC
(17,24),-2.33383 # DEPENDENCYPART_ARC
(17,25),0.52697 # DEPENDENCYPART_ARC
(18,1),-1.82382 # DEPENDENCYPART_ARC
(18,2),-1.73945 # DEPENDENCYPART_ARC
(18,3),-1.3909 # DEPENDENCYPART_ARC
(18,4),-1.26032 # DEPENDENCYPART_ARC
(18,5),-1.06846 # DEPENDENCYPART_ARC
(18,6),-1.34885 # DEPENDENCYPART_ARC
(18,7),0.179612 # DEPENDENCYPART_ARC
(18,8),-0.354521 # DEPENDENCYPART_ARC
(18,9),-0.684317 # DEPENDENCYPART_ARC
(18,10),-0.190632 # DEPENDENCYPART_ARC
(18,11),-0.440454 # DEPENDENCYPART_ARC
(18,12),-0.341986 # DEPENDENCYPART_ARC
(18,13),-0.00885864 # DEPENDENCYPART_ARC
(18,14),0.474901 # DEPENDENCYPART_ARC
(18,15),0.297391 # DEPENDENCYPART_ARC
(18,16),0.309532 # DEPENDENCYPART_ARC
(18,17),1.71831 # DEPENDENCYPART_ARC
(18,19),3.40522 # DEPENDENCYPART_ARC
(18,20),2.21748 # DEPENDENCYPART_ARC
(18,21),-0.719376 # DEPENDENCYPART_ARC
(18,22),0.85567 # DEPENDENCYPART_ARC
(18,23),-0.576288 # DEPENDENCYPART_ARC
(18,24),-0.42303 # DEPENDENCYPART_ARC
(18,25),0.275835 # DEPENDENCYPART_ARC
(19,1),-4.74261 # DEPENDENCYPART_ARC
(19,2),-1.86065 # DEPENDENCYPART_ARC
(19,3),-3.63409 # DEPENDENCYPART_ARC
(19,4),-2.26701 # DEPENDENCYPART_ARC
(19,5),-1.4085 # DEPENDENCYPART_ARC
(19,6),-1.41059 # DEPENDENCYPART_ARC
(19,7),-1.44689 # DEPENDENCYPART_ARC
(19,8),-1.80994 # DEPENDENCYPART_ARC
(19,9),-1.82582 # DEPENDENCYPART_ARC
(19,10),-1.74751 # DEPENDENCYPART_ARC
(19,11),-3.13536 # DEPENDENCYPART_ARC
(19,12),-0.69202 # DEPENDENCYPART_ARC
(19,13),0.0185052 # DEPENDENCYPART_ARC
(19,14),0.0446947 # DEPENDENCYPART_ARC
(19,15),-0.856076 # DEPENDENCYPART_ARC
(19,16),0.448037 # DEPENDENCYPART_ARC
(19,17),0.00763011 # DEPENDENCYPART_ARC
(19,18),1.46203 # DEPENDENCYPART_ARC
(19,20),2.73802 # DEPENDENCYPART_ARC
(19,21),0.531394 # DEPENDENCYPART_ARC
(19,22),1.18407 # DEPENDENCYPART_ARC
(19,23),1.52193 # DEPENDENCYPART_ARC
(19,24),0.193849 # DEPENDENCYPART_ARC
(19,25),1.13299 # DEPENDENCYPART_ARC
(20,1),-2.05544 # DEPENDENCYPART_ARC
(20,2),-2.462 # DEPENDENCYPART_ARC
(20,3),-1.98055 # DEPENDENCYPART_ARC
(20,4),-2.01681 # DEPENDENCYPART_ARC
(20,5),-0.887388 # DEPENDENCYPART_ARC
(20,6),-2.16484 # DEPENDENCYPART_ARC
(20,7),-1.61339 # DEPENDENCYPART_ARC
(20,8),-1.4712 # DEPENDENCYPART_ARC
(20,9),-1.68135 # DEPENDENCYPART_ARC
(20,10),-1.30584 # DEPENDENCYPART_ARC
(20,11),-1.38915 # DEPENDENCYPART_ARC
(20,12),-0.391692 # DEPENDENCYPART_ARC
(20,13),-0.272206 # DEPENDENCYPART_ARC
(20,14),-0.671936 # DEPENDENCYPART_ARC
(20,15),-1.11658 # DEPENDENCYPART_ARC
(20,16),-0.498995 # DEPENDENCYPART_ARC
(20,17),-0.222355 # DEPENDENCYPART_ARC
(20,18),-0.0224791 # DEPENDENCYPART_ARC
(20,19),0.469341 # DEPENDENCYPART_ARC
(20,21),0.232593 # DEPENDENCYPART_ARC
(20,22),3.12219 # DEPENDENCYPART_ARC
(20,23),0.565799 # DEPENDENCYPART_ARC
(20,24),0.3829 # DEPENDENCYPART_ARC
(20,25),-0.224668 # DEPENDENCYPART_ARC
(21,1),-3.8009 # DEPENDENCYPART_ARC
(21,2),-3.35352 # DEPENDENCYPART_ARC
(21,3),-3.12666 # DEPENDENCYPART_ARC
(21,4),-3.62789 # DEPENDENCYPART_ARC
(21,5),-2.57818 # DEPENDENCYPART_ARC
(21,6),-3.56416 # DEPENDENCYPART_ARC
(21,7),-2.99755 # DEPENDENCYPART_ARC
