# _root_ James Alexander , a Burmah spokesman , said SHV had previously owned `` a little under 5 % '' of Burmah for about two years .
#goldHeads=2,8,2,6,6,2,2,0,10,8,10,10,15,15,18,15,15,12,18,18,20,12,25,23,22,8,
#predictedHeads=2,8,2,6,6,2,2,0,10,8,10,10,18,15,18,12,18,16,18,18,20,10,25,23,22,8,
(5,4),1.62942 # DEPENDENCYPART_ARC
(5,6),0.901006 # DEPENDENCYPART_ARC
(5,7),0.124133 # DEPENDENCYPART_ARC
(5,8),-0.247709 # DEPENDENCYPART_ARC
(5,9),-1.07938 # DEPENDENCYPART_ARC
(5,10),-0.981828 # DEPENDENCYPART_ARC
(5,11),-1.37983 # DEPENDENCYPART_ARC
(5,12),-1.24154 # DEPENDENCYPART_ARC
(5,13),-0.943183 # DEPENDENCYPART_ARC
(5,14),-1.12233 # DEPENDENCYPART_ARC
(5,15),-1.48011 # DEPENDENCYPART_ARC
(5,16),-2.32009 # DEPENDENCYPART_ARC
(5,17),-2.59977 # DEPENDENCYPART_ARC
(5,18),-4.12551 # DEPENDENCYPART_ARC
(5,19),-0.940413 # DEPENDENCYPART_ARC
(5,20),-2.63351 # DEPENDENCYPART_ARC
(5,21),-3.5969 # DEPENDENCYPART_ARC
(5,22),-2.94264 # DEPENDENCYPART_ARC
(5,23),-2.34378 # DEPENDENCYPART_ARC
(5,24),-3.677 # DEPENDENCYPART_ARC
(5,25),-3.31431 # DEPENDENCYPART_ARC
(5,26),-0.191755 # DEPENDENCYPART_ARC
(6,1),0.728335 # DEPENDENCYPART_ARC
(6,2),-0.235266 # DEPENDENCYPART_ARC
(6,3),0.787717 # DEPENDENCYPART_ARC
(6,4),4.54915 # DEPENDENCYPART_ARC
(6,5),4.13557 # DEPENDENCYPART_ARC
(6,7),1.20986 # DEPENDENCYPART_ARC
(6,8),0.341871 # DEPENDENCYPART_ARC
(6,9),-0.513038 # DEPENDENCYPART_ARC
(6,10),-1.04554 # DEPENDENCYPART_ARC
(6,11),-1.39868 # DEPENDENCYPART_ARC
(6,12),-0.59916 # DEPENDENCYPART_ARC
(6,13),-0.745213 # DEPENDENCYPART_ARC
(6,14),-1.44942 # DEPENDENCYPART_ARC
(6,15),-1.58946 # DEPENDENCYPART_ARC
(6,16),-2.03343 # DEPENDENCYPART_ARC
(6,17),-1.85578 # DEPENDENCYPART_ARC
(6,18),-3.01238 # DEPENDENCYPART_ARC
(6,19),0.22071 # DEPENDENCYPART_ARC
(6,20),-3.92795 # DEPENDENCYPART_ARC
(6,21),-2.11828 # DEPENDENCYPART_ARC
(6,22),-3.59987 # DEPENDENCYPART_ARC
(6,23),-2.60946 # DEPENDENCYPART_ARC
(6,24),-2.54807 # DEPENDENCYPART_ARC
(6,25),-2.07196 # DEPENDENCYPART_ARC
(6,26),0.695732 # DEPENDENCYPART_ARC
(7,1),-1.64043 # DEPENDENCYPART_ARC
(7,2),-1.80428 # DEPENDENCYPART_ARC
(7,3),0.0591075 # DEPENDENCYPART_ARC
(7,4),-0.393508 # DEPENDENCYPART_ARC
(7,5),-1.26541 # DEPENDENCYPART_ARC
(7,6),-0.708591 # DEPENDENCYPART_ARC
(7,8),0.187821 # DEPENDENCYPART_ARC
(7,9),-0.693599 # DEPENDENCYPART_ARC
(7,10),-0.81153 # DEPENDENCYPART_ARC
(7,11),-1.49939 # DEPENDENCYPART_ARC
(7,12),-1.57488 # DEPENDENCYPART_ARC
(7,13),-0.933547 # DEPENDENCYPART_ARC
(7,14),-1.90783 # DEPENDENCYPART_ARC
(7,15),-2.15001 # DEPENDENCYPART_ARC
(7,16),-1.7216 # DEPENDENCYPART_ARC
(7,17),-2.61409 # DEPENDENCYPART_ARC
(7,18),-2.62409 # DEPENDENCYPART_ARC
(7,19),-1.51618 # DEPENDENCYPART_ARC
(7,20),-2.08393 # DEPENDENCYPART_ARC
(7,21),-2.71154 # DEPENDENCYPART_ARC
(7,22),-2.18875 # DEPENDENCYPART_ARC
(7,23),-2.77487 # DEPENDENCYPART_ARC
(7,24),-3.31579 # DEPENDENCYPART_ARC
(7,25),-3.33723 # DEPENDENCYPART_ARC
(7,26),-2.36251 # DEPENDENCYPART_ARC
(8,1),1.70006 # DEPENDENCYPART_ARC
(8,2),1.88475 # DEPENDENCYPART_ARC
(8,3),1.68428 # DEPENDENCYPART_ARC
(8,4),0.291631 # DEPENDENCYPART_ARC
(8,5),1.50168 # DEPENDENCYPART_ARC
(8,6),1.70672 # DEPENDENCYPART_ARC
(8,7),2.96169 # DEPENDENCYPART_ARC
(8,9),1.06985 # DEPENDENCYPART_ARC
(8,10),3.14879 # DEPENDENCYPART_ARC
(8,11),0.7058 # DEPENDENCYPART_ARC
(8,12),-0.139612 # DEPENDENCYPART_ARC
(8,13),0.527299 # DEPENDENCYPART_ARC
(8,14),-1.48519 # DEPENDENCYPART_ARC
(8,15),-1.43922 # DEPENDENCYPART_ARC
(8,16),-0.662856 # DEPENDENCYPART_ARC
(8,17),-1.411 # DEPENDENCYPART_ARC
(8,18),-2.48752 # DEPENDENCYPART_ARC
(8,19),1.16096 # DEPENDENCYPART_ARC
(8,20),-2.32511 # DEPENDENCYPART_ARC
(8,21),-1.84202 # DEPENDENCYPART_ARC
(8,22),-1.057 # DEPENDENCYPART_ARC
(8,23),-1.84404 # DEPENDENCYPART_ARC
(8,24),-2.07098 # DEPENDENCYPART_ARC
(8,25),-3.55017 # DEPENDENCYPART_ARC
(8,26),7.50743 # DEPENDENCYPART_ARC
(9,1),-2.39727 # DEPENDENCYPART_ARC
(9,2),-3.3271 # DEPENDENCYPART_ARC
(9,3),-1.21887 # DEPENDENCYPART_ARC
(9,4),0.601753 # DEPENDENCYPART_ARC
(9,5),-0.0657192 # DEPENDENCYPART_ARC
(9,6),-0.892436 # DEPENDENCYPART_ARC
(9,7),0.551506 # DEPENDENCYPART_ARC
(9,8),0.188791 # DEPENDENCYPART_ARC
(9,10),0.668288 # DEPENDENCYPART_ARC
(9,11),-0.11642 # DEPENDENCYPART_ARC
(9,12),-0.099296 # DEPENDENCYPART_ARC
(9,13),-0.246012 # DEPENDENCYPART_ARC
(9,14),-0.719292 # DEPENDENCYPART_ARC
(9,15),-0.599248 # DEPENDENCYPART_ARC
(9,16),-1.07105 # DEPENDENCYPART_ARC
(9,17),-1.40589 # DEPENDENCYPART_ARC
(9,18),-1.56376 # DEPENDENCYPART_ARC
(9,19),0.131757 # DEPENDENCYPART_ARC
(9,20),-1.55951 # DEPENDENCYPART_ARC
(9,21),-2.17885 # DEPENDENCYPART_ARC
(9,22),-1.70418 # DEPENDENCYPART_ARC
(9,23),-1.4177 # DEPENDENCYPART_ARC
(9,24),-2.58469 # DEPENDENCYPART_ARC
(9,25),-2.52305 # DEPENDENCYPART_ARC
(9,26),0.447101 # DEPENDENCYPART_ARC
(10,1),0.79783 # DEPENDENCYPART_ARC
(10,2),0.188537 # DEPENDENCYPART_ARC
(10,3),1.64006 # DEPENDENCYPART_ARC
(10,4),0.135511 # DEPENDENCYPART_ARC
(10,5),0.558924 # DEPENDENCYPART_ARC
(10,6),0.686106 # DEPENDENCYPART_ARC
(10,7),1.09975 # DEPENDENCYPART_ARC
(10,8),0.857126 # DEPENDENCYPART_ARC
(10,9),2.72931 # DEPENDENCYPART_ARC
(10,11),4.09386 # DEPENDENCYPART_ARC
(10,12),3.49314 # DEPENDENCYPART_ARC
(10,13),0.857332 # DEPENDENCYPART_ARC
(10,14),-0.113354 # DEPENDENCYPART_ARC
(10,15),0.100684 # DEPENDENCYPART_ARC
(10,16),1.3892 # DEPENDENCYPART_ARC
(10,17),-0.4793 # DEPENDENCYPART_ARC
(10,18),-0.441954 # DEPENDENCYPART_ARC
(10,19),0.755379 # DEPENDENCYPART_ARC
(10,20),-0.299713 # DEPENDENCYPART_ARC
(10,21),-0.850121 # DEPENDENCYPART_ARC
(10,22),1.29066 # DEPENDENCYPART_ARC
(10,23),-0.869151 # DEPENDENCYPART_ARC
(10,24),-1.14256 # DEPENDENCYPART_ARC
(10,25),-1.02104 # DEPENDENCYPART_ARC
(10,26),4.44268 # DEPENDENCYPART_ARC
(11,1),-2.27584 # DEPENDENCYPART_ARC
(11,2),-2.15624 # DEPENDENCYPART_ARC
(11,3),-1.74247 # DEPENDENCYPART_ARC
(11,4),-0.743026 # DEPENDENCYPART_ARC
(11,5),-1.81539 # DEPENDENCYPART_ARC
(11,6),-1.85367 # DEPENDENCYPART_ARC
(11,7),-1.14147 # DEPENDENCYPART_ARC
(11,8),-1.19121 # DEPENDENCYPART_ARC
(11,9),-0.990942 # DEPENDENCYPART_ARC
(11,10),-0.400407 # DEPENDENCYPART_ARC
(11,12),1.38367 # DEPENDENCYPART_ARC
(11,13),0.361758 # DEPENDENCYPART_ARC
(11,14),0.38634 # DEPENDENCYPART_ARC
(11,15),-0.132461 # DEPENDENCYPART_ARC
(11,16),0.675122 # DEPENDENCYPART_ARC
(11,17),-0.174909 # DEPENDENCYPART_ARC
(11,18),-0.532219 # DEPENDENCYPART_ARC
(11,19),0.173429 # DEPENDENCYPART_ARC
(11,20),-0.279309 # DEPENDENCYPART_ARC
(11,21),-1.30338 # DEPENDENCYPART_ARC
(11,22),-0.451915 # DEPENDENCYPART_ARC
(11,23),-1.45235 # DEPENDENCYPART_ARC
(11,24),-1.90822 # DEPENDENCYPART_ARC
(11,25),-1.30783 # DEPENDENCYPART_ARC
(11,26),-0.253708 # DEPENDENCYPART_ARC
(12,1),-0.660484 # DEPENDENCYPART_ARC
(12,2),-0.774142 # DEPENDENCYPART_ARC
(12,3),-0.172093 # DEPENDENCYPART_ARC
(12,4),-0.0303317 # DEPENDENCYPART_ARC
(12,5),-0.328425 # DEPENDENCYPART_ARC
(12,6),-0.594422 # DEPENDENCYPART_ARC
(12,7),0.0907954 # DEPENDENCYPART_ARC
(12,8),-0.239752 # DEPENDENCYPART_ARC
(12,9),0.37703 # DEPENDENCYPART_ARC
(12,10),0.0365433 # DEPENDENCYPART_ARC
(12,11),2.32921 # DEPENDENCYPART_ARC
(12,13),1.69048 # DEPENDENCYPART_ARC
(12,14),0.480334 # DEPENDENCYPART_ARC
(12,15),0.968086 # DEPENDENCYPART_ARC
(12,16),1.65159 # DEPENDENCYPART_ARC
(12,17),0.189844 # DEPENDENCYPART_ARC
(12,18),0.960155 # DEPENDENCYPART_ARC
(12,19),1.46586 # DEPENDENCYPART_ARC
(12,20),-0.401475 # DEPENDENCYPART_ARC
(12,21),-0.391035 # DEPENDENCYPART_ARC
(12,22),1.01792 # DEPENDENCYPART_ARC
(12,23),-0.258989 # DEPENDENCYPART_ARC
(12,24),-0.745304 # DEPENDENCYPART_ARC
(12,25),-0.909022 # DEPENDENCYPART_ARC
(12,26),1.75669 # DEPENDENCYPART_ARC
(13,1),-2.58901 # DEPENDENCYPART_ARC
(13,2),-2.5001 # DEPENDENCYPART_ARC
(13,3),-2.09293 # DEPENDENCYPART_ARC
(13,4),-1.83185 # DEPENDENCYPART_ARC
(13,5),-2.03986 # DEPENDENCYPART_ARC
(13,6),-1.92131 # DEPENDENCYPART_ARC
(13,7),-1.63335 # DEPENDENCYPART_ARC
(13,8),-1.79443 # DEPENDENCYPART_ARC
(13,9),-1.4477 # DEPENDENCYPART_ARC
(13,10),-1.21901 # DEPENDENCYPART_ARC
(13,11),-0.621158 # DEPENDENCYPART_ARC
(13,12),-0.166094 # DEPENDENCYPART_ARC
(13,14),-0.737439 # DEPENDENCYPART_ARC
(13,15),-0.412492 # DEPENDENCYPART_ARC
(13,16),-1.15091 # DEPENDENCYPART_ARC
(13,17),-1.53439 # DEPENDENCYPART_ARC
(13,18),-1.63602 # DEPENDENCYPART_ARC
(13,19),-0.146349 # DEPENDENCYPART_ARC
(13,20),-1.66632 # DEPENDENCYPART_ARC
(13,21),-2.04457 # DEPENDENCYPART_ARC
(13,22),-1.9134 # DEPENDENCYPART_ARC
(13,23),-1.85315 # DEPENDENCYPART_ARC
(13,24),-2.54536 # DEPENDENCYPART_ARC
(13,25),-2.82734 # DEPENDENCYPART_ARC
(13,26),-1.47008 # DEPENDENCYPART_ARC
(14,1),-2.17497 # DEPENDENCYPART_ARC
(14,2),-2.19193 # DEPENDENCYPART_ARC
(14,3),-2.11677 # DEPENDENCYPART_ARC
(14,4),-1.20181 # DEPENDENCYPART_ARC
(14,5),-1.82773 # DEPENDENCYPART_ARC
(14,6),-2.1743 # DEPENDENCYPART_ARC
(14,7),-1.66184 # DEPENDENCYPART_ARC
(14,8),-1.51797 # DEPENDENCYPART_ARC
(14,9),-1.40544 # DEPENDENCYPART_ARC
(14,10),-1.29858 # DEPENDENCYPART_ARC
(14,11),-0.659641 # DEPENDENCYPART_ARC
(14,12),-0.68148 # DEPENDENCYPART_ARC
(14,13),-0.0779854 # DEPENDENCYPART_ARC
(14,15),0.90161 # DEPENDENCYPART_ARC
(14,16),0.022076 # DEPENDENCYPART_ARC
(14,17),0.54888 # DEPENDENCYPART_ARC
(14,18),-0.456799 # DEPENDENCYPART_ARC
(14,19),-0.412738 # DEPENDENCYPART_ARC
(14,20),-0.259043 # DEPENDENCYPART_ARC
(14,21),-1.13427 # DEPENDENCYPART_ARC
(14,22),-0.908718 # DEPENDENCYPART_ARC
(14,23),-1.08316 # DEPENDENCYPART_ARC
(14,24),-0.890612 # DEPENDENCYPART_ARC
(14,25),-1.49404 # DEPENDENCYPART_ARC
(14,26),-0.507549 # DEPENDENCYPART_ARC
(15,1),-1.95672 # DEPENDENCYPART_ARC
(15,2),-2.58789 # DEPENDENCYPART_ARC
(15,3),-1.19699 # DEPENDENCYPART_ARC
(15,4),0.311074 # DEPENDENCYPART_ARC
(15,5),-1.21417 # DEPENDENCYPART_ARC
(15,6),-1.61239 # DEPENDENCYPART_ARC
(15,7),-0.891432 # DEPENDENCYPART_ARC
(15,8),-1.3098 # DEPENDENCYPART_ARC
(15,9),-0.932989 # DEPENDENCYPART_ARC
(15,10),-1.13042 # DEPENDENCYPART_ARC
(15,11),0.875341 # DEPENDENCYPART_ARC
(15,12),-0.0830832 # DEPENDENCYPART_ARC
(15,13),1.22306 # DEPENDENCYPART_ARC
(15,14),3.8881 # DEPENDENCYPART_ARC
(15,16),2.16385 # DEPENDENCYPART_ARC
(15,17),2.99157 # DEPENDENCYPART_ARC
(15,18),0.878017 # DEPENDENCYPART_ARC
(15,19),1.3812 # DEPENDENCYPART_ARC
(15,20),0.836984 # DEPENDENCYPART_ARC
(15,21),-0.302422 # DEPENDENCYPART_ARC
(15,22),-0.157266 # DEPENDENCYPART_ARC
(15,23),0.830269 # DEPENDENCYPART_ARC
(15,24),1.15351 # DEPENDENCYPART_ARC
(15,25),-0.0621374 # DEPENDENCYPART_ARC
(15,26),1.39062 # DEPENDENCYPART_ARC
(16,1),-2.04881 # DEPENDENCYPART_ARC
(16,2),-2.18162 # DEPENDENCYPART_ARC
(16,3),-1.57109 # DEPENDENCYPART_ARC
(16,4),-1.34921 # DEPENDENCYPART_ARC
(16,5),-1.62138 # DEPENDENCYPART_ARC
(16,6),-2.02727 # DEPENDENCYPART_ARC
(16,7),-1.03928 # DEPENDENCYPART_ARC
(16,8),-0.974477 # DEPENDENCYPART_ARC
(16,9),-0.936657 # DEPENDENCYPART_ARC
(16,10),-0.483927 # DEPENDENCYPART_ARC
(16,11),-0.374589 # DEPENDENCYPART_ARC
(16,12),-0.476093 # DEPENDENCYPART_ARC
(16,13),0.723284 # DEPENDENCYPART_ARC
(16,14),0.450742 # DEPENDENCYPART_ARC
(16,15),0.367138 # DEPENDENCYPART_ARC
(16,17),1.44199 # DEPENDENCYPART_ARC
(16,18),2.08801 # DEPENDENCYPART_ARC
(16,19),1.55486 # DEPENDENCYPART_ARC
(16,20),0.662889 # DEPENDENCYPART_ARC
(16,21),0.275551 # DEPENDENCYPART_ARC
(16,22),-0.213325 # DEPENDENCYPART_ARC
(16,23),-0.613128 # DEPENDENCYPART_ARC
(16,24),-2.10705 # DEPENDENCYPART_ARC
(16,25),0.116357 # DEPENDENCYPART_ARC
(16,26),-0.259119 # DEPENDENCYPART_ARC
(17,1),-2.65443 # DEPENDENCYPART_ARC
(17,2),-2.60959 # DEPENDENCYPART_ARC
(17,3),-2.60021 # DEPENDENCYPART_ARC
(17,4),-1.47234 # DEPENDENCYPART_ARC
(17,5),-2.05689 # DEPENDENCYPART_ARC
(17,6),-2.66822 # DEPENDENCYPART_ARC
(17,7),-2.07452 # DEPENDENCYPART_ARC
(17,8),-1.8492 # DEPENDENCYPART_ARC
(17,9),-1.4298 # DEPENDENCYPART_ARC
(17,10),-1.61772 # DEPENDENCYPART_ARC
(17,11),-1.20569 # DEPENDENCYPART_ARC
(17,12),-1.05442 # DEPENDENCYPART_ARC
(17,13),-0.603533 # DEPENDENCYPART_ARC
(17,14),0.464082 # DEPENDENCYPART_ARC
(17,15),0.323778 # DEPENDENCYPART_ARC
(17,16),1.61644 # DEPENDENCYPART_ARC
(17,18),0.899597 # DEPENDENCYPART_ARC
(17,19),0.003947 # DEPENDENCYPART_ARC
(17,20),0.161149 # DEPENDENCYPART_ARC
(17,21),-0.969053 # DEPENDENCYPART_ARC
(17,22),-0.864418 # DEPENDENCYPART_ARC
(17,23),-0.762324 # DEPENDENCYPART_ARC
(17,24),-1.15125 # DEPENDENCYPART_ARC
(17,25),-1.56287 # DEPENDENCYPART_ARC
(17,26),-1.1057 # DEPENDENCYPART_ARC
(18,1),-6.60913 # DEPENDENCYPART_ARC
(18,2),-7.4306 # DEPENDENCYPART_ARC
(18,3),-1.1138 # DEPENDENCYPART_ARC
(18,4),-1.24788 # DEPENDENCYPART_ARC
(18,5),-4.18149 # DEPENDENCYPART_ARC
(18,6),-4.16608 # DEPENDENCYPART_ARC
(18,7),-0.826068 # DEPENDENCYPART_ARC
(18,8),-0.601398 # DEPENDENCYPART_ARC
(18,9),-3.11909 # DEPENDENCYPART_ARC
(18,10),-0.41268 # DEPENDENCYPART_ARC
(18,11),0.195611 # DEPENDENCYPART_ARC
(18,12),0.184651 # DEPENDENCYPART_ARC
(18,13),1.76933 # DEPENDENCYPART_ARC
(18,14),2.59055 # DEPENDENCYPART_ARC
(18,15),3.53215 # DEPENDENCYPART_ARC
(18,16),2.08525 # DEPENDENCYPART_ARC
(18,17),4.88573 # DEPENDENCYPART_ARC
(18,19),2.76353 # DEPENDENCYPART_ARC
(18,20),3.07579 # DEPENDENCYPART_ARC
(18,21),0.497412 # DEPENDENCYPART_ARC
(18,22),1.01624 # DEPENDENCYPART_ARC
(18,23),0.21876 # DEPENDENCYPART_ARC
(18,24),0.326883 # DEPENDENCYPART_ARC
(18,25),0.84718 # DEPENDENCYPART_ARC
(18,26),0.58539 # DEPENDENCYPART_ARC
(19,1),-3.00762 # DEPENDENCYPART_ARC
(19,2),-2.93223 # DEPENDENCYPART_ARC
(19,3),-2.13441 # DEPENDENCYPART_ARC
(19,4),-2.07738 # DEPENDENCYPART_ARC
(19,5),-2.66224 # DEPENDENCYPART_ARC
(19,6),-2.83037 # DEPENDENCYPART_ARC
(19,7),-1.65046 # DEPENDENCYPART_ARC
(19,8),-2.04435 # DEPENDENCYPART_ARC
(19,9),-2.08102 # DEPENDENCYPART_ARC
(19,10),-1.84109 # DEPENDENCYPART_ARC
(19,11),-2.12079 # DEPENDENCYPART_ARC
(19,12),-1.6941 # DEPENDENCYPART_ARC
(19,13),-0.199244 # DEPENDENCYPART_ARC
(19,14),-0.676669 # DEPENDENCYPART_ARC
(19,15),-1.33157 # DEPENDENCYPART_ARC
(19,16),-0.668796 # DEPENDENCYPART_ARC
(19,17),-0.718614 # DEPENDENCYPART_ARC
(19,18),-0.707759 # DEPENDENCYPART_ARC
(19,20),0.178251 # DEPENDENCYPART_ARC
(19,21),-0.168874 # DEPENDENCYPART_ARC
(19,22),-0.44765 # DEPENDENCYPART_ARC
(19,23),-0.847669 # DEPENDENCYPART_ARC
(19,24),-1.23797 # DEPENDENCYPART_ARC
(19,25),-1.19264 # DEPENDENCYPART_ARC
(19,26),-0.548734 # DEPENDENCYPART_ARC
(20,1),-2.2457 # DEPENDENCYPART_ARC
(20,2),-2.34583 # DEPENDENCYPART_ARC
(20,3),-2.29808 # DEPENDENCYPART_ARC
(20,4),-2.21844 # DEPENDENCYPART_ARC
(20,5),-1.8157 # DEPENDENCYPART_ARC
(20,6),-2.71057 # DEPENDENCYPART_ARC
(20,7),-1.80591 # DEPENDENCYPART_ARC
(20,8),-1.71614 # DEPENDENCYPART_ARC
(20,9),-1.47292 # DEPENDENCYPART_ARC
