# _root_ Indeed , the Dow Jones Transportation Average plunged 102.06 points , its second-worst drop in history .
#goldHeads=8,8,7,7,7,7,8,0,10,8,8,14,14,8,14,15,8,
#predictedHeads=8,8,7,7,7,7,8,0,10,8,8,14,14,8,14,15,8,
(4,12),-2.47785 # DEPENDENCYPART_ARC
(4,13),-1.65848 # DEPENDENCYPART_ARC
(4,14),-2.14821 # DEPENDENCYPART_ARC
(4,15),-2.44553 # DEPENDENCYPART_ARC
(4,16),-3.89566 # DEPENDENCYPART_ARC
(4,17),-1.10832 # DEPENDENCYPART_ARC
(5,1),-2.10835 # DEPENDENCYPART_ARC
(5,2),-1.40548 # DEPENDENCYPART_ARC
(5,3),1.36473 # DEPENDENCYPART_ARC
(5,4),1.86285 # DEPENDENCYPART_ARC
(5,6),0.641388 # DEPENDENCYPART_ARC
(5,7),1.24757 # DEPENDENCYPART_ARC
(5,8),-0.802352 # DEPENDENCYPART_ARC
(5,9),-1.36559 # DEPENDENCYPART_ARC
(5,10),-1.09694 # DEPENDENCYPART_ARC
(5,11),-0.789254 # DEPENDENCYPART_ARC
(5,12),-2.40143 # DEPENDENCYPART_ARC
(5,13),-1.84549 # DEPENDENCYPART_ARC
(5,14),-1.98864 # DEPENDENCYPART_ARC
(5,15),-2.64291 # DEPENDENCYPART_ARC
(5,16),-3.73278 # DEPENDENCYPART_ARC
(5,17),-1.33187 # DEPENDENCYPART_ARC
(6,1),-1.29009 # DEPENDENCYPART_ARC
(6,2),-0.84892 # DEPENDENCYPART_ARC
(6,3),2.08078 # DEPENDENCYPART_ARC
(6,4),2.52789 # DEPENDENCYPART_ARC
(6,5),2.75498 # DEPENDENCYPART_ARC
(6,7),2.1922 # DEPENDENCYPART_ARC
(6,8),-0.845749 # DEPENDENCYPART_ARC
(6,9),-1.27731 # DEPENDENCYPART_ARC
(6,10),-1.19639 # DEPENDENCYPART_ARC
(6,11),-0.689182 # DEPENDENCYPART_ARC
(6,12),-2.41342 # DEPENDENCYPART_ARC
(6,13),-1.90934 # DEPENDENCYPART_ARC
(6,14),-2.23074 # DEPENDENCYPART_ARC
(6,15),-2.72344 # DEPENDENCYPART_ARC
(6,16),-3.54771 # DEPENDENCYPART_ARC
(6,17),-1.32547 # DEPENDENCYPART_ARC
(7,1),-1.05685 # DEPENDENCYPART_ARC
(7,2),0.313668 # DEPENDENCYPART_ARC
(7,3),3.9301 # DEPENDENCYPART_ARC
(7,4),4.15422 # DEPENDENCYPART_ARC
(7,5),4.3073 # DEPENDENCYPART_ARC
(7,6),4.36083 # DEPENDENCYPART_ARC
(7,8),0.286505 # DEPENDENCYPART_ARC
(7,9),-0.317439 # DEPENDENCYPART_ARC
(7,10),-0.517785 # DEPENDENCYPART_ARC
(7,11),0.0712834 # DEPENDENCYPART_ARC
(7,12),-1.6915 # DEPENDENCYPART_ARC
(7,13),-0.840669 # DEPENDENCYPART_ARC
(7,14),-1.62176 # DEPENDENCYPART_ARC
(7,15),-1.81301 # DEPENDENCYPART_ARC
(7,16),-2.79103 # DEPENDENCYPART_ARC
(7,17),-0.309431 # DEPENDENCYPART_ARC
(8,1),1.83271 # DEPENDENCYPART_ARC
(8,2),3.06732 # DEPENDENCYPART_ARC
(8,3),-0.224682 # DEPENDENCYPART_ARC
(8,4),1.64041 # DEPENDENCYPART_ARC
(8,5),2.01057 # DEPENDENCYPART_ARC
(8,6),1.95349 # DEPENDENCYPART_ARC
(8,7),3.34431 # DEPENDENCYPART_ARC
(8,9),1.85945 # DEPENDENCYPART_ARC
(8,10),3.65808 # DEPENDENCYPART_ARC
(8,11),2.60749 # DEPENDENCYPART_ARC
(8,12),0.152412 # DEPENDENCYPART_ARC
(8,13),0.941427 # DEPENDENCYPART_ARC
(8,14),1.95782 # DEPENDENCYPART_ARC
(8,15),2.08034 # DEPENDENCYPART_ARC
(8,16),0.229808 # DEPENDENCYPART_ARC
(8,17),4.52091 # DEPENDENCYPART_ARC
(9,1),-1.33748 # DEPENDENCYPART_ARC
(9,2),-1.6186 # DEPENDENCYPART_ARC
(9,3),-0.376712 # DEPENDENCYPART_ARC
(9,4),-0.564328 # DEPENDENCYPART_ARC
(9,5),-0.380529 # DEPENDENCYPART_ARC
(9,6),0.00603585 # DEPENDENCYPART_ARC
(9,7),0.492973 # DEPENDENCYPART_ARC
(9,8),1.02126 # DEPENDENCYPART_ARC
(9,10),0.288306 # DEPENDENCYPART_ARC
(9,11),-0.168383 # DEPENDENCYPART_ARC
(9,12),-1.15081 # DEPENDENCYPART_ARC
(9,13),-0.643141 # DEPENDENCYPART_ARC
(9,14),-0.831268 # DEPENDENCYPART_ARC
(9,15),-0.672871 # DEPENDENCYPART_ARC
(9,16),-1.12307 # DEPENDENCYPART_ARC
(9,17),-0.901607 # DEPENDENCYPART_ARC
(10,1),-1.36071 # DEPENDENCYPART_ARC
(10,2),-0.0447937 # DEPENDENCYPART_ARC
(10,3),1.09043 # DEPENDENCYPART_ARC
(10,4),0.649411 # DEPENDENCYPART_ARC
(10,5),0.63502 # DEPENDENCYPART_ARC
(10,6),0.872198 # DEPENDENCYPART_ARC
(10,7),0.529928 # DEPENDENCYPART_ARC
(10,8),0.63903 # DEPENDENCYPART_ARC
(10,9),4.50057 # DEPENDENCYPART_ARC
(10,11),2.55586 # DEPENDENCYPART_ARC
(10,12),0.39809 # DEPENDENCYPART_ARC
(10,13),0.863435 # DEPENDENCYPART_ARC
(10,14),0.544795 # DEPENDENCYPART_ARC
(10,15),0.0428648 # DEPENDENCYPART_ARC
(10,16),0.290718 # DEPENDENCYPART_ARC
(10,17),0.634848 # DEPENDENCYPART_ARC
(11,1),-2.34332 # DEPENDENCYPART_ARC
(11,2),-0.218301 # DEPENDENCYPART_ARC
(11,3),-1.14608 # DEPENDENCYPART_ARC
(11,4),-1.67416 # DEPENDENCYPART_ARC
(11,5),-1.54648 # DEPENDENCYPART_ARC
(11,6),-1.6389 # DEPENDENCYPART_ARC
(11,7),-1.40739 # DEPENDENCYPART_ARC
(11,8),-0.704996 # DEPENDENCYPART_ARC
(11,9),-0.836147 # DEPENDENCYPART_ARC
(11,10),-0.6954 # DEPENDENCYPART_ARC
(11,12),-0.359787 # DEPENDENCYPART_ARC
(11,13),-0.555692 # DEPENDENCYPART_ARC
(11,14),-1.19369 # DEPENDENCYPART_ARC
(11,15),-0.990609 # DEPENDENCYPART_ARC
(11,16),-1.56448 # DEPENDENCYPART_ARC
(11,17),-0.940644 # DEPENDENCYPART_ARC
(12,1),-2.70021 # DEPENDENCYPART_ARC
(12,2),-1.9758 # DEPENDENCYPART_ARC
(12,3),-1.63309 # DEPENDENCYPART_ARC
(12,4),-1.85108 # DEPENDENCYPART_ARC
(12,5),-1.71114 # DEPENDENCYPART_ARC
(12,6),-1.56986 # DEPENDENCYPART_ARC
(12,7),-1.43928 # DEPENDENCYPART_ARC
(12,8),-1.53846 # DEPENDENCYPART_ARC
(12,9),-0.819972 # DEPENDENCYPART_ARC
(12,10),-0.841843 # DEPENDENCYPART_ARC
(12,11),0.134781 # DEPENDENCYPART_ARC
(12,13),0.585272 # DEPENDENCYPART_ARC
(12,14),-0.104533 # DEPENDENCYPART_ARC
(12,15),-0.33297 # DEPENDENCYPART_ARC
(12,16),-0.80911 # DEPENDENCYPART_ARC
(12,17),-0.97493 # DEPENDENCYPART_ARC
(13,1),-3.09576 # DEPENDENCYPART_ARC
(13,2),-1.68144 # DEPENDENCYPART_ARC
(13,3),-0.93726 # DEPENDENCYPART_ARC
(13,4),-0.320041 # DEPENDENCYPART_ARC
(13,5),-1.21767 # DEPENDENCYPART_ARC
(13,6),-1.18672 # DEPENDENCYPART_ARC
(13,7),-1.5826 # DEPENDENCYPART_ARC
(13,8),-1.92918 # DEPENDENCYPART_ARC
(13,9),-0.516497 # DEPENDENCYPART_ARC
(13,10),-0.767278 # DEPENDENCYPART_ARC
(13,11),-0.242314 # DEPENDENCYPART_ARC
(13,12),1.32794 # DEPENDENCYPART_ARC
(13,14),1.16691 # DEPENDENCYPART_ARC
(13,15),-0.173051 # DEPENDENCYPART_ARC
(13,16),-0.480245 # DEPENDENCYPART_ARC
(13,17),-0.38476 # DEPENDENCYPART_ARC
(14,1),-3.57471 # DEPENDENCYPART_ARC
(14,2),-2.05501 # DEPENDENCYPART_ARC
(14,3),0.975387 # DEPENDENCYPART_ARC
(14,4),-0.0140888 # DEPENDENCYPART_ARC
(14,5),-0.628546 # DEPENDENCYPART_ARC
(14,6),-0.77058 # DEPENDENCYPART_ARC
(14,7),-1.17836 # DEPENDENCYPART_ARC
(14,8),-0.631375 # DEPENDENCYPART_ARC
(14,9),0.217951 # DEPENDENCYPART_ARC
(14,10),0.429956 # DEPENDENCYPART_ARC
(14,11),0.138354 # DEPENDENCYPART_ARC
(14,12),3.77362 # DEPENDENCYPART_ARC
(14,13),4.02262 # DEPENDENCYPART_ARC
(14,15),3.57501 # DEPENDENCYPART_ARC
(14,16),1.19714 # DEPENDENCYPART_ARC
(14,17),0.856317 # DEPENDENCYPART_ARC
(15,1),-2.65325 # DEPENDENCYPART_ARC
(15,2),-1.85417 # DEPENDENCYPART_ARC
(15,3),-1.2441 # DEPENDENCYPART_ARC
(15,4),-1.70926 # DEPENDENCYPART_ARC
(15,5),-1.49466 # DEPENDENCYPART_ARC
(15,6),-1.44669 # DEPENDENCYPART_ARC
(15,7),-1.43946 # DEPENDENCYPART_ARC
(15,8),-0.983063 # DEPENDENCYPART_ARC
(15,9),-0.528749 # DEPENDENCYPART_ARC
(15,10),-0.772008 # DEPENDENCYPART_ARC
(15,11),-0.325307 # DEPENDENCYPART_ARC
(15,12),0.390794 # DEPENDENCYPART_ARC
(15,13),-0.299431 # DEPENDENCYPART_ARC
(15,14),-0.0773962 # DEPENDENCYPART_ARC
(15,16),4.24562 # DEPENDENCYPART_ARC
(15,17),-0.645428 # DEPENDENCYPART_ARC
(16,1),-5.03992 # DEPENDENCYPART_ARC
(16,2),-3.20259 # DEPENDENCYPART_ARC
(16,3),-2.14282 # DEPENDENCYPART_ARC
(16,4),-2.89774 # DEPENDENCYPART_ARC
(16,5),-3.4445 # DEPENDENCYPART_ARC
(16,6),-3.13482 # DEPENDENCYPART_ARC
(16,7),-3.48259 # DEPENDENCYPART_ARC
(16,8),-2.09308 # DEPENDENCYPART_ARC
(16,9),-1.89474 # DEPENDENCYPART_ARC
(16,10),-1.5917 # DEPENDENCYPART_ARC
(16,11),-1.29722 # DEPENDENCYPART_ARC
(16,12),0.788041 # DEPENDENCYPART_ARC
(16,13),0.653172 # DEPENDENCYPART_ARC
(16,14),-0.389423 # DEPENDENCYPART_ARC
(16,15),0.671878 # DEPENDENCYPART_ARC
(16,17),-0.630435 # DEPENDENCYPART_ARC
(17,1),-1.82946 # DEPENDENCYPART_ARC
(17,2),-0.792017 # DEPENDENCYPART_ARC
(17,3),-1.73639 # DEPENDENCYPART_ARC
(17,4),-1.64203 # DEPENDENCYPART_ARC
(17,5),-1.65768 # DEPENDENCYPART_ARC
(17,6),-1.62068 # DEPENDENCYPART_ARC
(17,7),-1.58348 # DEPENDENCYPART_ARC
(17,8),-0.987649 # DEPENDENCYPART_ARC
(17,9),-1.68576 # DEPENDENCYPART_ARC
(17,10),-1.50443 # DEPENDENCYPART_ARC
(17,11),0.12812 # DEPENDENCYPART_ARC
(17,12),-0.696878 # DEPENDENCYPART_ARC
(17,13),-1.22027 # DEPENDENCYPART_ARC
(17,14),-0.840805 # DEPENDENCYPART_ARC
(17,15),-1.39659 # DEPENDENCYPART_ARC
(17,16),-1.43245 # DEPENDENCYPART_ARC
