# _root_ On Oct. 16 , 1987 -- the Friday before the Black Monday crash -- the New York market dropped 4.6 % , and Tokyo followed on Monday with a 2.4 % drop .
#goldHeads=19,1,2,2,2,8,8,2,8,13,13,13,9,8,18,18,18,19,0,21,19,19,19,25,23,25,26,25,32,31,32,28,19,
#predictedHeads=19,1,2,2,2,19,8,13,25,13,13,13,9,19,18,18,18,19,9,21,19,19,19,25,0,25,26,25,32,31,32,28,19,
(1,4),0.925502 # DEPENDENCYPART_ARC
(1,5),0.397881 # DEPENDENCYPART_ARC
(1,6),0.340588 # DEPENDENCYPART_ARC
(1,7),-1.8003 # DEPENDENCYPART_ARC
(1,8),-1.85872 # DEPENDENCYPART_ARC
(1,9),-0.442284 # DEPENDENCYPART_ARC
(1,10),-2.22202 # DEPENDENCYPART_ARC
(1,11),-3.17292 # DEPENDENCYPART_ARC
(1,12),-4.39878 # DEPENDENCYPART_ARC
(1,13),-2.15301 # DEPENDENCYPART_ARC
(1,14),-0.374415 # DEPENDENCYPART_ARC
(1,15),-3.12273 # DEPENDENCYPART_ARC
(1,16),-5.61651 # DEPENDENCYPART_ARC
(1,17),-6.06565 # DEPENDENCYPART_ARC
(1,18),-5.22357 # DEPENDENCYPART_ARC
(1,19),-0.947279 # DEPENDENCYPART_ARC
(1,20),-3.20527 # DEPENDENCYPART_ARC
(1,21),-10.2956 # DEPENDENCYPART_ARC
(1,22),-1.36971 # DEPENDENCYPART_ARC
(1,23),-2.00375 # DEPENDENCYPART_ARC
(1,24),-8.92907 # DEPENDENCYPART_ARC
(1,25),-4.79517 # DEPENDENCYPART_ARC
(1,26),-0.931793 # DEPENDENCYPART_ARC
(1,27),-12.4344 # DEPENDENCYPART_ARC
(1,28),-4.71943 # DEPENDENCYPART_ARC
(1,29),-6.15685 # DEPENDENCYPART_ARC
(1,30),-5.22549 # DEPENDENCYPART_ARC
(1,31),-17.844 # DEPENDENCYPART_ARC
(1,32),-11.9135 # DEPENDENCYPART_ARC
(1,33),-0.125885 # DEPENDENCYPART_ARC
(2,1),-0.472106 # DEPENDENCYPART_ARC
(2,3),3.90574 # DEPENDENCYPART_ARC
(2,4),2.93237 # DEPENDENCYPART_ARC
(2,5),2.75668 # DEPENDENCYPART_ARC
(2,6),0.457708 # DEPENDENCYPART_ARC
(2,7),-0.533103 # DEPENDENCYPART_ARC
(2,8),-0.769213 # DEPENDENCYPART_ARC
(2,9),-0.70301 # DEPENDENCYPART_ARC
(2,10),-0.636196 # DEPENDENCYPART_ARC
(2,11),-1.30509 # DEPENDENCYPART_ARC
(2,12),-1.19264 # DEPENDENCYPART_ARC
(2,13),0.132564 # DEPENDENCYPART_ARC
(2,14),0.395418 # DEPENDENCYPART_ARC
(2,15),-1.05707 # DEPENDENCYPART_ARC
(2,16),-1.62193 # DEPENDENCYPART_ARC
(2,17),-0.69037 # DEPENDENCYPART_ARC
(2,18),-0.278181 # DEPENDENCYPART_ARC
(2,19),-1.25953 # DEPENDENCYPART_ARC
(2,20),-2.12664 # DEPENDENCYPART_ARC
(2,21),-2.21028 # DEPENDENCYPART_ARC
(2,22),-2.87861 # DEPENDENCYPART_ARC
(2,23),-1.635 # DEPENDENCYPART_ARC
(2,24),-3.41338 # DEPENDENCYPART_ARC
(2,25),-2.63111 # DEPENDENCYPART_ARC
(2,26),-2.94109 # DEPENDENCYPART_ARC
(2,27),-4.36076 # DEPENDENCYPART_ARC
(2,28),-3.50448 # DEPENDENCYPART_ARC
(2,29),-2.49053 # DEPENDENCYPART_ARC
(2,30),-3.99464 # DEPENDENCYPART_ARC
(2,31),-5.35229 # DEPENDENCYPART_ARC
(2,32),-5.56881 # DEPENDENCYPART_ARC
(2,33),-0.301943 # DEPENDENCYPART_ARC
(3,1),0.210388 # DEPENDENCYPART_ARC
(3,2),1.90149 # DEPENDENCYPART_ARC
(3,4),1.23656 # DEPENDENCYPART_ARC
(3,5),0.514079 # DEPENDENCYPART_ARC
(3,6),0.206634 # DEPENDENCYPART_ARC
(3,7),-0.993112 # DEPENDENCYPART_ARC
(3,8),-0.860343 # DEPENDENCYPART_ARC
(3,9),-0.889001 # DEPENDENCYPART_ARC
(3,10),-1.15529 # DEPENDENCYPART_ARC
(3,11),-1.07697 # DEPENDENCYPART_ARC
(3,12),-1.05585 # DEPENDENCYPART_ARC
(3,13),-1.11034 # DEPENDENCYPART_ARC
(3,14),0.135831 # DEPENDENCYPART_ARC
(3,15),-1.81097 # DEPENDENCYPART_ARC
(3,16),-1.57138 # DEPENDENCYPART_ARC
(3,17),-1.56547 # DEPENDENCYPART_ARC
(3,18),-1.45142 # DEPENDENCYPART_ARC
(3,19),-1.04283 # DEPENDENCYPART_ARC
(3,20),-1.92798 # DEPENDENCYPART_ARC
(3,21),-2.24508 # DEPENDENCYPART_ARC
(3,22),-1.40306 # DEPENDENCYPART_ARC
(3,23),-2.70044 # DEPENDENCYPART_ARC
(3,24),-2.4585 # DEPENDENCYPART_ARC
(3,25),-1.80577 # DEPENDENCYPART_ARC
(3,26),-2.96634 # DEPENDENCYPART_ARC
(3,27),-2.88776 # DEPENDENCYPART_ARC
(3,28),-3.12674 # DEPENDENCYPART_ARC
(3,29),-3.30479 # DEPENDENCYPART_ARC
(3,30),-3.03891 # DEPENDENCYPART_ARC
(3,31),-3.7329 # DEPENDENCYPART_ARC
(3,32),-4.0332 # DEPENDENCYPART_ARC
(3,33),-1.97732 # DEPENDENCYPART_ARC
(4,1),-1.01136 # DEPENDENCYPART_ARC
(4,2),-1.47321 # DEPENDENCYPART_ARC
(4,3),-0.495011 # DEPENDENCYPART_ARC
(4,5),-0.353999 # DEPENDENCYPART_ARC
(4,6),-0.736368 # DEPENDENCYPART_ARC
(4,7),-1.45647 # DEPENDENCYPART_ARC
(4,8),-1.29597 # DEPENDENCYPART_ARC
(4,9),-1.46441 # DEPENDENCYPART_ARC
(4,10),-1.88426 # DEPENDENCYPART_ARC
(4,11),-2.00516 # DEPENDENCYPART_ARC
(4,12),-2.16093 # DEPENDENCYPART_ARC
(4,13),-2.56469 # DEPENDENCYPART_ARC
(4,14),-1.28375 # DEPENDENCYPART_ARC
(4,15),-2.4644 # DEPENDENCYPART_ARC
(4,16),-2.61251 # DEPENDENCYPART_ARC
(4,17),-2.69955 # DEPENDENCYPART_ARC
(4,18),-3.13029 # DEPENDENCYPART_ARC
(4,19),-2.28856 # DEPENDENCYPART_ARC
(4,20),-3.27629 # DEPENDENCYPART_ARC
(4,21),-3.41113 # DEPENDENCYPART_ARC
(4,22),-2.28788 # DEPENDENCYPART_ARC
(4,23),-2.9255 # DEPENDENCYPART_ARC
(4,24),-3.41433 # DEPENDENCYPART_ARC
(4,25),-2.81403 # DEPENDENCYPART_ARC
(4,26),-3.0506 # DEPENDENCYPART_ARC
(4,27),-3.78658 # DEPENDENCYPART_ARC
(4,28),-3.22219 # DEPENDENCYPART_ARC
(4,29),-3.825 # DEPENDENCYPART_ARC
(4,30),-4.34126 # DEPENDENCYPART_ARC
(4,31),-4.54211 # DEPENDENCYPART_ARC
(4,32),-4.60802 # DEPENDENCYPART_ARC
(4,33),-3.54112 # DEPENDENCYPART_ARC
(5,1),-0.831955 # DEPENDENCYPART_ARC
(5,2),-0.484831 # DEPENDENCYPART_ARC
(5,3),0.686445 # DEPENDENCYPART_ARC
(5,4),0.707832 # DEPENDENCYPART_ARC
(5,6),0.815446 # DEPENDENCYPART_ARC
(5,7),-0.177419 # DEPENDENCYPART_ARC
(5,8),-0.155415 # DEPENDENCYPART_ARC
(5,9),-0.291707 # DEPENDENCYPART_ARC
(5,10),-1.06121 # DEPENDENCYPART_ARC
(5,11),-0.568618 # DEPENDENCYPART_ARC
(5,12),-0.624413 # DEPENDENCYPART_ARC
(5,13),-0.17616 # DEPENDENCYPART_ARC
(5,14),0.558634 # DEPENDENCYPART_ARC
(5,15),-1.31084 # DEPENDENCYPART_ARC
(5,16),-1.12818 # DEPENDENCYPART_ARC
(5,17),-1.19201 # DEPENDENCYPART_ARC
(5,18),-0.363457 # DEPENDENCYPART_ARC
(5,19),0.0260476 # DEPENDENCYPART_ARC
(5,20),-1.51973 # DEPENDENCYPART_ARC
(5,21),-0.910333 # DEPENDENCYPART_ARC
(5,22),-1.28147 # DEPENDENCYPART_ARC
(5,23),-2.02666 # DEPENDENCYPART_ARC
(5,24),-2.0603 # DEPENDENCYPART_ARC
(5,25),-0.67316 # DEPENDENCYPART_ARC
(5,26),-2.32005 # DEPENDENCYPART_ARC
(5,27),-2.51752 # DEPENDENCYPART_ARC
(5,28),-2.39214 # DEPENDENCYPART_ARC
(5,29),-2.87812 # DEPENDENCYPART_ARC
(5,30),-2.54677 # DEPENDENCYPART_ARC
(5,31),-2.29402 # DEPENDENCYPART_ARC
(5,32),-2.64909 # DEPENDENCYPART_ARC
(5,33),-1.81465 # DEPENDENCYPART_ARC
(6,1),-1.3493 # DEPENDENCYPART_ARC
(6,2),-1.33881 # DEPENDENCYPART_ARC
(6,3),-1.20723 # DEPENDENCYPART_ARC
(6,4),-0.604125 # DEPENDENCYPART_ARC
(6,5),-0.566022 # DEPENDENCYPART_ARC
(6,7),-0.238345 # DEPENDENCYPART_ARC
(6,8),-0.457936 # DEPENDENCYPART_ARC
(6,9),-0.707266 # DEPENDENCYPART_ARC
(6,10),-1.37388 # DEPENDENCYPART_ARC
(6,11),-1.11404 # DEPENDENCYPART_ARC
(6,12),-1.53126 # DEPENDENCYPART_ARC
(6,13),-0.763092 # DEPENDENCYPART_ARC
(6,14),0.770568 # DEPENDENCYPART_ARC
(6,15),-1.82321 # DEPENDENCYPART_ARC
(6,16),-1.99304 # DEPENDENCYPART_ARC
(6,17),-2.17846 # DEPENDENCYPART_ARC
(6,18),-1.00759 # DEPENDENCYPART_ARC
(6,19),-0.575497 # DEPENDENCYPART_ARC
(6,20),-2.51029 # DEPENDENCYPART_ARC
(6,21),-1.32569 # DEPENDENCYPART_ARC
(6,22),-1.40078 # DEPENDENCYPART_ARC
(6,23),-1.67475 # DEPENDENCYPART_ARC
(6,24),-2.94859 # DEPENDENCYPART_ARC
(6,25),-1.11255 # DEPENDENCYPART_ARC
(6,26),-2.60915 # DEPENDENCYPART_ARC
(6,27),-3.21316 # DEPENDENCYPART_ARC
(6,28),-2.94379 # DEPENDENCYPART_ARC
(6,29),-3.23567 # DEPENDENCYPART_ARC
(6,30),-3.43607 # DEPENDENCYPART_ARC
(6,31),-1.89248 # DEPENDENCYPART_ARC
(6,32),-1.99846 # DEPENDENCYPART_ARC
(6,33),-1.78204 # DEPENDENCYPART_ARC
(7,1),-1.53741 # DEPENDENCYPART_ARC
(7,2),-1.70066 # DEPENDENCYPART_ARC
(7,3),-1.11231 # DEPENDENCYPART_ARC
(7,4),-0.91417 # DEPENDENCYPART_ARC
(7,5),-0.638583 # DEPENDENCYPART_ARC
(7,6),0.193339 # DEPENDENCYPART_ARC
(7,8),-0.198391 # DEPENDENCYPART_ARC
(7,9),-0.5038 # DEPENDENCYPART_ARC
(7,10),-1.36521 # DEPENDENCYPART_ARC
(7,11),-1.20293 # DEPENDENCYPART_ARC
(7,12),-1.16509 # DEPENDENCYPART_ARC
(7,13),-1.12922 # DEPENDENCYPART_ARC
(7,14),-0.616071 # DEPENDENCYPART_ARC
(7,15),-2.02726 # DEPENDENCYPART_ARC
(7,16),-2.03047 # DEPENDENCYPART_ARC
(7,17),-1.90837 # DEPENDENCYPART_ARC
(7,18),-1.66895 # DEPENDENCYPART_ARC
(7,19),-1.61288 # DEPENDENCYPART_ARC
(7,20),-2.23013 # DEPENDENCYPART_ARC
(7,21),-2.11592 # DEPENDENCYPART_ARC
(7,22),-1.69817 # DEPENDENCYPART_ARC
(7,23),-2.55608 # DEPENDENCYPART_ARC
(7,24),-2.77954 # DEPENDENCYPART_ARC
(7,25),-3.38323 # DEPENDENCYPART_ARC
(7,26),-3.40259 # DEPENDENCYPART_ARC
(7,27),-3.07257 # DEPENDENCYPART_ARC
(7,28),-3.63292 # DEPENDENCYPART_ARC
(7,29),-3.72714 # DEPENDENCYPART_ARC
(7,30),-3.29962 # DEPENDENCYPART_ARC
(7,31),-3.23053 # DEPENDENCYPART_ARC
(7,32),-3.1278 # DEPENDENCYPART_ARC
(7,33),-2.98079 # DEPENDENCYPART_ARC
(8,1),-2.44869 # DEPENDENCYPART_ARC
(8,2),-2.54852 # DEPENDENCYPART_ARC
(8,3),-1.13251 # DEPENDENCYPART_ARC
(8,4),-1.42152 # DEPENDENCYPART_ARC
(8,5),-0.424631 # DEPENDENCYPART_ARC
(8,6),-0.0851358 # DEPENDENCYPART_ARC
(8,7),2.28744 # DEPENDENCYPART_ARC
(8,9),1.18534 # DEPENDENCYPART_ARC
(8,10),1.2553 # DEPENDENCYPART_ARC
(8,11),0.149645 # DEPENDENCYPART_ARC
(8,12),-0.075868 # DEPENDENCYPART_ARC
(8,13),0.208658 # DEPENDENCYPART_ARC
(8,14),0.792478 # DEPENDENCYPART_ARC
(8,15),0.694879 # DEPENDENCYPART_ARC
(8,16),-0.61366 # DEPENDENCYPART_ARC
(8,17),-0.118063 # DEPENDENCYPART_ARC
(8,18),-0.371567 # DEPENDENCYPART_ARC
(8,19),-0.984791 # DEPENDENCYPART_ARC
(8,20),-1.86464 # DEPENDENCYPART_ARC
(8,21),-2.20455 # DEPENDENCYPART_ARC
(8,22),-1.2385 # DEPENDENCYPART_ARC
(8,23),-0.446599 # DEPENDENCYPART_ARC
(8,24),-1.96477 # DEPENDENCYPART_ARC
(8,25),-2.04696 # DEPENDENCYPART_ARC
(8,26),-1.19982 # DEPENDENCYPART_ARC
(8,27),-2.86772 # DEPENDENCYPART_ARC
(8,28),-1.94346 # DEPENDENCYPART_ARC
(8,29),-1.20246 # DEPENDENCYPART_ARC
(8,30),-3.86079 # DEPENDENCYPART_ARC
(8,31),-5.69777 # DEPENDENCYPART_ARC
(8,32),-6.05595 # DEPENDENCYPART_ARC
(8,33),1.21981 # DEPENDENCYPART_ARC
(9,1),-0.793169 # DEPENDENCYPART_ARC
(9,2),-0.173175 # DEPENDENCYPART_ARC
(9,3),-0.0193033 # DEPENDENCYPART_ARC
(9,4),-0.151296 # DEPENDENCYPART_ARC
(9,5),0.317962 # DEPENDENCYPART_ARC
(9,6),1.25754 # DEPENDENCYPART_ARC
(9,7),1.019 # DEPENDENCYPART_ARC
(9,8),1.11011 # DEPENDENCYPART_ARC
(9,10),0.575846 # DEPENDENCYPART_ARC
(9,11),1.87169 # DEPENDENCYPART_ARC
(9,12),1.6063 # DEPENDENCYPART_ARC
(9,13),2.14731 # DEPENDENCYPART_ARC
(9,14),0.847235 # DEPENDENCYPART_ARC
(9,15),-1.47693 # DEPENDENCYPART_ARC
(9,16),-0.752827 # DEPENDENCYPART_ARC
(9,17),-0.110287 # DEPENDENCYPART_ARC
(9,18),-1.54248 # DEPENDENCYPART_ARC
(9,19),3.21345 # DEPENDENCYPART_ARC
(9,20),-2.52504 # DEPENDENCYPART_ARC
(9,21),-4.60707 # DEPENDENCYPART_ARC
(9,22),0.0176601 # DEPENDENCYPART_ARC
(9,23),-0.415179 # DEPENDENCYPART_ARC
(9,24),-2.533 # DEPENDENCYPART_ARC
(9,25),-0.123281 # DEPENDENCYPART_ARC
(9,26),-1.10524 # DEPENDENCYPART_ARC
(9,27),-5.84841 # DEPENDENCYPART_ARC
(9,28),-3.24689 # DEPENDENCYPART_ARC
(9,29),-4.10576 # DEPENDENCYPART_ARC
(9,30),-4.83101 # DEPENDENCYPART_ARC
(9,31),-11.2225 # DEPENDENCYPART_ARC
(9,32),-5.82293 # DEPENDENCYPART_ARC
(9,33),-0.142918 # DEPENDENCYPART_ARC
(10,1),-2.57088 # DEPENDENCYPART_ARC
(10,2),-2.74179 # DEPENDENCYPART_ARC
(10,3),-2.28952 # DEPENDENCYPART_ARC
(10,4),-2.34095 # DEPENDENCYPART_ARC
(10,5),-1.8593 # DEPENDENCYPART_ARC
(10,6),-1.39088 # DEPENDENCYPART_ARC
(10,7),-0.942026 # DEPENDENCYPART_ARC
(10,8),-1.59107 # DEPENDENCYPART_ARC
(10,9),-0.661132 # DEPENDENCYPART_ARC
(10,11),-0.328121 # DEPENDENCYPART_ARC
(10,12),-0.69523 # DEPENDENCYPART_ARC
(10,13),-0.446476 # DEPENDENCYPART_ARC
(10,14),-0.700066 # DEPENDENCYPART_ARC
(10,15),-1.94151 # DEPENDENCYPART_ARC
(10,16),-1.90167 # DEPENDENCYPART_ARC
(10,17),-1.75428 # DEPENDENCYPART_ARC
(10,18),-1.26164 # DEPENDENCYPART_ARC
(10,19),-1.0744 # DEPENDENCYPART_ARC
(10,20),-1.75763 # DEPENDENCYPART_ARC
(10,21),-1.75543 # DEPENDENCYPART_ARC
(10,22),-1.80921 # DEPENDENCYPART_ARC
(10,23),-2.41012 # DEPENDENCYPART_ARC
(10,24),-2.6732 # DEPENDENCYPART_ARC
(10,25),-2.91778 # DEPENDENCYPART_ARC
(10,26),-2.89062 # DEPENDENCYPART_ARC
(10,27),-2.96606 # DEPENDENCYPART_ARC
(10,28),-3.0861 # DEPENDENCYPART_ARC
(10,29),-3.528 # DEPENDENCYPART_ARC
(10,30),-2.96748 # DEPENDENCYPART_ARC
(10,31),-2.86308 # DEPENDENCYPART_ARC
(10,32),-2.85554 # DEPENDENCYPART_ARC
(10,33),-2.77205 # DEPENDENCYPART_ARC
(11,1),-4.03049 # DEPENDENCYPART_ARC
(11,2),-4.18723 # DEPENDENCYPART_ARC
(11,3),-3.12589 # DEPENDENCYPART_ARC
(11,4),-3.70214 # DEPENDENCYPART_ARC
(11,5),-2.69795 # DEPENDENCYPART_ARC
(11,6),-1.75681 # DEPENDENCYPART_ARC
(11,7),-0.96336 # DEPENDENCYPART_ARC
(11,8),-1.81778 # DEPENDENCYPART_ARC
(11,9),-1.27688 # DEPENDENCYPART_ARC
(11,10),1.8556 # DEPENDENCYPART_ARC
(11,12),-0.274758 # DEPENDENCYPART_ARC
(11,13),-0.188824 # DEPENDENCYPART_ARC
(11,14),-0.797375 # DEPENDENCYPART_ARC
(11,15),-1.42789 # DEPENDENCYPART_ARC
(11,16),-1.38006 # DEPENDENCYPART_ARC
(11,17),-1.2862 # DEPENDENCYPART_ARC
(11,18),-1.38827 # DEPENDENCYPART_ARC
(11,19),-2.00861 # DEPENDENCYPART_ARC
(11,20),-2.6504 # DEPENDENCYPART_ARC
(11,21),-2.92469 # DEPENDENCYPART_ARC
(11,22),-1.61976 # DEPENDENCYPART_ARC
(11,23),-1.61674 # DEPENDENCYPART_ARC
(11,24),-2.99624 # DEPENDENCYPART_ARC
(11,25),-3.09232 # DEPENDENCYPART_ARC
(11,26),-2.77033 # DEPENDENCYPART_ARC
(11,27),-4.39035 # DEPENDENCYPART_ARC
(11,28),-3.10199 # DEPENDENCYPART_ARC
(11,29),-2.86996 # DEPENDENCYPART_ARC
(11,30),-4.66457 # DEPENDENCYPART_ARC
(11,31),-6.78337 # DEPENDENCYPART_ARC
(11,32),-7.0381 # DEPENDENCYPART_ARC
(11,33),-0.915014 # DEPENDENCYPART_ARC
(12,1),-4.04137 # DEPENDENCYPART_ARC
(12,2),-4.57114 # DEPENDENCYPART_ARC
(12,3),-2.82655 # DEPENDENCYPART_ARC
(12,4),-3.16019 # DEPENDENCYPART_ARC
(12,5),-2.40254 # DEPENDENCYPART_ARC
(12,6),-1.67569 # DEPENDENCYPART_ARC
(12,7),-1.00632 # DEPENDENCYPART_ARC
(12,8),-2.04482 # DEPENDENCYPART_ARC
(12,9),-1.22895 # DEPENDENCYPART_ARC
(12,10),1.26347 # DEPENDENCYPART_ARC
(12,11),1.28759 # DEPENDENCYPART_ARC
(12,13),0.702813 # DEPENDENCYPART_ARC
(12,14),-0.46234 # DEPENDENCYPART_ARC
(12,15),-1.13976 # DEPENDENCYPART_ARC
(12,16),-1.09187 # DEPENDENCYPART_ARC
(12,17),-0.76131 # DEPENDENCYPART_ARC
(12,18),-1.03882 # DEPENDENCYPART_ARC
(12,19),-1.23629 # DEPENDENCYPART_ARC
(12,20),-2.40403 # DEPENDENCYPART_ARC
(12,21),-2.48552 # DEPENDENCYPART_ARC
(12,22),-1.76631 # DEPENDENCYPART_ARC
(12,23),-1.30249 # DEPENDENCYPART_ARC
(12,24),-3.1774 # DEPENDENCYPART_ARC
(12,25),-2.17082 # DEPENDENCYPART_ARC
(12,26),-2.2887 # DEPENDENCYPART_ARC
(12,27),-3.82217 # DEPENDENCYPART_ARC
(12,28),-2.6427 # DEPENDENCYPART_ARC
(12,29),-2.70488 # DEPENDENCYPART_ARC
(12,30),-4.4396 # DEPENDENCYPART_ARC
(12,31),-6.47856 # DEPENDENCYPART_ARC
(12,32),-6.48634 # DEPENDENCYPART_ARC
(12,33),-0.283287 # DEPENDENCYPART_ARC
(13,1),-0.595264 # DEPENDENCYPART_ARC
(13,2),-1.79302 # DEPENDENCYPART_ARC
(13,3),-0.477506 # DEPENDENCYPART_ARC
(13,4),-0.348976 # DEPENDENCYPART_ARC
(13,5),0.209444 # DEPENDENCYPART_ARC
(13,6),0.553199 # DEPENDENCYPART_ARC
(13,7),1.91969 # DEPENDENCYPART_ARC
(13,8),2.01748 # DEPENDENCYPART_ARC
(13,9),1.2386 # DEPENDENCYPART_ARC
(13,10),5.03584 # DEPENDENCYPART_ARC
(13,11),4.86312 # DEPENDENCYPART_ARC
(13,12),4.29056 # DEPENDENCYPART_ARC
(13,14),1.58491 # DEPENDENCYPART_ARC
(13,15),0.39522 # DEPENDENCYPART_ARC
(13,16),1.72004 # DEPENDENCYPART_ARC
(13,17),1.52036 # DEPENDENCYPART_ARC
(13,18),1.07308 # DEPENDENCYPART_ARC
(13,19),1.10931 # DEPENDENCYPART_ARC
(13,20),-0.087444 # DEPENDENCYPART_ARC
(13,21),-0.220859 # DEPENDENCYPART_ARC
(13,22),-0.37757 # DEPENDENCYPART_ARC
(13,23),0.705255 # DEPENDENCYPART_ARC
(13,24),0.0278066 # DEPENDENCYPART_ARC
(13,25),0.555003 # DEPENDENCYPART_ARC
(13,26),-0.937669 # DEPENDENCYPART_ARC
(13,27),0.721049 # DEPENDENCYPART_ARC
(13,28),-1.08674 # DEPENDENCYPART_ARC
(13,29),-0.970801 # DEPENDENCYPART_ARC
(13,30),-1.48243 # DEPENDENCYPART_ARC
(13,31),-3.21252 # DEPENDENCYPART_ARC
(13,32),-1.55982 # DEPENDENCYPART_ARC
(13,33),3.08828 # DEPENDENCYPART_ARC
(14,1),-1.73002 # DEPENDENCYPART_ARC
(14,2),-1.81824 # DEPENDENCYPART_ARC
(14,3),-2.46865 # DEPENDENCYPART_ARC
(14,4),-1.4859 # DEPENDENCYPART_ARC
(14,5),-2.30886 # DEPENDENCYPART_ARC
(14,6),-1.4821 # DEPENDENCYPART_ARC
(14,7),-1.44669 # DEPENDENCYPART_ARC
(14,8),-1.32694 # DEPENDENCYPART_ARC
(14,9),-1.31249 # DEPENDENCYPART_ARC
(14,10),-0.949898 # DEPENDENCYPART_ARC
(14,11),-0.96953 # DEPENDENCYPART_ARC
(14,12),-1.04794 # DEPENDENCYPART_ARC
(14,13),-1.1458 # DEPENDENCYPART_ARC
(14,15),-0.251008 # DEPENDENCYPART_ARC
(14,16),-0.46945 # DEPENDENCYPART_ARC
(14,17),-0.689308 # DEPENDENCYPART_ARC
(14,18),-0.512278 # DEPENDENCYPART_ARC
(14,19),-0.164699 # DEPENDENCYPART_ARC
(14,20),-1.67283 # DEPENDENCYPART_ARC
(14,21),-1.0836 # DEPENDENCYPART_ARC
(14,22),-0.622738 # DEPENDENCYPART_ARC
(14,23),-0.92814 # DEPENDENCYPART_ARC
(14,24),-1.94474 # DEPENDENCYPART_ARC
(14,25),-0.596032 # DEPENDENCYPART_ARC
(14,26),-1.82796 # DEPENDENCYPART_ARC
(14,27),-2.33122 # DEPENDENCYPART_ARC
(14,28),-2.0499 # DEPENDENCYPART_ARC
(14,29),-2.47441 # DEPENDENCYPART_ARC
(14,30),-2.69068 # DEPENDENCYPART_ARC
(14,31),-1.70798 # DEPENDENCYPART_ARC
(14,32),-1.73093 # DEPENDENCYPART_ARC
(14,33),-1.16528 # DEPENDENCYPART_ARC
(15,1),-3.04417 # DEPENDENCYPART_ARC
(15,2),-3.24242 # DEPENDENCYPART_ARC
(15,3),-2.83849 # DEPENDENCYPART_ARC
(15,4),-2.78751 # DEPENDENCYPART_ARC
(15,5),-2.53716 # DEPENDENCYPART_ARC
(15,6),-2.08766 # DEPENDENCYPART_ARC
(15,7),-1.93146 # DEPENDENCYPART_ARC
(15,8),-2.48047 # DEPENDENCYPART_ARC
(15,9),-2.05888 # DEPENDENCYPART_ARC
(15,10),-1.30895 # DEPENDENCYPART_ARC
(15,11),-1.95249 # DEPENDENCYPART_ARC
(15,12),-1.61595 # DEPENDENCYPART_ARC
(15,13),-1.78451 # DEPENDENCYPART_ARC
(15,14),-0.298757 # DEPENDENCYPART_ARC
(15,16),-0.0770654 # DEPENDENCYPART_ARC
(15,17),-0.481515 # DEPENDENCYPART_ARC
(15,18),-0.365401 # DEPENDENCYPART_ARC
(15,19),0.269505 # DEPENDENCYPART_ARC
(15,20),-0.610567 # DEPENDENCYPART_ARC
(15,21),-1.15388 # DEPENDENCYPART_ARC
(15,22),-0.781488 # DEPENDENCYPART_ARC
(15,23),-1.19752 # DEPENDENCYPART_ARC
(15,24),-1.76226 # DEPENDENCYPART_ARC
