# _root_ FAST-FOOD chicken chains , faced with a worsening business slump , are struggling to hatch some new marketing strategies .
#goldHeads=3,3,12,3,3,5,10,10,10,6,3,0,12,13,14,19,19,19,15,12,
#predictedHeads=3,3,12,3,12,5,10,10,10,6,3,0,12,13,14,19,19,19,15,12,
(4,19),-3.3613 # DEPENDENCYPART_ARC
(4,20),-2.44971 # DEPENDENCYPART_ARC
(5,1),0.81613 # DEPENDENCYPART_ARC
(5,2),0.8503 # DEPENDENCYPART_ARC
(5,3),0.312716 # DEPENDENCYPART_ARC
(5,4),0.890155 # DEPENDENCYPART_ARC
(5,6),3.67188 # DEPENDENCYPART_ARC
(5,7),0.368562 # DEPENDENCYPART_ARC
(5,8),0.81963 # DEPENDENCYPART_ARC
(5,9),0.557579 # DEPENDENCYPART_ARC
(5,10),1.19531 # DEPENDENCYPART_ARC
(5,11),0.76669 # DEPENDENCYPART_ARC
(5,12),0.096875 # DEPENDENCYPART_ARC
(5,13),0.332629 # DEPENDENCYPART_ARC
(5,14),0.269656 # DEPENDENCYPART_ARC
(5,15),-0.242058 # DEPENDENCYPART_ARC
(5,16),-0.856632 # DEPENDENCYPART_ARC
(5,17),-1.22799 # DEPENDENCYPART_ARC
(5,18),-1.20124 # DEPENDENCYPART_ARC
(5,19),-1.6119 # DEPENDENCYPART_ARC
(5,20),1.04758 # DEPENDENCYPART_ARC
(6,1),-1.47878 # DEPENDENCYPART_ARC
(6,2),-1.46989 # DEPENDENCYPART_ARC
(6,3),-0.793218 # DEPENDENCYPART_ARC
(6,4),-0.832987 # DEPENDENCYPART_ARC
(6,5),0.122766 # DEPENDENCYPART_ARC
(6,7),0.764908 # DEPENDENCYPART_ARC
(6,8),1.47488 # DEPENDENCYPART_ARC
(6,9),1.46285 # DEPENDENCYPART_ARC
(6,10),2.77511 # DEPENDENCYPART_ARC
(6,11),0.435438 # DEPENDENCYPART_ARC
(6,12),-0.0605762 # DEPENDENCYPART_ARC
(6,13),0.517217 # DEPENDENCYPART_ARC
(6,14),-1.02622 # DEPENDENCYPART_ARC
(6,15),-0.396279 # DEPENDENCYPART_ARC
(6,16),-2.10817 # DEPENDENCYPART_ARC
(6,17),-0.994377 # DEPENDENCYPART_ARC
(6,18),-3.1156 # DEPENDENCYPART_ARC
(6,19),-1.91797 # DEPENDENCYPART_ARC
(6,20),0.0507641 # DEPENDENCYPART_ARC
(7,1),-2.25839 # DEPENDENCYPART_ARC
(7,2),-2.01623 # DEPENDENCYPART_ARC
(7,3),-1.67694 # DEPENDENCYPART_ARC
(7,4),-1.03747 # DEPENDENCYPART_ARC
(7,5),-1.03194 # DEPENDENCYPART_ARC
(7,6),0.419338 # DEPENDENCYPART_ARC
(7,8),0.959579 # DEPENDENCYPART_ARC
(7,9),0.331509 # DEPENDENCYPART_ARC
(7,10),0.0779005 # DEPENDENCYPART_ARC
(7,11),-0.311788 # DEPENDENCYPART_ARC
(7,12),-0.484138 # DEPENDENCYPART_ARC
(7,13),-0.648566 # DEPENDENCYPART_ARC
(7,14),-0.868171 # DEPENDENCYPART_ARC
(7,15),-1.30776 # DEPENDENCYPART_ARC
(7,16),-1.83236 # DEPENDENCYPART_ARC
(7,17),-1.37181 # DEPENDENCYPART_ARC
(7,18),-1.36815 # DEPENDENCYPART_ARC
(7,19),-1.87784 # DEPENDENCYPART_ARC
(7,20),-1.04474 # DEPENDENCYPART_ARC
(8,1),-0.364024 # DEPENDENCYPART_ARC
(8,2),-0.503339 # DEPENDENCYPART_ARC
(8,3),-0.157438 # DEPENDENCYPART_ARC
(8,4),0.172767 # DEPENDENCYPART_ARC
(8,5),0.493877 # DEPENDENCYPART_ARC
(8,6),0.103964 # DEPENDENCYPART_ARC
(8,7),2.02512 # DEPENDENCYPART_ARC
(8,9),0.943703 # DEPENDENCYPART_ARC
(8,10),1.77068 # DEPENDENCYPART_ARC
(8,11),1.16782 # DEPENDENCYPART_ARC
(8,12),0.0703821 # DEPENDENCYPART_ARC
(8,13),0.468849 # DEPENDENCYPART_ARC
(8,14),0.404599 # DEPENDENCYPART_ARC
(8,15),-0.41481 # DEPENDENCYPART_ARC
(8,16),-0.883427 # DEPENDENCYPART_ARC
(8,17),-1.12878 # DEPENDENCYPART_ARC
(8,18),-2.35836 # DEPENDENCYPART_ARC
(8,19),-1.43626 # DEPENDENCYPART_ARC
(8,20),-0.26063 # DEPENDENCYPART_ARC
(9,1),-2.3403 # DEPENDENCYPART_ARC
(9,2),-2.46219 # DEPENDENCYPART_ARC
(9,3),-1.81198 # DEPENDENCYPART_ARC
(9,4),-1.64157 # DEPENDENCYPART_ARC
(9,5),-1.11462 # DEPENDENCYPART_ARC
(9,6),-0.40988 # DEPENDENCYPART_ARC
(9,7),2.56491 # DEPENDENCYPART_ARC
(9,8),1.9918 # DEPENDENCYPART_ARC
(9,10),0.720406 # DEPENDENCYPART_ARC
(9,11),-0.312212 # DEPENDENCYPART_ARC
(9,12),0.0895236 # DEPENDENCYPART_ARC
(9,13),-0.93026 # DEPENDENCYPART_ARC
(9,14),-0.623836 # DEPENDENCYPART_ARC
(9,15),-1.20729 # DEPENDENCYPART_ARC
(9,16),-1.48155 # DEPENDENCYPART_ARC
(9,17),-1.59142 # DEPENDENCYPART_ARC
(9,18),-1.15776 # DEPENDENCYPART_ARC
(9,19),-1.42439 # DEPENDENCYPART_ARC
(9,20),-0.379799 # DEPENDENCYPART_ARC
(10,1),-0.439293 # DEPENDENCYPART_ARC
(10,2),-0.823025 # DEPENDENCYPART_ARC
(10,3),-0.50983 # DEPENDENCYPART_ARC
(10,4),-0.386885 # DEPENDENCYPART_ARC
(10,5),0.369455 # DEPENDENCYPART_ARC
(10,6),0.654639 # DEPENDENCYPART_ARC
(10,7),4.14868 # DEPENDENCYPART_ARC
(10,8),3.93699 # DEPENDENCYPART_ARC
(10,9),4.97139 # DEPENDENCYPART_ARC
(10,11),1.43778 # DEPENDENCYPART_ARC
(10,12),0.475291 # DEPENDENCYPART_ARC
(10,13),0.33217 # DEPENDENCYPART_ARC
(10,14),-0.0479455 # DEPENDENCYPART_ARC
(10,15),-0.334682 # DEPENDENCYPART_ARC
(10,16),-0.700488 # DEPENDENCYPART_ARC
(10,17),-0.569919 # DEPENDENCYPART_ARC
(10,18),-0.102692 # DEPENDENCYPART_ARC
(10,19),-0.30479 # DEPENDENCYPART_ARC
(10,20),0.457053 # DEPENDENCYPART_ARC
(11,1),-1.24572 # DEPENDENCYPART_ARC
(11,2),-1.39495 # DEPENDENCYPART_ARC
(11,3),-1.66953 # DEPENDENCYPART_ARC
(11,4),-0.0270991 # DEPENDENCYPART_ARC
(11,5),-0.722962 # DEPENDENCYPART_ARC
(11,6),-1.43708 # DEPENDENCYPART_ARC
(11,7),-0.773116 # DEPENDENCYPART_ARC
(11,8),-0.617709 # DEPENDENCYPART_ARC
(11,9),-1.26365 # DEPENDENCYPART_ARC
(11,10),-0.699886 # DEPENDENCYPART_ARC
(11,12),-0.324442 # DEPENDENCYPART_ARC
(11,13),-1.17851 # DEPENDENCYPART_ARC
(11,14),-1.58014 # DEPENDENCYPART_ARC
(11,15),-1.536 # DEPENDENCYPART_ARC
(11,16),-2.2602 # DEPENDENCYPART_ARC
(11,17),-2.3344 # DEPENDENCYPART_ARC
(11,18),-2.7142 # DEPENDENCYPART_ARC
(11,19),-2.75058 # DEPENDENCYPART_ARC
(11,20),-1.98488 # DEPENDENCYPART_ARC
(12,1),0.361342 # DEPENDENCYPART_ARC
(12,2),0.113428 # DEPENDENCYPART_ARC
(12,3),1.77598 # DEPENDENCYPART_ARC
(12,4),2.0858 # DEPENDENCYPART_ARC
(12,5),1.64168 # DEPENDENCYPART_ARC
(12,6),1.52083 # DEPENDENCYPART_ARC
(12,7),0.750516 # DEPENDENCYPART_ARC
(12,8),0.961868 # DEPENDENCYPART_ARC
(12,9),1.39163 # DEPENDENCYPART_ARC
(12,10),0.784516 # DEPENDENCYPART_ARC
(12,11),2.11216 # DEPENDENCYPART_ARC
(12,13),3.77775 # DEPENDENCYPART_ARC
(12,14),1.33752 # DEPENDENCYPART_ARC
(12,15),0.726276 # DEPENDENCYPART_ARC
(12,16),0.0455857 # DEPENDENCYPART_ARC
(12,17),-0.0904441 # DEPENDENCYPART_ARC
(12,18),-0.542425 # DEPENDENCYPART_ARC
(12,19),-0.23972 # DEPENDENCYPART_ARC
(12,20),3.93885 # DEPENDENCYPART_ARC
(13,1),-1.38974 # DEPENDENCYPART_ARC
(13,2),-1.55313 # DEPENDENCYPART_ARC
(13,3),-0.940991 # DEPENDENCYPART_ARC
(13,4),-0.650944 # DEPENDENCYPART_ARC
(13,5),-0.578189 # DEPENDENCYPART_ARC
(13,6),-0.93756 # DEPENDENCYPART_ARC
(13,7),-0.144161 # DEPENDENCYPART_ARC
(13,8),-0.142619 # DEPENDENCYPART_ARC
(13,9),0.041848 # DEPENDENCYPART_ARC
(13,10),-0.13998 # DEPENDENCYPART_ARC
(13,11),0.200593 # DEPENDENCYPART_ARC
(13,12),0.701366 # DEPENDENCYPART_ARC
(13,14),3.97108 # DEPENDENCYPART_ARC
(13,15),1.50456 # DEPENDENCYPART_ARC
(13,16),0.294824 # DEPENDENCYPART_ARC
(13,17),0.0247321 # DEPENDENCYPART_ARC
(13,18),0.290641 # DEPENDENCYPART_ARC
(13,19),0.720077 # DEPENDENCYPART_ARC
(13,20),0.359893 # DEPENDENCYPART_ARC
(14,1),-1.67274 # DEPENDENCYPART_ARC
(14,2),-1.60053 # DEPENDENCYPART_ARC
(14,3),-1.49264 # DEPENDENCYPART_ARC
(14,4),-0.457601 # DEPENDENCYPART_ARC
(14,5),-1.26009 # DEPENDENCYPART_ARC
(14,6),-0.377154 # DEPENDENCYPART_ARC
(14,7),0.00160523 # DEPENDENCYPART_ARC
(14,8),-0.638974 # DEPENDENCYPART_ARC
(14,9),-0.790195 # DEPENDENCYPART_ARC
(14,10),-0.375108 # DEPENDENCYPART_ARC
(14,11),0.247044 # DEPENDENCYPART_ARC
(14,12),0.0963313 # DEPENDENCYPART_ARC
(14,13),0.75902 # DEPENDENCYPART_ARC
(14,15),4.20018 # DEPENDENCYPART_ARC
(14,16),0.583025 # DEPENDENCYPART_ARC
(14,17),-0.0683849 # DEPENDENCYPART_ARC
(14,18),-0.241681 # DEPENDENCYPART_ARC
(14,19),0.374547 # DEPENDENCYPART_ARC
(14,20),0.135246 # DEPENDENCYPART_ARC
(15,1),-1.11529 # DEPENDENCYPART_ARC
(15,2),-1.19595 # DEPENDENCYPART_ARC
(15,3),-1.09739 # DEPENDENCYPART_ARC
(15,4),-0.616788 # DEPENDENCYPART_ARC
(15,5),-1.23012 # DEPENDENCYPART_ARC
(15,6),-0.656237 # DEPENDENCYPART_ARC
(15,7),-0.457722 # DEPENDENCYPART_ARC
(15,8),-0.47162 # DEPENDENCYPART_ARC
(15,9),-0.455956 # DEPENDENCYPART_ARC
(15,10),-0.528055 # DEPENDENCYPART_ARC
(15,11),0.178165 # DEPENDENCYPART_ARC
(15,12),-0.0342196 # DEPENDENCYPART_ARC
(15,13),0.246165 # DEPENDENCYPART_ARC
(15,14),0.999464 # DEPENDENCYPART_ARC
(15,16),1.4847 # DEPENDENCYPART_ARC
(15,17),1.18939 # DEPENDENCYPART_ARC
(15,18),2.44761 # DEPENDENCYPART_ARC
(15,19),2.52036 # DEPENDENCYPART_ARC
(15,20),-0.108093 # DEPENDENCYPART_ARC
(16,1),-2.9793 # DEPENDENCYPART_ARC
(16,2),-2.91382 # DEPENDENCYPART_ARC
(16,3),-2.48234 # DEPENDENCYPART_ARC
(16,4),-2.07746 # DEPENDENCYPART_ARC
(16,5),-2.0557 # DEPENDENCYPART_ARC
(16,6),-1.74473 # DEPENDENCYPART_ARC
(16,7),-1.19315 # DEPENDENCYPART_ARC
(16,8),-1.65738 # DEPENDENCYPART_ARC
(16,9),-1.94685 # DEPENDENCYPART_ARC
(16,10),-1.82947 # DEPENDENCYPART_ARC
(16,11),-1.16857 # DEPENDENCYPART_ARC
(16,12),-1.38915 # DEPENDENCYPART_ARC
(16,13),-0.72932 # DEPENDENCYPART_ARC
(16,14),-0.524682 # DEPENDENCYPART_ARC
(16,15),0.810436 # DEPENDENCYPART_ARC
(16,17),1.52392 # DEPENDENCYPART_ARC
(16,18),1.01815 # DEPENDENCYPART_ARC
(16,19),0.707938 # DEPENDENCYPART_ARC
(16,20),0.537008 # DEPENDENCYPART_ARC
(17,1),-2.69894 # DEPENDENCYPART_ARC
(17,2),-2.77382 # DEPENDENCYPART_ARC
(17,3),-2.94896 # DEPENDENCYPART_ARC
(17,4),-2.31013 # DEPENDENCYPART_ARC
(17,5),-2.46331 # DEPENDENCYPART_ARC
(17,6),-1.94005 # DEPENDENCYPART_ARC
(17,7),-0.701859 # DEPENDENCYPART_ARC
(17,8),-1.90785 # DEPENDENCYPART_ARC
(17,9),-1.86431 # DEPENDENCYPART_ARC
(17,10),-1.97779 # DEPENDENCYPART_ARC
(17,11),-1.45899 # DEPENDENCYPART_ARC
(17,12),-1.92089 # DEPENDENCYPART_ARC
(17,13),-1.15905 # DEPENDENCYPART_ARC
(17,14),-0.310684 # DEPENDENCYPART_ARC
(17,15),-0.215695 # DEPENDENCYPART_ARC
(17,16),1.15172 # DEPENDENCYPART_ARC
(17,18),0.907527 # DEPENDENCYPART_ARC
(17,19),0.355217 # DEPENDENCYPART_ARC
(17,20),-0.576941 # DEPENDENCYPART_ARC
(18,1),-6.16852 # DEPENDENCYPART_ARC
(18,2),-6.4103 # DEPENDENCYPART_ARC
(18,3),-4.45259 # DEPENDENCYPART_ARC
(18,4),-3.98842 # DEPENDENCYPART_ARC
(18,5),-4.06972 # DEPENDENCYPART_ARC
(18,6),-2.53192 # DEPENDENCYPART_ARC
(18,7),-2.73343 # DEPENDENCYPART_ARC
(18,8),-0.700367 # DEPENDENCYPART_ARC
(18,9),-3.10615 # DEPENDENCYPART_ARC
(18,10),-4.5406 # DEPENDENCYPART_ARC
(18,11),-2.59854 # DEPENDENCYPART_ARC
(18,12),-2.38982 # DEPENDENCYPART_ARC
(18,13),-1.33898 # DEPENDENCYPART_ARC
(18,14),-1.88326 # DEPENDENCYPART_ARC
(18,15),-1.1213 # DEPENDENCYPART_ARC
(18,16),1.5605 # DEPENDENCYPART_ARC
(18,17),2.33729 # DEPENDENCYPART_ARC
(18,19),1.15615 # DEPENDENCYPART_ARC
(18,20),-0.411713 # DEPENDENCYPART_ARC
(19,1),-2.35121 # DEPENDENCYPART_ARC
(19,2),-2.79362 # DEPENDENCYPART_ARC
(19,3),-2.89963 # DEPENDENCYPART_ARC
(19,4),-0.754602 # DEPENDENCYPART_ARC
(19,5),-1.24691 # DEPENDENCYPART_ARC
(19,6),-0.894561 # DEPENDENCYPART_ARC
(19,7),-1.30022 # DEPENDENCYPART_ARC
(19,8),0.49442 # DEPENDENCYPART_ARC
(19,9),0.680354 # DEPENDENCYPART_ARC
(19,10),-1.61326 # DEPENDENCYPART_ARC
(19,11),-0.187165 # DEPENDENCYPART_ARC
(19,12),-0.224466 # DEPENDENCYPART_ARC
(19,13),0.336747 # DEPENDENCYPART_ARC
(19,14),0.341669 # DEPENDENCYPART_ARC
(19,15),1.00659 # DEPENDENCYPART_ARC
(19,16),4.05497 # DEPENDENCYPART_ARC
(19,17),4.49049 # DEPENDENCYPART_ARC
(19,18),5.04571 # DEPENDENCYPART_ARC
(19,20),0.47871 # DEPENDENCYPART_ARC
(20,1),-2.36979 # DEPENDENCYPART_ARC
(20,2),-2.39429 # DEPENDENCYPART_ARC
(20,3),-2.68132 # DEPENDENCYPART_ARC
(20,4),-1.13496 # DEPENDENCYPART_ARC
(20,5),-2.19865 # DEPENDENCYPART_ARC
(20,6),-3.09179 # DEPENDENCYPART_ARC
(20,7),-2.22214 # DEPENDENCYPART_ARC
(20,8),-1.47573 # DEPENDENCYPART_ARC
(20,9),-1.96657 # DEPENDENCYPART_ARC
(20,10),-1.9063 # DEPENDENCYPART_ARC
(20,11),-0.805057 # DEPENDENCYPART_ARC
(20,12),-1.6835 # DEPENDENCYPART_ARC
(20,13),-1.13118 # DEPENDENCYPART_ARC
(20,14),-1.53133 # DEPENDENCYPART_ARC
(20,15),-1.85888 # DEPENDENCYPART_ARC
(20,16),-1.09023 # DEPENDENCYPART_ARC
(20,17),-1.33822 # DEPENDENCYPART_ARC
(20,18),-1.89763 # DEPENDENCYPART_ARC
(20,19),-1.76859 # DEPENDENCYPART_ARC
