# _root_ Gitano Group Inc. said it agreed to buy 50 % of Regatta Sport Ltd. , a closely held apparel maker , with the assumption of $ 3 million of contingent debt .
#goldHeads=2,4,2,0,6,4,6,7,10,8,10,13,11,13,13,20,18,20,20,13,13,8,24,22,24,25,26,26,26,31,29,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,8,10,13,11,13,13,20,18,20,20,13,13,20,24,22,24,25,26,26,26,31,29,4,
(4,13),-1.85366 # DEPENDENCYPART_ARC
(4,14),-1.57181 # DEPENDENCYPART_ARC
(4,15),0.252459 # DEPENDENCYPART_ARC
(4,16),-2.29268 # DEPENDENCYPART_ARC
(4,17),-1.0883 # DEPENDENCYPART_ARC
(4,18),-1.16955 # DEPENDENCYPART_ARC
(4,19),-3.01103 # DEPENDENCYPART_ARC
(4,20),-2.28406 # DEPENDENCYPART_ARC
(4,21),0.340483 # DEPENDENCYPART_ARC
(4,22),-1.9642 # DEPENDENCYPART_ARC
(4,23),-3.21693 # DEPENDENCYPART_ARC
(4,24),-3.4987 # DEPENDENCYPART_ARC
(4,25),-2.79591 # DEPENDENCYPART_ARC
(4,26),-2.88228 # DEPENDENCYPART_ARC
(4,27),-2.19396 # DEPENDENCYPART_ARC
(4,28),-1.99668 # DEPENDENCYPART_ARC
(4,29),-3.75162 # DEPENDENCYPART_ARC
(4,30),-3.24284 # DEPENDENCYPART_ARC
(4,31),-3.14119 # DEPENDENCYPART_ARC
(4,32),7.73011 # DEPENDENCYPART_ARC
(5,1),-1.68581 # DEPENDENCYPART_ARC
(5,2),-1.38358 # DEPENDENCYPART_ARC
(5,3),-1.21634 # DEPENDENCYPART_ARC
(5,4),-0.40535 # DEPENDENCYPART_ARC
(5,6),0.688829 # DEPENDENCYPART_ARC
(5,7),0.55201 # DEPENDENCYPART_ARC
(5,8),-1.1384 # DEPENDENCYPART_ARC
(5,9),-1.188 # DEPENDENCYPART_ARC
(5,10),-1.15393 # DEPENDENCYPART_ARC
(5,11),-0.865059 # DEPENDENCYPART_ARC
(5,12),-1.3011 # DEPENDENCYPART_ARC
(5,13),-1.40298 # DEPENDENCYPART_ARC
(5,14),-1.46509 # DEPENDENCYPART_ARC
(5,15),-1.10811 # DEPENDENCYPART_ARC
(5,16),-1.6289 # DEPENDENCYPART_ARC
(5,17),-1.84412 # DEPENDENCYPART_ARC
(5,18),-2.21927 # DEPENDENCYPART_ARC
(5,19),-1.81419 # DEPENDENCYPART_ARC
(5,20),-1.76441 # DEPENDENCYPART_ARC
(5,21),-1.97492 # DEPENDENCYPART_ARC
(5,22),-2.06583 # DEPENDENCYPART_ARC
(5,23),-2.32744 # DEPENDENCYPART_ARC
(5,24),-2.15657 # DEPENDENCYPART_ARC
(5,25),-2.8561 # DEPENDENCYPART_ARC
(5,26),-3.26076 # DEPENDENCYPART_ARC
(5,27),-3.34132 # DEPENDENCYPART_ARC
(5,28),-3.4594 # DEPENDENCYPART_ARC
(5,29),-3.44487 # DEPENDENCYPART_ARC
(5,30),-3.74144 # DEPENDENCYPART_ARC
(5,31),-2.58418 # DEPENDENCYPART_ARC
(5,32),-2.50278 # DEPENDENCYPART_ARC
(6,1),-0.86577 # DEPENDENCYPART_ARC
(6,2),-0.57962 # DEPENDENCYPART_ARC
(6,3),-0.957968 # DEPENDENCYPART_ARC
(6,4),0.351668 # DEPENDENCYPART_ARC
(6,5),3.72244 # DEPENDENCYPART_ARC
(6,7),4.47183 # DEPENDENCYPART_ARC
(6,8),1.5559 # DEPENDENCYPART_ARC
(6,9),-0.0354008 # DEPENDENCYPART_ARC
(6,10),0.557185 # DEPENDENCYPART_ARC
(6,11),0.180344 # DEPENDENCYPART_ARC
(6,12),-0.867688 # DEPENDENCYPART_ARC
(6,13),-0.686243 # DEPENDENCYPART_ARC
(6,14),-0.430896 # DEPENDENCYPART_ARC
(6,15),1.19897 # DEPENDENCYPART_ARC
(6,16),-1.39282 # DEPENDENCYPART_ARC
(6,17),-0.147251 # DEPENDENCYPART_ARC
(6,18),-0.447869 # DEPENDENCYPART_ARC
(6,19),-1.12684 # DEPENDENCYPART_ARC
(6,20),-0.795866 # DEPENDENCYPART_ARC
(6,21),0.903767 # DEPENDENCYPART_ARC
(6,22),0.500593 # DEPENDENCYPART_ARC
(6,23),-2.30792 # DEPENDENCYPART_ARC
(6,24),-2.48089 # DEPENDENCYPART_ARC
(6,25),-1.9006 # DEPENDENCYPART_ARC
(6,26),-1.61307 # DEPENDENCYPART_ARC
(6,27),-1.53796 # DEPENDENCYPART_ARC
(6,28),-1.5133 # DEPENDENCYPART_ARC
(6,29),-3.0529 # DEPENDENCYPART_ARC
(6,30),-2.06077 # DEPENDENCYPART_ARC
(6,31),-3.41739 # DEPENDENCYPART_ARC
(6,32),4.96219 # DEPENDENCYPART_ARC
(7,1),-0.452444 # DEPENDENCYPART_ARC
(7,2),-0.464611 # DEPENDENCYPART_ARC
(7,3),-0.206184 # DEPENDENCYPART_ARC
(7,4),0.260564 # DEPENDENCYPART_ARC
(7,5),0.5651 # DEPENDENCYPART_ARC
(7,6),1.22327 # DEPENDENCYPART_ARC
(7,8),3.47983 # DEPENDENCYPART_ARC
(7,9),0.997802 # DEPENDENCYPART_ARC
(7,10),1.02797 # DEPENDENCYPART_ARC
(7,11),0.634347 # DEPENDENCYPART_ARC
(7,12),-0.903702 # DEPENDENCYPART_ARC
(7,13),-1.34759 # DEPENDENCYPART_ARC
(7,14),-1.53862 # DEPENDENCYPART_ARC
(7,15),0.66211 # DEPENDENCYPART_ARC
(7,16),-1.1094 # DEPENDENCYPART_ARC
(7,17),-0.43223 # DEPENDENCYPART_ARC
(7,18),-0.649183 # DEPENDENCYPART_ARC
(7,19),-3.40713 # DEPENDENCYPART_ARC
(7,20),-2.95771 # DEPENDENCYPART_ARC
(7,21),0.639834 # DEPENDENCYPART_ARC
(7,22),-1.07265 # DEPENDENCYPART_ARC
(7,23),-2.50227 # DEPENDENCYPART_ARC
(7,24),-5.72033 # DEPENDENCYPART_ARC
(7,25),-2.22849 # DEPENDENCYPART_ARC
(7,26),-4.36428 # DEPENDENCYPART_ARC
(7,27),-2.99588 # DEPENDENCYPART_ARC
(7,28),-3.25835 # DEPENDENCYPART_ARC
(7,29),-2.78049 # DEPENDENCYPART_ARC
(7,30),-2.45662 # DEPENDENCYPART_ARC
(7,31),-8.43379 # DEPENDENCYPART_ARC
(7,32),0.612611 # DEPENDENCYPART_ARC
(8,1),-0.466854 # DEPENDENCYPART_ARC
(8,2),-0.580143 # DEPENDENCYPART_ARC
(8,3),-0.53362 # DEPENDENCYPART_ARC
(8,4),-0.442371 # DEPENDENCYPART_ARC
(8,5),0.0291807 # DEPENDENCYPART_ARC
(8,6),-0.0886013 # DEPENDENCYPART_ARC
(8,7),1.17341 # DEPENDENCYPART_ARC
(8,9),1.39115 # DEPENDENCYPART_ARC
(8,10),3.35704 # DEPENDENCYPART_ARC
(8,11),1.11579 # DEPENDENCYPART_ARC
(8,12),0.728338 # DEPENDENCYPART_ARC
(8,13),0.989076 # DEPENDENCYPART_ARC
(8,14),0.63443 # DEPENDENCYPART_ARC
(8,15),1.28777 # DEPENDENCYPART_ARC
(8,16),-0.952447 # DEPENDENCYPART_ARC
(8,17),0.243984 # DEPENDENCYPART_ARC
(8,18),-0.573786 # DEPENDENCYPART_ARC
(8,19),-0.690828 # DEPENDENCYPART_ARC
(8,20),-0.343923 # DEPENDENCYPART_ARC
(8,21),1.15006 # DEPENDENCYPART_ARC
(8,22),0.83209 # DEPENDENCYPART_ARC
(8,23),-1.9823 # DEPENDENCYPART_ARC
(8,24),-2.42667 # DEPENDENCYPART_ARC
(8,25),-1.05218 # DEPENDENCYPART_ARC
(8,26),-1.59281 # DEPENDENCYPART_ARC
(8,27),-1.50943 # DEPENDENCYPART_ARC
(8,28),-0.532799 # DEPENDENCYPART_ARC
(8,29),-2.78993 # DEPENDENCYPART_ARC
(8,30),-1.62477 # DEPENDENCYPART_ARC
(8,31),-4.03264 # DEPENDENCYPART_ARC
(8,32),-0.44844 # DEPENDENCYPART_ARC
(9,1),-1.17078 # DEPENDENCYPART_ARC
(9,2),-1.02815 # DEPENDENCYPART_ARC
(9,3),-0.867559 # DEPENDENCYPART_ARC
(9,4),-0.972659 # DEPENDENCYPART_ARC
(9,5),-0.841591 # DEPENDENCYPART_ARC
(9,6),-0.36357 # DEPENDENCYPART_ARC
(9,7),0.812752 # DEPENDENCYPART_ARC
(9,8),1.57588 # DEPENDENCYPART_ARC
(9,10),1.2695 # DEPENDENCYPART_ARC
(9,11),0.348181 # DEPENDENCYPART_ARC
(9,12),-0.277693 # DEPENDENCYPART_ARC
(9,13),-0.452658 # DEPENDENCYPART_ARC
(9,14),-0.612828 # DEPENDENCYPART_ARC
(9,15),-0.264958 # DEPENDENCYPART_ARC
(9,16),-1.11451 # DEPENDENCYPART_ARC
(9,17),-1.01718 # DEPENDENCYPART_ARC
(9,18),-0.825969 # DEPENDENCYPART_ARC
(9,19),-0.838553 # DEPENDENCYPART_ARC
(9,20),-1.48482 # DEPENDENCYPART_ARC
(9,21),-0.839941 # DEPENDENCYPART_ARC
(9,22),-1.47514 # DEPENDENCYPART_ARC
(9,23),-2.11416 # DEPENDENCYPART_ARC
(9,24),-1.97704 # DEPENDENCYPART_ARC
(9,25),-2.99489 # DEPENDENCYPART_ARC
(9,26),-1.14664 # DEPENDENCYPART_ARC
(9,27),-1.91686 # DEPENDENCYPART_ARC
(9,28),-1.73246 # DEPENDENCYPART_ARC
(9,29),-3.4808 # DEPENDENCYPART_ARC
(9,30),-2.61501 # DEPENDENCYPART_ARC
(9,31),-2.9349 # DEPENDENCYPART_ARC
(9,32),-1.49339 # DEPENDENCYPART_ARC
(10,1),-3.48469 # DEPENDENCYPART_ARC
(10,2),-3.43315 # DEPENDENCYPART_ARC
(10,3),-3.66488 # DEPENDENCYPART_ARC
(10,4),-1.05415 # DEPENDENCYPART_ARC
(10,5),-0.111004 # DEPENDENCYPART_ARC
(10,6),-0.197594 # DEPENDENCYPART_ARC
(10,7),0.368163 # DEPENDENCYPART_ARC
(10,8),0.777858 # DEPENDENCYPART_ARC
(10,9),3.89942 # DEPENDENCYPART_ARC
(10,11),3.34877 # DEPENDENCYPART_ARC
(10,12),0.0222114 # DEPENDENCYPART_ARC
(10,13),0.150337 # DEPENDENCYPART_ARC
(10,14),0.378638 # DEPENDENCYPART_ARC
(10,15),1.14403 # DEPENDENCYPART_ARC
(10,16),-0.386642 # DEPENDENCYPART_ARC
(10,17),-0.197125 # DEPENDENCYPART_ARC
(10,18),-0.248714 # DEPENDENCYPART_ARC
(10,19),0.21495 # DEPENDENCYPART_ARC
(10,20),-0.36983 # DEPENDENCYPART_ARC
(10,21),0.966629 # DEPENDENCYPART_ARC
(10,22),-0.81007 # DEPENDENCYPART_ARC
(10,23),-1.2572 # DEPENDENCYPART_ARC
(10,24),-0.700589 # DEPENDENCYPART_ARC
(10,25),-2.59138 # DEPENDENCYPART_ARC
(10,26),-1.90443 # DEPENDENCYPART_ARC
(10,27),-1.18648 # DEPENDENCYPART_ARC
(10,28),-1.82026 # DEPENDENCYPART_ARC
(10,29),-4.30747 # DEPENDENCYPART_ARC
(10,30),-1.43247 # DEPENDENCYPART_ARC
(10,31),-1.64406 # DEPENDENCYPART_ARC
(10,32),-0.0293207 # DEPENDENCYPART_ARC
(11,1),-1.48893 # DEPENDENCYPART_ARC
(11,2),-1.42163 # DEPENDENCYPART_ARC
(11,3),-1.55489 # DEPENDENCYPART_ARC
(11,4),-1.68791 # DEPENDENCYPART_ARC
(11,5),-1.50104 # DEPENDENCYPART_ARC
(11,6),-1.5286 # DEPENDENCYPART_ARC
(11,7),-1.09065 # DEPENDENCYPART_ARC
(11,8),-0.640894 # DEPENDENCYPART_ARC
(11,9),-0.67237 # DEPENDENCYPART_ARC
(11,10),0.237543 # DEPENDENCYPART_ARC
(11,12),2.84964 # DEPENDENCYPART_ARC
(11,13),2.85802 # DEPENDENCYPART_ARC
(11,14),1.90539 # DEPENDENCYPART_ARC
(11,15),0.47321 # DEPENDENCYPART_ARC
(11,16),-1.84952 # DEPENDENCYPART_ARC
(11,17),-0.743889 # DEPENDENCYPART_ARC
(11,18),-1.2785 # DEPENDENCYPART_ARC
(11,19),-1.44935 # DEPENDENCYPART_ARC
(11,20),1.11986 # DEPENDENCYPART_ARC
(11,21),0.533619 # DEPENDENCYPART_ARC
(11,22),-1.49339 # DEPENDENCYPART_ARC
(11,23),-2.97353 # DEPENDENCYPART_ARC
(11,24),-4.38891 # DEPENDENCYPART_ARC
(11,25),-1.71957 # DEPENDENCYPART_ARC
(11,26),-3.39055 # DEPENDENCYPART_ARC
(11,27),-3.51344 # DEPENDENCYPART_ARC
(11,28),-2.70273 # DEPENDENCYPART_ARC
(11,29),-2.64951 # DEPENDENCYPART_ARC
(11,30),-3.58899 # DEPENDENCYPART_ARC
(11,31),-4.90727 # DEPENDENCYPART_ARC
(11,32),-1.92245 # DEPENDENCYPART_ARC
(12,1),-5.27257 # DEPENDENCYPART_ARC
(12,2),-4.69888 # DEPENDENCYPART_ARC
(12,3),-5.24293 # DEPENDENCYPART_ARC
(12,4),-4.05106 # DEPENDENCYPART_ARC
(12,5),-3.60405 # DEPENDENCYPART_ARC
(12,6),-3.61367 # DEPENDENCYPART_ARC
(12,7),-3.32297 # DEPENDENCYPART_ARC
(12,8),-2.40956 # DEPENDENCYPART_ARC
(12,9),-1.30643 # DEPENDENCYPART_ARC
(12,10),-2.41204 # DEPENDENCYPART_ARC
(12,11),-1.08543 # DEPENDENCYPART_ARC
(12,13),1.08742 # DEPENDENCYPART_ARC
(12,14),1.79025 # DEPENDENCYPART_ARC
(12,15),1.17521 # DEPENDENCYPART_ARC
(12,16),-1.48628 # DEPENDENCYPART_ARC
(12,17),-1.73926 # DEPENDENCYPART_ARC
(12,18),-1.58953 # DEPENDENCYPART_ARC
(12,19),-0.807395 # DEPENDENCYPART_ARC
(12,20),0.21519 # DEPENDENCYPART_ARC
(12,21),0.0241218 # DEPENDENCYPART_ARC
(12,22),-2.6427 # DEPENDENCYPART_ARC
(12,23),-2.08863 # DEPENDENCYPART_ARC
(12,24),-2.74822 # DEPENDENCYPART_ARC
(12,25),-3.80911 # DEPENDENCYPART_ARC
(12,26),-3.35252 # DEPENDENCYPART_ARC
(12,27),-3.11718 # DEPENDENCYPART_ARC
(12,28),-3.6358 # DEPENDENCYPART_ARC
(12,29),-4.47623 # DEPENDENCYPART_ARC
(12,30),-3.06465 # DEPENDENCYPART_ARC
(12,31),-4.39512 # DEPENDENCYPART_ARC
(12,32),-0.961069 # DEPENDENCYPART_ARC
(13,1),-2.48603 # DEPENDENCYPART_ARC
(13,2),-2.70689 # DEPENDENCYPART_ARC
(13,3),-2.69146 # DEPENDENCYPART_ARC
(13,4),-1.6996 # DEPENDENCYPART_ARC
(13,5),-1.27682 # DEPENDENCYPART_ARC
(13,6),-1.23231 # DEPENDENCYPART_ARC
(13,7),-1.52705 # DEPENDENCYPART_ARC
(13,8),-0.22086 # DEPENDENCYPART_ARC
(13,9),0.804352 # DEPENDENCYPART_ARC
(13,10),-0.383607 # DEPENDENCYPART_ARC
(13,11),0.384337 # DEPENDENCYPART_ARC
(13,12),4.76335 # DEPENDENCYPART_ARC
(13,14),4.44265 # DEPENDENCYPART_ARC
(13,15),3.45323 # DEPENDENCYPART_ARC
(13,16),0.861555 # DEPENDENCYPART_ARC
(13,17),0.812505 # DEPENDENCYPART_ARC
(13,18),0.8432 # DEPENDENCYPART_ARC
(13,19),1.48187 # DEPENDENCYPART_ARC
(13,20),2.77042 # DEPENDENCYPART_ARC
(13,21),2.47784 # DEPENDENCYPART_ARC
(13,22),-0.235596 # DEPENDENCYPART_ARC
(13,23),0.289435 # DEPENDENCYPART_ARC
(13,24),0.120844 # DEPENDENCYPART_ARC
(13,25),-1.75988 # DEPENDENCYPART_ARC
(13,26),-1.05925 # DEPENDENCYPART_ARC
(13,27),-0.798769 # DEPENDENCYPART_ARC
(13,28),-1.33196 # DEPENDENCYPART_ARC
(13,29),-2.18304 # DEPENDENCYPART_ARC
(13,30),-0.785437 # DEPENDENCYPART_ARC
(13,31),-1.82678 # DEPENDENCYPART_ARC
(13,32),1.72516 # DEPENDENCYPART_ARC
(14,1),-3.89709 # DEPENDENCYPART_ARC
(14,2),-4.06808 # DEPENDENCYPART_ARC
(14,3),-4.55788 # DEPENDENCYPART_ARC
(14,4),-2.38465 # DEPENDENCYPART_ARC
(14,5),-1.82823 # DEPENDENCYPART_ARC
(14,6),-1.89451 # DEPENDENCYPART_ARC
(14,7),-2.21669 # DEPENDENCYPART_ARC
(14,8),-1.30361 # DEPENDENCYPART_ARC
(14,9),0.0661406 # DEPENDENCYPART_ARC
(14,10),-1.19333 # DEPENDENCYPART_ARC
(14,11),-0.529179 # DEPENDENCYPART_ARC
(14,12),2.65106 # DEPENDENCYPART_ARC
(14,13),2.09249 # DEPENDENCYPART_ARC
(14,15),1.65796 # DEPENDENCYPART_ARC
(14,16),-0.348665 # DEPENDENCYPART_ARC
(14,17),-0.229013 # DEPENDENCYPART_ARC
(14,18),-0.144354 # DEPENDENCYPART_ARC
(14,19),-0.270046 # DEPENDENCYPART_ARC
(14,20),1.09428 # DEPENDENCYPART_ARC
(14,21),0.774738 # DEPENDENCYPART_ARC
(14,22),-0.710424 # DEPENDENCYPART_ARC
(14,23),-1.09694 # DEPENDENCYPART_ARC
(14,24),-1.41292 # DEPENDENCYPART_ARC
(14,25),-3.04134 # DEPENDENCYPART_ARC
(14,26),-2.45868 # DEPENDENCYPART_ARC
(14,27),-2.22456 # DEPENDENCYPART_ARC
(14,28),-2.92608 # DEPENDENCYPART_ARC
(14,29),-3.55476 # DEPENDENCYPART_ARC
(14,30),-2.025 # DEPENDENCYPART_ARC
(14,31),-3.80279 # DEPENDENCYPART_ARC
(14,32),0.410813 # DEPENDENCYPART_ARC
(15,1),-2.78742 # DEPENDENCYPART_ARC
(15,2),-2.65927 # DEPENDENCYPART_ARC
(15,3),-2.58845 # DEPENDENCYPART_ARC
(15,4),-1.79924 # DEPENDENCYPART_ARC
(15,5),-2.13672 # DEPENDENCYPART_ARC
(15,6),-1.63348 # DEPENDENCYPART_ARC
(15,7),-1.25216 # DEPENDENCYPART_ARC
(15,8),-1.61768 # DEPENDENCYPART_ARC
(15,9),-1.5321 # DEPENDENCYPART_ARC
(15,10),-1.09989 # DEPENDENCYPART_ARC
(15,11),-1.23118 # DEPENDENCYPART_ARC
(15,12),-1.29083 # DEPENDENCYPART_ARC
(15,13),-1.435 # DEPENDENCYPART_ARC
(15,14),-0.84397 # DEPENDENCYPART_ARC
(15,16),-0.50829 # DEPENDENCYPART_ARC
(15,17),-1.12115 # DEPENDENCYPART_ARC
(15,18),-1.21349 # DEPENDENCYPART_ARC
(15,19),-1.81984 # DEPENDENCYPART_ARC
(15,20),-1.99183 # DEPENDENCYPART_ARC
(15,21),0.148609 # DEPENDENCYPART_ARC
(15,22),-1.50929 # DEPENDENCYPART_ARC
(15,23),-2.16962 # DEPENDENCYPART_ARC
(15,24),-2.8236 # DEPENDENCYPART_ARC
(15,25),-1.6091 # DEPENDENCYPART_ARC
(15,26),-2.74121 # DEPENDENCYPART_ARC
(15,27),-2.91703 # DEPENDENCYPART_ARC
(15,28),-3.00497 # DEPENDENCYPART_ARC
(15,29),-2.02216 # DEPENDENCYPART_ARC
(15,30),-2.98371 # DEPENDENCYPART_ARC
(15,31),-3.47006 # DEPENDENCYPART_ARC
(15,32),-2.40211 # DEPENDENCYPART_ARC
(16,1),-2.45043 # DEPENDENCYPART_ARC
(16,2),-2.4559 # DEPENDENCYPART_ARC
(16,3),-2.39764 # DEPENDENCYPART_ARC
(16,4),-2.37188 # DEPENDENCYPART_ARC
(16,5),-2.13814 # DEPENDENCYPART_ARC
(16,6),-2.12772 # DEPENDENCYPART_ARC
(16,7),-2.051 # DEPENDENCYPART_ARC
(16,8),-1.74909 # DEPENDENCYPART_ARC
(16,9),-1.64448 # DEPENDENCYPART_ARC
