# _root_ The Tokyo Stock Exchange index for the second section fell 100.96 , or 2.7 % , to 3655.40 .
#goldHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
#predictedHeads=5,5,5,5,10,5,9,9,6,0,10,11,11,15,13,11,10,17,10,
(1,18),-3.17778 # DEPENDENCYPART_ARC
(1,19),-2.47338 # DEPENDENCYPART_ARC
(2,1),1.3524 # DEPENDENCYPART_ARC
(2,3),0.298926 # DEPENDENCYPART_ARC
(2,4),-0.137542 # DEPENDENCYPART_ARC
(2,5),-0.797535 # DEPENDENCYPART_ARC
(2,6),-1.52798 # DEPENDENCYPART_ARC
(2,7),-1.08227 # DEPENDENCYPART_ARC
(2,8),-1.50626 # DEPENDENCYPART_ARC
(2,9),-1.82242 # DEPENDENCYPART_ARC
(2,10),-1.67798 # DEPENDENCYPART_ARC
(2,11),-2.19147 # DEPENDENCYPART_ARC
(2,12),-1.20923 # DEPENDENCYPART_ARC
(2,13),-2.41577 # DEPENDENCYPART_ARC
(2,14),-3.48566 # DEPENDENCYPART_ARC
(2,15),-4.22583 # DEPENDENCYPART_ARC
(2,16),-1.64564 # DEPENDENCYPART_ARC
(2,17),-3.02561 # DEPENDENCYPART_ARC
(2,18),-3.616 # DEPENDENCYPART_ARC
(2,19),-1.17666 # DEPENDENCYPART_ARC
(3,1),0.659592 # DEPENDENCYPART_ARC
(3,2),0.49398 # DEPENDENCYPART_ARC
(3,4),-0.859143 # DEPENDENCYPART_ARC
(3,5),-1.03214 # DEPENDENCYPART_ARC
(3,6),-2.96879 # DEPENDENCYPART_ARC
(3,7),-2.40037 # DEPENDENCYPART_ARC
(3,8),-2.75182 # DEPENDENCYPART_ARC
(3,9),-2.88183 # DEPENDENCYPART_ARC
(3,10),-2.52192 # DEPENDENCYPART_ARC
(3,11),-3.18039 # DEPENDENCYPART_ARC
(3,12),-1.48085 # DEPENDENCYPART_ARC
(3,13),-3.20576 # DEPENDENCYPART_ARC
(3,14),-4.46505 # DEPENDENCYPART_ARC
(3,15),-5.02964 # DEPENDENCYPART_ARC
(3,16),-1.3769 # DEPENDENCYPART_ARC
(3,17),-4.51121 # DEPENDENCYPART_ARC
(3,18),-4.524 # DEPENDENCYPART_ARC
(3,19),-2.0435 # DEPENDENCYPART_ARC
(4,1),2.27142 # DEPENDENCYPART_ARC
(4,2),2.24613 # DEPENDENCYPART_ARC
(4,3),2.29686 # DEPENDENCYPART_ARC
(4,5),0.48361 # DEPENDENCYPART_ARC
(4,6),-0.0100608 # DEPENDENCYPART_ARC
(4,7),-1.05907 # DEPENDENCYPART_ARC
(4,8),-1.25848 # DEPENDENCYPART_ARC
(4,9),-1.48279 # DEPENDENCYPART_ARC
(4,10),-1.18018 # DEPENDENCYPART_ARC
(4,11),-1.87357 # DEPENDENCYPART_ARC
(4,12),-0.975289 # DEPENDENCYPART_ARC
(4,13),-2.0319 # DEPENDENCYPART_ARC
(4,14),-3.13152 # DEPENDENCYPART_ARC
(4,15),-3.59577 # DEPENDENCYPART_ARC
(4,16),-0.999308 # DEPENDENCYPART_ARC
(4,17),-3.08916 # DEPENDENCYPART_ARC
(4,18),-3.28953 # DEPENDENCYPART_ARC
(4,19),-1.19649 # DEPENDENCYPART_ARC
(5,1),5.20228 # DEPENDENCYPART_ARC
(5,2),5.17899 # DEPENDENCYPART_ARC
(5,3),4.9071 # DEPENDENCYPART_ARC
(5,4),4.8802 # DEPENDENCYPART_ARC
(5,6),1.83817 # DEPENDENCYPART_ARC
(5,7),-0.270724 # DEPENDENCYPART_ARC
(5,8),0.194893 # DEPENDENCYPART_ARC
(5,9),0.370126 # DEPENDENCYPART_ARC
(5,10),0.395438 # DEPENDENCYPART_ARC
(5,11),-0.564413 # DEPENDENCYPART_ARC
(5,12),0.260366 # DEPENDENCYPART_ARC
(5,13),0.199313 # DEPENDENCYPART_ARC
(5,14),-1.00327 # DEPENDENCYPART_ARC
(5,15),-1.8283 # DEPENDENCYPART_ARC
(5,16),-0.212897 # DEPENDENCYPART_ARC
(5,17),-0.823701 # DEPENDENCYPART_ARC
(5,18),-1.59127 # DEPENDENCYPART_ARC
(5,19),0.317635 # DEPENDENCYPART_ARC
(6,1),-0.0308683 # DEPENDENCYPART_ARC
(6,2),-0.483418 # DEPENDENCYPART_ARC
(6,3),-0.350962 # DEPENDENCYPART_ARC
(6,4),-0.420453 # DEPENDENCYPART_ARC
(6,5),0.0245684 # DEPENDENCYPART_ARC
(6,7),0.454003 # DEPENDENCYPART_ARC
(6,8),1.92948 # DEPENDENCYPART_ARC
(6,9),3.99618 # DEPENDENCYPART_ARC
(6,10),0.710922 # DEPENDENCYPART_ARC
(6,11),0.760602 # DEPENDENCYPART_ARC
(6,12),0.720226 # DEPENDENCYPART_ARC
(6,13),-0.22112 # DEPENDENCYPART_ARC
(6,14),-1.0644 # DEPENDENCYPART_ARC
(6,15),-0.287171 # DEPENDENCYPART_ARC
(6,16),0.125195 # DEPENDENCYPART_ARC
(6,17),-2.23421 # DEPENDENCYPART_ARC
(6,18),-0.594918 # DEPENDENCYPART_ARC
(6,19),1.02282 # DEPENDENCYPART_ARC
(7,1),-2.31685 # DEPENDENCYPART_ARC
(7,2),-2.78671 # DEPENDENCYPART_ARC
(7,3),-2.56256 # DEPENDENCYPART_ARC
(7,4),-2.21866 # DEPENDENCYPART_ARC
(7,5),-2.43294 # DEPENDENCYPART_ARC
(7,6),-1.5694 # DEPENDENCYPART_ARC
(7,8),-0.00818985 # DEPENDENCYPART_ARC
(7,9),-0.667862 # DEPENDENCYPART_ARC
(7,10),-0.493684 # DEPENDENCYPART_ARC
(7,11),-1.25978 # DEPENDENCYPART_ARC
(7,12),-1.7316 # DEPENDENCYPART_ARC
(7,13),-1.29247 # DEPENDENCYPART_ARC
(7,14),-1.74003 # DEPENDENCYPART_ARC
(7,15),-2.0592 # DEPENDENCYPART_ARC
(7,16),-1.5909 # DEPENDENCYPART_ARC
(7,17),-1.70857 # DEPENDENCYPART_ARC
(7,18),-2.59046 # DEPENDENCYPART_ARC
(7,19),-1.85737 # DEPENDENCYPART_ARC
(8,1),0.15815 # DEPENDENCYPART_ARC
(8,2),-0.119617 # DEPENDENCYPART_ARC
(8,3),-0.84376 # DEPENDENCYPART_ARC
(8,4),-1.08847 # DEPENDENCYPART_ARC
(8,5),-0.477592 # DEPENDENCYPART_ARC
(8,6),-0.0418156 # DEPENDENCYPART_ARC
(8,7),2.48546 # DEPENDENCYPART_ARC
(8,9),1.17904 # DEPENDENCYPART_ARC
(8,10),0.753103 # DEPENDENCYPART_ARC
(8,11),-0.209679 # DEPENDENCYPART_ARC
(8,12),0.0495955 # DEPENDENCYPART_ARC
(8,13),0.0482401 # DEPENDENCYPART_ARC
(8,14),-0.729157 # DEPENDENCYPART_ARC
(8,15),-0.915018 # DEPENDENCYPART_ARC
(8,16),-0.310187 # DEPENDENCYPART_ARC
(8,17),-0.665823 # DEPENDENCYPART_ARC
(8,18),-1.6422 # DEPENDENCYPART_ARC
(8,19),0.069065 # DEPENDENCYPART_ARC
(9,1),0.544784 # DEPENDENCYPART_ARC
(9,2),0.168217 # DEPENDENCYPART_ARC
(9,3),0.0834525 # DEPENDENCYPART_ARC
(9,4),0.389541 # DEPENDENCYPART_ARC
(9,5),-0.58678 # DEPENDENCYPART_ARC
(9,6),0.355104 # DEPENDENCYPART_ARC
(9,7),4.73397 # DEPENDENCYPART_ARC
(9,8),4.4248 # DEPENDENCYPART_ARC
(9,10),1.07452 # DEPENDENCYPART_ARC
(9,11),1.26568 # DEPENDENCYPART_ARC
(9,12),0.937544 # DEPENDENCYPART_ARC
(9,13),0.508953 # DEPENDENCYPART_ARC
(9,14),0.0414085 # DEPENDENCYPART_ARC
(9,15),-0.995375 # DEPENDENCYPART_ARC
(9,16),0.559066 # DEPENDENCYPART_ARC
(9,17),0.032596 # DEPENDENCYPART_ARC
(9,18),-0.48911 # DEPENDENCYPART_ARC
(9,19),0.266508 # DEPENDENCYPART_ARC
(10,1),-1.39702 # DEPENDENCYPART_ARC
(10,2),0.920551 # DEPENDENCYPART_ARC
(10,3),0.963079 # DEPENDENCYPART_ARC
(10,4),1.62961 # DEPENDENCYPART_ARC
(10,5),1.57158 # DEPENDENCYPART_ARC
(10,6),0.273848 # DEPENDENCYPART_ARC
(10,7),0.302776 # DEPENDENCYPART_ARC
(10,8),1.01455 # DEPENDENCYPART_ARC
(10,9),2.30467 # DEPENDENCYPART_ARC
(10,11),2.41704 # DEPENDENCYPART_ARC
(10,12),1.6711 # DEPENDENCYPART_ARC
(10,13),0.392857 # DEPENDENCYPART_ARC
(10,14),-0.111371 # DEPENDENCYPART_ARC
(10,15),1.51097 # DEPENDENCYPART_ARC
(10,16),1.70997 # DEPENDENCYPART_ARC
(10,17),2.72519 # DEPENDENCYPART_ARC
(10,18),-0.584234 # DEPENDENCYPART_ARC
(10,19),4.16855 # DEPENDENCYPART_ARC
(11,1),-0.487374 # DEPENDENCYPART_ARC
(11,2),-1.41875 # DEPENDENCYPART_ARC
(11,3),-1.35693 # DEPENDENCYPART_ARC
(11,4),-1.19292 # DEPENDENCYPART_ARC
(11,5),-1.47243 # DEPENDENCYPART_ARC
(11,6),-1.56341 # DEPENDENCYPART_ARC
(11,7),1.48354 # DEPENDENCYPART_ARC
(11,8),0.686467 # DEPENDENCYPART_ARC
(11,9),-0.175701 # DEPENDENCYPART_ARC
(11,10),0.72495 # DEPENDENCYPART_ARC
(11,12),2.36738 # DEPENDENCYPART_ARC
(11,13),2.12522 # DEPENDENCYPART_ARC
(11,14),0.519298 # DEPENDENCYPART_ARC
(11,15),0.275118 # DEPENDENCYPART_ARC
(11,16),1.94861 # DEPENDENCYPART_ARC
(11,17),0.419917 # DEPENDENCYPART_ARC
(11,18),-0.142947 # DEPENDENCYPART_ARC
(11,19),0.800558 # DEPENDENCYPART_ARC
(12,1),-1.8826 # DEPENDENCYPART_ARC
(12,2),-2.23937 # DEPENDENCYPART_ARC
(12,3),-2.16632 # DEPENDENCYPART_ARC
(12,4),-2.07693 # DEPENDENCYPART_ARC
(12,5),-1.42023 # DEPENDENCYPART_ARC
(12,6),-1.36178 # DEPENDENCYPART_ARC
(12,7),-1.11062 # DEPENDENCYPART_ARC
(12,8),-1.367 # DEPENDENCYPART_ARC
(12,9),-1.05538 # DEPENDENCYPART_ARC
(12,10),-1.20488 # DEPENDENCYPART_ARC
(12,11),-0.415246 # DEPENDENCYPART_ARC
(12,13),0.0571876 # DEPENDENCYPART_ARC
(12,14),-0.473075 # DEPENDENCYPART_ARC
(12,15),-0.944774 # DEPENDENCYPART_ARC
(12,16),0.5401 # DEPENDENCYPART_ARC
(12,17),-1.22063 # DEPENDENCYPART_ARC
(12,18),-1.80898 # DEPENDENCYPART_ARC
(12,19),-0.892918 # DEPENDENCYPART_ARC
(13,1),-2.19743 # DEPENDENCYPART_ARC
(13,2),-1.96062 # DEPENDENCYPART_ARC
(13,3),-1.71605 # DEPENDENCYPART_ARC
(13,4),-1.65327 # DEPENDENCYPART_ARC
(13,5),-1.91837 # DEPENDENCYPART_ARC
(13,6),-1.30362 # DEPENDENCYPART_ARC
(13,7),-1.26804 # DEPENDENCYPART_ARC
(13,8),-1.47131 # DEPENDENCYPART_ARC
(13,9),-1.21947 # DEPENDENCYPART_ARC
(13,10),-0.475345 # DEPENDENCYPART_ARC
(13,11),-1.07018 # DEPENDENCYPART_ARC
(13,12),-0.636365 # DEPENDENCYPART_ARC
(13,14),1.48406 # DEPENDENCYPART_ARC
(13,15),3.33476 # DEPENDENCYPART_ARC
(13,16),0.517363 # DEPENDENCYPART_ARC
(13,17),0.636664 # DEPENDENCYPART_ARC
(13,18),0.379741 # DEPENDENCYPART_ARC
(13,19),0.472673 # DEPENDENCYPART_ARC
(14,1),-1.74747 # DEPENDENCYPART_ARC
(14,2),-2.04886 # DEPENDENCYPART_ARC
(14,3),-2.02369 # DEPENDENCYPART_ARC
(14,4),-1.70286 # DEPENDENCYPART_ARC
(14,5),-2.01565 # DEPENDENCYPART_ARC
(14,6),-1.95472 # DEPENDENCYPART_ARC
(14,7),-0.372108 # DEPENDENCYPART_ARC
(14,8),-0.751133 # DEPENDENCYPART_ARC
(14,9),-1.30114 # DEPENDENCYPART_ARC
(14,10),-1.00532 # DEPENDENCYPART_ARC
(14,11),0.960498 # DEPENDENCYPART_ARC
(14,12),0.938898 # DEPENDENCYPART_ARC
(14,13),0.717917 # DEPENDENCYPART_ARC
(14,15),1.68291 # DEPENDENCYPART_ARC
(14,16),0.0906396 # DEPENDENCYPART_ARC
(14,17),-0.403174 # DEPENDENCYPART_ARC
(14,18),-0.600006 # DEPENDENCYPART_ARC
(14,19),-0.789563 # DEPENDENCYPART_ARC
(15,1),-2.77778 # DEPENDENCYPART_ARC
(15,2),-3.93024 # DEPENDENCYPART_ARC
(15,3),-4.3779 # DEPENDENCYPART_ARC
(15,4),-4.76948 # DEPENDENCYPART_ARC
(15,5),-3.58065 # DEPENDENCYPART_ARC
(15,6),-0.761104 # DEPENDENCYPART_ARC
(15,7),0.930862 # DEPENDENCYPART_ARC
(15,8),0.264204 # DEPENDENCYPART_ARC
(15,9),-1.36097 # DEPENDENCYPART_ARC
(15,10),-0.134091 # DEPENDENCYPART_ARC
(15,11),1.39224 # DEPENDENCYPART_ARC
(15,12),1.61246 # DEPENDENCYPART_ARC
(15,13),1.79455 # DEPENDENCYPART_ARC
(15,14),4.72519 # DEPENDENCYPART_ARC
(15,16),1.48898 # DEPENDENCYPART_ARC
(15,17),0.510449 # DEPENDENCYPART_ARC
(15,18),0.736775 # DEPENDENCYPART_ARC
(15,19),-0.121526 # DEPENDENCYPART_ARC
(16,1),-2.65128 # DEPENDENCYPART_ARC
(16,2),-3.13458 # DEPENDENCYPART_ARC
(16,3),-2.98971 # DEPENDENCYPART_ARC
(16,4),-2.91889 # DEPENDENCYPART_ARC
(16,5),-2.23955 # DEPENDENCYPART_ARC
(16,6),-2.21478 # DEPENDENCYPART_ARC
(16,7),-1.83986 # DEPENDENCYPART_ARC
(16,8),-2.22358 # DEPENDENCYPART_ARC
(16,9),-1.98011 # DEPENDENCYPART_ARC
(16,10),-1.74116 # DEPENDENCYPART_ARC
(16,11),-1.91622 # DEPENDENCYPART_ARC
(16,12),-0.614998 # DEPENDENCYPART_ARC
(16,13),-1.67619 # DEPENDENCYPART_ARC
(16,14),-1.43168 # DEPENDENCYPART_ARC
(16,15),-0.964794 # DEPENDENCYPART_ARC
(16,17),-0.298676 # DEPENDENCYPART_ARC
(16,18),-0.786827 # DEPENDENCYPART_ARC
(16,19),-0.853947 # DEPENDENCYPART_ARC
(17,1),-1.30518 # DEPENDENCYPART_ARC
(17,2),-0.884671 # DEPENDENCYPART_ARC
(17,3),-0.803826 # DEPENDENCYPART_ARC
(17,4),-0.615188 # DEPENDENCYPART_ARC
(17,5),-1.75506 # DEPENDENCYPART_ARC
(17,6),-1.18218 # DEPENDENCYPART_ARC
(17,7),-0.588866 # DEPENDENCYPART_ARC
(17,8),-0.542143 # DEPENDENCYPART_ARC
(17,9),-1.34768 # DEPENDENCYPART_ARC
(17,10),-0.459767 # DEPENDENCYPART_ARC
(17,11),-0.274332 # DEPENDENCYPART_ARC
(17,12),0.312968 # DEPENDENCYPART_ARC
(17,13),-0.0903721 # DEPENDENCYPART_ARC
(17,14),0.645345 # DEPENDENCYPART_ARC
(17,15),-0.251226 # DEPENDENCYPART_ARC
(17,16),1.01056 # DEPENDENCYPART_ARC
(17,18),3.26092 # DEPENDENCYPART_ARC
(17,19),0.860385 # DEPENDENCYPART_ARC
(18,1),-1.53615 # DEPENDENCYPART_ARC
(18,2),-2.38629 # DEPENDENCYPART_ARC
(18,3),-2.30795 # DEPENDENCYPART_ARC
(18,4),-2.20632 # DEPENDENCYPART_ARC
(18,5),-2.24489 # DEPENDENCYPART_ARC
(18,6),-2.05989 # DEPENDENCYPART_ARC
(18,7),-0.15352 # DEPENDENCYPART_ARC
(18,8),-0.376914 # DEPENDENCYPART_ARC
(18,9),-1.74363 # DEPENDENCYPART_ARC
(18,10),-1.25388 # DEPENDENCYPART_ARC
(18,11),-0.235457 # DEPENDENCYPART_ARC
(18,12),0.0229055 # DEPENDENCYPART_ARC
(18,13),-0.302822 # DEPENDENCYPART_ARC
(18,14),0.305478 # DEPENDENCYPART_ARC
(18,15),-0.317779 # DEPENDENCYPART_ARC
(18,16),0.518258 # DEPENDENCYPART_ARC
(18,17),1.27326 # DEPENDENCYPART_ARC
(18,19),0.283549 # DEPENDENCYPART_ARC
(19,1),-2.18886 # DEPENDENCYPART_ARC
(19,2),-2.26133 # DEPENDENCYPART_ARC
(19,3),-2.25387 # DEPENDENCYPART_ARC
(19,4),-2.2046 # DEPENDENCYPART_ARC
(19,5),-2.4429 # DEPENDENCYPART_ARC
(19,6),-2.37447 # DEPENDENCYPART_ARC
(19,7),-1.63103 # DEPENDENCYPART_ARC
(19,8),-1.96311 # DEPENDENCYPART_ARC
(19,9),-2.17458 # DEPENDENCYPART_ARC
(19,10),-1.20052 # DEPENDENCYPART_ARC
(19,11),-1.82836 # DEPENDENCYPART_ARC
(19,12),-0.83004 # DEPENDENCYPART_ARC
(19,13),-0.91507 # DEPENDENCYPART_ARC
(19,14),-1.68557 # DEPENDENCYPART_ARC
(19,15),-1.43212 # DEPENDENCYPART_ARC
(19,16),-0.136863 # DEPENDENCYPART_ARC
(19,17),-1.15182 # DEPENDENCYPART_ARC
(19,18),-1.01365 # DEPENDENCYPART_ARC
