# _root_ Texas Air Corp. , which owns Continental , and the Air Transport Association were prominent in the lobbying .
#goldHeads=2,14,2,2,6,2,6,2,2,13,13,13,9,0,14,15,18,16,14,
#predictedHeads=2,14,2,2,6,2,6,2,6,13,13,13,9,0,14,14,18,16,14,
(10,14),-0.30752 # DEPENDENCYPART_ARC
(10,15),-1.01702 # DEPENDENCYPART_ARC
(10,16),-1.48809 # DEPENDENCYPART_ARC
(10,17),-1.99845 # DEPENDENCYPART_ARC
(10,18),-1.16898 # DEPENDENCYPART_ARC
(10,19),-1.60171 # DEPENDENCYPART_ARC
(11,1),-4.8254 # DEPENDENCYPART_ARC
(11,2),-4.71803 # DEPENDENCYPART_ARC
(11,3),-5.11302 # DEPENDENCYPART_ARC
(11,4),-3.02319 # DEPENDENCYPART_ARC
(11,5),-3.07496 # DEPENDENCYPART_ARC
(11,6),-2.65803 # DEPENDENCYPART_ARC
(11,7),-2.59258 # DEPENDENCYPART_ARC
(11,8),-1.59399 # DEPENDENCYPART_ARC
(11,9),-1.3592 # DEPENDENCYPART_ARC
(11,10),1.40458 # DEPENDENCYPART_ARC
(11,12),0.437705 # DEPENDENCYPART_ARC
(11,13),0.817464 # DEPENDENCYPART_ARC
(11,14),-0.669318 # DEPENDENCYPART_ARC
(11,15),-1.0812 # DEPENDENCYPART_ARC
(11,16),-1.62157 # DEPENDENCYPART_ARC
(11,17),-1.16249 # DEPENDENCYPART_ARC
(11,18),-1.73985 # DEPENDENCYPART_ARC
(11,19),-1.21774 # DEPENDENCYPART_ARC
(12,1),-4.20882 # DEPENDENCYPART_ARC
(12,2),-3.78143 # DEPENDENCYPART_ARC
(12,3),-4.26714 # DEPENDENCYPART_ARC
(12,4),-2.43606 # DEPENDENCYPART_ARC
(12,5),-2.87899 # DEPENDENCYPART_ARC
(12,6),-2.90696 # DEPENDENCYPART_ARC
(12,7),-2.03392 # DEPENDENCYPART_ARC
(12,8),-1.34413 # DEPENDENCYPART_ARC
(12,9),-1.71811 # DEPENDENCYPART_ARC
(12,10),1.7237 # DEPENDENCYPART_ARC
(12,11),2.28945 # DEPENDENCYPART_ARC
(12,13),1.8145 # DEPENDENCYPART_ARC
(12,14),-1.39571 # DEPENDENCYPART_ARC
(12,15),-1.66686 # DEPENDENCYPART_ARC
(12,16),-2.34886 # DEPENDENCYPART_ARC
(12,17),-2.15979 # DEPENDENCYPART_ARC
(12,18),-1.97736 # DEPENDENCYPART_ARC
(12,19),-1.65423 # DEPENDENCYPART_ARC
(13,1),-1.51645 # DEPENDENCYPART_ARC
(13,2),-1.3913 # DEPENDENCYPART_ARC
(13,3),-1.9842 # DEPENDENCYPART_ARC
(13,4),-0.048977 # DEPENDENCYPART_ARC
(13,5),-1.0107 # DEPENDENCYPART_ARC
(13,6),-0.953832 # DEPENDENCYPART_ARC
(13,7),-0.5234 # DEPENDENCYPART_ARC
(13,8),0.898635 # DEPENDENCYPART_ARC
(13,9),0.0474907 # DEPENDENCYPART_ARC
(13,10),4.36549 # DEPENDENCYPART_ARC
(13,11),4.85721 # DEPENDENCYPART_ARC
(13,12),4.61422 # DEPENDENCYPART_ARC
(13,14),0.379323 # DEPENDENCYPART_ARC
(13,15),0.347351 # DEPENDENCYPART_ARC
(13,16),-0.136073 # DEPENDENCYPART_ARC
(13,17),-0.698641 # DEPENDENCYPART_ARC
(13,18),-0.718374 # DEPENDENCYPART_ARC
(13,19),-0.296273 # DEPENDENCYPART_ARC
(14,1),0.837792 # DEPENDENCYPART_ARC
(14,2),0.756441 # DEPENDENCYPART_ARC
(14,3),-0.87057 # DEPENDENCYPART_ARC
(14,4),-0.50135 # DEPENDENCYPART_ARC
(14,5),1.02886 # DEPENDENCYPART_ARC
(14,6),-0.55312 # DEPENDENCYPART_ARC
(14,7),0.583466 # DEPENDENCYPART_ARC
(14,8),-0.178768 # DEPENDENCYPART_ARC
(14,9),-0.367936 # DEPENDENCYPART_ARC
(14,10),-0.157858 # DEPENDENCYPART_ARC
(14,11),1.29433 # DEPENDENCYPART_ARC
(14,12),1.34681 # DEPENDENCYPART_ARC
(14,13),2.03151 # DEPENDENCYPART_ARC
(14,15),3.3338 # DEPENDENCYPART_ARC
(14,16),2.4485 # DEPENDENCYPART_ARC
(14,17),0.135462 # DEPENDENCYPART_ARC
(14,18),1.20347 # DEPENDENCYPART_ARC
(14,19),4.17312 # DEPENDENCYPART_ARC
(15,1),-1.17189 # DEPENDENCYPART_ARC
(15,2),-1.49909 # DEPENDENCYPART_ARC
(15,3),-1.72644 # DEPENDENCYPART_ARC
(15,4),-1.00371 # DEPENDENCYPART_ARC
(15,5),-0.569176 # DEPENDENCYPART_ARC
(15,6),-1.57538 # DEPENDENCYPART_ARC
(15,7),-1.07592 # DEPENDENCYPART_ARC
(15,8),-0.674898 # DEPENDENCYPART_ARC
(15,9),-1.62755 # DEPENDENCYPART_ARC
(15,10),0.917713 # DEPENDENCYPART_ARC
(15,11),0.469753 # DEPENDENCYPART_ARC
(15,12),0.210111 # DEPENDENCYPART_ARC
(15,13),0.282937 # DEPENDENCYPART_ARC
(15,14),0.198966 # DEPENDENCYPART_ARC
(15,16),2.39061 # DEPENDENCYPART_ARC
(15,17),0.529057 # DEPENDENCYPART_ARC
(15,18),1.00351 # DEPENDENCYPART_ARC
(15,19),0.818122 # DEPENDENCYPART_ARC
(16,1),-1.97909 # DEPENDENCYPART_ARC
(16,2),-1.98389 # DEPENDENCYPART_ARC
(16,3),-1.96541 # DEPENDENCYPART_ARC
(16,4),-1.29969 # DEPENDENCYPART_ARC
(16,5),-0.564153 # DEPENDENCYPART_ARC
(16,6),-1.12294 # DEPENDENCYPART_ARC
(16,7),-1.22399 # DEPENDENCYPART_ARC
(16,8),-0.667915 # DEPENDENCYPART_ARC
(16,9),-1.16475 # DEPENDENCYPART_ARC
(16,10),-0.222261 # DEPENDENCYPART_ARC
(16,11),-0.660472 # DEPENDENCYPART_ARC
(16,12),-0.591742 # DEPENDENCYPART_ARC
(16,13),-0.341337 # DEPENDENCYPART_ARC
(16,14),-0.288192 # DEPENDENCYPART_ARC
(16,15),0.40727 # DEPENDENCYPART_ARC
(16,17),1.30688 # DEPENDENCYPART_ARC
(16,18),2.19195 # DEPENDENCYPART_ARC
(16,19),0.971962 # DEPENDENCYPART_ARC
(17,1),-3.79529 # DEPENDENCYPART_ARC
(17,2),-3.68296 # DEPENDENCYPART_ARC
(17,3),-3.61205 # DEPENDENCYPART_ARC
(17,4),-3.1542 # DEPENDENCYPART_ARC
(17,5),-2.44216 # DEPENDENCYPART_ARC
(17,6),-3.1816 # DEPENDENCYPART_ARC
(17,7),-2.99359 # DEPENDENCYPART_ARC
(17,8),-2.79208 # DEPENDENCYPART_ARC
(17,9),-3.236 # DEPENDENCYPART_ARC
(17,10),-1.96995 # DEPENDENCYPART_ARC
(17,11),-2.53158 # DEPENDENCYPART_ARC
(17,12),-2.38376 # DEPENDENCYPART_ARC
(17,13),-2.15225 # DEPENDENCYPART_ARC
(17,14),-1.89022 # DEPENDENCYPART_ARC
(17,15),-1.54503 # DEPENDENCYPART_ARC
(17,16),-0.759523 # DEPENDENCYPART_ARC
(17,18),-0.139243 # DEPENDENCYPART_ARC
(17,19),-1.65104 # DEPENDENCYPART_ARC
(18,1),-0.791738 # DEPENDENCYPART_ARC
(18,2),-0.884693 # DEPENDENCYPART_ARC
(18,3),-0.947928 # DEPENDENCYPART_ARC
(18,4),-1.17048 # DEPENDENCYPART_ARC
(18,5),0.430619 # DEPENDENCYPART_ARC
(18,6),-1.20337 # DEPENDENCYPART_ARC
(18,7),-0.450984 # DEPENDENCYPART_ARC
(18,8),-0.743051 # DEPENDENCYPART_ARC
(18,9),-1.21008 # DEPENDENCYPART_ARC
(18,10),-0.00891884 # DEPENDENCYPART_ARC
(18,11),0.0447941 # DEPENDENCYPART_ARC
(18,12),-0.0584901 # DEPENDENCYPART_ARC
(18,13),0.007559 # DEPENDENCYPART_ARC
(18,14),-0.146319 # DEPENDENCYPART_ARC
(18,15),0.345995 # DEPENDENCYPART_ARC
(18,16),0.857296 # DEPENDENCYPART_ARC
(18,17),2.6236 # DEPENDENCYPART_ARC
(18,19),-0.286752 # DEPENDENCYPART_ARC
(19,1),-2.40977 # DEPENDENCYPART_ARC
(19,2),-2.54866 # DEPENDENCYPART_ARC
(19,3),-2.6657 # DEPENDENCYPART_ARC
(19,4),-1.57266 # DEPENDENCYPART_ARC
(19,5),-1.75101 # DEPENDENCYPART_ARC
(19,6),-1.43456 # DEPENDENCYPART_ARC
(19,7),-2.32479 # DEPENDENCYPART_ARC
(19,8),-1.10858 # DEPENDENCYPART_ARC
(19,9),-1.84567 # DEPENDENCYPART_ARC
(19,10),-1.42685 # DEPENDENCYPART_ARC
(19,11),-1.70735 # DEPENDENCYPART_ARC
(19,12),-1.64912 # DEPENDENCYPART_ARC
(19,13),-1.64106 # DEPENDENCYPART_ARC
(19,14),-1.50982 # DEPENDENCYPART_ARC
(19,15),-1.5983 # DEPENDENCYPART_ARC
(19,16),-1.23164 # DEPENDENCYPART_ARC
(19,17),-1.00047 # DEPENDENCYPART_ARC
(19,18),-0.661351 # DEPENDENCYPART_ARC
