# _root_ Within about six months , `` things will be moving in the right direction , '' he predicts .
#goldHeads=8,4,2,1,8,8,8,18,8,9,10,14,14,11,8,8,18,0,18,
#predictedHeads=18,4,2,1,8,8,8,1,8,9,10,14,14,11,18,18,18,0,18,
(3,6),-0.970633 # DEPENDENCYPART_ARC
(3,7),-1.06029 # DEPENDENCYPART_ARC
(3,8),-1.01616 # DEPENDENCYPART_ARC
(3,9),-1.255 # DEPENDENCYPART_ARC
(3,10),-0.974507 # DEPENDENCYPART_ARC
(3,11),-0.861367 # DEPENDENCYPART_ARC
(3,12),-1.82562 # DEPENDENCYPART_ARC
(3,13),-1.61196 # DEPENDENCYPART_ARC
(3,14),-1.58717 # DEPENDENCYPART_ARC
(3,15),-0.89165 # DEPENDENCYPART_ARC
(3,16),-1.09938 # DEPENDENCYPART_ARC
(3,17),-2.16564 # DEPENDENCYPART_ARC
(3,18),-1.69485 # DEPENDENCYPART_ARC
(3,19),-1.35407 # DEPENDENCYPART_ARC
(4,1),0.405869 # DEPENDENCYPART_ARC
(4,2),3.97043 # DEPENDENCYPART_ARC
(4,3),3.45261 # DEPENDENCYPART_ARC
(4,5),1.02152 # DEPENDENCYPART_ARC
(4,6),1.00869 # DEPENDENCYPART_ARC
(4,7),0.569366 # DEPENDENCYPART_ARC
(4,8),0.970854 # DEPENDENCYPART_ARC
(4,9),0.371369 # DEPENDENCYPART_ARC
(4,10),-0.380528 # DEPENDENCYPART_ARC
(4,11),0.00940817 # DEPENDENCYPART_ARC
(4,12),-0.354302 # DEPENDENCYPART_ARC
(4,13),-0.12493 # DEPENDENCYPART_ARC
(4,14),0.139108 # DEPENDENCYPART_ARC
(4,15),0.362461 # DEPENDENCYPART_ARC
(4,16),0.541595 # DEPENDENCYPART_ARC
(4,17),-1.07991 # DEPENDENCYPART_ARC
(4,18),-1.09416 # DEPENDENCYPART_ARC
(4,19),0.244376 # DEPENDENCYPART_ARC
(5,1),-1.40678 # DEPENDENCYPART_ARC
(5,2),-1.5067 # DEPENDENCYPART_ARC
(5,3),-1.1985 # DEPENDENCYPART_ARC
(5,4),-1.05775 # DEPENDENCYPART_ARC
(5,6),0.0884464 # DEPENDENCYPART_ARC
(5,7),-0.887824 # DEPENDENCYPART_ARC
(5,8),-1.00782 # DEPENDENCYPART_ARC
(5,9),-1.10898 # DEPENDENCYPART_ARC
(5,10),-1.57676 # DEPENDENCYPART_ARC
(5,11),-1.57811 # DEPENDENCYPART_ARC
(5,12),-1.97834 # DEPENDENCYPART_ARC
(5,13),-2.18081 # DEPENDENCYPART_ARC
(5,14),-2.54437 # DEPENDENCYPART_ARC
(5,15),-0.541103 # DEPENDENCYPART_ARC
(5,16),-1.39428 # DEPENDENCYPART_ARC
(5,17),-2.36669 # DEPENDENCYPART_ARC
(5,18),-2.13229 # DEPENDENCYPART_ARC
(5,19),-1.85896 # DEPENDENCYPART_ARC
(6,1),-2.07683 # DEPENDENCYPART_ARC
(6,2),-1.82393 # DEPENDENCYPART_ARC
(6,3),-1.31797 # DEPENDENCYPART_ARC
(6,4),-1.41061 # DEPENDENCYPART_ARC
(6,5),-0.585464 # DEPENDENCYPART_ARC
(6,7),-0.815145 # DEPENDENCYPART_ARC
(6,8),-1.14646 # DEPENDENCYPART_ARC
(6,9),-1.58058 # DEPENDENCYPART_ARC
(6,10),-1.81665 # DEPENDENCYPART_ARC
(6,11),-1.99427 # DEPENDENCYPART_ARC
(6,12),-2.44849 # DEPENDENCYPART_ARC
(6,13),-1.94986 # DEPENDENCYPART_ARC
(6,14),-2.43731 # DEPENDENCYPART_ARC
(6,15),-1.68821 # DEPENDENCYPART_ARC
(6,16),-0.92696 # DEPENDENCYPART_ARC
(6,17),-2.57317 # DEPENDENCYPART_ARC
(6,18),-2.54844 # DEPENDENCYPART_ARC
(6,19),-1.88759 # DEPENDENCYPART_ARC
(7,1),-0.86539 # DEPENDENCYPART_ARC
(7,2),1.54597 # DEPENDENCYPART_ARC
(7,3),1.01548 # DEPENDENCYPART_ARC
(7,4),0.226668 # DEPENDENCYPART_ARC
(7,5),0.523299 # DEPENDENCYPART_ARC
(7,6),1.1172 # DEPENDENCYPART_ARC
(7,8),0.782631 # DEPENDENCYPART_ARC
(7,9),0.56064 # DEPENDENCYPART_ARC
(7,10),0.36684 # DEPENDENCYPART_ARC
(7,11),0.687625 # DEPENDENCYPART_ARC
(7,12),-0.741161 # DEPENDENCYPART_ARC
(7,13),-0.499174 # DEPENDENCYPART_ARC
(7,14),-0.402172 # DEPENDENCYPART_ARC
(7,15),-0.0804719 # DEPENDENCYPART_ARC
(7,16),0.700238 # DEPENDENCYPART_ARC
(7,17),-1.07457 # DEPENDENCYPART_ARC
(7,18),-0.392288 # DEPENDENCYPART_ARC
(7,19),0.897251 # DEPENDENCYPART_ARC
(8,1),1.69619 # DEPENDENCYPART_ARC
(8,2),0.592906 # DEPENDENCYPART_ARC
(8,3),0.47272 # DEPENDENCYPART_ARC
(8,4),0.745475 # DEPENDENCYPART_ARC
(8,5),2.66122 # DEPENDENCYPART_ARC
(8,6),2.21874 # DEPENDENCYPART_ARC
(8,7),3.39829 # DEPENDENCYPART_ARC
(8,9),4.20975 # DEPENDENCYPART_ARC
(8,10),1.04692 # DEPENDENCYPART_ARC
(8,11),0.605899 # DEPENDENCYPART_ARC
(8,12),-0.474448 # DEPENDENCYPART_ARC
(8,13),-0.534807 # DEPENDENCYPART_ARC
(8,14),-0.0332102 # DEPENDENCYPART_ARC
(8,15),1.28214 # DEPENDENCYPART_ARC
(8,16),0.95705 # DEPENDENCYPART_ARC
(8,17),-0.250146 # DEPENDENCYPART_ARC
(8,18),-0.170323 # DEPENDENCYPART_ARC
(8,19),2.67615 # DEPENDENCYPART_ARC
(9,1),-0.273674 # DEPENDENCYPART_ARC
(9,2),-0.376082 # DEPENDENCYPART_ARC
(9,3),-0.177729 # DEPENDENCYPART_ARC
(9,4),-0.142957 # DEPENDENCYPART_ARC
(9,5),0.171554 # DEPENDENCYPART_ARC
(9,6),0.852711 # DEPENDENCYPART_ARC
(9,7),0.642935 # DEPENDENCYPART_ARC
(9,8),1.33628 # DEPENDENCYPART_ARC
(9,10),3.18256 # DEPENDENCYPART_ARC
(9,11),1.72472 # DEPENDENCYPART_ARC
(9,12),-1.02785 # DEPENDENCYPART_ARC
(9,13),0.0366876 # DEPENDENCYPART_ARC
(9,14),0.224965 # DEPENDENCYPART_ARC
(9,15),0.334576 # DEPENDENCYPART_ARC
(9,16),-0.278205 # DEPENDENCYPART_ARC
(9,17),-1.01135 # DEPENDENCYPART_ARC
(9,18),-0.38979 # DEPENDENCYPART_ARC
(9,19),-0.347105 # DEPENDENCYPART_ARC
(10,1),-0.803702 # DEPENDENCYPART_ARC
(10,2),-0.690463 # DEPENDENCYPART_ARC
(10,3),-0.573561 # DEPENDENCYPART_ARC
(10,4),-0.0541783 # DEPENDENCYPART_ARC
(10,5),-0.121249 # DEPENDENCYPART_ARC
(10,6),0.0731685 # DEPENDENCYPART_ARC
(10,7),0.983437 # DEPENDENCYPART_ARC
(10,8),-0.0745884 # DEPENDENCYPART_ARC
(10,9),1.15242 # DEPENDENCYPART_ARC
(10,11),4.3549 # DEPENDENCYPART_ARC
(10,12),0.721396 # DEPENDENCYPART_ARC
(10,13),1.17124 # DEPENDENCYPART_ARC
(10,14),1.66908 # DEPENDENCYPART_ARC
(10,15),1.51419 # DEPENDENCYPART_ARC
(10,16),1.03943 # DEPENDENCYPART_ARC
(10,17),0.42738 # DEPENDENCYPART_ARC
(10,18),0.409708 # DEPENDENCYPART_ARC
(10,19),0.657357 # DEPENDENCYPART_ARC
(11,1),-1.50132 # DEPENDENCYPART_ARC
(11,2),-1.60007 # DEPENDENCYPART_ARC
(11,3),-0.904089 # DEPENDENCYPART_ARC
(11,4),-0.889134 # DEPENDENCYPART_ARC
(11,5),-0.873039 # DEPENDENCYPART_ARC
(11,6),-0.432075 # DEPENDENCYPART_ARC
(11,7),-0.706278 # DEPENDENCYPART_ARC
(11,8),-1.04684 # DEPENDENCYPART_ARC
(11,9),-0.324105 # DEPENDENCYPART_ARC
(11,10),-0.205296 # DEPENDENCYPART_ARC
(11,12),0.538659 # DEPENDENCYPART_ARC
(11,13),1.44744 # DEPENDENCYPART_ARC
(11,14),3.71672 # DEPENDENCYPART_ARC
(11,15),0.566828 # DEPENDENCYPART_ARC
(11,16),0.0571607 # DEPENDENCYPART_ARC
(11,17),-0.766924 # DEPENDENCYPART_ARC
(11,18),-1.19445 # DEPENDENCYPART_ARC
(11,19),-0.25236 # DEPENDENCYPART_ARC
(12,1),-3.5569 # DEPENDENCYPART_ARC
(12,2),-3.09331 # DEPENDENCYPART_ARC
(12,3),-3.03755 # DEPENDENCYPART_ARC
(12,4),-3.39313 # DEPENDENCYPART_ARC
(12,5),-2.99618 # DEPENDENCYPART_ARC
(12,6),-3.13324 # DEPENDENCYPART_ARC
(12,7),-2.91423 # DEPENDENCYPART_ARC
(12,8),-2.77354 # DEPENDENCYPART_ARC
(12,9),-1.90691 # DEPENDENCYPART_ARC
(12,10),-1.93768 # DEPENDENCYPART_ARC
(12,11),-1.52814 # DEPENDENCYPART_ARC
(12,13),-0.37173 # DEPENDENCYPART_ARC
(12,14),-1.02715 # DEPENDENCYPART_ARC
(12,15),-1.67297 # DEPENDENCYPART_ARC
(12,16),-1.74708 # DEPENDENCYPART_ARC
(12,17),-2.07035 # DEPENDENCYPART_ARC
(12,18),-1.87395 # DEPENDENCYPART_ARC
(12,19),-1.9787 # DEPENDENCYPART_ARC
(13,1),-1.84097 # DEPENDENCYPART_ARC
(13,2),-1.20535 # DEPENDENCYPART_ARC
(13,3),-1.6678 # DEPENDENCYPART_ARC
(13,4),-1.80895 # DEPENDENCYPART_ARC
(13,5),-1.82293 # DEPENDENCYPART_ARC
(13,6),-1.49132 # DEPENDENCYPART_ARC
(13,7),-1.51524 # DEPENDENCYPART_ARC
(13,8),-1.81783 # DEPENDENCYPART_ARC
(13,9),-1.10392 # DEPENDENCYPART_ARC
(13,10),-0.858542 # DEPENDENCYPART_ARC
(13,11),-0.223589 # DEPENDENCYPART_ARC
(13,12),1.71373 # DEPENDENCYPART_ARC
(13,14),0.838169 # DEPENDENCYPART_ARC
(13,15),-0.337869 # DEPENDENCYPART_ARC
(13,16),-0.0268297 # DEPENDENCYPART_ARC
(13,17),-0.989961 # DEPENDENCYPART_ARC
(13,18),-0.75598 # DEPENDENCYPART_ARC
(13,19),-0.713815 # DEPENDENCYPART_ARC
(14,1),-1.00618 # DEPENDENCYPART_ARC
(14,2),-0.969326 # DEPENDENCYPART_ARC
(14,3),-1.71462 # DEPENDENCYPART_ARC
(14,4),-0.85889 # DEPENDENCYPART_ARC
(14,5),-1.19405 # DEPENDENCYPART_ARC
(14,6),-0.336145 # DEPENDENCYPART_ARC
(14,7),-0.0180948 # DEPENDENCYPART_ARC
(14,8),-0.474127 # DEPENDENCYPART_ARC
(14,9),0.519616 # DEPENDENCYPART_ARC
(14,10),1.07618 # DEPENDENCYPART_ARC
(14,11),1.3231 # DEPENDENCYPART_ARC
(14,12),5.34961 # DEPENDENCYPART_ARC
(14,13),4.97702 # DEPENDENCYPART_ARC
(14,15),1.00243 # DEPENDENCYPART_ARC
(14,16),0.971894 # DEPENDENCYPART_ARC
(14,17),-0.097649 # DEPENDENCYPART_ARC
(14,18),0.131652 # DEPENDENCYPART_ARC
(14,19),-0.246488 # DEPENDENCYPART_ARC
(15,1),-2.48529 # DEPENDENCYPART_ARC
(15,2),-2.97608 # DEPENDENCYPART_ARC
(15,3),-2.43954 # DEPENDENCYPART_ARC
(15,4),-2.15774 # DEPENDENCYPART_ARC
(15,5),-0.515667 # DEPENDENCYPART_ARC
(15,6),-1.78407 # DEPENDENCYPART_ARC
(15,7),-1.78138 # DEPENDENCYPART_ARC
(15,8),-2.0809 # DEPENDENCYPART_ARC
(15,9),-1.67728 # DEPENDENCYPART_ARC
(15,10),-1.36381 # DEPENDENCYPART_ARC
(15,11),-1.52132 # DEPENDENCYPART_ARC
(15,12),-0.705336 # DEPENDENCYPART_ARC
(15,13),-1.31586 # DEPENDENCYPART_ARC
(15,14),-1.1462 # DEPENDENCYPART_ARC
(15,16),0.682758 # DEPENDENCYPART_ARC
(15,17),-0.625226 # DEPENDENCYPART_ARC
(15,18),-0.417081 # DEPENDENCYPART_ARC
(15,19),-0.828499 # DEPENDENCYPART_ARC
(16,1),-2.30239 # DEPENDENCYPART_ARC
(16,2),-2.78583 # DEPENDENCYPART_ARC
(16,3),-2.27433 # DEPENDENCYPART_ARC
(16,4),-2.22615 # DEPENDENCYPART_ARC
(16,5),-1.64126 # DEPENDENCYPART_ARC
(16,6),-0.427887 # DEPENDENCYPART_ARC
(16,7),-1.85144 # DEPENDENCYPART_ARC
(16,8),-1.77478 # DEPENDENCYPART_ARC
(16,9),-1.59723 # DEPENDENCYPART_ARC
(16,10),-1.31709 # DEPENDENCYPART_ARC
(16,11),-1.2599 # DEPENDENCYPART_ARC
(16,12),-0.172093 # DEPENDENCYPART_ARC
(16,13),-0.946154 # DEPENDENCYPART_ARC
(16,14),-1.23741 # DEPENDENCYPART_ARC
(16,15),0.488641 # DEPENDENCYPART_ARC
(16,17),0.0117224 # DEPENDENCYPART_ARC
(16,18),0.0150248 # DEPENDENCYPART_ARC
(16,19),-0.469595 # DEPENDENCYPART_ARC
(17,1),-2.11478 # DEPENDENCYPART_ARC
(17,2),-2.66271 # DEPENDENCYPART_ARC
(17,3),-2.08941 # DEPENDENCYPART_ARC
(17,4),-2.41847 # DEPENDENCYPART_ARC
(17,5),-0.808178 # DEPENDENCYPART_ARC
(17,6),-1.79031 # DEPENDENCYPART_ARC
(17,7),-1.98803 # DEPENDENCYPART_ARC
(17,8),-1.71337 # DEPENDENCYPART_ARC
(17,9),-1.52246 # DEPENDENCYPART_ARC
(17,10),-1.17917 # DEPENDENCYPART_ARC
(17,11),-0.911647 # DEPENDENCYPART_ARC
(17,12),-0.103577 # DEPENDENCYPART_ARC
(17,13),-0.589738 # DEPENDENCYPART_ARC
(17,14),-0.928335 # DEPENDENCYPART_ARC
(17,15),0.761999 # DEPENDENCYPART_ARC
(17,16),0.200226 # DEPENDENCYPART_ARC
(17,18),1.11971 # DEPENDENCYPART_ARC
(17,19),-0.270605 # DEPENDENCYPART_ARC
(18,1),1.53375 # DEPENDENCYPART_ARC
(18,2),-0.679802 # DEPENDENCYPART_ARC
(18,3),-0.480903 # DEPENDENCYPART_ARC
(18,4),-0.619418 # DEPENDENCYPART_ARC
(18,5),0.93272 # DEPENDENCYPART_ARC
(18,6),1.43148 # DEPENDENCYPART_ARC
(18,7),-0.115698 # DEPENDENCYPART_ARC
(18,8),0.74505 # DEPENDENCYPART_ARC
(18,9),0.677521 # DEPENDENCYPART_ARC
(18,10),0.697629 # DEPENDENCYPART_ARC
(18,11),0.995539 # DEPENDENCYPART_ARC
(18,12),0.00470035 # DEPENDENCYPART_ARC
(18,13),0.771618 # DEPENDENCYPART_ARC
(18,14),0.12623 # DEPENDENCYPART_ARC
(18,15),3.26792 # DEPENDENCYPART_ARC
(18,16),3.72488 # DEPENDENCYPART_ARC
(18,17),4.55207 # DEPENDENCYPART_ARC
(18,19),4.53623 # DEPENDENCYPART_ARC
(19,1),-3.07357 # DEPENDENCYPART_ARC
(19,2),-2.15863 # DEPENDENCYPART_ARC
(19,3),-2.98486 # DEPENDENCYPART_ARC
(19,4),-2.55765 # DEPENDENCYPART_ARC
(19,5),-0.845996 # DEPENDENCYPART_ARC
(19,6),-1.97944 # DEPENDENCYPART_ARC
(19,7),-2.24653 # DEPENDENCYPART_ARC
(19,8),-1.73976 # DEPENDENCYPART_ARC
(19,9),-2.09757 # DEPENDENCYPART_ARC
(19,10),-1.43661 # DEPENDENCYPART_ARC
(19,11),-2.06324 # DEPENDENCYPART_ARC
(19,12),-1.36092 # DEPENDENCYPART_ARC
(19,13),-1.79575 # DEPENDENCYPART_ARC
(19,14),-1.93572 # DEPENDENCYPART_ARC
(19,15),-0.442181 # DEPENDENCYPART_ARC
(19,16),-1.15374 # DEPENDENCYPART_ARC
(19,17),-1.00763 # DEPENDENCYPART_ARC
(19,18),-0.562518 # DEPENDENCYPART_ARC
