# _root_ The company , however , said orders in the U.S. showed `` good gains '' during the latest quarter .
#goldHeads=2,6,6,6,6,0,11,7,10,8,6,11,14,11,11,11,19,19,16,6,
#predictedHeads=2,6,6,6,6,0,11,7,10,8,6,14,14,11,14,11,19,19,16,6,
(11,7),1.99065 # DEPENDENCYPART_ARC
(11,8),0.850428 # DEPENDENCYPART_ARC
(11,9),0.627544 # DEPENDENCYPART_ARC
(11,10),2.40817 # DEPENDENCYPART_ARC
(11,12),2.10262 # DEPENDENCYPART_ARC
(11,13),1.76371 # DEPENDENCYPART_ARC
(11,14),2.09681 # DEPENDENCYPART_ARC
(11,15),1.49504 # DEPENDENCYPART_ARC
(11,16),3.15486 # DEPENDENCYPART_ARC
(11,17),-0.666827 # DEPENDENCYPART_ARC
(11,18),0.143916 # DEPENDENCYPART_ARC
(11,19),0.376828 # DEPENDENCYPART_ARC
(11,20),3.78966 # DEPENDENCYPART_ARC
(12,1),-2.64197 # DEPENDENCYPART_ARC
(12,2),-2.63369 # DEPENDENCYPART_ARC
(12,3),-2.40101 # DEPENDENCYPART_ARC
(12,4),-2.49336 # DEPENDENCYPART_ARC
(12,5),-2.16646 # DEPENDENCYPART_ARC
(12,6),-2.08968 # DEPENDENCYPART_ARC
(12,7),-1.59838 # DEPENDENCYPART_ARC
(12,8),-1.69441 # DEPENDENCYPART_ARC
(12,9),-1.04911 # DEPENDENCYPART_ARC
(12,10),-1.4219 # DEPENDENCYPART_ARC
(12,11),-0.829958 # DEPENDENCYPART_ARC
(12,13),0.0953218 # DEPENDENCYPART_ARC
(12,14),-1.26685 # DEPENDENCYPART_ARC
(12,15),-0.208034 # DEPENDENCYPART_ARC
(12,16),-1.67527 # DEPENDENCYPART_ARC
(12,17),-2.35641 # DEPENDENCYPART_ARC
(12,18),-2.19762 # DEPENDENCYPART_ARC
(12,19),-1.98321 # DEPENDENCYPART_ARC
(12,20),-1.49182 # DEPENDENCYPART_ARC
(13,1),-1.59429 # DEPENDENCYPART_ARC
(13,2),-2.41103 # DEPENDENCYPART_ARC
(13,3),-1.3179 # DEPENDENCYPART_ARC
(13,4),-1.93092 # DEPENDENCYPART_ARC
(13,5),-1.25469 # DEPENDENCYPART_ARC
(13,6),-1.80856 # DEPENDENCYPART_ARC
(13,7),-1.01028 # DEPENDENCYPART_ARC
(13,8),-0.893545 # DEPENDENCYPART_ARC
(13,9),0.487374 # DEPENDENCYPART_ARC
(13,10),0.205391 # DEPENDENCYPART_ARC
(13,11),-0.672046 # DEPENDENCYPART_ARC
(13,12),1.0177 # DEPENDENCYPART_ARC
(13,14),1.10964 # DEPENDENCYPART_ARC
(13,15),0.842821 # DEPENDENCYPART_ARC
(13,16),0.163304 # DEPENDENCYPART_ARC
(13,17),-1.07161 # DEPENDENCYPART_ARC
(13,18),-0.409285 # DEPENDENCYPART_ARC
(13,19),-0.650666 # DEPENDENCYPART_ARC
(13,20),0.593471 # DEPENDENCYPART_ARC
(14,1),-1.60196 # DEPENDENCYPART_ARC
(14,2),-2.04187 # DEPENDENCYPART_ARC
(14,3),-0.410136 # DEPENDENCYPART_ARC
(14,4),-2.04871 # DEPENDENCYPART_ARC
(14,5),-0.471162 # DEPENDENCYPART_ARC
(14,6),-0.24211 # DEPENDENCYPART_ARC
(14,7),-0.275173 # DEPENDENCYPART_ARC
(14,8),0.117313 # DEPENDENCYPART_ARC
(14,9),2.70573 # DEPENDENCYPART_ARC
(14,10),1.90294 # DEPENDENCYPART_ARC
(14,11),0.87505 # DEPENDENCYPART_ARC
(14,12),2.85129 # DEPENDENCYPART_ARC
(14,13),4.11247 # DEPENDENCYPART_ARC
(14,15),2.51104 # DEPENDENCYPART_ARC
(14,16),1.46265 # DEPENDENCYPART_ARC
(14,17),0.471412 # DEPENDENCYPART_ARC
(14,18),0.533118 # DEPENDENCYPART_ARC
(14,19),0.562023 # DEPENDENCYPART_ARC
(14,20),0.637928 # DEPENDENCYPART_ARC
(15,1),-1.62413 # DEPENDENCYPART_ARC
(15,2),-2.65944 # DEPENDENCYPART_ARC
(15,3),-1.52931 # DEPENDENCYPART_ARC
(15,4),-2.34452 # DEPENDENCYPART_ARC
(15,5),-1.42116 # DEPENDENCYPART_ARC
(15,6),-1.71826 # DEPENDENCYPART_ARC
(15,7),-1.7189 # DEPENDENCYPART_ARC
(15,8),-1.27419 # DEPENDENCYPART_ARC
(15,9),-0.313903 # DEPENDENCYPART_ARC
(15,10),-1.43194 # DEPENDENCYPART_ARC
(15,11),-1.20746 # DEPENDENCYPART_ARC
(15,12),0.300379 # DEPENDENCYPART_ARC
(15,13),-0.940565 # DEPENDENCYPART_ARC
(15,14),-0.363458 # DEPENDENCYPART_ARC
(15,16),-0.558939 # DEPENDENCYPART_ARC
(15,17),-1.33002 # DEPENDENCYPART_ARC
(15,18),-1.65553 # DEPENDENCYPART_ARC
(15,19),-1.52495 # DEPENDENCYPART_ARC
(15,20),-1.47323 # DEPENDENCYPART_ARC
(16,1),-1.61006 # DEPENDENCYPART_ARC
(16,2),-2.63769 # DEPENDENCYPART_ARC
(16,3),-1.40022 # DEPENDENCYPART_ARC
(16,4),-1.44339 # DEPENDENCYPART_ARC
(16,5),-1.43705 # DEPENDENCYPART_ARC
(16,6),-0.943173 # DEPENDENCYPART_ARC
(16,7),-0.542202 # DEPENDENCYPART_ARC
(16,8),-0.503172 # DEPENDENCYPART_ARC
(16,9),-0.174658 # DEPENDENCYPART_ARC
(16,10),-0.406903 # DEPENDENCYPART_ARC
(16,11),-0.531853 # DEPENDENCYPART_ARC
(16,12),1.09857 # DEPENDENCYPART_ARC
(16,13),0.275536 # DEPENDENCYPART_ARC
(16,14),-0.0512818 # DEPENDENCYPART_ARC
(16,15),1.02207 # DEPENDENCYPART_ARC
(16,17),0.766775 # DEPENDENCYPART_ARC
(16,18),1.84008 # DEPENDENCYPART_ARC
(16,19),3.4565 # DEPENDENCYPART_ARC
(16,20),0.175315 # DEPENDENCYPART_ARC
(17,1),-3.03043 # DEPENDENCYPART_ARC
(17,2),-3.72196 # DEPENDENCYPART_ARC
(17,3),-3.01027 # DEPENDENCYPART_ARC
(17,4),-3.19959 # DEPENDENCYPART_ARC
(17,5),-2.77739 # DEPENDENCYPART_ARC
(17,6),-2.74187 # DEPENDENCYPART_ARC
(17,7),-2.77761 # DEPENDENCYPART_ARC
(17,8),-2.39029 # DEPENDENCYPART_ARC
(17,9),-1.78471 # DEPENDENCYPART_ARC
(17,10),-2.35337 # DEPENDENCYPART_ARC
(17,11),-2.13917 # DEPENDENCYPART_ARC
(17,12),-2.13556 # DEPENDENCYPART_ARC
(17,13),-1.6581 # DEPENDENCYPART_ARC
(17,14),-1.57832 # DEPENDENCYPART_ARC
(17,15),-1.25533 # DEPENDENCYPART_ARC
(17,16),-0.364224 # DEPENDENCYPART_ARC
(17,18),-0.534494 # DEPENDENCYPART_ARC
(17,19),-0.229134 # DEPENDENCYPART_ARC
(17,20),-1.14174 # DEPENDENCYPART_ARC
(18,1),-1.60282 # DEPENDENCYPART_ARC
(18,2),-2.99305 # DEPENDENCYPART_ARC
(18,3),-2.31132 # DEPENDENCYPART_ARC
(18,4),-1.6111 # DEPENDENCYPART_ARC
(18,5),-2.07816 # DEPENDENCYPART_ARC
(18,6),-2.04171 # DEPENDENCYPART_ARC
(18,7),-2.1005 # DEPENDENCYPART_ARC
(18,8),-1.67848 # DEPENDENCYPART_ARC
(18,9),-0.399666 # DEPENDENCYPART_ARC
(18,10),-1.49645 # DEPENDENCYPART_ARC
(18,11),-1.47653 # DEPENDENCYPART_ARC
(18,12),-0.997355 # DEPENDENCYPART_ARC
(18,13),-1.12044 # DEPENDENCYPART_ARC
(18,14),-1.07713 # DEPENDENCYPART_ARC
(18,15),-0.71243 # DEPENDENCYPART_ARC
(18,16),-0.310835 # DEPENDENCYPART_ARC
(18,17),2.21621 # DEPENDENCYPART_ARC
(18,19),1.35515 # DEPENDENCYPART_ARC
(18,20),0.0448354 # DEPENDENCYPART_ARC
(19,1),-4.08077 # DEPENDENCYPART_ARC
(19,2),-4.28926 # DEPENDENCYPART_ARC
(19,3),-1.1807 # DEPENDENCYPART_ARC
(19,4),-3.76892 # DEPENDENCYPART_ARC
(19,5),-1.66386 # DEPENDENCYPART_ARC
(19,6),-0.885817 # DEPENDENCYPART_ARC
(19,7),-1.97454 # DEPENDENCYPART_ARC
(19,8),-0.49057 # DEPENDENCYPART_ARC
(19,9),0.0732114 # DEPENDENCYPART_ARC
(19,10),-0.708804 # DEPENDENCYPART_ARC
(19,11),-0.211264 # DEPENDENCYPART_ARC
(19,12),1.03962 # DEPENDENCYPART_ARC
(19,13),0.293504 # DEPENDENCYPART_ARC
(19,14),0.447639 # DEPENDENCYPART_ARC
(19,15),0.924366 # DEPENDENCYPART_ARC
(19,16),1.70866 # DEPENDENCYPART_ARC
(19,17),4.85869 # DEPENDENCYPART_ARC
(19,18),4.03946 # DEPENDENCYPART_ARC
(19,20),-0.112259 # DEPENDENCYPART_ARC
(20,1),-2.18647 # DEPENDENCYPART_ARC
(20,2),-2.36645 # DEPENDENCYPART_ARC
(20,3),-0.634531 # DEPENDENCYPART_ARC
(20,4),-1.09645 # DEPENDENCYPART_ARC
(20,5),-0.379037 # DEPENDENCYPART_ARC
(20,6),-1.28714 # DEPENDENCYPART_ARC
(20,7),-1.63622 # DEPENDENCYPART_ARC
(20,8),-1.86837 # DEPENDENCYPART_ARC
(20,9),-1.37597 # DEPENDENCYPART_ARC
(20,10),-1.61506 # DEPENDENCYPART_ARC
(20,11),-0.906835 # DEPENDENCYPART_ARC
(20,12),-1.06654 # DEPENDENCYPART_ARC
(20,13),-1.37845 # DEPENDENCYPART_ARC
(20,14),-1.19144 # DEPENDENCYPART_ARC
(20,15),-1.16327 # DEPENDENCYPART_ARC
(20,16),-1.24301 # DEPENDENCYPART_ARC
(20,17),-0.257044 # DEPENDENCYPART_ARC
(20,18),-0.809756 # DEPENDENCYPART_ARC
(20,19),-1.33085 # DEPENDENCYPART_ARC
