# _root_ He was flawless afield ( ditto in game two ) , moved a runner along in the A 's three-run second inning , and homered for his team 's final tally .
#goldHeads=2,0,2,2,6,2,6,7,8,6,2,2,14,12,12,12,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,2,
#predictedHeads=2,0,2,2,6,2,6,7,8,6,12,2,14,12,12,15,22,22,22,22,22,16,12,12,24,25,28,31,28,31,26,12,
(0,32),-7.0051 # DEPENDENCYPART_ARC
(1,2),0.595507 # DEPENDENCYPART_ARC
(1,3),-0.47274 # DEPENDENCYPART_ARC
(1,4),-0.542606 # DEPENDENCYPART_ARC
(1,5),-1.3742 # DEPENDENCYPART_ARC
(1,6),-0.875018 # DEPENDENCYPART_ARC
(1,7),-0.73388 # DEPENDENCYPART_ARC
(1,8),-1.003 # DEPENDENCYPART_ARC
(1,9),-1.7911 # DEPENDENCYPART_ARC
(1,10),-0.282317 # DEPENDENCYPART_ARC
(1,11),-0.455083 # DEPENDENCYPART_ARC
(1,12),-1.50699 # DEPENDENCYPART_ARC
(1,13),-1.64566 # DEPENDENCYPART_ARC
(1,14),-1.65245 # DEPENDENCYPART_ARC
(1,15),-1.95535 # DEPENDENCYPART_ARC
(1,16),-2.021 # DEPENDENCYPART_ARC
(1,17),-1.95648 # DEPENDENCYPART_ARC
(1,18),-2.29948 # DEPENDENCYPART_ARC
(1,19),-2.53228 # DEPENDENCYPART_ARC
(1,20),-3.02573 # DEPENDENCYPART_ARC
(1,21),-3.08605 # DEPENDENCYPART_ARC
(1,22),-1.62549 # DEPENDENCYPART_ARC
(1,23),-2.33464 # DEPENDENCYPART_ARC
(1,24),-4.59768 # DEPENDENCYPART_ARC
(1,25),-2.88967 # DEPENDENCYPART_ARC
(1,26),-3.25716 # DEPENDENCYPART_ARC
(1,27),-3.62197 # DEPENDENCYPART_ARC
(1,28),-2.38733 # DEPENDENCYPART_ARC
(1,29),-4.04106 # DEPENDENCYPART_ARC
(1,30),-3.98573 # DEPENDENCYPART_ARC
(1,31),-2.42029 # DEPENDENCYPART_ARC
(1,32),-2.53662 # DEPENDENCYPART_ARC
(2,1),3.70805 # DEPENDENCYPART_ARC
(2,3),2.97023 # DEPENDENCYPART_ARC
(2,4),1.78716 # DEPENDENCYPART_ARC
(2,5),1.11655 # DEPENDENCYPART_ARC
(2,6),2.05293 # DEPENDENCYPART_ARC
(2,7),2.0015 # DEPENDENCYPART_ARC
(2,8),0.230629 # DEPENDENCYPART_ARC
(2,9),-0.501756 # DEPENDENCYPART_ARC
(2,10),1.24338 # DEPENDENCYPART_ARC
(2,11),1.75347 # DEPENDENCYPART_ARC
(2,12),1.57093 # DEPENDENCYPART_ARC
(2,13),-1.38024 # DEPENDENCYPART_ARC
(2,14),-0.517381 # DEPENDENCYPART_ARC
(2,15),-0.0544465 # DEPENDENCYPART_ARC
(2,16),-0.868857 # DEPENDENCYPART_ARC
(2,17),-1.94337 # DEPENDENCYPART_ARC
(2,18),-3.00781 # DEPENDENCYPART_ARC
(2,19),-2.15348 # DEPENDENCYPART_ARC
(2,20),-1.85713 # DEPENDENCYPART_ARC
(2,21),-2.63249 # DEPENDENCYPART_ARC
(2,22),-1.96504 # DEPENDENCYPART_ARC
(2,23),1.11264 # DEPENDENCYPART_ARC
(2,24),2.11423 # DEPENDENCYPART_ARC
(2,25),-1.86345 # DEPENDENCYPART_ARC
(2,26),-1.3227 # DEPENDENCYPART_ARC
(2,27),-2.66316 # DEPENDENCYPART_ARC
(2,28),-4.92462 # DEPENDENCYPART_ARC
(2,29),-2.09768 # DEPENDENCYPART_ARC
(2,30),-4.22477 # DEPENDENCYPART_ARC
(2,31),-4.70575 # DEPENDENCYPART_ARC
(2,32),6.35782 # DEPENDENCYPART_ARC
(3,1),0.201465 # DEPENDENCYPART_ARC
(3,2),0.0128973 # DEPENDENCYPART_ARC
(3,4),1.43032 # DEPENDENCYPART_ARC
(3,5),0.0896568 # DEPENDENCYPART_ARC
(3,6),0.787741 # DEPENDENCYPART_ARC
(3,7),0.374263 # DEPENDENCYPART_ARC
(3,8),0.139416 # DEPENDENCYPART_ARC
(3,9),-0.29348 # DEPENDENCYPART_ARC
(3,10),0.897935 # DEPENDENCYPART_ARC
(3,11),0.53494 # DEPENDENCYPART_ARC
(3,12),0.0617977 # DEPENDENCYPART_ARC
(3,13),-0.719824 # DEPENDENCYPART_ARC
(3,14),-0.832234 # DEPENDENCYPART_ARC
(3,15),-1.03892 # DEPENDENCYPART_ARC
(3,16),-1.17704 # DEPENDENCYPART_ARC
(3,17),-1.75248 # DEPENDENCYPART_ARC
(3,18),-1.09188 # DEPENDENCYPART_ARC
(3,19),-1.34323 # DEPENDENCYPART_ARC
(3,20),-0.672868 # DEPENDENCYPART_ARC
(3,21),-0.867984 # DEPENDENCYPART_ARC
(3,22),-1.4053 # DEPENDENCYPART_ARC
(3,23),-0.692592 # DEPENDENCYPART_ARC
(3,24),-1.1889 # DEPENDENCYPART_ARC
(3,25),-0.732288 # DEPENDENCYPART_ARC
(3,26),-2.03153 # DEPENDENCYPART_ARC
(3,27),-2.42549 # DEPENDENCYPART_ARC
(3,28),-2.38868 # DEPENDENCYPART_ARC
(3,29),-1.99809 # DEPENDENCYPART_ARC
(3,30),-1.69111 # DEPENDENCYPART_ARC
(3,31),-2.51335 # DEPENDENCYPART_ARC
(3,32),-0.35814 # DEPENDENCYPART_ARC
(4,1),-0.340526 # DEPENDENCYPART_ARC
(4,2),-0.0716703 # DEPENDENCYPART_ARC
(4,3),1.0718 # DEPENDENCYPART_ARC
(4,5),1.00045 # DEPENDENCYPART_ARC
(4,6),0.968111 # DEPENDENCYPART_ARC
(4,7),0.545611 # DEPENDENCYPART_ARC
(4,8),0.128458 # DEPENDENCYPART_ARC
(4,9),-0.33422 # DEPENDENCYPART_ARC
(4,10),0.524288 # DEPENDENCYPART_ARC
(4,11),0.645146 # DEPENDENCYPART_ARC
(4,12),-0.359362 # DEPENDENCYPART_ARC
(4,13),-0.163275 # DEPENDENCYPART_ARC
(4,14),-1.46319 # DEPENDENCYPART_ARC
(4,15),-0.835095 # DEPENDENCYPART_ARC
(4,16),-0.840717 # DEPENDENCYPART_ARC
(4,17),-1.13367 # DEPENDENCYPART_ARC
(4,18),-0.904786 # DEPENDENCYPART_ARC
(4,19),-1.6047 # DEPENDENCYPART_ARC
(4,20),-0.814407 # DEPENDENCYPART_ARC
(4,21),-0.844073 # DEPENDENCYPART_ARC
(4,22),-2.49222 # DEPENDENCYPART_ARC
(4,23),-0.0970708 # DEPENDENCYPART_ARC
(4,24),-0.473945 # DEPENDENCYPART_ARC
(4,25),-1.37186 # DEPENDENCYPART_ARC
(4,26),-1.69135 # DEPENDENCYPART_ARC
(4,27),-2.38522 # DEPENDENCYPART_ARC
(4,28),-4.08487 # DEPENDENCYPART_ARC
(4,29),-2.48299 # DEPENDENCYPART_ARC
(4,30),-2.00903 # DEPENDENCYPART_ARC
(4,31),-4.23479 # DEPENDENCYPART_ARC
(4,32),0.715955 # DEPENDENCYPART_ARC
(5,1),-1.46763 # DEPENDENCYPART_ARC
(5,2),-1.04979 # DEPENDENCYPART_ARC
(5,3),-0.712835 # DEPENDENCYPART_ARC
(5,4),0.229406 # DEPENDENCYPART_ARC
(5,6),1.1584 # DEPENDENCYPART_ARC
(5,7),-0.27239 # DEPENDENCYPART_ARC
(5,8),0.0823854 # DEPENDENCYPART_ARC
(5,9),-0.57221 # DEPENDENCYPART_ARC
(5,10),0.764546 # DEPENDENCYPART_ARC
(5,11),-0.0319736 # DEPENDENCYPART_ARC
(5,12),-0.180215 # DEPENDENCYPART_ARC
(5,13),-1.02381 # DEPENDENCYPART_ARC
(5,14),-1.12016 # DEPENDENCYPART_ARC
(5,15),-1.29528 # DEPENDENCYPART_ARC
(5,16),-1.51239 # DEPENDENCYPART_ARC
(5,17),-1.59986 # DEPENDENCYPART_ARC
(5,18),-1.6009 # DEPENDENCYPART_ARC
(5,19),-1.87638 # DEPENDENCYPART_ARC
(5,20),-2.08397 # DEPENDENCYPART_ARC
(5,21),-2.19991 # DEPENDENCYPART_ARC
(5,22),-1.64995 # DEPENDENCYPART_ARC
(5,23),-1.31723 # DEPENDENCYPART_ARC
(5,24),-1.48107 # DEPENDENCYPART_ARC
(5,25),-1.40319 # DEPENDENCYPART_ARC
(5,26),-2.54397 # DEPENDENCYPART_ARC
(5,27),-2.3337 # DEPENDENCYPART_ARC
(5,28),-2.30986 # DEPENDENCYPART_ARC
(5,29),-2.68307 # DEPENDENCYPART_ARC
(5,30),-3.07499 # DEPENDENCYPART_ARC
(5,31),-2.55451 # DEPENDENCYPART_ARC
(5,32),-0.896454 # DEPENDENCYPART_ARC
(6,1),-0.503992 # DEPENDENCYPART_ARC
(6,2),-0.702419 # DEPENDENCYPART_ARC
(6,3),1.70561 # DEPENDENCYPART_ARC
(6,4),0.864304 # DEPENDENCYPART_ARC
(6,5),2.23003 # DEPENDENCYPART_ARC
(6,7),2.80906 # DEPENDENCYPART_ARC
(6,8),1.66755 # DEPENDENCYPART_ARC
(6,9),1.37571 # DEPENDENCYPART_ARC
(6,10),1.90843 # DEPENDENCYPART_ARC
(6,11),1.66624 # DEPENDENCYPART_ARC
(6,12),0.771798 # DEPENDENCYPART_ARC
(6,13),0.33574 # DEPENDENCYPART_ARC
(6,14),-0.00709171 # DEPENDENCYPART_ARC
(6,15),1.12562 # DEPENDENCYPART_ARC
(6,16),-0.590299 # DEPENDENCYPART_ARC
(6,17),-0.460962 # DEPENDENCYPART_ARC
(6,18),-1.14445 # DEPENDENCYPART_ARC
(6,19),-1.70966 # DEPENDENCYPART_ARC
(6,20),-0.402865 # DEPENDENCYPART_ARC
(6,21),-0.314666 # DEPENDENCYPART_ARC
(6,22),-0.610191 # DEPENDENCYPART_ARC
(6,23),0.394573 # DEPENDENCYPART_ARC
(6,24),-0.820256 # DEPENDENCYPART_ARC
(6,25),-0.825334 # DEPENDENCYPART_ARC
(6,26),-1.7863 # DEPENDENCYPART_ARC
(6,27),-2.30054 # DEPENDENCYPART_ARC
(6,28),-3.13692 # DEPENDENCYPART_ARC
(6,29),-3.20513 # DEPENDENCYPART_ARC
(6,30),-1.56081 # DEPENDENCYPART_ARC
(6,31),-2.8672 # DEPENDENCYPART_ARC
(6,32),1.02588 # DEPENDENCYPART_ARC
(7,1),-1.37705 # DEPENDENCYPART_ARC
(7,2),-1.10906 # DEPENDENCYPART_ARC
(7,3),-0.806313 # DEPENDENCYPART_ARC
(7,4),-0.0983213 # DEPENDENCYPART_ARC
(7,5),1.1414 # DEPENDENCYPART_ARC
(7,6),0.14532 # DEPENDENCYPART_ARC
(7,8),3.42111 # DEPENDENCYPART_ARC
(7,9),0.454186 # DEPENDENCYPART_ARC
(7,10),1.1945 # DEPENDENCYPART_ARC
(7,11),0.0754476 # DEPENDENCYPART_ARC
(7,12),-0.402531 # DEPENDENCYPART_ARC
(7,13),-1.84165 # DEPENDENCYPART_ARC
(7,14),-1.91365 # DEPENDENCYPART_ARC
(7,15),-0.594723 # DEPENDENCYPART_ARC
(7,16),-0.657247 # DEPENDENCYPART_ARC
(7,17),-2.61727 # DEPENDENCYPART_ARC
(7,18),-5.54587 # DEPENDENCYPART_ARC
(7,19),-5.28113 # DEPENDENCYPART_ARC
(7,20),-2.76096 # DEPENDENCYPART_ARC
(7,21),-1.94025 # DEPENDENCYPART_ARC
(7,22),-4.93745 # DEPENDENCYPART_ARC
(7,23),-0.339228 # DEPENDENCYPART_ARC
(7,24),-2.26624 # DEPENDENCYPART_ARC
(7,25),-4.15746 # DEPENDENCYPART_ARC
(7,26),-2.63115 # DEPENDENCYPART_ARC
(7,27),-2.57271 # DEPENDENCYPART_ARC
(7,28),-10.0694 # DEPENDENCYPART_ARC
(7,29),-3.12074 # DEPENDENCYPART_ARC
(7,30),-4.7147 # DEPENDENCYPART_ARC
(7,31),-9.47015 # DEPENDENCYPART_ARC
(7,32),0.0726759 # DEPENDENCYPART_ARC
(8,1),-1.8705 # DEPENDENCYPART_ARC
(8,2),-1.91723 # DEPENDENCYPART_ARC
(8,3),-0.313881 # DEPENDENCYPART_ARC
(8,4),-0.780463 # DEPENDENCYPART_ARC
(8,5),0.00419821 # DEPENDENCYPART_ARC
(8,6),-0.331761 # DEPENDENCYPART_ARC
(8,7),0.602566 # DEPENDENCYPART_ARC
(8,9),2.33154 # DEPENDENCYPART_ARC
(8,10),1.10763 # DEPENDENCYPART_ARC
(8,11),1.20909 # DEPENDENCYPART_ARC
(8,12),0.0873468 # DEPENDENCYPART_ARC
(8,13),-0.562222 # DEPENDENCYPART_ARC
(8,14),-0.656302 # DEPENDENCYPART_ARC
(8,15),-0.37139 # DEPENDENCYPART_ARC
(8,16),-1.27491 # DEPENDENCYPART_ARC
(8,17),-1.00743 # DEPENDENCYPART_ARC
(8,18),-1.43652 # DEPENDENCYPART_ARC
(8,19),-2.16578 # DEPENDENCYPART_ARC
(8,20),-1.10128 # DEPENDENCYPART_ARC
(8,21),-0.984978 # DEPENDENCYPART_ARC
(8,22),-1.03677 # DEPENDENCYPART_ARC
(8,23),-0.0422248 # DEPENDENCYPART_ARC
(8,24),-2.12436 # DEPENDENCYPART_ARC
(8,25),-1.92046 # DEPENDENCYPART_ARC
(8,26),-2.61803 # DEPENDENCYPART_ARC
(8,27),-2.81288 # DEPENDENCYPART_ARC
(8,28),-3.39559 # DEPENDENCYPART_ARC
(8,29),-3.03687 # DEPENDENCYPART_ARC
(8,30),-2.11956 # DEPENDENCYPART_ARC
(8,31),-3.20187 # DEPENDENCYPART_ARC
(8,32),-0.435172 # DEPENDENCYPART_ARC
(9,1),-1.66378 # DEPENDENCYPART_ARC
(9,2),-1.22332 # DEPENDENCYPART_ARC
(9,3),-0.426642 # DEPENDENCYPART_ARC
(9,4),-0.44458 # DEPENDENCYPART_ARC
(9,5),-0.0294044 # DEPENDENCYPART_ARC
(9,6),-0.381192 # DEPENDENCYPART_ARC
(9,7),0.0713631 # DEPENDENCYPART_ARC
(9,8),0.55152 # DEPENDENCYPART_ARC
(9,10),1.14747 # DEPENDENCYPART_ARC
(9,11),0.060982 # DEPENDENCYPART_ARC
(9,12),-0.15681 # DEPENDENCYPART_ARC
(9,13),-1.10384 # DEPENDENCYPART_ARC
(9,14),-0.69954 # DEPENDENCYPART_ARC
(9,15),-1.26722 # DEPENDENCYPART_ARC
(9,16),-1.24771 # DEPENDENCYPART_ARC
(9,17),-1.5052 # DEPENDENCYPART_ARC
(9,18),-1.04695 # DEPENDENCYPART_ARC
(9,19),-0.979699 # DEPENDENCYPART_ARC
(9,20),-1.68574 # DEPENDENCYPART_ARC
(9,21),-1.8322 # DEPENDENCYPART_ARC
(9,22),-0.891424 # DEPENDENCYPART_ARC
(9,23),-0.623386 # DEPENDENCYPART_ARC
(9,24),-1.29089 # DEPENDENCYPART_ARC
(9,25),-1.22884 # DEPENDENCYPART_ARC
(9,26),-2.67422 # DEPENDENCYPART_ARC
(9,27),-2.70253 # DEPENDENCYPART_ARC
(9,28),-1.6893 # DEPENDENCYPART_ARC
(9,29),-1.90446 # DEPENDENCYPART_ARC
(9,30),-2.60165 # DEPENDENCYPART_ARC
(9,31),-1.5405 # DEPENDENCYPART_ARC
(9,32),-2.02748 # DEPENDENCYPART_ARC
(10,1),-1.7974 # DEPENDENCYPART_ARC
(10,2),-1.73686 # DEPENDENCYPART_ARC
(10,3),-1.54693 # DEPENDENCYPART_ARC
(10,4),-1.56188 # DEPENDENCYPART_ARC
(10,5),-0.604826 # DEPENDENCYPART_ARC
(10,6),-1.34886 # DEPENDENCYPART_ARC
(10,7),-0.492641 # DEPENDENCYPART_ARC
(10,8),-1.01349 # DEPENDENCYPART_ARC
(10,9),-0.110748 # DEPENDENCYPART_ARC
(10,11),0.304283 # DEPENDENCYPART_ARC
(10,12),0.176541 # DEPENDENCYPART_ARC
(10,13),-1.10336 # DEPENDENCYPART_ARC
(10,14),-0.808187 # DEPENDENCYPART_ARC
(10,15),-1.2016 # DEPENDENCYPART_ARC
(10,16),-1.28848 # DEPENDENCYPART_ARC
(10,17),-1.65509 # DEPENDENCYPART_ARC
(10,18),-1.85554 # DEPENDENCYPART_ARC
(10,19),-1.93079 # DEPENDENCYPART_ARC
(10,20),-1.8297 # DEPENDENCYPART_ARC
(10,21),-2.00695 # DEPENDENCYPART_ARC
(10,22),-1.90238 # DEPENDENCYPART_ARC
(10,23),-1.33392 # DEPENDENCYPART_ARC
(10,24),-1.72388 # DEPENDENCYPART_ARC
(10,25),-1.74731 # DEPENDENCYPART_ARC
(10,26),-2.29658 # DEPENDENCYPART_ARC
(10,27),-2.83118 # DEPENDENCYPART_ARC
(10,28),-2.49707 # DEPENDENCYPART_ARC
(10,29),-2.8076 # DEPENDENCYPART_ARC
(10,30),-2.91642 # DEPENDENCYPART_ARC
(10,31),-2.69977 # DEPENDENCYPART_ARC
(10,32),-1.95048 # DEPENDENCYPART_ARC
(11,1),-2.12009 # DEPENDENCYPART_ARC
(11,2),-1.69473 # DEPENDENCYPART_ARC
(11,3),-1.77819 # DEPENDENCYPART_ARC
(11,4),-2.11456 # DEPENDENCYPART_ARC
(11,5),0.206517 # DEPENDENCYPART_ARC
(11,6),-1.36197 # DEPENDENCYPART_ARC
(11,7),-1.26045 # DEPENDENCYPART_ARC
(11,8),-0.889172 # DEPENDENCYPART_ARC
(11,9),-1.00946 # DEPENDENCYPART_ARC
(11,10),-0.432889 # DEPENDENCYPART_ARC
(11,12),0.0314007 # DEPENDENCYPART_ARC
(11,13),-1.25558 # DEPENDENCYPART_ARC
(11,14),-1.66156 # DEPENDENCYPART_ARC
(11,15),-1.35664 # DEPENDENCYPART_ARC
(11,16),-1.61304 # DEPENDENCYPART_ARC
(11,17),-2.02399 # DEPENDENCYPART_ARC
(11,18),-2.13873 # DEPENDENCYPART_ARC
(11,19),-2.29409 # DEPENDENCYPART_ARC
(11,20),-2.41977 # DEPENDENCYPART_ARC
(11,21),-2.51722 # DEPENDENCYPART_ARC
(11,22),-2.9874 # DEPENDENCYPART_ARC
(11,23),-1.328 # DEPENDENCYPART_ARC
(11,24),-2.39376 # DEPENDENCYPART_ARC
(11,25),-2.35588 # DEPENDENCYPART_ARC
(11,26),-2.29487 # DEPENDENCYPART_ARC
(11,27),-3.25545 # DEPENDENCYPART_ARC
(11,28),-3.57933 # DEPENDENCYPART_ARC
(11,29),-3.24429 # DEPENDENCYPART_ARC
(11,30),-3.54567 # DEPENDENCYPART_ARC
(11,31),-3.97009 # DEPENDENCYPART_ARC
(11,32),-2.68334 # DEPENDENCYPART_ARC
(12,1),0.895777 # DEPENDENCYPART_ARC
(12,2),-0.342778 # DEPENDENCYPART_ARC
(12,3),0.207406 # DEPENDENCYPART_ARC
(12,4),0.583335 # DEPENDENCYPART_ARC
(12,5),1.74327 # DEPENDENCYPART_ARC
(12,6),1.26371 # DEPENDENCYPART_ARC
(12,7),0.693815 # DEPENDENCYPART_ARC
(12,8),1.74059 # DEPENDENCYPART_ARC
(12,9),1.53585 # DEPENDENCYPART_ARC
(12,10),0.697794 # DEPENDENCYPART_ARC
(12,11),2.3576 # DEPENDENCYPART_ARC
(12,13),1.7188 # DEPENDENCYPART_ARC
(12,14),3.15864 # DEPENDENCYPART_ARC
(12,15),2.34101 # DEPENDENCYPART_ARC
(12,16),1.89323 # DEPENDENCYPART_ARC
(12,17),-7.20206e-05 # DEPENDENCYPART_ARC
(12,18),0.0206066 # DEPENDENCYPART_ARC
(12,19),0.891842 # DEPENDENCYPART_ARC
(12,20),0.374171 # DEPENDENCYPART_ARC
(12,21),-0.0534119 # DEPENDENCYPART_ARC
(12,22),1.06756 # DEPENDENCYPART_ARC
(12,23),2.75289 # DEPENDENCYPART_ARC
(12,24),3.96469 # DEPENDENCYPART_ARC
(12,25),0.0103535 # DEPENDENCYPART_ARC
(12,26),-0.482148 # DEPENDENCYPART_ARC
(12,27),-0.986472 # DEPENDENCYPART_ARC
(12,28),-1.60714 # DEPENDENCYPART_ARC
(12,29),-0.522782 # DEPENDENCYPART_ARC
(12,30),-1.08952 # DEPENDENCYPART_ARC
(12,31),-0.980619 # DEPENDENCYPART_ARC
(12,32),6.50341 # DEPENDENCYPART_ARC
(13,1),-2.28302 # DEPENDENCYPART_ARC
(13,2),-2.2204 # DEPENDENCYPART_ARC
(13,3),-2.0462 # DEPENDENCYPART_ARC
(13,4),-2.27736 # DEPENDENCYPART_ARC
(13,5),-1.18597 # DEPENDENCYPART_ARC
(13,6),-2.10936 # DEPENDENCYPART_ARC
(13,7),-0.995594 # DEPENDENCYPART_ARC
(13,8),-1.66824 # DEPENDENCYPART_ARC
(13,9),-0.995143 # DEPENDENCYPART_ARC
(13,10),-1.03744 # DEPENDENCYPART_ARC
(13,11),-0.636066 # DEPENDENCYPART_ARC
(13,12),-0.218406 # DEPENDENCYPART_ARC
(13,14),0.939798 # DEPENDENCYPART_ARC
(13,15),-0.153661 # DEPENDENCYPART_ARC
(13,16),-0.0659455 # DEPENDENCYPART_ARC
(13,17),-1.06709 # DEPENDENCYPART_ARC
(13,18),-0.620066 # DEPENDENCYPART_ARC
(13,19),-0.897487 # DEPENDENCYPART_ARC
(13,20),-0.941998 # DEPENDENCYPART_ARC
(13,21),-1.06894 # DEPENDENCYPART_ARC
(13,22),-1.02897 # DEPENDENCYPART_ARC
(13,23),-0.584193 # DEPENDENCYPART_ARC
(13,24),-1.18011 # DEPENDENCYPART_ARC
(13,25),-1.54465 # DEPENDENCYPART_ARC
(13,26),-0.959276 # DEPENDENCYPART_ARC
(13,27),-2.13967 # DEPENDENCYPART_ARC
(13,28),-1.75583 # DEPENDENCYPART_ARC
(13,29),-2.30447 # DEPENDENCYPART_ARC
(13,30),-2.1593 # DEPENDENCYPART_ARC
(13,31),-2.13771 # DEPENDENCYPART_ARC
(13,32),-1.30457 # DEPENDENCYPART_ARC
(14,1),-1.94818 # DEPENDENCYPART_ARC
(14,2),-1.64383 # DEPENDENCYPART_ARC
(14,3),-1.28968 # DEPENDENCYPART_ARC
(14,4),-2.24916 # DEPENDENCYPART_ARC
(14,5),-0.0146774 # DEPENDENCYPART_ARC
(14,6),-2.57364 # DEPENDENCYPART_ARC
(14,7),-0.742411 # DEPENDENCYPART_ARC
(14,8),-0.771327 # DEPENDENCYPART_ARC
(14,9),-0.390515 # DEPENDENCYPART_ARC
(14,10),-0.989131 # DEPENDENCYPART_ARC
(14,11),0.149167 # DEPENDENCYPART_ARC
(14,12),0.247962 # DEPENDENCYPART_ARC
(14,13),4.35497 # DEPENDENCYPART_ARC
(14,15),2.32856 # DEPENDENCYPART_ARC
(14,16),0.939512 # DEPENDENCYPART_ARC
(14,17),0.024782 # DEPENDENCYPART_ARC
(14,18),-0.149248 # DEPENDENCYPART_ARC
(14,19),0.0763103 # DEPENDENCYPART_ARC
(14,20),0.325079 # DEPENDENCYPART_ARC
(14,21),0.131654 # DEPENDENCYPART_ARC
(14,22),0.42871 # DEPENDENCYPART_ARC
(14,23),0.846661 # DEPENDENCYPART_ARC
(14,24),-0.0531926 # DEPENDENCYPART_ARC
(14,25),0.49113 # DEPENDENCYPART_ARC
(14,26),-0.495735 # DEPENDENCYPART_ARC
(14,27),-1.6688 # DEPENDENCYPART_ARC
(14,28),-1.96483 # DEPENDENCYPART_ARC
(14,29),-1.27273 # DEPENDENCYPART_ARC
(14,30),-1.04114 # DEPENDENCYPART_ARC
(14,31),-1.5841 # DEPENDENCYPART_ARC
(14,32),0.652126 # DEPENDENCYPART_ARC
(15,1),-1.94185 # DEPENDENCYPART_ARC
(15,2),-1.58707 # DEPENDENCYPART_ARC
(15,3),-1.41958 # DEPENDENCYPART_ARC
(15,4),-1.13778 # DEPENDENCYPART_ARC
(15,5),0.271501 # DEPENDENCYPART_ARC
(15,6),-1.0146 # DEPENDENCYPART_ARC
(15,7),-0.196229 # DEPENDENCYPART_ARC
(15,8),-1.13686 # DEPENDENCYPART_ARC
(15,9),-0.424014 # DEPENDENCYPART_ARC
(15,10),-0.763033 # DEPENDENCYPART_ARC
(15,11),-0.334812 # DEPENDENCYPART_ARC
(15,12),-0.168006 # DEPENDENCYPART_ARC
(15,13),0.794508 # DEPENDENCYPART_ARC
(15,14),0.965053 # DEPENDENCYPART_ARC
(15,16),3.10247 # DEPENDENCYPART_ARC
(15,17),0.17661 # DEPENDENCYPART_ARC
(15,18),0.556773 # DEPENDENCYPART_ARC
(15,19),0.71146 # DEPENDENCYPART_ARC
(15,20),0.0715038 # DEPENDENCYPART_ARC
(15,21),0.225592 # DEPENDENCYPART_ARC
(15,22),0.906359 # DEPENDENCYPART_ARC
(15,23),0.637333 # DEPENDENCYPART_ARC
(15,24),-0.234106 # DEPENDENCYPART_ARC
(15,25),-0.208971 # DEPENDENCYPART_ARC
(15,26),0.0564323 # DEPENDENCYPART_ARC
(15,27),-0.999155 # DEPENDENCYPART_ARC
(15,28),-2.92152 # DEPENDENCYPART_ARC
(15,29),-1.33387 # DEPENDENCYPART_ARC
(15,30),-1.88222 # DEPENDENCYPART_ARC
(15,31),-2.04292 # DEPENDENCYPART_ARC
(15,32),-0.0159848 # DEPENDENCYPART_ARC
(16,1),-2.8306 # DEPENDENCYPART_ARC
(16,2),-2.2255 # DEPENDENCYPART_ARC
(16,3),-2.33258 # DEPENDENCYPART_ARC
(16,4),-2.30149 # DEPENDENCYPART_ARC
(16,5),-0.861622 # DEPENDENCYPART_ARC
(16,6),-2.04193 # DEPENDENCYPART_ARC
(16,7),-1.70184 # DEPENDENCYPART_ARC
(16,8),-2.12524 # DEPENDENCYPART_ARC
(16,9),-1.01803 # DEPENDENCYPART_ARC
(16,10),-1.57072 # DEPENDENCYPART_ARC
