# _root_ The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .
#goldHeads=3,3,16,3,4,3,9,9,3,11,9,11,14,12,3,0,18,16,20,21,18,18,24,22,24,31,31,27,30,28,25,31,32,16,
#predictedHeads=3,3,16,3,4,3,9,9,2,11,9,11,14,12,9,0,18,16,20,21,18,18,24,22,24,31,31,27,31,31,25,31,32,16,
(0,34),-5.71525 # DEPENDENCYPART_ARC
(1,2),-0.370804 # DEPENDENCYPART_ARC
(1,3),-1.5236 # DEPENDENCYPART_ARC
(1,4),-1.09383 # DEPENDENCYPART_ARC
(1,5),-1.90707 # DEPENDENCYPART_ARC
(1,6),-1.37916 # DEPENDENCYPART_ARC
(1,7),-2.79 # DEPENDENCYPART_ARC
(1,8),-2.10157 # DEPENDENCYPART_ARC
(1,9),-2.21171 # DEPENDENCYPART_ARC
(1,10),-2.92392 # DEPENDENCYPART_ARC
(1,11),-2.68481 # DEPENDENCYPART_ARC
(1,12),-2.78339 # DEPENDENCYPART_ARC
(1,13),-3.22521 # DEPENDENCYPART_ARC
(1,14),-3.20063 # DEPENDENCYPART_ARC
(1,15),-2.01581 # DEPENDENCYPART_ARC
(1,16),-3.48601 # DEPENDENCYPART_ARC
(1,17),-3.1951 # DEPENDENCYPART_ARC
(1,18),-4.28888 # DEPENDENCYPART_ARC
(1,19),-3.5137 # DEPENDENCYPART_ARC
(1,20),-3.59796 # DEPENDENCYPART_ARC
(1,21),-3.68318 # DEPENDENCYPART_ARC
(1,22),-4.0531 # DEPENDENCYPART_ARC
(1,23),-3.80337 # DEPENDENCYPART_ARC
(1,24),-5.18321 # DEPENDENCYPART_ARC
(1,25),-4.71969 # DEPENDENCYPART_ARC
(1,26),-4.89993 # DEPENDENCYPART_ARC
(1,27),-4.77209 # DEPENDENCYPART_ARC
(1,28),-4.76103 # DEPENDENCYPART_ARC
(1,29),-4.75805 # DEPENDENCYPART_ARC
(1,30),-4.79411 # DEPENDENCYPART_ARC
(1,31),-4.83124 # DEPENDENCYPART_ARC
(1,32),-5.79404 # DEPENDENCYPART_ARC
(1,33),-5.204 # DEPENDENCYPART_ARC
(1,34),-4.0244 # DEPENDENCYPART_ARC
(2,1),3.42722 # DEPENDENCYPART_ARC
(2,3),1.51637 # DEPENDENCYPART_ARC
(2,4),1.47257 # DEPENDENCYPART_ARC
(2,5),1.20126 # DEPENDENCYPART_ARC
(2,6),2.27598 # DEPENDENCYPART_ARC
(2,7),-0.417716 # DEPENDENCYPART_ARC
(2,8),0.00739144 # DEPENDENCYPART_ARC
(2,9),2.29185 # DEPENDENCYPART_ARC
(2,10),-0.648032 # DEPENDENCYPART_ARC
(2,11),-0.315232 # DEPENDENCYPART_ARC
(2,12),0.545769 # DEPENDENCYPART_ARC
(2,13),-0.711894 # DEPENDENCYPART_ARC
(2,14),-0.356653 # DEPENDENCYPART_ARC
(2,15),2.06861 # DEPENDENCYPART_ARC
(2,16),1.07935 # DEPENDENCYPART_ARC
(2,17),-0.570209 # DEPENDENCYPART_ARC
(2,18),0.292257 # DEPENDENCYPART_ARC
(2,19),-1.01292 # DEPENDENCYPART_ARC
(2,20),-1.60376 # DEPENDENCYPART_ARC
(2,21),-0.895485 # DEPENDENCYPART_ARC
(2,22),-1.21557 # DEPENDENCYPART_ARC
(2,23),-1.27474 # DEPENDENCYPART_ARC
(2,24),-0.638537 # DEPENDENCYPART_ARC
(2,25),-3.28065 # DEPENDENCYPART_ARC
(2,26),-2.26106 # DEPENDENCYPART_ARC
(2,27),-2.89244 # DEPENDENCYPART_ARC
(2,28),-6.10929 # DEPENDENCYPART_ARC
(2,29),-3.67894 # DEPENDENCYPART_ARC
(2,30),-3.54424 # DEPENDENCYPART_ARC
(2,31),-3.09778 # DEPENDENCYPART_ARC
(2,32),-7.78859 # DEPENDENCYPART_ARC
(2,33),-4.05998 # DEPENDENCYPART_ARC
(2,34),2.3216 # DEPENDENCYPART_ARC
(3,1),4.05756 # DEPENDENCYPART_ARC
(3,2),3.09102 # DEPENDENCYPART_ARC
(3,4),4.63906 # DEPENDENCYPART_ARC
(3,5),1.53612 # DEPENDENCYPART_ARC
(3,6),2.53787 # DEPENDENCYPART_ARC
(3,7),-0.303548 # DEPENDENCYPART_ARC
(3,8),0.481996 # DEPENDENCYPART_ARC
(3,9),2.06963 # DEPENDENCYPART_ARC
(3,10),0.0306341 # DEPENDENCYPART_ARC
(3,11),0.00493155 # DEPENDENCYPART_ARC
(3,12),0.395305 # DEPENDENCYPART_ARC
(3,13),-1.15958 # DEPENDENCYPART_ARC
(3,14),-0.391639 # DEPENDENCYPART_ARC
(3,15),1.97897 # DEPENDENCYPART_ARC
(3,16),0.926123 # DEPENDENCYPART_ARC
(3,17),-0.506108 # DEPENDENCYPART_ARC
(3,18),0.137044 # DEPENDENCYPART_ARC
(3,19),-1.29714 # DEPENDENCYPART_ARC
(3,20),-1.02109 # DEPENDENCYPART_ARC
(3,21),0.31084 # DEPENDENCYPART_ARC
(3,22),-0.712025 # DEPENDENCYPART_ARC
(3,23),-1.17268 # DEPENDENCYPART_ARC
(3,24),-0.416204 # DEPENDENCYPART_ARC
(3,25),-2.03568 # DEPENDENCYPART_ARC
(3,26),-0.998409 # DEPENDENCYPART_ARC
(3,27),-3.59256 # DEPENDENCYPART_ARC
(3,28),-3.18829 # DEPENDENCYPART_ARC
(3,29),-4.28517 # DEPENDENCYPART_ARC
(3,30),-3.75376 # DEPENDENCYPART_ARC
(3,31),-3.82446 # DEPENDENCYPART_ARC
(3,32),-3.9011 # DEPENDENCYPART_ARC
(3,33),-4.43575 # DEPENDENCYPART_ARC
(3,34),1.19985 # DEPENDENCYPART_ARC
(4,1),-0.286221 # DEPENDENCYPART_ARC
(4,2),-0.874427 # DEPENDENCYPART_ARC
(4,3),0.293904 # DEPENDENCYPART_ARC
(4,5),3.53607 # DEPENDENCYPART_ARC
(4,6),0.654624 # DEPENDENCYPART_ARC
(4,7),-1.53482 # DEPENDENCYPART_ARC
(4,8),-0.791991 # DEPENDENCYPART_ARC
(4,9),-0.337339 # DEPENDENCYPART_ARC
(4,10),-1.62427 # DEPENDENCYPART_ARC
(4,11),-1.11426 # DEPENDENCYPART_ARC
(4,12),-1.10991 # DEPENDENCYPART_ARC
(4,13),-2.18253 # DEPENDENCYPART_ARC
(4,14),-1.63313 # DEPENDENCYPART_ARC
(4,15),-0.400781 # DEPENDENCYPART_ARC
(4,16),-2.13408 # DEPENDENCYPART_ARC
(4,17),-1.73331 # DEPENDENCYPART_ARC
(4,18),-2.87982 # DEPENDENCYPART_ARC
(4,19),-2.33768 # DEPENDENCYPART_ARC
(4,20),-4.71708 # DEPENDENCYPART_ARC
(4,21),-2.9617 # DEPENDENCYPART_ARC
(4,22),-1.30462 # DEPENDENCYPART_ARC
(4,23),-2.1231 # DEPENDENCYPART_ARC
(4,24),-4.29287 # DEPENDENCYPART_ARC
(4,25),-3.29086 # DEPENDENCYPART_ARC
(4,26),-3.62728 # DEPENDENCYPART_ARC
(4,27),-6.91259 # DEPENDENCYPART_ARC
(4,28),-4.08619 # DEPENDENCYPART_ARC
(4,29),-7.94187 # DEPENDENCYPART_ARC
(4,30),-7.62055 # DEPENDENCYPART_ARC
(4,31),-7.83982 # DEPENDENCYPART_ARC
(4,32),-5.09179 # DEPENDENCYPART_ARC
(4,33),-9.38425 # DEPENDENCYPART_ARC
(4,34),-1.34507 # DEPENDENCYPART_ARC
(5,1),0.881251 # DEPENDENCYPART_ARC
(5,2),0.320424 # DEPENDENCYPART_ARC
(5,3),0.0526432 # DEPENDENCYPART_ARC
(5,4),0.366858 # DEPENDENCYPART_ARC
(5,6),1.98324 # DEPENDENCYPART_ARC
(5,7),-0.387987 # DEPENDENCYPART_ARC
(5,8),0.0938905 # DEPENDENCYPART_ARC
(5,9),1.28559 # DEPENDENCYPART_ARC
(5,10),-0.630014 # DEPENDENCYPART_ARC
(5,11),-0.597185 # DEPENDENCYPART_ARC
(5,12),-0.748016 # DEPENDENCYPART_ARC
(5,13),-1.3625 # DEPENDENCYPART_ARC
(5,14),-0.103229 # DEPENDENCYPART_ARC
(5,15),1.69269 # DEPENDENCYPART_ARC
(5,16),-0.124544 # DEPENDENCYPART_ARC
(5,17),-1.05491 # DEPENDENCYPART_ARC
(5,18),-0.63461 # DEPENDENCYPART_ARC
(5,19),-2.30956 # DEPENDENCYPART_ARC
(5,20),-1.99009 # DEPENDENCYPART_ARC
(5,21),-0.437211 # DEPENDENCYPART_ARC
(5,22),-0.742239 # DEPENDENCYPART_ARC
(5,23),-1.71129 # DEPENDENCYPART_ARC
(5,24),-1.3336 # DEPENDENCYPART_ARC
(5,25),-2.47249 # DEPENDENCYPART_ARC
(5,26),-1.97131 # DEPENDENCYPART_ARC
(5,27),-3.79676 # DEPENDENCYPART_ARC
(5,28),-3.99935 # DEPENDENCYPART_ARC
(5,29),-4.43311 # DEPENDENCYPART_ARC
(5,30),-3.54579 # DEPENDENCYPART_ARC
(5,31),-3.90593 # DEPENDENCYPART_ARC
(5,32),-4.68426 # DEPENDENCYPART_ARC
(5,33),-4.82293 # DEPENDENCYPART_ARC
(5,34),0.933372 # DEPENDENCYPART_ARC
(6,1),-1.20954 # DEPENDENCYPART_ARC
(6,2),-1.56642 # DEPENDENCYPART_ARC
(6,3),-1.45061 # DEPENDENCYPART_ARC
(6,4),-1.16252 # DEPENDENCYPART_ARC
(6,5),-0.954771 # DEPENDENCYPART_ARC
(6,7),-1.0057 # DEPENDENCYPART_ARC
(6,8),-1.32583 # DEPENDENCYPART_ARC
(6,9),-1.07349 # DEPENDENCYPART_ARC
(6,10),-2.12976 # DEPENDENCYPART_ARC
(6,11),-2.15639 # DEPENDENCYPART_ARC
(6,12),-1.59394 # DEPENDENCYPART_ARC
(6,13),-2.2418 # DEPENDENCYPART_ARC
(6,14),-2.41509 # DEPENDENCYPART_ARC
(6,15),-0.773922 # DEPENDENCYPART_ARC
(6,16),-2.06941 # DEPENDENCYPART_ARC
(6,17),-2.46636 # DEPENDENCYPART_ARC
(6,18),-2.31011 # DEPENDENCYPART_ARC
(6,19),-3.19758 # DEPENDENCYPART_ARC
(6,20),-3.15291 # DEPENDENCYPART_ARC
(6,21),-3.19978 # DEPENDENCYPART_ARC
(6,22),-2.77576 # DEPENDENCYPART_ARC
(6,23),-3.08807 # DEPENDENCYPART_ARC
(6,24),-2.89071 # DEPENDENCYPART_ARC
(6,25),-2.92612 # DEPENDENCYPART_ARC
(6,26),-3.624 # DEPENDENCYPART_ARC
(6,27),-3.72682 # DEPENDENCYPART_ARC
(6,28),-3.28645 # DEPENDENCYPART_ARC
(6,29),-3.99473 # DEPENDENCYPART_ARC
(6,30),-4.1119 # DEPENDENCYPART_ARC
(6,31),-4.18718 # DEPENDENCYPART_ARC
(6,32),-3.71767 # DEPENDENCYPART_ARC
(6,33),-4.5152 # DEPENDENCYPART_ARC
(6,34),-3.3893 # DEPENDENCYPART_ARC
(7,1),-0.568044 # DEPENDENCYPART_ARC
(7,2),-1.21508 # DEPENDENCYPART_ARC
(7,3),-0.914377 # DEPENDENCYPART_ARC
(7,4),-0.901934 # DEPENDENCYPART_ARC
(7,5),-0.444641 # DEPENDENCYPART_ARC
(7,6),0.38081 # DEPENDENCYPART_ARC
(7,8),0.157781 # DEPENDENCYPART_ARC
(7,9),0.426138 # DEPENDENCYPART_ARC
(7,10),-0.982088 # DEPENDENCYPART_ARC
(7,11),-0.230297 # DEPENDENCYPART_ARC
(7,12),-0.775404 # DEPENDENCYPART_ARC
(7,13),-1.28321 # DEPENDENCYPART_ARC
(7,14),-1.39434 # DEPENDENCYPART_ARC
(7,15),-0.686016 # DEPENDENCYPART_ARC
(7,16),-1.43593 # DEPENDENCYPART_ARC
(7,17),-1.73629 # DEPENDENCYPART_ARC
(7,18),-1.67683 # DEPENDENCYPART_ARC
(7,19),-2.19254 # DEPENDENCYPART_ARC
(7,20),-2.09441 # DEPENDENCYPART_ARC
(7,21),-2.23656 # DEPENDENCYPART_ARC
(7,22),-1.72057 # DEPENDENCYPART_ARC
(7,23),-2.3263 # DEPENDENCYPART_ARC
(7,24),-2.50578 # DEPENDENCYPART_ARC
(7,25),-2.28942 # DEPENDENCYPART_ARC
(7,26),-2.87234 # DEPENDENCYPART_ARC
(7,27),-2.81069 # DEPENDENCYPART_ARC
(7,28),-2.43741 # DEPENDENCYPART_ARC
(7,29),-3.10371 # DEPENDENCYPART_ARC
(7,30),-3.20696 # DEPENDENCYPART_ARC
(7,31),-3.30484 # DEPENDENCYPART_ARC
(7,32),-2.85963 # DEPENDENCYPART_ARC
(7,33),-3.58135 # DEPENDENCYPART_ARC
(7,34),-2.54165 # DEPENDENCYPART_ARC
(8,1),-0.970495 # DEPENDENCYPART_ARC
(8,2),-1.87147 # DEPENDENCYPART_ARC
(8,3),-2.10831 # DEPENDENCYPART_ARC
(8,4),-1.83172 # DEPENDENCYPART_ARC
(8,5),-1.41861 # DEPENDENCYPART_ARC
(8,6),-0.799038 # DEPENDENCYPART_ARC
(8,7),0.213478 # DEPENDENCYPART_ARC
(8,9),0.675785 # DEPENDENCYPART_ARC
(8,10),-0.780424 # DEPENDENCYPART_ARC
(8,11),-0.60067 # DEPENDENCYPART_ARC
(8,12),-0.0493986 # DEPENDENCYPART_ARC
(8,13),-1.44533 # DEPENDENCYPART_ARC
(8,14),-1.81389 # DEPENDENCYPART_ARC
(8,15),0.123423 # DEPENDENCYPART_ARC
(8,16),-1.13872 # DEPENDENCYPART_ARC
(8,17),-1.6638 # DEPENDENCYPART_ARC
(8,18),-1.58073 # DEPENDENCYPART_ARC
(8,19),-2.10255 # DEPENDENCYPART_ARC
(8,20),-2.34852 # DEPENDENCYPART_ARC
(8,21),-1.59054 # DEPENDENCYPART_ARC
(8,22),-1.01654 # DEPENDENCYPART_ARC
(8,23),-2.1023 # DEPENDENCYPART_ARC
(8,24),-1.64936 # DEPENDENCYPART_ARC
(8,25),-2.30472 # DEPENDENCYPART_ARC
(8,26),-2.78753 # DEPENDENCYPART_ARC
(8,27),-3.468 # DEPENDENCYPART_ARC
(8,28),-2.43459 # DEPENDENCYPART_ARC
(8,29),-3.71215 # DEPENDENCYPART_ARC
(8,30),-3.78528 # DEPENDENCYPART_ARC
(8,31),-3.88337 # DEPENDENCYPART_ARC
(8,32),-3.54058 # DEPENDENCYPART_ARC
(8,33),-4.18729 # DEPENDENCYPART_ARC
(8,34),-1.05932 # DEPENDENCYPART_ARC
(9,1),-0.751144 # DEPENDENCYPART_ARC
(9,2),1.06007 # DEPENDENCYPART_ARC
(9,3),1.25543 # DEPENDENCYPART_ARC
(9,4),-0.279984 # DEPENDENCYPART_ARC
(9,5),0.9913 # DEPENDENCYPART_ARC
(9,6),0.853645 # DEPENDENCYPART_ARC
(9,7),2.82556 # DEPENDENCYPART_ARC
(9,8),2.53429 # DEPENDENCYPART_ARC
(9,10),0.963868 # DEPENDENCYPART_ARC
(9,11),2.91665 # DEPENDENCYPART_ARC
(9,12),2.79608 # DEPENDENCYPART_ARC
(9,13),0.366815 # DEPENDENCYPART_ARC
(9,14),0.859034 # DEPENDENCYPART_ARC
(9,15),2.16193 # DEPENDENCYPART_ARC
(9,16),0.761114 # DEPENDENCYPART_ARC
(9,17),0.441089 # DEPENDENCYPART_ARC
(9,18),1.00081 # DEPENDENCYPART_ARC
(9,19),-0.514588 # DEPENDENCYPART_ARC
(9,20),-0.675605 # DEPENDENCYPART_ARC
(9,21),-0.150107 # DEPENDENCYPART_ARC
(9,22),1.86613 # DEPENDENCYPART_ARC
(9,23),-0.42845 # DEPENDENCYPART_ARC
(9,24),-1.04099 # DEPENDENCYPART_ARC
(9,25),-0.705872 # DEPENDENCYPART_ARC
(9,26),-1.97589 # DEPENDENCYPART_ARC
(9,27),-1.63538 # DEPENDENCYPART_ARC
(9,28),-2.02084 # DEPENDENCYPART_ARC
(9,29),-2.39939 # DEPENDENCYPART_ARC
(9,30),-2.33054 # DEPENDENCYPART_ARC
(9,31),-1.92382 # DEPENDENCYPART_ARC
(9,32),-2.44203 # DEPENDENCYPART_ARC
(9,33),-2.36728 # DEPENDENCYPART_ARC
(9,34),6.07541 # DEPENDENCYPART_ARC
(10,1),-1.65278 # DEPENDENCYPART_ARC
(10,2),-2.10696 # DEPENDENCYPART_ARC
(10,3),-1.73083 # DEPENDENCYPART_ARC
(10,4),-2.06716 # DEPENDENCYPART_ARC
(10,5),-1.46848 # DEPENDENCYPART_ARC
(10,6),-1.07994 # DEPENDENCYPART_ARC
(10,7),-0.557064 # DEPENDENCYPART_ARC
(10,8),-0.725542 # DEPENDENCYPART_ARC
(10,9),-0.387751 # DEPENDENCYPART_ARC
(10,11),0.439567 # DEPENDENCYPART_ARC
(10,12),-0.236659 # DEPENDENCYPART_ARC
(10,13),-0.596942 # DEPENDENCYPART_ARC
(10,14),-0.863551 # DEPENDENCYPART_ARC
(10,15),-0.646646 # DEPENDENCYPART_ARC
(10,16),-0.83484 # DEPENDENCYPART_ARC
(10,17),-1.31568 # DEPENDENCYPART_ARC
(10,18),-1.04833 # DEPENDENCYPART_ARC
(10,19),-1.91428 # DEPENDENCYPART_ARC
(10,20),-1.47548 # DEPENDENCYPART_ARC
(10,21),-1.94544 # DEPENDENCYPART_ARC
(10,22),-1.23621 # DEPENDENCYPART_ARC
(10,23),-1.87176 # DEPENDENCYPART_ARC
(10,24),-1.66382 # DEPENDENCYPART_ARC
(10,25),-1.97327 # DEPENDENCYPART_ARC
(10,26),-2.54831 # DEPENDENCYPART_ARC
(10,27),-2.64622 # DEPENDENCYPART_ARC
(10,28),-2.2959 # DEPENDENCYPART_ARC
(10,29),-2.8792 # DEPENDENCYPART_ARC
(10,30),-2.93953 # DEPENDENCYPART_ARC
(10,31),-3.03107 # DEPENDENCYPART_ARC
(10,32),-2.82687 # DEPENDENCYPART_ARC
(10,33),-3.29193 # DEPENDENCYPART_ARC
(10,34),-2.21688 # DEPENDENCYPART_ARC
(11,1),-0.221611 # DEPENDENCYPART_ARC
(11,2),-1.74186 # DEPENDENCYPART_ARC
(11,3),-2.80624 # DEPENDENCYPART_ARC
(11,4),-1.53 # DEPENDENCYPART_ARC
(11,5),-2.62293 # DEPENDENCYPART_ARC
(11,6),-1.00994 # DEPENDENCYPART_ARC
(11,7),-0.0744567 # DEPENDENCYPART_ARC
(11,8),0.535556 # DEPENDENCYPART_ARC
(11,9),-0.304277 # DEPENDENCYPART_ARC
(11,10),4.07305 # DEPENDENCYPART_ARC
(11,12),2.94357 # DEPENDENCYPART_ARC
(11,13),0.568596 # DEPENDENCYPART_ARC
(11,14),1.36508 # DEPENDENCYPART_ARC
(11,15),1.66583 # DEPENDENCYPART_ARC
(11,16),0.610735 # DEPENDENCYPART_ARC
(11,17),-0.261438 # DEPENDENCYPART_ARC
(11,18),-0.291322 # DEPENDENCYPART_ARC
(11,19),-0.579498 # DEPENDENCYPART_ARC
(11,20),-0.691602 # DEPENDENCYPART_ARC
(11,21),-0.611862 # DEPENDENCYPART_ARC
(11,22),-0.208665 # DEPENDENCYPART_ARC
(11,23),-0.935982 # DEPENDENCYPART_ARC
(11,24),-0.7666 # DEPENDENCYPART_ARC
(11,25),-1.82418 # DEPENDENCYPART_ARC
(11,26),-1.7957 # DEPENDENCYPART_ARC
(11,27),-2.26867 # DEPENDENCYPART_ARC
(11,28),-4.31173 # DEPENDENCYPART_ARC
(11,29),-2.6189 # DEPENDENCYPART_ARC
(11,30),-2.37252 # DEPENDENCYPART_ARC
(11,31),-2.32091 # DEPENDENCYPART_ARC
(11,32),-6.49175 # DEPENDENCYPART_ARC
(11,33),-3.18127 # DEPENDENCYPART_ARC
(11,34),1.71873 # DEPENDENCYPART_ARC
(12,1),-1.65632 # DEPENDENCYPART_ARC
(12,2),-1.51171 # DEPENDENCYPART_ARC
(12,3),-1.39003 # DEPENDENCYPART_ARC
(12,4),-1.45778 # DEPENDENCYPART_ARC
(12,5),-1.34223 # DEPENDENCYPART_ARC
(12,6),-0.703579 # DEPENDENCYPART_ARC
(12,7),0.164823 # DEPENDENCYPART_ARC
(12,8),-0.801265 # DEPENDENCYPART_ARC
(12,9),-0.625998 # DEPENDENCYPART_ARC
(12,10),0.463554 # DEPENDENCYPART_ARC
(12,11),0.148406 # DEPENDENCYPART_ARC
(12,13),3.06017 # DEPENDENCYPART_ARC
(12,14),4.31801 # DEPENDENCYPART_ARC
(12,15),1.02738 # DEPENDENCYPART_ARC
(12,16),0.529753 # DEPENDENCYPART_ARC
(12,17),-0.20487 # DEPENDENCYPART_ARC
(12,18),-0.722534 # DEPENDENCYPART_ARC
(12,19),-1.26049 # DEPENDENCYPART_ARC
(12,20),-0.987408 # DEPENDENCYPART_ARC
(12,21),-0.787933 # DEPENDENCYPART_ARC
(12,22),-0.245637 # DEPENDENCYPART_ARC
(12,23),-1.03614 # DEPENDENCYPART_ARC
(12,24),-3.07421 # DEPENDENCYPART_ARC
(12,25),-1.62851 # DEPENDENCYPART_ARC
(12,26),-2.6521 # DEPENDENCYPART_ARC
(12,27),-3.70889 # DEPENDENCYPART_ARC
(12,28),-1.91732 # DEPENDENCYPART_ARC
(12,29),-4.59318 # DEPENDENCYPART_ARC
(12,30),-4.12269 # DEPENDENCYPART_ARC
(12,31),-1.70339 # DEPENDENCYPART_ARC
(12,32),-2.93516 # DEPENDENCYPART_ARC
(12,33),-5.07805 # DEPENDENCYPART_ARC
(12,34),0.362327 # DEPENDENCYPART_ARC
(13,1),-3.94727 # DEPENDENCYPART_ARC
(13,2),-4.47957 # DEPENDENCYPART_ARC
(13,3),-5.90647 # DEPENDENCYPART_ARC
(13,4),-3.85339 # DEPENDENCYPART_ARC
(13,5),-3.71088 # DEPENDENCYPART_ARC
(13,6),-2.95458 # DEPENDENCYPART_ARC
(13,7),-3.0415 # DEPENDENCYPART_ARC
(13,8),-2.10191 # DEPENDENCYPART_ARC
(13,9),-2.46099 # DEPENDENCYPART_ARC
(13,10),-0.0995849 # DEPENDENCYPART_ARC
(13,11),-1.72144 # DEPENDENCYPART_ARC
(13,12),-0.75891 # DEPENDENCYPART_ARC
(13,14),2.42681 # DEPENDENCYPART_ARC
(13,15),1.29437 # DEPENDENCYPART_ARC
(13,16),0.132298 # DEPENDENCYPART_ARC
(13,17),-0.415661 # DEPENDENCYPART_ARC
(13,18),-0.47194 # DEPENDENCYPART_ARC
(13,19),-0.916525 # DEPENDENCYPART_ARC
(13,20),-1.17295 # DEPENDENCYPART_ARC
(13,21),-0.0468164 # DEPENDENCYPART_ARC
(13,22),-0.958454 # DEPENDENCYPART_ARC
(13,23),-1.1304 # DEPENDENCYPART_ARC
(13,24),-1.25217 # DEPENDENCYPART_ARC
(13,25),-1.95621 # DEPENDENCYPART_ARC
(13,26),-1.46552 # DEPENDENCYPART_ARC
(13,27),-2.74668 # DEPENDENCYPART_ARC
(13,28),-1.39638 # DEPENDENCYPART_ARC
(13,29),-3.06188 # DEPENDENCYPART_ARC
(13,30),-2.35544 # DEPENDENCYPART_ARC
(13,31),-2.64832 # DEPENDENCYPART_ARC
(13,32),-2.02191 # DEPENDENCYPART_ARC
(13,33),-3.58316 # DEPENDENCYPART_ARC
(13,34),1.0516 # DEPENDENCYPART_ARC
(14,1),-2.05688 # DEPENDENCYPART_ARC
(14,2),-2.40383 # DEPENDENCYPART_ARC
(14,3),-4.28252 # DEPENDENCYPART_ARC
(14,4),-2.21578 # DEPENDENCYPART_ARC
(14,5),-1.39241 # DEPENDENCYPART_ARC
(14,6),-1.2647 # DEPENDENCYPART_ARC
(14,7),-1.73341 # DEPENDENCYPART_ARC
(14,8),-1.2118 # DEPENDENCYPART_ARC
(14,9),-1.05749 # DEPENDENCYPART_ARC
(14,10),1.36732 # DEPENDENCYPART_ARC
(14,11),-0.457097 # DEPENDENCYPART_ARC
(14,12),-0.0138912 # DEPENDENCYPART_ARC
(14,13),4.93063 # DEPENDENCYPART_ARC
(14,15),1.41953 # DEPENDENCYPART_ARC
(14,16),-0.485776 # DEPENDENCYPART_ARC
(14,17),-0.442019 # DEPENDENCYPART_ARC
(14,18),-0.601684 # DEPENDENCYPART_ARC
(14,19),-1.21792 # DEPENDENCYPART_ARC
(14,20),-1.39865 # DEPENDENCYPART_ARC
(14,21),-0.327659 # DEPENDENCYPART_ARC
(14,22),-1.22104 # DEPENDENCYPART_ARC
(14,23),-1.26889 # DEPENDENCYPART_ARC
(14,24),-1.44432 # DEPENDENCYPART_ARC
(14,25),-2.06101 # DEPENDENCYPART_ARC
(14,26),-2.05379 # DEPENDENCYPART_ARC
(14,27),-3.05769 # DEPENDENCYPART_ARC
(14,28),-2.5209 # DEPENDENCYPART_ARC
(14,29),-3.75809 # DEPENDENCYPART_ARC
(14,30),-3.11113 # DEPENDENCYPART_ARC
(14,31),-3.20593 # DEPENDENCYPART_ARC
(14,32),-3.16296 # DEPENDENCYPART_ARC
(14,33),-4.06786 # DEPENDENCYPART_ARC
(14,34),0.403732 # DEPENDENCYPART_ARC
(15,1),-2.13524 # DEPENDENCYPART_ARC
(15,2),-2.34621 # DEPENDENCYPART_ARC
(15,3),-2.52257 # DEPENDENCYPART_ARC
(15,4),-2.2227 # DEPENDENCYPART_ARC
(15,5),-2.32536 # DEPENDENCYPART_ARC
(15,6),-0.830539 # DEPENDENCYPART_ARC
(15,7),-1.22436 # DEPENDENCYPART_ARC
(15,8),-2.10305 # DEPENDENCYPART_ARC
(15,9),-1.33037 # DEPENDENCYPART_ARC
