# _root_ But shortly before then , some of Wall Street 's sharpest traders say , they sensed a turn .
#goldHeads=13,3,13,3,13,13,6,9,12,9,12,7,0,13,16,13,18,16,13,
#predictedHeads=16,3,16,3,13,13,6,9,12,9,12,7,0,16,16,13,18,16,16,
(1,17),-4.75658 # DEPENDENCYPART_ARC
(1,18),-5.72068 # DEPENDENCYPART_ARC
(1,19),-1.67771 # DEPENDENCYPART_ARC
(2,1),-0.199238 # DEPENDENCYPART_ARC
(2,3),0.761781 # DEPENDENCYPART_ARC
(2,4),0.887439 # DEPENDENCYPART_ARC
(2,5),0.706806 # DEPENDENCYPART_ARC
(2,6),-0.509244 # DEPENDENCYPART_ARC
(2,7),-0.0926274 # DEPENDENCYPART_ARC
(2,8),-0.941469 # DEPENDENCYPART_ARC
(2,9),-0.904634 # DEPENDENCYPART_ARC
(2,10),-1.07739 # DEPENDENCYPART_ARC
(2,11),-1.33208 # DEPENDENCYPART_ARC
(2,12),-1.50674 # DEPENDENCYPART_ARC
(2,13),-0.524465 # DEPENDENCYPART_ARC
(2,14),0.503301 # DEPENDENCYPART_ARC
(2,15),-1.10245 # DEPENDENCYPART_ARC
(2,16),-0.873741 # DEPENDENCYPART_ARC
(2,17),-0.937314 # DEPENDENCYPART_ARC
(2,18),-2.48498 # DEPENDENCYPART_ARC
(2,19),-0.592175 # DEPENDENCYPART_ARC
(3,1),0.937727 # DEPENDENCYPART_ARC
(3,2),2.5832 # DEPENDENCYPART_ARC
(3,4),3.49715 # DEPENDENCYPART_ARC
(3,5),0.841753 # DEPENDENCYPART_ARC
(3,6),-0.0562305 # DEPENDENCYPART_ARC
(3,7),0.308251 # DEPENDENCYPART_ARC
(3,8),-1.28425 # DEPENDENCYPART_ARC
(3,9),-1.69222 # DEPENDENCYPART_ARC
(3,10),-0.566764 # DEPENDENCYPART_ARC
(3,11),-0.526154 # DEPENDENCYPART_ARC
(3,12),-0.690072 # DEPENDENCYPART_ARC
(3,13),1.2726 # DEPENDENCYPART_ARC
(3,14),0.231558 # DEPENDENCYPART_ARC
(3,15),-1.93039 # DEPENDENCYPART_ARC
(3,16),0.0286437 # DEPENDENCYPART_ARC
(3,17),-2.479 # DEPENDENCYPART_ARC
(3,18),-3.84569 # DEPENDENCYPART_ARC
(3,19),0.535811 # DEPENDENCYPART_ARC
(4,1),-0.577213 # DEPENDENCYPART_ARC
(4,2),0.548424 # DEPENDENCYPART_ARC
(4,3),1.22959 # DEPENDENCYPART_ARC
(4,5),0.534485 # DEPENDENCYPART_ARC
(4,6),0.139244 # DEPENDENCYPART_ARC
(4,7),0.586871 # DEPENDENCYPART_ARC
(4,8),-0.478665 # DEPENDENCYPART_ARC
(4,9),-0.617757 # DEPENDENCYPART_ARC
(4,10),-1.02101 # DEPENDENCYPART_ARC
(4,11),-1.27922 # DEPENDENCYPART_ARC
(4,12),-1.57806 # DEPENDENCYPART_ARC
(4,13),-0.305084 # DEPENDENCYPART_ARC
(4,14),0.391943 # DEPENDENCYPART_ARC
(4,15),-0.989928 # DEPENDENCYPART_ARC
(4,16),-0.186344 # DEPENDENCYPART_ARC
(4,17),-0.900274 # DEPENDENCYPART_ARC
(4,18),-2.4469 # DEPENDENCYPART_ARC
(4,19),-0.314254 # DEPENDENCYPART_ARC
(5,1),-2.73319 # DEPENDENCYPART_ARC
(5,2),-2.5328 # DEPENDENCYPART_ARC
(5,3),-2.05379 # DEPENDENCYPART_ARC
(5,4),-1.76951 # DEPENDENCYPART_ARC
(5,6),-0.436127 # DEPENDENCYPART_ARC
(5,7),-0.951133 # DEPENDENCYPART_ARC
(5,8),-0.963219 # DEPENDENCYPART_ARC
(5,9),-1.25093 # DEPENDENCYPART_ARC
(5,10),-1.64652 # DEPENDENCYPART_ARC
(5,11),-2.00011 # DEPENDENCYPART_ARC
(5,12),-2.14227 # DEPENDENCYPART_ARC
(5,13),-1.64329 # DEPENDENCYPART_ARC
(5,14),-0.251899 # DEPENDENCYPART_ARC
(5,15),-2.13839 # DEPENDENCYPART_ARC
(5,16),-1.82368 # DEPENDENCYPART_ARC
(5,17),-2.52569 # DEPENDENCYPART_ARC
(5,18),-3.04361 # DEPENDENCYPART_ARC
(5,19),-1.89349 # DEPENDENCYPART_ARC
(6,1),-1.86598 # DEPENDENCYPART_ARC
(6,2),-1.08536 # DEPENDENCYPART_ARC
(6,3),-0.355734 # DEPENDENCYPART_ARC
(6,4),-0.298496 # DEPENDENCYPART_ARC
(6,5),0.0752016 # DEPENDENCYPART_ARC
(6,7),3.63602 # DEPENDENCYPART_ARC
(6,8),1.47624 # DEPENDENCYPART_ARC
(6,9),1.38831 # DEPENDENCYPART_ARC
(6,10),0.597357 # DEPENDENCYPART_ARC
(6,11),0.220818 # DEPENDENCYPART_ARC
(6,12),0.80378 # DEPENDENCYPART_ARC
(6,13),0.896501 # DEPENDENCYPART_ARC
(6,14),2.23856 # DEPENDENCYPART_ARC
(6,15),0.412051 # DEPENDENCYPART_ARC
(6,16),0.111686 # DEPENDENCYPART_ARC
(6,17),-0.634959 # DEPENDENCYPART_ARC
(6,18),-0.156903 # DEPENDENCYPART_ARC
(6,19),0.66762 # DEPENDENCYPART_ARC
(7,1),-1.29557 # DEPENDENCYPART_ARC
(7,2),-0.82971 # DEPENDENCYPART_ARC
(7,3),-0.897861 # DEPENDENCYPART_ARC
(7,4),-0.905067 # DEPENDENCYPART_ARC
(7,5),-0.676287 # DEPENDENCYPART_ARC
(7,6),0.583489 # DEPENDENCYPART_ARC
(7,8),3.02146 # DEPENDENCYPART_ARC
(7,9),1.68479 # DEPENDENCYPART_ARC
(7,10),0.166012 # DEPENDENCYPART_ARC
(7,11),0.0986362 # DEPENDENCYPART_ARC
(7,12),4.57201 # DEPENDENCYPART_ARC
(7,13),0.0212004 # DEPENDENCYPART_ARC
(7,14),0.921889 # DEPENDENCYPART_ARC
(7,15),-0.370526 # DEPENDENCYPART_ARC
(7,16),-0.864767 # DEPENDENCYPART_ARC
(7,17),-1.98497 # DEPENDENCYPART_ARC
(7,18),-1.77925 # DEPENDENCYPART_ARC
(7,19),0.808961 # DEPENDENCYPART_ARC
(8,1),-4.89361 # DEPENDENCYPART_ARC
(8,2),-4.28786 # DEPENDENCYPART_ARC
(8,3),-3.33406 # DEPENDENCYPART_ARC
(8,4),-3.53669 # DEPENDENCYPART_ARC
(8,5),-3.16184 # DEPENDENCYPART_ARC
(8,6),-1.95326 # DEPENDENCYPART_ARC
(8,7),-1.65823 # DEPENDENCYPART_ARC
(8,9),-0.78275 # DEPENDENCYPART_ARC
(8,10),0.166946 # DEPENDENCYPART_ARC
(8,11),-2.00017 # DEPENDENCYPART_ARC
(8,12),-2.10947 # DEPENDENCYPART_ARC
(8,13),-1.83756 # DEPENDENCYPART_ARC
(8,14),-1.47974 # DEPENDENCYPART_ARC
(8,15),-2.51137 # DEPENDENCYPART_ARC
(8,16),-2.18136 # DEPENDENCYPART_ARC
(8,17),-3.0321 # DEPENDENCYPART_ARC
(8,18),-2.8427 # DEPENDENCYPART_ARC
(8,19),-2.62032 # DEPENDENCYPART_ARC
(9,1),-2.82027 # DEPENDENCYPART_ARC
(9,2),-2.42838 # DEPENDENCYPART_ARC
(9,3),-1.72033 # DEPENDENCYPART_ARC
(9,4),-2.04468 # DEPENDENCYPART_ARC
(9,5),-1.1971 # DEPENDENCYPART_ARC
(9,6),0.209003 # DEPENDENCYPART_ARC
(9,7),-0.15684 # DEPENDENCYPART_ARC
(9,8),7.34342 # DEPENDENCYPART_ARC
(9,10),4.09852 # DEPENDENCYPART_ARC
(9,11),0.368015 # DEPENDENCYPART_ARC
(9,12),-0.199148 # DEPENDENCYPART_ARC
(9,13),-0.00925657 # DEPENDENCYPART_ARC
(9,14),-0.0566885 # DEPENDENCYPART_ARC
(9,15),-0.465497 # DEPENDENCYPART_ARC
(9,16),-0.275664 # DEPENDENCYPART_ARC
(9,17),-1.40503 # DEPENDENCYPART_ARC
(9,18),-1.40745 # DEPENDENCYPART_ARC
(9,19),-0.668151 # DEPENDENCYPART_ARC
(10,1),-2.1182 # DEPENDENCYPART_ARC
(10,2),-1.97006 # DEPENDENCYPART_ARC
(10,3),-1.36007 # DEPENDENCYPART_ARC
(10,4),-1.73152 # DEPENDENCYPART_ARC
(10,5),-0.903799 # DEPENDENCYPART_ARC
(10,6),-0.0714436 # DEPENDENCYPART_ARC
(10,7),-0.373991 # DEPENDENCYPART_ARC
(10,8),0.552179 # DEPENDENCYPART_ARC
(10,9),1.11131 # DEPENDENCYPART_ARC
(10,11),-0.582594 # DEPENDENCYPART_ARC
(10,12),-1.00175 # DEPENDENCYPART_ARC
(10,13),-0.764779 # DEPENDENCYPART_ARC
(10,14),-0.506908 # DEPENDENCYPART_ARC
(10,15),-1.76049 # DEPENDENCYPART_ARC
(10,16),-1.47991 # DEPENDENCYPART_ARC
(10,17),-2.06049 # DEPENDENCYPART_ARC
(10,18),-2.23575 # DEPENDENCYPART_ARC
(10,19),-1.72851 # DEPENDENCYPART_ARC
(11,1),-1.99264 # DEPENDENCYPART_ARC
(11,2),-0.913977 # DEPENDENCYPART_ARC
(11,3),-1.20112 # DEPENDENCYPART_ARC
(11,4),-0.682862 # DEPENDENCYPART_ARC
(11,5),-1.04011 # DEPENDENCYPART_ARC
(11,6),-0.171875 # DEPENDENCYPART_ARC
(11,7),-0.615239 # DEPENDENCYPART_ARC
(11,8),-0.234324 # DEPENDENCYPART_ARC
(11,9),-0.0434481 # DEPENDENCYPART_ARC
(11,10),0.639356 # DEPENDENCYPART_ARC
(11,12),0.508385 # DEPENDENCYPART_ARC
(11,13),0.448973 # DEPENDENCYPART_ARC
(11,14),0.261021 # DEPENDENCYPART_ARC
(11,15),-0.560245 # DEPENDENCYPART_ARC
(11,16),0.0910748 # DEPENDENCYPART_ARC
(11,17),-1.04609 # DEPENDENCYPART_ARC
(11,18),-0.759583 # DEPENDENCYPART_ARC
(11,19),-0.52807 # DEPENDENCYPART_ARC
(12,1),-2.2261 # DEPENDENCYPART_ARC
(12,2),-2.12091 # DEPENDENCYPART_ARC
(12,3),-0.883008 # DEPENDENCYPART_ARC
(12,4),-1.76093 # DEPENDENCYPART_ARC
(12,5),-1.00308 # DEPENDENCYPART_ARC
(12,6),-0.746965 # DEPENDENCYPART_ARC
(12,7),-0.3967 # DEPENDENCYPART_ARC
(12,8),2.90379 # DEPENDENCYPART_ARC
(12,9),2.80887 # DEPENDENCYPART_ARC
(12,10),0.512154 # DEPENDENCYPART_ARC
(12,11),3.1095 # DEPENDENCYPART_ARC
(12,13),1.15608 # DEPENDENCYPART_ARC
(12,14),0.376997 # DEPENDENCYPART_ARC
(12,15),-0.314023 # DEPENDENCYPART_ARC
(12,16),0.378702 # DEPENDENCYPART_ARC
(12,17),-0.402104 # DEPENDENCYPART_ARC
(12,18),-0.948841 # DEPENDENCYPART_ARC
(12,19),0.0914464 # DEPENDENCYPART_ARC
(13,1),1.37653 # DEPENDENCYPART_ARC
(13,2),0.0452324 # DEPENDENCYPART_ARC
(13,3),0.212284 # DEPENDENCYPART_ARC
(13,4),0.196335 # DEPENDENCYPART_ARC
(13,5),2.65756 # DEPENDENCYPART_ARC
(13,6),2.09986 # DEPENDENCYPART_ARC
(13,7),-0.0757626 # DEPENDENCYPART_ARC
(13,8),0.730783 # DEPENDENCYPART_ARC
(13,9),0.875921 # DEPENDENCYPART_ARC
(13,10),0.98199 # DEPENDENCYPART_ARC
(13,11),1.60566 # DEPENDENCYPART_ARC
(13,12),3.05626 # DEPENDENCYPART_ARC
(13,14),2.68924 # DEPENDENCYPART_ARC
(13,15),0.214618 # DEPENDENCYPART_ARC
(13,16),1.96444 # DEPENDENCYPART_ARC
(13,17),-0.449787 # DEPENDENCYPART_ARC
(13,18),-0.797772 # DEPENDENCYPART_ARC
(13,19),3.03087 # DEPENDENCYPART_ARC
(14,1),-2.83034 # DEPENDENCYPART_ARC
(14,2),-3.11142 # DEPENDENCYPART_ARC
(14,3),-2.29682 # DEPENDENCYPART_ARC
(14,4),-2.93427 # DEPENDENCYPART_ARC
(14,5),-0.940794 # DEPENDENCYPART_ARC
(14,6),-1.75903 # DEPENDENCYPART_ARC
(14,7),-1.85644 # DEPENDENCYPART_ARC
(14,8),-2.14056 # DEPENDENCYPART_ARC
(14,9),-2.25185 # DEPENDENCYPART_ARC
(14,10),-1.75511 # DEPENDENCYPART_ARC
(14,11),-1.18355 # DEPENDENCYPART_ARC
(14,12),-1.87069 # DEPENDENCYPART_ARC
(14,13),-1.0994 # DEPENDENCYPART_ARC
(14,15),0.0813634 # DEPENDENCYPART_ARC
(14,16),0.0601092 # DEPENDENCYPART_ARC
(14,17),-0.946863 # DEPENDENCYPART_ARC
(14,18),-1.23904 # DEPENDENCYPART_ARC
(14,19),-0.974251 # DEPENDENCYPART_ARC
(15,1),-2.94774 # DEPENDENCYPART_ARC
(15,2),-3.02833 # DEPENDENCYPART_ARC
(15,3),-2.2291 # DEPENDENCYPART_ARC
(15,4),-2.86503 # DEPENDENCYPART_ARC
(15,5),-1.41096 # DEPENDENCYPART_ARC
(15,6),-1.3786 # DEPENDENCYPART_ARC
(15,7),-1.78114 # DEPENDENCYPART_ARC
(15,8),-1.99533 # DEPENDENCYPART_ARC
(15,9),-1.91693 # DEPENDENCYPART_ARC
(15,10),-1.66148 # DEPENDENCYPART_ARC
(15,11),-1.20516 # DEPENDENCYPART_ARC
(15,12),-1.31943 # DEPENDENCYPART_ARC
(15,13),-1.10561 # DEPENDENCYPART_ARC
(15,14),1.013 # DEPENDENCYPART_ARC
(15,16),1.3474 # DEPENDENCYPART_ARC
(15,17),0.377512 # DEPENDENCYPART_ARC
(15,18),0.133403 # DEPENDENCYPART_ARC
(15,19),-0.0761379 # DEPENDENCYPART_ARC
(16,1),1.95952 # DEPENDENCYPART_ARC
(16,2),0.790299 # DEPENDENCYPART_ARC
(16,3),1.95664 # DEPENDENCYPART_ARC
(16,4),1.02382 # DEPENDENCYPART_ARC
(16,5),2.52521 # DEPENDENCYPART_ARC
(16,6),1.03333 # DEPENDENCYPART_ARC
(16,7),0.804583 # DEPENDENCYPART_ARC
(16,8),0.299962 # DEPENDENCYPART_ARC
(16,9),0.773194 # DEPENDENCYPART_ARC
(16,10),0.199458 # DEPENDENCYPART_ARC
(16,11),0.902098 # DEPENDENCYPART_ARC
(16,12),1.05097 # DEPENDENCYPART_ARC
(16,13),0.595479 # DEPENDENCYPART_ARC
(16,14),3.16049 # DEPENDENCYPART_ARC
(16,15),4.37082 # DEPENDENCYPART_ARC
(16,17),0.923415 # DEPENDENCYPART_ARC
(16,18),2.63199 # DEPENDENCYPART_ARC
(16,19),3.39618 # DEPENDENCYPART_ARC
(17,1),-3.5825 # DEPENDENCYPART_ARC
(17,2),-3.18124 # DEPENDENCYPART_ARC
(17,3),-1.91866 # DEPENDENCYPART_ARC
(17,4),-2.93766 # DEPENDENCYPART_ARC
(17,5),-2.55594 # DEPENDENCYPART_ARC
(17,6),-2.04931 # DEPENDENCYPART_ARC
(17,7),-1.39916 # DEPENDENCYPART_ARC
(17,8),-2.24132 # DEPENDENCYPART_ARC
(17,9),-2.26521 # DEPENDENCYPART_ARC
(17,10),-2.02251 # DEPENDENCYPART_ARC
(17,11),-1.37879 # DEPENDENCYPART_ARC
(17,12),-1.84236 # DEPENDENCYPART_ARC
(17,13),-1.82039 # DEPENDENCYPART_ARC
(17,14),-0.997419 # DEPENDENCYPART_ARC
(17,15),-0.193169 # DEPENDENCYPART_ARC
(17,16),-0.447536 # DEPENDENCYPART_ARC
(17,18),0.684595 # DEPENDENCYPART_ARC
(17,19),-0.995032 # DEPENDENCYPART_ARC
(18,1),-2.21496 # DEPENDENCYPART_ARC
(18,2),-4.25996 # DEPENDENCYPART_ARC
(18,3),-1.21515 # DEPENDENCYPART_ARC
(18,4),-3.80446 # DEPENDENCYPART_ARC
(18,5),-0.994765 # DEPENDENCYPART_ARC
(18,6),-3.63484 # DEPENDENCYPART_ARC
(18,7),-0.687072 # DEPENDENCYPART_ARC
(18,8),-1.48354 # DEPENDENCYPART_ARC
(18,9),-1.13404 # DEPENDENCYPART_ARC
(18,10),-0.923515 # DEPENDENCYPART_ARC
(18,11),0.0760489 # DEPENDENCYPART_ARC
(18,12),-0.864585 # DEPENDENCYPART_ARC
(18,13),-0.935218 # DEPENDENCYPART_ARC
(18,14),0.301119 # DEPENDENCYPART_ARC
(18,15),0.316303 # DEPENDENCYPART_ARC
(18,16),0.433503 # DEPENDENCYPART_ARC
(18,17),4.66453 # DEPENDENCYPART_ARC
(18,19),0.841309 # DEPENDENCYPART_ARC
(19,1),-1.89949 # DEPENDENCYPART_ARC
(19,2),-1.66259 # DEPENDENCYPART_ARC
(19,3),-2.05506 # DEPENDENCYPART_ARC
(19,4),-1.01181 # DEPENDENCYPART_ARC
(19,5),-0.334655 # DEPENDENCYPART_ARC
(19,6),-1.4982 # DEPENDENCYPART_ARC
(19,7),-1.56558 # DEPENDENCYPART_ARC
(19,8),-1.54279 # DEPENDENCYPART_ARC
(19,9),-1.51674 # DEPENDENCYPART_ARC
(19,10),-1.44214 # DEPENDENCYPART_ARC
(19,11),-1.09552 # DEPENDENCYPART_ARC
(19,12),-1.35856 # DEPENDENCYPART_ARC
(19,13),-0.693845 # DEPENDENCYPART_ARC
(19,14),-0.176697 # DEPENDENCYPART_ARC
(19,15),-0.533821 # DEPENDENCYPART_ARC
(19,16),-0.478196 # DEPENDENCYPART_ARC
(19,17),-0.554741 # DEPENDENCYPART_ARC
(19,18),-1.65572 # DEPENDENCYPART_ARC
