# _root_ In the first nine months of 1988 , net was $ 85 million , or $ 3.76 a share .
#goldHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
#predictedHeads=10,5,5,5,1,5,6,10,10,0,10,11,11,11,11,15,16,19,16,10,
(7,15),-0.140535 # DEPENDENCYPART_ARC
(7,16),-0.669805 # DEPENDENCYPART_ARC
(7,17),-0.611106 # DEPENDENCYPART_ARC
(7,18),-0.831506 # DEPENDENCYPART_ARC
(7,19),-1.03557 # DEPENDENCYPART_ARC
(7,20),0.136671 # DEPENDENCYPART_ARC
(8,1),-1.84613 # DEPENDENCYPART_ARC
(8,2),-1.36749 # DEPENDENCYPART_ARC
(8,3),-1.8298 # DEPENDENCYPART_ARC
(8,4),-1.5908 # DEPENDENCYPART_ARC
(8,5),-1.4578 # DEPENDENCYPART_ARC
(8,6),-1.23904 # DEPENDENCYPART_ARC
(8,7),-0.693139 # DEPENDENCYPART_ARC
(8,9),-0.482774 # DEPENDENCYPART_ARC
(8,10),-0.60826 # DEPENDENCYPART_ARC
(8,11),-1.59411 # DEPENDENCYPART_ARC
(8,12),-1.86524 # DEPENDENCYPART_ARC
(8,13),-2.03678 # DEPENDENCYPART_ARC
(8,14),-0.138976 # DEPENDENCYPART_ARC
(8,15),-1.7722 # DEPENDENCYPART_ARC
(8,16),-2.64805 # DEPENDENCYPART_ARC
(8,17),-2.74815 # DEPENDENCYPART_ARC
(8,18),-2.48666 # DEPENDENCYPART_ARC
(8,19),-2.90707 # DEPENDENCYPART_ARC
(8,20),-1.88092 # DEPENDENCYPART_ARC
(9,1),-1.26463 # DEPENDENCYPART_ARC
(9,2),0.253081 # DEPENDENCYPART_ARC
(9,3),-0.218042 # DEPENDENCYPART_ARC
(9,4),0.0751986 # DEPENDENCYPART_ARC
(9,5),-0.0982756 # DEPENDENCYPART_ARC
(9,6),0.487539 # DEPENDENCYPART_ARC
(9,7),0.788193 # DEPENDENCYPART_ARC
(9,8),0.745951 # DEPENDENCYPART_ARC
(9,10),1.36214 # DEPENDENCYPART_ARC
(9,11),0.15949 # DEPENDENCYPART_ARC
(9,12),0.124263 # DEPENDENCYPART_ARC
(9,13),0.162686 # DEPENDENCYPART_ARC
(9,14),0.261821 # DEPENDENCYPART_ARC
(9,15),0.823703 # DEPENDENCYPART_ARC
(9,16),-1.22856 # DEPENDENCYPART_ARC
(9,17),-1.07088 # DEPENDENCYPART_ARC
(9,18),-1.22338 # DEPENDENCYPART_ARC
(9,19),-1.08175 # DEPENDENCYPART_ARC
(9,20),0.0147657 # DEPENDENCYPART_ARC
(10,1),3.00808 # DEPENDENCYPART_ARC
(10,2),0.0690992 # DEPENDENCYPART_ARC
(10,3),1.38636 # DEPENDENCYPART_ARC
(10,4),0.831321 # DEPENDENCYPART_ARC
(10,5),0.0990048 # DEPENDENCYPART_ARC
(10,6),0.277888 # DEPENDENCYPART_ARC
(10,7),0.816099 # DEPENDENCYPART_ARC
(10,8),3.02088 # DEPENDENCYPART_ARC
(10,9),2.71389 # DEPENDENCYPART_ARC
(10,11),2.69921 # DEPENDENCYPART_ARC
(10,12),1.5903 # DEPENDENCYPART_ARC
(10,13),1.24143 # DEPENDENCYPART_ARC
(10,14),2.33653 # DEPENDENCYPART_ARC
(10,15),0.73426 # DEPENDENCYPART_ARC
(10,16),0.114622 # DEPENDENCYPART_ARC
(10,17),-0.191311 # DEPENDENCYPART_ARC
(10,18),-0.25318 # DEPENDENCYPART_ARC
(10,19),-0.0840662 # DEPENDENCYPART_ARC
(10,20),4.67231 # DEPENDENCYPART_ARC
(11,1),-1.99234 # DEPENDENCYPART_ARC
(11,2),-0.376683 # DEPENDENCYPART_ARC
(11,3),-1.37303 # DEPENDENCYPART_ARC
(11,4),-1.26286 # DEPENDENCYPART_ARC
(11,5),-1.29969 # DEPENDENCYPART_ARC
(11,6),-0.299066 # DEPENDENCYPART_ARC
(11,7),-0.349446 # DEPENDENCYPART_ARC
(11,8),-0.0749673 # DEPENDENCYPART_ARC
(11,9),0.761953 # DEPENDENCYPART_ARC
(11,10),0.905211 # DEPENDENCYPART_ARC
(11,12),4.46293 # DEPENDENCYPART_ARC
(11,13),4.04899 # DEPENDENCYPART_ARC
(11,14),3.90792 # DEPENDENCYPART_ARC
(11,15),3.29667 # DEPENDENCYPART_ARC
(11,16),0.176602 # DEPENDENCYPART_ARC
(11,17),0.0349824 # DEPENDENCYPART_ARC
(11,18),0.970085 # DEPENDENCYPART_ARC
(11,19),0.7003 # DEPENDENCYPART_ARC
(11,20),0.115924 # DEPENDENCYPART_ARC
(12,1),-3.78788 # DEPENDENCYPART_ARC
(12,2),-1.58459 # DEPENDENCYPART_ARC
(12,3),-2.32415 # DEPENDENCYPART_ARC
(12,4),-2.10612 # DEPENDENCYPART_ARC
(12,5),-2.63149 # DEPENDENCYPART_ARC
(12,6),-2.08939 # DEPENDENCYPART_ARC
(12,7),-1.43106 # DEPENDENCYPART_ARC
(12,8),-1.57611 # DEPENDENCYPART_ARC
(12,9),-1.02232 # DEPENDENCYPART_ARC
(12,10),-1.29336 # DEPENDENCYPART_ARC
(12,11),-0.476139 # DEPENDENCYPART_ARC
(12,13),1.79146 # DEPENDENCYPART_ARC
(12,14),-0.24962 # DEPENDENCYPART_ARC
(12,15),0.345123 # DEPENDENCYPART_ARC
(12,16),-0.742719 # DEPENDENCYPART_ARC
(12,17),-0.662149 # DEPENDENCYPART_ARC
(12,18),-1.10536 # DEPENDENCYPART_ARC
(12,19),-1.22085 # DEPENDENCYPART_ARC
(12,20),-0.399699 # DEPENDENCYPART_ARC
(13,1),-2.88292 # DEPENDENCYPART_ARC
(13,2),-0.348078 # DEPENDENCYPART_ARC
(13,3),-0.770041 # DEPENDENCYPART_ARC
(13,4),-0.897918 # DEPENDENCYPART_ARC
(13,5),-1.40275 # DEPENDENCYPART_ARC
(13,6),-1.13762 # DEPENDENCYPART_ARC
(13,7),-0.349705 # DEPENDENCYPART_ARC
(13,8),-0.195159 # DEPENDENCYPART_ARC
(13,9),0.0642855 # DEPENDENCYPART_ARC
(13,10),-0.343952 # DEPENDENCYPART_ARC
(13,11),0.412078 # DEPENDENCYPART_ARC
(13,12),1.92382 # DEPENDENCYPART_ARC
(13,14),-0.0350948 # DEPENDENCYPART_ARC
(13,15),0.1142 # DEPENDENCYPART_ARC
(13,16),-0.699053 # DEPENDENCYPART_ARC
(13,17),-1.08014 # DEPENDENCYPART_ARC
(13,18),-1.6452 # DEPENDENCYPART_ARC
(13,19),-1.11247 # DEPENDENCYPART_ARC
(13,20),-0.710589 # DEPENDENCYPART_ARC
(14,1),-2.0844 # DEPENDENCYPART_ARC
(14,2),-1.85825 # DEPENDENCYPART_ARC
(14,3),-2.06936 # DEPENDENCYPART_ARC
(14,4),-1.92928 # DEPENDENCYPART_ARC
(14,5),-1.83704 # DEPENDENCYPART_ARC
(14,6),-1.48579 # DEPENDENCYPART_ARC
(14,7),-1.6563 # DEPENDENCYPART_ARC
(14,8),-0.216686 # DEPENDENCYPART_ARC
(14,9),-1.43865 # DEPENDENCYPART_ARC
(14,10),-1.26858 # DEPENDENCYPART_ARC
(14,11),-0.564697 # DEPENDENCYPART_ARC
(14,12),-0.961263 # DEPENDENCYPART_ARC
(14,13),-0.278557 # DEPENDENCYPART_ARC
(14,15),0.127921 # DEPENDENCYPART_ARC
(14,16),-0.569253 # DEPENDENCYPART_ARC
(14,17),-0.899921 # DEPENDENCYPART_ARC
(14,18),-1.19997 # DEPENDENCYPART_ARC
(14,19),-1.40806 # DEPENDENCYPART_ARC
(14,20),-0.741038 # DEPENDENCYPART_ARC
(15,1),-2.13413 # DEPENDENCYPART_ARC
(15,2),-2.0527 # DEPENDENCYPART_ARC
(15,3),-2.15404 # DEPENDENCYPART_ARC
(15,4),-2.15127 # DEPENDENCYPART_ARC
(15,5),-1.52601 # DEPENDENCYPART_ARC
(15,6),-1.40106 # DEPENDENCYPART_ARC
(15,7),-1.80024 # DEPENDENCYPART_ARC
(15,8),-1.78653 # DEPENDENCYPART_ARC
(15,9),-1.35999 # DEPENDENCYPART_ARC
(15,10),-0.719572 # DEPENDENCYPART_ARC
(15,11),-0.904723 # DEPENDENCYPART_ARC
(15,12),-0.763394 # DEPENDENCYPART_ARC
(15,13),-0.855246 # DEPENDENCYPART_ARC
(15,14),-0.418139 # DEPENDENCYPART_ARC
(15,16),3.01516 # DEPENDENCYPART_ARC
(15,17),1.5169 # DEPENDENCYPART_ARC
(15,18),0.239367 # DEPENDENCYPART_ARC
(15,19),0.653081 # DEPENDENCYPART_ARC
(15,20),0.0759516 # DEPENDENCYPART_ARC
(16,1),-3.24782 # DEPENDENCYPART_ARC
(16,2),-1.85049 # DEPENDENCYPART_ARC
(16,3),-2.60305 # DEPENDENCYPART_ARC
(16,4),-2.4398 # DEPENDENCYPART_ARC
(16,5),-2.58994 # DEPENDENCYPART_ARC
(16,6),-1.26346 # DEPENDENCYPART_ARC
(16,7),-1.99416 # DEPENDENCYPART_ARC
(16,8),-1.8515 # DEPENDENCYPART_ARC
(16,9),-1.59841 # DEPENDENCYPART_ARC
(16,10),-1.61566 # DEPENDENCYPART_ARC
(16,11),-0.500682 # DEPENDENCYPART_ARC
(16,12),-0.846657 # DEPENDENCYPART_ARC
(16,13),-0.533666 # DEPENDENCYPART_ARC
(16,14),0.0119132 # DEPENDENCYPART_ARC
(16,15),0.581195 # DEPENDENCYPART_ARC
(16,17),4.53377 # DEPENDENCYPART_ARC
(16,18),1.42839 # DEPENDENCYPART_ARC
(16,19),2.58638 # DEPENDENCYPART_ARC
(16,20),-0.318504 # DEPENDENCYPART_ARC
(17,1),-3.39943 # DEPENDENCYPART_ARC
(17,2),-1.53418 # DEPENDENCYPART_ARC
(17,3),-1.88098 # DEPENDENCYPART_ARC
(17,4),-1.28327 # DEPENDENCYPART_ARC
(17,5),-2.26425 # DEPENDENCYPART_ARC
(17,6),-1.43883 # DEPENDENCYPART_ARC
(17,7),-0.825893 # DEPENDENCYPART_ARC
(17,8),-0.798041 # DEPENDENCYPART_ARC
(17,9),-1.21333 # DEPENDENCYPART_ARC
(17,10),-1.53511 # DEPENDENCYPART_ARC
(17,11),-1.63137 # DEPENDENCYPART_ARC
(17,12),0.181783 # DEPENDENCYPART_ARC
(17,13),-0.222132 # DEPENDENCYPART_ARC
(17,14),0.263372 # DEPENDENCYPART_ARC
(17,15),0.242897 # DEPENDENCYPART_ARC
(17,16),0.63714 # DEPENDENCYPART_ARC
(17,18),0.795874 # DEPENDENCYPART_ARC
(17,19),0.883113 # DEPENDENCYPART_ARC
(17,20),0.139108 # DEPENDENCYPART_ARC
(18,1),-2.44261 # DEPENDENCYPART_ARC
(18,2),-2.1182 # DEPENDENCYPART_ARC
(18,3),-2.7642 # DEPENDENCYPART_ARC
(18,4),-2.50636 # DEPENDENCYPART_ARC
(18,5),-2.65006 # DEPENDENCYPART_ARC
(18,6),-1.36126 # DEPENDENCYPART_ARC
(18,7),-2.18018 # DEPENDENCYPART_ARC
(18,8),-2.05985 # DEPENDENCYPART_ARC
(18,9),-1.96228 # DEPENDENCYPART_ARC
(18,10),-1.90326 # DEPENDENCYPART_ARC
(18,11),-1.54653 # DEPENDENCYPART_ARC
(18,12),-1.55725 # DEPENDENCYPART_ARC
(18,13),-1.30398 # DEPENDENCYPART_ARC
(18,14),-1.11493 # DEPENDENCYPART_ARC
(18,15),-1.38153 # DEPENDENCYPART_ARC
(18,16),-0.289498 # DEPENDENCYPART_ARC
(18,17),0.0249011 # DEPENDENCYPART_ARC
(18,19),0.492428 # DEPENDENCYPART_ARC
(18,20),-1.26544 # DEPENDENCYPART_ARC
(19,1),-2.54638 # DEPENDENCYPART_ARC
(19,2),-1.13371 # DEPENDENCYPART_ARC
(19,3),-1.52205 # DEPENDENCYPART_ARC
(19,4),-2.80536 # DEPENDENCYPART_ARC
(19,5),-2.71292 # DEPENDENCYPART_ARC
(19,6),-1.01255 # DEPENDENCYPART_ARC
(19,7),-2.11541 # DEPENDENCYPART_ARC
(19,8),-0.282366 # DEPENDENCYPART_ARC
(19,9),-1.33793 # DEPENDENCYPART_ARC
(19,10),-0.54863 # DEPENDENCYPART_ARC
(19,11),-0.713699 # DEPENDENCYPART_ARC
(19,12),-0.854098 # DEPENDENCYPART_ARC
(19,13),-1.44021 # DEPENDENCYPART_ARC
(19,14),0.0251034 # DEPENDENCYPART_ARC
(19,15),0.213112 # DEPENDENCYPART_ARC
(19,16),0.593131 # DEPENDENCYPART_ARC
(19,17),0.762433 # DEPENDENCYPART_ARC
(19,18),5.27911 # DEPENDENCYPART_ARC
(19,20),-0.962976 # DEPENDENCYPART_ARC
(20,1),-3.07556 # DEPENDENCYPART_ARC
(20,2),-2.15066 # DEPENDENCYPART_ARC
(20,3),-1.98666 # DEPENDENCYPART_ARC
(20,4),-2.50752 # DEPENDENCYPART_ARC
(20,5),-1.52128 # DEPENDENCYPART_ARC
(20,6),-2.24033 # DEPENDENCYPART_ARC
(20,7),-2.18398 # DEPENDENCYPART_ARC
(20,8),-1.06341 # DEPENDENCYPART_ARC
(20,9),-1.8919 # DEPENDENCYPART_ARC
(20,10),-1.3005 # DEPENDENCYPART_ARC
(20,11),-1.91084 # DEPENDENCYPART_ARC
(20,12),-1.7325 # DEPENDENCYPART_ARC
(20,13),-1.59792 # DEPENDENCYPART_ARC
(20,14),-0.305337 # DEPENDENCYPART_ARC
(20,15),-1.3089 # DEPENDENCYPART_ARC
(20,16),-1.12506 # DEPENDENCYPART_ARC
(20,17),-1.00875 # DEPENDENCYPART_ARC
(20,18),-0.694584 # DEPENDENCYPART_ARC
(20,19),-1.79557 # DEPENDENCYPART_ARC
