# _root_ And Fairfax County , Va. , Water Authority 's 7 1\/4 % issue of 2027 was down 3\/4 at 99 7\/8 bid .
#goldHeads=16,5,5,5,8,5,8,13,8,11,13,11,16,13,14,0,16,17,16,21,22,19,16,
#predictedHeads=16,3,16,3,3,5,8,13,8,11,13,13,16,13,14,0,16,17,16,21,19,21,16,
(2,8),-0.670194 # DEPENDENCYPART_ARC
(2,9),-1.00225 # DEPENDENCYPART_ARC
(2,10),-1.20795 # DEPENDENCYPART_ARC
(2,11),-1.61668 # DEPENDENCYPART_ARC
(2,12),-0.771121 # DEPENDENCYPART_ARC
(2,13),-0.419683 # DEPENDENCYPART_ARC
(2,14),-1.36355 # DEPENDENCYPART_ARC
(2,15),-2.09124 # DEPENDENCYPART_ARC
(2,16),-0.931272 # DEPENDENCYPART_ARC
(2,17),-1.35733 # DEPENDENCYPART_ARC
(2,18),-2.75192 # DEPENDENCYPART_ARC
(2,19),-2.66906 # DEPENDENCYPART_ARC
(2,20),-3.4433 # DEPENDENCYPART_ARC
(2,21),-3.78577 # DEPENDENCYPART_ARC
(2,22),-4.82969 # DEPENDENCYPART_ARC
(2,23),1.05613 # DEPENDENCYPART_ARC
(3,1),0.0312746 # DEPENDENCYPART_ARC
(3,2),4.34219 # DEPENDENCYPART_ARC
(3,4),3.32463 # DEPENDENCYPART_ARC
(3,5),2.82697 # DEPENDENCYPART_ARC
(3,6),2.07991 # DEPENDENCYPART_ARC
(3,7),0.654704 # DEPENDENCYPART_ARC
(3,8),0.177208 # DEPENDENCYPART_ARC
(3,9),0.142274 # DEPENDENCYPART_ARC
(3,10),-0.657826 # DEPENDENCYPART_ARC
(3,11),-1.22257 # DEPENDENCYPART_ARC
(3,12),-0.25722 # DEPENDENCYPART_ARC
(3,13),1.25701 # DEPENDENCYPART_ARC
(3,14),-0.21363 # DEPENDENCYPART_ARC
(3,15),-1.63233 # DEPENDENCYPART_ARC
(3,16),0.0992342 # DEPENDENCYPART_ARC
(3,17),-0.509279 # DEPENDENCYPART_ARC
(3,18),-2.22678 # DEPENDENCYPART_ARC
(3,19),-1.25179 # DEPENDENCYPART_ARC
(3,20),-2.95752 # DEPENDENCYPART_ARC
(3,21),-3.36672 # DEPENDENCYPART_ARC
(3,22),-4.06392 # DEPENDENCYPART_ARC
(3,23),1.91689 # DEPENDENCYPART_ARC
(4,1),-1.68932 # DEPENDENCYPART_ARC
(4,2),-1.78731 # DEPENDENCYPART_ARC
(4,3),-1.25084 # DEPENDENCYPART_ARC
(4,5),-0.191491 # DEPENDENCYPART_ARC
(4,6),0.367843 # DEPENDENCYPART_ARC
(4,7),-1.02983 # DEPENDENCYPART_ARC
(4,8),-1.31919 # DEPENDENCYPART_ARC
(4,9),-1.69712 # DEPENDENCYPART_ARC
(4,10),-2.21442 # DEPENDENCYPART_ARC
(4,11),-2.32865 # DEPENDENCYPART_ARC
(4,12),-2.32932 # DEPENDENCYPART_ARC
(4,13),-2.47929 # DEPENDENCYPART_ARC
(4,14),-1.73165 # DEPENDENCYPART_ARC
(4,15),-2.72676 # DEPENDENCYPART_ARC
(4,16),-2.01399 # DEPENDENCYPART_ARC
(4,17),-2.50949 # DEPENDENCYPART_ARC
(4,18),-3.07455 # DEPENDENCYPART_ARC
(4,19),-2.14979 # DEPENDENCYPART_ARC
(4,20),-3.23219 # DEPENDENCYPART_ARC
(4,21),-3.34292 # DEPENDENCYPART_ARC
(4,22),-3.33275 # DEPENDENCYPART_ARC
(4,23),-2.43161 # DEPENDENCYPART_ARC
(5,1),-1.87754 # DEPENDENCYPART_ARC
(5,2),1.09634 # DEPENDENCYPART_ARC
(5,3),0.950795 # DEPENDENCYPART_ARC
(5,4),1.81399 # DEPENDENCYPART_ARC
(5,6),3.43349 # DEPENDENCYPART_ARC
(5,7),1.76397 # DEPENDENCYPART_ARC
(5,8),0.573271 # DEPENDENCYPART_ARC
(5,9),0.900156 # DEPENDENCYPART_ARC
(5,10),-0.133288 # DEPENDENCYPART_ARC
(5,11),-1.00508 # DEPENDENCYPART_ARC
(5,12),-0.158116 # DEPENDENCYPART_ARC
(5,13),0.231632 # DEPENDENCYPART_ARC
(5,14),0.00756858 # DEPENDENCYPART_ARC
(5,15),-1.42395 # DEPENDENCYPART_ARC
(5,16),-0.452986 # DEPENDENCYPART_ARC
(5,17),-0.79243 # DEPENDENCYPART_ARC
(5,18),-2.20169 # DEPENDENCYPART_ARC
(5,19),-1.3339 # DEPENDENCYPART_ARC
(5,20),-2.79205 # DEPENDENCYPART_ARC
(5,21),-3.18351 # DEPENDENCYPART_ARC
(5,22),-4.24131 # DEPENDENCYPART_ARC
(5,23),1.0952 # DEPENDENCYPART_ARC
(6,1),-2.14452 # DEPENDENCYPART_ARC
(6,2),-1.89439 # DEPENDENCYPART_ARC
(6,3),-1.70884 # DEPENDENCYPART_ARC
(6,4),-0.276945 # DEPENDENCYPART_ARC
(6,5),-1.0507 # DEPENDENCYPART_ARC
(6,7),-0.247887 # DEPENDENCYPART_ARC
(6,8),-0.887148 # DEPENDENCYPART_ARC
(6,9),-1.36215 # DEPENDENCYPART_ARC
(6,10),-1.76404 # DEPENDENCYPART_ARC
(6,11),-1.93558 # DEPENDENCYPART_ARC
(6,12),-2.17839 # DEPENDENCYPART_ARC
(6,13),-2.36734 # DEPENDENCYPART_ARC
(6,14),-1.74843 # DEPENDENCYPART_ARC
(6,15),-2.64695 # DEPENDENCYPART_ARC
(6,16),-1.90311 # DEPENDENCYPART_ARC
(6,17),-2.401 # DEPENDENCYPART_ARC
(6,18),-2.98726 # DEPENDENCYPART_ARC
(6,19),-2.15303 # DEPENDENCYPART_ARC
(6,20),-3.16092 # DEPENDENCYPART_ARC
(6,21),-3.22783 # DEPENDENCYPART_ARC
(6,22),-3.19751 # DEPENDENCYPART_ARC
(6,23),-2.3018 # DEPENDENCYPART_ARC
(7,1),-5.05666 # DEPENDENCYPART_ARC
(7,2),-2.06594 # DEPENDENCYPART_ARC
(7,3),-2.75544 # DEPENDENCYPART_ARC
(7,4),-2.3254 # DEPENDENCYPART_ARC
(7,5),-1.08807 # DEPENDENCYPART_ARC
(7,6),-0.765027 # DEPENDENCYPART_ARC
(7,8),-0.992551 # DEPENDENCYPART_ARC
(7,9),0.0212874 # DEPENDENCYPART_ARC
(7,10),-1.6866 # DEPENDENCYPART_ARC
(7,11),-2.28455 # DEPENDENCYPART_ARC
(7,12),-2.37749 # DEPENDENCYPART_ARC
(7,13),-2.20008 # DEPENDENCYPART_ARC
(7,14),-2.60763 # DEPENDENCYPART_ARC
(7,15),-3.25091 # DEPENDENCYPART_ARC
(7,16),-3.02094 # DEPENDENCYPART_ARC
(7,17),-2.92536 # DEPENDENCYPART_ARC
(7,18),-3.90476 # DEPENDENCYPART_ARC
(7,19),-3.98068 # DEPENDENCYPART_ARC
(7,20),-4.61104 # DEPENDENCYPART_ARC
(7,21),-4.9757 # DEPENDENCYPART_ARC
(7,22),-6.59744 # DEPENDENCYPART_ARC
(7,23),-1.44907 # DEPENDENCYPART_ARC
(8,1),-3.00721 # DEPENDENCYPART_ARC
(8,2),1.90001 # DEPENDENCYPART_ARC
(8,3),-0.329459 # DEPENDENCYPART_ARC
(8,4),-0.134672 # DEPENDENCYPART_ARC
(8,5),1.3241 # DEPENDENCYPART_ARC
(8,6),0.958223 # DEPENDENCYPART_ARC
(8,7),6.59784 # DEPENDENCYPART_ARC
(8,9),4.70046 # DEPENDENCYPART_ARC
(8,10),1.29122 # DEPENDENCYPART_ARC
(8,11),0.594342 # DEPENDENCYPART_ARC
(8,12),0.208551 # DEPENDENCYPART_ARC
(8,13),0.464383 # DEPENDENCYPART_ARC
(8,14),0.789063 # DEPENDENCYPART_ARC
(8,15),-0.472564 # DEPENDENCYPART_ARC
(8,16),-0.108501 # DEPENDENCYPART_ARC
(8,17),0.0658537 # DEPENDENCYPART_ARC
(8,18),-1.07411 # DEPENDENCYPART_ARC
(8,19),-0.126314 # DEPENDENCYPART_ARC
(8,20),-1.95763 # DEPENDENCYPART_ARC
(8,21),-2.26989 # DEPENDENCYPART_ARC
(8,22),-3.92659 # DEPENDENCYPART_ARC
(8,23),1.49891 # DEPENDENCYPART_ARC
(9,1),-2.10306 # DEPENDENCYPART_ARC
(9,2),-0.463328 # DEPENDENCYPART_ARC
(9,3),-0.386268 # DEPENDENCYPART_ARC
(9,4),-1.06123 # DEPENDENCYPART_ARC
(9,5),-0.0744315 # DEPENDENCYPART_ARC
(9,6),-0.441695 # DEPENDENCYPART_ARC
(9,7),0.38737 # DEPENDENCYPART_ARC
(9,8),1.05091 # DEPENDENCYPART_ARC
(9,10),0.142476 # DEPENDENCYPART_ARC
(9,11),-0.402589 # DEPENDENCYPART_ARC
(9,12),-0.918101 # DEPENDENCYPART_ARC
(9,13),-1.14898 # DEPENDENCYPART_ARC
(9,14),-1.73357 # DEPENDENCYPART_ARC
(9,15),-1.85432 # DEPENDENCYPART_ARC
(9,16),-1.01476 # DEPENDENCYPART_ARC
(9,17),-1.49735 # DEPENDENCYPART_ARC
(9,18),-2.0986 # DEPENDENCYPART_ARC
(9,19),-2.35763 # DEPENDENCYPART_ARC
(9,20),-2.30486 # DEPENDENCYPART_ARC
(9,21),-2.43432 # DEPENDENCYPART_ARC
(9,22),-2.12048 # DEPENDENCYPART_ARC
(9,23),-2.36065 # DEPENDENCYPART_ARC
(10,1),-2.3131 # DEPENDENCYPART_ARC
(10,2),-1.38753 # DEPENDENCYPART_ARC
(10,3),-1.33325 # DEPENDENCYPART_ARC
(10,4),-1.35723 # DEPENDENCYPART_ARC
(10,5),-0.744833 # DEPENDENCYPART_ARC
(10,6),-0.598738 # DEPENDENCYPART_ARC
(10,7),-0.0304746 # DEPENDENCYPART_ARC
(10,8),0.491306 # DEPENDENCYPART_ARC
(10,9),0.740344 # DEPENDENCYPART_ARC
(10,11),0.802249 # DEPENDENCYPART_ARC
(10,12),0.487304 # DEPENDENCYPART_ARC
(10,13),-0.493058 # DEPENDENCYPART_ARC
(10,14),0.107479 # DEPENDENCYPART_ARC
(10,15),-0.701948 # DEPENDENCYPART_ARC
(10,16),-0.745106 # DEPENDENCYPART_ARC
(10,17),-0.428056 # DEPENDENCYPART_ARC
(10,18),-1.12455 # DEPENDENCYPART_ARC
(10,19),-1.0701 # DEPENDENCYPART_ARC
(10,20),-1.2221 # DEPENDENCYPART_ARC
(10,21),-1.3497 # DEPENDENCYPART_ARC
(10,22),-2.26121 # DEPENDENCYPART_ARC
(10,23),-0.38055 # DEPENDENCYPART_ARC
(11,1),-2.12494 # DEPENDENCYPART_ARC
(11,2),-1.05002 # DEPENDENCYPART_ARC
(11,3),-1.04691 # DEPENDENCYPART_ARC
(11,4),-1.18136 # DEPENDENCYPART_ARC
(11,5),-0.61826 # DEPENDENCYPART_ARC
(11,6),-0.478148 # DEPENDENCYPART_ARC
(11,7),0.0491338 # DEPENDENCYPART_ARC
(11,8),0.389006 # DEPENDENCYPART_ARC
(11,9),0.372095 # DEPENDENCYPART_ARC
(11,10),3.49672 # DEPENDENCYPART_ARC
(11,12),4.05265 # DEPENDENCYPART_ARC
(11,13),0.987399 # DEPENDENCYPART_ARC
(11,14),0.960763 # DEPENDENCYPART_ARC
(11,15),-0.0695912 # DEPENDENCYPART_ARC
(11,16),-0.290546 # DEPENDENCYPART_ARC
(11,17),0.0595736 # DEPENDENCYPART_ARC
(11,18),-0.506177 # DEPENDENCYPART_ARC
(11,19),-0.37422 # DEPENDENCYPART_ARC
(11,20),-0.658452 # DEPENDENCYPART_ARC
(11,21),-0.737993 # DEPENDENCYPART_ARC
(11,22),-0.90861 # DEPENDENCYPART_ARC
(11,23),0.0919929 # DEPENDENCYPART_ARC
(12,1),-2.62719 # DEPENDENCYPART_ARC
(12,2),-0.97956 # DEPENDENCYPART_ARC
(12,3),-2.60105 # DEPENDENCYPART_ARC
(12,4),-0.79334 # DEPENDENCYPART_ARC
(12,5),-1.89638 # DEPENDENCYPART_ARC
(12,6),-0.850754 # DEPENDENCYPART_ARC
(12,7),-0.000741058 # DEPENDENCYPART_ARC
(12,8),0.325015 # DEPENDENCYPART_ARC
(12,9),0.560698 # DEPENDENCYPART_ARC
(12,10),3.01555 # DEPENDENCYPART_ARC
(12,11),3.06287 # DEPENDENCYPART_ARC
(12,13),1.24501 # DEPENDENCYPART_ARC
(12,14),1.67939 # DEPENDENCYPART_ARC
(12,15),-0.057617 # DEPENDENCYPART_ARC
(12,16),0.0178104 # DEPENDENCYPART_ARC
(12,17),-0.28141 # DEPENDENCYPART_ARC
(12,18),-1.03402 # DEPENDENCYPART_ARC
(12,19),-0.810809 # DEPENDENCYPART_ARC
(12,20),-1.42527 # DEPENDENCYPART_ARC
(12,21),-1.60852 # DEPENDENCYPART_ARC
(12,22),-1.55624 # DEPENDENCYPART_ARC
(12,23),1.13741 # DEPENDENCYPART_ARC
(13,1),-1.83989 # DEPENDENCYPART_ARC
(13,2),2.46761 # DEPENDENCYPART_ARC
(13,3),0.985292 # DEPENDENCYPART_ARC
(13,4),0.220891 # DEPENDENCYPART_ARC
(13,5),1.88795 # DEPENDENCYPART_ARC
(13,6),0.103558 # DEPENDENCYPART_ARC
(13,7),3.46614 # DEPENDENCYPART_ARC
(13,8),4.47447 # DEPENDENCYPART_ARC
(13,9),1.38186 # DEPENDENCYPART_ARC
(13,10),1.91812 # DEPENDENCYPART_ARC
(13,11),3.11423 # DEPENDENCYPART_ARC
(13,12),4.53993 # DEPENDENCYPART_ARC
(13,14),2.95643 # DEPENDENCYPART_ARC
(13,15),1.40474 # DEPENDENCYPART_ARC
(13,16),1.37568 # DEPENDENCYPART_ARC
(13,17),0.88746 # DEPENDENCYPART_ARC
(13,18),0.477897 # DEPENDENCYPART_ARC
(13,19),0.845671 # DEPENDENCYPART_ARC
(13,20),-0.221946 # DEPENDENCYPART_ARC
(13,21),-0.443524 # DEPENDENCYPART_ARC
(13,22),-0.494366 # DEPENDENCYPART_ARC
(13,23),2.69447 # DEPENDENCYPART_ARC
(14,1),-3.0513 # DEPENDENCYPART_ARC
(14,2),-1.97019 # DEPENDENCYPART_ARC
(14,3),-2.09313 # DEPENDENCYPART_ARC
(14,4),-1.71932 # DEPENDENCYPART_ARC
(14,5),-1.48058 # DEPENDENCYPART_ARC
(14,6),-1.57583 # DEPENDENCYPART_ARC
(14,7),-1.16474 # DEPENDENCYPART_ARC
(14,8),-1.20988 # DEPENDENCYPART_ARC
(14,9),-0.852762 # DEPENDENCYPART_ARC
(14,10),-0.782293 # DEPENDENCYPART_ARC
(14,11),-0.518682 # DEPENDENCYPART_ARC
(14,12),-0.606742 # DEPENDENCYPART_ARC
(14,13),-0.0971534 # DEPENDENCYPART_ARC
(14,15),3.19684 # DEPENDENCYPART_ARC
(14,16),1.25124 # DEPENDENCYPART_ARC
(14,17),0.0506331 # DEPENDENCYPART_ARC
(14,18),0.886603 # DEPENDENCYPART_ARC
(14,19),-0.0612398 # DEPENDENCYPART_ARC
(14,20),-0.701795 # DEPENDENCYPART_ARC
(14,21),-0.564223 # DEPENDENCYPART_ARC
(14,22),0.540159 # DEPENDENCYPART_ARC
(14,23),1.04421 # DEPENDENCYPART_ARC
(15,1),-3.01876 # DEPENDENCYPART_ARC
(15,2),-2.37005 # DEPENDENCYPART_ARC
(15,3),-2.40906 # DEPENDENCYPART_ARC
(15,4),-1.94897 # DEPENDENCYPART_ARC
(15,5),-1.8352 # DEPENDENCYPART_ARC
(15,6),-1.61454 # DEPENDENCYPART_ARC
(15,7),-1.51885 # DEPENDENCYPART_ARC
(15,8),-1.40166 # DEPENDENCYPART_ARC
(15,9),-1.57411 # DEPENDENCYPART_ARC
(15,10),0.190955 # DEPENDENCYPART_ARC
(15,11),-0.492834 # DEPENDENCYPART_ARC
(15,12),-0.610277 # DEPENDENCYPART_ARC
(15,13),-0.243789 # DEPENDENCYPART_ARC
(15,14),0.999851 # DEPENDENCYPART_ARC
(15,16),0.435157 # DEPENDENCYPART_ARC
(15,17),-0.158095 # DEPENDENCYPART_ARC
(15,18),-0.725765 # DEPENDENCYPART_ARC
(15,19),-0.920092 # DEPENDENCYPART_ARC
(15,20),-1.15534 # DEPENDENCYPART_ARC
(15,21),-1.3697 # DEPENDENCYPART_ARC
(15,22),-1.45272 # DEPENDENCYPART_ARC
(15,23),-0.69634 # DEPENDENCYPART_ARC
(16,1),0.548315 # DEPENDENCYPART_ARC
(16,2),0.906956 # DEPENDENCYPART_ARC
(16,3),1.02107 # DEPENDENCYPART_ARC
(16,4),2.3383 # DEPENDENCYPART_ARC
(16,5),1.21401 # DEPENDENCYPART_ARC
(16,6),2.43593 # DEPENDENCYPART_ARC
(16,7),1.33931 # DEPENDENCYPART_ARC
(16,8),1.31396 # DEPENDENCYPART_ARC
(16,9),0.155829 # DEPENDENCYPART_ARC
(16,10),0.439304 # DEPENDENCYPART_ARC
(16,11),0.506432 # DEPENDENCYPART_ARC
(16,12),1.70698 # DEPENDENCYPART_ARC
(16,13),2.49551 # DEPENDENCYPART_ARC
(16,14),0.477833 # DEPENDENCYPART_ARC
(16,15),1.44448 # DEPENDENCYPART_ARC
(16,17),3.32679 # DEPENDENCYPART_ARC
(16,18),0.906126 # DEPENDENCYPART_ARC
(16,19),2.81915 # DEPENDENCYPART_ARC
(16,20),-0.0751024 # DEPENDENCYPART_ARC
(16,21),-0.169793 # DEPENDENCYPART_ARC
(16,22),0.179693 # DEPENDENCYPART_ARC
(16,23),5.02073 # DEPENDENCYPART_ARC
(17,1),-2.84806 # DEPENDENCYPART_ARC
(17,2),-2.3947 # DEPENDENCYPART_ARC
(17,3),-2.38578 # DEPENDENCYPART_ARC
(17,4),-1.80978 # DEPENDENCYPART_ARC
(17,5),-2.13078 # DEPENDENCYPART_ARC
(17,6),-1.61707 # DEPENDENCYPART_ARC
(17,7),-1.812 # DEPENDENCYPART_ARC
(17,8),-1.7745 # DEPENDENCYPART_ARC
(17,9),-1.4427 # DEPENDENCYPART_ARC
(17,10),-1.13347 # DEPENDENCYPART_ARC
(17,11),-1.03637 # DEPENDENCYPART_ARC
(17,12),-0.550532 # DEPENDENCYPART_ARC
(17,13),-0.84686 # DEPENDENCYPART_ARC
(17,14),-0.470985 # DEPENDENCYPART_ARC
(17,15),-0.171702 # DEPENDENCYPART_ARC
(17,16),0.168979 # DEPENDENCYPART_ARC
(17,18),2.10787 # DEPENDENCYPART_ARC
(17,19),1.85612 # DEPENDENCYPART_ARC
(17,20),1.1889 # DEPENDENCYPART_ARC
(17,21),1.13936 # DEPENDENCYPART_ARC
(17,22),1.66603 # DEPENDENCYPART_ARC
(17,23),0.412723 # DEPENDENCYPART_ARC
(18,1),-3.5723 # DEPENDENCYPART_ARC
(18,2),-2.98776 # DEPENDENCYPART_ARC
(18,3),-2.99307 # DEPENDENCYPART_ARC
(18,4),-2.42386 # DEPENDENCYPART_ARC
(18,5),-2.5951 # DEPENDENCYPART_ARC
(18,6),-2.08519 # DEPENDENCYPART_ARC
(18,7),-2.2733 # DEPENDENCYPART_ARC
(18,8),-1.98762 # DEPENDENCYPART_ARC
(18,9),-2.25603 # DEPENDENCYPART_ARC
(18,10),-1.02545 # DEPENDENCYPART_ARC
(18,11),-1.87362 # DEPENDENCYPART_ARC
(18,12),-1.94883 # DEPENDENCYPART_ARC
(18,13),-1.49449 # DEPENDENCYPART_ARC
(18,14),-0.659694 # DEPENDENCYPART_ARC
(18,15),0.183676 # DEPENDENCYPART_ARC
(18,16),-0.417175 # DEPENDENCYPART_ARC
(18,17),1.32971 # DEPENDENCYPART_ARC
(18,19),1.4247 # DEPENDENCYPART_ARC
(18,20),1.08753 # DEPENDENCYPART_ARC
(18,21),0.507905 # DEPENDENCYPART_ARC
(18,22),0.328177 # DEPENDENCYPART_ARC
(18,23),0.358948 # DEPENDENCYPART_ARC
(19,1),-3.30001 # DEPENDENCYPART_ARC
(19,2),-2.84287 # DEPENDENCYPART_ARC
(19,3),-2.97116 # DEPENDENCYPART_ARC
(19,4),-1.78143 # DEPENDENCYPART_ARC
(19,5),-2.68429 # DEPENDENCYPART_ARC
(19,6),-1.57219 # DEPENDENCYPART_ARC
(19,7),-2.37751 # DEPENDENCYPART_ARC
(19,8),-2.45619 # DEPENDENCYPART_ARC
(19,9),-1.43607 # DEPENDENCYPART_ARC
(19,10),-1.54888 # DEPENDENCYPART_ARC
(19,11),-1.58446 # DEPENDENCYPART_ARC
(19,12),-1.71295 # DEPENDENCYPART_ARC
(19,13),-1.61782 # DEPENDENCYPART_ARC
(19,14),-0.90478 # DEPENDENCYPART_ARC
(19,15),-0.859606 # DEPENDENCYPART_ARC
(19,16),-0.802099 # DEPENDENCYPART_ARC
(19,17),-0.162175 # DEPENDENCYPART_ARC
(19,18),-0.0237675 # DEPENDENCYPART_ARC
(19,20),1.74573 # DEPENDENCYPART_ARC
(19,21),1.83918 # DEPENDENCYPART_ARC
(19,22),1.13951 # DEPENDENCYPART_ARC
(19,23),-0.64315 # DEPENDENCYPART_ARC
(20,1),-4.54512 # DEPENDENCYPART_ARC
(20,2),-3.90092 # DEPENDENCYPART_ARC
(20,3),-3.91698 # DEPENDENCYPART_ARC
(20,4),-3.21519 # DEPENDENCYPART_ARC
(20,5),-3.57606 # DEPENDENCYPART_ARC
(20,6),-2.92358 # DEPENDENCYPART_ARC
(20,7),-3.19496 # DEPENDENCYPART_ARC
(20,8),-3.12984 # DEPENDENCYPART_ARC
(20,9),-3.28724 # DEPENDENCYPART_ARC
(20,10),-1.73074 # DEPENDENCYPART_ARC
(20,11),-2.68427 # DEPENDENCYPART_ARC
(20,12),-2.96658 # DEPENDENCYPART_ARC
(20,13),-2.7939 # DEPENDENCYPART_ARC
(20,14),-2.23891 # DEPENDENCYPART_ARC
(20,15),-0.912347 # DEPENDENCYPART_ARC
(20,16),-1.93501 # DEPENDENCYPART_ARC
(20,17),-0.925022 # DEPENDENCYPART_ARC
(20,18),-0.0382407 # DEPENDENCYPART_ARC
(20,19),0.296729 # DEPENDENCYPART_ARC
(20,21),0.684387 # DEPENDENCYPART_ARC
(20,22),0.488656 # DEPENDENCYPART_ARC
(20,23),-0.317481 # DEPENDENCYPART_ARC
(21,1),-3.19011 # DEPENDENCYPART_ARC
(21,2),-2.39152 # DEPENDENCYPART_ARC
(21,3),-2.33528 # DEPENDENCYPART_ARC
(21,4),-1.68947 # DEPENDENCYPART_ARC
(21,5),-2.02681 # DEPENDENCYPART_ARC
(21,6),-1.38625 # DEPENDENCYPART_ARC
(21,7),-1.70489 # DEPENDENCYPART_ARC
(21,8),-1.55046 # DEPENDENCYPART_ARC
(21,9),-1.88574 # DEPENDENCYPART_ARC
(21,10),0.144474 # DEPENDENCYPART_ARC
(21,11),-1.22961 # DEPENDENCYPART_ARC
(21,12),-1.51066 # DEPENDENCYPART_ARC
(21,13),-1.37323 # DEPENDENCYPART_ARC
(21,14),0.00332298 # DEPENDENCYPART_ARC
(21,15),0.32958 # DEPENDENCYPART_ARC
(21,16),-0.633465 # DEPENDENCYPART_ARC
(21,17),0.0909091 # DEPENDENCYPART_ARC
(21,18),0.802848 # DEPENDENCYPART_ARC
(21,19),1.59553 # DEPENDENCYPART_ARC
(21,20),3.61373 # DEPENDENCYPART_ARC
(21,22),2.30833 # DEPENDENCYPART_ARC
(21,23),-0.130248 # DEPENDENCYPART_ARC
(22,1),-2.63286 # DEPENDENCYPART_ARC
(22,2),-1.19444 # DEPENDENCYPART_ARC
(22,3),-2.67372 # DEPENDENCYPART_ARC
(22,4),-1.32999 # DEPENDENCYPART_ARC
(22,5),-1.76224 # DEPENDENCYPART_ARC
(22,6),-1.51081 # DEPENDENCYPART_ARC
(22,7),-0.514497 # DEPENDENCYPART_ARC
(22,8),-0.327614 # DEPENDENCYPART_ARC
(22,9),-0.383412 # DEPENDENCYPART_ARC
(22,10),-1.33896 # DEPENDENCYPART_ARC
(22,11),-0.78586 # DEPENDENCYPART_ARC
(22,12),-0.967456 # DEPENDENCYPART_ARC
(22,13),-2.90039 # DEPENDENCYPART_ARC
(22,14),-0.215352 # DEPENDENCYPART_ARC
(22,15),-0.787294 # DEPENDENCYPART_ARC
(22,16),-0.104045 # DEPENDENCYPART_ARC
(22,17),0.553395 # DEPENDENCYPART_ARC
(22,18),0.262695 # DEPENDENCYPART_ARC
(22,19),1.0474 # DEPENDENCYPART_ARC
(22,20),1.57308 # DEPENDENCYPART_ARC
(22,21),2.30016 # DEPENDENCYPART_ARC
(22,23),0.566188 # DEPENDENCYPART_ARC
(23,1),-2.38143 # DEPENDENCYPART_ARC
(23,2),-2.85891 # DEPENDENCYPART_ARC
(23,3),-2.84449 # DEPENDENCYPART_ARC
