# _root_ `` It seems computers as hobbies have waned , '' says Ian Brightman , Beseler 's chairman and chief executive officer .
#goldHeads=3,3,11,7,4,5,3,7,3,3,0,13,11,13,17,15,13,17,21,21,18,11,
#predictedHeads=11,3,11,3,3,7,5,7,11,11,0,13,11,13,17,15,13,17,21,21,18,11,
(2,14),-0.902689 # DEPENDENCYPART_ARC
(2,15),-1.68881 # DEPENDENCYPART_ARC
(2,16),-2.6412 # DEPENDENCYPART_ARC
(2,17),-1.30707 # DEPENDENCYPART_ARC
(2,18),-2.2832 # DEPENDENCYPART_ARC
(2,19),-2.71975 # DEPENDENCYPART_ARC
(2,20),-2.84744 # DEPENDENCYPART_ARC
(2,21),-1.39046 # DEPENDENCYPART_ARC
(2,22),-1.61163 # DEPENDENCYPART_ARC
(3,1),2.73454 # DEPENDENCYPART_ARC
(3,2),4.09867 # DEPENDENCYPART_ARC
(3,4),3.19762 # DEPENDENCYPART_ARC
(3,5),2.71864 # DEPENDENCYPART_ARC
(3,6),0.942323 # DEPENDENCYPART_ARC
(3,7),2.22901 # DEPENDENCYPART_ARC
(3,8),1.35325 # DEPENDENCYPART_ARC
(3,9),1.86406 # DEPENDENCYPART_ARC
(3,10),1.42966 # DEPENDENCYPART_ARC
(3,11),0.618037 # DEPENDENCYPART_ARC
(3,12),-1.2173 # DEPENDENCYPART_ARC
(3,13),-0.719813 # DEPENDENCYPART_ARC
(3,14),0.359761 # DEPENDENCYPART_ARC
(3,15),-1.74097 # DEPENDENCYPART_ARC
(3,16),-0.413054 # DEPENDENCYPART_ARC
(3,17),-1.07504 # DEPENDENCYPART_ARC
(3,18),0.0679507 # DEPENDENCYPART_ARC
(3,19),-0.612733 # DEPENDENCYPART_ARC
(3,20),-0.673563 # DEPENDENCYPART_ARC
(3,21),-0.839631 # DEPENDENCYPART_ARC
(3,22),5.09777 # DEPENDENCYPART_ARC
(4,1),0.609827 # DEPENDENCYPART_ARC
(4,2),1.05867 # DEPENDENCYPART_ARC
(4,3),0.79711 # DEPENDENCYPART_ARC
(4,5),2.04059 # DEPENDENCYPART_ARC
(4,6),0.837503 # DEPENDENCYPART_ARC
(4,7),1.46754 # DEPENDENCYPART_ARC
(4,8),0.209349 # DEPENDENCYPART_ARC
(4,9),0.732756 # DEPENDENCYPART_ARC
(4,10),0.426894 # DEPENDENCYPART_ARC
(4,11),-0.260534 # DEPENDENCYPART_ARC
(4,12),-0.801409 # DEPENDENCYPART_ARC
(4,13),-0.556658 # DEPENDENCYPART_ARC
(4,14),-0.341731 # DEPENDENCYPART_ARC
(4,15),-1.15934 # DEPENDENCYPART_ARC
(4,16),-0.820095 # DEPENDENCYPART_ARC
(4,17),-0.924649 # DEPENDENCYPART_ARC
(4,18),-0.740773 # DEPENDENCYPART_ARC
(4,19),-1.20806 # DEPENDENCYPART_ARC
(4,20),-1.50036 # DEPENDENCYPART_ARC
(4,21),-1.37436 # DEPENDENCYPART_ARC
(4,22),-0.912098 # DEPENDENCYPART_ARC
(5,1),0.0406537 # DEPENDENCYPART_ARC
(5,2),-0.335156 # DEPENDENCYPART_ARC
(5,3),-0.266179 # DEPENDENCYPART_ARC
(5,4),0.306721 # DEPENDENCYPART_ARC
(5,6),2.79224 # DEPENDENCYPART_ARC
(5,7),2.98735 # DEPENDENCYPART_ARC
(5,8),1.14766 # DEPENDENCYPART_ARC
(5,9),0.212615 # DEPENDENCYPART_ARC
(5,10),0.208274 # DEPENDENCYPART_ARC
(5,11),-0.496887 # DEPENDENCYPART_ARC
(5,12),-2.82921 # DEPENDENCYPART_ARC
(5,13),-2.08875 # DEPENDENCYPART_ARC
(5,14),0.0349604 # DEPENDENCYPART_ARC
(5,15),-4.22664 # DEPENDENCYPART_ARC
(5,16),-2.41664 # DEPENDENCYPART_ARC
(5,17),-2.40335 # DEPENDENCYPART_ARC
(5,18),-1.85494 # DEPENDENCYPART_ARC
(5,19),-2.99678 # DEPENDENCYPART_ARC
(5,20),-2.72798 # DEPENDENCYPART_ARC
(5,21),-3.18457 # DEPENDENCYPART_ARC
(5,22),-1.60879 # DEPENDENCYPART_ARC
(6,1),-0.655664 # DEPENDENCYPART_ARC
(6,2),-0.687587 # DEPENDENCYPART_ARC
(6,3),-0.529659 # DEPENDENCYPART_ARC
(6,4),0.678959 # DEPENDENCYPART_ARC
(6,5),0.855457 # DEPENDENCYPART_ARC
(6,7),1.06252 # DEPENDENCYPART_ARC
(6,8),0.70949 # DEPENDENCYPART_ARC
(6,9),0.610687 # DEPENDENCYPART_ARC
(6,10),0.447612 # DEPENDENCYPART_ARC
(6,11),-0.213216 # DEPENDENCYPART_ARC
(6,12),-0.545041 # DEPENDENCYPART_ARC
(6,13),-0.498072 # DEPENDENCYPART_ARC
(6,14),-0.335674 # DEPENDENCYPART_ARC
(6,15),-0.91612 # DEPENDENCYPART_ARC
(6,16),-0.283075 # DEPENDENCYPART_ARC
(6,17),-1.14371 # DEPENDENCYPART_ARC
(6,18),-0.818599 # DEPENDENCYPART_ARC
(6,19),-1.17666 # DEPENDENCYPART_ARC
(6,20),-1.46301 # DEPENDENCYPART_ARC
(6,21),-1.88961 # DEPENDENCYPART_ARC
(6,22),-0.761518 # DEPENDENCYPART_ARC
(7,1),0.806805 # DEPENDENCYPART_ARC
(7,2),0.0880715 # DEPENDENCYPART_ARC
(7,3),-0.191951 # DEPENDENCYPART_ARC
(7,4),2.3412 # DEPENDENCYPART_ARC
(7,5),0.491839 # DEPENDENCYPART_ARC
(7,6),3.04682 # DEPENDENCYPART_ARC
(7,8),3.89113 # DEPENDENCYPART_ARC
(7,9),1.11393 # DEPENDENCYPART_ARC
(7,10),0.884427 # DEPENDENCYPART_ARC
(7,11),-0.150899 # DEPENDENCYPART_ARC
(7,12),-0.326935 # DEPENDENCYPART_ARC
(7,13),-0.566876 # DEPENDENCYPART_ARC
(7,14),-0.599297 # DEPENDENCYPART_ARC
(7,15),-1.15081 # DEPENDENCYPART_ARC
(7,16),-1.09751 # DEPENDENCYPART_ARC
(7,17),-1.5223 # DEPENDENCYPART_ARC
(7,18),-0.533101 # DEPENDENCYPART_ARC
(7,19),-2.11675 # DEPENDENCYPART_ARC
(7,20),-2.07603 # DEPENDENCYPART_ARC
(7,21),-1.40483 # DEPENDENCYPART_ARC
(7,22),1.76904 # DEPENDENCYPART_ARC
(8,1),-0.112361 # DEPENDENCYPART_ARC
(8,2),0.181627 # DEPENDENCYPART_ARC
(8,3),-0.240688 # DEPENDENCYPART_ARC
(8,4),0.699782 # DEPENDENCYPART_ARC
(8,5),0.396134 # DEPENDENCYPART_ARC
(8,6),0.643607 # DEPENDENCYPART_ARC
(8,7),0.971989 # DEPENDENCYPART_ARC
(8,9),1.41736 # DEPENDENCYPART_ARC
(8,10),1.53471 # DEPENDENCYPART_ARC
(8,11),0.543195 # DEPENDENCYPART_ARC
(8,12),0.315209 # DEPENDENCYPART_ARC
(8,13),0.593036 # DEPENDENCYPART_ARC
(8,14),0.251546 # DEPENDENCYPART_ARC
(8,15),-0.745655 # DEPENDENCYPART_ARC
(8,16),-0.628446 # DEPENDENCYPART_ARC
(8,17),-0.160439 # DEPENDENCYPART_ARC
(8,18),0.734551 # DEPENDENCYPART_ARC
(8,19),-0.669697 # DEPENDENCYPART_ARC
(8,20),-0.999434 # DEPENDENCYPART_ARC
(8,21),-0.980956 # DEPENDENCYPART_ARC
(8,22),0.725197 # DEPENDENCYPART_ARC
(9,1),-1.48155 # DEPENDENCYPART_ARC
(9,2),-1.80248 # DEPENDENCYPART_ARC
(9,3),-1.45502 # DEPENDENCYPART_ARC
(9,4),-1.82136 # DEPENDENCYPART_ARC
(9,5),-1.20108 # DEPENDENCYPART_ARC
(9,6),-1.34633 # DEPENDENCYPART_ARC
(9,7),-1.38801 # DEPENDENCYPART_ARC
(9,8),-0.181178 # DEPENDENCYPART_ARC
(9,10),0.28949 # DEPENDENCYPART_ARC
(9,11),-0.1068 # DEPENDENCYPART_ARC
(9,12),-0.654898 # DEPENDENCYPART_ARC
(9,13),-0.951223 # DEPENDENCYPART_ARC
(9,14),0.689945 # DEPENDENCYPART_ARC
(9,15),-1.54297 # DEPENDENCYPART_ARC
(9,16),-1.61386 # DEPENDENCYPART_ARC
(9,17),-1.95584 # DEPENDENCYPART_ARC
(9,18),-1.45443 # DEPENDENCYPART_ARC
(9,19),-2.00078 # DEPENDENCYPART_ARC
(9,20),-2.18009 # DEPENDENCYPART_ARC
(9,21),-2.47639 # DEPENDENCYPART_ARC
(9,22),-1.39715 # DEPENDENCYPART_ARC
(10,1),-0.468759 # DEPENDENCYPART_ARC
(10,2),-1.87549 # DEPENDENCYPART_ARC
(10,3),-1.34306 # DEPENDENCYPART_ARC
(10,4),-1.5163 # DEPENDENCYPART_ARC
(10,5),-1.17165 # DEPENDENCYPART_ARC
(10,6),-1.20884 # DEPENDENCYPART_ARC
(10,7),-1.03855 # DEPENDENCYPART_ARC
(10,8),-0.767212 # DEPENDENCYPART_ARC
(10,9),0.423973 # DEPENDENCYPART_ARC
(10,11),-0.103264 # DEPENDENCYPART_ARC
(10,12),-1.21019 # DEPENDENCYPART_ARC
(10,13),-1.56016 # DEPENDENCYPART_ARC
(10,14),-1.36041 # DEPENDENCYPART_ARC
(10,15),-1.99554 # DEPENDENCYPART_ARC
(10,16),-2.30346 # DEPENDENCYPART_ARC
(10,17),-2.27006 # DEPENDENCYPART_ARC
(10,18),-1.93585 # DEPENDENCYPART_ARC
(10,19),-2.8034 # DEPENDENCYPART_ARC
(10,20),-2.90085 # DEPENDENCYPART_ARC
(10,21),-2.63872 # DEPENDENCYPART_ARC
(10,22),-1.88857 # DEPENDENCYPART_ARC
(11,1),4.73547 # DEPENDENCYPART_ARC
(11,2),-0.540529 # DEPENDENCYPART_ARC
(11,3),0.468139 # DEPENDENCYPART_ARC
(11,4),-1.11515 # DEPENDENCYPART_ARC
(11,5),-0.950836 # DEPENDENCYPART_ARC
(11,6),-1.06117 # DEPENDENCYPART_ARC
(11,7),1.22424 # DEPENDENCYPART_ARC
(11,8),0.0937221 # DEPENDENCYPART_ARC
(11,9),3.20152 # DEPENDENCYPART_ARC
(11,10),3.72698 # DEPENDENCYPART_ARC
(11,12),1.73321 # DEPENDENCYPART_ARC
(11,13),2.96156 # DEPENDENCYPART_ARC
(11,14),1.30715 # DEPENDENCYPART_ARC
(11,15),0.783471 # DEPENDENCYPART_ARC
(11,16),0.521738 # DEPENDENCYPART_ARC
(11,17),0.578674 # DEPENDENCYPART_ARC
(11,18),-0.130691 # DEPENDENCYPART_ARC
(11,19),-0.0120417 # DEPENDENCYPART_ARC
(11,20),0.176505 # DEPENDENCYPART_ARC
(11,21),0.447089 # DEPENDENCYPART_ARC
(11,22),7.61475 # DEPENDENCYPART_ARC
(12,1),-2.99792 # DEPENDENCYPART_ARC
(12,2),-3.02178 # DEPENDENCYPART_ARC
(12,3),-3.26599 # DEPENDENCYPART_ARC
(12,4),-3.26954 # DEPENDENCYPART_ARC
(12,5),-2.59265 # DEPENDENCYPART_ARC
(12,6),-2.49785 # DEPENDENCYPART_ARC
(12,7),-2.43782 # DEPENDENCYPART_ARC
(12,8),-1.57044 # DEPENDENCYPART_ARC
(12,9),-1.36852 # DEPENDENCYPART_ARC
(12,10),-0.845542 # DEPENDENCYPART_ARC
(12,11),-0.563656 # DEPENDENCYPART_ARC
(12,13),1.65424 # DEPENDENCYPART_ARC
(12,14),1.17315 # DEPENDENCYPART_ARC
(12,15),-0.184085 # DEPENDENCYPART_ARC
(12,16),0.080233 # DEPENDENCYPART_ARC
(12,17),0.977561 # DEPENDENCYPART_ARC
(12,18),-0.599408 # DEPENDENCYPART_ARC
(12,19),-0.758181 # DEPENDENCYPART_ARC
(12,20),-0.943966 # DEPENDENCYPART_ARC
(12,21),-0.267844 # DEPENDENCYPART_ARC
(12,22),-0.607002 # DEPENDENCYPART_ARC
(13,1),-1.84547 # DEPENDENCYPART_ARC
(13,2),-2.3901 # DEPENDENCYPART_ARC
(13,3),-2.45002 # DEPENDENCYPART_ARC
(13,4),-2.2984 # DEPENDENCYPART_ARC
(13,5),-1.82504 # DEPENDENCYPART_ARC
(13,6),-1.35547 # DEPENDENCYPART_ARC
(13,7),-1.94522 # DEPENDENCYPART_ARC
(13,8),-0.458066 # DEPENDENCYPART_ARC
(13,9),-0.649011 # DEPENDENCYPART_ARC
(13,10),-0.409761 # DEPENDENCYPART_ARC
(13,11),-0.388981 # DEPENDENCYPART_ARC
(13,12),4.23019 # DEPENDENCYPART_ARC
(13,14),3.38255 # DEPENDENCYPART_ARC
(13,15),1.86164 # DEPENDENCYPART_ARC
(13,16),1.81414 # DEPENDENCYPART_ARC
(13,17),2.87786 # DEPENDENCYPART_ARC
(13,18),0.243832 # DEPENDENCYPART_ARC
(13,19),0.395504 # DEPENDENCYPART_ARC
(13,20),0.35163 # DEPENDENCYPART_ARC
(13,21),1.13079 # DEPENDENCYPART_ARC
(13,22),0.574807 # DEPENDENCYPART_ARC
(14,1),-2.22278 # DEPENDENCYPART_ARC
(14,2),-2.67062 # DEPENDENCYPART_ARC
(14,3),-2.3517 # DEPENDENCYPART_ARC
(14,4),-2.4639 # DEPENDENCYPART_ARC
(14,5),-1.98743 # DEPENDENCYPART_ARC
(14,6),-2.43367 # DEPENDENCYPART_ARC
(14,7),-2.24251 # DEPENDENCYPART_ARC
(14,8),-1.37285 # DEPENDENCYPART_ARC
(14,9),-0.758964 # DEPENDENCYPART_ARC
(14,10),-1.60263 # DEPENDENCYPART_ARC
(14,11),-1.38872 # DEPENDENCYPART_ARC
(14,12),-1.7197 # DEPENDENCYPART_ARC
(14,13),-1.18832 # DEPENDENCYPART_ARC
(14,15),-0.33253 # DEPENDENCYPART_ARC
(14,16),-0.723706 # DEPENDENCYPART_ARC
(14,17),-1.55872 # DEPENDENCYPART_ARC
(14,18),-1.57488 # DEPENDENCYPART_ARC
(14,19),-1.88491 # DEPENDENCYPART_ARC
(14,20),-2.11834 # DEPENDENCYPART_ARC
(14,21),-2.53219 # DEPENDENCYPART_ARC
(14,22),-1.68331 # DEPENDENCYPART_ARC
(15,1),-2.5204 # DEPENDENCYPART_ARC
(15,2),-2.80277 # DEPENDENCYPART_ARC
(15,3),-3.31082 # DEPENDENCYPART_ARC
(15,4),-3.44313 # DEPENDENCYPART_ARC
(15,5),-2.29613 # DEPENDENCYPART_ARC
(15,6),-2.2755 # DEPENDENCYPART_ARC
(15,7),-2.54087 # DEPENDENCYPART_ARC
(15,8),-1.55442 # DEPENDENCYPART_ARC
(15,9),-2.14208 # DEPENDENCYPART_ARC
(15,10),-1.34942 # DEPENDENCYPART_ARC
(15,11),-1.52186 # DEPENDENCYPART_ARC
(15,12),2.7561 # DEPENDENCYPART_ARC
(15,13),1.13896 # DEPENDENCYPART_ARC
(15,14),0.960517 # DEPENDENCYPART_ARC
(15,16),4.20724 # DEPENDENCYPART_ARC
(15,17),0.448988 # DEPENDENCYPART_ARC
(15,18),0.0824106 # DEPENDENCYPART_ARC
(15,19),0.00131276 # DEPENDENCYPART_ARC
(15,20),-0.0848614 # DEPENDENCYPART_ARC
(15,21),-1.4683 # DEPENDENCYPART_ARC
(15,22),-0.713662 # DEPENDENCYPART_ARC
(16,1),-2.44511 # DEPENDENCYPART_ARC
(16,2),-2.33765 # DEPENDENCYPART_ARC
(16,3),-1.99391 # DEPENDENCYPART_ARC
(16,4),-2.00996 # DEPENDENCYPART_ARC
(16,5),-1.81852 # DEPENDENCYPART_ARC
(16,6),-1.61072 # DEPENDENCYPART_ARC
(16,7),-1.38851 # DEPENDENCYPART_ARC
(16,8),-0.957074 # DEPENDENCYPART_ARC
(16,9),-1.32499 # DEPENDENCYPART_ARC
(16,10),-1.07455 # DEPENDENCYPART_ARC
(16,11),-1.07167 # DEPENDENCYPART_ARC
(16,12),-0.0289657 # DEPENDENCYPART_ARC
(16,13),0.228697 # DEPENDENCYPART_ARC
(16,14),-0.0475667 # DEPENDENCYPART_ARC
(16,15),0.929232 # DEPENDENCYPART_ARC
(16,17),-0.0707219 # DEPENDENCYPART_ARC
(16,18),0.351448 # DEPENDENCYPART_ARC
(16,19),-1.04122 # DEPENDENCYPART_ARC
(16,20),-1.3492 # DEPENDENCYPART_ARC
(16,21),-1.87432 # DEPENDENCYPART_ARC
(16,22),-1.1041 # DEPENDENCYPART_ARC
(17,1),-1.36594 # DEPENDENCYPART_ARC
(17,2),-1.47605 # DEPENDENCYPART_ARC
(17,3),-1.87201 # DEPENDENCYPART_ARC
(17,4),-1.31369 # DEPENDENCYPART_ARC
(17,5),-2.25564 # DEPENDENCYPART_ARC
(17,6),-0.537364 # DEPENDENCYPART_ARC
(17,7),-1.53883 # DEPENDENCYPART_ARC
(17,8),-0.901037 # DEPENDENCYPART_ARC
(17,9),-0.348499 # DEPENDENCYPART_ARC
(17,10),-0.133541 # DEPENDENCYPART_ARC
(17,11),-0.780407 # DEPENDENCYPART_ARC
(17,12),2.03468 # DEPENDENCYPART_ARC
(17,13),1.23988 # DEPENDENCYPART_ARC
(17,14),0.665881 # DEPENDENCYPART_ARC
(17,15),4.69775 # DEPENDENCYPART_ARC
(17,16),1.60257 # DEPENDENCYPART_ARC
(17,18),3.87701 # DEPENDENCYPART_ARC
(17,19),1.37667 # DEPENDENCYPART_ARC
(17,20),0.882779 # DEPENDENCYPART_ARC
(17,21),0.927864 # DEPENDENCYPART_ARC
(17,22),0.595874 # DEPENDENCYPART_ARC
(18,1),-2.74122 # DEPENDENCYPART_ARC
(18,2),-2.76086 # DEPENDENCYPART_ARC
(18,3),-2.07035 # DEPENDENCYPART_ARC
(18,4),-2.02352 # DEPENDENCYPART_ARC
(18,5),-1.89178 # DEPENDENCYPART_ARC
(18,6),-1.80993 # DEPENDENCYPART_ARC
(18,7),-2.0608 # DEPENDENCYPART_ARC
(18,8),-1.90809 # DEPENDENCYPART_ARC
(18,9),-1.99464 # DEPENDENCYPART_ARC
(18,10),-2.05206 # DEPENDENCYPART_ARC
(18,11),-1.27618 # DEPENDENCYPART_ARC
(18,12),-0.587707 # DEPENDENCYPART_ARC
(18,13),-0.651639 # DEPENDENCYPART_ARC
(18,14),-1.27059 # DEPENDENCYPART_ARC
(18,15),-0.0914768 # DEPENDENCYPART_ARC
(18,16),-0.78244 # DEPENDENCYPART_ARC
(18,17),-0.0603191 # DEPENDENCYPART_ARC
(18,19),2.17091 # DEPENDENCYPART_ARC
(18,20),2.23886 # DEPENDENCYPART_ARC
(18,21),3.82488 # DEPENDENCYPART_ARC
(18,22),0.525691 # DEPENDENCYPART_ARC
(19,1),-3.79624 # DEPENDENCYPART_ARC
(19,2),-4.2229 # DEPENDENCYPART_ARC
(19,3),-3.83392 # DEPENDENCYPART_ARC
(19,4),-3.65092 # DEPENDENCYPART_ARC
(19,5),-3.37876 # DEPENDENCYPART_ARC
(19,6),-3.4602 # DEPENDENCYPART_ARC
(19,7),-3.52067 # DEPENDENCYPART_ARC
(19,8),-3.17831 # DEPENDENCYPART_ARC
(19,9),-2.51398 # DEPENDENCYPART_ARC
(19,10),-2.87574 # DEPENDENCYPART_ARC
(19,11),-2.90671 # DEPENDENCYPART_ARC
(19,12),-1.72521 # DEPENDENCYPART_ARC
(19,13),-2.43035 # DEPENDENCYPART_ARC
(19,14),-1.88291 # DEPENDENCYPART_ARC
(19,15),-1.70054 # DEPENDENCYPART_ARC
(19,16),-1.55318 # DEPENDENCYPART_ARC
(19,17),-1.17997 # DEPENDENCYPART_ARC
(19,18),-0.379806 # DEPENDENCYPART_ARC
(19,20),1.15682 # DEPENDENCYPART_ARC
(19,21),0.989294 # DEPENDENCYPART_ARC
(19,22),-0.136514 # DEPENDENCYPART_ARC
(20,1),-2.79404 # DEPENDENCYPART_ARC
(20,2),-3.07115 # DEPENDENCYPART_ARC
(20,3),-2.68755 # DEPENDENCYPART_ARC
(20,4),-2.56932 # DEPENDENCYPART_ARC
(20,5),-2.4445 # DEPENDENCYPART_ARC
(20,6),-2.44579 # DEPENDENCYPART_ARC
(20,7),-2.37907 # DEPENDENCYPART_ARC
(20,8),-2.1984 # DEPENDENCYPART_ARC
(20,9),-1.51462 # DEPENDENCYPART_ARC
(20,10),-1.72418 # DEPENDENCYPART_ARC
(20,11),-1.75579 # DEPENDENCYPART_ARC
(20,12),-0.656713 # DEPENDENCYPART_ARC
(20,13),-1.36361 # DEPENDENCYPART_ARC
(20,14),-0.962057 # DEPENDENCYPART_ARC
(20,15),-0.855174 # DEPENDENCYPART_ARC
(20,16),-0.693948 # DEPENDENCYPART_ARC
(20,17),-0.209047 # DEPENDENCYPART_ARC
(20,18),-0.00594808 # DEPENDENCYPART_ARC
(20,19),2.40672 # DEPENDENCYPART_ARC
(20,21),0.874137 # DEPENDENCYPART_ARC
(20,22),-0.399163 # DEPENDENCYPART_ARC
(21,1),-1.43281 # DEPENDENCYPART_ARC
(21,2),-0.819716 # DEPENDENCYPART_ARC
(21,3),-1.29635 # DEPENDENCYPART_ARC
(21,4),-1.47191 # DEPENDENCYPART_ARC
(21,5),-1.5218 # DEPENDENCYPART_ARC
(21,6),-0.623658 # DEPENDENCYPART_ARC
(21,7),-1.48455 # DEPENDENCYPART_ARC
(21,8),-0.308709 # DEPENDENCYPART_ARC
(21,9),-0.45349 # DEPENDENCYPART_ARC
(21,10),0.158983 # DEPENDENCYPART_ARC
(21,11),-0.305298 # DEPENDENCYPART_ARC
(21,12),1.12175 # DEPENDENCYPART_ARC
(21,13),-0.211743 # DEPENDENCYPART_ARC
(21,14),-0.592235 # DEPENDENCYPART_ARC
(21,15),2.87305 # DEPENDENCYPART_ARC
(21,16),0.643649 # DEPENDENCYPART_ARC
(21,17),1.20993 # DEPENDENCYPART_ARC
(21,18),0.259886 # DEPENDENCYPART_ARC
(21,19),4.14196 # DEPENDENCYPART_ARC
(21,20),4.51609 # DEPENDENCYPART_ARC
(21,22),0.102092 # DEPENDENCYPART_ARC
(22,1),-2.23521 # DEPENDENCYPART_ARC
(22,2),-1.99429 # DEPENDENCYPART_ARC
(22,3),-1.98511 # DEPENDENCYPART_ARC
(22,4),-2.54751 # DEPENDENCYPART_ARC
(22,5),-1.67866 # DEPENDENCYPART_ARC
(22,6),-2.62531 # DEPENDENCYPART_ARC
(22,7),-2.02583 # DEPENDENCYPART_ARC
(22,8),-1.4966 # DEPENDENCYPART_ARC
(22,9),-0.863632 # DEPENDENCYPART_ARC
(22,10),-1.63955 # DEPENDENCYPART_ARC
(22,11),-0.851807 # DEPENDENCYPART_ARC
(22,12),-1.39419 # DEPENDENCYPART_ARC
(22,13),-1.52792 # DEPENDENCYPART_ARC
(22,14),-0.564114 # DEPENDENCYPART_ARC
(22,15),-1.36036 # DEPENDENCYPART_ARC
(22,16),-1.16059 # DEPENDENCYPART_ARC
(22,17),-1.55963 # DEPENDENCYPART_ARC
(22,18),-1.15331 # DEPENDENCYPART_ARC
(22,19),-0.866278 # DEPENDENCYPART_ARC
(22,20),-1.32014 # DEPENDENCYPART_ARC
(22,21),-1.454 # DEPENDENCYPART_ARC
